abv,beer_name,brew_factory_name,style
5.2,abrahalls thundering molly,celtic marches cider,cider
6.3,baladin birra lurisia speciale,le baladin,amber ale
5.2,black sky kelvin hops copper ale,black sky brewery,amber ale
7.0,piney river masked bandit ipa,piney river brewing company,black ipa
5.5,willimantic mt rainier red,willimantic brewing company,irish ale
8.2,lavery imperial red ale 40 ira 41,lavery brewing company,american strong ale
4.8,right brain fenton fire hall ale,right brain brewery,amber ale
,fire station 5 brush fire summer ale,portland brewing company 40 pyramid north american breweries 41,golden ale blond ale
5.3,two metre tall forester bitter amber ale,two metre tall brewing company,amber ale
2.4,calanda panach,heineken switzerland,radler shandy
8.0,crooked fence exiled series 3 of 6 hunters imperial red,crooked fence brewing company,american strong ale
4.7,7 fjell kjuagutt amber ale,7 fjell bryggeri,amber ale
,bent paddle fitgers barrel aged red smoke rye ale,bent paddle brewing co,smoked
5.0,big wood lil red riding wood,big wood brewery,amber ale
5.5,ellicottville evil hoppy winter ale,ellicottville brewing,american pale ale
6.9,holy city the gentle mongoose,holy city brewing,amber ale
5.0,la boite malt gros ours,microbrasserie la boite malt,amber ale
5.5,chunkys red carpet ale,woodstock inn brewery,amber ale
4.0,flying monkey amber ale,weston brewing company,amber ale
5.4,23rd street california common,23rd street brewery,california common
9.5,two brothers revelry imperial red ale,two brothers brewing company,american strong ale
6.1,breckenridge mountain series hoppy amber ale,breckenridge brewery,amber ale
12.0,alesmith speedway stout red velvet,alesmith brewing company,imperial stout
6.4,battlefield iwo jima red ale,battlefield brewery,irish ale
5.4,elysian breadwinner,elysian brewing 40 abinbev 41,amber ale
4.2,rock bottom orland park kiss me im irish dry stout,rock bottom orland park,dry stout
5.5,ofallon obar amber ale,ofallon brewery,amber ale
5.7,iechyd da brass band golden ale,iechyd da brewing company,golden ale blond ale
5.0,beer works boston red ale,beer works,amber ale
5.6,fallbrook secret lake amber ale,fallbrook brewing company,amber ale
,bradys calibration ale,bradys brewhouse,amber ale
6.6,galactic coast goblin hunter,galactic coast brewing company,oktoberfest m   rzen
6.2,75th street happy ending strong ale,75th street brewery,english strong ale
,breakside just the tip spruced wheat,breakside brewery,spice herb vegetable
,bitter creek red desert ale,bitter creek brewing company,amber ale
5.0,four peaks mccarthys red,four peaks brewing company,american pale ale
6.5,marshall revival red ale,marshall brewing company,amber ale
9.5,ale mania imperial red ale,ale mania 40 fritz ale 41,american strong ale
,1516 opal pils,1516 brewing company,pilsener
,fountain city prairie moon red,grays brewing company,amber ale
7.5,freedoms edge magnitude imperial red,freedoms edge brewing,american strong ale
5.4,alley kat pumpkin pie spiced ale,alley kat brewing company,spice herb vegetable
5.7,brewers alley two loves chocolate ale,brewers alley restaurant brewery,brown ale
4.0,caledonian drop kick,caledonian 40 heineken uk 41,english pale ale
6.5,the unknown open road hop red,the unknown brewing company,amber ale
12.0,black dog bone crusher barley wine,black dog brewery,barley wine
5.3,old bakery the observer,old bakery beer company,amber ale
4.7,gardians grain rouge,bi re des gardians,amber ale
5.0,le malbord la rousse du malbord,le malbord,amber ale
5.5,sick n twisted pleasure victim amber ale,sick n twisted brewing company,amber ale
6.0,mcmenamins workingmans red,mcmenamins pubs and breweries,amber ale
5.3,ship in a bottle mersey ale,liverpool organic,amber ale
5.4,oakshire amber,oakshire brewing,amber ale
5.3,all saints crimson halo,all saints brewing company,amber ale
5.6,redfish wildfire smoked porter,redfish new orleans brewhouse,smoked
8.6,cheaha xena winter ale,cheaha brewing company,spice herb vegetable
4.7,mia and pias rods rodeo red,mia and pias pizzeria and brewhouse,amber ale
6.5,awesome red red house ira,seven brides brewing company,india pale ale 40 ipa 41
4.4,stone levitation ale,stone brewing company,amber ale
6.0,anchor bigleaf maple autumn red,anchor brewing company,amber ale
5.2,a le coq special red,a le coq 40 olvi 41,amber lager vienna
,barnstormers red baron ale,custom brewcrafters,amber ale
5.4,blacksmith montana amber ale,blacksmith brewing company,amber ale
6.0,hellbender red line ale 40 rum barrel 41,hellbender brewing company,amber ale
4.8,hoppers tampa red,hoppers grille brewery,irish ale
6.5,royal gorge skyline rye,royal gorge brewing company,specialty grain
5.3,camino del sol cerveza artesanal red llama ale,camino del sol cerveza artesanal,amber ale
,3 guys a beerd 2 bit ipa,3 guys a beerd brewing company,india pale ale 40 ipa 41
,ds aggie amber ale,de la vegas pecan grill and brewery,amber ale
4.0,archers robin red breast,archers 40 evan evans 41,bitter
6.0,beerbliotek mankerbeer red ale,beerbliotek,amber ale
4.0,adstragold red summer wheat,adstragold microbrewery bistro bar,wheat ale
6.0,crazy mountain boohai red ale 40 kura koa 41,crazy mountain brewing company,amber ale
5.4,garage 40 ca 41 ragtop red,garage brewing company and pizzeria,amber ale
3.3,bad tattoo no walls berliner weisse,bad tattoo brewing,berliner weisse
,sprague farm french and indian corn ale,sprague farm brew works,specialty grain
,ise kadoya amarillo amber ale,ise kadoya,amber ale
6.9,philipsburg newlyred double red,philipsburg brewing company,american strong ale
5.6,bricktowne table rock red ale,bricktowne brewing company,amber ale
6.0,flossmoor station rot geist american red wheat,flossmoor station restaurant brewery,wheat ale
,charleville tornado alley amber ale,charleville vineyard microbrewery,amber ale
5.5,14th star maple breakfast stout,14th star brewing company,stout
8.3,thirsty monk robustus rubeus imperial red,thirsty monk pub and brewery,imperial ipa
5.0,sunriver chalk rock amber,sunriver brewing company,amber ale
4.0,roosters brewing rude ram red,roosters brewing co 40 us 41,amber ale
6.0,la loire 109,brasserie de la loire,amber ale
5.5,cervecera del centro ambar,cervecera del centro,oktoberfest m   rzen
5.2,jt schmids emils amber ale,jt schmids brewhouse eatery,amber ale
4.8,amherst minuteman red,amherst brewing company,amber ale
5.2,lazy hiker inaugural amber,lazy hiker brewing company,amber ale
4.5,stadin american red ale,stadin panimo,amber ale
4.2,cumberland slewfoot,cumberland brews 40 us 41,amber ale
,anacortes creamsicle ale,rockfish grill anacortes brewery,spice herb vegetable
5.0,swamp cabbage merry cinnamas,swamp cabbage brewing company,amber ale
6.0,192 amber rye,192 brewing company,specialty grain
5.8,siren red rind ipa,siren,india pale ale 40 ipa 41
5.5,creature comforts borboya reclaimed rye,creature comforts brewing company,amber ale
7.0,aftershock misty mountain hop white ipa,aftershock brewing company,india pale ale 40 ipa 41
5.6,base camp new wave amber,base camp brewing company,amber lager vienna
5.8,blind pig hoppedup red,blind pig brewery,amber ale
,copper kettle belgian tart wit,copper kettle brewing 40 co 41,witbier
4.7,cannonball creek lil vic,cannonball creek brewing company,session ipa
8.7,phjala norway brewing co batch zero,phjala,amber ale
4.4,de molen bed breakfast,brouwerij de molen,spice herb vegetable
8.0,le magnifiche elbana,la petrognola rio maggio,amber ale
5.3,odell fir na tine,odell brewing company,amber ale
4.7,crooked eye regimental 80 scottish ale,crooked eye brewery,scottish ale
5.4,obed and isaacs obeds pride amber ale,obed and isaacs microbrewery and eatery,amber ale
4.5,3 freaks lucky clover red ale,3 freaks brewery,irish ale
5.5,crazy mountain loco rio,crazy mountain brewing company,amber lager vienna
6.0,moncada notting hill red,moncada,amber ale
5.5,b ilys foxtail red,b ilys brewing co,amber ale
4.5,rj king wingwalker amber ale,genesee brewing company 40 north american breweries 41,oktoberfest m   rzen
4.1,bewdley tornado,bewdley,bitter
6.5,snake river fireweed ira,snake river brewing co,amber ale
6.0,brewerkz mad bee honey ale,brewerkz,golden ale blond ale
6.0,kirin fuyu nodogoshi hanayagu koku,kirin brewery company,amber lager vienna
3.6,abbeydale serenity,abbeydale,golden ale blond ale
4.3,big bear lake sage hopinion ipa,big bear lake brewing company,session ipa
6.0,cellar rats rat tail ale,cellar rats brewery 40 debonn vineyards 41,american pale ale
4.5,everards stateside rye,everards,specialty grain
7.1,scuttlebutt mateo loco imperial red ale,scuttlebutt brewing co,american strong ale
6.4,la rouget de lisle printani re,la rouget de lisle,premium lager
5.3,pyynikin papabeers ruby jazz ale special edition,pyynikin k sity l ispanimo,amber ale
10.0,ballast point tongue buckler imperial red ale,ballast point brewing company,american strong ale
4.0,adkin alfreds elswith ale,adkin,bitter
4.0,7venth sun red light red light lets go halvsies,7venth sun brewery,berliner weisse
4.8,the livery harbor shores amber,the livery,amber ale
,16 mile soulful ginger,16 mile brewing company,spice herb vegetable
9.0,12 degree crimson fog,12 degree brewing,abt quadrupel
5.1,vadia loira export,essencia dalma lda vadia cervejas,pilsener
7.0,8 wired tall poppy india red ale,renaissance brewing,amber ale
5.1,red arrow midnite umber ale,red arrow brewing,amber ale
,bull city movamber moustache ale,bull city burger and brewery,amber ale
5.0,covered bridge moustache smash,covered bridge brewing company,american pale ale
7.5,titanbr u rossa,titanbr u birrificio artigianale sammarinese,amber ale
4.6,pike unite red rye ale,pike brewing company,amber ale
5.5,twisted pine american amber ale,twisted pine brewing,amber ale
4.2,3 rivers manchester ipa,3 rivers,bitter
5.0,on rotation saved by the belma,on rotation,amber ale
4.8,ambar pale ale 1900,la zaragozana,english pale ale
5.5,ltd i dream of amber,ltd brewing company,amber ale
5.5,findlay sweet amber ale,findlay brewing company,amber ale
,clocktower fenian red,clocktower brewpub,irish ale
6.1,10 barrel big daddy fresh,10 barrel brewing 40 ab inbev 41,india pale ale 40 ipa 41
,barnone red eye ipa,barnone brewing,india pale ale 40 ipa 41
6.3,highlands hollow 3 speed,highlands hollow,amber ale
8.5,edge imperial red ale 40 spring seasonal 41,edge brewing company,american strong ale
7.3,bjs barrel aged jeremiah red,bjs restaurant brewhouse,american strong ale
5.3,marthas wills fault wicked good beah,marthas exchange restaurant and brewing,premium bitter esb
7.0,snake river danimals farmhouse saison,snake river brewing co,saison
,brewbakers red hawk ale,brewbakers brewing company,amber ale
6.1,manrock fear the reaper amber,manrock brewing company,amber ale
,bulldog roby red ale,bulldog brewing company,amber ale
5.6,asheville united pale ale,asheville brewing company,american pale ale
4.2,brewsters red hop lover,brewsters 40 uk 41,bitter
4.5,angel city belligerent bloke 40 45 41,angel city brewing company,amber ale
6.3,beer burger no 2 india pale ale,old town brewery 40 formerly motala brygghus 41,india pale ale 40 ipa 41
5.2,st george fishbones amber ale,st george brewing company,amber ale
6.0,tempest a face with no name,tempest brew co,amber ale
5.5,le saint graal flashwood,le saint graal,amber ale
4.5,crux experimental off leash,crux fermentation project,session ipa
4.5,brains open casket,brains,bitter
7.3,birdsview amber lushus,birdsview brewing company,amber ale
6.0,mammoth june lake swordfight ira,mammoth brewing company,india pale ale 40 ipa 41
8.8,brannons deputation imperial red ale,brannons pub and brewery,american strong ale
5.4,caldera no grain no pain,caldera brewing company,amber ale
4.6,fat bottom ruby red american ale,fat bottom brewery,amber ale
8.6,barleys barrel aged ulysses imperial red ale,barleys brewing company,american strong ale
5.4,whetstone station waimea wonders,whetstone station,amber ale
5.9,knucklehead ehrets amber ale,knucklehead craft brewing,amber ale
6.0,liquid riot jewel box bronze,liquid riot bottling company,amber ale
8.0,olivers shot down in flames,oliver breweries,english strong ale
5.2,lighthouse race rocks ale,lighthouse brewing 40 canada 41,amber ale
5.0,ambers honey brown,alley kat brewing company,amber lager vienna
6.2,508 brollaboration series 2 hamber,508 gastrobrewery,amber ale
,draught house nut bush ale,draught house pub brewery,amber ale
6.0,katabatic anabatic amber,katabatic brewing company,amber ale
5.7,pismo roadster red ale,pismo brewing company,amber ale
5.0,brutal brewing texas state of mind austin amber,spendrups bryggeri,amber ale
5.2,buffalo tap room amber ale,custom brewcrafters,amber ale
5.3,bindlestick monkey wagon amber ale,bindlestick brewing company,amber ale
4.2,glastonbury lady of the lake,glastonbury,bitter
5.5,carbondale beer works bonedog amber,carbondale beer works,amber ale
8.3,swamp head sciaenhops imperial red ale,swamp head brewery,american strong ale
9.2,blue heron walking red,blue heron brewpub,american strong ale
5.3,nurse vetusta,cerveza mica de la sierra,amber ale
,dungeness agnew amber,dungeness brewing company,amber ale
6.5,lakefront fixed gear,lakefront brewery,amber ale
,freetail belgian freetail ale,freetail brewing co,belgian ale
6.0,edge amber the enabler,edge brewing company,amber ale
7.2,buonconvento ambrio,birrificio angel,abbey dubbel
4.5,barley mow the fez amber,barley mow brewing company,amber ale
4.5,360 pacific red 45,360 brewing,amber ale
5.9,fixture fox river red ale,fixture brewing company,amber ale
5.8,lumberjack railhead red ale,lumberjack brewing company,amber ale
5.6,waen hanging rock,waen,amber ale
4.9,lucky labrador rose city red ale,lucky labrador brewing company,amber ale
5.5,thirsty monk electrum autumn ale,thirsty monk pub and brewery,amber ale
5.5,3 sheeps baaad boy black wheat,3 sheeps brewing company,dunkelweizen
9.0,flying fish pescade rojo grande,flying fish brewing company,american strong ale
4.5,allendale end 67 ruby tuesday,allendale,bitter
,rock creek red ale,chesapeake bay brewing 40 formerly rock creek 41,american pale ale
10.0,ballast point victory at sea rum raisin and cinnamon,ballast point brewing company,imperial porter
,angelic arch amber,angelic brewing company,premium bitter esb
7.0,8 wired chardonnay barrel aged saeson,renaissance brewing,saison
4.0,great lakes x amsterdam x bar hop misdemeanor,great lakes brewing 40 ontario 41,session ipa
7.8,3 freaks freaks amber,3 freaks brewery,amber ale
3.2,feral nans driving,feral brewing co,amber ale
5.0,son pampa,ca larenys cervezas guineu,brown ale
4.0,glentworth spellbound,glentworth,golden ale blond ale
,brewsters schools out pbj brownie,brewsters brewing co alberta,spice herb vegetable
6.5,dodgeton creek reds dirty lil ale,dodgeton creek brewing company,amber ale
4.9,george killians irish red,coors brewing company 40 millercoors 41,amber lager vienna
5.6,north sound heres your damn amber,north sound brewing company,amber ale
4.8,badger export ale,badger 40 hall woodhouse 41,premium bitter esb
5.8,angry chair red ale rose hips and juniper berries,angry chair brewing,amber ale
5.1,belly love bunk off 033,belly love brewing company,amber ale
7.5,goathouse dirty redhead,goathouse brewing,smoked
8.0,ab bi re la margoulette de no l,ab bi re,belgian strong ale
5.2,muddy york unearthed amber ale,muddy york brewing co,amber ale
5.1,cricket hill fall festivus,cricket hill brewing co,premium bitter esb
,5 seasons westside redheaded stepchild,5 seasons westside,saison
4.7,freedom soho red,freedom,amber lager vienna
6.0,ruosniemen pikkupomo,ruosniemen panimo,american pale ale
5.5,rock bottom chicago myomy amber rye,rock bottom chicago,specialty grain
5.0,det lille bryggeri celebration ale 4 festbier,det lille bryggeri 40 roskilde l 41,amber ale
6.1,free state the vortex red,free state brewing company,amber ale
4.5,bt tinker,bt brewery,bitter
6.2,406 snowy owl scotch ale,406 brewing company,scotch ale
5.6,solemn oath axe scar pig,solemn oath brewery,amber ale
5.2,heartland fresh hop amber lager,greenpoint beer works,amber lager vienna
5.9,block alias amber,block brewing company,amber ale
5.7,hillbilly fu2 amber ale,maiden wines llc,amber ale
4.5,armstrong ales st georges ginger brown ale,armstrong ales,brown ale
5.5,la cotta di giulietta e romeo birra verona rossa,birrificio mastino,amber lager vienna
5.8,denver beer 549 lohi amber ale,denver beer company,amber ale
,zeroday critical condition,zeroday brewing company,american strong ale
5.0,red eye shr american amber horizon,red eye brewing company,amber ale
6.2,backshore hop solo,backshore brewing company,india pale ale 40 ipa 41
6.1,hoppy face amber ale,hoppy brewing company,india pale ale 40 ipa 41
,la micro guato gato,la micro brewing co,spice herb vegetable
5.5,bear republic toyon brut,bear republic brewing company,sour wild ale
9.0,broken horn blood of my enemies,broken horn brewing company,mead
,brays redeye ipa,brays brewing,india pale ale 40 ipa 41
,port townsend santa kisser,port townsend brewing company,spice herb vegetable
5.8,ascension amber,ascension brewing company,amber ale
4.7,stewarts rough sesh,stewarts brewing company,amber ale
5.0,brutopia frosty morning amber ale,brutopia,amber ale
4.6,elk street oakleys amber,elk street brewery,amber ale
6.6,conshohocken in amber clad,conshohocken brewing co,amber ale
7.5,ale asylum velveteen habit,ale asylum,india pale ale 40 ipa 41
5.4,rivertowne sow your oats red ale,rivertowne pour house,specialty grain
5.8,siren liquid mistress,siren,amber ale
5.0,belder red ginger ale,belder,spice herb vegetable
5.1,border town firehouse 28 red ale,border town pub brewery eatery,amber ale
7.3,8 wired fresh hopwired,8 wired brewing,india pale ale 40 ipa 41
4.2,4ts santas sack,4ts,golden ale blond ale
5.6,boundary road brewers cut red baron,independent breweries nz 40 boundary road 41,amber ale
5.5,gallows hill amber ale,two rivers brewing company,amber ale
8.7,big island red sea of cacao,big island brewhaus,spice herb vegetable
8.9,18th street villain,18th street brewery,imperial ipa
5.5,due south red hoptober,due south brewing co,amber ale
6.4,cascade lakes slippery slope,cascade lakes brewing co,english strong ale
4.7,flat 12 red oattober,flat 12 bierwerks,specialty grain
,yak and yeti rupee red,yak and yeti,amber ale
,michaels genuine home brew,back forty beer company,golden ale blond ale
5.0,kaktus amber late hop ale,kaktus brewing company,amber ale
6.0,arch rock brewers select series 2 trident black ipa,arch rock brewing company,black ipa
5.3,moosehead boundary ale,moosehead brewery,amber ale
9.0,solemn oath man vs internet vs mothra,solemn oath brewery,belgian strong ale
5.5,main seidla amber spezial,brauhaus binkert main seidla,amber ale
4.7,gold camp mamies amber,gold camp brewing company,amber ale
5.4,wendlandt humpy humpy amber ale,cervecera wendlandt,amber ale
6.8,la cumbre tank 10 red,la cumbre brewing company,amber ale
5.5,lost province compass rose amber ale,lost province brewing company,amber ale
,archibald orchards canadian maple,archibald orchards and estate winery,cider
5.2,mountain state almost heaven amber ale,mountain state brewing co,amber ale
5.2,barrier calm it,barrier brewing company,amber ale
4.0,marstons single hop saphir,marstons,amber ale
6.7,redfish angry monk belgian ale,redfish new orleans brewhouse,belgian ale
8.5,sick n twisted balls of fire,sick n twisted brewing company,spice herb vegetable
,beachside high tide black beer with pomegranate,florida beer company,schwarzbier
,outer banks ruddys rye ipa,outer banks brewing station,specialty grain
9.0,barba roja barrel aged red ale,barba roja de anapa,american strong ale
8.8,7venth sun imperial maple bacon glazed donut porter,7venth sun brewery,imperial porter
5.4,liberty myrtle beach so fresh and so steam,liberty brewery grill myrtle beach,california common
5.0,sankt gallen kitakamakura no megumi,sankt gallen brewery,amber ale
5.1,shindigger city shuffle red ale,shindigger,amber ale
5.5,dia de los muertos death becomes you amber ale,cervecera mexicana,amber ale
4.5,shugborough nkd at the swan,shugborough titanic,golden ale blond ale
6.0,central city red racer gingerhead gingerbread stout,central city brewers distillers,stout
5.2,nevins amberosia,nevins brewing company,amber ale
5.0,8 wired brett pilsner,renaissance brewing,sour wild ale
7.0,snowy mountain lone ranger red,snowy mountain brewery,amber ale
5.5,alamo amber lager,alamo beer company,amber lager vienna
5.0,get well hectors bell amber ale,get well,amber ale
8.0,3 fonteinen druiven geuze malvasia rosso,brouwerij 3 fonteinen,lambic style  fruit
3.9,cheriton amber gambler,flowerpots,bitter
8.0,lake effect aged red ale,lake effect brewing company,american strong ale
6.0,la rouget de lisle crin blanc,la rouget de lisle,amber lager vienna
6.0,fifty west gaddys irish red ale,fifty west brewing company,irish ale
5.0,archers poleaxed,archers 40 evan evans 41,premium bitter esb
6.5,right brain looping owl,right brain brewery,amber ale
6.5,deschutes fadeaway amber ale,deschutes brewery,amber ale
5.1,wrecking bar penny for your thoughts copper ale,wrecking bar brewpub,amber ale
4.2,feather falls coyote spirit amber ale,feather falls brewing company,amber ale
6.2,7 seas cutts nw amber ale,7 seas brewing,amber ale
9.0,certified originals check yourself before you wreck yourself,niagara college teaching brewery,india pale ale 40 ipa 41
5.8,acoustic ales road to the abbey,acoustic ales brewing experiment,belgian ale
7.0,10 barrel frostys revenge,10 barrel brewing 40 ab inbev 41,belgian strong ale
6.4,lompoc bourbon barrel aged proletariat red ale,lompoc brewing,amber ale
5.1,right brain cherry queen amber ale,right brain brewery,fruit beer
4.4,hops flying squirrel nut brown ale,hops grillhouse brewery 40 corp hq 41,brown ale
4.3,dc brau olivers burial at sea,dc brau brewing company,mild ale
5.6,broken tooth great land campfire lager,broken tooth brewing company,smoked
5.2,batch 40 aus 41 statler amber ale,batch brewing company 40 aus 41,amber ale
7.0,artzner perle des les,artzner,fruit beer
7.2,3 sheeps autumnal hoppiness harvest ale,3 sheeps brewing company,american strong ale
4.3,bad seed raspberry red ale,bad seed,fruit beer
4.8,bridger session amber ale,bridger brewing,amber ale
5.7,sly fox m bier amber,sly fox brewing company,american pale ale
6.0,one barrel wrenclaw red ale,one barrel brewing company,amber ale
6.2,rogue captain sigs deadliest ale 40 northwestern ale 41,rogue ales,india pale ale 40 ipa 41
5.0,mooselick moose hide amber ale,mooselick brewing,amber ale
,nebraska rock brothers 311 amber ale,nebraska brewing company,amber ale
4.5,heavy riff shady lane amber ale,heavy riff brewing company,amber ale
5.9,ruperts match the drapes amber ale,ruperts brew house,amber ale
4.4,clockwork cartside red,clockwork 40 maclay 41,amber ale
8.5,thr3e wise men double pagoda pit road red,thr3e wise men,imperial ipa
6.3,alameda wasco indian summer ale,alameda brewing co,india pale ale 40 ipa 41
5.0,pump house firechiefs red ale,pump house brewery,amber ale
4.5,cottage delight metrognome,staffordshire 40 prev leek 41,premium bitter esb
,508 cocoa for coconuts 033,508 gastrobrewery,cream ale
7.9,red lodge resurrection doppelbock,red lodge ales,doppelbock
6.2,sockeye freds raging red,sockeye brewing,imperial pils strong pale lager
5.5,ale industries spring fling,ale industries,spice herb vegetable
6.2,jing a 40 blushing geija 41 koji red ale,jing a 40 20140 a 41 capital brewing co,specialty grain
5.0,dieu du ciel clef des champs,dieu du ciel,traditional ale
5.7,blue cat red toad amber ale,blue cat brew pub,premium bitter esb
8.0,bold city 1901 red ale,bold city brewery,american strong ale
5.0,de la soif barbe torte ambr e au bl noir,de la soif,bi  re de garde
6.4,burdock fresh hop pale ale,burdock,american pale ale
4.2,old abbey brett trois red rye isa,old abbey ales,session ipa
4.7,ch cents teau de moulinsard la rousse au bourbon,riva brouwerij 40 duvelmoortgat 41,belgian ale
5.5,willoughby american amber ale,willoughby brewing co,amber ale
5.5,pokertree red earl ruby ale,pokertree,amber ale
6.0,hope bohemic,la vella caravana,amber ale
5.6,flathead lake dock start amber ale,flathead lake brewing company,amber ale
6.1,speakeasy wet hop prohibition red ale,speakeasy ales and lagers,amber ale
5.0,blind bat eye chart ale,blind bat brewery,premium bitter esb
6.0,emersons brewers reserve oreti red,emersons brewing company 40 lion breweries nz 41,india pale ale 40 ipa 41
11.7,big alice no 0066 red oak ipa,big alice brewing,imperial ipa
5.2,firetrucker first responder red,firetrucker brewery,amber ale
6.0,nevins red aint dead replicale 2014,nevins brewing company,amber ale
4.5,aguila del sur premium rubia,aguila del sur,premium lager
5.0,lake placid barkeater amber ale,lake placid pub brewery,amber ale
,naked city scarlet street,naked city brewing,american strong ale
6.5,hopdog beerworks zombie fish puncher,hopdog beerworks,india pale ale 40 ipa 41
6.4,freetail flucks incapacitor,freetail brewing co,amber ale
5.6,hoppy stony face red ale,hoppy brewing company,amber ale
5.7,butterfield bridalveil amber ale,butterfield brewing company,amber ale
5.6,dragas pacific at sunset,dragas brewing,amber ale
6.0,deva amber,vg noster,amber ale
5.4,catawba valley king coconut porter,catawba valley brewing company,porter
5.2,barrier willamette valley amber ale,barrier brewing company,amber ale
,fox river wisconsin red ale,fox river brewing co,amber ale
6.6,barrier bulkhead american red ale,barrier brewing company,amber ale
,23rd street coconut rum infused brown ale,23rd street brewery,brown ale
5.3,berkeley springs american amber ale,berkeley springs brewing company,amber ale
5.8,taps lillies q hog tied amber ale,taps fish house and brewery,amber ale
6.2,armandootchoas allied forces hangover dsotg rasta,brandecker s rh z,india pale ale 40 ipa 41
6.2,blue heron coreys american pale ale 40 capa 41,blue heron brewpub,american pale ale
,bonfire high altitude pale ale 40 hapa 41,bonfire brewing,american pale ale
,leinenkugels auburn ale,leinenkugel brewing company 40 tenth blake beer co 41,amber ale
7.6,rock bottom orland park king of hearts imperial red ale,rock bottom orland park,american strong ale
8.8,101 north high gravity,101 north brewing company,imperial ipa
7.3,bear republic new oak red rocket ale,bear republic brewing company,amber ale
5.5,loose shoe sl inte irish red ale,loose shoe brewing company,irish ale
5.0,acorn aurora ipa,acorn,american pale ale
7.2,ironworks tanglefoot red,ironworks brewery and pub,amber ale
7.5,10 barrel beernog,10 barrel brewing 40 ab inbev 41,american strong ale
,1516 mn amber ale 40 whole leaf hopped 41,1516 brewing company,amber ale
7.1,dust bowl dr rudi es muy caliente,dust bowl brewing company,american strong ale
4.3,laitilan kukko ale,laitilan wirvoitusjuomatehdas,amber ale
6.6,geco inoki,birrificio geco,india pale ale 40 ipa 41
6.0,goose island red felt ale,goose island beer company 40 brewpubs 41,amber ale
,5 seasons westside free form jazz odysee belgian amber on oak armagnac,5 seasons westside,belgian strong ale
5.0,dead frog winter seasonal amber ale,dead frog brewery,amber ale
3.7,elgoods copper feelgood,elgoods,bitter
5.2,far west red wine ale,far west,amber ale
6.5,copper canyon devils peak ale,copper canyon brewery restaurant 40 mi 41,india pale ale 40 ipa 41
5.4,red squirrel white mountain american ipa,red squirrel,american pale ale
7.0,les brasseurs du hameau rhumantony,les brasseurs du hameau,spice herb vegetable
6.7,bauhaus brew labs skyfive midwest c ast ipa cardamom grapefruit zest,bauhaus brew labs,india pale ale 40 ipa 41
5.0,ghost river riverbank red,ghost river brewing 40 roma pomodori 41,irish ale
4.9,7venth sun midnight moonlight blood orange mimosa,7venth sun brewery,berliner weisse
7.5,proof abandoned planet imperial red ale,proof brewing company,amber ale
6.7,alesmith evil dead red,alesmith brewing company,amber ale
7.1,ass clown salted ginger black sour,ass clown brewing company,sour wild ale
,fox hounds redtail ale,fox hounds brewpub malt house brewing co,amber ale
4.8,naked city mcguffin amber ale,naked city brewing,amber ale
4.1,base camp uncommon ground dunkel,base camp brewing company,dunkel tmav  1 2
8.5,vice district fire mouth red,vice district brewing company,american strong ale
4.5,coronado shrunken head red,coronado brewing company,session ipa
,little egypt red ale,carbondale craft beer,amber ale
6.7,arrowhead redrum rhubarb ryepa,arrowhead brewing,fruit beer
10.0,chapmans red ryeding hood,chapmans brewing company,specialty grain
,5 seasons north amber alert,5 seasons north,amber ale
,grays rathskeller amber ale,grays brewing company,amber ale
,genesis red ale,olympic brewery,irish ale
8.2,pig minds cherry pippins,pig minds brewing co,amber ale
4.6,jacobsen red christmas ale,husbryggeriet jacobsen 40 carlsberg 41,amber ale
,s antla festbier,s antla,oktoberfest m   rzen
6.7,raised grain spring city amber,raised grain brewing company,amber ale
5.0,la bol e bretonne cidre bouche bio brut,les celliers associ s,cider
9.0,atwater 1936,atwater block brewery,american strong ale
7.8,bier brewery megalodon,bier brewery,american strong ale
12.0,honeydew apiaries the golden drop,honeydew apiaries,mead
5.8,binckse belofte,gulden spoor,amber ale
8.3,spring house atomic raygun imperial red ale,spring house brewing company,american strong ale
4.2,aylesbury red right hand,aylesbury,bitter
6.2,16 mile regal eagle,16 mile brewing company,amber ale
,indianapolis duesseldorfer amber ale,indianapolis brewing co,amber ale
4.1,dunham massey ruby sunset,dunham massey,bitter
5.7,atec xantho 40 dark lager 41,ateck 12 pivovar 40 carlsberg 41,dunkel tmav  1 2
5.5,twents amber,twentse bierbrouwerij,belgian ale
4.6,picaroons parcel of rogues,northampton brewing co 40 nb 41,amber ale
9.0,churchkey riot act imperial stout,churchkey brewing,imperial stout
,ampion crno,vra 269 ka pivara,porter
5.6,13 virtues rip city red,13 virtues brewing company,amber ale
9.4,adroit theory harbinger redux 20,adroit theory brewing company,amber ale
6.3,at large alibi amber,at large brewing,amber ale
5.2,boxing cat great leap yunnan amber,boxing cat brewery,amber ale
5.4,carolina brewery copperline amber ale,carolina brewery,amber ale
4.6,jaw glide,jaw brew,golden ale blond ale
6.0,coalition mutual fermentation,coalition brewing,amber ale
7.2,barley johns wretched red ale,barley johns brew pub,irish ale
5.0,alesmith nut brown ale vietnamese coffee,alesmith brewing company,brown ale
,chatham summer hummer,chatham brewing,cream ale
5.8,lake charlevoix round lake red,lake charlevoix brewing company,irish ale
,flat 12 barrel aged moustache ride red,flat 12 bierwerks,amber ale
