"formerCallsign"
"KFTI (2001–2010)"
"80)"
"WJJB (1978-87)"
"WGPS (2003-2010)"
"WIXO(1996&ndash;September 18, 2006)"
"KKBE (1997–2003)"
"WPAL (2011-2017)"
"KPAH (1981-1995)"
"KEKO (1993–1995)"
"KFAY-FM (1988-1993)"
"KSXZ (1999-2001)"
"WCMR-FM (1963-1964)"
"XEWB-AM"
"WFAH (1947–1953)"
"KPAM-FM (1970–80)"
"KGEN-FM (1965–1967)"
"KQLH (1974–89)"
"WIHR (2001-2002)"
"1ZM, 1ZD, 1YD, 1ZM"
"1997, CP)"
"WVOA (2001–2002)"
"WAOA (1989-2000)"
"WHGM (1966-1987)"
"WTOP(2008–2009)"
"WWRB (January 22-October 4, 1988)"
"WPEK (2001-2002)"
"KJRL (1952–1954)"
"WTRJ (1989-1996)"
"KMGQ (2005–2010)"
"KRBR-FM (1996-2008)"
"KAWT (1997-2000)"
"KNWX (1995-2003)"
"KWMX (1993–94)"
"WRAU (2000-2001)"
"KITY(1960–1990)"
"WLHQ-FM (1988-1989)"
"KIPA (2009-2009)"
"KSDO-FM (1984-1987)"
"WLEX (1952-1958)"
"WCSJ-FM1977-1988"
"WDWS-FM (1949–1988)"
"WLLR (1990&ndash;2003)"
"KVSN (1986-2006)"
"KWES (1988-1990)"
"KNUS (1988–1989)"
"KPOK (1970–76)"
"DXBY (1992-2013)"
"WLSD-FM (1975-1988)"
"WBRK-FM (1970-1981)"
"CJON (1950-1978)"
"KLRS (1993-2006)"
"KURB (1991–1997)"
"KKXX-FM (1988–1998)"
"KRPH (1998–2001)"
"KBTB (2009-2011)"
"WFXN (1997–2002)"
"KBKK (1998)"
"WSFU (1985-1987)"
"KCCL (2007–13)"
"KLFF-FM (2001–2013)"
"WHHQ (1987–1988)"
"WVOC-FM (2011-2014)"
"WMFD-FM (1969-1978)"
"WSER (1963-2002)"
"WRLG (1992-2003)"
"WBLY (1954-2002)"
"KZRQ-FM (2003-2009)"
"WUOX (1991–1992)"
"WLYT (2012-2013)"
"KBBO (2004-2013)"
"KLDN (1982-1987)"
"KFSG (2001–2003)"
"WAOT (1995–1996, CP)"
"WYAY (1984-2019)"
"WPDQ (1994–1996)"
"KPOL-FM (1958–1978)"
"CKRC (1943-1996)"
"WENY-FM (1965-1977)"
"WKLA-FM (1971-2016)"
"WSNI (1991–1998)"
"KDBZ (2002–2014)"
"KNIT-FM (1969–1978)"
"1999)"
"KDXX (2003-2012)"
"KIDX (1978–1998, 1998–1999)"
"KEZQ-FM (1986-1992)"
"KEVR (1981-1990)"
"KYZZ (2013-2014)"
"KXME (1997–2004)"
"KSIR-FM (1993–2006)"
"WLLI (1964–1965)"
"KASH (1995-2002)"
"WXLN (1995-2003)"
"KQDY (1958-1964)"
"WNCR (1976&ndash;77)"
"KSQB (1998–2000,CP)"
"WRKK-FM (2000-2008)"
" Patras DeeJay"
"KYND (February 1985-April 1986)"
"WROK-FM (1949-1976)"
"WAKA (1971-1981)"
"KBSG-FM (1989-2008)"
"KMLA (1957&ndash;1965)"
"KELA-FM (1968–1983)"
"WMGE (2005–2016)"
"WDGY (1926&ndash;91)"
"WQKC (1990-1991)"
"WNDD (1992-1994)"
"KDHT (2003-2009)"
"WBMO"
"WLNP (2006-2010)"
"WAUA (2015-2019)"
"KMGG (1986-2003)"
"WQDQ (March 26-April 9, 2002)"
"WRLT (1984-1985)"
"KRNB (1982–1990)"
"WKAJ-FM (1968–79)"
"WTPX (1993-1994)"
"WAUK (1965-2008)"
"KKPR (1990-2003)"
"WTAB-FM (1965–1969)"
"WZZK (1985-98)"
"WRBG (1998-2001)"
"87)"
"WJGH (2010-2012)"
"KTYM-FM (1958–1973)"
"KOHM (1974-2012)"
"KMIO (1972-1976)"
"WZPT (1998–2011)"
"WGEE (1975-2003)"
"WKKJ (1983&ndash;2002)"
"2017)"
"KLTN (1981-1988)"
"WSHF-LP (2014–2022)"
"KQTX (1992-1993)"
"KYUU (1988-2008)"
"WWIP (1993-1998)"
"KMLA-FM (1972-1990)"
"KOPO (1981–1985)"
"KROE-FM (1977-1997)"
"KWSO (1950-2003)"
"WTKL (2005–06)"
"CNRO (1924-1933)"
"WBHD:"
"KAZX (1998–2021)"
"CBOF-FM (1974-1991)"
"WWNZ (1988–2001)"
"KBZZ (2018–2019)"
"WDLF (1948)"
"KRLB-FM (1981-1999)"
"KXTR (1959-2000)"
"WCMR (1994-2008)"
"WFPA (1950–1997)"
"WQYK (1970–1976)"
"KKHU (1992)"
"WJRV (2002-2003)"
"WNRB (1995–2001)"
"KHOM (1961–1966)"
"WELK (1956–1980)"
"KJML (1997-2008)"
"KAGM (2013-2017)"
"WJOI (1946-1973)"
"XEHF-AM (1941–2019)"
"KLOO-FM (1973-1983)"
"KGLR (1982–1986)"
"WGTR (1972–1982)"
"WPFI (1989–1991)"
"KGGG-FM (1977-1994)"
"KZBO (1989-1990)"
"KAGF (1993-1994)"
"WTOP (2010)"
"WLXX (1995-2003)"
"WNOX (2005-2013)"
"WBUK (1966&ndash;1974)"
"KCSE (1996-1999)"
"WKDJ (1974-1981)"
"WRML (1978–1980)"
"WRQI:"
"WCMA-FM (1999-2008)"
"KWMR"
"Pollock Pines:"
"KGMO-FM (1980-1981)"
"WQCM(1974–2002)"
"WBLU (1955–1978)"
"KRBT (1970–74)"
"KSXY (1992–1994)"
"WBCA-FM (1964-1967)"
"KFRD (1993&ndash;1997)"
"WABI (1924–2009)"
"WPBK-FM (1991-1992)"
"CIGR-FM (2004–2008)"
"WGTF (1981–1984)"
"2002)"
"WTRZ-FM (1986–2007)"
"WAFX (1982&ndash;85)"
"03)"
"Jukebox Radio (6TJR)"
"WIJY-FM (1996-12-02)"
"WBJZ (1978-1990)"
"WBYM(1959-1978)"
"WESC (1947&ndash;2000)"
"KXXR (1989-1993)"
"KOUA (1989-1989)"
"WMTG (1984–1986)"
"KLSN (1985–1986)"
"WHWL (1947-1958)"
"WWSH (1970&ndash;1984)"
"WZQQ (1993-2009)"
"KTFJ (1988-2014)"
"WIRL (1948&ndash;2000)"
"WANM (1974-1997)"
"WTAL (1923–1928)"
"WHEZ (1983–1985)"
"KRNN (1996–2003)"
"WYSP (1971–2011)"
"WSIX (1927–1991)"
"KXET (2011-2015)"
"KAZR (1993–1995)"
"WCLZ-FM (1988–1999)"
"XERPO-AM"
"WIGY (2020)"
"WTAU (1996-1998)"
"KRNB (1991)"
"WRIT (1980–1987)"
"CFJL-FM (2011)"
"XEMG-AM"
"WLOJ (1986-1998)"
"WXKW (1970–85)"
"WKNB (1946-1962)"
"WBGY-FM (1973-1986)"
"WEJE (2001)"
"KZXM (2010–2022)"
"KHYT (1987)"
"WJBI (1925)"
"KYMG (1983)"
"WMDS (2015–2016)"
"WDVT"
"WRRO (1981–98)"
"WOOX (1993-1997)"
"WGSE (1999–2003)"
"WHRB-FM (1957–1978)"
"WTWF (1974–1982)"
"WMXQ (1982-1988)"
"WBWR (2019-2020)"
"WGL-FM (2007-2014)"
"KHWK (1988-1989)"
"WARL (1947-1961)"
"WCSS-FM (1975-1979)WMVQ (1979-1988)"
"WGBM"
"WFYN (2005–2009)"
"WVEI-FM (2006–11)"
"WKEI-FM (1966-1974)"
"KTOW-FM (1988-1995)"
"XEJM-AM"
"2008)"
"WBZN (1984–1987)"
"WCLW-FM (1979–87)"
"WKND (2004-2007)"
"KEPG (1986-2007)"
"KQNC (1988-1997)"
"WKCD (1989-1992)"
"DYPR (1965-2011)"
"KLNG (1970–1977)"
"WBOW (1928–1993)"
"KSJL-FM (1998–2004)"
"KYCY (1994-1997)"
"KOWA (1987-1990)"
"2006)"
"WNCE (1977–1992)"
"KZGX (2004-2007)"
"WBAH (1998–1999)"
"KRKR (1986-1989)"
"CKOY-FM (2008–2011)"
"WHFX (1996–2005)"
"WLOR-FM (1971–1990)"
"KSPE-FM (1995–2010)"
"WWJC (1966-1971)"
"WABK (2016–2019)"
"KGBX (1926-1987)"
"2011)"
"KLWN-FM (1963-1979)"
"WAHD (1988-2000)"
"KKAW (1998-2013)"
"KDUK (1983-1987)"
"CHLW (1975-2011)"
"XEPNA-AM"
"KLSY (1983–2006)"
"WRNA (1972-1973)"
"99)"
"KOSY-FM (2002-2013)"
"WKZQ (1973-1983)"
"KLS (1922-1945)"
"WKAB (1991-2006)"
"WHHT (1998-2012)"
"WWJF (1982-1984)"
"WOFM (1991-2010)"
"KKMT (2006-2013)"
"KRBS-LP (2001-2013)"
"WRCV (1927–1928)"
"WNBX-FM (1974–1985)"
"KTHM"
"KBXR (1984-1991)"
"KFON (1993-2012)"
"WWRK-FM (2006)"
"WYLT (2002-2002)"
"WSVA-FM (1946–1974)"
"WSKO (1989-1995)"
"KHHM (2010-2021)"
"83)"
"WPHH (2009–2010)"
"KWXL (1980-1985)"
"07)"
"CKVX-FM (2000–2004)"
"WZMF (2018–2021)"
"WCKY (1994&ndash;97)"
"KTPD (2005-2006)"
"WMJE (2015)"
"WZXY (1981-1991)"
"KZLO (1977-1986)"
"WLOM-LP (2003-2020)"
"WAQB, WHDI"
"WZTA (1987–2005)"
"KINV (2003-2008)"
"KGZH (1990-2003)"
"KNBI (1963-1978)"
"KFEL (1949-1960)"
"KKZZ (1973–1983)"
"KCCY (1979–2012)"
"WDJK (1988–93)"
"WWOU (1987-1988)"
"KSFM (1958–1960)"
"WWRW (1968-1994)"
"WCJC (1981-1987)"
"KJEF-FM (1963–2002)"
"WXGI (1947-1989)"
"KRJJ (2007-2008)"
"CFST (2000-2003)"
"WLAG (1922–1924)"
"WBBO (1997–July 5, 2006)"
"KGVL-FM (1984)"
"KFRP (1986-1988)"
"WCKO (1971–85)"
"WTOP (1943–2006)"
"WZBZ (2000)"
"KCTR (1988-1994)"
"WCKZ (1983-1986)"
"WNEW-FM (2007-2011)"
"WKOT (1985-1986)"
"WFKS (1993-2000)"
"WOKV-FM (2006–13)"
"KWYT-FM (1975-1984)"
"WCME (1955–1973)"
"WPSO (1981–83)"
"WMZD (2004–06)"
"WAJP (1960-1985)"
"WOTB (1974-1978)"
"KLEU (1972–1984)"
"KNRV (1996-1997)"
"WMXF (1996&ndash;1999)"
"WARD-FM, WFMM-FM, WFMM, WGLU, WQKK, WRKW, WYOT"
"WRKU (1994–1996)"
"WDLR (1960–2004)"
"WRON-FM (1983-2008)"
"WQDQ (1987&ndash;1998)"
"KCKN(1936-1982)"
"WMXG (1997–1998)"
"KPHN (1993–1997)"
"WSMB (1925–2006)"
"KXKX (1986-1989)"
"WSAJ (1922-January 30, 2006)"
"WTAO-FM (2009-2018)"
"W87A (1942–1943)"
"KXBT (2005-2007)"
"WXVK (1989–1994)"
"WCKC (1974-1989)"
"KFIG (2012-2021)"
"KLST (1964-1966)"
"KLIB (1960-1985)"
"KZXD (2011-2012)"
"KYYX (1977-1984)"
"WDND (2006-2009)"
"WPLT (1997–2001)"
"WEWT-LP (2004-2011)"
"KZTW (1991-1997, CP)"
"KZPB (1990-1991)"
"1991)"
"WMRE (1987–1990)"
"82)"
"WTUX (1993-1998)"
"WHOK-FM (1995-2013)"
"WISC-FM (1948-59), WISM-FM (1959-83)"
"KFXV (2007-2011)"
"WLGQ (1988-2003)"
"WEGI (2009-2013)"
"KHYS (1999-2005)"
"WKFD (1961 – June 1, 1979),"
"WHYS (1988–1989)"
"KOOI-FM (1983-1986)"
"WDOB (1953–1963)"
"WTJT(1981-1983)"
"KRFD (2008-2009)"
"WDGF (1996-1997)"
"WRKT (1988-1990)"
"WCXR (1977)"
"KTMJ (1990-1992)"
"KRKN (1986-1988)"
"KBLY (2006-2014)"
"KAFA (1956–1958)"
"WSTM (1966-1978)"
"KIVE (1969–1985)"
"KCLJ (CP)"
"KGME(1994–1999)"
"KBCC (2017–2020)"
"KVEZ (1983-1993)"
"WNLT (1985–1990)"
"KRBU-FM (1978–1984)"
"WCZN (1985–1994)"
"WGMW (1971–1979)"
"KBKH (1998-2000, CP)"
"KWTR (1994–97)"
"KSRI (1993–1994)"
"KKLB (1990-2007)"
"KGRD"
"W249CB (2004-2016)"
"WTKN (1989-1991)"
"WDSP(1992)"
"WEGQ (2004-06)"
"1300 AM:"
"WZHD (2009–2020)"
"WVLY (1994-2001)"
"WBGG (1992–1994)"
"2000-2009: WOGF"
"KVBE (2005–2006)"
"WLSP-FM (1981-1988)"
"WBOW (2014-2017)"
"KENA-FM (1970-1974)"
"WPED-FM (1983–1985)"
"W245CM"
"KKTR (1998)"
"WJLC (1992-1999)"
"KVOY (1987-1998)"
"WBBR (1924–1957)"
"KKBR (1986-1990)"
"WNIQ (1979-1986)"
"KOSE-FM (1960-1974)"
"2005)"
"KKHI (2004-2005)"
"WRRR (1988-1995)"
"KRSR-FM (1992-1995)"
"KUXB (1984-1985, CP)"
"DYER (2004-2008)"
"KFAY (1957–1986)"
"WDRE (2009-2010)"
"WKKT (1985)"
"KBQQ (2012)"
"KLSZ-FM (1987-2005)"
"06)"
"WFFH:"
"WLGC (1984-July 17, 1989)"
"KNJY (2003-2011)"
"KSXX (1997-2003)"
"WDMF (1956-1964)"
"WWSF (1963-1979)"
"WLIR (1987-2000)"
"KSUC (1974-1984)"
"KRDR (1963-1988)"
"WCHK-FM (2009-2012)"
"WEQQ (1996-1998)"
"WDNZ (1986, not on-air)"
"KRVC (1960–1973)"
"WLLE (1962–1997)"
"WRTK (1999–2010)"
"WMAW (1948–52)"
"KRIO-FM (2011)"
"WRSK (1991–2006)"
"WQEZ (1973–1982)"
"KFRC-FM (1991–2007)"
"WBRI (1952-1957)"
"WDIZ (1996–2020)"
"WBDI (2000-2006)"
"WAUT (1998-2012)"
"WBIL-FM (1978–1996)"
"KCFL-LP (2005-2009)"
"WKQK-FM (1982-1985)"
"KXLS (1981-2000)"
"WEGM (1991-2001)"
"WMSQ (1978-1996)"
"KUFF (1977-1981)"
"KBBT (1991-1996)"
"WUWN (2017–2018)"
"WDKK (1993-1993)"
"KVLQ (2003-2008)"
"KDBM-FM (1988-1998)"
"KMAV (until 2008)"
"KTSA (1927-1958)"
"KOJY (2009-2016)"
"KXOB (2007–09)"
"CHNK-FM (2006-2011)"
"KLAD-FM (1974-1978)"
"WBOP (1990-2006)"
"WCOV-FM (1969-1973)"
"KDBN (1989–1991)"
"WMTZ (1996-2005)"
"WGFN (1982–1987)"
"WRCO (1949–2022)"
"KYOO-FM (1979-1989)"
"WLLI (2006–2010)"
"KOIL (1976-1993)"
"KCAC (1984-1988)"
"KNSE (1978-1998)"
"WQSH (1998&ndash;99)"
"KRBH (1989-2001)"
"WBTS (1961-1998)"
"KRSX-FM (2003–2014)"
"WTJJ (2008-2016)"
"WCXH (2007-2008)"
"WZNN (1990–1998)"
"KONG-FM (1961–1984)"
"KBEB (1998-1999)"
"KEYH-FM (1995–96)"
"WWJY (1982-1996)"
"KPQP (1983–1986)"
"KOSY (197?&ndash;1989)"
"KEGE (1994–1997)"
"KTBC (1978-1989)"
"WMSR (AM)"
"80)"
"1979)"
"WWSR (1941-2002)"
"KBXS"
"KIIQ (1974–1984)"
"KFMU (1975-1980)"
"WVLN-FM"
"WLWI (1977-1985)"
"WXTC (1991-2009)"
"WLVZ (1996-1997)"
"WNIZ (1983-1984)"
"KURL (1959-2010)"
"WLQE (1990-1992)"
"KEWL (1999-2002)"
"KKUL (1989-1995)"
"KROL (1993–2006)"
"WCXQ (1982-1994)"
"WNYW (1966–1973)"
"KATR (1962-1982)"
"WJTJ(1981-1981)"
"KLSN (1959-1972)"
"KGCM (1926)"
"WAXC (1978-1985)"
"CBF-FM (1948-1998)"
"WZTR (2000-2000)"
"WLJM (1998–2007)"
"KSTR (1998-1999)"
"KFXB (1984-1985)"
"KRHM (1956–65)"
"KNUJ-FM (1966–1982)"
"WWZR (1943–46)"
"DWXD (1994-2014)"
"WPTH (1959–1981)"
"CKX (1928-1999)"
"WYCH (1973-1978)"
"WRIT (1955-1978)"
"WHJB-FM (1968-1986)"
"DKBYN (1994-1995)"
"WJNE (1997-2000)"
"WKGG (1989-1997)"
"KLCX (2008–2010)"
"KTRH-FM (1947–70)"
"KRCO-FM (2001-2002)"
"WWEA (1991–1992)"
"WMRN-FM (1953&ndash;2007)"
"WSRR-FM (1995-2005)"
"WRNP (April 13, 2014–May 6, 2015)"
"KOOT (2002-2004, CP)"
"KDTA (1988-2012)"
"WBHH (1987–1990)"
"WWSN (2010-2019)"
"KLLS-FM (1983–87)"
"WVCH (1947–2022)"
"2000)"
"KSUD (1962-2005)"
"KXIX (1987-1988)"
"WCTM-FM (1959-1972)"
"KSXX (1996-1996)"
"KKOO (2008-2009)"
"2002)"
"WDVH (1955-1986)"
"KSIF (1989-1991)"
"WGAY-FM (1999)"
"XESMR-AM"
"01)"
"1984)"
"KKHI (2008-2011)"
"WCAT"
"WGCR (1969-1983)"
"WRIA (1976-1986)"
"WEFA (1963-1980)"
"WRJY (1984–1986)"
"WRLM (2006–2008)"
"XEACD-AM"
"WKYE-FM (1972–1975)"
"KRRD (1998-2002)"
"2015)"
"KRAC (1926–1928)"
"KTEE (1999–2002)"
"WQQW-FM (1948–1951)"
"WENY-FM (2017)"
"WGKL (1991)"
"KMXM (1996-2000)"
"XEBY-AM"
"WBUK (1991-2002)"
"WISK (1957-1959)"
"WKZU (1993-2008)"
"KMZT-FM (2000–2007)"
"WKEN (1957-1997)"
"WHTI (2010-2016)"
"WCPP (2004–2005)"
"WLLR (1983-1998)"
"3EON (1980-1988)"
"KKFS (2001-2005)"
"KAYE (?–1974)"
"WMYD (June 1, 1979 – November 16, 1999),"
"WIYD (1972-1982)"
"KNDE (1993-1995)"
"92)"
"KNCD (1992-1994)"
"WACV (1984-2012)"
"KBOP-FM (1998–2000; CP)"
"WQSR (1982–2001)"
"KHUM (1947-1958)"
"KSJY (1988-2005)"
"2012)"
"1965-1985: WGRP-FM"
"KTRO-FM (2006-2007)"
"WQAI (1990-1998)"
"WEZK (1994-1995)"
"WYYB (1991-2003)"
"KPUP (1983-1985, CP)"
"KBOL (1947-1994)"
"WLJY (2013–2021)"
"WJED (1989-2013)"
"WAYI (September 12,2005-August 7,2007)"
"WWBA (to 1982)"
"KOSS (2008)"
"KNID (1977-2000)"
"WCLO-FM (1947–1970)"
"WCMS (2003-2004)"
"KLWL (2005–06)"
"WMTT (1999–2000)"
"CZE (1924-1928)"
"WQFX-FM (1986–1993)"
"WUFA (1992-1994, CP)"
"WCNV (1993-1994)"
"XEO-AM (1946-2020)"
"KLTE (1979-1991)"
"WQMI-FM (1987–1989)"
"KDXR (1984–1992)"
"WJNA (2000-2003)"
"WFVA-FM (1960-1989)"
"KYSS (1959–1984)"
"WWDB (1968–98)"
"WJJD (1924–1997)"
"WUEI (2008)"
"WTLM (1992-1994)"
"KSKE-FM (1990-2009)"
"CKDA-FM (1955-1965)"
"WGVS-FM:"
"DXMC (1949–1988)"
"KDVE (1990-1991)"
"KDAD (2006-2016)"
"WOKL (1985–1986)"
"KAEP (1995-2003)"
"WMDK (1981–1989)"
"WJJB (1988-1998)"
"KFTI–FM (2007-2014)"
"WRMN-FM (1960-1972)"
"WEHW (1966-1969)"
"WIAC-FM (1961-2010)"
"WXBH (1998-2004)"
"KIT-FM (2012-2015)"
"KAJK (2007-2009)"
"DZBU-AM"
"WKTI-FM (1974&ndash;2008)"
"KCMW"
"WNAN (1975–1986)"
"WBDR (2006-2008)"
"WWIT (1954-2001)"
"WFUR-FM (1960–2020)"
"KEXX (2010–2016)"
"WXJC (2000-2002)"
"KUHL (2006–2009)"
"KKPL (1982–1985)"
"WEHR (1998-2005)"
"KAGM (1992-2005)"
"KTED (1980–1986)"
"KTOX-FM (2015-2018)"
"KBTB (2001–2002)"
"WBBE (1992-1995)"
"KERI (1984–2008)KWSO (1950–1984)"
"WQIX (1998-2000)"
"KZZK (1992-1995)"
"WGVS (1999-2022)"
"KNAI-FM (2017–2018)"
"WFPR (1947-Present)"
"WFRA (1989-2000)"
"KSDA (1978-1982)"
"KXTN (1988-1991, 1993-1997, 1999-2005)"
"WMTL-FM (1967-1988)"
"WHKC (1936&ndash;1954)"
"KNNN (1989-2010)"
"KGER (1997-1998)"
"KGER (1926–1997)"
"WLKQ (1990-1991)"
"WGMM (2005-2021)"
"98)"
"KCZN (1987–1989)"
"10BT (1926-1928)"
"2CZ (proposed)"
"WPNT (1979-1986)"
"KURK (2001-2003)"
"WKSL (2007–2014)"
"WEEF (1963-1973)"
"WEOS-FM (1971–1990)"
"WFBW (1924)"
"WHCY (1955&ndash;1957)"
"WXDX (March 30-July 1, 1990)"
"WLQR (2016)"
"KFCA (1951–August 24, 1972)"
"WBNZ (1978-2009)"
"WMVM (1971–1972)"
"WXGV (2000–2003)"
"WSPZ (2006-2010)"
"WXLY (1982-1983)"
"KMRZ (1996–1997)"
"WIVR (1999-2000)"
"WAIV"
"WSKR (1980–1987)"
"XEJH-AM"
"WEMO (1976-1978)"
"WTUV-FM (2006-2014)"
"WLJY (2006-2012)"
"WWEE (1993-2000)"
"KHEV (2005-2006)"
"KRUL (1947–1957)"
"WLCO, WEUS, WLCF, WWLB"
"1994)"
"KLVV (1986–88)"
"WQTT (2011-2020)"
"KFYR-FM (1966–1978)"
"DWRP (2009–2011)"
"WHVE (1992)"
"WRDB-FM (1979–1984)"
"DYTS (1995-2000)"
"WRMX (1988&ndash;2000)"
"KACE (1976–2000)"
"WDIG (1987-2018)"
"WMXQ (1985–1987)"
"WBES (2000-2010)"
"KRMX (1981-2009)"
"WRLR (1999–2001)"
"KSSQ (1989-1996)"
"KANR: KNLK (2002-2017)"
"KWWX (1993-2008)"
"WEZI (1983–89)"
"WQUD (1973)"
"CIOF"
"KEHG (?-1984)"
"KNLT (1985-2008)"
"WXLN-FM (1991-1996)"
"KWLF (1979-1981)"
"WIKB (1949-2010)"
"WEIC-FM (1965-1993)"
"KMZQ-FM (2008-2014)"
"KCUF (August 2005 to June 2010)"
"WKRE-FM (1983-1996)"
"WNKU (1983-2017)"
"1997)"
"WHNB (2002-2004)"
"KVOA (1929–1958)"
"KJZY (1995&ndash;2020)"
"KHBC (1982-1987)"
"KCNW (1969-1976)"
"KAJZ (1999-2002)"
"KMXX (1992-1994)KHHT (1994-1996)"
"WFAU (1946–1994)"
"WFJY (1997–2004)"
"WTTF-FM (1963-1999)"
"KIQN (2009-2014)"
"WZQR (1993–1997)"
"WRCK:"
"WJKF (1989)"
"KKER (1992-1995)"
"KFRC(1924–2005)"
"KPIK (1990-2001)"
"KHTO (1994-2003)"
"CKEG (1981-2001)"
"WPNX (1991–2003)"
"WJBQ-FM (1980-1986)"
"KWFM (1980–1992)"
"WPGA (1956-2016)"
"WERT-FM (1979-1987)"
"KLUE-FM (1963-1969)"
"KIQS-FM (1982-1996)"
"WZRQ (1997-1998)"
"WNJO (December 19, 1997-March 26, 1998)"
"KBBY (1993–1994)"
"WGRT (1967-1973)"
"WEYZ (1989&ndash;93)"
"WMXP (1997-2004)"
"WMJS (1973–2000)"
"KUAL (1981-1986)"
"WJAX (1925-December 2, 1991)"
"WENU-FM (1973)"
"WXVQ (1980-2000)"
"1998)"
"KSAC (1984–85)"
"KHTZ (2007-2008)"
"WAKY (1988-2007)"
"WASM (1979–87)"
"3DB (1927–1988)"
"KBJU (1998–2002)"
"2004)"
"KWWF (1995-1998)"
"1989)"
"1983, CP)"
"WQHC (1990-1992, CP)"
"CFFX-FM (2007-2010)"
"KPMA (1988–1990)"
"WMBZ (2011-2014)"
"WZKO (1984-1993)"
"KBQQ (1983–1996)"
"XHOK-FM, XHERS-FM (December 10, 1970–February 17, 1984)"
"KTUE (1926-1930)"
"WCBQ (1959–1964)"
"WWUC (1994-1998)"
"WSNE (1980–2001)"
"WDME-FM (1980–2009)"
"KNOF (1960–2016)"
"KWPR (1985-1990)"
"WXLT (1993-2001)"
"WCEC-FM (1947–1949)"
"DXRK (1979-2003)"
"WYOR (1987&ndash;1998)"
"WECR (1993-1996)"
"WJEE (1977-1981)"
"WDDW (1978-1983)"
"KTTS (1926-1987)"
"WPCH (1972–2002)"
"KXPN-FM (2013–2020)"
"KTWC (1993-1996)"
"WCAS (2001–2002)"
"KKJY (1980-1994)"
"WLKC (1999-2005)"
"WVIP (1957-2006)"
"KACE"
""
"WKYF (2010-2010)"
"KIHM (1997–1999)"
"WJJS (1996–1998)"
"WRKY (2000-2006)"
"WMMW-FM (1947–1960)"
"KFQX-FM (1999-2004)"
"KTRQ (1981-1983)"
"WRZK (1981–1983)"
"WSKN (1988-1989)"
"WLXN (1970s-1984)"
"WAXF (1991–1992)"
"KCAD (1962-1980)"
"WABK (1968–1987)"
"KALG (1950s-1977), KPSA (1977-1999)"
"WVPB (1974-2014)"
"WFRG (1993)"
"KDNR (1995-1997)"
"CKIZ-FM (2003-2018)"
"WKFX (1981-1986)"
"WHYL-FM (1981–2002)"
"WKWQ-FM (1979-1985)"
"WRBF (1995-2001)"
"WRYD (2014-2016)"
"KUDE-FM (1962-1977)"
"1998)"
"KJOX (2004-2012)"
"KLIK (1954-1999)"
"WDRM-FM (1982–1986)"
"WMRZ (1983&ndash;1990)"
"WJZO (2003–2005)"
"WOVO (1996-2012)"
"WBFN (1965-November 27, 2001)"
"WVMA (1987-1990)"
"WBZB (1964-2004)"
"1980)"
"WFMB (1965-1991)"
"WXTC-FM (1987–1996)"
"WENI-FM (2005-2017)"
"WSRZ (1986-1989)"
"WUSN (1948-1955)"
"XEJB-AM (1941-2017)"
"WALV (1983-2006)"
"2008)"
"WHUM (1985&ndash;1990)"
"WOCS (2001-2011)"
"KIPO-FM (1982-1987)"
"KLOQ (1957-1963)KBBO (1963-2004)"
"1959)"
"WJLJ (1980s)"
"KBZT (1993–1994)"
"WLOS (1947-1969)"
"WBUB (2003-2004)"
"KUMR (1974–2007)"
"WVES (1990-2017)"
"WKGA (1987-1996)"
"WSPZ (2017–2019)"
"KLUC (1962–78)"
"DWDA (1988-1995)"
"WNNR (1986–1988)"
"WOWW (1960–1978)"
"KNRJ (1989–90)"
"WMHE (1990&ndash;1994, CP)"
"WHRP (2003-2007)"
"KQPT (2000-2019)"
"KQBW (2005-2012)"
"WBUG (1990–2004)"
"WACZ (1981–1983)"
"KMYR (1941-1959)"
"KCIN (1961-1995)"
"KXYQ-FM (1994–95)"
"WWGO (1985-1987)"
"WIBQ (1982–1992)"
"KYND (1969–83)"
"WJBU (1927&ndash;1933)"
"WGNP (1987-2002)"
"WNUS (1975-1980)"
"KWCX (1961–1963)"
"WMXB (1988-2010)"
"KZFX (1986–94)"
"KCYT (1996-1997)"
"KILE-FM (2008-2017)"
"KNGY (2004-2009)"
"WPMH (2010-2021)"
"WKOE ( July 5,-24 2006)"
"KYYX (1985-1987)"
"KBUZ (1956–1977)"
"WBQN (1975–2022)"
"KSUR (2002&ndash;05)"
"WWSF (1989-1989)"
"KORM (1978)"
"WHTT (1986–1987)"
"WTOW-FM (1967–70)"
"KWPB (1974-1985)"
"WGPC-FM (1963-1999)"
"KFCL (1992–1994)"
"KNTN (1984–1985)"
"KOOR (1998-2005)"
"CKXM-FM (2000-2001)"
"KZSS (1986-1999)"
"KXTR (2001–2007)"
"WCNS (1961–67)"
"WARV-FM (1999-2017)"
"Radio 2 (or Radio Dua)"
"2001)"
"WILP-FM (1998)"
"1984)"
"KCGR (1993–2005)"
"WXXR (2012-2014)"
"WIXL (1965–1988)"
"WOHT (2001–2022)"
"WEEP (1992-1993, CP)"
"WSOM (1926–1927)"
"KCOL (1947-1999)"
"KORL-FM(2006-2007)"
"WIRP (2008)"
"WAJR-FM (1998-2020)"
"WHTD (1944–1946)"
"KUOL (1981-1988)"
"KFMV(1985-2004)"
"KBON (1970-1980)"
"XEGR-AM"
"KSRB (1999-2001)"
"KNFR (1992–2001)"
"WALC (1997–98)"
