"synonym"
"Dāūdpur"
"* Dorcadion graecum (Waltl, 1838)"
"Pocillaria chaetophora (Lév.)Kuntze(1891)"
"*Argyroptera mercuriana (Guenee, 1845)"
"(Khalanga)"
"* Estoloides prope affinis (Breuning) Vitali & Rezbanyai-Reser, 2003)"
"*Gelechia nigraesilvae (Amsel, 1950)"
"Daryabai Wadgaon"
"* Adesmus scalaris (Aurivillius, 1923)"
"*Egumbia karamoja (Libert, 1994)"
"* A. moelleri (Gonçalves, 1961)"
"Sinirangan Kabisay-an"
"*Papilio arethusa ([Schiffermüller], 1775)"
"*Diopatra brasiliensis Hansen, 1882"
"Anjen"
"*Heterocoma bifrons (DC. ex Pers.) DC.)"
"*Teras thammiana (Zeller, 1877)"
"*Idiozancla ignobilis (Turner, 1939)"
"Jawanwala Shahar"
"*Pseudophyx inextrema (Prout, 1926)"
"*Castnia godartii (Ménétriés, 1857)"
"*Thecla orgia (Hewitson, 1867)"
"* Saperda euphorbiae (Germar, 1813)"
"* Ampullaria depressa Say, 1824 (invalid: junior homonym of Ampullaria depressa Lamarck, 1804; A. paludosa is a replacement name)"
"*Phalaena schrankiana ( Hochenwarth, 1785)"
"* Athleta magister (Kilburn, 1978)"
"*Liptena (Tetrarhanis) schoutedeni (Berger, 1954)"
"*Rhodoecia differta (Morrison, 1875)"
"San Bartolomé Sipacapa"
"Agoodé"
"*Volvarina torresiana (Laseron, C.F., 1957) (lapsus)"
"*Saribia perroti fiana (Riley, 1932)"
"Région du Massan"
"*Cactobrosis (?) ponderosella"
"Purna Wildlife Sanctuary"
"Ka-gi, Chiai"
"* Strombiformis californica ( Bartsch, 1917 )"
"*Bombyx sabini (Kirby, 1824)"
"Jhaltola"
"Gorlovka"
"*Graphiphora communis r. smithii (Dyar, 1904)"
"* Helix bathyomphala (L. Pfeiffer, 1848)  (junior synonym)"
"* Frigidilacuna Tomlin, 1930"
"*Pionea simplicealis (Rothschild, 1915)"
"* Columbella coronata (Duclos, 1835)"
"* Chiazacmaea pygmaea lampanicola (Habe)"
"*Tripteroides szechwanensis (Hsu, 1964)"
"*Schoenotenes craspedospila (Turner, 1945)"
"Peptoniphilus lacydonense"
"*Pangerana (Moore, 1886)"
"*Choreutis sachalinensis (Danilevsky, 1969)"
"Bobrowice Commune"
"Amanita subgen. Lepidella (Beauseigneur (1925)"
"solankiana"
"Jebeil"
"* Sinezona lyallensis (Finlay, 1927)"
"* Natica melanochila (Philippi, 1852)"
"* Kerguelenella lateralis (Dell, 1964)"
"Суордаах"
"Яма"
"Galera vestita var. pusilla (Quél.(1886)"
"*Pleretes pactolicus (Butler, 1888)"
"* Zaplous hubbardi (LeConte, 1878)"
"Castoreum cretaceum (Lloyd)G.Cunn.(1932)"
"*Hypena occatus (Moore, 1882)"
"Arctotheca hirta (Schrad. ex Steud.)"
"* Lippistes benhami var. perornatus Marshall & Murdoch, 1923"
"Paroisse de Saint John"
"Tesmart"
"*Diaphania eurytornalis"
"Regaymer"
"*Eutaxia obovata (C.A.Gardner)"
"*Myelois peterseni (Zeller, 1881)"
"District de Timiskaming"
"Clathrus triscapus (Turpin)Fr.(1823)"
"*Hilarographa micadonis (Issiki, in Eakai et al., 1957)"
"*Ommata hovorei (Peñaherrera & Tavakilian, 2004)"
"* Brotia pseudosulcospira armata Brandt, 1968 (original combination)"
"Xihongmen Town（西红门镇）"
"*Lithacodia musta"
"Mamboga stipulosa"
"Aasnes og Vaaler (historic spelling)"
"*Hedya obscurifasciana (Barrett, 1873)"
"* Batrachorhina rugiscapa (Breuning, 1938)"
"*Stibarenches bifissa (Meyrick, 1930)"
"Sindoda"
"*Piedraia surinamensis (C.W.Dodge(1935)"
"*Botys mysisalis (Walker, 1859)"
"Geshe, Gishe Rabel"
"*Ravalita ravalis"
"*Harmologa achrosta (Meyrick, 1902)"
"*Polysphincta eltshaninovi Shestakov, 1927"
"Cerithium recurvum (G.B. Sowerby II, 1855)"
"Rhododendron eudoxum var. eudoxum"
"Ptychodes abbreviatus (Thomas Lincoln Casey, Jr., 1893)"
"*Patella vulgata var. major (Dautzenberg & Durouchoux, 1906)"
"* Chlorostrymon simaethis rosario (Nicolay, 1980)"
"*Allocota arrowi (Jedlicka, 1935)"
"Umapuri, Umrastra, Udumar, Umavati"
"Desulfoacinum"
"* Helladia paulusi (Holzschuh, 1971)"
"*Teucer apicalis (Rothschild, 1911)"
"* Chicoreus (Triplex) microphyllus (Lamarck, 1816)"
"*Bulla amygdalum ( Dillwyn, 1817)"
"Placosphaeria trifolii (Pers.) Traverso, (1903)"
"*Myrmecopsis opaca (Walker, 1856)"
"Deltochilum pygmaeum (Gillet, 1911)"
"Hoplathemistus assimilis"
"Niemce Commune"
"Generic"
"Kharauth"
"*Botys dorisalis (Walker, 1859)"
"Cheribon"
"*Carolella ouralia (Razowski, 1986)"
"*Boletus projectellus (Murrill) Murrill 1938)"
"Banganmura"
"Hanna Urak, Hannah Gorge"
"*Gelechia tehuacana (Busck, 1913)"
"* Mitra nodosa Reeve, L.A., 1844"
"* Neritina semen (Tapparone Canefri, 1875)"
"Conops ferrugineus (Linnaeus, 1761)"
"Bariloche"
"Cheirothrix (Bate, 1888) (preoccupiedby Cheirothrix)"
"*Tapinostola variana (Morrison, 1876)"
"Chāndemau"
"*Anixiopsis (E.C.Hansen(1897)"
"Մուշ"
""
"* Rissoa observationis (Thiele, 1912)"
"Shrimadhopur"
"* Pterolophia angustelineata (Pic, 1934)"
""
"Tumin"
"pilakkal"
"*Divitiaca consociata (Heinrich, 1956)"
"*Glossosalia (Mesnil, 1946)"
"Zarszyn Commune"
"*Eriphia nigrilineella (Chambers, 1878)"
"* Patella margaritacea (Gmelin, 1791)"
"*Tephroclystia rhombipennis (Prout, 1911)"
"Santa  Ronal"
"SIOP"
"*Ophiusa albivitta"
"Plectopylis fallax Gude, 1909"
"*Melanippe inustitata (Guenee, 1858)"
"1975 Tricholosporum porphyrophyllum (S.Imai) Guzmán)"
"*Glaucopis semihyalina (Walker, 1854)"
"Jurm"
"*Tegostoma distinctale (Caradja, 1916)"
"Khuraybat"
"al-Sawafir al-Halil, Suafir Ibn Audeh,"
"Sulęcin Commune"
"ಹಲ್ಯಾಳ Hallihal"
"* Cyclostoma aurantiacum (Deshayes, 1832) (original combination)"
"Raya Bhupala patnam Kothuru"
"Jamaica Square"
"Mastocephalus rorulentus (Kuntze(1891)"
"* Hadriania craticuloides (Vokes, 1964)"
"* Pyrrhopoda strigipennis (Kraatz, 1893)"
"* Noumea simplex (Pease, 1871)"
"* Helix destituta (L. Pfeiffer, 1853)  (junior synonym)"
"Oceanospirillum jannaschii"
"Trichia hispida"
"Nedumgolam"
"*Carolella chemsakiana (Razowski, 1986)"
"Saltus"
"*Philudoria (Kirby, 1892)"
"Sztutowo Commune"
"* Talparia argus ((Linnaeus,1758))"
"*Herpaenia eriphia var. mabillei (Aurivillius,[1899])"
"*Gymnelia cocho"
"*Hydrocampa endoralis (Walker, 1859)"
"*Stenoplastis inversa (Dognin, 1916)"
"* Lygocoris pabulinus (Meyer-Dür, 1843)"
"Conus (Kalloconus) (da Motta, 1991)"
"Caecilianella acicula (Müller)"
"*Idalus leos (H. Druce, 1898)"
"Ayengre or Adjengre"
"* Lactobacillus bavaricus (Stetter and Stetter 1980)"
"* Schilderia achatidea (J. E. Gray, 1837)"
"*Tortyra palaeocosma (Meyrick, 1926)"
"Halomonas aquamarina,"
"* Patinella aenea var. minor (Strebel, 1907)"
"Desert Lake"
"*Eudesmia angustistriga (Bryk, 1953)"
"* Compsidia quercus (Charpentier, 1825)"
"Strobilomyces ananaeceps (Berk.)Sacc.(1888)"
"Cimex elongata"
"Peziza subgen. Sepultaria (Cooke(1879)"
"* Atanycolini (Fahringer, 1928)"
"Phytophthora oryzae"
"*Brenthia chrysosperma (Meyrick, 1931)"
"* Cerambyx tristis (Linnaeus, 1767)"
"Hrib (until 1953)"
"* Odostomia crassicostata (W.H. Turton, 1932)"
"*Amethicium luteoincrustatum (Hjortstam & Ryvarden (1986)"
"* Millereolidia (Ortea, Caballer & Espinosa, 2004)"
"* Aegomomus viduatus (Pascoe, 1864)"
"*Apotomis betulaetana (Stephens, 1852)"
"*Tinea pyropella (Hübner, 1793) (preocc. ([Denis & Schiffermüller], 1775))"
"Qalamah"
"*Cataclysta confirmata (Krulikovsky, 1907)"
"Hito"
"Łanczyn"
"Grabowiec Commune"
"* Tinkhamia hamulata lautauana (Gressitt, 1937)"
"Xyloecematium fuscicornis (Heyden)"
"*Tephrina cinnamomaria (Rothschild, 1914)"
"* Donadinia helvelloides (Donadini, Berthet & Astier) Bellem. & Mel.-Howell (1990)"
"*Stagmatophora aglaopa (Meyrick, 1928)"
"Hantan"
"*Timora aureola"
"* Coptorhina parvus (Sharp, 1875)"
"*Onectra (Wocke, 1861)"
"*Saperda virgula (Charpentier, 1825)"
"*Narycia metacentra (Meyrick, 1907)"
"*Noctua chera (Drury, 1773)"
"* Aphodius (Liothorax) kraatzi (Dellacasa 1983)"
"* Thais buccinea (Deshayes, 1844)"
"Arab al-Areeda"
""
"Собь"
"*Gloeocystidium (P.Karst.(1889)"
"واقنون"
"*Eulia accinctana (Chretien, 1915)"
"Nałęczów Commune"
""
"Sveti Urh (until 1955)"
"Pibor Post"
"*Cypsela zetterstedti ( Wahlgren,  1918)"
"*Lernaea surrirensis( (Blainville, 1823)"
"Diadegma galleriae (Cushman, 1920)"
"* Saperda modesta (Waltl, 1838 nec Fabricius, 1781)"
"*Hyaliris (Scudder, 1875)"
"Hypolestes clara (Calvert, 1891)Ortholestes clara (Calvert, 1891)"
"*Ponera lesnei (Bondroit, 1916)"
"*Dissona hasta (Cate & Azuma in Cate, 1973)"
"Dar-el-Bey"
"Microsphaera alni var. extensa (Cooke & Peck) E.S. Salmon, (1900)"
"Indiella somaliensis"
"* Nemania deusta(Hoffm.) Gray, (1821)"
"*Isauria aphidivora"
"Leboutou Region"
"*Euryphene elabontas (Hewitson, 1871)"
"*Pyroderces oxyleuca (Meyrick, 1915)"
"*Tortrix chloantha (Walsingham, 1914)"
"* Axymene traversi aucklandica (Fleming, 1951)"
"* Balcis peronellicola ( Kuroda & Habe, 1950 )"
"*Pharambara parcipunctalis (Warren, 1896)"
"*Chelaria levata (Meyrick, 1920)"
"Latirus anapetes (Woodring, 1964)"
"*Purpura haemastoma acuminata (Settepassi, 1977)"
"* Mitra pica (Reeve, 1845)"
"*Epichaeta (W. G. Dietz, 1905)"
"Bujaruk"
"* Saperda festiva (Boisduval, 1835)"
"*Xestia obtusa (Speyer, 1875)"
"*Argyractis puralis (Schaus, 1912)"
"*Iconaxiopsis kermadecensis (Chilton, 1911)"
"*Teras pauculana (Walker, 1866)"
"*Phalaena eucharis (Drury, 1782)"
"* Linda fulva (Fairmaire, 1895)"
"*Niso quadrasi (Boettger, 1893)"
"*Epistenia bruguieralis ab. infernalis (Zerny, 1927)"
"*Golofa guildingi"
"Paczków Commune"
"*Porolaschia (Pat. (1900)"
"Osiek Commune"
"*Prumala nigranalis (Schaus, 1915)"
"*Chordates (Snellen, 1877)"
"*Aotus ferruginea Labill."
"*Shibataea kumasasa alternate spelling"
"*Pyralis flavalis (Denis & Schiffermuller, 1775)"
"Głowno Commune"
"Гиска"
"Akhali Atoni, Afon Ch'yts, Novy Afon, Neos Athos"
"*Boarmia intectaria (Walker, 1860)"
"* Oribaculum (Moore and Moore 1994)"
"Litorina limata (Lovén, 1846)"
"*Velutina undata (T. Brown, 1839)"
"Sławatycze Commune"
"Recz Commune"
"*Nepticula lusatica (Schutze, 1904)"
"* Xylotoles selwyni (Olliff, 1888)"
"* Ceratosporella elegans F. von Höhnel, 1919"
"* Glenea atroapicalis (Pic, 1926)"
"Cerei"
"*Papilio agathosilaus ( Zikán, 1938)"
"*Hypopta clathrata (Dognin, 1910)"
"Korczyna Commune"
"*Protosticta stevensi"
"* Nemophas subcylindricus (Aurivillius, 1927)"
"Bankilare, Bankilary"
"* Epiperipatus brasiliensis brasiliensis ( — Peck, 1975)"
"Llapashticë e Epërme"
"* Alcaligenes carboxydus (Nozhevnikova and Zavarzin 1974) Cypionka et al. 1980)"
"*Oregocerata rhyparographta (Brown, 2005)"
"* Patella squamata (Gmelin, 1791)"
"Chandrakona Road"
"Peptoniphilus oklahomii"
"* Bonessia (Gerbachevskaya Pavluchenko, 1986)"
"* Triton (Cumia) speciosus (Angas, 1871) (basionym)"
"*Agaricus mucosus (Bull.)"
"* Hypselomus varilosus (Pascoe, 1859)"
"Jhanti-Pahari"
"Shantanupuri"
"Leptura cerambyciformis ( (Schrank, 1781) )"
"*Pelophila ochotica (R. F. Sahlberg, 1844)"
"Chungam                        ="
"*Hormodendrum rossicum (Jacz. & Merlin (1929)"
"*Parobeidia gigantearia"
"*Herpetogramma expictalis (Christoph, 1881)"
"*Angiostrongylus schmidti (Kinsella, 1971)"
"* Athleta (Athleta) boswellae (Rehder, 1969)"
"*Diestogyna rotundata (Holland, 1920)"
"*Hydnum sulphurellum (Peck (1879)"
"فوشانة"
"*Disparoneura delia"
"*Butalis modestella (Duponchel, 1839)"
"*Panagaeus quadripustulatus (Sturm, 1815)"
"* Lactobacillus parakefir (Takizawa et al. 1994)"
"*Geritola (Geritola) nitidica"
"Futsing"
"*Tingra limbata (Holland, 1893)"
"*Iambia thuaitesi (Hampson, 1908)"
"*Anisynta gunneda"
"Wręczyca Wielka Commune"
"*Eucosmophora cupreella (Walsingham, 1897)"
"* Ricinula horrida Lamarck, 1816"
"*Bryotropha brevipalpella (Rebel, 1893)"
"*Protrachyntis (Meyrick, 1917)"
"Khore Wah"
"Land van Maal"
"Mathi Krishnapuram"
"*Gortyna intermedia (Barnes & Benjamin, 1924)"
"Nordfold og Kjerringøy herred"
"*Gaurena tenuis (Hampson, 1896)"
"Fusinus fredbakeri (H. N. Lowe, 1935) (original combination)"
"Cerithium fenestratum (G.B. Sowerby II, 1855)"
"RG 2"
"* Glenea plagireducta (Breuning, 1958)"
"Riverside"
"*Stigmella dulcella"
"* Myrichthys oculatus (Kaup, 1856)"
"* Stephanocoma (Less.)"
"*Choreutis pernivalis (Braun, 1921)"
"(formerly)"
"North Jacksonville"
"Genus:"
"Canton of Freiburg"
"*Tithorea harmonia f. moppa (Bryk, 1937)"
"* Arisania acutipennis (Gressitt, 1942)"
"* Phosphorus virescens var. unicolor (Aurivillius, 1913)"
"* Vallonia (Vallonia) (Risso, 1826)"
"*Eilema subrosea"
"EsiNqawunqawini"
"* Glenea commixta (Aurivillius, 1924)"
"Wysoka Commune"
"*Tapinostola procera var. saturatior (Staudinger, 1889)"
"Queens Community Board 12"
"*T. gigantella (Stainton, 1860)"
"Madgaon"
"*Donuca yorkensis (Gaede, 1938)"
"*Paedisca immersana (Walker, 1863)"
"* Galvina farrani (Alder & Hancock, 1844)"
"* Maurea morioria (Powell, 1946)"
"Yundret"
"Larocheinae"
"* Heliocopris exclamationis Shipp, 1897"
"Earlier it was called by Vimalkheda"
"*Sylepta haryoalis (Strand, 1918)"
"Ghemines"
"* Pavlovea (T. Cavalier-Smith, 1993)"
"*Erosia rhagavata (Walker, 1861)"
"Quercus corrugata var. ipalensis (Trel. )"
"*Homalium testaceum (Erichson)"
"Cerithium zonale (Quoy & Gaimard, 1834)"
"al-Bīr-al-Jadīd"
"*Pseuderesia picta (Grose-Smith, 1898)"
"बटसेरी"
"* Methylopila helvetica (Doronina et al. 2000)"
"Bythoceras iridescens Moore, 1898"
"*Papilio adamsoni (Grose-Smith, 1886)"
"*Gathynia despecta (Warren, 1898)"
"Umayattukara"
"Auxobolus"
"* Dorcadion insidiosum (Escalera, 1901)"
"*Neodythemis gorillae (Pinhey, 1961)"
"*Stigmella uigurica (Puplesis, 1985)"
"*Syntomeida albifasciata (Butler, 1876)"
"*Crambus argentistrigellus (Hampson, 1896)"
"Quercus insignis subsp. pilarius ( (Trel.) A.E.Murray )"
"Ayampara"
"*Empista palaearctica (Povolný, 1968)"
"*Bibio hybridus (Haliday, 1833)"
"*Gymnopus acervatus (Fr.)Murrill(1916)"
"*Creolophus pulcherrimus (Berk. & M.A.Curtis) Banker (1913)"
"* Pepsis erythrocera Brèthes, 1914"
"Augland"
"Maymyo, Meimyu, Pyin U Lwin, Pyinoolwin"
"*Achlyodes janus (Bell & Comstock, 1948)"
"Westside"
"Muricopsis (Murexsul) valae (Houart, 1991)"
"Corethrogyne linifolia (H.M.Hall) Ferris)"
"* Natica xantha Watson, 1881 (basionym)"
"*Ametallosticha aigneri (Amsel, 1935)"
"Voluta adcocki (Tate, 1889)"
"* Mitra zephyrina (Sowerby, 1874)"
"Lorinae (Thiele, 1925)"
"* Thiosphaera (Robertson and Kuenen 1984)"
"*Penicillium elegant ( Corda (1838)"
"*Cypraea fuscodentata (Gray, 1825)"
"Rhynodrylus (lapsus)"
"Stenosoma lineare (Leach, 1815)"
"Psathyrella foenisecii (Pers.)A.H.Sm.(1972)"
"Jericoacoara"
"*Euchromia epilais (Walker, 1854)"
"*Myelois obnupsella (Hulst, 1890)"
"* Tritonalia (Ocinebrina) caribbaea (Bartsch & Rehder, 1939) (basionym)"
"*Daemonorops calospatha (Ridl.)"
"*Ophthalmitis sinensium (Parsons et al., 1999)"
"Siellága suohkan"
"* Clava volvax (Humphrey, 1797)"
"*Depressaria neglectella (Lederer, 1863)"
"*Leptothyrium coryli (Fuckel (1870)"
"*Scodiona conspersaria turturaria (Boisduval, 1840)"
"*Dipluriella loti"
"Louti"
"*Gracilaria hauicola (Swezey, 1910)"
"*Humicola lanuginosa (Tsikl.) (Bunce(1961)"
"Akshaya Tirupati"
"*Agathia furcula (Matsumura, 1931)"
"Ptychodes trilineatus (Gundlach, 1891)"
"* Columbella varians"
"Piraikodi"
"Sarspido"
"*Cledeobia moldavica f. bertoncinii (Hartig, 1941)"
"* Turritella maculata var. chionia (Melvill, 1928) (Colour variety)"
"Khelaifiella massiliensis"
"Ramaria cinerea (Bull.)Gray(1821)"
"*Alana rubiginata (Walker, 1866)"
"*Pika (Matsumura, 1929) (preocc. Lacepède, 1799)"
"* Albea (Sphincterochila) boissieri (Charpentier, 1847)  (superseded generic combination)"
"*Deuterocopus citrogaster"
"* Rissoina elegantissima (d'Orbigny, 1842)"
"*Alophorophasia (Townsend, 1927)"
"Hb Lepore syndrome"
"* Cyrtoglottis (Schltr.)"
"Cydia ulicitana"
"* Edgbastonia (Barcaldinia) acuminata (Ponder & G. A. Clark, 1990)· accepted, alternate representation"
"Vexillum (Pusia) calotextum[sic](misspelling)"
"Chānda Tikar"
"Kalyāni"
"*Euchromia guineensis splendens (Butler, 1888)"
"longowal"
"* Trophon (Kalydon) erectus (Suter, 1909)"
"*Gelechia nitidula (Stainton, 1867)"
"Basudevpur"
"*Ascidia normanni( Alder & Hancock, 1870)"
"Omphalius (Anadema) (H. Adams & A. Adams, 1854) (original combination)"
"Fusarium nivale f.sp. graminicola"
"Marinobacterium marisflavum"
"*Othroa albotecta (Walker, 1865)"
"*Macaduma castanea (Hampson, 1911)"
"Vexillum (Pusia) approximatum (Pease, 1860)"
"*Tortrix petrophracta (Meyrick, 1938)"
"Ujsoły Commune"
"*Perizoma albulatum"
"* Teleotelson Verhoeff, 1936"
"Cancellaria scobina (Hedley & Petterd, 1906)"
"*Coelodasys cinereofrons (Packard, 1864)"
"* Tegna (Walker, 1866)"
"Drechslera avenae (Eidam) Scharif, (1963)"
"Нора"
"Stenocactus lloydii (A.Berger)"
"* Hierochloë  (R.Br.,) alternate spelling"
"*Heliophisma clugi (Hampson, 1913)"
"*Tachina flavescens (Meigen, 1824)"
"Valsaria citri (Rehm)"
"Ropar"
"* Ocinebrellus inornatus (Récluz, 1851) (recombination)"
"*Homalomya schembrii (Rondani, 1866)"
"* Fusinus turris (Valenciennes, 1832)"
"* Murex diadema (Aradas & Benoit, 1876)"
"*Terias perimede (Prittwitz, 1865)"
"* Callogaza superba (Dall, 1881)"
"*Sarangesa thecla var. obscura (Aurivillius, 1925)"
"Bahadmi, Bahidmi"
"*Munidopsis tridentatus (Esmark, 1857)"
"Ținutul Dunărea de Jos"
"*Agylla remelana semiobseoleta (Holloway, 1976)"
"*Pococera nigrilunalis (Dognin, 1913)"
"Ptychodes trilineatus var. insularis (Gemminger&Harold, 1873)"
"*Phalaena cinerea (Hufnagel, 1766)"
"* Columbella conspersa nodosa (f) (Schepman, M.M., 1911)"
"*Torgesia (Bornm.)"
"*Hypolycaena mindanaensis (Fruhstorfer,[1912])"
"* Phanthasis mystica (Distant, 1904)"
"* Somatidia (Tenebrosoma) nitida (Broun, 1880)"
"Akwidaa New Town"
"*Syntherata loepoides"
"*Neocoenyra ypthimoides ab. superfluae (Strand, 1911)"
"Chaetodacus cucurbitae"
"* Cancellaria boucheti (Petit & Harasewych, 1986) (original combination)"
"* Cerithium (Vertagus) nobile (Reeve, 1855)"
"*Mycalesis mohangensis (Dufrane, 1945)"
"Genale"
"Murex nodulosus (Bruguière, 1792)"
"*Euxoa fictilis"
"Pikieh, Pichieh"
"*Pseudocalantica anas"
"*Gardenia bignoniiflora Welw. (1859)"
"* Heterometopia brunnea (Aurivillius) Breuning, 1950)"
"* Glenea biapicalis (J. Thomson, 1879)"
"Brzuze Commune"
"* Ricinula fusca (Küster, 1862)"
"* Eualetes tulipa (Chenu, 1843) (incorrect authorship)"
"Parvibaculum marina"
"* Mallosia costata kurdistana (Breuning, 1970)"
"Periodic neutropenia, cyclic leucopenia, cyclic hematopoesis"
"Evodinus perroudi (Pic, 1933)"
"Flexibacter tractuosus"
"Crateropsis (Patrizi, 1948)"
"* Litiopa bombix (Kiener, 1833)"
"*Schinia coolidgei (Hill, 1924)"
"Agaricus prunulus Scop., 1772"
"* Onchidium vaigiense (Quoy & Gaimard, 1825)"
"*Philochrysa regnatrix (Grote,[1864])"
"*Prometopus poliophracta (Turner, 1908)"
"*Grammicosum larsoni (Cerda, 1981)"
"Wadeura (Weber, 1939)"
"*Walsura trifoliolata  (A.Juss.) Harms)"
"*Poria Edalat,  cocos(F.A.Wolf(1922)"
"Qal‘at es Sikkar"
"*Characoma nilotica nigronotata (Warren, 1913)"
"Perumalpet"
"Vapnjarka and Vapniarka"
"* Thaisella mutabilis (Link, 1807)"
"*Neocataclysta midas"
"* Stenacme (Pilsbry, 1945)"
"*Neoscaptia affinis (Rothschild, 1912)"
"Cyclostrema gaudens (Melvill & Standen, 1912)"
"Cerithium variegatum (Quoy & Gaimard, 1834)"
"* Littorina indistincta (Turton, 1932)"
"*Arctiarpia melanopasta (Dognin, 1907)"
"*Cephalispheira denisella"
"*Aulacodes simplex (West, 1931)"
"*Murex rarispina (Lamarck, 1822)"
"* Tromina abyssorum (Lus, 1993)"
"Kibaxe"
"*Naclia perroteti (Oberthür, 1893)"
"*Passineura (Butler, 1876)"
"*Ferulago nodiflora var. brachyloba (Boiss. & Reut.) Thell."
"Glipa polyspila (Fairmaire, 1897)"
"* Microhelia immacula (Strand, 1912)"
"""The Switzerland of America"""
"* Callia lampyroides (Bates, 1866)"
"*Ornix conspicuella (Dietz, 1907)"
"* Oliva maura (Lamarck, 1811)"
"borji(many years ago)"
"* Pyramidella punctata (Férussac, 1821)"
"Pasteurella anatipestifer"
"*Xanthophaea grandis (Chaudoir, 1848)"
"*Crossocosmia (Mik, 1890)"
"Cerithium mitraeforme (G.B. Sowerby II, 1855)"
"Cerithium zebrum var. multimaculata (Vignal, 1903)"
"*Alima (Duda, 1938)"
"*Acronictoides (Kozhanchikov, 1950)"
"* Melanopsis (Canthidomus) (Swainson, 1840)"
"*Blenina quinaria ab. rufitincta (Warren, 1913)"
"Chrysallida (Trabecula) tani (Saurin, 1959)"
"*Pentila nyassana elisabetha ab. nigribasis ( Hulstaert, 1924)"
"*Leucania pryeri (Leech, 1900)"
"*Leptura attenuata (Haldeman) Horn, 1868"
"* Ustulina vulgaris(Tul. & C. Tul., (1863)"
"Székelykeve"
"*Noctua joviana (Stoll, 1782)"
"Laberget"
"Sinho"
"* Trachysomus gibber (Castelnau, 1840)"
"Breg (until 1953)"
"* Pseudovertagus (Pseudovertagus) clava ((Gmelin, 1791)"
"*Taeniocampa mulina (Schaus, 1894)"
"* Diochetos (Harwood, 1932)"
"* ""Kaistiaceae"" (Yarza et al. 2014)"
"Rhopalurus cadenasi Moreno"
"*Euzophera pusilla (Mabille, 1906)"
"*Pyroderces argyrozona (Lower, 1904)"
"* Freadelpha chloroleuca m. quadriocellata (Teocchi, Jiroux & Sudre, 2004)"
"*Erycina agesilas (Latreille,[1809])"
"sagar village"
"*Euriphene (Euriphene) hecqui"
"*Mimorista pulchellalis (Dyar, 1922)"
"Henosepilachna doryca Auctt."
"*Asura sexualis (Felder, 1861)"
"*Copromyza pygmaea (Zetterstedt, 1838)"
"*Iodis barnardae (Lucas, 1891)"
"*Musca compuncta (Harris, 1780)"
"*Ithomia hamlini (Weeks, 1906)"
"*Boophilus calcaratus balcanicus (Minning, 1934)"
"Špaja Vas (local name)"
"* Discodoris cavernae Starmühlner, 1955"
"Swatow; Shantow"
"* Enicodes granulum (Fauvel, 1906)"
"Vadzire"
"*Brachysomida versicolor Casey, 1913"
"*Maxillaria hoehnei (Schltr.)"
"Gidle Commune"
"Hái-têng"
"*Pamphila californica (Mabille, 1883)"
"Haret en Naameh"
"Guaytil"
"*Pellasimnia verconis (Cotton & Godfrey, 1932)"
"*Hypokopelates eleala parallela (Collins & Larsen, 2000)"
"Granulobacter polymyxa (Prazmowski 1880) Beijerinck 1893)"
"*Xerometra cycnobathra"
"Bharanickavu"
"* Glenea fuscofemoralis (Breuning, 1956)"
"*Noctua rectangularis"
"*Eupagia albistriga  (Warren, 1899)"
"*Glaucopis albiventris (Walker, 1854)"
"* Purpura canaliculata (Duclos, 1832)"
"*Pseudosphex laticinctus"
"*Stemmiulus ceylonicus (Pocock, 1892)"
"*Hoplogaster dubia (Grimshaw, 1901)"
"* Bulimus contusus (Reeve, 1848) (junior synonym)"
"*Alophora aurigera (Draber-Monko, 1965)"
""
"* Bulla australis Gray, 1825 ((Invalid: junior homonym of Bulla australis Férussac, 1822))"
"Gorobo"
"Leptura interrogationis (Linnaeus,1758)"
"*Noctua ravula (Hübner,[1813])"
"Uttarpara Kotrung"
"* Elzunia humboldtii coxeyi (Fox, 1941)"
"Ikegami"
"* Ophianoplus marmoreus M. Sars, 1859"
"*Nepticula cotoneastri (Sorhagen, 1922)"
"*Phtheochroa macrocarpana (Walsingham, 1895)"
"* Ricinula globosa Mörch, 1852"
"*Gortyna obliqua (Harvey 1876)"
"*Scirpophaga longicornis (Möschler, 1890)"
"Peroneal spastic flatfoot, Tarsal synostosis, or Tarsal dysostosis"
"*Mycalesis ibitina (Ward, 1873)"
"West Nursery, Stoney Run"
"Wasi, Vashi, Vasi"
"Leucocoprinus cepistipes f. macrosporus (Migl.(1986)"
"*Brunia nebuliferella (Strand, 1922)"
"*Catasticta nimbice bryson (Röber, 1908) (preocc. (Godman & Salvin, 1889))"
"* Leptoconchus cuvieri Deshayes, G.P., 1863"
"*Bradinomorpha (Matsumura, 1920)"
"* Anisephyra (Warren, 1896) (disputed)"
"Goer"
"*Nertobriga signata ab. costalis (Strand, 1917)"
"*Gnorimoschema confusatella (Darlington, 1948)"
"*Noctua bicolor (Esper, 1791)"
"Lingshow"
"* Odostomia costulata (Dunker, 1860) (doubtful synonym)"
"* Pteropogon sect. Pteropogonopsis (A.Gray)"
"* Haynea edulis (Aubl.) Willd.)"
"*Buccinum cingulatum (Lamarck, 1816)"
"*Ornix preciosella (Dietz, 1907)"
"*Agaricus fibula (Bull. (1784)"
"* Lepropus (Brachyaspistes) armatipes (Marshall, 1916)"
"Stasis purpura"
"*Mictopsichia superba (Felder & Rogenhofer, 1875)"
