<page title>,battery,dimensions wxhxd,keyboard,operating system,pointing device,weight,power requirements,security
"Gigabyte X7V2-CF2 17.3"" SLI Gaming Laptop X7V2-CF2 B&H",Built-In Lithium-Polymer ( 73 Wh ),16.8 x 12.0 x 0.9 '' / 42.7 x 30.5 x 2.3 cm,Type : Full-Size Features : Backlight,Windows 8.1,TouchPad,6.61 lb / 3.00 kg,Not Specified By Manufacturer,Kensington Lock Slot
"Lenovo ThinkPad E455 20DE001PUS 14"" Notebook 20DE001PUS B&H",6-Cell Built-In Providing up to 6.5 Hours per Charge ( 48 Wh ),9.4 x 13.3 x 0.9 '' / 23.9 x 33.8 x 2.3 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad,3.99 lb / 1.81 kg Starting weight,Not Specified By Manufacturer,"Infineon TPM Software Professional Package , Fingerprint Reader"
"Gigabyte P35XV3-CF4 15.6"" Gaming Notebook P35XV3-CF4 B&H",Lithium-Polymer ( 75 Wh ),15.1 x 0.8 x 10.6 '' / 383.5 x 20.3 x 269.2 mm,Type : Full-Size Features : Backlight,Windows 8.1 Pro,,5 lb / 2.27 kg,,Kensington Lock Slot
"ASUS K553MA-DB01TQ 15.6"" Multi-Touch Notebook K553MA-DB01TQ",2-Cell Lithium-Ion Providing up to 5 Hours per Charge ( 30Wh ),15.0 x 1.0 x 10.2 '' / 38.1 x 2.5 x 25.9 cm,"Type : Standard Notebook Keyboard Features : Numeric Keypad , Chiclet Style",Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.9 lb / 2.22 kg,,
"HP 15-r230nr 15.6"" Laptop Computer K7W72UA#ABA B&H Photo",3-Cell Built-In Lithium-Polymer Providing up to 5.25 Hours per Charge ( 31 Wh ),14.9 x 10.2 x 1.0 '' / 37.8 x 25.9 x 2.5 cm,Type : Full-Size Features : Numeric Keypad,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.92 lb / 2.23 kg,Not Specified By Manufacturer,
"HP Pavilion 13-a010nr x360 13.3"" Convertible G6S88UA#ABA",3-Cell ( 44 Wh ),13.2 x 9.0 x 0.9 '' / 33.5 x 22.9 x 2.3 cm,Type : Full-Size,Windows 8.1,TouchPad with Multi-Touch Control,3.97 lb / 1.80 kg,,"Power-On Password , Accepts 3rd Party Security Lock Devices , Kensington Lock Slot"
"Acer Aspire V Nitro VN7-791G-730V 17.3"" NX.MTHAA.001 B&H",3-Cell Built-In Lithium-Ion ( 4450 mAh ),16.7 x 1.0 x 11.5 '' / 42.4 x 2.5 x 29.2 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,6.61 lb / 3.00 kg,Not Specified By Manufacturer,
"Toshiba Satellite S55-B5157 15.6"" Notebook PSPQEU-00K00P",Not Specified By Manufacturer,Not Specified By Manufacturer,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,Not Specified By Manufacturer,Not Specified By Manufacturer,Not Specified By Manufacturer
"Dell Inspiron 15R I15RMT-5124SLV 15.6"" I15RMT-5124SLV B&H",6-Cell External ( 65 Wh ),14.8 x 1.2 x 10.2 '' / 37.6 x 3.0 x 25.9 cm,"Type : Full-Size Features : Numeric Keypad , Chiclet Style",Windows 8.1 ( 64-bit ),"TouchPad with Double-Tap , Multi-Touch Control , Tap",5.12 lb / 2.32 kg Approximately,Not Specified By Manufacturer,Kensington Lock Slot
"Lenovo ThinkPad E450 20DC003WUS 14"" Notebook 20DC003WUS B&H",6-Cell Built-In Providing up to 9 Hours per Charge ( 48 Wh ),13.4 x 0.9 x 9.4 '' / 34.0 x 2.3 x 23.9 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad,4.0 lb / 1.81 kg,Not Specified By Manufacturer,"Infineon TPM Software Professional Package , Fingerprint Reader"
"Acer Aspire Switch 11 SW5-171P-82B3 11.6"" NT.L6SAA.005 B&H",3-Cell Built-In Lithium-Polymer ( 2850 mAh ),11.7 x 1.0 x 8.1 '' / 29.7 x 2.5 x 20.6 cm,Type : On-screen Virtual & Physical QWERTY Keyboard Features : Chiclet Style,Windows 8.1 Pro ( 64-bit ),TouchPad with Multi-Touch Control,3.42 lb / 1.55 kg Tablet and keyboard,Not Specified By Manufacturer,
"Fujitsu LIFEBOOK E734 13.3"" Notebook Computer SPFC-E734-001",6-Cell Lithium-Cylinder Providing up to 11.33 Hours per Charge ( 63Wh ),13.3 x 1.1 x 9.1 '' / 33.8 x 2.8 x 23.1 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad,3.94 lb / 1.79 kg,,"Infineon TPM Software Professional Package , Kensington Lock Slot , Fingerprint Reader"
"Toshiba Satellite C55-B5299 15.6"" Notebook PSCMLU-02801M",4-Cell Built-In Lithium-Ion ( 32 Wh ),14.9 x 1.1 x 10.2 '' / 37.8 x 2.8 x 25.9 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1,TouchPad with Multi-Touch Control,4.85 lb / 2.20 kg,"AC : 100-240 VAC , 50-60 Hz Consumption : 45 W",Not Specified By Manufacturer
"Lenovo ThinkPad E540 20C6008QUS 15.6"" Notebook 20C6008QUS",6-Cell Lithium-Ion Providing up to 6.2 Hours per Charge ( 48Wh ),14.8 x 1.1 x 9.8 '' / 37.6 x 2.8 x 24.9 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 7 Professional ( 64-bit ),TouchPad & TrackPoint with Multi-Touch Control,5.4 lb / 2.45 kg,,"HDD User Password Protection , Power-On Password , Infineon TPM Software Professional Package , Kensington Lock Slot , Fingerprint Reader"
"Panasonic Toughboook 53 CF-53SCLZALM 14"" HD CF-53SCLZALM",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard Features : Backlight,Windows 7 Professional,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
"Lenovo ThinkPad T440p 20AN0069US 14"" Notebook 20AN0069US",6-Cell Lithium-Ion Providing up to 7.4 Hours per Charge ( 56Wh ),13.2 x 1.1 x 9.0 '' / 33.5 x 2.8 x 22.9 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad & TrackPoint with Multi-Touch Control,4.70 lb / 2.13 kg,Not Specified By Manufacturer,"HDD User Password Protection , Power-On Password , Infineon TPM Software Professional Package , Kensington Lock Slot"
"Panasonic Toughbook 53 CF-CF-532JCZYCM 14"" CF-532JCZYCM B&H",Built-In Lithium-Ion Providing up to 10 Hours per Charge ( 4500 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Multi-Touch Control,5.6 lb / 2.54 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Power-On Password , Infineon TPM Software Professional Package , Kensington Lock Slot"
"Lenovo ThinkPad E550 20DF0040US 15.6"" Notebook 20DF0040US",6-Cell Built-In Providing up to 9 Hours per Charge ( 48 Wh ),14.8 x 1.1 x 10.1 '' / 37.6 x 2.8 x 25.7 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 7 Professional ( 64-bit ),TouchPad,5.21 lb / 2.36 kg,Not Specified By Manufacturer,Fingerprint Reader
"ASUS R510DP-WH11 15.6"" Notebook Computer R510DP-WH11 B&H",4-Cell Lithium-Ion ( 2950 mAh ),15.0 x 1.2 x 9.9 '' / 38.1 x 3.0 x 25.1 cm,"Type : Standard Notebook Keyboard Features : Numeric Keypad , Chiclet Style",Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,5 lb / 2.27 kg,,
"Lenovo Flex 2-15 Dual-Mode 15.6"" Touchscreen 59440076 B&H",4-Cell Built-In,Not Specified By Manufacturer,Type : Standard Notebook Keyboard,Windows 8.1,TouchPad with Multi-Touch Control,Not Specified By Manufacturer,Not Specified By Manufacturer,Kensington Lock Slot
"Lenovo G50 80L0000QUS 15.6"" Notebook Computer 80L0000QUS",Lithium-Ion Providing up to 5 Hours per Charge,15.1 x 1.0 x 10.4 '' / 38.4 x 2.5 x 26.4 cm,Type : Standard Notebook Keyboard,Windows 8.1,TouchPad,4.63 lb / 2.10 kg,Not Specified By Manufacturer,Kensington Lock Slot
"Lenovo G70 80HW009JUS 17.3"" Notebook Computer 80HW009JUS",4-Cell Built-In Lithium-Cylinder Providing up to 4 Hours per Charge ( 2800 mAh ),16.7 x 1.1 x 11.1 '' / 42.4 x 2.8 x 28.2 cm,Type : Standard Notebook Keyboard,Windows 8.1,TouchPad,6.39 lb / 2.90 kg,,Kensington Lock Slot
"Panasonic Toughboook 53 CF-53SALHYLM 14"" HD CF-53SALHYLM",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
"Toshiba Satellite L55-B5255 15.6"" Notebook PSKT4U-07T02G",4-Cell Built-In Lithium-Ion ( 45 Wh ),14.9 x 0.9 x 10.2 '' / 37.8 x 2.3 x 25.9 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1,TouchPad with Multi-Touch Control,4.85 lb / 2.20 kg,"AC : 100-240 VAC , 50/60 Hz Consumption : 45 W",Kensington Lock Slot
"Panasonic Toughbook 52 CF-52VAABY1M 15.4"" CF-52VAABY1M B&H",Lithium-Ion Providing up to 4 Hours per Charge ( 6750 mAh ),14.0 x 2.0 x 11.3 '' / 35.6 x 5.1 x 28.7 cm,Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad,7.5 lb / 3.40 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Power-On Password , Infineon TPM Software Professional Package , Kensington Lock Slot"
"HP Elitebook 740 G1 14"" Notebook Computer J8V03UT#ABA B&H",3-Cell Lithium-Polymer,13.3 x 0.8 x 9.3 '' / 33.8 x 2.0 x 23.6 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad,3.48 lb / 1.58 kg,,Infineon TPM Software Professional Package
"Lenovo ThinkPad T440p 20AN009CUS 14"" Notebook 20AN009CUS",9-Cell External Lithium-Ion Providing up to 12.7 Hours per Charge ( 100Wh ),13.2 x 1.2 x 9.0 '' / 33.5 x 3.0 x 22.9 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 7 Professional ( 64-bit ),"TouchPad with Double-Tap , Multi-Touch Control , Tap",5.1 lb / 2.31 kg,"AC : 100-240 V AC , 50/60Hz","HDD User Password Protection , Power-On Password , Kensington Lock Slot , Fingerprint Reader"
"Panasonic Toughboook 53 CF-53SALZARM 14"" HD CF-53SALZARM",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 8 Pro ( 64-bit ),TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
"Panasonic Toughbook 31 13.1"" Touchscreen CF-31WALEHLM B&H",Built-In Lithium-Ion Providing up to 14.5 Hours per Charge ( 8550 mAh ),11.5 x 11.9 x 2.9 '' / 29.2 x 30.2 x 7.4 cm,Keys : 87 Type : Standard Notebook Keyboard Features : Backlight,Windows 7 Professional,TouchPad with Multi-Touch Control,7.9 lb / 3.58 kg,"AC : 100-240 VAC , 5060 Hz","BIOS Booting , Infineon TPM Software Professional Package , Kensington Lock Slot"
"HP Omen 15-5010nr 15.6"" Touchscreen Gaming J9K19UA#ABA B&H",4-Cell Lithium-Polymer Providing up to 4.75 Hours per Charge ( 58 Wh ),15.1 x 0.8 x 9.7 '' / 38.4 x 2.0 x 24.6 cm,Type : Full-Size Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.68 lb / 2.12 kg,AC : - VAC Consumption : 120 W,Not Specified By Manufacturer
"Lenovo Y70 Touch 80DU0033US 17.3"" Notebook 80DU0033US B&H",Providing up to 5 Hours per Charge,16.6 x 1.0 x 11.4 '' / 42.2 x 2.5 x 29.0 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1,TouchPad,7.5 lb / 3.40 kg,,
"HP Stream 11.6"" 11-d010nr Notebook Computer K2L95UA#ABA B&H",3-Cell Built-In Lithium-Ion Providing up to 8.25 Hours per Charge ( 37 Wh ),11.8 x 0.8 x 8.1 '' / 30.0 x 2.0 x 20.6 cm,Type : 97 % Standard Notebook Keyboard,Windows 8.1,TouchPad with Multi-Touch Control,2.82 lb / 1.28 kg,Not Specified By Manufacturer,"Power-On Password , Accepts 3rd Party Security Lock Devices , Kensington Lock Slot"
"Lenovo ThinkPad E550 20DF002YUS 15.6"" Notebook 20DF002YUS",6-Cell Built-In Providing up to 9 Hours per Charge ( 48 Wh ),14.8 x 1.1 x 10.1 '' / 37.6 x 2.8 x 25.7 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 7 Professional ( 64-bit ),TouchPad,5.21 lb / 2.36 kg,Not Specified By Manufacturer,"Infineon TPM Software Professional Package , Fingerprint Reader"
"ASUS Republic of Gamers G751JY-DH71 17.3"" G751JY-DH71 B&H",8-Cell Lithium-Ion Providing up to 4 Hours per Charge ( 88 Wh ),16.4 x 1.7 x 12.5 '' / 41.7 x 4.3 x 31.8 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,8.4 lb / 3.81 kg,,
"ASUS X551MAV-EB01-B(S) 15.6"" Notebook X551MAV-EB01-B(S) B&H",3-Cell Lithium-Ion Providing up to 4 Hours per Charge ( 34 Wh ),15.0 x 1.2 x 9.9 '' / 38.1 x 3.0 x 25.1 cm,"Type : Standard Notebook Keyboard Features : Numeric Keypad , Chiclet Style",Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.7 lb / 2.13 kg,,
"Panasonic Toughbook 53 CF-532ULHACM 14"" CF-532ULHACM B&H",Built-In Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.1 x 11.1 x 2.2 '' / 33.3 x 28.2 x 5.6 cm,Keys : 87 Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 Pro ( 64-bit ),TouchPad with Multi-Touch Control,6.5 lb / 2.95 kg,"AC : 100-240 VAC , 50/60 Hz","BIOS Booting , Infineon TPM Software Professional Package , Kensington Lock Slot"
"Dell Inspiron 13 7000 I7347-50SLV 13.3"" Touch I7347-50SLV",3-Cell Built-In ( 43 Wh ),0.7 x 12.9 x 8.7 '' / 1.8 x 32.8 x 22.1 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,3.6 lb / 1.63 kg,"AC : 100-240 VAC , 50-60 Hz Consumption : 65 W",Not Specified By Manufacturer
"Gigabyte X7PRO-CF1 17.3"" Gaming Laptop X7PRO-CF1 B&H Photo",Built-In Lithium-Polymer ( 73 Wh ),16.8 x 12.0 x 0.9 '' / 42.7 x 30.5 x 2.3 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1,TouchPad,6.61 lb / 3.00 kg,,Kensington Lock Slot
Dell Inspiron 17 5000 Series I5749-1111SLV I5749-1111SLV B&H,4-Cell ( 40 Wh ),16.2 x 1.1 x 10.6 '' / 41.1 x 2.8 x 26.9 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,6.61 lb / 3.00 kg,,Kensington Lock Slot
"Lenovo ThinkPad E450 20DC004CUS 14"" Notebook 20DC004CUS B&H",6-Cell Built-In Providing up to 9 Hours per Charge ( 48 Wh ),13.4 x 0.9 x 9.4 '' / 34.0 x 2.3 x 23.9 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad,4.0 lb / 1.81 kg,Not Specified By Manufacturer,"Infineon TPM Software Professional Package , Fingerprint Reader"
"Panasonic Toughboook 53 CF-53SALC8LM 14"" HD CF-53SALC8LM",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
"Lenovo G50 80E501B4US 15.6"" Notebook Computer 80E501B4US",4-Cell Built-In Lithium-Ion Providing up to 4 Hours per Charge,15.1 x 1.0 x 10.4 '' / 38.4 x 2.5 x 26.4 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,4.63 lb / 2.10 kg,Not Specified By Manufacturer,Kensington Lock Slot
"Panasonic Toughbook 53 CF-532ULZYCM 14"" CF-532ULZYCM B&H",Built-In Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.1 x 11.1 x 2.2 '' / 33.3 x 28.2 x 5.6 cm,Keys : 87 Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 Pro ( 64-bit ),TouchPad with Multi-Touch Control,6.5 lb / 2.95 kg,"AC : 100-240 VAC , 50/60 Hz","BIOS Booting , Infineon TPM Software Professional Package , Kensington Lock Slot"
"Panasonic Toughbook 31 -31WFL52CM 13.1"" CF-31WFL52CM B&H",Lithium-Ion Providing up to 18 Hours per Charge ( 8550 mAh ),11.9 x 2.9 x 11.5 '' / 302.3 x 73.7 x 292.1 mm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Dedicated Vertical Scroll Up/Down,7.9 lb / 3.58 kg,"AC : 100-240 VAC , 50/60 Hz","Infineon TPM Software Professional Package , Kensington Lock Slot"
"Lenovo Flex 2 59418271 Convertible 15.6"" 59418271 B&H Photo",Providing up to 7 Hours per Charge,15.1 x 1.1 x 10.9 '' / 38.4 x 2.8 x 27.7 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1,TouchPad,5.51 lb / 2.50 kg,,
"Panasonic Toughboook 53 CF-532BLZ8CM 14"" HD CF-532BLZ8CM",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
"Panasonic Toughboook 53 CF-53SALZALM 14"" HD CF-53SALZALM",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
"Dell Inspiron 11 3000 I3147-3750SLV 11.6"" I3147-3750SLV B&H",3-Cell Built-In ( 43 Wh ),11.8 x 0.8 x 7.9 '' / 30.0 x 2.0 x 20.1 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,3.07 lb / 1.39 kg,,Kensington Lock Slot
"Acer Aspire E5-571-34AK 15.6"" Notebook NX.MPSAA.001 B&H",6-Cell Built-In Lithium-Ion Providing up to 7 Hours per Charge ( 2500mAh ),15.0 x 1.2 x 10.1 '' / 38.1 x 3.0 x 25.7 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,5.5 lb / 2.49 kg,,Kensington Lock Slot
"HP Pavilion 17-f020us TouchSmart 17.3"" G6R29UA#ABA B&H",4-Cell Lithium-Ion Providing up to 4.75 Hours per Charge ( 41Wh ),16.5 x 1.1 x 10.9 '' / 41.9 x 2.8 x 27.7 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1,TouchPad with Multi-Touch Control,7.27 lb / 3.30 kg,,"Power-On Password , Accepts 3rd Party Security Lock Devices , Kensington Lock Slot"
"ASUS N550JK-DB74T 15.6"" Multi-Touch Notebook N550JK-DB74T",4-Cell Lithium-Polymer Providing up to 5 Hours per Charge ( 59 Wh ),15.1 x 1.1 x 10.0 '' / 38.4 x 2.8 x 25.4 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,6 lb / 2.72 kg,,Not Specified By Manufacturer
"HP EliteBook 840 G1 J8U04UT#ABA 14"" Notebook J8U04UT#ABA",3-Cell Built-In Lithium-Polymer Providing up to 13 Hours per Charge ( 50 Wh ),13.3 x 9.3 x 0.8 '' / 33.8 x 23.6 x 2.0 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 7 Professional ( 64-bit ),TouchPad & TrackPoint,3.7 lb / 1.68 kg,,"Infineon TPM Software Professional Package , Kensington Lock Slot"
"Aorus X7V2-CF1 17.3"" SLI Gaming Laptop X7V2-CF1 B&H Photo",Built-In Lithium-Polymer ( 73 Wh ),16.8 x 12.0 x 0.9 '' / 42.7 x 30.5 x 2.3 cm,Type : Full-Size Features : Backlight,Windows 8.1,TouchPad,6.61 lb / 3.00 kg,,Kensington Lock Slot
"Toshiba Satellite Radius 11 L15W-B1320 11.6"" PSKVUU-00500Y",2-Cell Lithium-Ion ( 29 Wh ),11.4 x 0.8 x 7.8 '' / 29.0 x 2.0 x 19.8 cm,Type : Standard Notebook Keyboard,Windows 8.1,TouchPad with Multi-Touch Control,2.9 lb / 1.32 kg,"AC : 100-240 VAC , 50-60 Hz Consumption : 45 W",Kensington Lock Slot
Dell Inspiron 15 5000 Series I5548-1669SLV I5548-1669SLV B&H,3-Cell Lithium-Ion ( 43 Wh ),14.9 x 0.9 x 10.0 '' / 37.8 x 2.3 x 25.4 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,5.73 lb / 2.60 kg,,Kensington Lock Slot
