64bit computing,<page title>,brand,clock speed,manufacturing process,multicore technology,platform compatibility,processor quantity,product type,socket type,tdp,architecture features,bus speed,packaging type,max supported quantity
Yes,Intel Xeon 3.2 GHz (40K2511) Processor - Pricing and Details - Catalog.com,Intel,3.2 GHz,,,PC,1.0,Processor upgrade,Socket 604,,"Hyper-Threading Technology , streaming SIMD extensions 3 , Demand Based Switching , Intel 64 Technology",FSB Speed - 800 MHz,,
,Intel Xeon 3.6 GHz (378751-B21) Processor - Pricing and Details - Catalog.com,Intel,3.6 GHz,,,PC,1.0,Processor upgrade,Socket 604,,"Enhanced SpeedStep technology , Hyper-Threading Technology , streaming SIMD extensions 3 , Demand Based Switching , Intel 64 Technology",FSB Speed - 800 MHz,,
Yes,Intel Xeon 5120 1.86 GHz Dual-Core (416887-B21) Processor - Pricing and Details - Catalog.com,Intel,1.86 GHz,65 nm,Dual-Core,PC,1.0,Processor upgrade,LGA 771 / Socket J,65 W,"Streaming SIMD extensions 3 , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 1066 MHz,,
Yes,Intel Xeon E5520 2.26 GHz Quad-Core (507680-B21) Processor - Pricing and Details - Catalog.com,Intel,2.26 GHz,,Quad-Core,PC,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,"Hyper-Threading Technology , Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache",FSB Speed - 2933 MHz,,
,Intel Xeon E5504 2 GHz Quad-Core (507826-B21) Processor - Pricing and Details - Catalog.com,,2 GHz,,Quad-Core,,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,,,,
Yes,Intel Xeon X5570 2.93 GHz Quad-Core (539214-B21) Processor - Pricing and Details - Catalog.com,Intel,2.93 GHz,,Quad-Core,PC,1.0,Processor upgrade,LGA 1366 / Socket B,95 W,"Hyper-Threading Technology , Intel Intelligent Power Technology , Intel Data Center Manager",,,
Yes,HP Intel Xeon 7030 2.8 GHz Dual-Core (404753-B21) Processor - Pricing and Details - Catalog.com,HP,2.8 GHz,90 nm,Dual-Core,PC,1.0,Processor upgrade,Socket 604,165 W,"Enhanced SpeedStep technology , Hyper-Threading Technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 800 MHz,,
,Intel Xeon E5506 2.13 GHz Quad-Core (583383-B21) Processor - Pricing and Details - Catalog.com,,2.13 GHz,,Quad-Core,,1.0,Processor upgrade,,80 W,,,,
Yes,Intel Xeon 5120 1.86 GHz Dual-Core (417556-B21) Processor - Pricing and Details - Catalog.com,Intel,1.86 GHz,65 nm,Dual-Core,PC,1.0,Processor upgrade,LGA 771 / Socket J ● Socket 771,65 W,"Streaming SIMD extensions 3 , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 1066 MHz,,
Yes,Intel Xeon L5630 2.13 GHz Quad-Core (598142-B21) Processor - Pricing and Details - Catalog.com,Intel,2.13 GHz,,Quad-Core,PC,1.0,Processor upgrade,Socket F,40 W,"Hyper-Threading Technology , Intel Turbo Boost Technology",,,
Yes,Intel Xeon E5335 2 GHz Quad-Core (435952-B21) Processor - Pricing and Details - Catalog.com,Intel,2 GHz,,Quad-Core,PC,1.0,Processor upgrade,LGA 771 / Socket J ● Socket 771,80 W,"Intel Extended Memory 64 Technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache",FSB Speed - 1333 MHz,,
,Intel Xeon E5502 1.86 GHz Dual-Core (495946-B21) Processor - Pricing and Details - Catalog.com,,1.86 GHz,,Dual-Core,,1.0,Processor upgrade,Socket LGA1336,80 W,,,,
Yes,Intel Xeon E5520 2.26 GHz Quad-Core (492239-B21) Processor - Pricing and Details - Catalog.com,Intel,2.26 GHz,,Quad-Core,PC,1.0,Processor upgrade,,80 W,"Hyper-Threading Technology , Intel Intelligent Power Technology , Intel Data Center Manager",,,
,HP Intel Xeon E5606 2.13 GHz Quad-Core (638898-B21) Processor - Pricing and Details - Catalog.com,,2.13 GHz,,Quad-Core,,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,,,,
,Intel Xeon X5667 3.06 GHz Quad-Core (631740-B21) Processor - Pricing and Details - Catalog.com,,3.06 GHz,,Quad-Core,,1.0,Processor upgrade,,95 W,,,,
,Intel Xeon 3.06 GHz (337056-B21) Processor - Pricing and Details - Catalog.com,Intel,3.06 GHz,,,PC,1.0,Processor upgrade,Socket P ● Socket 604,,"Streaming SIMD extensions 2 , Hyper-Threading Technology",533 MHz,,
Yes,Intel Xeon E5520 2.26 GHz Quad-Core (495914-B21) Processor - Pricing and Details - Catalog.com,Intel,2.26 GHz,,Quad-Core,PC,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,"Hyper-Threading Technology , Intel Intelligent Power Technology , Intel Data Center Manager",,,
,Intel Xeon E5430 2.66 GHz Quad-Core (458259-B21) Processor - Pricing and Details - Catalog.com,,2.66 GHz,,Quad-Core,,1.0,Processor upgrade,,80 W,,,,
Yes,AMD Second-Generation Opteron 2216 HE 2.4 GHz Dual-Core (419487-B21) Processor - Pricing and Details - Catalog.com,AMD,2.4 GHz,,Dual-Core,PC,1.0,Processor upgrade,Socket F ● Socket F ( 1207 ),68 W,"PowerNow ! technology , HyperTransport technology , AMD64 technology , integrated memory controller , Enhanced Virus Protection , AMD Virtualization",FSB Speed - 1000 MHz,,
Yes,AMD Opteron 875 2.2 GHz Dual-Core (383393-B21) Processor - Pricing and Details - Catalog.com,AMD,,,,PC,,,,,,,,1.0
,Intel Xeon X5677 3.46 GHz Quad-Core (629850-B21) Processor - Pricing and Details - Catalog.com,,3.46 GHz,,Quad-Core,,1.0,Processor upgrade,Socket F,130 W,,,,
Yes,Intel Xeon E5520 2.26 GHz Quad-Core (495940-B21) Processor - Pricing and Details - Catalog.com,Intel,2.26 GHz,,Quad-Core,PC,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,"Hyper-Threading Technology , Intel Intelligent Power Technology , Intel Data Center Manager",,,
Yes,HP Xeon E5310 1.6 GHz Quad-Core (409278-B21) Processor - Pricing and Details - Catalog.com,HP,1.6 GHz,65 nm,Quad-Core,PC,1.0,Processor upgrade,LGA 771 / Socket J,80 W,"Intel Extended Memory 64 Technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache",FSB Speed - 1066 MHz,,
,HP Intel Xeon E5440 2.83 GHz Quad-Core (457933-B21#0D1) Processor - Pricing and Details - Catalog.com,,2.83 GHz,,Quad-Core,,1.0,Processor upgrade,Socket 771,80 W,,,,
,AMD Opteron 848 2.2 GHz (359708-B21) Processor - Pricing and Details - Catalog.com,,2.2 GHz,,,,1.0,Processor upgrade,Socket 940,,,,,
