64bit processing,<page title>,aspect ratio,battery chemistry,battery energy,bluetooth,bluetooth standard,brand name,cache,certifications standards,color,connection type,depth,display screen technology,display screen type,form factor,front camera resolutionwebcam resolution,front camerawebcam,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,headphonemicrophone combo port,height,keyboard,keyboard type,manufacturer,manufacturer part number,manufacturer website address,maximum battery run time,maximum standby battery time,maximum turbo speed,memory card reader,memory card supported,memory technology,micro hdmi,microphone,multitouch screen,number of cells,number of usb 30 ports,operating system,operating system platform,optical drive type,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product model,product name,product series,product type,screen mode,screen resolution,screen size,software included,solid state drive capacity,speakers,standard memory,total number of usb ports,touchpad features,touchscreen,weight approximate,width,wireless lan,wireless lan standard,additional information,audio line out,backlight technology,battery capacity,ethernet technology,finger print reader,hard drive capacity,hdcp supported,hdmi,height front,height rear,maximum memory,network rj45,number of total memory slots,number of usb 20 ports,operating system architecture,optical media supported,tv card,vga,webcam,wireless lan manufacturer,wireless lan model,mini hdmi,rear camera,rear camera resolution,wwan supported,direct media interface,focus modes,hard drive interface,hard drive rpm,hyperthreading,keyboard backlight,memory standard,security features,sensor type,solid state drive interface,vpro technology,wimax,chipset manufacturer,construction,mini displayport,applicationusage,carrying options,case features,compartment depth,compartment height,compartment width,durability,exterior material,maximum screen size supported,minimum screen size supported,style,chipset model,acer converter cable supported,acer converter port,displayport,checkpoint friendly,compatibility,graphics memory capacity,duallayer media supported,flash memory capacity,country of origin,input voltage,keyboard localization,maximum power supply wattage,digitizer,audio line in,esata,modem,modem rj11,printed designpatterntexture,features,memory form factor,number of mini pci express slots,number of processors installed,number of processors supported,number of total expansion slots,total hard drive capacity,near field communication,number of 35 bays,number of external 525 bays,number of total expansion bays,hard drive configuration,gps,maximum web surfing battery time,maximum video battery time,number of graphic controllers,number of internal 25 bays,number of pci express x1 slots,number of pci express x16 slots,controller type,raid levels,raid supported,expansion bay type,expansion slot type,switchable graphics,number of optical drives,cellular data connectivity technology,solid state drive configuration,number of msata interfaces,number of mxm slots,total solid state drive capacity,burst frequency,widi technology,usb host,rear camera video resolution,maximum audio battery time,accessibility,interior material,pixel density
Yes,"Lenovo IdeaPad Z50 80EC000TUS 15.6"" LED Notebook - AMD A-Series A10-7300 1.90 GHz - Black - 80EC000TUS - Laptops & Notebooks - LENOVO Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),,Yes,Bluetooth 4.0,Lenovo,4 MB,,Black,,10.4 '',,Active Matrix TFT Color LCD,,,,AMD,R6 Graphics,Shared,DDR3L SDRAM,EPEAT Silver,Yes,Yes,1 '',,,Lenovo Group Limited,80EC000TUS,http : //www.lenovo.com/us/en/,3.50 Hour,,3.20 GHz,Yes,MultiMediaCard ( MMC ),DDR3L SDRAM,,Yes,,4-cell,1.0,,,DVD-Writer,IdeaPad Z50 80EC000TUS Notebook Lithium Ion Battery AC Adapter,,Quad-core ( 4 Core ),AMD,A10-7300,1.90 GHz,A-Series,IdeaPad,80EC000TUS,IdeaPad Z50 80EC000TUS Notebook,Z50,Notebook,HD,1366 x 768,15.6 '',,,Yes,8 GB,3.0,,No,5.51 lb,15.1 '',Yes,IEEE 802.11b/g/n,,,LED,2200 mAh,Gigabit Ethernet,,1 TB,,Yes,,,16 GB,Yes,,2.0,,DVD R/ RW,,Yes,Yes,,,,,,,,,,5400.0,,,DDR3L-1600/PC3-12800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Envizen 32 GB Windows 8.1, Intel Quad Core tablet, IPS screen - V10032 - Laptops & Notebooks - AZEND GROUP CORP Laptops & Notebooks - TheNerds.net",16 : 10,Lithium Polymer ( Li-Polymer ),,Yes,Bluetooth 4.0,Envizen Digital,2 MB,,,,6.7 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Hybrid,2 Megapixel,Yes,Intel,HD Graphics ( Gen7 ),Shared,DDR3L SDRAM,,,,0.5 '',,,"Azend Group , Corp",V10032,http : //www.azendcorp.com,8 Hour,,,Yes,microSD,DDR3L SDRAM,,Yes,Yes,,,Windows 8.1 ( Multi Language ),Windows,No,,,Quad-core ( 4 Core ),Intel,Z3735D,1.33 GHz,Atom,,V10032,V10032 Net-tablet PC,,Net-tablet PC,WXGA,1280 x 800,10.1 '',,,Yes,2 GB,,,Yes,,10.2 '',Yes,IEEE 802.11b/g/n,,Yes,,7900 mAh,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,DDR3L-1333/PC3-10600,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83 GHz,,Yes,,,,,
Yes,"Acer Aspire E1-532-29574G50Mnrr 15.6"" LED Notebook - Intel Celeron 2957U 1.40 GHz - Red - NXMHGAA001 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),,Yes,,Acer,2 MB,ACPI 3.0,Red,,10.1 '',,Active Matrix TFT Color LCD,,,,Intel,HD Graphics,Shared,DDR3 SDRAM,,,,1 '',Yes,,"Acer , Inc",NX.MHGAA.001,http : //us.acer.com,4 Hour,,,Yes,Secure Digital ( SD ),DDR3L SDRAM,,Yes,,4-cell,1.0,Windows 7 Home Premium,,DVD-Writer,Aspire E1-532-29574G50Mnrr NotebookLithium Ion BatteryAC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,2957U,1.40 GHz,Celeron,Aspire,E1-532-29574G50Mnrr,Aspire E1-532-29574G50Mnrr Notebook,E1-532,Notebook,HD,1366 x 768,15.6 '',"Microsoft & reg ; Office Starter : reduced-functionality Word and Excel & reg ; only , with advertising . No PowerPoint & reg ; or Outlook & reg ; . Buy Office 2010 to use the full-featured software . Bing & trade ; Bar Windows Live & trade ; Essentials",,Yes,4 GB,3.0,Multi-touch Gesture,,5.18 lb,15 '',Yes,IEEE 802.11b/g/n,Wireless LAN : Acer Nplify 802.11b/g/n,Yes,LED,2500 mAh,Gigabit Ethernet,No,500 GB,Yes,Yes,0.48 '',1 '',8 GB,Yes,,2.0,64-bit,DVD-RAM/ R/ RW,No,Yes,Yes,Atheros,WB335,,,,,,,Serial ATA,5400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Lenovo ThinkPad T440s 20AQ006HUS 14"" LED (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i7 i7-4600U 2.10 GHz - Black - 20AQ006HUS - Laptops & Notebooks - LENOVO Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),23.50 Wh,Yes,Bluetooth 4.0,Lenovo,4 MB,,Black,,8.9 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,,,,Intel,HD 4400,Shared,DDR3L SDRAM,EPEAT Gold,Yes,Yes,0.8 '',Yes,,Lenovo Group Limited,20AQ006HUS,http : //www.lenovo.com/us/en/,8.40 Hour,,3.30 GHz,Yes,MultiMediaCard ( MMC ),DDR3L SDRAM,,Yes,,3-cell,3.0,Windows 7 Professional Upgradable to Windows 8 Pro,,No,ThinkPad T440s 20AQ006HUS Ultrabook Lithium Ion Battery AC Adapter Genuine Windows 8 Pro Lic . Media,Trackpoint,Dual-core ( 2 Core ),Intel,i7-4600U,2.10 GHz,Core i7,ThinkPad,20AQ006HUS,ThinkPad T440s 20AQ006HUS Ultrabook,T440s,Ultrabook,Full HD,1920 x 1080,14 '',Lenovo Solution Center ThinkVantage Product Recovery Rescue and Recovery ThinkVantage System Update Lenovo Cloud Storage by SugarSync Intel AppUp PC Device Stage Adobe Reader Nitro Pro Evernote Skype Microsoft Office Preloaded ( Purchase a Product Key to Activate ) Norton Internet Security ( 30 Days of Virus Definitions ),256 GB,Yes,8 GB,3.0,Multi-touch Gesture,No,3.51 lb,13 '',Yes,IEEE 802.11ac,,,LED,,Gigabit Ethernet,Yes,,,,,,12 GB,Yes,1.0,,64-bit,,,Yes,Yes,Intel,Dual Band Wireless-AC 7260,,,,Yes,5 GT/s,,,,Yes,Yes,DDR3L-1600/PC3-12800,"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-compliant",,Serial ATA/600,Yes,,Intel,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP EliteDesk 800 G1 Desktop Computer - Intel Core i7 i7-4770 3.40 GHz - Small Form Factor - F4K02UTABA - Laptops & Notebooks - HEWLETT-PACKARD Laptops & Notebooks - TheNerds.net,,,,,,HP,8 MB,ACPI TAA Compliant,,,14.9 '',,,Small Form Factor,,,Intel,HD 4600,Shared,DDR3 SDRAM,EU RoHS,Yes,,4 '',Yes,,Hewlett-Packard,F4K02UT # ABA,http : //www.hp.com,,,3.90 GHz,,,DDR3 SDRAM,,,,,4.0,Windows 7 Professional Upgradable to Windows 8.1 Pro,,DVD-Writer,EliteDesk 800 G1 Small Form Factor Business PC Keyboard Mouse Windows 7 Pro 64-bit Restore CD Windows 8.1 Pro 64-bit Restore CD,Mouse,Quad-core ( 4 Core ),Intel,i7-4770,3.40 GHz,Core i7,EliteDesk,,EliteDesk 800 G1 Small Form Factor Business PC,800 G1,Desktop Computer,,,,"Microsoft Security Essentials Security : Device Access Manager File Sanitizer ( Activated via Wizard ) Microsoft Defender Secure Erase HP Client Security MultiMedia : Cyberlink Media Suite Cyberlink PhotoDirector Cyberlink Power Director Cyberlink Power DVD , BD Cyberlink Power2Go ( Secure Burn ) HP Value Add : HP PageLift HP Recovery Manager HP Support Assistant HP QuickStart 3rd Party : Bing Search Evernote PDF Complete , Corporate Edition Skype",,,8 GB,10.0,,,16.70 lb,13.3 '',No,,,Yes,,,Gigabit Ethernet,,,Yes,,,,32 GB,Yes,4.0,6.0,64-bit,DVD-RAM/ R/ RW,,Yes,,,,,,,,5 GT/s,,Serial ATA/600,7200.0,Yes,,DDR3-1600/PC3-12800,,,,Yes,,Intel,,,,,,,,,,,,,,Q87 Express,,,Yes,,,,Yes,,,220 V AC,,240 W,,Yes,,,,,Security Slot,DIMM,,1.0,1.0,4.0,500 GB,,2.0,1.0,4.0,,,,,,1.0,2.0,2.0,Serial ATA/600,1,Yes,,,,,,,,,,,,,,,,,
Yes,"Dell Venue 11 Pro 5130 Ultrabook/Tablet - 10.8"" - In-plane Switching (IPS) Technology - Intel Atom Z3795 1.59 GHz - 4618943 - Laptops & Notebooks - DELL COMPUTER Laptops & Notebooks - TheNerds.net",16 : 9,,32 Wh,Yes,,Dell,2 MB,,,Micro USB,7 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Slate,,,Intel,HD Graphics,Shared,DDR3 SDRAM,,,Yes,0.4 '',No,Touchscreen Keyboard,"Dell , Inc",461-8943,http : //www.dell.com,10 Hour,,,Yes,microSD,DDR3 SDRAM,,Yes,Yes,,1.0,Windows 8.1 Pro,Windows,,Venue 11 Pro 5130 Ultrabook/Tablet Standard Battery AC Adapter,,Quad-core ( 4 Core ),Intel,Z3795,1.59 GHz,Atom,Venue 11 Pro,5130,Venue 11 Pro 5130 Ultrabook/Tablet,,Ultrabook/Tablet,Full HD,1920 x 1080,10.8 '',PocketCloud 2.0,,Yes,2 GB,1.0,,Yes,1.57 lb,11.7 '',,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,DDR3-1333/PC3-10600,Dell Data Protection Dell Data Encryption Trusted Platform Module ( TPM ) Noble Security Lock Slot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,2.39 GHz,,,,,,,
Yes,"Acer Aspire E1-522-45004G50Mnkk 15.6"" LED Notebook - AMD A-Series A4-5000 1.50 GHz - Black - NXM81AA025 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),,Yes,,Acer,2 MB,ACPI 3.0,Black,,10.1 '',,Active Matrix TFT Color LCD,,,,AMD,Radeon HD 8330,Shared,DDR3 SDRAM,,,,1 '',Yes,,"Acer , Inc",NX.M81AA.025,http : //us.acer.com,4 Hour,,,Yes,Secure Digital ( SD ),DDR3L SDRAM,,Yes,,4-cell,1.0,Windows 8.1,,DVD-Writer,Aspire E1-522-45004G50Mnkk NotebookLithium Ion BatteryAC Adapter,TouchPad,Quad-core ( 4 Core ),AMD,A4-5000,1.50 GHz,A-Series,Aspire,E1-522-45004G50Mnkk,Aspire E1-522-45004G50Mnkk Notebook,E1-522,Notebook,HD,1366 x 768,15.6 '',,,Yes,4 GB,3.0,Multi-touch Gesture,,5.29 lb,15 '',Yes,IEEE 802.11b/g/n,Wireless LAN : Acer Nplify 802.11b/g/n,,LED,2500 mAh,Gigabit Ethernet,No,500 GB,Yes,Yes,0.53 '',1 '',8 GB,Yes,2.0,2.0,64-bit,DVD-RAM/ R/ RW,No,Yes,Yes,Atheros,WB335,,,,,,,Serial ATA,5400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Toshiba Encore WT8-A32 32 GB Net-tablet PC - 8"" - In-plane Switching (IPS) Technology, AutoBrite - Wireless LAN - Intel Atom Z3740 1.33 GHz - PDW09U001002 - Laptops & Notebooks - TOSHIBA Laptops & Notebooks - TheNerds.net",16 : 10,,,,,Toshiba,2 MB,,,Micro USB,0.4 '',AutoBrite,Active Matrix TFT Color LCD,Slate,2 Megapixel,Yes,Intel,HD Graphics,Shared,DDR3 SDRAM,,,,8.4 '',,,Toshiba,PDW09U-001002,http : //www.toshiba.com,,,1.86 GHz,Yes,microSD,DDR3 SDRAM,,Yes,Yes,,,Windows 8.1,Windows,No,,,Quad-core ( 4 Core ),Intel,Z3740,1.33 GHz,Atom,Encore,WT8-A32,Encore WT8-A32 Net-tablet PC,WT8,Net-tablet PC,WXGA,1280 x 800,8 '',,,Yes,2 GB,,,Yes,1.10 lb,5.4 '',Yes,IEEE 802.11b/g/n,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,8 Megapixel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Lenovo ThinkPad X240 20AL008YUS 12.5"" Ultrabook - Intel Core i5 i5-4300U 1.90 GHz - Black - 20AL008YUS - Laptops & Notebooks - LENOVO Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),23.20 Wh,Yes,,Lenovo,3 MB,,Black,,8.2 '',,Active Matrix TFT Color LCD,,,,Intel,HD 4400,Shared,,EPEAT Gold,Yes,Yes,0.8 '',Yes,,Lenovo Group Limited,20AL008YUS,http : //www.lenovo.com/us/en/,,,2.90 GHz,Yes,Secure Digital ( SD ),,,Yes,,3-cell,2.0,Windows 7 Professional,,No,ThinkPad X240 ( 20AL-008YUS ) Lithium Polymer Battery AC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,i5-4300U,1.90 GHz,Core i5,ThinkPad,20AL008YUS,ThinkPad X240 ( 20AL-008YUS ),X240,Ultrabook,HD,1366 x 768,12.5 '',Lenovo Companion Lenovo Support Lenovo Cloud Storage Lenovo Settings Intel AppUp AccuWeather Amazon Kindle Evernote Security Rara-Music Lenovo Solutions Center,,Yes,4 GB,,Multi-touch Gesture,,2.84 lb,12 '',,,,,,,Gigabit Ethernet,Yes,500 GB,,,,,8 GB,Yes,,,64-bit,,,Yes,Yes,,,,,,,5 GT/s,,,7200.0,Yes,,,Secure Chip Smart Card Reader,,,,,,Rugged,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"HP EliteBook 840 G1 14"" LED Notebook - Intel Core i7 i7-4600U 2.10 GHz - K2W84USABA - Laptops & Notebooks - HEWLETT-PACKARD Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),,,,HP,4 MB,ACPI Compliance UL CSA FCC Compliance ICES Australia / NZ A-Tick Compliance CCC Japan VCCI Compliance KC BSMI CE Marking Compliance BNCI or BELUS CIT GOST Saudi Arabian Compliance ( ICCP ) SABS UKRSERTCOMPUTER Wi-Fi Certified,,,,,Active Matrix TFT Color LCD,,,,,,,,RoHS,Yes,Yes,,Yes,,Hewlett-Packard,K2W84US # ABA,http : //www.hp.com,,,3.30 GHz,Yes,Secure Digital High Capacity ( SDHC ),DDR3L SDRAM,,Yes,,3-cell,4.0,Windows 7 Professional,,,EliteBook 840 G1 Notebook PC Lithium Polymer Battery AC Adapter Power Cord,TouchPad,Dual-core ( 2 Core ),Intel,i7-4600U,2.10 GHz,Core i7,EliteBook,,EliteBook 840 G1 Notebook PC,840 G1,Notebook,,,14 '',BIOS : HP BIOSphere HP Sure Start HP DriveLock | HP Automatic Drive Lock HP BIOS Protection HP SpareKey Update via Network Master Record Security Power On Authentication Pre-Boot Security Secure Erase Hybrid Boot Measured Boot Secure Boot Absolute Persistence Module Communication : HP Connection Manager HP Value Add Software : HP ePrint Driver HP Hotkey Support HP Recovery Disc Creator 3rd Party : Adobe Flash Player Bing Search Skype,256 GB,Yes,8 GB,4.0,Multi-touch Gesture,,,,Yes,,,,LED,4400 mAh,Gigabit Ethernet,,,,,,,16 GB,Yes,2.0,,64-bit,,,Yes,,,,,,,,5 GT/s,,,,Yes,,DDR3L-1600/PC3-12800,Smart Card Reader HP Client Security with Credential Manager and Password Manager HP Device Access Manager with Just in Time Authentication HP Drive Encryption ( FIPS 140-2 certified ) HP Trust Circles Standard Central Management of Client Security Credential Manager with DigitalPersona Pro Workgroup Computrace Support TPM Embedded Security Chip 1.2 ( EAL4+ Certified ),,Serial ATA/600,,,Intel,,,,,,,,,,,,,,,,,Yes,,,,,,,,English ( US ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Acer Aspire E3-111-C1XL 11.6"" LED (ComfyView) Notebook - Intel Celeron N2930 1.83 GHz - Silver - NXMQVAA001 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),,Yes,,Acer,2 MB,,Silver,,8.3 '',ComfyView,Active Matrix TFT Color LCD,,,,Intel,HD Graphics,Shared,DDR3 SDRAM,,,,0.8 '',Yes,,"Acer , Inc",NX.MQVAA.001,http : //us.acer.com,,,,Yes,Secure Digital ( SD ) Card,DDR3L SDRAM,,Yes,,4-cell,1.0,Windows 7 Home Premium,,No,Aspire E3-111-C1XL NotebookLithium Ion BatteryAC Adapter,TouchPad,Quad-core ( 4 Core ),Intel,N2930,1.83 GHz,Celeron,Aspire,E3-111-C1XL,Aspire E3-111-C1XL Notebook,E3-111,Notebook,HD,1366 x 768,11.6 '',,,Yes,4 GB,3.0,Multi-touch Gesture,,3.06 lb,11.5 '',Yes,IEEE 802.11a/b/g/n,Wireless LAN : Acer Nplify 802.11a/b/g/n,Yes,LED,3220 mAh,Gigabit Ethernet,No,500 GB,Yes,Yes,0.83 '',0.83 '',8 GB,Yes,,2.0,64-bit,,No,,Yes,Atheros,WB222,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP EliteDesk 705 G1 Desktop Computer - AMD A-Series A8 PRO-7600B 3.10 GHz - Micro Tower - J6D16UTABA - Laptops & Notebooks - HEWLETT-PACKARD Laptops & Notebooks - TheNerds.net,,,,,,HP,4 MB,,,,13.4 '',,,Micro Tower,,,AMD,Radeon R7 240,,,,,,6.7 '',Yes,Physical Keyboard,Hewlett-Packard,J6D16UT # ABA,http : //www.hp.com,,,3.80 GHz,Yes,Secure Digital ( SD ) Card,DDR3 SDRAM,,,,,4.0,Windows 7 Professional Upgradable to Windows 8.1 Pro,,DVD-Reader,,Mouse,Quad-core ( 4 Core ),AMD,A8 PRO-7600B,3.10 GHz,A-Series,EliteDesk,,EliteDesk 705 G1 Microtower PC,705 G1,Desktop Computer,,,,,,,4 GB,10.0,,,14 lb,14 '',,,,Yes,,,,,,,,,,,Yes,4.0,6.0,64-bit,DVD-ROM,,Yes,,,,,,,,,,Serial ATA,7200.0,,,DDR3-1600/PC3-12800,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Up to 2 GB,,,,,,,,Yes,,,,,,,,1.0,1.0,4.0,500 GB,,2.0,1.0,3.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
Yes,"Acer C720-34054G03aii 11.6"" LED (ComfyView) Notebook - Intel Core i3 i3-4005U 1.70 GHz - NXSHEAA017 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),,Yes,Bluetooth 4.0 + HS,Acer,3 MB,,,,8 '',ComfyView,Active Matrix TFT Color LCD,,,,Intel,HD 4400,Shared,DDR3 SDRAM,,,,0.8 '',Yes,,"Acer , Inc",NX.SHEAA.017,http : //us.acer.com,8.50 Hour,,,Yes,Secure Digital ( SD ) Card,DDR3L SDRAM,,Yes,,3-cell,1.0,,,No,C720-34054G03aii Notebook Lithium Polymer Battery AC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,i3-4005U,1.70 GHz,Core i3,,C720-34054G03aii,C720-34054G03aii Notebook,C720,Notebook,HD,1366 x 768,11.6 '',,32 GB,Yes,4 GB,2.0,,,2.76 lb,11.3 '',Yes,IEEE 802.11a/b/g/n,Wireless LAN : Acer Nplify 802.11a/b/g/n,Yes,LED,3950 mAh,,No,,Yes,Yes,,,,,,1.0,,,No,,Yes,Atheros,MD222,,,,,5 GT/s,,,,Yes,,,,Ambient Light Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Acer Aspire E1-572-54204G50Mnrr 15.6"" LED Notebook - Intel Core i5 i5-4200U 1.60 GHz - Red - NXMHFAA001 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),,Yes,,Acer,3 MB,ACPI 3.0,Red,,10.1 '',,Active Matrix TFT Color LCD,,,,Intel,HD 4400,Shared,DDR3 SDRAM,,,,1 '',Yes,,"Acer , Inc",NX.MHFAA.001,http : //us.acer.com,4 Hour,,,Yes,Secure Digital ( SD ),DDR3L SDRAM,,Yes,,4-cell,1.0,Windows 7 Home Premium,,DVD-Writer,Aspire E1-572-54204G50Mnrr NotebookLithium Ion BatteryAC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,i5-4200U,1.60 GHz,Core i5,Aspire,E1-572-54204G50Mnrr,Aspire E1-572-54204G50Mnrr Notebook,E1-572,Notebook,HD,1366 x 768,15.6 '',"Microsoft & reg ; Office Starter : reduced-functionality Word and Excel & reg ; only , with advertising . No PowerPoint & reg ; or Outlook & reg ; . Buy Office 2010 to use the full-featured software . Bing & trade ; Bar Windows Live & trade ; Essentials",,Yes,4 GB,3.0,Multi-touch Gesture,,5.18 lb,15 '',Yes,IEEE 802.11b/g/n,Wireless LAN : Acer Nplify 802.11b/g/n,Yes,LED,2500 mAh,Gigabit Ethernet,No,500 GB,Yes,Yes,,,8 GB,Yes,,2.0,64-bit,DVD-RAM/ R/ RW,No,Yes,Yes,Atheros,WB335,,,,,,,Serial ATA,5400.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Asus E451LD E451LD-XB51 14"" Notebook - Intel Core i5 i5-4200U 1.60 GHz - Black - E451LDXB51 - Laptops & Notebooks - ASUS Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),87 Wh,Yes,Bluetooth 4.0,Asus,3 MB,,Black,,9.4 '',,Active Matrix TFT Color LCD,,,,NVIDIA,GeForce GT 820,,DDR3 SDRAM,ENERGY STAR 4.0,Yes,Yes,1.3 '',,,ASUS Computer International,E451LD-XB51,http : //usa.asus.com,13 Hour,,2.60 GHz,Yes,Secure Digital ( SD ),DDR3L SDRAM,,,,9-cell,2.0,,,DVD-Writer,E451LD-XB51 Notebook Lithium Ion Battery AC Adapter User Manual Warranty Card,,Dual-core ( 2 Core ),Intel,i5-4200U,1.60 GHz,Core i5,,E451LD-XB51,E451LD-XB51 Notebook,E451LD,Notebook,HD,1366 x 768,14 '',,,,8 GB,4.0,,No,4 lb,13.3 '',Yes,IEEE 802.11ac,,,,,Ethernet,Yes,500 GB,,Yes,,,16 GB,Yes,2.0,2.0,,DVD R/ RW,,Yes,Yes,,,,,,,5 GT/s,,,7200.0,Yes,,DDR3L-1600/PC3-12800,Trusted Platform Module ( TPM ) Intel Anti Theft ( SBA ),,,No,,,,,,,,,,,,,,,,,,,,,,Up to 1 GB,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
