<page title>,brand name,compatibility,drive interface,drive interface standard,drive type,drive width,hot swappable,manufacturer,manufacturer part number,manufacturer website address,maximum external data transfer rate,network rj45,package type,product name,product type,rotational speed,storage capacity,wireless lan,64bit processing,audio line in,audio line out,cache,chipset manufacturer,chipset model,color,controller type,depth,displayport,esata,ethernet technology,features,firewireilink,form factor,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,hdmi,height,hybrid hard drive capacity,hybrid hard drive interface,hyperthreading,keyboard,limited warranty,maximum memory,maximum power supply wattage,memory standard,memory technology,modem,modem rj11,number of mini pci express slots,number of processors installed,number of processors supported,number of total expansion slots,number of total memory slots,number of usb 30 ports,operating system,operating system architecture,optical drive type,optical media supported,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product model,product series,software included,ssd cache capacity,standard memory,total number of usb ports,vga,vpro technology,weight approximate,width,wireless lan standard,aspect ratio,backlight technology,battery chemistry,battery energy,bluetooth,bluetooth standard,digitizer,direct media interface,display screen technology,display screen type,expansion slot type,finger print reader,focus modes,front camerawebcam,headphonemicrophone combo port,keyboard backlight,keyboard localization,keyboard type,maximum battery run time,maximum turbo speed,memory card reader,memory card supported,microphone,multitouch screen,number of cells,operating system platform,screen mode,screen resolution,screen size,security features,sensor type,solid state drive capacity,solid state drive interface,speakers,touchpad features,touchscreen,wimax,wireless lan manufacturer,wireless lan model,wwan supported,applicationusage,maximum screen size supported,minimum screen size supported,style,error checking,length,memory size,memory speed,number of pins,plating,signal processing,thickness,adjustable display angle,adjustable display height,brightness,certifications standards,contrast ratio,dvi,hdcp supported,horizontal viewing angle,maximum resolution,mount type,number of screens,operating power consumption,platform supported,response time,screen surface,standby power consumption,vertical viewing angle,vesa mount compatible,vesa mount standard,near field communication,webcam,battery capacity,battery rechargeable,battery size,output voltage,packaged quantity,carrying options,case features,durability,hard drive configuration,hard drive interface,hard drive rpm,number of external 525 bays,number of hard drives,number of pci express x16 slots,number of pci express x8 slots,number of pci slots,quickpath interconnect,raid levels,raid supported,remote management,total hard drive capacity,buffer,bus powered,host interface,system requirements,hard drive capacity,number of usb 20 ports,duallayer media supported,memory form factor,number of 35 bays,number of pci express x1 slots,number of total expansion bays,license pricing,license quantity,license type,operating system supported,software name,average seek time,accessibility,additional information,exterior material,clock speed,input voltage,l1 cache,l2 cache,l3 cache,overclocking speed,process technology,processor socket,processor technology,thermal design power,thermal specification,sim size supported,license details,licensing program,graphics controller interface,graphics memory capacity,number of pci express x4 slots,device supported,number of modules,number of msata interfaces,expansion bay type,switchable graphics,flash memory capacity,front camera resolutionwebcam resolution,maximum standby battery time,maximum web surfing battery time,rear camera,rear camera resolution,rear camera video resolution,total number of micro usb ports,cable length,cable type,conductor,connector on first end,connector on second end,analog signal,api supported,bus width,chipset line,digital signal,dual link dvi supported,number of monitors supported,number of stream processors,number of power supplies installed,rack height,keyboardkeypad connectivity technology,keyboardkeypad depth,keyboardkeypad features,keyboardkeypad height,keyboardkeypad host interface,keyboardkeypad width,localization,number of keys,battery size supported,ergonomic fit,movement detection,movement resolution,number of batteries supported,pointing device connectivity technology,pointing device host interface,pointing device wireless technology,scroller type,number of hard drives installed,number of hard drives supported,protocols,frequency,input voltage range,maximum output power,buttons keys,charging capability,connectivity technology,powered usb,card height,ethernet aui,media type supported,network technology,number of network rj45 ports,poe rj45 port,serial port,total number of ports,usb,xjack,headphone,sata pin,output power,number of 25 bays,printed designpatterntexture,gobi supported,number of 2535 bays,number of 525 bays,number of solid state drive installed,number of solid state drive supported,power source,burst frequency,micro hdmi,horizontal frequency,panel technology,standard refresh rate,tilt angle,number of optical drives,adjustable display pivot,builtin devices,color supported,height with stand,offmode power consumption,usb standard,width with stand,depth with stand,number of speakers,number of graphic controllers,number of internal 25 bays,display size supported,display type supported,widescreen,gps,maximum video battery time,media layer supported,sas connector details,total number of sas ports,number of solid state drives,solid state drive configuration,total solid state drive capacity,language supported,keyboardkeypad cable length,flash memory,drive height,mini displayport
"Lenovo Thinkpad Helix 36986fu Ultrabook/tablet - 11.6"" - Vibrantview, In-plane Switching (ips) Technology - Wireless Lan - Intel Core I5 I5-3337u 1.80 Ghz - Black - 4 Gb Ram - 128 Gb Ssd 64-bit - Convertible - 1920 X 1080 Multi-touch Screen Display (led Backlight) - Bluetooth - (36986FU) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,36986FU,http : //www.lenovo.com/ca/en,,No,,ThinkPad Helix 36986FU Ultrabook/Tablet,Ultrabook/Tablet,,,Yes,Yes,,Yes,3 MB,Intel,QS77 Express,Black,,8.9 '' ( 226.1 mm ),Yes,,,"Gorilla Glass , One Glass Solution ( OGS ) Panel",,Convertible,Intel,HD 4000,Shared,DDR3 SDRAM,"ENERGY STAR 5.0 , EPEAT Gold , RoHS",Yes,,0.8 '' ( 20.3 mm ),,,Yes,Yes,3 Year,,45 W,DDR3-1333/PC3-10600,DDR3 SDRAM,,,,,,,,2.0,,64-bit,,,ThinkPad Helix 36986FU Ultrabook/Tablet2 x Lithium Polymer BatteriesAC Adapter,"Trackpoint , TouchPad",Dual-core ( 2 Core ),Intel,i5-3337U,1.80 GHz,Core i5,ThinkPad Helix,36986FU,,,,4 GB,3.0,,,1.61 kg,11.7 '' ( 296.2 mm ),IEEE 802.11a/b/g/n,16 : 9,LED,Lithium Polymer ( Li-Polymer ),"42 Wh , 28 Wh",Yes,Bluetooth 4.0,,5 GT/s,"VibrantView , In-plane Switching ( IPS ) Technology",Active Matrix TFT Color LCD,Mini PCI Express,,Auto-focus,Yes,,,,Physical Keyboard,8 Hour,,,,Yes,Yes,"3-cell , 4-cell",Windows,Full HD,1920 x 1080,11.6 '',"Security KeyholeTrusted Platform Module , TCG 1.2-compliant","Ambient Light Sensor , Accelerometer , Digital Compass , Gyro Sensor , Magnetometer",128 GB,mini-SATA/600,Yes,Multi-touch Gesture,Yes,,Intel,Centrino Advanced-N 6205S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Full,,,,,,,,,,,,2 Megapixel,,,Yes,5 Megapixel,1920 x 1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad X240 20am0019us 12.5"" Led Ultrabook - Intel Core I5 I5-4300u 1.90 Ghz - Black - 4 Gb Ram - 500 Gb Hdd - Intel Hd Graphics 4400 - Windows 8 Pro 64-bit - 1366 X 768 Display - Bluetooth - (20AM0019US) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20AM0019US,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad X240 ( 20AM-0019US ),Ultrabook,,,Yes,Yes,,,3 MB,Intel,,Black,,8.2 '' ( 208.5 mm ),,,Gigabit Ethernet,,,,Intel,HD Graphics 4400,Shared,DDR3L SDRAM,"ENERGY STAR 5.0 , RoHS , GREENGUARD , EPEAT Gold",Yes,,0.8 '' ( 19.8 mm ),,,Yes,Yes,3 Year,8 GB,45 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,1.0,2.0,Windows 8 Pro,64-bit,No,,ThinkPad X240 ( 20AM-0019US ) 1 x External 3-Cell Lithium Ion BatteryAC Adapter,"TouchPad , Trackpoint",Dual-core ( 2 Core ),Intel,i5-4300U,1.90 GHz,Core i5,ThinkPad,20AM0019US,X240,Lenovo Solution Center Lenovo Support Lenovo Companion ThinkVantage System Update Lenovo Cloud Storage By SugarSync Metro Lenovo Cloud Storage By SugarSync PC Device Stage AccuWeather Amazon Kindle Nitro Pro Evernote Skype Rara Streaming Norton Studio Microsoft Office Preloaded ( purchase a product key to activate ) Norton Internet Security ( 30 days of virus definitions ),,4 GB,2.0,Yes,Yes,1.42 kg,12 '' ( 304.8 mm ),IEEE 802.11a/b/g/n/ac,16 : 9,LED,"Lithium Ion ( Li-Ion ) , Lithium Polymer ( Li-Polymer )",23.50 Wh,Yes,Bluetooth 4.0,,5 GT/s,,Active Matrix TFT Color LCD,,Yes,,,Yes,,,,8.70 Hour,2.90 GHz,Yes,"Secure Digital Extended Capacity ( SDXC ) , MultiMediaCard ( MMC ) , Secure Digital High Capacity ( SDHC )",Yes,,3-cell,,HD,1366 x 768,12.5 '',"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-compliant",,,,Yes,Multi-touch Gesture,No,No,Intel,Dual Band Wireless-AC 7260,Yes,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,Yes,,,,,,,,,,Serial ATA/600,7200.0,,,,,,,,,,,,,,,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
Lenovo Microsoft Windows Server 2012 - License - 1 Device Cal - Oem - Pc - (0C19601) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,0C19601,http : //www.lenovo.com/ca/en,,,,Microsoft Windows Server 2012,Software Licensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OEM,1 Device CAL,License,Windows,Microsoft Windows Server 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo 600 Gb 2.5"" Internal Hard Drive - Sas - 10000 Rpm - Hot Swappable - Retail - (67Y2621) - SoftwareCity.ca - Canada",Lenovo,Lenovo ThinkServer System ( s ) : RD330 RD540 RD640 TD330 TS430,SAS,6Gb/s SAS,Internal,2.5 '',Yes,Lenovo Group Limited,67Y2621,http : //www.lenovo.com/ca/en,768 MBps ( 6 Gbps ),No,Retail,ThinkServer 2.5 '' 600GB 10K SAS 6Gbps Hot Swap Hard Drive,Hard Drive,10000 rpm,600 GB,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo 200 Gb 2.5"" Internal Solid State Drive - Sata - (0A89418) - SoftwareCity.ca - Canada",Lenovo,Lenovo ThinkServer ServersRD630RD530,SATA,SATA/300,Internal,2.5 '',,Lenovo Group Limited,0A89418,http : //www.lenovo.com/ca/en,,No,,MLC Solid State Drive,Solid State Drive,,200 GB,No,,,,,,,,,5.5 '' ( 139.7 mm ),,,,,,,,,,,,,,0.8 '' ( 20.3 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.5 g,3 '' ( 76.2 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4H,
"Lenovo Microsoft Windows Server 2012 Standard - License - 2 Cpu - Oem - Reseller Option Kit (rok) - Pc - English, German, French, Italian, Japanese, Spanish - (82972SM) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,82972SM,http : //www.lenovo.com/ca/en,,,,Microsoft Windows Server 2012 Standard,Software Licensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OEM,2 CPU,License,Windows,Microsoft Windows Server 2012 Standard,,,,,,,,,,,,,,,,,BIOS-locked ( Lenovo ),Reseller Option Kit ( ROK ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English , German , French , Italian , Japanese , Spanish",,,,
"Lenovo 1 Tb 3.5"" Internal Hard Drive - Sas - 7200 Rpm - Hot Swappable - (0C19530) - SoftwareCity.ca - Canada",Lenovo,Lenovo ThinkServer System ( s ) : RD540 RD640,SAS,6Gb/s SAS,Internal,3.5 '',Yes,Lenovo Group Limited,0C19530,http : //www.lenovo.com/ca/en,768 MBps ( 6 Gbps ),No,,ThinkServer 3.5 '' 1TB 7.2K SAS 6Gbps Hot Swap Hard Drive,Hard Drive,7200 rpm,1 TB,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Microsoft Windows Server 2012 R2 Foundation Edition - License - 1 Server, 1 Cpu - Oem - Reseller Option Kit (rok) - Pc - Multilingual - (4XI0E51560) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,4XI0E51560,http : //www.lenovo.com/ca/en,,,,Microsoft Windows Server 2012 R2 Foundation Edition,Software Licensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OEM,"1 Server , 1 CPU",License,Windows,Microsoft Windows Server 2012 R2 Foundation Edition,,,,,,,,,,,,,,,,,BIOS-locked ( Lenovo ),Reseller Option Kit ( ROK ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multilingual,,,,
Lenovo Thinkcentre M93p 10a9000lca Desktop Computer - Intel Core I7 I7-4770 3.40 Ghz - Small Form Factor - Business Black - 8 Gb Ram - 500 Gb Hhd - Nvidia - 1 Gb Graphics - Windows 7 Professional 64-bit (french) - (10A9000LCA) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,10A9000LCA,http : //www.lenovo.com/ca/en,,Yes,,ThinkCenter M93p 10A9000LCA Desktop Computer,Desktop Computer,,,No,Yes,Yes,Yes,8 MB,Intel,Q87 Express,Business Black,Serial ATA/600,14.8 '' ( 374.9 mm ),Yes,No,Gigabit Ethernet,Security Slot,,Small Form Factor,NVIDIA,Geforce GT 620,,,"ENERGY STAR 5.0 , GREENGUARD , RoHS , ULE Gold , EPEAT Gold",Yes,,4 '' ( 102.1 mm ),500 GB,,Yes,Yes,3 Year,32 GB,240 W,DDR3-1600/PC3-12800,DDR3 SDRAM,,,,1.0,1.0,4.0,4.0,6.0,Windows 7 Professional Upgradable to Windows 8 Pro ( French ),64-bit,DVD-Writer,DVD-RAM/Â±R/Â±RW,ThinkCenter M93p 10A9000LCA Desktop ComputerUSB KeyboardUSB MouseWindows 8 Pro License Media,Mouse,Quad-core ( 4 Core ),Intel,i7-4770,3.40 GHz,Core i7,ThinkCentre,10A9000LCA,M93p,,,8 GB,8.0,Yes,Yes,7.80 kg,13.3 '' ( 338.1 mm ),,,,,,No,,,5 GT/s,,,,,,,,,French,Physical Keyboard,,3.90 GHz,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,1.0,,2.0,,1.0,,"0 , 1",Yes,,,,,,,,2.0,Yes,DIMM,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,PCI Express x16,Up to 1 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Quickshot Cover Cover Case (cover) For Tablet - Black, Brown - Scratch Resistant, Dust Resistant - (4X80E53053) - SoftwareCity.ca - Canada",Lenovo,Lenovo - Thinkpad 8,,,,,,Lenovo Group Limited,4X80E53053,http : //www.lenovo.com/ca/en,,,,"ThinkPad 8 Quickshot Cover , Black , Brown Box",Cover Case,,,,,,,,,,"Black , Brown",,8.8 '' ( 223 mm ),,,,,,,,,,,,,,0.3 '' ( 7.5 mm ),,,,,1 Year,,,,,,,,,,,,,,,,,"ThinkPad 8 Quickshot Cover , Black , Brown Box Quickshot Cover Installation Instructions",,,,,,,Quickshot Cover,,,,,,,,,300 g,6.1 '' ( 155 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablet,,,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Built-in Stand , Foldable , Magnetic Closure , Automatic Wake-up/Sleep Function , Magnetic Connection , Corner Flap","Scratch Resistant Interior , Dust Resistant Interior",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkpad 65w Ac Adapter (slim Tip) - (0A36258) - SoftwareCity.ca - Canada,Lenovo,Lenovo Thinkpad 2013 Notebooks,,,,,,Lenovo Group Limited,0A36258,http : //www.lenovo.com/ca/en,,,,ThinkPad 65W AC Adapter ( Slim Tip ),AC Adapter,,,,,,,,,,,,4.1 '' ( 105 mm ),,,,,,,,,,,ENERGY STAR 5.0,Yes,,1.1 '' ( 28.5 mm ),,,,,1 Year,,,,,,,,,,,,,,,,,ThinkPad 65W AC Adapter ( Slim Tip ) User 's Guide AC Power Cord,,,,,,,,,,,,,,,,235 g,1.7 '' ( 44 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110 V AC , 220 V AC",,,,,,,,,,,,,,,,Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States , Canada , Mexico",,,,,,,,,,,,,,"50 Hz , 60 Hz",100 V AC to 240 V AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Displayport Cable - Displayport For Monitor - 6 Ft - 1 X Displayport Male Digital Audio/video - 1 X Displayport Male Digital Audio/video - (0A36537) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,0A36537,http : //www.lenovo.com/ca/en,,,,DisplayPort Cable,A/V Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monitor,,,,,,,,,,,,,6 ft,DisplayPort,Copper,1 x 20-pin DisplayPort Male DisplayPort 1.2 Digital Audio/Video,1 x 20-pin DisplayPort Male DisplayPort 1.2 Digital Audio/Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkserver Td340 70b7002kux 5u Tower Server - Intel Xeon E5-2407 V2 2.40 Ghz - 2 Processor Support - 8 Gb Standard/192 Gb Maximum Ram - Raid Supported Controller - Gigabit Ethernet - Raid Level: 0, 1, 1+0 - 800 W - (70B7002KUX) - SoftwareCity.ca - Canada",Lenovo,Microsoft Windows Server 2012 R2 Microsoft Windows Server 2012 Microsoft Windows Server 2008 R2 Microsoft Windows Server 2008 Microsoft Windows Small Business Server 2011 Novel SUSE Linux Enterprise Server Red Hat Enterprise Linux Server VMware ESXi Citrix XenServer,,,,,,Lenovo Group Limited,70B7002KUX,http : //www.lenovo.com/ca/en,,Yes,,ThinkServer TD340 70B7002KUX Server,Server,,,,Yes,,,10 MB,,,,,23.4 '' ( 594.9 mm ),,,Gigabit Ethernet,,,Tower,,,,,ENERGY STAR,Yes,,16.9 '' ( 429.8 mm ),,,No,,,192 GB,800 W,,DDR3 SDRAM,,,,,2.0,6.0,12.0,,No,,DVD-Writer,,,,Quad-core ( 4 Core ),Intel,E5-2407 v2,2.40 GHz,Xeon,ThinkServer,70B7002KUX,TD340,,,8 GB,,,,28.03 kg,7.7 '' ( 194.8 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,4.0,1.0,6.40 GT/s,"0 , 1 , 1+0",Yes,Yes,,,,,,,,,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkserver Ts440 70aq000cux 5u Tower Server - 1 X Intel Xeon E3-1245 V3 3.40 Ghz - 1 Processor Support - 4 Gb Standard/32 Gb Maximum Ram - Serial Ata/600 Raid Supported, 6gb/s Sas Controller - Gigabit Ethernet - Raid Level: 0, 1, 1+0 - 450 W - (70AQ000CUX) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,70AQ000CUX,http : //www.lenovo.com/ca/en,,Yes,,ThinkServer TS440 70AQ000CUX Server,Server,,,,Yes,,,8 MB,Intel,C226,Business Black,"Serial ATA/600 , 6Gb/s SAS",23.4 '' ( 594.4 mm ),,,Gigabit Ethernet,,,Tower,Intel,HD P4600,Shared,DDR3 SDRAM,"GREENGUARD , ENERGY STAR 1.1 , RoHS",Yes,,16.9 '' ( 429.3 mm ),,,Yes,No,3 Year,32 GB,450 W,DDR3-1600/PC3-12800,DDR3 SDRAM,,,,1.0,1.0,4.0,4.0,6.0,No,,DVD-Writer,DVDÂ±R/Â±RW,,No,Quad-core ( 4 Core ),Intel,E3-1245 v3,3.40 GHz,Xeon,ThinkServer,70AQ000CUX,TS440,,,4 GB,8.0,Yes,,27.99 kg,7.7 '' ( 195.1 mm ),,,,,,,,,5 GT/s,,,,,,,,,,,,3.80 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,No,2.0,,1.0,,"0 , 1 , 1+0",Yes,,,,,,,,2.0,,,8.0,1.0,10.0,,,,,,,,,,,"110 V AC , 220 V AC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Enterprise 500 Gb 3.5"" Internal Hard Drive - Sata - 7200 Rpm - (0C19501) - SoftwareCity.ca - Canada",Lenovo,Lenovo Thinkserver TS440,SATA,SATA/600,Internal,3.5 '',,Lenovo Group Limited,0C19501,http : //www.lenovo.com/ca/en,768 MBps ( 6 Gbps ),,,ThinkServer 3.5 '' 500GB 7.2K Enterprise SATA 6Gbps Hard Drive,Hard Drive,7200 rpm,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkserver Raid 710 Adapter - 6gb/s Sas - Pci Express 3.0 X8 - Plug-in Card - Raid Supported - 0, 1, 5, 6, 10, 50, 60 Raid Level - 8 Total Sas Port(s) - 2 Sas Port(s) External - (0C19489) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,0C19489,http : //www.lenovo.com/ca/en,,,,ThinkServer RAID 710 Adapter,SAS Controller,,,,,,,,,,,6Gb/s SAS,,,,,,,Plug-in Card,,,,,,,,2.5 '' ( 64.4 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6 '' ( 167.6 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 , 1 , 5 , 6 , 10 , 50 , 60",Yes,,,,,PCI Express 3.0 x8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low-profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 SFF-8087,8.0,,,,,,,,
