<page title>,accessories included,battery life,battery type,card reader type,connector type,graphics card,hard drive size,laptop screen size,model no,multi media drive,network connection,operating system,platform,primary color,processor brand,processor speed,processor type,product in inches l x w x h,resolution,screen type,shipping weight in pounds,store information not available,system ram,walmart no,bus speed,maximum memory expansion,here,condition,monitor size,multi pack indicator,multimedia drive
"Dell 17.3"" Inspiron Laptop PC, 17 5748 - Walmart.com","Power Cord , Battery",5 hours 26 minutes,Lithium Ion,"3-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",Integrated Graphics,1 TB,17.3 inch,i5748-5000sLV,Tray Load DVD Drive,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Silver,Intel,2.70 GHz,Intel Core i5-4210U Processor,16.3 x 11.2 x 1.1,1600 x 900,"LED Backlight , HD+ Truelife Display",9.13,Please visit your local store to see if this item is in stock .,8 GB,552701153,,8 GB,,,,,
Lenovo Silver Flex 20 Touchscreen All-in-One Desktop - Walmart.com,,,Does Not Contain a Battery,,,,500GB,,Lenovo Flex 20,,,Windows 8.1,,Multi-Color,,,Intel Core i3-4010U Processor,0.8 x 20.5 x 12.2,1600 x 900,,11.48,Please visit your local store to see if this item is in stock .,4 GB,552774215,,,,,19.5 '',No,
"Acer 15.6"" Laptop PC with Intel Core i5 4210U Processor, Aspire E 15 E5-571-563B - Walmart.com","Power Cord , Battery",7 hours,Lithium Ion,1 x SD Card Reader,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",Intel HD Graphics 4400 with 64MB of dedicated system memory,1 TB,15.6 inch,E5-571-563B,8x DVD-SuperMulti Double-Layer Drive,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,Intel,"1.70 GHz , with a Max Turbo Speed of 2.70 GHz",Intel Core i5-4210U Processor,10.08 x 15.02 x 1.19,1366 x 768,"LED Backlight , CineCrystal Widescreen HD Display",8.38,Please visit your local store to see if this item is in stock .,6 GB,552660441,,16 GB,,,,,
Get the Dell Optiplex 740 Desktop PC at Walmart.com. Save money. Live better.,,,Lithium Ion,,,,1TB,,GX740,,,Windows 7 Professional 32-bit,,Black,,,AMD Athlon X2 Dual-Core Processor,15.6 x 13.9 x 4.5,,,23.0,Please visit your local store to see if this item is in stock .,4 GB,551922656,,,,,N/A,No,DVD-RW Drive
Dell E6520 Laptop PC - Walmart.com,"Power Cord , Battery",,Lithium Primary,,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 3 x USB 2.0 , 1 x VGA",Integrated Intel GMA 4500M HD,500 GB,15.5 inch,E6520 LT,DVD-RW Drive,10/100/1000 Gigabit Ethernet & 802.11a/g Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,2.20 GHz,Intel Core i7 Quad-Core Processor,10.16 x 15.12 x 1.11,1280 x 800,"LED Backlight , HD Display",10.0,Please visit your local store to see if this item is in stock .,8 GB,552932928,,8 GB,,,,,
Dell Refurbished Black 755 Desktop PC - Walmart.com,,,Alkaline,,,,250GB,,755,,,Windows 7 Home Premium 32-bit,,Silver,,,Intel Core 2 Duo Processor,15.6 x 14.2 x 4.6,,,27.0,Please visit your local store to see if this item is in stock .,2 GB,551921299,,,,,N/A,No,DVD-CDRW Drive
"HP Natural Silver 15.6"" Pavilion 15-p010us TouchSmart Laptop PC with AMD A8-6410 Quad-Core Processor, 6GB Memory, 750GB Hard Drive, Touchscreen and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",4 hours 45 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",AMD Radeon R5,750 GB,15.6 inch,HP Pavilion 15-P010Us,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Silver,AMD,2.40 GHz,AMD Quad-Core A8-6410 APU Processor,10.24 x 15.14 x 0.99,1366 x 768,"LED Backlight , HD Touchscreen Display",5.94,Please visit your local store to see if this item is in stock .,6 GB,552728132,,,,,,,
"Acer 14"" Laptop, TMP245-M-34014G50Mtkk - Walmart.com","Power Cord , Battery",5 hours,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0",Intel HD Graphics 4400,500 GB,14.0 inch,NX.V91AA.004,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,1.70 GHz,Intel Core i3-4010U Processor,17.0 x 12.0 x 3.5,1366 x 768,"LED Backlight , HD Display",8.2,Please visit your local store to see if this item is in stock .,4 GB,551956467,,16 GB,),,,,
HP Refurbished Desktop PC 500-214 - Walmart.com,,,Does Not Contain a Battery,,,,2TB,,500-214Refurb,,,Windows 8.1,,Silver,,,AMD Elite Quad-Core A8-6500 Accelerated Processor,15.35 x 6.91 x 14.48,,,20.64,Please visit your local store to see if this item is in stock .,8 GB,552890263,,,,,N/A,No,SuperMulti DVD Burner
Dell Inspiron 14 Laptop - Walmart.com,"Power Cord , Battery",6 hours 37 minutes,Lithium Ion,5-in-1 Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x USB 2.0 , 2 x USB 3.0",Intel HD Graphics 4400,1 TB,14.0 inch,i5447-8751sLV,,10/100 Fast Ethernet & 802.11ac Wireless LAN,Windows 8.1 64-bit,PC,Silver,Intel,3.10 GHz,Intel Core i7-4510U Processor,18.39 x 3.37 x 13.0,1366 x 768,"LED Backlight , HD Touchscreen Display",4.55,Please visit your local store to see if this item is in stock .,8 GB,552813037,,16 GB,,,,,
Dell Inspiron 17R Laptop - Walmart.com,"Power Cord , Battery",,Lithium Ion,8-in-1 Digital Media Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 2 x USB 3.0",Intel HD Graphics 4400,1 TB,17.3 inch,i17RM-5164sLV,DVD Drive,10/100 Fast Ethernet & 802.11n Wireless LAN,Windows 8.1,PC,Silver,Intel,2.60 GHz,Intel Core i5-4200U Processor,16.22 x 10.63 x 1.12,1600 x 900,"LED Backlight , HD+ Truelife Display",10.19,Please visit your local store to see if this item is in stock .,8 GB,552201029,,,,,,,
"Dell Inspiron One Desktop PC, 2020 io2020-3341BK - Walmart.com",,,Does Not Contain a Battery,,,,1TB,,io2020-3341BK,,,Windows 8.1 64-bit,,Black,,,Intel Pentium G2030T Processor,19.95 x 12.72 x 2.49,1600 x 900,,22.6,Please visit your local store to see if this item is in stock .,4 GB,552946985,,,,,20 '',No,8x Tray Load DVD±RW Drive
"Acer Refurbished Silver 11.6"" C710-2856 Chromebook PC - Walmart.com","Power Cord , Battery",3 hours 30 minutes,Lithium Ion,"2-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0 , 1 x VGA",Intel HD Graphics,16 GB,11.6 inch,NU.SH7AA.016,,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Chrome,PC,Silver,Intel,1.10 GHz,Intel Celeron Dual-Core 847 Processor,17.0 x 14.0 x 7.0,1366 x 768,"LED Backlight , CineCrystal Widescreen HD Display",8.0,Please visit your local store to see if this item is in stock .,2 GB,551819420,,4 GB,,Refurbished,,,
"Acer Refurbished Laptop, V5-122P-0408 - Walmart.com","Power Cord , Battery",3 hours 30 minutes,Lithium Ion,1 x Media Card Reader,"1 x DC-in , 1 x HDMI , 2 x USB 2.0",AMD Radeon HD 8210 with 512MB of dedicated system memory,500 GB,11.6 inch,NX.M8WAA.007,,802.11b/g/n Wireless LAN,Windows 8 64-bit,PC,Silver,AMD,1.0 GHz,AMD A4-1250 Processor,13.0 x 12.0 x 10.0,1366 x 768,"LED Backlight , CineCrystal Widescreen HD Display",5.0,Please visit your local store to see if this item is in stock .,4 GB,551798432,,6 GB,,Refurbished,,,
Dell Optiplex 380 Desktop - Walmart.com,,,Lithium Primary,,,,160GB,,380,,,Windows 7 Professional 32-bit,,Silver,,,Intel Dual-Core Processor,13.9 x 13.9 x 4.5,,,30.0,Please visit your local store to see if this item is in stock .,4 GB,551823190,,,),,N/A,No,DVD-RW Drive
HP Pavilion Touchscreen Laptop 13 a010nx x360 - Walmart.com,"Power Cord , Battery",,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",AMD Radeon R5,500 GB,13.3 inch,HP Pavilion 13-A010Nr X360,,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Silver,AMD,2.40 GHz,AMD Quad-Core A8-6410 APU Processor,9.003 x 13.12 x 0.305,1366 x 768,"LED Backlight , HD Touchscreen Display",3.97,Please visit your local store to see if this item is in stock .,4 GB,552728155,,,,,,,
"Dell Sleekbook 12.5"" XPS XPSU12-4671CRBFB laptop with intel core i5-4200U Processor - Walmart.com","Power Cord , Battery",,Lithium Ion,,"1 x DC-in , 1 x Headphone/Microphone , 1 x Mini-DisplayPort , 2 x USB 3.0",Intel HD Graphics 4400,128 GB,12.5 inch,XPSU124671CRBFB,,802.11ac Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,2.60 GHz,Intel Core i5-4200U Processor,12.48 x 8.46 x 0.79,1920 x 1080,"LED Backlight , Full HD Touchscreen Display",6.8123,Please visit your local store to see if this item is in stock .,4 GB,552241722,,,,,,,
"Dell Black 15.6"" Inspiron 15 Laptop PC with Intel Core i3-4030U Processor, 4GB Memory, 1TB Hard Drive and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",6 hours 33 minutes,Lithium Ion,"3-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",Integrated Graphics,1 TB,15.6 inch,i3542-3267BK,Tray Load DVD Drive,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,1.90 GHz,Intel Core i3-4030U Processor,15.0 x 10.5 x 1.0,1366 x 768,"LED Backlight , HD Truelife Display",7.1,Please visit your local store to see if this item is in stock .,4 GB,552728157,,8 GB,,,,,
"HP 15.6"" Laptop 15 g039wm - Walmart.com","Power Cord , Battery",4 hours 15 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",AMD Radeon R5,750 GB,15.6 inch,15-G039WM,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,AMD,"2.00 GHz , with a Max Turbo Speed of 2.42 GHz",AMD Quad-Core A8-6410 APU Processor,10.22 x 14.88 x 1.0,1366 x 768,"LED Backlight , HD BrightView Display",8.0,Please visit your local store to see if this item is in stock .,4 GB,552879771,,,,,,,
"HP Licorice Laptop PC with AMD Quad Core A8 6410 Processor, 15-g035wm - Walmart.com","Power Cord , Battery",6 hours,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",AMD Radeon R5,500 GB,15.6 inch,15-g035wm,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,AMD,"2.00 GHz , with a Max Turbo Speed of 2.40 GHz",AMD Quad-Core A8-6410 APU Processor,10.2 x 14.88 x 1.0,1366 x 768,"LED Backlight , HD BrightView Display",6.6,Please visit your local store to see if this item is in stock .,4 GB,552887059,,,,,,,
"HP Modern Silver 15.6"" ENVY 15-k020us TouchSmart Laptop PC with Intel Core i7-4710HQ Processor, 8GB Memory, 1TB Hard Drive, Touchscreen and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",6 hours 15 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 3 x USB 3.0",Intel HD Graphics 4600,1 TB,15.6 inch,HP Envy 15-K020Us,SuperMulti DVD Burner,10/100/1000 Gigabit Ethernet & 802.11ac Wireless LAN,Windows 8.1,PC,Silver,Intel,"2.50 GHz , with a Max Turbo Speed of 3.50 GHz",Intel Core i7-4710HQ Processor,10.24 x 15.14 x 1.11,1920 x 1080,"LED Backlight , Full HD Touchscreen Display",6.04,Please visit your local store to see if this item is in stock .,8 GB,552728142,,,,,,,
"HP Refurbished Silver 15.4"" 6710B Laptop PC with Intel Core 2 Duo Processor, 2GB Memory, 80GB Hard Drive and Windows 7 Home Premium: Computers : Walmart.com","Power Cord , Battery",6 hours,Lithium Ion,,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 4 x USB 2.0 , 1 x VGA",Integrated Mobile Intel GMA 4500M HD,80 GB,15.4 inch,6710B LT,DVD-RW Drive,10/100/1000 Gigabit Ethernet & 802.11a/g Wireless LAN,Windows 7 Home Premium 32-bit,PC,Silver,Intel,2.00 GHz,Intel Core 2 Duo Processor,10.4 x 1.3 x 14.1,1280 x 800,"LCD , HD Anti-glare Display",10.0,Please visit your local store to see if this item is in stock .,2 GB,553151883,,8 GB,,,,,
"HP Licorice Laptop, 15-g080nr, Black - Walmart.com",,,,,,,750 GB,15.6 inch,,,,Windows 7 Home Premium,,,AMD,,AMD Quad-Core A6-6310 APU Processor,,,,6.0,Please visit your local store to see if this item is in stock .,,552728092,,,,,,,
"Toshiba satellite 15.6 touchscreen laptop, P55T-B5262 - Walmart.com","Power Cord , Battery",3 hours 4 minutes,Lithium Ion,"6-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MultiMediaCard ) , 1 x ( miniSD ) , 1 x ( microSD )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x Microphone , 4 x USB 3.0",AMD Radeon R9 M265X with 2GB of dedicated system memory,1 TB,15.6 inch,Toshiba PSPNVU-00U00W,Blu-ray Disc Rewriteable Drive,10/100/1000 Gigabit Ethernet & 802.11ac/n Wireless LAN,Windows 8.1,PC,Gold,Intel,3.50 GHz,Intel Core i7-4710HQ Processor,14.9 x 10.2 x 9.6,3840 x 2160,"LED Backlight , 4K Ultra HD TruBrite Touchscreen Display",7.7,Please visit your local store to see if this item is in stock .,12 GB,552740155,,16 GB,,,,,
"HP Pavilion Touchsmart Laptop, 17-f010us, natural silver - Walmart.com","Power Cord , Battery",5 hours 15 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",AMD Radeon R4,750 GB,17.3 inch,HP Pavilion 17-F010Us,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Silver,AMD,2.40 GHz,AMD Quad-Core A6-6310 APU Processor,10.98 x 16.51 x 1.092,1600 x 900,"LED Backlight , HD+ BrightView Display",6.41,Please visit your local store to see if this item is in stock .,4 GB,552728108,,,,,,,
"Refurbished Acer 13.3"" Laptop PC, NX.M4UAA.001 - Walmart.com","Power cord , 3-cell Lithium Ion , Quick Start Guide",5 hours 30 minutes,Lithium Ion,,"1 x DC-in , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 3.0","Intel HD Graphics 3000 , 128 MB",320 GB,13.3 inch,NX.M4UAA.001,,802.11a/b/g/n Wireless LAN,Windows 8 64-bit,PC,Black,Intel,1.40 GHz,Intel Core i3-2367M Processor,12.59 x 8.52 x 0.7,1366 x 768,CineCrystal LCD,5.0,Please visit your local store to see if this item is in stock .,2 GB,551259451,,4GB,,Refurbished,,,
Acer TravelMate Laptop P4 - Walmart.com,"Power Cord , Battery",3 hours 30 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",Intel HD Graphics 4400,128 GB,15.6 inch,NX.V8MAA.006,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"1.60 GHz , with a Max Turbo Speed of 2.60 GHz",Intel Core i5-4200U Dual-Core Processor,15.0 x 3.0 x 9.5,1920 x 1080,"LED Backlight , Full HD Display",5.06,Please visit your local store to see if this item is in stock .,8 GB,552811722,,8 GB,),,,,
"Asus 17.3"" Laptop G750JS DS71 - Walmart.com","Power Cord , Battery",3 hours 30 minutes,Lithium Ion,"2-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x Microphone , 1 x Thunderbolt , 4 x USB 3.0 , 1 x VGA",NVIDIA GTX 870M with 3GB of dedicated system memory,1 TB,17.3 inch,Asus G750JS-DS71,DL DVD±RW/CD-RW,10/100/1000 Gigabit Ethernet & 802.11ac Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,"2.40 GHz , with a Max Turbo Speed of 3.40 GHz",Intel Core i7-4700HQ Haswell Processor,12.2 x 16.14 x 0.67,1920 x 1080,"LED Backlight , Full HD Display",13.75,Please visit your local store to see if this item is in stock .,16 GB,552775189,,32 GB,,,,,
"Dell Silver 15.6"" Inspiron 15 5547 Laptop PC with Intel Core i5-4210U Processor, 6GB Memory, Touchscreen, 1TB Hard Drive and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",7 hours 17 minutes,Lithium Ion,"5-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SD 3.0 ) , 1 x ( Memory Stick ) , 1 x ( Memory Stick PRO )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",Integrated Graphics,1 TB,15.6 inch,i5547-3751sLV,,10/100 Fast Ethernet & 802.11ac Wireless LAN,Windows 8.1 64-bit,PC,Silver,Intel,2.70 GHz,Intel Core i5-4210U Processor,14.9 x 10.0 x 0.9,1366 x 768,"LED Backlight , HD Touchscreen Display",5.4,Please visit your local store to see if this item is in stock .,6 GB,552701091,,16 GB,,,,,
"Acer Silver Aspire M5-481T-33226G52Mtss 14"" Laptop PC - Walmart.com","Power Cord , Battery",8 hours,Lithium Ion,"2-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 3.0",Intel HD Graphics 4000,20 GB,14.0 inch,NX.M26AA.009,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Silver,Intel,1.90 GHz,Intel Core i3-3227U Processor,15.5 x 11.4 x 3.6,1366 x 768,"LED Backlight , CineCrystal Widescreen HD Display",6.75,Please visit your local store to see if this item is in stock .,6 GB,552012755,,6 GB,,,,,
"CyberPowerPC Black 17.3"" FANGBOOK EVO HFX7-1000 Laptop PC with Intel Core i7-4810MQ Quad-Core Processor, 16GB Memory, 120GB Solid State Drive and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",,Lithium Ion,"3-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC )","2 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x Microphone , 1 x Mini-DisplayPort , 2 x USB 2.0 , 3 x USB 3.0 , 1 x VGA",NVIDIA GeForce GTX 870M with 6GB of dedicated system memory,120 GB SSD,17.3 inch,HFX7-1000,8x DVD±RW SuperMulti Drive,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,"2.80 GHz , with a Max Turbo Speed of 3.80 GHz",Intel Core i7-4810MQ Quad-Core Processor,11.34 x 16.85 x 2.17,1920 x 1080,"LED Backlight , AntiGlare Full HD Display",13.85,Please visit your local store to see if this item is in stock .,16 GB,552582306,,32 GB,,,,,
Purchase the Dell GX520 Desktop PC with Intel Pentium 4 Processor for less at Walmart.com. Save money. Live better.,,,Lithium Ion,,,,250GB,,GX520,,,Windows 7 Home Premium 32-bit,,Black,,,Intel Pentium 4 Processor,13.4 x 12.4 x 3.6,,,27.0,Please visit your local store to see if this item is in stock .,2 GB,552088685,,,,,N/A,No,DVD-ROM Drive
"HP Desktop PC, 110-243wb - Walmart.com",,,Does Not Contain a Battery,,,,1TB,,110-243wb,,,Windows 8.1,,Black,,,AMD Quad-Core A4-5000 Accelerated Processor,20.36 x 7.26 x 14.85,,,20.0,Please visit your local store to see if this item is in stock .,8 GB,552178526,,,,,21.5 '',No,SuperMulti DVD Burner
"HP Refurbished Silver 15.4"" 6710B Laptop PC with Intel Core 2 Duo Processor, 2GB Memory, 320GB Hard Drive and Windows 7 Home Premium: Computers : Walmart.com","Power Cord , Battery",6 hours,Lithium Ion,,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 4 x USB 2.0 , 1 x VGA",Integrated Mobile Intel GMA 4500M HD,320 GB,15.4 inch,6710B LT,DVD-RW Drive,10/100/1000 Gigabit Ethernet & 802.11a/g Wireless LAN,Windows 7 Home Premium 32-bit,PC,Silver,Intel,2.00 GHz,Intel Core 2 Duo Processor,10.4 x 1.3 x 14.1,1280 x 800,"LCD , HD Anti-glare Display",10.0,Please visit your local store to see if this item is in stock .,2 GB,553151890,,8 GB,,,,,
"HP 15.6"" Laptop PC 15 f009wm - Walmart.com","Power Cord , Battery",,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",AMD Radeon HD 8210,500 GB,15.6 inch,15-f009wm,,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,AMD,1.0 GHz,AMD Dual-Core E1-2100 Accelerated Processor,10.16 x 15.18 x 0.89,1366 x 768,"LED Backlight , HD BrightView Display",3.0,Please visit your local store to see if this item is in stock .,4 GB,552587345,,,,,,,
"Toshiba Jet Black 17.3"" Satellite C75D-B7230 Laptop PC with AMD Quad-Core A6-6310 Accelerated Processor, 6GB Memory, 750GB Hard Drive and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",,Lithium Ion,"6-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MultiMediaCard ) , 1 x ( miniSD ) , 1 x ( microSD )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x Microphone , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",AMD Radeon R4,750 GB,17.3 inch,Toshiba PSCLEU-004002,SuperMulti DVD Drive,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,AMD,2.40 GHz,AMD Quad-Core A6-6310 Accelerated Processor,16.3 x 10.6 x 1.3,1600 x 900,"LED Backlight , HD+ TruBrite Display",7.9,Please visit your local store to see if this item is in stock .,6 GB,552740105,,16 GB,,,,,
"Gateway Refurbished Silver 10.1"" LT41P05u Laptop PC with Intel Celeron N2805 Dual-Core Processor, 2GB Memory, Touchscreen, 320GB Hard Drive and Windows 8: Computers : Walmart.com","Power Cord , Battery",5 hours,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x HDMI , 2 x USB 2.0 , 1 x VGA",Intel Graphics,320 GB,10.1 inch,NX.Y43AA.002,,802.11b/g/n Wireless LAN,Windows 8 32-bit,PC,Silver,Intel,1.46 GHz,Intel Celeron Dual-Core N2805 Processor,10.1 x 7.2 x 1.3,1366 x 768,"LED Backlight , HD Touchscreen Display",5.3,Please visit your local store to see if this item is in stock .,2 GB,552791818,,2 GB,,,,,
"Dell Silver 17.3"" Inspiron 17 5748 Laptop PC with Intel Pentium 3558U Processor, 4GB Memory, 500GB Hard Drive and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",5 hours 26 minutes,Lithium Ion,"3-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",Integrated Graphics,500 GB,17.3 inch,i5748-1143sLV,Tray Load DVD Drive,10/100 Fast Ethernet & 802.11n Wireless LAN,Windows 8.1 64-bit,PC,Silver,Intel,1.70 GHz,Intel Pentium 3558U Processor,6.73 x 16.3 x 1.1,1600 x 900,"LED Backlight , HD+ Truelife Display",9.13,Please visit your local store to see if this item is in stock .,4 GB,552913782,,8 GB,,,,,
"Lenovo ThinkPad Laptop, E540 - Walmart.com","Power Cord , Battery",6 hours,Lithium Ion,"4-in-1 card reader 1 x ( SD ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MMC )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x Lenovo OneLink , 1 x USB 2.0 , 2 x USB 3.0 , 1 x VGA",Intel HD Graphics 4600,500 GB,15.6 inch,20C6008QUS,DVD-RW Drive,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 8 Pro 64-bit,PC,Black,Intel,2.20 GHz,Intel Core i7-4702MQ Processor,19.5 x 13.1 x 3.7,1366 x 768,"LED Backlight , HD Display",8.0,Please visit your local store to see if this item is in stock .,4 GB,552414283,,16 GB,,,,,
Lenovo ThinkPad Helix 36984MU Ultrabook/Tablet - Walmart.com,,,,,,,180 GB,11.6 inch,36984MU,,,Windows 8 Pro 64-bit,,,Intel,,Intel Core i5-3427U Processor,,,,3.0,Please visit your local store to see if this item is in stock .,,551802679,,,,,,,
"Dell silver 15.6"" Inspiron 14 5447 laptop with intel core i7-4510U processor - Walmart.com","Power Cord , Battery",7 hours 17 minutes,Lithium Ion,"5-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SD 3.0 ) , 1 x ( Memory Stick ) , 1 x ( Memory Stick PRO )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",Integrated Graphics,1 TB,15.6 inch,i5547-12500sLV,,10/100 Fast Ethernet & 802.11ac Wireless LAN,Windows 8.1 64-bit,PC,Silver,Intel,3.10 GHz,Intel Core i7-4510U Processor,14.9 x 10.0 x 0.9,1920 x 1080,"LED Backlight , Full HD Touchscreen Display",5.4,Please visit your local store to see if this item is in stock .,16 GB,552701098,,16 GB,,,,,
"Asus Zenbook Laptop, UX301LA-DH51T - Walmart.com","Power Cord , Battery",8 hours,Lithium Ion,"2-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard )","1 x DC-in , 1 x Ethernet , 1 x Headphone/Microphone , 1 x Mini-DisplayPort , 1 x MiniHDMI , 2 x USB 3.0",Intel HD Graphics 5000,256 GB,13.3 inch,UX301LA-DH51T,,10/100/1000 Gigabit Ethernet & 802.11ac Wireless LAN,Windows 8 64-bit,PC,Blue,Intel,"1.60 GHz , with a Max Turbo Speed of 2.60 GHz",Intel Core i5-4200U Processor,12.8 x 8.8 x 0.6,2560 x 1440,"LED Backlight , QHD Touchscreen Display",7.05,Please visit your local store to see if this item is in stock .,8 GB,552425658,,8 GB,,,,,
