64bit processing,<page title>,aspect ratio,audio line in,audio line out,backlight technology,brand name,cache,certifications standards,chipset manufacturer,chipset model,controller type,direct media interface,display screen technology,display screen type,displayport,ethernet technology,features,form factor,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,hdcp supported,hyperthreading,input voltage,keyboard,keyboard localization,limited warranty,manufacturer,manufacturer part number,manufacturer website address,maximum memory,maximum power supply wattage,maximum turbo speed,memory form factor,memory standard,memory technology,network rj45,number of external 525 bays,number of internal 25 bays,number of mini pci express slots,number of msata interfaces,number of mxm slots,number of processors installed,number of processors supported,number of total expansion bays,number of total expansion slots,number of total memory slots,number of usb 30 ports,operating system,operating system architecture,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product name,product series,product type,raid supported,screen mode,screen resolution,screen size,software included,standard memory,total hard drive capacity,total number of usb ports,touchscreen,width,depth,hard drive interface,hard drive rpm,height,keyboard type,number of m2 interfaces,number of usb 20 ports,vga,vpro technology,weight approximate,wireless lan,wireless lan standard,color,esata,firewireilink,hdmi,hybrid hard drive capacity,hybrid hard drive interface,modem,modem rj11,optical drive type,optical media supported,product model,ssd cache capacity,memory card reader,number of optical drives,bluetooth,bluetooth standard,microphone,webcam,dvi,solid state drive interface,total solid state drive capacity,number of 35 bays,number of pci express x1 slots,number of pci express x16 slots,duallayer media supported,number of pci slots,raid levels,graphics controller interface,graphics memory capacity,compatibility,device supported,print color,flash memory,headphonemicrophone combo port,clock speed,l1 cache,l2 cache,l3 cache,number of monitors supported,overclocking speed,package type,platform supported,process technology,processor socket,processor technology,thermal design power,thermal specification,memory card supported,multitouch screen,connectivity technology,host interface,system requirements,media type,power source,recommended use,operating power consumption,standby power consumption,usb,usb standard,adjustable display angle,brightness,contrast ratio,horizontal viewing angle,maximum resolution,number of screens,panel technology,response time,screen surface,vertical viewing angle
Yes,Lenovo ThinkCentre M93p 10AB000FUS Desktop Computer,,Yes,Yes,,Lenovo,8 MB,,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Tiny,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10AB000FUS,http : //www.lenovo.com/ca/en,16 GB,65 W,3 GHz,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,1.0,,,1.0,1.0,,1.0,2.0,5.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,ThinkCentre M93p 10AB000FUS Desktop ComputerKeyboardMouseAC/DC AdapterExternal Optical BoxVESA MountWindows 8 Professional License Media,Mouse,Quad-core ( 4 Core ),Intel,i7-4765T,2 GHz,Core i7,ThinkCentre,ThinkCentre M93p 10AB000FUS Desktop Computer,M93p,Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office Preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,8 GB,,5.0,,7.2 '' ( 182.9 mm ),7.2 '' ( 182.9 mm ),,,2.6 '' ( 64.8 mm ),,,,Yes,Yes,2.30 kg,Yes,IEEE 802.11b/g/n,Business Black,No,No,Yes,500 GB,Serial ATA/600,No,No,DVD-Writer,DVDÂ±R/Â±RW,10AB000FUS,8 GB,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Intel Core i5 i5-4670 Quad-core (4 Core) 3.40 GHz Processor - BX80646I54670,,,,,Intel,,,,,,5 GT/s,,,,,,,Intel,HD 4600,,,,,,,,,,,Intel Corporation,BX80646I54670,http : //www.intel.com,,,,,,,,,,,,,,,,,,,,,,,Quad-core ( 4 Core ),Intel,,,,Core i5,Core i5 Quad-core i5-4670 3.4GHz Desktop Processor,,Processor,,,,,,,,,,1.5 '' ( 37.5 mm ),1.5 '' ( 37.5 mm ),,,,,,,,,,,,,,,,,,,,,,i5-4670,,,,,,,,,,,,,,,,,,,,,,,,3.40 GHz,256 KB,1 MB,6 MB,3.0,3.80 GHz,Retail,PC,22 nm,Socket H3 LGA-1150,"Enhanced SpeedStep Technology , Extended Memory 64 Technology , Turbo Boost Technology 2.0 , Virtualization Technology , Trusted Execution Technology",84 W,162.9Â°F ( 72.7Â°C ),,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93z 10AF000FUS All-in-One Computer,16 : 9,Yes,Yes,LED,Lenovo,3 MB,TUV Green Mark,Intel,Q87 Express,Serial ATA/600,5 GT/s,,Active Matrix TFT Color LCD,Yes,Gigabit Ethernet,"Tool-less Back Cover , Security Slot",Desktop Desktop,Intel,HD 4400,Shared,DDR3 SDRAM,"ENERGY STAR 5.2 , ULE Gold , EPEAT Gold , TCO Certified Edge , EuP , GREENGUARD , RoHS",Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10AF000FUS,http : //www.lenovo.com/ca/en,16 GB,150 W,,SoDIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,1.0,1.0,,1.0,1.0,,1.0,2.0,6.0,Windows 7 Professional Upgradable to Windows 8 Pro Windows 7 Professional,64-bit,ThinkCenter M93z 10AF000FUS All-in-One Computer Monitor Stand Keyboard Mouse Windows 8 Pro License Media,Mouse,Dual-core ( 2 Core ),Intel,i3-4130 i3-4130,3.40 GHz 3.40 GHz,Core i3 Core i3,ThinkCentre,ThinkCenter M93z 10AF000FUS All-in-One Computer,M93z,All-in-One Computer All-in-One Computer,,Full HD,1920 x 1080 1920 x 1080,23 '' 23 '',ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Device Experience ThinkVantage AutoLock Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Lenovo Solutions for Small Business Nitro Pro,4 GB 4 GB,500 GB,6.0,No,22.4 '' ( 569 mm ),3.6 '' ( 91.4 mm ),Serial ATA/600,7200.0,17.6 '' ( 447 mm ),,,,Yes,No,9.66 kg,Yes,IEEE 802.11b/g/n,Business Black Business Black,,,,,,,,DVD-Writer,DVDÂ±R/Â±RW,10AF000FUS,,No,,Yes,Bluetooth 4.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP UltraSlim Dock 2013 - for Notebook - D9Y32UT#ABA,,Yes,Yes,,HP,,,,,,,,,Yes,,,,,,,,,,,,,,,1 Year,Hewlett-Packard,D9Y32UT # ABA,http : //www.hp.com/ca,,,,,,,Yes,,,,,,,,,,,4.0,,,UltraSlim Dock 2013 AC Power Adapter Documentation,,,,,,,UltraSlim,UltraSlim Dock 2013,,Docking Station,,,,,,,,4.0,,14.5 '' ( 368.3 mm ),4.2 '' ( 106.7 mm ),,,1.7 '' ( 43.2 mm ),,,,Yes,,766.6 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP EliteBook Folio 9470m Notebook,Notebook,,,,,,,,,,,,,,,,,,,Docking,Proprietary Interface,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M83 10AL000GUS Desktop Computer,,Yes,Yes,,Lenovo,8 MB,,Intel,Q85 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Mini-tower Mini-tower,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"RoHS , EPEAT Gold , GREENGUARD , ULE Gold",Yes Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10AL000GUS,http : //www.lenovo.com/ca/en,32 GB,280 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,2.0,,,,,1.0,1.0,5.0,3.0,4.0,4.0,Windows 7 Professional Upgradable to Windows 8 Pro Genuine Windows 7 Professional,64-bit,Thinkcentre M83 10AL000GUS Desktop Computer Keyboard Mouse Windows 8 Professional License Media,Mouse,Quad-core ( 4 Core ),Intel Intel,i7-4770 i7-4770,3.40 GHz 3.40 GHz,Core i7 Core i7,ThinkCentre,Thinkcentre M83 10AL000GUS Desktop Computer,M83,Desktop Computer Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,4 GB 4 GB,1 TB,8.0,,6.9 '' ( 175 mm ),17.4 '' ( 442.2 mm ),Serial ATA/600,7200.0,16.3 '' ( 414.5 mm ),Physical Keyboard,,4.0,Yes,,11.20 kg,No,,Business Black Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10AL000GUS,,No,,No,,,,No,,,3.0,1.0,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Intel Core i5 i5-4690K Quad-core (4 Core) 3.50 GHz Processor - BX80646I54690K,,,,,Intel,,,,,,5 GT/s,,,,,,,Intel,HD 4600,,DDR3 SDRAM,,,,,,,,,Intel Corporation,BX80646I54690K,http : //www.intel.com,,,,,,,,,,,,,,,,,,,,,,,Quad-core ( 4 Core ),Intel,,,,Core i5,Core i5 Quad-core i5-4690K 3.5GHz Desktop Processor,i5-4600,Processor,,,,,,,,,,1.5 '' ( 37.5 mm ),1.5 '' ( 37.5 mm ),,,,,,,,,,,,,,,,,,,,,,i5-4690K,,,,,,,,,,,,,,,,,,,,,,,,3.50 GHz,256 KB,1 MB,6 MB,3.0,3.90 GHz,Retail,PC,22 nm,Socket H3 LGA-1150,"Virtualization Technology , Extended Memory 64 Technology , Enhanced SpeedStep Technology , Turbo Boost Technology 2.0 , Thermal Monitoring Technology , My WiFi Technology , Identity Protection Technology , Anti-Theft Technology",88 W,162.9Â°F ( 72.7Â°C ),,,,,,,,,,,,,,,,,,,,,,
Yes,Intel Core i7 i7-4790 Quad-core (4 Core) 3.60 GHz Processor - BX80646I74790,,,,,Intel,,,,,,5 GT/s,,,,,,,Intel,HD 4600,,DDR3 SDRAM,,,,,,,,,Intel Corporation,BX80646I74790,http : //www.intel.com,,,,,,,,,,,,,,,,,,,,,,,Quad-core ( 4 Core ),Intel,,,,Core i7,Core i7 Quad-core i7-4790 3.6GHz Desktop Processor,i7-4700,Processor,,,,,,,,,,1.5 '' ( 37.5 mm ),1.5 '' ( 37.5 mm ),,,,,,,,,,,,,,,,,,,,,,i7-4790,,,,,,,,,,,,,,,,,,,,,,,,3.60 GHz,256 KB,1 MB,8 MB,,4 GHz,Retail,PC,22 nm,Socket H3 LGA-1150,"Virtualization Technology , Hyper-Threading Technology , Extended Memory 64 Technology , Enhanced SpeedStep Technology , Turbo Boost Technology 2.0 , Trusted Execution Technology",84 W,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre 10AY0037US Tiny Thin Client,,Yes,,,Lenovo,2 MB,,Intel,H81 Express,,5 GT/s,,,Yes,Gigabit Ethernet,,Tiny,Intel,HD Graphics,Shared,,"EPEAT Gold , ENERGY STAR 5.2 , GREENGUARD , RoHS",Yes,,No,,Yes,,1 Year,Lenovo Group Limited,10AY0037US,http : //www.lenovo.com/ca/en,16 GB,65 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,1.0,,,,,,1.0,2.0,2.0,Windows Embedded Standard 7,,ThinkCentre M73 10AY0037US Thin Client Power Adapter Keyboard Mouse Vertical Floor Stand,Mouse,Dual-core ( 2 Core ),Intel,G1820T,2.40 GHz,Celeron,ThinkCentre,ThinkCentre M73 10AY0037US Thin Client,M73,Thin Client,,,,,Intel Management Engine Components RDP Client Citrix Client VMware Client Internet Explorer 9 Java Flash .Net Framework Microsoft Silverlight Echo Agent Ultra VNC Adobe Reader Intel Manageability Engine Firmware Recovery Agent,2 GB,,5.0,,7 '' ( 177.8 mm ),7.2 '' ( 182.9 mm ),,,1.4 '' ( 35.6 mm ),Physical Keyboard,,3.0,Yes,No,1.30 kg,Yes,IEEE 802.11b/g/n,Business Black,No,,,,,,No,No,,10AY0037US,,,,,,,,,,,,,,,,,,,Cisco EnergyWise,,,8 GB,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M73 10B60009CA Desktop Computer,,Yes,Yes,,Lenovo,3 MB,,Intel,H81 Express,Serial ATA/600,5 GT/s,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,Intel,HD 4400,Shared,DDR3 SDRAM,"GREENGUARD , RoHS",Yes,,Yes,,Yes,French,3 Year,Lenovo Group Limited,10B60009CA,http : //www.lenovo.com/ca/en,16 GB,240 W,,DIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,,,,1.0,1.0,4.0,3.0,2.0,2.0,Windows 7 Professional Upgradable to Genuine Windows 8 Pro ( French ),64-bit,ThinkCentre M73 10B60009CA Desktop Computer Keyboard Moluse Floor Stand Windows 8 Pro License Media,Mouse,Dual-core ( 2 Core ),Intel,i3-4130,3.40 GHz,Core i3,ThinkCentre,ThinkCentre M73 10B60009CA Desktop Computer,M73,Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Power Manager View Management Utility PC Device Stage Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Evernote Microsoft Office Preloaded ( Purchase Product Key to Activate ) Cyberlink Power2Go Cyberlink PowerProducer Nitro Pro,4 GB,500 GB,,,13.2 '' ( 335.3 mm ),15 '' ( 381 mm ),Serial ATA/600,7200.0,3.9 '' ( 99.1 mm ),,,4.0,Yes,No,6.60 kg,No,,Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10B60009CA,,No,,No,,,,,,,1.0,2.0,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo Essential C365 All-in-One Computer - 57323425,16 : 9,Yes,Yes,LED,Lenovo,1 MB,,,,Serial ATA,,,Active Matrix TFT Color LCD,,Gigabit Ethernet,Security Slot,Desktop,AMD,Radeon HD 8240,Shared,DDR3 SDRAM,,,,,,Yes,English,,Lenovo Group Limited,57323425,http : //www.lenovo.com/ca/en,,,,,,DDR3 SDRAM,Yes,,,,,,1.0,1.0,,,,2.0,Windows 8.1,,Essential C365 All-in-One Computer Keyboard Mouse,Mouse,Dual-core ( 2 Core ),AMD,E1-2500,1.40 GHz,E-Series,Essential,Essential C365 All-in-One Computer,C365,All-in-One Computer,,HD+,1600 x 900,19.5 '',,4 GB,500 GB,6.0,No,19.1 '' ( 485.1 mm ),2 '' ( 50.8 mm ),Serial ATA,7200.0,15.7 '' ( 398.8 mm ),,,4.0,,,5.60 kg,Yes,IEEE 802.11b/g/n,,,,Yes,,,,,DVD-Writer,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Secure Digital ( SD ) , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC ) , Memory Stick , Memory Stick PRO , MultiMediaCard ( MMC )",,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93p 10A7000SUS Desktop Computer,,Yes,Yes,,Lenovo,8 MB,,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Mini-tower Mini-tower,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"ENERGY STAR 5.2 , ULE Gold , EPEAT Gold , RoHS , GREENGUARD",Yes Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10A7000SUS,http : //www.lenovo.com/ca/en,32 GB,280 W,3.90 GHz,DIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,2.0,,,,,1.0,1.0,5.0,4.0,4.0,6.0,Windows 7 Professional Upgradable to Windows 8 Pro Windows 7 Professional,64-bit,ThinkCentre M93p 10A7000SUS Desktop Computer Keyboard Mouse Windows 8 Pro License Media,Mouse,Quad-core ( 4 Core ),Intel Intel,i7-4770 i7-4770,3.40 GHz 3.40 GHz,Core i7 Core i7,ThinkCentre,ThinkCentre M93p 10A7000SUS Desktop Computer,M93p,Desktop Computer Desktop Computer,Yes,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,4 GB 4 GB,1 TB,8.0,,6.9 '' ( 175 mm ),17.4 '' ( 442.2 mm ),Serial ATA/600,7200.0,16.3 '' ( 414.5 mm ),,,2.0,Yes,Yes,11.20 kg,No,,Business Black Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10A7000SUS,,No,,No,,,,No,,,3.0,1.0,2.0,Yes,1.0,"0 , 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo ThinkCentre M78 10BU0003US Desktop Computer,,Yes,Yes,,Lenovo,1 MB,,AMD,A75,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,AMD,Radeon HD 8470D,Shared,DDR3 SDRAM,RoHS,Yes,,,,Yes,,3 Year,Lenovo Group Limited,10BU0003US,http : //www.lenovo.com/ca/en,32 GB,240 W,4.10 GHz,DIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,,,,,1.0,1.0,3.0,4.0,4.0,4.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,ThinkCentre M78 10BU0003US Desktop Computer Keyboard Mouse Floor Stand Windows 8 Pro License Media,Mouse,Dual-core ( 2 Core ),AMD,A6-6400B,3.90 GHz,A-Series,ThinkCentre,ThinkCentre M78 10BU0003US Desktop Computer,M78,Desktop Computer,Yes,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Power Manager View Management Utility PC Device Stage Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Evernote Microsoft Office preloaded ; purchase a product key to activate Cyberlink Power2Go Cyberlink PowerProducer Nitro Pro,4 GB,500 GB,10.0,,13.3 '' ( 337.8 mm ),15 '' ( 381 mm ),Serial ATA/600,7200.0,3.9 '' ( 99.1 mm ),,,6.0,Yes,,7.48 kg,No,,Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10BU0003US,,No,,,,,,,,,2.0,1.0,1.0,Yes,2.0,"0 , 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93p 10AA0021US Desktop Computer,,Yes,Yes,,Lenovo,8 MB,,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Tiny,Intel,HD 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10AA0021US,http : //www.lenovo.com/ca/en,16 GB,65 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,1.0,,,1.0,1.0,,1.0,2.0,5.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,ThinkCentre M93p ( 10AA-0021US ) Keyboard Mouse AC/DC Adatper External Optical Box VESA Mount Windows 8 Professional License Media,Mouse,Quad-core ( 4 Core ),Intel,i7-4765T,2 GHz,Core i7,ThinkCentre,ThinkCentre M93p ( 10AA-0021US ),M93p,Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office Preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,4 GB,,5.0,,7.2 '' ( 182.9 mm ),7.2 '' ( 182.9 mm ),,,2.6 '' ( 64.8 mm ),,,,Yes,Yes,2.30 kg,Yes,IEEE 802.11b/g/n,Business Black,No,No,,,,No,No,DVD-Reader,DVD-ROM,10AA0021US,,,,Yes,Bluetooth 4.0,,,,Serial ATA/600,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93p 10A7000GUS Desktop Computer,,Yes,Yes,,Lenovo,6 MB,,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Mini-tower Mini-tower,NVIDIA,GeForce GT 620,,,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10A7000GUS,http : //www.lenovo.com/ca/en,32 GB,280 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,2.0,,,,,1.0,1.0,5.0,4.0,4.0,6.0,Windows 7 Professional Upgradable to Windows 8 Pro Genuine Windows 7 Professional,64-bit,ThinkCentre M93p ( 10A7-000GUS ) Keyboard Mouse,Mouse,Quad-core ( 4 Core ),Intel Intel,i5-4670 i5-4670,3.40 GHz 3.40 GHz,Core i5 Core i5,ThinkCentre,ThinkCentre M93p ( 10A7-000GUS ),M93p,Desktop Computer Desktop Computer,Yes,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,8 GB 8 GB,,10.0,,6.9 '' ( 175 mm ),17.4 '' ( 442.2 mm ),,,16.3 '' ( 414.5 mm ),,,4.0,Yes,Yes,11.20 kg,No,,Business Black Business Black,No,No,,500 GB,Serial ATA/600,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10A7000GUS,8 GB,No,,No,,,,,,,3.0,1.0,2.0,Yes,1.0,"0 , 1",PCI Express x16,Up to 1 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP EliteDesk 800 G1 Desktop Computer - E7C99AW#ABA,,Yes,Yes,,HP,6 MB,ACPI TAA compliant,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,Intel,HD 4600,Shared,DDR3 SDRAM,"ENERGY STAR , IT Eco Declaration , Eco-label , RoHS , WEEE , EU RoHS , EU WEEE",Yes,Yes,,"110 V AC , 220 V AC",Yes,,3 Year,Hewlett-Packard,E7C99AW # ABA,http : //www.hp.com/ca,32 GB,240 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,,,,1.0,1.0,4.0,4.0,4.0,4.0,Windows 7 Professional,64-bit,EliteDesk 800 G1 Small Form Factor PC ( ENERGY STAR ) Keybaord,,Quad-core ( 4 Core ),Intel,i5-4570,3.20 GHz,Core i5,EliteDesk,EliteDesk 800 G1 Small Form Factor PC ( ENERGY STAR ),800 G1,Desktop Computer,Yes,,,,"HP ProtectTools security software Microsoft Security Essentials Security : Device Access Manager Drive Encryption4 File Sanitizer ( Activated via Wizard ) Microsoft Defender Secure Erase HP Client Security MultiMedia : Cyberlink Media Suite Cyberlink PhotoDirector Cyberlink Power Director Cyberlink Power DVD , BD Cyberlink Power2Go ( Secure Burn ) Communication : HP Wireless Hotspot HP Value Add : HP ePrint Driver3 HP PageLift HP Recovery Manager HP Support Assistant HP QuickStart 3rd Party : Bing Search Evernote PDF Complete , Corporate Edition Skype Microsoft Products : Buy Office",4 GB,500 GB,10.0,,13.3 '' ( 338 mm ),14.9 '' ( 379 mm ),Serial ATA/600,7200.0,3.9 '' ( 100 mm ),,,6.0,Yes,Yes,7.60 kg,,,,,,,,,,,DVD-Reader,DVD-ROM,,,,,,,,,,,,2.0,2.0,2.0,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP EliteOne 800 G1 All-in-One Computer - G5R41UT#ABC,16 : 9,Yes,Yes,LED,HP,6 MB,UL CSA FCC Compliance CCC SEPA TAA Compliant ACPI,Intel,Q87 Express,Serial ATA/600,5 GT/s,In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Yes,Gigabit Ethernet,Security Slot,Desktop,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"TCO Certified Edge , CECP , ErP/EuP Lot 6 , Eco-label , IT Eco Declaration , RoHS , EU RoHS , WEEE , EU WEEE , ENERGY STAR , EPEAT Gold",Yes,Yes,No,"120 V AC , 230 V AC",Yes,French,3 Year,Hewlett-Packard,G5R41UT # ABC,http : //www.hp.com/ca,16 GB,200 W,3.70 GHz,SoDIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,Windows 7 Professional ( French ),64-bit,EliteOne 800 G1 All-in-One PC ( ENERGY STAR ) Keyboard Mouse,Mouse,Quad-core ( 4 Core ),Intel,i5-4590S,3 GHz,Core i5,EliteOne,EliteOne 800 G1 All-in-One PC ( ENERGY STAR ),800 G1,All-in-One Computer,Yes,Full HD,1920 x 1080,23 '',"Security : Device Access Manager Drive Encryption File Sanitizer ( Activated via Wizard ) Disk Sanitizer ( External Version ) Microsoft Security Essentials Security Manager HP Value Add : HP ePrint Driver HP PageLift HP Support Assistant HP Recovery Disk Creator 3rd Party : Adobe Flash Player PDF Complete , Corporate Edition Skype",4 GB,500 GB,6.0,Yes,22 '' ( 558.8 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
