<page title>,depth,display size,display type,green compliance,height,included devices,included network card,input devices,installed memory,interface connection,laptop type,memory technology,number of cells,processor class,processor speed,solid state drive capacity,url,warranty information,width,battery life,operating system,slots,video chipset,weight,color,hard drive capacity,included drives,maximum memory,aspect ratio,cache size,installed video memory,max resolution,number of hard drives included,number of processor cores,64bit processing,battery energy,brand name,bus speed,dimensions,drive controllers,duallayer media support,graphics memory technology,hard drive rpm,network rj45,normalizedcache size,normalizeddisplay size,normalizedhard drive capacity,normalizedheight,normalizedinstalled memory,normalizedinstalled video memory,normalizedprocessor speed,normalizedweight,number of total memory slots,number of usb 20 ports,product line,screen mode,software included,total number of usb ports,video bus,video integration,video memory,wifi manufacturer,wifi model,number of solid state drives included,parent retsku,direct media interface,headphonemicrophone combo port,hyperthreading,memory card reader,multitouch screen,number of usb 30 ports,processor model,product series,touchpad features,audio line out,frequency band,keyboard backlight,maximum power supply wattage,operating system architecture,product model,tv card,category,class,modem,modem rj11,front camera,keyboard type,operating system platform,solid state drive interface,audio codec,audio line in,near field communication,vpro technology,cd rewrite speed,cd write speed,cdrom read speed,dvdrom read speed,normalizedcd rewrite speed,normalizedcd write speed,normalizeddvdrom read speed,wwan support
"Panasonic Toughbook CF-C2CCAZFCM Tablet PC - 12.5"" - In-plane Switching IPS Technology - 4G - Intel Core I5 I5-4300U 1.90 GHz (4 GB RAM - 500 GB HDD - Windows 7 Professional - Convertible - 1366 X 768 Multi-touch Screen Display LED Backlight - Bluetooth) Price Comparison at Buy.net",8.4 in,12.5 in,In-plane Switching ( IPS ) Technology LED Backlight,RoHS|ENERGY STAR,1.7 in,Built-In Microphone Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0 + EDR,TouchPad|Stylus|Touch Screen Yes,4 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Tablet PC,DDR3L SDRAM,,Intel Core i5,1.90 GHz,,http : //www.panasonic.com,3 Year,11.8 in,14 Hour,Windows 7 Professional Upgradable to Windows 8.1,ExpressCard/34|Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ),Intel HD 4400,3.99 lbs,,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X502CA-RB01 11.6"" LED Notebook - Intel Celeron 1007U 1.50 GHz - Black (2 GB RAM - 320 GB HDD - Intel HD Graphics - Windows 8 64-bit - 1366 X 768 Display) Price Comparison at Buy.net",,11.6 in,LED Backlight,Yes RoHS,,Built-In Webcam Yes,IEEE 802.11b/g/n,Touch Screen No,2 GB,,Notebook,,,Intel Celeron,1.50 GHz,,http : //usa.asus.com,,,,Windows 8 Pro,,Intel HD Graphics,,Black,320 GB,,,,,,,,,Yes,34 Wh,Asus,,,,,,5400.0,,,,,,,,,,1.0,,,HD,,,,,,,,,B00COQITCO,5 GT/s,,No,,,,1007U,X502CA,,,,,,64-bit,X502CA-RB01,,,,,,,,,,,,,,,,,,,,,
"Asus N550JV-DB72T 15.6"" Touchscreen LED Notebook - Intel Core I7 I7-4700HQ 2.40 GHz - Gray (8 GB RAM - 1 TB HDD - DVD-Writer - NVIDIA GeForce GT 750 - Windows 8 64-bit - Bluetooth) Price Comparison at Buy.net",10 in,15.6 in,LED Backlight,Yes RoHS|ENERGY STAR 4.0|EPEAT,1.1 in,Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11b/g/n|Gigabit Ethernet|Bluetooth 4.0,Touch Screen Yes,8 GB,3 x USB 3.0|HDMI Yes|VGA No|Ethernet RJ-45 Yes|Audio Line Out Yes|Modem RJ-11 No|DisplayPort Yes,Notebook,DDR3 SDRAM,4-cell,Intel Core i7,2.40 GHz,,http : //usa.asus.com,1 Year,15.1 in,5.50 Hour,Windows 8,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ),NVIDIA GeForce GT 750,5.90 lbs,Gray,1 TB,DVDR/RW,16 GB,,,,,,,Yes,59 Wh,Asus,,,,Yes,DDR3 SDRAM,5400.0,Yes,,15.6,1000000.0,27.94,8000.0,,2400.0,94.4,2.0,,,,,3.0,,,,,,,B00COQ4ETG,,Yes,Yes,Yes,,3.0,i7-4700HQ,N550JV,,Yes,,Yes,,64-bit,N550JV-DB72T,,,,No,No,,,,,,,,,,,,,,,,
"Lenovo IdeaPad S400 Dark Brown 14"" Notebook (1.8 GHz Intel Core I3-3217U, 4 GB DDR3, 500 GB HDD, Intel HD Graphics 4000, Windows 8) Price Comparison at Buy.net",9.5 in,14 in,Active Matrix LCD ( TFT ),EPEAT Silver|Energy Star,0.9 in,Built-In Webcam,Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Fast Ethernet,Touchpad|Touch Screen|Keyboard,4 GB,USB - Universal Serial Bus 3.0|USB - Universal Serial Bus 2.0|HDMI|Ethernet - RJ45|Audio - Line Out ( 1/8 '' Mini ) |Audio - Line In ( 1/8 '' Mini ),,DDR3,4-cell,Intel Core i3,1.8 GHz,,http : //shop.lenovo.com/us/en/laptops/,1 year ( s ),13.3 in,5 hour ( s ),Windows 8,SD Card|MultiMedia Card ( MMC ),Intel HD Graphics 4000,4.6 lbs,Brown,500 GB,,8 GB,16 : 9,3 MB,,1366 x 768 ( WXGA ),1,Dual-Core,,,,5 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo T440 Graphite Black 14"" Ultrabook (1.9 GHz Intel Core I5-4300U, 4 GB DDR3, 500 GB HDD + 16 GB SSD, Intel HD Graphics 4400, Windows 8 Pro, LED Backlight) Price Comparison at Buy.net",9.15 in,14 in,LCD Display w/ LED Backlight,RoHS|GREENGUARD|EPEAT Gold|Energy Star,0.82 in,Keyboard Backlight|Fingerprint Reader|Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11a|Wireless Ethernet - IEEE802.11ac|Gigabit Ethernet|Bluetooth,TrackPoint|Touchpad|Keyboard,4 GB,Audio - Line Out ( 1/8 '' Mini ) |VGA|USB - Universal Serial Bus 3.0|Ethernet - RJ45|Audio - Line In ( 1/8 '' Mini ) |DisplayPort,Ultra Portable,DDR3,3-cell,Intel Core i5,1.9 GHz,16 GB,http : //shop.lenovo.com/us/en/laptops/thinkpad/t-series/t440/,3 year ( s ),13.34 in,8.6 hour ( s ),Windows 8 Pro,SD Card,Intel HD Graphics 4400,4 lbs,Black,500 GB,,8 GB,16 : 9,3 MB,,1600 x 900,1,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo T540p 20BE003AUS 15.6"" LED Notebook - Intel - Core I5 I5-4200M 2.5GHz - Black (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4600 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.8 in,15.6 in,LED Backlight,EPEAT Gold|ENERGY STAR 5.0|GREENGUARD|RoHS,1.3 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes|Keyboard Backlight No,IEEE 802.11b/g/n|Gigabit Ethernet|Bluetooth 4.0,Trackpoint|TouchPad,4 GB,2 x USB 2.0|2 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Notebook,DDR3L SDRAM,6-cell,Intel Core i5,2.50 GHz,,http : //www.lenovo.com/us/en/,1 Year,14.8 in,7 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,ExpressCard/34|Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ) |MultiMediaCard ( MMC ),Intel HD 4600,5.31 lbs,Black,500 GB,DVDR/RW,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook 13.3"" Notebook - Intel Core 2 Duo 2.40 GHz (2 GB RAM - 250 GB HDD - DVD-Writer - NVIDIA GeForce 9400M - Mac OS X 10.6 Snow Leopard - 1280 X 800 Display - Bluetooth) Price Comparison at Buy.net",8.9 in,13.3 in,LCD Display w/ LED Backlight,Yes ENERGY STAR|EPEAT Gold,0.9 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11n|Gigabit Ethernet|Bluetooth 2.1,Track Pad,2 GB,2 x USB 2.0|Ethernet RJ-45 Yes|DisplayPort Yes,Notebook,DDR3 SDRAM,,Intel Core 2 Duo,2.40 GHz,No,http : //www.apple.com,1 Year,12.8 in,5 Hour,Mac OS X 10.6 Snow Leopard,,NVIDIA GeForce 9400M,4.50 lbs,,250 GB,DVDR/RW,4 GB,16 : 10,3 MB,256 MB,1280 x 800,1,,Yes,45 Wh,Apple,1066 MHz,0.95 '' Height x 12.80 '' Width x 8.94 '' Depth,Serial ATA,Yes,DDR3 SDRAM,5400.0,Yes,3.0,13.3,250000.0,0.00095,2000.0,256.0,2400.0,72.0,2.0,2.0,MacBook,WXGA,Time Machine Quick Look Spaces Spotlight Dashboard Mail iChat Safari Address Book QuickTime iCal DVD Player Photo Booth Front Row Xcode Developer Tools iLife 08 : iTunes iPhoto iMovie iDVD iWeb GarageBand,2.0,PCI Express x16,Card,256 MB Shared,Apple,AirPort Extreme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10 X ( CD , CD-R )","24 X ( CD , CD-R )","24 X ( CD , CD-R )","8 X ( DVD , DVD-R )",10.0,24.0,8.0,
"Acer Aspire V5-573P-54208G1Taii 15.6"" Touchscreen LED Notebook - Intel Core I5 I5-4200U 1.60 GHz (8 GB RAM - 1 TB HDD - Intel HD 4400 - Windows 8.1 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",10.1 in,15.6 in,LED Backlight,,0.9 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0 + HS,TouchPad|Touch Screen Yes,8 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes,Notebook,DDR3L SDRAM,4-cell,Intel Core i5,1.60 GHz,,http : //us.acer.com,,15 in,6.50 Hour,Windows 8.1,Secure Digital ( SD ) Card,Intel HD 4400,4.85 lbs,,1 TB,,12 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Edge E440 20C50050US 14"" LED Notebook - Intel - Core I7 I7-4702MQ 2.2GHz - Silver - Matte Black (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4600 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.4 in,14 in,LED Backlight,EPEAT Gold|ENERGY STAR 5.2|RoHS,1.2 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Trackpoint,4 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,6-cell,Intel Core i7,2.20 GHz,,http : //www.lenovo.com/us/en/,1 Year,13.5 in,6.30 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,Mini PCI Express|Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ) |MultiMediaCard ( MMC ),Intel HD 4600,4.70 lbs,Matte Black|Silver,500 GB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo X1 Carbon 20A7002NUS 14"" LED Ultrabook - Intel - Core I5 I5-4300U 1.9GHz - Black (4 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 7 Professional 64-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net",8.9 in,14 in,LED Backlight,ENERGY STAR 6.0|RoHS,0.7 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11ac|Ethernet|Bluetooth 4.0,TouchPad|Trackpoint|Touch Screen No,4 GB,2 x USB 3.0|HDMI Yes|DisplayPort Yes,Ultrabook,DDR3L SDRAM,8-cell,Intel Core i5,1.90 GHz,256 GB,http : //www.lenovo.com/us/en/,3 Year,13 in,8.70 Hour,Windows 7 Professional Upgradable to Windows 8.1 Pro,Micro SIM Card,Intel HD 4400,2.96 lbs,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook Folio E1Y34UT 14"" LED Notebook - Intel Core I5 1.90 GHz - Platinum (4 GB RAM - 500 GB HDD - Intel HD 4000 Graphics - Genuine Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.1 in,14 in,LED Backlight,Yes WEEE|RoHS|IT Eco Declaration|EPEAT Silver|ENERGY STAR,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick,4 GB,3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes|DisplayPort Yes,Notebook,DDR3 SDRAM,4-cell,Intel Core i5,1.90 GHz,,http : //www.hp.com,1 Year,13.3 in,8.50 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ) |MMCplus|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4000,3.56 lbs,Platinum,500 GB,,16 GB,,,,,,,Yes,52 Wh,HP,,,,,DDR3 SDRAM,7200.0,Yes,,,,,,,,,2.0,,EliteBook Folio,HD,"HP Connection Manager HP Hotkey Support HP ProtectTools for Central Management HP ProtectTools Security Manager HP Recovery Manager HP Support Assistant Adobe Flash Player PDF Complete Corporate Edition WinZip Basic HP Premier Image ( Use of the HP Image and Internet access required ) Evernote Supports UEFI specification 2.3 Microsoft Office Starter : ( Reduced-functionality Word and Excel only , with advertising . No PowerPoint or Outlook . Buy Office 2010 to use the full featured software . )",3.0,,,,Intel,Centrino Advanced-N 6235,,B00CIDZG7O,5 GT/s,,Yes,Yes,,3.0,i5-3437U,9470m,Multi-touch Gesture,Yes,,Yes,45 W,64-bit,E1Y34UT,,,,,,,,,,,,,Yes,,,,,,,,
"HP (Hewlett-Packard) EliteBook Folio 9470m 14"" LED Ultrabook - Intel - Core I5 I5-3437U 1.9GHz - Platinum (4 GB RAM - 256 GB SSD - Intel HD 4000 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.1 in,14 in,LED Backlight,ENERGY STAR|EPEAT Silver|IT Eco Declaration|RoHS|WEEE,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick,4 GB,3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes|DisplayPort Yes,Ultrabook,DDR3 SDRAM,4-cell,Intel Core i5,1.90 GHz,256 GB,http : //www.hp.com,3 Year,13.3 in,10 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ) |Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ) |MMCplus,Intel HD 4000,3.56 lbs,Platinum,,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X550LA-XH51 15.6"" Notebook - Intel Core I5 I5-4200U 1.60 GHz - Silver Gray (8 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4400 - Windows 8 Pro 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.9 in,15.6 in,,RoHS|ENERGY STAR 4.0,1.3 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Touch Screen No,8 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,4-cell,Intel Core i5,1.60 GHz,,http : //usa.asus.com,1 Year,15 in,5 Hour,Windows 8 Pro,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4400,5.10 lbs,Silver Gray,500 GB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus R510CA-RB31 15.6"" LED Notebook - Intel Core I3 I3-3217U 1.80 GHz - Dark Gray (6 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4000 - Windows 8 64-bit - 1366 X 768 Display) Price Comparison at Buy.net",9.9 in,15.6 in,LED Backlight,ENERGY STAR 4.0|RoHS|EPEAT,1.3 in,Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet,TouchPad|Touch Screen No,6 GB,1 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes|Modem RJ-11 No|DisplayPort No,Notebook,DDR3 SDRAM,4-cell,Intel Core i3,1.80 GHz,,http : //usa.asus.com,,15 in,,Windows 8,Secure Digital ( SD ) Card,Intel HD 4000,5.10 lbs,Dark Gray,500 GB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo T440s 20AQ004JUS 14"" Touchscreen LED In-plane Switching IPS Technology Ultrabook - Intel - Core I7 I7-4600M 2.9GHz - Graphite Black (8 GB RAM - 256 GB SSD - Intel HD 4600 - Windows 8 Pro 64-bit - 1920 X 1080 Display - Bluetooth) Price Comparison at Buy.net",8.9 in,14 in,In-plane Switching ( IPS ) Technology LED Backlight,EPEAT Gold|ENERGY STAR 5.0|GREENGUARD|RoHS,0.9 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n/ac|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Trackpoint|Touch Screen Yes,8 GB,3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Ultrabook,DDR3L SDRAM,3-cell,Intel Core i7,2.90 GHz,256 GB,http : //www.lenovo.com/us/en/,3 Year,13 in,8.40 Hour,Windows 8 Pro,MultiMediaCard ( MMC ) |Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4600,3.90 lbs,Graphite Black,,,12 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ZBook 15 15.6"" LED Notebook - Intel - Core I7 I7-4700MQ 2.4GHz - Graphite (4 GB RAM - 500 GB HDD - DVD-Writer - NVIDIA, Intel Quadro K610M, HD 4600 - Windows 7 Professional 64-bit English - 1920 X 1080 Display - Bluetooth - English Keyboard) Price Comparison at Buy.net",10.1 in,15.6 in,LED Backlight,ENERGY STAR|IT Eco Declaration|EPEAT Gold,1.2 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick,4 GB,1 x USB 2.0|3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes|Thunderbolt Yes,Notebook,DDR3L SDRAM,8-cell,Intel Core i7,2.40 GHz,,http : //www.hp.com,3 Year,15 in,14.25 Hour,Windows 7 Professional Upgradable to Windows 8 Pro ( English ),ExpressCard/54|Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),NVIDIA|Intel Quadro K610M|HD 4600,6.46 lbs,Graphite,500 GB,DVD-RAM/R/RW,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ProBook 430 G1 13.3"" LED Notebook - Intel - Core I3 I3-4010U 1.7GHz (4 GB RAM - 500 GB HDD - Intel HD 4400 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.2 in,13.3 in,LED Backlight,IT Eco Declaration|WEEE|EU WEEE|RoHS|EPEAT Gold,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad,4 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3 SDRAM,4-cell,Intel Core i3,1.70 GHz,,http : //www.hp.com,1 Year,12.8 in,9.50 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ) |Memory Stick|Memory Stick Extended Capacity ( MSXC ),Intel HD 4400,3.31 lbs,,500 GB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Edge E540 20C600BAUS 15.6"" LED Notebook - Intel - Core I7 I7-4702MQ 2.2GHz (8 GB RAM - 1 TB HDD - DVD-Writer - NVIDIA, Intel GeForce GT 740M, HD Graphics 4600 - Windows 8.1 Pro 64-bit - 1366 X 768 Display) Price Comparison at Buy.net",9.8 in,15.6 in,LED Backlight,ENERGY STAR 5.2|RoHS|EPEAT Gold,1.2 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet,TouchPad|Trackpoint,8 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,6-cell,Intel Core i7,2.20 GHz,,http : //www.lenovo.com/us/en/,1 Year,14.8 in,,Windows 8.1 Pro,Mini PCI Express|Secure Digital High Capacity ( SDHC ) |Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |MultiMediaCard ( MMC ),NVIDIA|Intel GeForce GT 740M|HD Graphics 4600,5.42 lbs,,1 TB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 17R-5721 17.3"" LED TrueLife Notebook - Intel Core I5 I5-3337U 1.80 GHz - Moon Silver (6 GB RAM - 750 GB HDD - DVD-Writer - Intel HD 4000 - Windows 8 64-bit English - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net",10.6 in,17.3 in,TrueLife LED Backlight,ENERGY STAR 5.2,1.4 in,Built-In Microphone Yes|Built-In Webcam Yes|Keyboard Backlight No,IEEE 802.11b/g/n|Fast Ethernet|Bluetooth 4.0,TouchPad,6 GB,2 x USB 2.0|2 x USB 3.0|HDMI Yes|Ethernet RJ-45 Yes,Notebook,DDR3 SDRAM,6-cell,Intel Core i5,1.80 GHz,,http : //www.dell.com,,16.2 in,6 Hour,Windows 8 ( English ),Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ) |Memory Stick|Memory Stick PRO|Memory Stick Extended Capacity ( MSXC ) |MultiMediaCard ( MMC ) |MMCplus,Intel HD 4000,6.02 lbs,Moon Silver,750 GB,DVDR/RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook 850 G1 15.6"" LED Notebook - Intel - Core I5 I5-4200U 1.6GHz (4 GB RAM - 500 GB HDD - Intel HD 4400 - Windows 7 Professional 64-bit English - 1920 X 1080 Display - Bluetooth - English US Keyboard) Price Comparison at Buy.net",10 in,15.6 in,LED Backlight,EPEAT Gold|ENERGY STAR|EU WEEE|WEEE|IT Eco Declaration|RoHS,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick,4 GB,4 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Notebook,DDR3L SDRAM,3-cell,Intel Core i5,1.60 GHz,,http : //www.hp.com,3 Year,14.8 in,,Windows 7 Professional Upgradable to Windows 8 Pro ( English ),SIM Card|Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4400,4.15 lbs,,500 GB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Helix 36984SU Black 11.6"" Ultrabook Tablet (2 GHz Intel Core I7-3667, 8 GB DDR3, 256 GB SSD, Intel HD Graphics 4000, Windows 8 Pro, LED Backlight) Price Comparison at Buy.net",7.4 in,11.6 in,In-plane Switching ( IPS ) Technology,,0.8 in,Built-In Microphone Yes,IEEE 802.11 a/g/n|Ethernet|Bluetooth 4.0,ClickPad|Stylus|Touch Screen Yes,8 GB,DisplayPort Yes,Ultrabook/Tablet,DDR3 SDRAM,3-cell|4-cell,Intel Core i7,2 GHz,256 GB,http : //www.lenovo.com/us/en/,,11.7 in,10 Hour,Windows 8 Pro,SIM Card,Intel HD 4000,3.75 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
