<page title>,average battery life in hours,batteries,brand name,chipset brand,color,computer memory type,graphics coprocessor,hard drive,hard drive interface,hard drive rotational speed,hardware platform,item dimensions l x w x h,item model number,item weight,max screen resolution,number of usb 30 ports,operating system,optical drive type,processor,processor brand,processor count,ram,screen resolution,screen size,series,wireless type,audioout ports,battery type,memory speed,number of usb 20 ports,power source,asin,best sellers rank,buy used and save,customer reviews,date first available,graphics card ram size,heres how,shipping,shipping weight,card description,flash memory size,rear webcam resolution,voltage,manufacturer part number,number of items,product dimensions,size
"Amazon.com : Dell I14RN4110-7616DBK Inspiron 14R 14"" Laptop (Intel Core i3-2310M, 4GB Memory, 500GB Hard Drive, Bluetooth, 4G WiMAX, Diamond Black) : Laptop Computers : Computers & Accessories",,1 Lithium ion batteries required .,Dell,,Diamond Black,,Intel HD Graphics 3000,500 GB,,,PC,13.50 x 9.70 x 1.20 inches,I14RN4110-7616DBK,5 pounds,720p HD,,Windows 7 Home Premium ( 64-bit ),DVD±RW DL/CD-RW,2.1 GHz Core i3-2310M,Intel,,4 GB DDR3,,14 inches,Inspiron,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Brand New Acer America Corp. Acer Aspire E1-572-34014G50mnrr 15.6"" Led Notebook - Intel Core I3 I3-4010U 1.70 Ghz - Red : Computers & Accessories",,,,,,,,500 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : LENOVO 20C6S01R00 / ThinkPad E540 20C6 - Core i3 4000M / 2.4 GHz - Windows 7 Pro 64-bit / 8 Pro 64-bit downgrade - pre-installed: Windows 7 - 4 GB RAM - 500 GB HDD - DVD-Writer - 15.6"" 1366 x 768 ( HD ) - Intel HD Graphics 4600 - midnight black - Top : Computers & Accessories",,,Lenovo,,,,,500 GB,,,,,20C6S01R00,7.6 pounds,,,microsoft windows 7 professional,,Intel Core i3,,,4 GB,,15.6 inches,Lenovo Thinkpad E540 20c6,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP 2000-2d22dx 15.6"" Laptop PC - Intel Core i3-3120M / 4GB Memory / 750GB HD / Windows 8 : Computers & Accessories",5 hours,1 Lithium ion batteries required . ( included ),Toshiba,,,DDR3 SDRAM,,750 GB mechanical_hard_drive,Ethernet 100Base-T,,PC,14.80 x 1.40 x 9.70 inches,HP 2000-2D22DX,5.4 pounds,1366 X 768,,Windows 8,,,Intel Core i3,,4 GB SDRAM DDR3,,15.6 inches,2000-2d22dx,802.11bgn,,,,,AC,,,,,,,,,,,,,,,,,
"Amazon.com : Gateway 15.6"" Laptop 6GB 750GB | NV56R38u : Laptop Computers : Computers & Accessories",,,Acer,,,DDR3 SDRAM,,750 GB,Serial ATA,,PC,17 x 14 x 7 inches,,,,,Windows 8 64-bit,,2.30 GHz Intel Core i3,Intel,2.0,6 GB ddr3,,15.60 inches,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Toshiba Satellite C55-A5245 15.6-Inch Laptop (Satin Black in Trax Horizon) : Laptop Computers : Computers & Accessories,4 hours,1 Lithium ion batteries required . ( included ),Toshiba,,Satin Black in Trax Horizon,DDR3 SDRAM,Mobile Intel HD graphics,500 GB mechanical_hard_drive,,5400 RPM,,9.53 x 14.96 x 1.39 inches,PSCF6U-01J018,5.4 pounds,1366x768,1.0,Windows 7 Home Premium ( 64-bit ),DVD SuperMulti drive supporting 11 formats,2.3 GHz Core i3-3110M,intel core I3,2.0,4 GB DIMM,1366 x 768,15.6 inches,Toshiba Satellite C55-A5245,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),1600 MHz,2.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Black 15.6"" Inspiron I15N-2591BK Laptop PC with Intel Core i3-2330M Processor and Windows 7 Home Premium : Laptop Computers : Computers & Accessories",,,Dell,,,,,,,,PC,,,,,,microsoft windows 7 home premium,,,Intel Core i3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Toshiba Satellite 17.3""LED Laptop /3rd Gen Intel i3-3120M /4GB DDR3 /640GB Hard Drive /Webcam /Bluetooth (Mercury Silver) : Laptop Computers : Computers & Accessories",,1 Lithium ion batteries required .,Toshiba,,,DDR3 SDRAM,ATI Radeon,640 GB mechanical_hard_drive,,,linux,16.30 x 10.60 x 1.30 inches,,6.3 pounds,1600 x 900,,Windows 8,,Intel Core i3,Intel,2.0,4 GB ddr3_sdram,,17.3 inches,L875-S7108,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell Inspiron i1464-4382OBK 1464 14-Inch Laptop (Obsidian Black) : Notebook Computers : Computers & Accessories,,,Dell,Intel,Obsidian Black,,GMA,500 GB SATA,,5400 RPM,PC,9.55 x 13.39 x 1.27 inches,i1464-4382OBK,4.7 pounds,1336 x 768 pixels,,Windows 7 Home Premium 64-bit,Dual layer DVD Burner,2.13 GHz Intel Core i3,Intel,1.0,4 GB DDR3,1366 x 768,14 inches,Inspiron,,1.0,lithium_ion,1066 MHz,3.0,,,,,,,,,,,Graphics Media AcceleratorHD,,,,,,,
Amazon.com : Lenovo IdeaPad S415 14-Inch Touchscreen Laptop (59405902) Grey : Computers & Accessories,5 hours,1 Lithium ion batteries required . ( included ),Lenovo,,Grey,DDR3 SDRAM,,500 GB SATA,Serial ATA,5400 RPM,PC,13.25 x 0.90 x 9.50 inches,59405902,4.6 pounds,1366x768 pixels,1.0,Windows 8.1,None,1 GHz AMD E Series,AMD,1.0,4 GB DDR3,1366 x 768,14 inches,IdeaPad,802.11bgn,,Lithium-Ion ( Li-Ion ),1600 MHz,2.0,,B00HIY9W6O,"# 8,361 in Computers & Accessories ( See top 100 )",,2.6 out of 5 stars See all reviews 9 reviews 2.6 out of 5 stars,"January 29 , 2014",,,This item is also available for shipping to select countries outside the U.S .,5.6 pounds ( View shipping rates and policies ),,,,,,,,
Amazon.com : Samsung Series 3 NP300E5C-A09US 15.6-Inch Laptop : Laptop Computers : Computers & Accessories,,,Samsung,,,SODIMM,Intel HD Graphics 4000,500 GB,Serial ATA,5400 RPM,PC,9.50 x 14.40 x 1.14 inches,NP300E5C-A09US,5.1 pounds,,,Windows 8,,2.4 GHz Core i3-3110M,Intel,2.0,4 GB,,15.6 inches,300e5c,,,,,,,,,,,,,,,,Intel HD Graphics 4000,,,,,,,
"Amazon.com : Dell Inspiron 15z i15z-1200sLV 15.6-Inch Ultrabook (1.9 GHz Intel Core i3-3227U Processor, 4GB DDR3, 500GB HDD, Windows 8) Moon Silver : Laptop Computers : Computers & Accessories",,,Dell,,Moon Silver,,Integrated Intel HD Graphics,500 GB,,5400 RPM,,20.04 x 13.27 x 3.78 inches,i15z-1200sLV,,1366x768 pixels,4.0,Windows 8,,1.9 GHz Intel Core i3,Intel,,4 GB DDR3,,15.6 inches,Inspiron 15z,802.11bgn,,,,,,,,,,,,,,,,32,,,,,,
Amazon.com : PROBOOK 450 G1 I3-4000M 4GB : Computers & Accessories,,,,,,,,320 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Sony 15.5"" VAIO Fit Laptop 4GB 500GB | SVF1521MCXB : Computers & Accessories",,,Sony,,,SDRAM,,500 GB,Serial ATA,,Consumer Electronics,,,2 pounds,,,windows 8,"CD-ROM , DVD-ROM , CD-RW , DVD-RW , DVD-R DL",1.80 GHz Intel Core i3,Intel,1.0,4 GB,1920 x 1080,15.50 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : TOSHIBA Z40-A-18Q, 14"" HD, Ultrabook, Core i3-4030U, 4GB RAM, 128GB SSD, agn, 2Mega Pixel, 1 Year Warranty with Reliabil : Computers & Accessories",,1 Lithium ion batteries required . ( included ),Toshiba,,,DDR3 SDRAM,,,,,,,PT44FE-096025EN,3.2 pounds,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Asus U50F Intel Core i3 Notebook PC ( - ) : Notebook Computers : Computers & Accessories,,,Asus,,Black,DDR3 SDRAM,GeForce GT 425M,500 GB SATA,,5400 RPM,PC,10.50 x 15.20 x 1.30 inches,Asus U50F,6.4 pounds,1366 x 768 pixels,,Microsoft Windows 7 Home Premium,DVD±R/RW,2.13 Hz Intel Core i3,Intel,,4 GB DDR3,1366 x 768,15.6 inches,N series,802.11bgn,1.0,lithium_ion,,3.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Sony VAIO(R) Duo 11 SVD11223CXB 11.6"" Touchscreen Ultrabook Intel Core i5-3337U 1.8GHz, 6GB DDR3, 128GB SSD, Windows 8 64-bit, Black : Laptop Computers : Computers & Accessories",,,Sony,,,SODIMM,Intel HD Graphics 4000,128 GB,Serial ATA,,Consumer Electronics,,SVD11223CXB,5 pounds,,,Windows 7 Home Premium,,1.80 GHz Intel Core i3,Intel,2.0,6 MB DDR3 SDRAM,1920 x 1080,11.6 inches,SVD11223CXB,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell Inspiron i3531-1200BK 15.6-Inch Laptop : Computers & Accessories,6.5 hours,1 Lithium ion batteries required . ( included ),Dell,,,,Intel HD Graphics,500 GB mechanical_hard_drive,,5400 RPM,,10.20 x 15 x 1 inches,i3531-1200BK,4.7 pounds,1366x768,,Windows 8.1,,2.16 GHz Intel Celeron,Intel Celeron,1.0,4 GB DDR3,,15.6 inches,Inspiron,802.11bgn,,,,2.0,,B00KMRGF28,# 5 in Computers & Accessories ( See top 100 ) # 2 in Computers & Accessories > Notebooks,,3.8 out of 5 stars See all reviews 578 reviews 3.8 out of 5 stars,"June 1 , 2014",,,This item is also available for shipping to select countries outside the U.S .,6.6 pounds ( View shipping rates and policies ),,,,,,,,
Amazon.com : Dell Latitude E5410 Core I3 (black) : Computers & Accessories,3 hours,,Dell,,black,,,160 GB,Serial ATA-150,,PC,,,,,,Windows 7 Home Premium,,Intel Core i3,,,3 GB,,14 inches,Latitude E5410,,2.0,,,4.0,AC,,,,,,,,,,,,,,,,,
"Amazon.com : Brand New Hp Consumer Hp Pavilion 15-N200 15-N230us 15.6"" Led (Brightview) Notebook - Intel Core I3 I3-4005U 1.70 Ghz : Computers & Accessories",,,,,,,,750 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell Computer XPS15-8947sLV XPS 15-Inch Touch Notebook : Computers & Accessories,,1 Lithium ion batteries required . ( included ),Dell,,Silver,,,,,,,,XPS15-8947sLV,8 pounds,,,,,,,,,,,,,,,,,,,,See all Used offers from Amazon Warehouse Deals .,,,,( restrictions apply ),,,,,,,XPS15-8947sLV,1.0,19.6 x 13.7 x 3.9 inches,i7-4702HQ
"Amazon.com : Dell Latitude E6430s 14"" LED Notebook - Intel Core i5 i5-3340M 2.70 GHz : Computer Accessories : Computers & Accessories",,,Dell,,,DDR3 SDRAM,,500 GB,Serial ATA-150,,PC,17 x 4 x 12 inches,,7.2 pounds,,,Windows 7 Professional,,2.70 GHz Core i3-550,Intel,1.0,4 MB DDR3 SDRAM,,14 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : FUJITSU XBUY-T732-W7-002 / LIFEBOOK T732 - Convertible - Core i3 3110M / 2.4 GHz - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - 12.5"" touchscreen WVA 1366 x 768 ( HD ) - Intel HD Graphics 4000 - keyboard: US - Express Buy : Computers & Accessories",,,,,,,,320 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,12.5 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Toshiba - Satellite L755-S5306 Laptop / Intel Core i3 Processor / 4GB DDR3 memory / 500GB Serial ATA hard drive /15.6"" LED Display / Multiformat DVD±RW/CD-RW drive with double-layer support / Microsoft Windows 7 Home Premium Edition 64-bit - Matrix Graphite : Laptop Computers : Computers & Accessories",,,Toshiba,Intel,,,Intel HD Graphics,500 GB,,,,,,,,,Windows 7 Home Premium ( 64-bit ),,2.2 GHz Intel Core i3,Intel,,4 GB DDR3,,15.6 inches,Satellite,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Toshiba 15.6"" Satellite A665-S5170 Intel Core i3 Laptop 4GB Notebook 640GB Computer : Computers & Accessories",,,Toshiba,,Black,DDR3 SDRAM,,640 GB,,,PC,10 x 14.98 x 1.18 inches,A665-S5170,10 pounds,,,Windows 7 Home Premium,,Intel Core i3,,,4 GB SDRAM DDR3,1366 x 768,15.6 inches,Satellite,"802.11 A/G , 802.11n",,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell Inspiron i3542-6666BK 15.6-Inch Laptop : Computers & Accessories,6.5 hours,1 Lithium ion batteries required . ( included ),Dell,,,,Integrated Graphics,1024 GB mechanical_hard_drive,,5400 RPM,,19.02 x 13.39 x 3.11 inches,i3542-6666BK,6 pounds,1366x768,1.0,Windows 8.1,,1.7 GHz Intel Core i5,Intel Core I5,1.0,8 GB DDR3,,15.6 inches,Inspiron,802.11bgn,,,,2.0,,B00K4PAV0A,# 593 in Computers & Accessories ( See top 100 ),,3.7 out of 5 stars See all reviews 21 reviews 3.7 out of 5 stars,"May 15 , 2014",,,This item is also available for shipping to select countries outside the U.S .,7.6 pounds ( View shipping rates and policies ),,8 GB,,,,,,
Amazon.com : Lenovo U400 099328U 14.0-Inch Laptop (Graphite Grey) : Notebook Computers : Computers & Accessories,4 hours,,Lenovo,"ATI , Intel",Gray,DDR3 SDRAM,ATI Radeon HD6470M Discrete Graphics,500 GB SATA,,5400 RPM,PC,9.10 x 0.89 x 13.40 inches,099328U,4.4 pounds,1366x768 pixels,1.0,Windows 7 Home Premium,DVD±R/RW,2.2 GHz Core i3-2330M,Intel,1.0,4 GB DDR3,1366 x 768,14 inches,IdeaPad,,1.0,Lithium Polymer ( LiPo ),1333 MHz,2.0,,,,,,,1000 MB,,,,Radeon HD6470M,,,,,,,
"Amazon.com : HP Pavilion 17-e116dx 17.3"" Laptop PC - Intel Core i3 / 4GB Memory / 750GB HD / DVD±RW/CD-RW / Webcam / Windows 8.1 64-bit (Anodized Silver) : Computers & Accessories",,,HP,,silver,DDR3 SDRAM,,750 GB,,,PC,10.50 x 16.50 x 1.30 inches,17-e116dx,6.4 pounds,,3.0,Windows 8,,Intel Core i3,Intel Core i3,,4 GB SDRAM DDR3,1600 x 900,17.3 inches,17-e116dx,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo G710 17.3-Inch Laptop (59421779) Black : Computers & Accessories,5 hours,1 Nonstandard Battery batteries required . ( included ),Lenovo,,Black,,,1000 GB mechanical_hard_drive,,5400 RPM,,10.90 x 1.45 x 16.50 inches,59421779,6.4 pounds,1600x900,1.0,Windows 8.1,DVDRW,2.6 GHz Intel Core i5,Intel Core I5,1.0,6 GB DDR3,,17.3 inches,Lenovo,802.11bgn,,,,2.0,,,,,,,,,,,,,,,,,,
Amazon.com : ASUS K52 Series K52JR-X2 15.6-Inch Laptop (Dark Brown) : Notebook Computers : Computers & Accessories,,,Asus,,Dark Brown,,,640 GB,,,,15.20 x 10.20 x 1.40 inches,K52JR-X2,5.8 pounds,,,microsoft windows 7 home premium,,Intel Core i3,Intel,,4 GB ddr3,,14 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Latitude 3330 13.3"" Notebook - Intel Celeron 1007U 1.50 GHz : Computer Accessories : Computers & Accessories",2 days,,Dell,,,DDR3 SDRAM,,320 GB,Serial ATA,,PC,17.50 x 12.50 x 3.75 inches,469-4161,6.5 pounds,,,Windows 7 Professional,,1.50 GHz Intel Celeron,Intel,1.0,4 MB DDR3 SDRAM,,13.30 inches,Latitude 3330,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Panasonic Toughbook 53 - Core i3 2310M / 2.1 GHz - RAM 8 GB - HDD 750 GB - DVD±RW (±R DL) / DVD-RAM - HD Graphics 3000 - Gigabit Ethernet - Windows 7 Pro - 14"" Widescreen LED backlight TFT 1366 x 768, Magnesium Alloy, 3 Years warranty : Netbook Computers : Computers & Accessories",,,,,,,,750 GB,,,,,,,,,,,Intel Core i3,,,8 GB,1366_x_768,14 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Acer Aspire E1-572-6870 15.6 Inch Laptop Intel i5 4200U 1.6GHz Processor, 4GB Ram, 500GB Hard Drive, Windows 8 (Clarinet Black) : Laptop Computers : Computers & Accessories",,,Acer,,Black,DDR3 SDRAM,,500 GB mechanical_hard_drive,,,,15.02 x 10.08 x 1 inches,E1-572-6870,5.2 pounds,1366x768,1.0,Windows 8,No,1.6 GHz Intel Core i5,Intel Core I5,2.0,4 GB DDR3-SDRAM,1366 x 768,15.6 inches,E1-572-6870,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),,2.0,,,,,,,,,,,,,,,,,,
"Amazon.com : HP ProBook 4720s WH324UT 17.3"" 4GB 500GB Notebook PC : Notebook Computers : Computers & Accessories",,,,,,,radeon_hd_4,500 GB,,,,,,,1600 x 900,,,,Intel Core i3,,,4 GB ddr3,,17.3 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : 340 G1 14"" LED Notebook - Intel - Core i3 i3-4010U 1.7GHz : Computers & Accessories",,,HP,,,DDR3 SDRAM,,500 GB,Serial ATA,,PC,18.80 x 3.10 x 11.60 inches,G4S57UT # ABA,6.2 pounds,,,Windows 8,,1.70 GHz Intel Core i3,Intel,1.0,4 MB,,14 inches,,,,,,,AC,,,,,,,,,,,,,,,,,
"Amazon.com : ProBook 450 G2 15.6"" LED Notebook Intel Core i3-4005U 1.70GHz : Computers & Accessories",,,HP,,,,,,,,,20 x 3 x 12 inches,J8U86UT # ABA,6.8 pounds,,,Windows 7 Professional,,,,,,,,HP ProBook 450 G2,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell Inspiron i5748-5000sLV 17.3-Inch Laptop : Computers & Accessories,5.25 hours,1 Lithium ion batteries required . ( included ),Dell,,silver,,Integrated Graphics,1024 GB mechanical_hard_drive,,5400 RPM,,20.50 x 13.88 x 3.31 inches,i5748-5000sLV,8 pounds,1600x900,1.0,Windows 8.1,,1.7 GHz Intel Core i5,Intel Core I5,1.0,8 GB DDR3,,17.3 inches,Inspiron,802.11bgn,,,,2.0,,,,See all Used offers .,,,,( restrictions apply ),,,,,,,,,,
Amazon.com : Acer Aspire E5-571P-31LT 15.6-Inch Touchscreen Laptop (Midnight Black) : Computers & Accessories,7 hours,1 Lithium ion batteries required . ( included ),Acer,,Midnight Black,,Intel HD Graphics 4400,500 GB SATA,,5400 RPM,,15.02 x 10.08 x 1.24 inches,E5-571P-31LT,6 pounds,1366 x 768 pixels,1.0,Windows 8.1,,1.8 GHz Intel Core i3,Intel,,4 GB DDR3L SDRAM,,15.6 inches,E5-571P,802.11bgn,,,,2.0,,,,,,,64 MB,,,,,,,,,,,
"Amazon.com : Generic 15.6"" 1080p Full HD Laptop Intel Core i3-4000M 2.4GHz 4gb RAM 500GB HDD HD4600 DVDRW Hdmi Webcam Aluminum Design Windows 8 Pro : Computers & Accessories",,,Generic,Intel,,DDR3 SDRAM,Intel HD Graphics 4600,500 GB HDD 5400 rpm,Serial ATA,,PC,14.88 x 9.84 x 1.26 inches,K-Series,5.3 pounds,1080p Full HD,,Windows 8 Pro,,2.40 GHz Intel Core i3,Intel,2.0,4 GB,1920x1080,15.60 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo 20C600AAUS E540 15.6"" i3 4GB 500GB (20C600AAUS) : Computers & Accessories",,,,,,,,500 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Acer Aspire V7-482PG-5842 14-Inch Touchscreen Ultrabook (Cool Steel) : Computers & Accessories,8 hours,1 Lithium ion batteries required . ( included ),Acer,,Cool Steel,,NVIDIA GeForce GT 750M,500 GB mechanical_hard_drive,,5400 RPM,,13.39 x 9.45 x 0.90 inches,V7-482PG-5842,4.4 pounds,1920x1080,1.0,Windows 8.1,,1.6 GHz Intel Core i5-4200U,Intel Core I5,,8 GB DDR3L SDRAM,,14 inches,V7-482PG,802.11 a/b/g/n,,,,2.0,,,,,,,4000 MB,,,,,,,,,,,
"Amazon.com : ProBook 5330m A7K00UT 13.3"" LED Notebook - Core i3 i3-2350M 2.3GHz : Notebook Computers : Computers & Accessories",,,HP,,,SODIMM,,500 GB,Serial ATA,,PC,17.80 x 4.50 x 13.50 inches,A7K00UT # ABA,7 pounds,,,Windows 7 Professional,,2.30 GHz Intel Core Duo,Intel,2.0,4 MB DDR3 SDRAM,,13.3 inches,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Acer TravelMate B NX.V7QAA.015;TMB113-M-6889 11.6-Inch Laptop : Laptop Computers : Computers & Accessories,,,Acer,,Black,DDR3 SDRAM,,500 GB,Serial ATA,5400 RPM,Consumer Electronics,8 x 11.20 x 1.10 inches,NX.V7QAA.015 ; TMB113-M-6889,3.3 pounds,1366x768,1.0,Windows 8 Professional,No,1.8 GHz Core i3-3217U,Intel Core i3,1.0,4 GB DDR3,1366 x 768,11.6 inches,TravelMate B,802.11abg,1.0,Lithium-Ion ( Li-Ion ),,2.0,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo ThinkPad E540 20C600AAUS 15.6-Inch Laptop (Black) : Computers & Accessories,6.2 hours,1 Lithium ion batteries required . ( included ),Lenovo,,Black,DDR3 SDRAM,Intel HD Graphics 4600,500 GB Serial ATA-300,Serial ATA-300,7200 RPM,PC,1 x 1 x 1 inches,20C600AAUS,1 pounds,1366 x 768 pixels,2.0,Windows 8 Professional,DVD-Writer,2.4 GHz Core i3-4000M,Intel,2.0,4 GB DDR3L SDRAM,1366 x 768,15.6 inches,ThinkPad E540,802.11bgn,,Lithium-Ion ( Li-Ion ),1600 MHz,1.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Asus X54C-BBK19 15.6"" Laptop (Intel Core i3-2350 CPU, 4GB DDR 3 Memory, 320GB HDD, 8802.11bgn, Gigabit Network) : Laptop Computers : Computers & Accessories",,,Asus,,,,,320 GB HDD 5400 rpm,,,PC,9.90 x 15.20 x 1.40 inches,ASUS X54C-BBK19,7.3 pounds,1366 x 768,1.0,Windows 7 Home Premium,DVD+RW,Intel Core i3,Intel,,4 GB ddr,1366_x_768,15.6 inches,ASUS X54C-BBK19,802.11n,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP notebook 2000T- Intel Core i3-3110M 2.4 ghz, 4 gb ddr3 sdram, 500 gb hd, Intel® HD Graphics 4000, DVD±RW/CD-RW, Webcam, Wireless, 15.6"" LED, Microsoft Windows 8 : Laptop Computers : Computers & Accessories",,,HP,,,DDR3 SDRAM,,,,,PC,,2000-2D11DX,,,,Windows 8,,,,,,,,2000-2D11DX,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell Inspiron i3542-5000BK 15.6-Inch Touchscreen Laptop : Computers & Accessories,5.25 hours,1 Lithium ion batteries required . ( included ),Dell,,vibrant,,Integrated Graphics,500 GB mechanical_hard_drive,,5400 RPM,,19.02 x 13.39 x 3.11 inches,i3542-5000BK,6 pounds,1366x768,1.0,Windows 8.1,,1.9 GHz Intel Core i3,Intel Core i3,1.0,4 GB DDR3,,15.6 inches,Inspiron,802.11bgn,,,,2.0,,B00K4PATS4,# 48 in Computers & Accessories ( See top 100 ) # 7 in Computers & Accessories > Notebooks,,4.4 out of 5 stars See all reviews 25 reviews 4.4 out of 5 stars,"May 15 , 2014",,,This item is also available for shipping to select countries outside the U.S .,7.6 pounds ( View shipping rates and policies ),,,,,,,,
Amazon.com : Sony VAIO E Series SVE15132CXB 15.5-Inch Laptop (Black) : Laptop Computers : Computers & Accessories,2 hours,1 Lithium ion batteries required . ( included ),Sony,,Black,DDR3 SDRAM,Intel® HD Graphics 4000,500 GB mechanical_hard_drive,Serial ATA,5400 RPM,PC,9.90 x 14.60 x 1 inches,SVE15132CXB,5.9 pounds,1366x768,1.0,Windows 8,"CD-ROM , DVD-ROM , CD-RW , DVD-RW , DVD-R DL",2.5 GHz Intel Core i3,intel core I3,2.0,4 GB DDR3,1366 x 768,15.5 inches,Sony VAIO E Series,802.11bgn,,,,3.0,,,,,,,,,,,integrated graphics,,,,,,,
Amazon.com : ASUS K52F-A1 15.6-Inch Versatile Entertainment Laptop (Dark Brown) : Notebook Computers : Computers & Accessories,,,Asus,Intel,Dark Brown,SDRAM,Intel GMA 4500M,320 GB,ATA100,5400 RPM,PC,15.20 x 10.20 x 1.40 inches,K52F-A1,5.8 pounds,1336 x 768 pixels,,Windows 7 Home Premium,,2.26 GHz Intel Core i3,Intel,1.0,4 GB DDR3,1366 x 768,15.6 inches,K52 series,,1.0,,1066 MHz,,AC,,,,,,,,,,,,,,,,,
Amazon.com : HP Pavilion dm4-2015dx : Laptop Computers : Computers & Accessories,,1 Lithium ion batteries required . ( included ),HP,,,DDR SDRAM,,640 GB,Ultra320 SCSI,,PC,10.08 x 1.30 x 14.72 inches,,5.2 pounds,1336x768 pixels,,Windows 7,,Intel Core i3,,,4 GB SDRAM DDR3,1366_x_768,14 inches,HP Pavilion dm4-2015dx Entertainment PC,,1.0,,,,AC,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron i5748 Laptop 17.3-Inch Laptop - Intel Core i3-4030U 1.9GHz Processor, 4GB DDR3, 1TB SSD, DVD Burner, Windows 8.1 : Computers & Accessories",,,Dell,,,DDR3 SDRAM,,,,,,20.50 x 13.88 x 3.31 inches,i5748,,,,Windows 8,,,,,,,,inspiron i5748,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron 17RV-908BLK Notebook, Genuine Windows 7 Home Pemium, Intel i3-3227U 1.9Ghz, 4GB DDR3, 500GB HDD, Intel HD Graphics, DVD Burner, 17.3"" HD+ LED Display : Laptop Computers : Computers & Accessories",,,Dell,,,,,500 GB mechanical_hard_drive,,,,,I17RV-908BLK,,,2.0,Windows 7,,Intel Core i3,Intel Core i3,,4 GB ddr3,,17.3 inches,Inspiron,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron 15 i15RV-2381BLK Intel Core i3-3227U, 4GB, 500GB, Win 8 Home, DVD+/-RW, Webcam, HDMI (Black Matte with Textured Finish) : Laptop Computers : Computers & Accessories",,,Dell,,Black Matte with Textured Finish,,,500 GB,Serial ATA,,PC,10.20 x 1 x 14.80 inches,"Inspiron i15RV-2381BLK , Inspiron 3521",5 pounds,1366 x 768 pixels,,Windows 8,,Intel Core i3,,,4 GB SO-DIMM DDR3,,15.6 inches,Inspiron i15RV-2381BLK,802.11bgn,,,,2.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Generic 12GB RAM 15.6"" 1080p Full HD Laptop Intel Core i3-4000M 2.4GHz 500GB HDD HD4600 DVDRW Hdmi Webcam Aluminum Design Windows 8 Pro : Computers & Accessories",,,Generic,Intel,,DDR3 SDRAM,Intel HD Graphics 4600,500 GB HDD 5400 rpm,Serial ATA,,PC,14.88 x 9.84 x 1.26 inches,K-Series,5.3 pounds,1080p Full HD,,Windows 8 Pro,,2.40 GHz Intel Core i3,Intel,2.0,12 GB,1920x1080,15.60 inches,,,,,,,,,,,,,,,,,,,,,,,,
