<page title>,bluetooth,cameras included,condition,cpu,dimensions l x w x h,display,displayports,front camera,headphones jack,memory type,micro sd card reader,operating system,platform,screen size,storage capacity,stylus included,usb 30 ports,weight,audio chipset,battery type,capacity,color,communications description,depth,display type,drive types,gpuvpu,hddssd drives included,hdmi ports,height,integrated webcam,interface type,keyboard type,lan ports,maximum memory supported,maximum resolution,media types,memory slots total free,mouse type,operating systems,optical drive,optional operating systems,processor brand,processor class,processor number,processor speed,processor type,protocols,specification notes,supplemental drive capacity,total memory size,touch screen,usb ports powered included in total,vga ports,width,â,audio description,data transfer rate,dell,firewire ports,lifestyle,limited warranty,memory slots total,port replicatorconnector,usb ports total,audio out jacks,graphics,integrated microphone,lenovo,colors,connection type,dvi video,form factor,hard drive types,hard drives included,interface,lan chipset,lan data transfer rate,lan description,lan interface type,memory configuration,motherboard slots total free,optical drive class,orientations allowed,power,processor interface,ram speed,serial communication ports,speed,startup operating system,hard drive speed,supplemental drive type,video memory,line in jacks,optical drive type,processors onboard,processors supported,wifi description,aspect ratio,back camera,battery run time,display size,memory capacity,micro usb connector,touch screen type,usb 20 ports,microphone jacks,builtin microphone,builtin speaker,power supply type,supplemental media type,webcam features,webcam resolution,wifi chipset,wifi standards supported,memory speed,memory speed mhz,backlit keyboard,hp,channels,audio channels,external bays total free,internal bays total free,compatible raid levels,external 35 drive bays,external 525 drive bays,hard drive interface,internal 35 drive bays,memory slots available,pci express x4 slots total,pci express x8 slots total,processor cache,total storage included,type,battery life,ps2 connectors,modem ports,cpu type,software included,cpu quantity,pci express x16 slots total,pci slots total,storage controller,pci express x1 slots total,memory size
ASUS GL551JM Intel Core i7 16GB Memory 1TB HDD NVIDIA GTX 860M 2G 15.6 Gaming Laptop Windows 8.1 64-bit - GL551JM-DH71 at TigerDirect.com,,,New,,,,,,,DDR3,,,Laptop,15.6 '',,,,,,,1TB,Black,"Integrated Wireless LAN , Integrated Bluetooth",,Full HD Display,HDD,NVIDIA GTX 860M,1x 1TB,,,Yes,"IEEE 802.11a/g/n , Bluetooth 4.0",Illuminated Backlit,,,1920 x 1080,,,Integrated Touchpad,Windows 8.1 64-Bit,DVD Super Multi Dual Layer Burner,,Intel,Core i7,4710HQ,2.5GHz,Quad-Core,"IEEE 802.11a/g/n , Bluetooth 4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,16GB,,,,,,Integrated Audio,,,,Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 5 hours,,,,,,,,,,
Dell Latitude E6400 Intel Core 2 Duo 4GB Memory 160GB HDD 14.1 Notebook Windows 7 Professional 64-bit (Off-Lease) - RB-810576021435 at TigerDirect.com,,,Off-Lease,,,,,,,DDR2,,,Laptop,14.1 '',,,,5.97 lbs,High Definition Audio,Lithium-Ion,160GB,,Integrated LAN,10.34 '',WXGA Liquid Crystal Display,HDD,,1x 160GB,,1.39 '',,RJ-45 Ethernet Connector,Standard Size,1 - RJ-45,8GB,,,,Integrated Touchpad,Windows 7 Professional 64-Bit,CDROM Burner/DVD Player,,Intel,Core 2 Duo,,2.2GHz,,,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,No,,,14.3 '',Integrated Wireless LAN Integrated Modem,,,,,Business,,,,3,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Transformer Book Intel Core i3 4020Y 1.5GHz 4GB Memory 64GB SSD 13.3 Touchscreen Full HD 1920 x 1080 2-in-One Notebook Windows 8 64-bit - T300LA-BB31T at TigerDirect.com,,,New,,,,,,,DDR3L,,,2-in-One,13.3 '',,,,4.1 lbs,ASUS SonicMaster,4-Cell Lithium-Polymer,64GB,Silver,"Integrated Wireless LAN , Integrated Bluetooth",8.5 '',Full HD Display,SSD,Intel HD Graphics 4200,1x 64GB,1 - micro,0.9 '',Yes,"802.11n , Bluetooth 4.0",Standard Size,,,1920 x 1080,microSD,,Integrated Touchpad,Windows 8 64-Bit,None,,Intel,Core i3,4020Y,1.5GHz,Dual-Core,"IEEE 802.11n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,Yes,,,13.5 '',,,,,,,,,,1 - USB 3.0,1 - Headphone out/Microphone-in combo jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Tecra A50-A1550 Intel Core i5 8GB Memory 500GB HDD 15.6 Notebook Windows 7 Professional / Windows 8 Pro 64-Bit - PT648U-008005 at TigerDirect.com,,,New,,,,,,,DDR3,,,Laptop,15.6 '',,,,6.0 lbs,DTS Studio Sound,3-Cell Lithium-ion,500GB,,Integrated LAN,10.0Â,HD widescreen LCD display,Hard Drive,,1x 500GB,1,1.09Â,Yes,RJ-45 Ethernet Connector,Standard Size with Dedicated Numeric Keypad,1 - RJ-45,,1366 x 768,,,Integrated Touchpad,Windows 7 Professional 64-Bit,DVD Super Multi Burner,Windows 8 Pro 64-Bit,Intel,Core i5,4200M,2.5GHz,Dual-Core,802.11a,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,8GB,No,1 - eSATA/USB ( Sleep & Charge ),,15.0 '',802.11g Intel Centrino Advanced-N 6235 a/g/n Integrated Wireless LAN 2 - USB 3.0 Integrated Bluetooth 802.11n Bluetooth 4.0,,,,,,,,,2 - USB 2.0,1 - Combo Headphone/Microphone Jack,Integrated Graphics,Yes,,,,,,,,,,,,,,,,,,,,,,,7200 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo C460 All-In-One PC - Intel Pentium G3220T 2.60GHz, 4GB DDR3 Memory, 500GB HDD, DVDRW, 21.5 Display, Windows 8.1 64-bit - 57327148 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,21.5 '',,,,,Dolby Advanced Audio,,500GB,,,2.2 '',Full HD Widescreen LED Backlit Display,,,,1,17.2 '',,,,1,8GB,1920 x 1080,,,,Windows 8.1 64-Bit,,,Intel,Pentium,G3220T,2.60GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",6-in-1,4GB,No,,,21.3 '',,Integrated Audio,,,,All-In-One,,,,"2 - USB 3.0 , 4 - USB 2.0",Yes,Integrated Graphics,,,Black,,,All-In-One,HDD,1,,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,,,DVD±RW,Vertical,,,PC3-12800 1600MHz,,"7,200RPM",,,,,,,,,Wireless LAN 802.11 b/g/n,,,,,,,,,Yes,Yes,Yes,,Media Reader,Built-In,720p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS T100TA-H1-GR Transformer Book Intel Quad Core Atom 2GB Memory 500GB HDD + 32GB SSD 10.1 2-In-1 Touch Notebook Windows 8.1 Microsoft Office - T100TA-H1-GR at TigerDirect.com,,,New,,,,,,,DDR3,,,2-in-One,10.1 '',,,,2.4 lbs,SonicMaster Audio,2-Cell Lithium-Polymer,532GB,Gray,,6.7 '',IPS HD,HDD + SSD,Intel GMA HD,"1x 32GB SSD ( Device ) , 1x 500GB HDD ( Dock )",1 - Micro-HDMI,0.93 '',Yes,802.11b/g/n Wireless Networking,Keyboard Dock,,2GB,1368 x 768,SDXC,,Integrated Touchpad,Windows 8.1,None,,Intel,Atom,Z3740,1.33GHz,Quad-Core,"802.11 b/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,2GB,Yes,,,10.4 '',,,,,,Home & Student,,,,"1 - USB 3.0 , Micro-USB Port",1 - Combo Headphone/Microphone Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MicrosoftÂ® Office 2013 Home & Student,,,,,,
"Dell Inspiron All-In-One PC - Intel Celeron N2830 2.16GHz, 4GB Memory, 500GB HDD, 19.5 HD Plus 1600 X 900 Display Windows 8.1 64-bit - I3043-1250BLK at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,19.5 '',,,,,HD Audio with Waves MaxxAudioÂ®,,500GB,,,,HD Display,,Intel HD Graphics,,1,,,,Standard,1 - RJ-45 Ethernet Connector,,1600 x 900,"SD , SDHC , SDXC , MMC",,USB Optical Mouse,Windows 8.1 64-Bit,,,Intel,Celeron,N2830,2.16GHz,,,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,,,,,,,,,,All-In-One,,,,3x USB 2.0,1 - Headphone,,,,,,,All-In-One,HDD,,,,,,,,,,Vertical,,,,,"5,400RPM",,,,,,,1.0,,Dell Wireless-N 1705,,,,,,,,,,,,,Card Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alienware 14 Intel Core i5-4200M 2.5GHz 8GB DDR3 1TB HDD NVIDIA GeForce GT 750M 14 Display Windows 7 Professional 64-bit - ALW14-2500SLV at TigerDirect.com,,,New,,,,1 - Mini-DisplayPort,,,DDR3,,,Laptop,14 '',,,,6.12 lbs,Audio Powered by Klipsch,6-Cell Lithium-ion,1TB,Silver,Integrated LAN,10.17 '',HD Widescreen,HDD,NVIDIA GeForce GT 750M,1x 1TB,1,1.64 '',Yes,Killer NIC 1202 802.11n WiFi and Bluetooth 4.0,AlienFX Illuminated Keyboard,1 - RJ-45,,1366 x 768,,,Integrated Touchpad,Windows 7 Home Premium 64-Bit,DVDRW,,Intel,Core i5,4200M,2.5GHz,Dual-Core,802.11n,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",9-in-1,8GB,,,,13.19 '',Integrated Wireless LAN Integrated Bluetooth Bluetooth,Integrated Audio,,,,Gaming,,,,3 - USB 3.0,1 - Headphone,,,,,,,,,,,,,,,,,,,,,,,,,,Media Reader,1 GB,,,,,,,,,,,,,,1 - Microphone input port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS N550JK Intel Quad-Core i7 4700HQ 2.4GHz 8GB Memory 1TB HDD NVIDIA GeForce GT 850M 15.6 HD 1920 x 1080 Gaming Laptop Windows 8.1 64-bit - N550JK-DS71T 1YR Accidental Damage Protection Included at TigerDirect.com,,,New,,,,1 - Mini DisplayPort,,,DDR3,,,Laptop,15.6 '',,,,5.73 lbs,SonicMaster,4-Cell Lithium-Polymer,1TB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",10.03 '',Full HD Display,HDD,NVIDIA GeForce GT 850M,1x TB,1,1.09 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11 b/g/n , Bluetooth 4.0",Standard Size,1 - RJ-45,,1920 x 1080,SD/ SDXC/ MMC,,Integrated Touchpad,Windows 8.1 64-Bit,,,Intel,Core i7,4700HQ,2.4GHz,Quad-Core,"802.11 b/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",2-in-1,8GB,,,,15.07 '',,,,,,Gaming,,,,3 - USB 3.0,1 - Combo Headphone/Microphone Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alienware 14 Intel Core i5-4200M 2.5GHz 8GB DDR3 1TB HDD NVIDIA GeForce GT 750M 14 Display Windows 7 Professional 64-bit - ALW14-2500SLV at TigerDirect.com,,,New,,,,1 - Mini-DisplayPort,,,DDR3,,,Laptop,14 '',,,,6.12 lbs,Audio Powered by Klipsch,6-Cell Lithium-ion,1TB,Silver,Integrated LAN,10.17 '',HD Widescreen,HDD,NVIDIA GeForce GT 750M,1x 1TB,1,1.64 '',Yes,Killer NIC 1202 802.11n WiFi and Bluetooth 4.0,AlienFX Illuminated Keyboard,1 - RJ-45,,1366 x 768,,,Integrated Touchpad,Windows 7 Home Premium 64-Bit,DVDRW,,Intel,Core i5,4200M,2.5GHz,Dual-Core,802.11n,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",9-in-1,8GB,,,,13.19 '',Bluetooth Integrated Bluetooth Integrated Wireless LAN,Integrated Audio,,,,Gaming,,,,3 - USB 3.0,1 - Headphone,,,,,,,,,,,,,,,,,,,,,,,,,,Media Reader,1 GB,,,,,,,,,,,,,,1 - Microphone input port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkServer TD340 Tower Server - Intel Xeon E5-2407 v2 2.40GHz, 8GB Memory, No HDD, RAID, DVDRW, No OS - 70B7002KUX at TigerDirect.com",,,New,,,,,,,DDR3,,,,,,,,,,,,,,23.4 '',,,Aspeed AST2300,,,16.9 '',,,,2,192GB,,,,,No OS,,,Intel,Xeon,E5-2407 v2,2.40GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",,8GB,,,1,7.68 '',1 10,,,,,,,12.0,,6 - USB 2.0,,Integrated,,,,,,,,,,Intel 82574L,10/100/1000Mbps,Gigabit Ethernet,RJ-45,1 x 8GB,,,,800 Watt,LGA1356,,1.0,,,,,,,DVDÂ±RW,1.0,2.0,,,,,,,,,,,,,,,,,,,1600MHz PC3-12800,1600MHz,,,,,,,0,,,,,11.0,,4.0,10MB,No HDD,Tower,,,,Intel,,Single,1.0,1.0,ThinkServer RAID 300,,
ASUS N550JK Intel Quad-Core i7 4700HQ 2.4GHz 8GB Memory 1TB HDD NVIDIA GeForce GT 850M 15.6 HD 1920 x 1080 Gaming Laptop Windows 8.1 64-bit - N550JK-DS71T 1YR Accidental Damage Protection Included at TigerDirect.com,,,New,,,,1 - Mini DisplayPort,,,DDR3,,,Laptop,15.6 '',,,,5.73 lbs,SonicMaster,4-Cell Lithium-Polymer,1TB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",10.03 '',Full HD Display,HDD,NVIDIA GeForce GT 850M,1x TB,1,1.09 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11 b/g/n , Bluetooth 4.0",Standard Size,1 - RJ-45,,1920 x 1080,SD/ SDXC/ MMC,,Integrated Touchpad,Windows 8.1 64-Bit,,,Intel,Core i7,4700HQ,2.4GHz,Quad-Core,"802.11 b/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",2-in-1,8GB,,,,15.07 '',,,,,,Gaming,,,,3 - USB 3.0,1 - Combo Headphone/Microphone Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung ATIV Tab 3 Tablet PC - Intel Atom Processor Z2760 1.80GHz,  64GB eMMC, Intel GMA, 10.1 Touch Display, Windows 8 (32-bit) (Refurbished) - XE300TZC-K01US at TigerDirect.com",,,Refurbished,,,,,,,LPDDR2,,,2-in-One,10.1 '',,,,1.28 lb .,,2-Cell Lithium Polymer,64GB,,Integrated Wireless LAN,6.51 '',LED HD,eMMC,Intel Graphics Media Accelerator,1x 64GB,1 - micro,0.31 '',Yes,,Standard Size,,2GB,1366 x 768,Secure Digital ( SD ),1 Slot,Touch screen,Windows 8 64-Bit,,,Intel,Atom,Z2760,1.80GHz,,802.11b,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,2GB,Yes,,,10.13 '',Bluetooth 4.0 802.11n 802.11g 802.11a Integrated Bluetooth,Integrated Audio,,,,,,,,1 - Micro-USB Port,1 - Headphone/line-out,Integrated Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2.0MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire AXC-603-UR10 Desktop Intel Pentium Quad-Core J2900 2.41GHz, 4GB Memory, 1TB HDD, DVDRW, Windows 8.1 64-bit - DT.SUMAA.001 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,,,,,,High Definition Audio,,1TB,,,10.5 '',Monitor Not Included,,Intel HD Graphics,,1,3.9 '',,,,1,8GB,,,,,Windows 8.1 64-Bit,,,Intel,Pentium,J2900,2.41GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",,4GB,,,1,14.6 '',4 - USB 2.0,Integrated Audio,,,,Home & Student,,,,1 - USB 3.0,,Integrated Graphics,,,Black,USB Mouse USB Keyboard,,Small Form Factor ( SFF ),HDD,1,Serial ATA/300,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,,,DVD±RW,Vertical,220 Watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Transformer Book Intel Core i3 4020Y 1.5GHz 4GB Memory 64GB SSD 13.3 Touchscreen Full HD 1920 x 1080 2-in-One Notebook Windows 8 64-bit - T300LA-BB31T at TigerDirect.com,,,New,,,,,,,DDR3L,,,2-in-One,13.3 '',,,,4.1 lbs,ASUS SonicMaster,4-Cell Lithium-Polymer,64GB,Silver,"Integrated Wireless LAN , Integrated Bluetooth",8.5 '',Full HD Display,SSD,Intel HD Graphics 4200,1x 64GB,1 - micro,0.9 '',Yes,"802.11n , Bluetooth 4.0",Standard Size,,,1920 x 1080,microSD,,Integrated Touchpad,Windows 8 64-Bit,None,,Intel,Core i3,4020Y,1.5GHz,Dual-Core,"IEEE 802.11n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,Yes,,,13.5 '',,,,,,,,,,1 - USB 3.0,1 - Headphone out/Microphone-in combo jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gateway ZX4270-UR30 All-In-One PC - AMD E1-2500 1.40GHz, 4GB DDR3 Memory, 750GB HDD, DVDRW, 19.5 Display, Windows 8 64-bit - DQ.GEUAA.001 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,19.5 '',,,,,High Definition Audio,,750GB,,,2.1 '',HD+ LED Backlit Display,,AMD Radeon HD 8240,,,12.3 '',,,,1,8GB,1600 x 900,,,,Windows 8 64-Bit,,,AMD,E Series,E1-2500,1.40GHz,,,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,No,,,18.9 '',,Integrated Audio,,,,All-In-One,,,,"4 - USB 2.0 , 2 - USB 3.0",Yes,Integrated Graphics,,,Black,USB Mouse USB Keyboard,,All-In-One,HDD,1,SATA,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,,,DVD±RW,Vertical,65 Watt,,,,"5,400RPM",,,,,,,,,"Wireless LAN 802.11 b/g/n , Bluetooth",,,,,,,,,Yes,Yes,Yes,,Media Reader,Built-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad Helix 3698 - Ultrabook - Core i7 3667U / 2 GHz - Windows 8 Pro 64-bit - 8 GB RAM - 256 GB SSD - 11.6 VibrantView wide 1920 x 1080 / Full HD - Intel HD Graphics 4000 - NFC - black - To at TigerDirect.com,,,New,,,,,,,,,,2-in-One,11.6 '',,,,3.8 lbs,,,256GB,Black,,7.3 '',Widescreen,SSD,,,,0.5 '' / 0.8 '',Yes,RJ-45 Ethernet Connector,Precision ThinkPad Keyboard,,,1920 x 1080,,,,Windows 8 Pro 64-Bit,None,,Intel,Core i7,3667U,,,,"[ 3 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website .",,8GB,Yes,,,11.7 '',1.8 lbs IntelÂ® CentrinoÂ® Advanced-N 6235 HD Webcam,,,,,,,,,2,1 Headphone out/Microphone-in combo jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Light Sensitive,,,,DDR3 1333MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS T100TA-C1-RD Transformer Intel Atom 2GB Memory 64GB SSD 10.1 2-In-1 Touch Notebook Windows 8.1 - T100TA-C1-RD at TigerDirect.com,,,New,,,,,,,DDR3,,,2-in-One,10.1 '',,,,2.4 lbs,SonicMaster Audio,2-Cell Lithium-Polymer,64GB,Red,,6.7 '',IPS HD,SSD,IntelÂ® HD Graphics,1x 64GB SSD,1 - Micro-HDMI,0.93 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11a/g/n",Keyboard Dock,,2GB,1368 x 768,SDXC,,Integrated Touchpad,Windows 8.1,,,Intel,Atom,Z3775,1.46GHz,Quad-Core,"802.11 a/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,2GB,Yes,,,10.4 '',,,,,,Home & Student,,,,"1 - USB 3.0 , Micro-USB Port",1 - Combo Headphone/Microphone Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ProBook 450 G2 Intel Core i7 8GB Memory 1TB HDD 15.6 Notebook PC Windows 7 Professional/Windows 8 Pro 64-bit - J8V34UT#ABA at TigerDirect.com,,,New,,,,,,,DDR3,,,Laptop,15.6 '',,,,5.1 lbs,DTS Sound+,4-Cell Lithium-ion,1TB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",10.3 '',LED-backlit HD anti-glare,HDD,Intel HD Graphics 4400,1x 1TB,1,1 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11ac , Bluetooth 4.0",Standard Size,1 - RJ-45,,1366 x 768,SD/SDHC/SDXC,,Integrated Touchpad,Windows 7 Professional 64-Bit,DVDRW,Windows 8 Pro 64-Bit,Intel,Core i7,4510U,2GHz,Dual-Core,"IEEE 802.11ac , Bluetooth v4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,8GB,,,1,14.8 '',,,,,,Business,,,,"2 - USB 2.0 , 2 - USB 3.0",1 - Combo Headphone/Microphone Jack,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Media Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in Stereo Speakers,,,,,,,,,,,,,,,,,,,,,,,,
"HP ProOne 400 G1 All-In-One PC - Intel Core i3-4330T 3.00GHz, 4GB DDR3 Memory, 500GB HDD, DVDRW, 19.5 Display, Windows 7/8.1 Pro 64-bit - F4J79UT#ABA at TigerDirect.com",,,New,,,,1,,,DDR3,,,PC,19.5 '',,,,,DTS Sound+,,500GB,,,3 '',Widescreen HD LED Backlit Display,,Intel HD Graphics 4600,,,13.5 '',,,HP Standard Keyboard,1,16GB,1600 x 900,,2 Slots Total / 1 Free,Optical,Windows 7 Professional 64-Bit,,Windows 8.1 Pro 64-Bit,Intel,Core i3,i3-4330T,3.00GHz,,,"[ 9 ] To provide the most accurate specifications , the specifications listed are based upon the exact model specification as published by CNET .",,4GB,No,,,19.5 '',,Integrated Audio,,,,All-In-One,,,,"4 - USB 3.0 , 2 - USB 2.0",2,Integrated Graphics,,,Black,USB USB,,All-In-One,HDD,1,SATA 6.0Gb/s,Realtek RTL8151GH-CG,10/100/1000Mbps,Gigabit Ethernet,RJ-45,1 x 4GB,1 - PCIe Mini Card,DVD±RW DL,Vertical,120 Watt,,PC3-12800 1600MHz,1.0,"7,200RPM",,,,,,,,,Wireless LAN 802.11 a/b/g/n,,,,,,,,,1,Yes,Yes,AC 120/230 V ( 50/60 Hz ),,Built-In,,Intel Dual Band Wireless-N 7260,,,,,,,,1 - 5.25 '' Bay,1 - 2.5 '' /3.5 '' Bay,,,,,,,,,,,,,,,,,,,,,,
MSI GT70 Dominator-895 Intel Core i7 8GB Memory 1TB HDD NVIDIA Geforce GTX 870M 17.3 Gaming Laptop Windows 8.1 64-bit - 9S7-1763A2-2015 at TigerDirect.com,,,New,,,,1 - Mini-DisplayPort,,,DDR3L,,,Laptop,17.3 '',,,,8.6 lbs,Dynaudio Tech,9-Cell,1TB,Black,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",11.34 '',Full HD Display,HDD,NVIDIA GeForce GTX 870M,1x 1TB,1,2.17 '',Yes,"Killer Gaming Network , Intel 7260 Wilkins Peak 2 ( 2x2 802.11 ac ) , Bluetooth 4.0",Steel Series Gaming Backlit 102 keys,,,1920 x 1080,SD ( XC/HC ),,Integrated Touchpad,Windows 8.1 64-Bit,DVDRW,,Intel,Core i7,4800MQ,2.7GHz,Quad-Core,"IEEE 802.11ac , Bluetooth v4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,8GB,,,1,16.85 '',,,,,,Gaming,,,,"3x USB 3.0 , 2x USB 2.0",,,Yes,,,,,,,,,,,,,,,,,,,,,,,7200 RPM,,3G GDDR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in Stereo Speakers,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 19.5 Touchscreen All-In-One PC - Intel Pentium 2.16GHz, 4GB Memory, 500GB HDD, Windows 8.1 64-bit - I3043-5000BLK at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,19.5 '',,,,,HD Audio with Waves MaxxAudioÂ®,,500GB,,,,Touch Full HD Display,,Intel HD Graphics,,1,,,,Standard,1 - RJ-45 Ethernet Connector,,1600 x 900,"SD , SDHC , SDXC , MMC",,USB Optical Mouse,Windows 8.1 64-Bit,,,Intel,Pentium,,2.16GHz,,,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,Yes,,,,,,,,,All-In-One,,,,3x USB 2.0,1 - Headphone,,,,,,,All-In-One,HDD,,,,,,,,,,Vertical,,,,,"5,400RPM",,,,,,,1.0,,Dell Wireless-N 1705,,,,,,,,,,,,,Card Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
