<page title>,brand name,color,computer memory type,hard drive,hard drive interface,hardware platform,item dimensions l x w x h,item weight,max screen resolution,operating system,processor,processor brand,processor count,ram,screen size,series,wireless type,item model number,power source,audioout ports,batteries,battery type,flash memory size,graphics coprocessor,memory speed,number of usb 30 ports,optical drive type,screen resolution,asin,best sellers rank,customer reviews,date first available,shipping,shipping weight,average battery life in hours,graphics card ram size,hard drive rotational speed,buy used and save,heres how,voltage,card description,chipset brand,number of usb 20 ports,rear webcam resolution,manufacturer part number,product dimensions,size,number of items
"Amazon.com : ASUS 15.6"" HD Core i3 Laptop, 6GB RAM & 500GB Hard Drive : Computers & Accessories",Asus,Black,DDR3 SDRAM,500 GB mechanical_hard_drive,Serial ATA,PC,15 x 10 x 1.20 inches,4.7 pounds,1366x768,Windows 8,1.8 GHz Core i3-3217U,Intel Core i3,1.0,6 GB DDR3,15.6 inches,ASUS,802.11bgn,D550CA-RS31,,,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),,,,1.0,DVD Super Multi DL,1366 x 768,,,,,,,,,5400 RPM,See all Used offers from Amazon Warehouse Deals .,( restrictions apply ),,,,1.0,,,,,
Amazon.com : Lenovo ThinkPad T430s 23539VU 14' LED Notebook - Intel - Core i7 i7-3520M 2.9GHz - Black : Laptop Computers : Computers & Accessories,Lenovo,,,,,,15.10 x 4.80 x 11.10 inches,6.6 pounds,,,,,1.0,,,T430s,,23539VU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : MSI Computer GT72 DOMINATOR GT72 DOMINATOR-214;9S7-178111-214 17.3-Inch Laptop : Computers & Accessories,MSI,Aluminum Black,DDR3 SDRAM,1024 GB SATA,"Solid State , Serial ATA",PC,16.85 x 1.89 x 11.57 inches,8.4 pounds,1920 x 1080 pixels,Windows 8.1,2.5 GHz Intel Core i7,Intel,4.0,16 GB DDR3L SDRAM,17.3 inches,GT72 DOMINATOR,Bluetooth,GT72 DOMINATOR-214 ; 9S7-178111-214,,2.0,1 Lithium ion batteries required .,,256.0,NVIDIA Geforce GTX970M,,6.0,BD Burner,,B00O4ORZZQ,"# 1,756 in Computers & Accessories ( See top 100 )",5.0 out of 5 stars See all reviews 1 review 5.0 out of 5 stars,"October 3 , 2014",This item is also available for shipping to select countries outside the U.S .,14.3 pounds ( View shipping rates and policies ),,6000 MB,7200 RPM,,,,,,,,,,,
"Amazon.com : Lenovo Thinkpad T540p 20BE003AUS 15.6"" i7-4910MQ 16GB 1TB 7200rpm W7 Laptop Computer : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,1000 GB,Serial ATA-300,PC,14.83 x 9.77 x 1.18 inches,5.3 pounds,,Windows 7 Professional,2.90 GHz Intel Core i7,Intel,4.0,16 GB DDR3 1600,15.60 inches,T540p,802.11bgn,T540p,,,,,,Intel HD Graphics 4600,1600 MHz,,,1366x768,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP ZBook 15 Windows 7 Professional Mobile Business Workstation - Intel Core i7 Quad Core with 2GB GDDR5 K1100M Quadro Graphics, 256GB SSD, 1TB Secondary Storage, 1920x1080p FULL HD Anti-Glare, Win 8 Pro Option, Performance Laptop (16GB RAM) : Computers & Accessories",HP,,,1.25 TB,Solid State,PC,,,1920 x 1080,Windows 7 Professional,Intel Core i7,,,,15.6 inches,HP ZBook 15 Mobile Workstation,,ZBook 15,,,,,,,,,,1920 x 1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : 14"" i7 4600U 16GB 256GB Win7 : Computers & Accessories",,,,256 GB,,,,,,,Intel Core i7,,,16 GB,14 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : MSI GT60 Dominator 424 15.6"" i7-4800MQ 24GB 1TB 7200rpm Nvidia GTX 870M 3GB Full HD W8.1 Notebook : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,1000 GB,Serial ATA-300,PC,14.97 x 10.24 x 1.77 inches,7.7 pounds,,windows 8,2.70 GHz Intel Core i7,Intel,4.0,24 GB,15.60 inches,GT60,,GT60,,,,,,NVIDIA GeForce GTX 870M,,,DVD-RW,1920x1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Toshiba Satellite C55-B5200 15.6"" Laptop PC - Intel Core i3 / 6GB Memory / 750GB HD / DVD±RW/CD-RW / Webcam / Windows 8.1 64-bit (Jet Black) : Computers & Accessories",Toshiba,,DDR3 SDRAM,750 GB,,,10.20 x 15 x 1.10 inches,4.9 pounds,,Windows 8,Intel Core i3,,,6 GB SDRAM DDR3,15.6 inches,C55-B5200,802.11bgn,C55-B5200,,,,,,,,,,1366 x 768,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ZBook 14 14"" LED Notebook - Intel - Core i7 i7-4600U 2.1GHz - Graphite : Laptop Computers : Computers & Accessories",HP,Graphite,DDR3 SDRAM,750 GB,Serial ATA,PC,22.20 x 3.30 x 13.60 inches,6.8 pounds,1600 x 900,"Windows 7 Professional , Windows 8 Pro",2.10 GHz Intel Core i7,Intel,1.0,16 GB SO-DIMM DDR3,14 inches,ZBook 14 Mobile Workstation F2R96UT,"802.11A , 802.11bgn , Bluetooth",F2R96UT # ABA,,,,,,,,,,1600 x 900,,,,,,,,,,,,,,,,,,,,
"Amazon.com : MSI GS60 Ghost-003 15.6"" i7-4700HQ 16GB 1.24TB SSD/HDD GTX 860M 2GB Full HD W8.1 Gaming Laptop : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,1240 GB,"Solid State , Serial ATA",PC,15.35 x 10.47 x 0.78 inches,4.4 pounds,,Windows 8.1 x64,2.40 GHz Intel Core i7,Intel,4.0,16 GB DDR3 1600,15.60 inches,GS60,,GS60,,,,,,NVIDIA GeForce GTX 860M,1600 MHz,,None,1920x1080,,,,,,,,,,,,,,,,,,,,
Amazon.com : Apple MacBook Pro MGXD2LL/A 13.3-Inch Laptop with Retina Display (NEWEST VERSION) : Computers & Accessories,Apple,,,512 GB,,Mac,,,,Mac OS X,Intel Core i7,,,8 GB,13.3 inches,13.3-inch MacBook Pro,,A1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Acer Aspire V5-123-3659 11.6-Inch Laptop (Glossy Black) : Computers & Accessories,Acer,Glossy Black,,500 GB,,,11.22 x 7.95 x 1.08 inches,2.6 pounds,1366x768,Windows 8.1,1 GHz AMD E Series,AMD E-Series,,4 GB DDR3,11.6 inches,V5-123,802.11 a/b/g/n,V5-123-3659,,,1 Lithium ion batteries required . ( included ),,,AMD Radeon HD 8210,,1.0,,,B00H7WF2D4,"# 3,711 in Computers & Accessories ( See top 100 )",2.9 out of 5 stars See all reviews 16 reviews 2.9 out of 5 stars,"January 26 , 2014",This item is also available for shipping to select countries outside the U.S .,4.4 pounds ( View shipping rates and policies ),4 hours,512 MB,5400 RPM,,,,,,2.0,,,,,
Amazon.com : HP Zbook 17 i7 4930MX 3.9GHz Nvidia Quadro K5100M Dream Color UWVA FHD 32GB 2TB SSD BDRE : Laptop Computers : Computers & Accessories,HP,,DDR3 SDRAM,2 TB flash_memory_solid_state,,,,20 pounds,1920 x 1080,Windows 7,Intel Core i7,Intel Core I7,,8 GB ddr3,17.3 inches,HP Zbook 17,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Gateway LT41P07u 10.1-Inch Touchscreen Laptop (Silky Gray) : Computer Internal Components : Computers & Accessories,Gateway,Silky Gray,DDR3 SDRAM,500 GB SATA,Serial ATA,PC,10.10 x 7.24 x 1.27 inches,2.4 pounds,1366x768,Windows 8,1.46 GHz Intel Celeron,Intel Celeron,1.0,2 GB DDR3L SDRAM,10.1 inches,LT41P,802.11bgn,LT41P07u,,,1 Lithium ion batteries required . ( included ),,,Intel HD Graphics,,,,,B00FE2GMG0,"# 3,098 in Computers & Accessories ( See top 100 )",3.3 out of 5 stars See all reviews 64 reviews 3.3 out of 5 stars,"January 26 , 2014",This item is also available for shipping to select countries outside the U.S .,3.6 pounds ( View shipping rates and policies ),5 hours,128 MB,5400 RPM,,,,,,2.0,,,,,
"Amazon.com : HEWLETT-PACKARD EliteBook 840 G1 14"" LED Notebook - Intel Core i7 i7-4600U 2.10 GHz /8 GB RAM - 240 GB SSD - Intel HD 4400 - Windows 7 Professional 64-bit - 1600 x 900 Display - Bluetooth / G4U60UT#ABA / : Computers & Accessories",,,,240 GB,,,,,,,Intel Core i7,,,8 GB,14 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Acer Aspire NX.MG7AA.006;E1-771-6458 17.3-Inch Laptop : Computers & Accessories,Acer,Grey,DDR3 SDRAM,500 GB,Serial ATA,PC,16.30 x 10.80 x 1.40 inches,7.1 pounds,1600x900,Windows 7 Home Premium 64-bit,2.4 GHz Core i3-3110M,Intel Core i3,1.0,6 GB DDR3,17.3 inches,Aspire,802.11 a/b/g/n,NX.MG7AA.006 ; E1-771-6458,,1.0,,Lithium-Ion ( Li-Ion ),,,,2.0,DVD Super Multi DL,1600 x 900,,,,,,,,,5400 RPM,,,,,,1.0,,,,,
"Amazon.com : MSI G Series GT60 2OD-026US 15.6-Inch Laptop (3.2 GHz Intel Core i7-4700MQ Processor, 16GB DDR3, 1TB HDD, 128 GB Solid-State Drive, Windows 8) Black : Laptop Computers : Computers & Accessories",MSI,Black,DDR3 SDRAM,1 TB flash_memory_solid_state,Serial ATA-600,PC,14.97 x 10.24 x 1.77 inches,7.7 pounds,1920x1080,Windows 8,3.2 GHz Intel Core i7-4700MQ,Intel,4.0,16 GB DDR3,15.6 inches,GT60 2OD,802.11bgn,GT60 2OD-026US,,2.0,1 Lithium ion batteries required .,Lithium-Ion ( Li-Ion ),128,NVIDIA Geforce GTX780M,1600 MHz,3.0,BD Combo,1920 x 1080,,,,,,,,4000 MB,5400 RPM,,,,,,2.0,,,,,
Amazon.com : Acer Aspire AXC-605-UR11 Desktop (Black) : Computers & Accessories,Acer,Black,DDR3 SDRAM,500 GB SATA3,,,14.55 x 3.94 x 10.61 inches,15.3 pounds,,Windows 8.1,3.4 GHz Core i3-4130,Intel,1.0,4 GB DDR3,,,,AXC-605-UR11,,1.0,,,,Intel HD,,2.0,16X DVD±R/RW SuperMulti Drive,,B00K0K9PN8,# 833 in Computers & Accessories ( See top 100 ) # 40 in Electronics > Outlet # 52 in Computers & Accessories > Desktops,Be the first to review this product,"May 2 , 2014",This item is also available for shipping to select countries outside the U.S .,14.6 pounds ( View shipping rates and policies ),,,7200 RPM,,,,,,4.0,,,,,
"Amazon.com : Alienware 18 18.4"" Overclocked i7 4900MQ 4.0GHz NVIDIA SLI 780M 16GB 1600MHz RAM 750GB DVDRW Windows 8 : Laptop Computers : Computers & Accessories",Alienware,,DDR3 SDRAM,750 GB,Serial ATA-600,PC,17.97 x 2.23 x 12.91 inches,12 pounds,1920 x 1080,Windows 8,Intel Core i7,,,SO-DIMM DDR3,18.4 inches,Alienware 18-HID3,802.11n,Alienware 18-HID3,,,1 Lithium ion batteries required . ( included ),,,,,,,1920x1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Alienware ALW18-3006sLV 18.4-Inch Laptop (2.5 GHz Intel Core i7-4710MQ Processor, 8GB DDR3L, 1TB HDD, 80GB SSD, Dual NVIDIA GeForce GTX 860M, Windows 7 Home Premium) : Computers & Accessories",Alienware,"Black , Silver",DDR3 SDRAM,1024 GB flash_memory_solid_state,,PC,24.65 x 5.35 x 16.79 inches,20.8 pounds,1920x1080,Windows 7 Home Premium 64-bit,2.5 GHz Intel Core i7,Intel Core I7,,8 GB DDR3L SDRAM,18.4 inches,Alienware,802.11 A/C,ALW18-3006sLV,,1.0,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),80,Dual NVIDIA GeForce GTX 860M,1600 MHz,4.0,DVD±RW,1920 x 1080,B00IAUZGO2,"# 4,464 in Computers & Accessories ( See top 100 )",5.0 out of 5 stars See all reviews 3 reviews 5.0 out of 5 stars,"May 15 , 2014",This item is also available for shipping to select countries outside the U.S .,20.8 pounds ( View shipping rates and policies ),,4096 MB,5400 RPM,See all Used offers from Amazon Warehouse Deals .,( restrictions apply ),,,,,,,,,
Amazon.com : Acer Aspire ATC-120-UR11 Desktop (Black) : Computers & Accessories,Acer,Black,,1000 GB SATA3,,,16.29 x 6.89 x 14.98 inches,,,,3.5 GHz AMD A Series,AMD,,8 GB DDR3,,,,ATC-120-UR11,,,,,,,,4.0,16X DVD±R/RW SuperMulti Drive,,,,,,,,,,7200 RPM,,,,,,4.0,,,,,
Amazon.com : 2014 Newest Dell XPS 15 Top of The Line QHD+ 3K 3200x1800 15.6-Inch Touchscreen Laptop High Performance Loaded Gaming Ultrabook Core i7-4712HQ Quad Core 16 GB DDR3L SDRAM 512GB SSD NVIDIA GeForce GT 750M 2GB 4lbs : Computers & Accessories,Dell,,,,,,,4 pounds,,,,,,,,,,Dell XPS 15,,,,,,,,,,,,,,,,,,,,,,,,,,,15-8949sLV,13 x 10 x 0.7 inches,512GB SSD,
"Amazon.com : Alienware 18 18.4-Inch Gaming Laptop, 4th Gen 2.5 GHz Intel Core i7-4710MQ Processor, 16GB DDR3L, 1TB HDD, 80GB SSD, Dual AMD Radeon R9 M290X, Windows 8.1 Pro : Computers & Accessories",Alienware,,DDR3 SDRAM,,,PC,24.65 x 5.35 x 16.79 inches,16 pounds,,Windows 8 Pro,,,,,,Alienware 18,,ALW18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Acer Aspire V7-482PG-5842 14-Inch Touchscreen Ultrabook (Cool Steel) : Computers & Accessories,Acer,Cool Steel,,500 GB mechanical_hard_drive,,,13.39 x 9.45 x 0.90 inches,4.4 pounds,1920x1080,Windows 8.1,1.6 GHz Intel Core i5-4200U,Intel Core I5,,8 GB DDR3L SDRAM,14 inches,V7-482PG,802.11 a/b/g/n,V7-482PG-5842,,,1 Lithium ion batteries required . ( included ),,,NVIDIA GeForce GT 750M,,1.0,,,,,,,,,8 hours,4000 MB,5400 RPM,,,,,,2.0,,,,,
"Amazon.com : Lenovo ThinkPad W540 20BG0011US 15.6"" i7-4700MQ 32GB 1TB 7200RPM Quadro K1100M 2GB Full HD Notebook : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,1000 GB,Serial ATA-300,PC,14.83 x 9.77 x 1.16 inches,6 pounds,1920x1080,,2.40 GHz Intel Core i7,Intel,4.0,32 GB,15.60 inches,W540,802.11A,20BG0011US,,1.0,,,,,,2.0,DVD-RW,,,,,,,,,2 GB,7200.00,,,,NVIDIA Quadro K1100M,NVIDIA,2.0,,,,,
Amazon.com : Google Chromebook Pixel LTE Version : Laptop Computers : Computers & Accessories,Google,,DDR3 SDRAM,64 GB flash_memory_solid_state,Solid State,linux,11.72 x 0.64 x 8.84 inches,3.4 pounds,2560 x 1700,google_chrome_os,Intel Core i5,,,4 GB ddr3,12.85 inches,Google Chromebook Pixel 64GB ( LTE ),802.11 a/b/g/n,,,,,,,Intel HD Graphics 4000,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : ALL IN ONE GAMING PC INTEL Z97 i7 4790 3.6Ghz SSD 500Gb 3TB BLACK HDD X-FI SOUND WIFI BLU-RAY 1000W PSU NVIDIA GTX TITAN Z 12Gb : Computers & Accessories,Adamant Computers,,DDR3 SDRAM,3 TB,Serial ATA-600,PC,,,,Windows 8,Intel Core i7,Intel,,12 GB SDRAM DDR3,,B00L4JQDSE,802.11bgn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Alienware M18x R2 BLACK 18.4"" i7 3940XM 3.9GHz NVD SLI 680M 32GB 1024GB SSD RAID0 Killer 1202 Bluray Windows 8 Pro : Laptop Computers : Computers & Accessories",Dell,,,1024 GB flash_memory_solid_state,,,,23 pounds,,windows_8,Intel Core i7,Intel Core I7,2.0,2 GB ddr3,18.4 inches,,802.11bgn,,,,,,,geforce,,,,1920_x_1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Precision M4800 15.6"" LED Notebook - Intel Core i7 i7-4900MQ 2.80 GHz : Computers & Accessories",Dell,,,0 GB mechanical_hard_drive,,,,10.7 pounds,,,0 MHz 8032,Intel Core I7,1.0,0 GB,15.6 inches,Dell Precision M4800,,462-3766,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP Envy 15t Laptop - 15.6-in LED Screen, 4th Generation i7-4710HQ Quad Core Processor, 8 GB Memory, 1 TB HDD, Windows 8 (Non-Touch) : Computers & Accessories",HP,Silver,DDR3 SDRAM,1000 GB mechanical_hard_drive,Serial ATA,PC,10.24 x 1.11 x 15.14 inches,5.7 pounds,1366 x 768,Windows 8,2.50 GHz Intel Core i7,Intel Core I7,4.0,8 GB SO-DIMM DDR3,15.60 inches,Envy 15t,802.11bgn,Envy,AC,,6 Lithium ion batteries required .,,,Intel HD Graphics 4600,,2.0,DVD-RW,1366x768,,,,,,,5 hours,,,,,,,,,,,,,
"Amazon.com : MSI GT70 Dominator Pro 890 17.3"" i7 4900MQ 3.8GHz 8GB GTX 880M 32GB RAM 256GB SSD + 1TB HDD BDRE Windows 8.1 : Computers & Accessories",MSI,,DDR3 SDRAM,1256 GB flash_memory_solid_state,,PC,16.85 x 2.17 x 11.34 inches,8.6 pounds,1920 x 1080,Windows 8,Intel Core i7,,,SO-DIMM DDR3,17.3 inches,GT70 Dominator Pro 890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell Latitude 14 5000 Series E5440 14 Inch LED Business Laptop Intel Core i3 i3-4030U 4GB RAM 500GB Hard Drive Webcam Fingerprint Reader WiFi Windows 7 Professional : Computers & Accessories,Dell,,DDR3 SDRAM,500 GB,Serial ATA,PC,9.30 x 11.33 x 1.10 inches,4.4 pounds,1366x768,Windows 7 Professional,Intel Core i3,,,4 GB SDRAM DDR3,14 inches,Latitude 14 E5440,802.11bgn,Latitude 14 5000 Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : EXTREME SIX CORE VIDEO EDITING WORKSTATION INTEL X99 i7 5820k 3.3Ghz 64Gb DDR3 4TB WD BLACK SSD 500Gb WIN7 PRO PNY QUADRO K4000 3Gb : Computers & Accessories,Adamant Computers,,DDR3 SDRAM,4 TB,Serial ATA-600,PC,,,,Windows 7 Professional,Intel Core i7,Intel,,3 GB SDRAM DDR3,,B00O6VFCAW,802.11bgn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : 14"" I5 4300u 8gb 750gb Win7 : Computers & Accessories",,,,750 GB,,,,,,,Intel Core i5,,,8 GB,14 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo ThinkPad Edge E540 20C6008QUS Quad Core 15.6"" Windows 7 Professional Business Notebook PC (Intel Core i7-4702MQ 2.2GHz, 500GB 7200RPM Hard Drive, Windows 7 PRO Laptop, 8GB RAM) : Computers & Accessories",Eluktronics Inc .,,DDR3 SDRAM,500 GB,Serial ATA-600,PC,,,,Windows 7 Professional,2.40 GHz Intel Core i7,Intel,4.0,8 GB SO-DIMM DDR3,15.60 inches,Edge E540,,,,,,,,i7-4702MQ,,,,1366x768,,,,,,,,,,,,,,Intel,,,,,,
"Amazon.com : Toshiba Satellite P50-BBT2G22 15.6"" IPS Ultra HD 4K (3840x2160) Technicolor Touchscreen Premium Business Notebook PC (Intel i7-4710HQ Quad Core CPU, Windows 7 Professional, 2GB GDDR5 Graphics, Blu-Ray Burner, 16GB RAM, MASSIVE 2TB Hard Drive, Dual Band AC) : Computers & Accessories",Eluktronics Inc .,,DDR3 SDRAM,2 TB HDD 5400 rpm,Serial ATA-600,PC,,,3840x2160,Windows 7 Professional,2.50 GHz Intel Core i7,Intel,4.0,16 GB SO-DIMM DDR3,15.60 inches,P50T 4K Win 7 Pro,,,,,,,,i7-4710HQ,,,,,,,,,,,,,,,,,,AMD,,,,,,
"Amazon.com : Toshiba Satellite C55D-A5120 Laptop Computer - 15.6-Inch LED Screen, AMD Quad-Core E2-3800 (1.3 GHz) Processor, 4GB DDR3 Memory, 500GB Hard Drive, AMD Radeon HD 8280 Graphics, DVDRW, Window 8.1 : Computers & Accessories",Toshiba,,DDR3 SDRAM,500 GB mechanical_hard_drive,,Consumer Electronics,9.50 x 15 x 1.30 inches,5.3 pounds,,Windows 8,,,,4 GB SDRAM DDR,15.6 inches,C55D-A5120,802.11bgn,C55D-A5120,,,,,,,,,,1366 x 768,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo ThinkPad W540 20BG0016US 15.5-Inch Laptop (Black) : Computers & Accessories,Lenovo,Black,DDR3 SDRAM,256 MB Serial ATA-600,Serial ATA,PC,1 x 1 x 1 inches,6 pounds,2880 x 1620 pixels,Windows 8 Professional,2.7 GHz Core i7-4820K,Intel,1.0,8 GB DDR3L SDRAM,15.5 inches,ThinkPad W540,802.11bgn,20BG0016US,AC,,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),256.0,NVIDIA Quadro K2100M / Intel HD Graphics 4600,1600 MHz,2.0,DVD-Writer,2880 x 1620,,,,,,,11.1 hours,2 MB,1 RPM,,,,,,2.0,,,,,
"Amazon.com : Alienware 17 17-Inch Gaming Laptop, 4th Gen Intel Core i7-4700MQ UP to 3.4GHz, 16GB Memory, 128GB SSD + 500GB SATA HDD, 8GB GeForce GTX 880 Graphics, Windows 8.1 : Computers & Accessories",Alienware,Silver Anodized Aluminum,DDR3 SDRAM,,"Serial ATA , Solid State",PC,23.03 x 16.22 x 4.76 inches,16 pounds,,Windows 8,,,,,,Alienware 17,,ALW17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo 20BH002DUS ThinkPad W540 20BH - Core i7 4800MQ / 2.7 GHz - Windows 8 Pro 64-bit - 8 GB RAM - 256 GB SSD - DVD-Writer - 15.5 inch 2880 x 1620 ( 3K ) - NVIDIA Quadro K1100M / Intel HD Graphics 4600 - 802.11ac - WWAN upgradable : Computers & Accessories,,,,256 GB,,,,,,,Intel Core i7,,,8 GB,15.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo ThinkPad W540 20BG0014US 15.6-Inch Laptop (Black) : Computers & Accessories,Lenovo,Black,DDR3 SDRAM,256 GB Serial ATA-600,Solid State,PC,1 x 1 x 1 inches,1 pounds,1920 x 1080 pixels,Windows 8 Professional,,Intel,4.0,8 GB DDR3L SDRAM,15.6 inches,ThinkPad W540,802.11bgn,20BG0014US,,,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),256.0,NVIDIA Quadro K1100M / Intel HD Graphics 4600,1600 MHz,2.0,DVD-Writer,1920 x 1080,,,,,,,11.1 hours,2 MB,1 RPM,,,,,,2.0,,,,,
"Amazon.com : HP ENVY TouchSmart 17-inch FHD 1080P Touch-Screen Laptop, (2. 5 GHz Intel Core i7-4710HQ processor, 12GB Memory, 1TB Hard Drive, Windows 8.1 64 bit, silver) : Computers & Accessories",HP,Silver,DDR3 SDRAM,,,,16.50 x 11 x 1.20 inches,7 pounds,,Windows 8,,,,,,m7-k010dx,,m7-k010dx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Fujitsu LIFEBOOK E734 - Core i5 4200M / 2.5 GHz - Windows 7 Pro 64-bit / 8.1 Pro 64-bit - pre-installed: Windows 7 - 4 GB RAM - 500 GB Hybrid Drive - DVD SuperMulti - 13.3"" 1366 x 768 ( HD ) - Intel HD Graphics 4600 - keyboard: US - Specially Priced Fixed Configuration : Computers & Accessories",,,,500 GB,,,,,,,Intel Core i5,,,4 GB,13.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo G50 15.6-Inch Laptop (80E3005NUS) Black : Computers & Accessories,Lenovo,Black,,1000 GB,,,10.43 x 0.98 x 15.12 inches,4.6 pounds,1366x768 pixels,Windows 8.1,2 GHz A-Series Quad-Core A8,AMD,1.0,6 GB DDR3,15.6 inches,Lenovo,802.11bgn,80E3005NUS,,,1 Nonstandard Battery batteries required . ( included ),,,,,2.0,DVDRW,,,,,,,,6 hours,,5400 RPM,,,,,,1.0,,,,,
"Amazon.com : Lenovo Thinkpad T540p 20BE003AUS 15.6"" i7-4810MQ 2.80GHz 16GB 1TB 7200rpm W7 Laptop Computer : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,1000 GB,Serial ATA-300,PC,14.83 x 9.77 x 1.18 inches,5.3 pounds,,Windows 7 Professional,2.80 GHz Intel Core i7,Intel,4.0,16 GB DDR3 1600,15.60 inches,T540p,802.11bgn,T540p,,,,,,Intel HD Graphics 4600,1600 MHz,,,1366x768,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo IdeaPad Flex 15 15.6-Inch Touchscreen Ultrabook (59401418) Black : Computers & Accessories,Lenovo,Black,,500 GB flash_memory_solid_state,ATA100,PC,15 x 10.70 x 0.87 inches,5.1 pounds,1366x768,Windows 8.1,1.8 GHz Intel Core i7-4500U,Intel Core I7,,8 GB DDR3,15.6 inches,IdeaPad,802.11bgn,59401418,,,1 Lithium ion batteries required . ( included ),,8,Integrated Intel HD 4400 Graphics,,1.0,None,,,,,,,,5 hours,,5400 RPM,,,,,,2.0,720 MP,,,,
Amazon.com : Lenovo Thinkpad T440s 20AQ005QUS 14-Inch Laptop : Laptop Computers : Computers & Accessories,Lenovo,Black,DDR3 SDRAM,500 GB Serial ATA-600,Serial ATA,PC,1 x 1 x 1 inches,1 pounds,1600x900,Windows 8 Professional,1.9 GHz Intel Core i5,Intel Core I5,1.0,4 GB DDR3L SDRAM,14 inches,ThinkPad T440s,802.11bgn,20AQ005QUS,,,1 Lithium ion batteries required . ( included ),Lithium Polymer ( LiPo ),16.0,Intel HD Graphics 4400,,1.0,No optical drive,1600 x 900,,,,,,,8 hours,,7200 RPM,,,,,,,,,,,
Amazon.com : Brand New Hp Commercial Specialty Zbook I7 4700 8Gb 500Gb Win7 : Computers & Accessories,,,,500 GB,,,,,,,Intel Core i7,,,8 GB,17.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Panasonic Toughbook CF-31 13.1"" Notebook - Intel Core i5 i5-3320M 2.60 GHz, 16GB Memory 500GB Hard Drive, Windows 7 Professional : Laptop Computers : Computers & Accessories",Panasonic,,DDR3 SDRAM,500 GB,,PC,11.50 x 11.90 x 2.90 inches,8.2 pounds,,microsoft windows 7 professional,Intel Core i5,,,16 GB,13.1 inches,CF-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP ENVY TouchSmart 15 QE 4th Gen i7-4700MQ, 2GB NVIDIA graphic, FULL HD 1080, Backlit Keyboard, Bluetooth, Touchscreen FULLY LOADED Notebook Laptop PC with valid HP Warranty (16GB DDR3 RAM + AC Wifi) : Laptop Computers : Computers & Accessories",HP,,DDR3 SDRAM,1 TB,,PC,14.94 x 1.18 x 9.87 inches,5.6 pounds,1920 x 1080,Windows 8,Intel Core i7,Intel Core I7,,16 GB SO-DIMM DDR3,15.6 inches,Touchsmart 15,802.11bgn,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell Latitude D630 + Windows 7 notebook laptop computer : Tampa Laptops : Computers & Accessories,Dell,Silver,SODIMM,160 GB,Serial ATA-150,PC,13 x 2 x 9 inches,8 pounds,,Windows 7 Professional,1.80 GHz Intel Core 2 Duo,Intel,1.0,2 GB,14.1 inches,dell latitude d630,,D630 Latitude,,,,,,Intel Integrated GMA X3100,,,,1280X768,,,,,,,,,,,,,,,,,,,,
