<page title>,battery,dimensions wxhxd,keyboard,operating system,pointing device,weight,ac adapter,brand,cpu speed,cpu type,dimensions,gpuvpu,graphics card,hard disk,hdmi,lan,memory,memory size,model,resolution,screen,screen size,series,ssd,tech description,usb,video memory,webcam,wlan,aspect ratio,audio,backlight,bluetooth,cache,display,finish,flash media slot,hard drive,native resolution,network,optical drive,ports,power requirements,processor,size,type,wifi,64bit processing,backlight technology,battery chemistry,battery energy,battery information,bluetooth standard,builtin devices,chipset manufacturer,communication,direct media interface,display graphics,display screen type,displayport,duallayer media supported,ethernet technology,graphics,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,hard drive interface,hard drive rpm,headphonemicrophone combo port,hyperthreading,input devices,interfacesports,maximum battery run time,maximum memory,maximum turbo speed,memory card reader,memory standard,memory technology,modem,network communication,network rj45,number of total memory slots,number of usb 30 ports,operating system architecture,optical drive type,optical media supported,pointing device type,processor chipset,processor core,processor model,processor speed,processor type,screen mode,screen resolution,software,speakers,storage,touchpad features,vga,vpro technology,wireless lan manufacturer,wireless lan model,wireless lan standard,audio line out,battery capacity,certifications standards,color,depth,hard drive capacity,hdcp supported,height,height front,height rear,maximum power supply wattage,memory card supported,microphone,number of cells,number of usb 20 ports,processor manufacturer,product family,product line,product model,product name,product series,product type,standard memory,width,wireless lan,part,graphic type,hdd,hdd interface,lcd features,memory speed,number of cores,wide screen support,ethernet,navigation,chipset model,manufacturer,manufacturer part number,multitouch screen,storage size,touchscreen,weight approximate,max memory supported,display type,video port,finger print reader,solid state drive capacity,solid state drive interface,total number of usb ports,brightness,security,color gamut,expansion slots,mobile broadband,viewing angle,docking connector,speaker,battery type,green compliance certificateauthority,green compliant,audio ports,battery life,cpu support,construction,expansion slot type,mini displayport,security features,display screen technology,audio line in,external resolution,gps,nfc,supported resolutions,system bus,brand name,usb ports,keyboard backlight,keyboard localization,software included,communications,general,inputoutput connectors,performance,hdd rpm,wwan supported,backlit keyboard,hhd,tv card,touchpad,upc code
"Best Asus G750JS-DS71 ROG-i7-4700MQ-16GB RAM-1TB+256GB-Win 8.1-17.3""Notebook-Black | TopEndElectronics UK",8-Cell Lithium-Ion Providing up to 3.5 Hours per Charge ( 88Wh ),16.1 x 2.0 x 12.5 '' / 40.9 x 5.1 x 31.8 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,9.9 lb / 4.49 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo ThinkPad Edge E545 20B20011US-AMD-A6-5350M 2.9GHz-4GB-320GB HDD-Win 7-15.6""LED Notebook-Matte Black | TopEndElectronics UK",6-cell lithium ion,,,Windows 7 Professional 64-bit Windows 7 Pro 64-bit,,,,ThinkPad,A6-5350M ( 2.90GHz ),AMD A-Series AMD A6-5350M ( 2.90GHz ),,,AMD Radeon HD 8450G,320GB,,10/100/1000Mbps,,4GB DDR3,E545 ( 20B20011US ),1366 x 768,15.6 '',15.6 '',ThinkPad Edge,,Model Brand ThinkPad Series ThinkPad Edge Model E545 ( 20B20011US ) General Operating System Windows 7 Professional 64-bit CPU Type AMD A6-5350M ( 2.90GHz ) Screen 15.6 '' Memory Size 4GB DDR3 Hard Disk 320GB Optical Drive DVD±R/RW Video Memory Shared memory Webcam Yes Communication Gigabit LAN and WLAN Graphics Card AMD Radeon HD 8450G CPU CPU Type AMD A-Series CPU Speed A6-5350M ( 2.90GHz ) Display Screen Size 15.6 '' Resolution 1366 x 768 Operating Systems Operating System Windows 7 Pro 64-bit Communications LAN 10/100/1000Mbps WLAN 802.11b/g/n Wireless LAN Power Battery 6-cell lithium ion,,Shared memory,Yes,802.11b/g/n Wireless LAN,,,,,,,,,,,,DVD±R/RW,,,,,,,,,,,,,,,Gigabit LAN and WLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best ASUS X552EA-DH42-1.5 GHz-8GB-500GB-Win 8-15.6"" LED Notebook-Black | TopEndElectronics UK",4-Cell External Lithium-Ion ( 2600mAh ),,"Features : Numeric Keypad , Chiclet Style",Windows 8 ( 64-bit ),"TouchPad with Double-Tap , Multi-Touch Control , Pinch , Tap , Two-Finger Scrolling",,,,,,,,Type : Integrated Installed : ATI Radeon UMA HD,,,,Type : PC3- 1600MHz DDR3L SDRAM Installed : 8 GB Capacity : 8 GB,,,,,,,,Performance Processor 1.5GHz AMD A4 5000 Memory,,,Yes 720p Video,,16 : 9,1x 1/8 '' ( 3.5mm ) Headphone/Microphone Combo Jack,LED,,,1x HDMI 1x VGA,Glossy,1x SD,Installed : 500GB 5400rpm,1366 x 768,1x 10/100/1000Mbps Gigabit Ethernet ( RJ-45 ),,2x USB 3.0 ( A ),,1.5GHz AMD A4 5000,15.6 '',"SATA Input/Output Connectors Ports 2x USB 3.0 ( A ) Display 1x HDMI 1x VGA Audio 1x 1/8 '' ( 3.5mm ) Headphone/Microphone Combo Jack Flash Media Slot 1x SD Communications Network 1x 10/100/1000Mbps Gigabit Ethernet ( RJ-45 ) Wi-Fi 802.11b/g/n Webcam Yes 720p Video General Operating System Windows 8 ( 64-bit ) Keyboard Features : Numeric Keypad , Chiclet Style Pointing Device TouchPad with Double-Tap , Multi-Touch Control , Pinch , Tap , Two-Finger Scrolling Battery 4-Cell External Lithium-Ion ( 2600mAh )",802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best ASUS K200MA-DS01T-Celeron N2815-4GB-500 GB HDD-Win 8.1-11.6""Touchscreen Notebook-Black | TopEndElectronics UK",3-cell lithium ion,,"Numeric Keypad , Chiclet style",Windows 8.1 ( 64-bit ) Windows 8.1 64-Bit,,,,ASUS,N2815 ( 1.86GHz ),Intel Celeron Intel Dual Core N2815 1.86GHz,,Intel HD Graphics,Intel HD Graphics,500GB,1 x HDMI,10/100/1000Mbps,4GB,4GB DDR3,,1366 x 768,11.6 '',11.6 '',K200MA-DS01T,,"Model Brand ASUS Series K200MA-DS01T General Operating System Windows 8.1 ( 64-bit ) CPU Type Intel Dual Core N2815 1.86GHz Screen 11.6 '' Memory Size 4GB DDR3 Hard Disk 500GB Graphics Card Intel HD Graphics Video Memory Shared memory CPU CPU Type Intel Celeron CPU Speed N2815 ( 1.86GHz ) Display Screen Size 11.6 '' Resolution 1366 x 768 Operating Systems Operating System Windows 8.1 64-Bit Graphics GPU/VPU Intel HD Graphics Hard Drive HDD 500GB Communications LAN 10/100/1000Mbps WLAN 802.11b/g/n Wireless LAN Memory Memory 4GB Memory Speed DDR3 1600 Ports USB 1 x USB 3.0 2 x USB 2.0 Video Port 1 x VGA HDMI 1 x HDMI Input Device Keyboard Numeric Keypad , Chiclet style Power Battery 3-cell lithium ion",1 x USB 3.0 2 x USB 2.0,Shared memory,,802.11b/g/n Wireless LAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500GB,,,DDR3 1600,,,,,,,,,,,,,,1 x VGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best HP EliteBook Folio 1040 G1-i5-4300U-4GB-180GB SSD-Win 7-14"" LED Ultrabook-Platinum | TopEndElectronics UK",6-cell lithium ion,,,Windows 7 Professional 64-bit,,,,HP,1.90GHz,Intel Core i5,,Intel HD Graphics 4400,,,,,4GB,,,,,14.0 '',EliteBook Folio,180GB,Model Brand HP Series EliteBook Folio CPU CPU Type Intel Core i5 CPU Speed 1.90GHz Display Screen Size 14.0 '' Display Type HD+ Operating Systems Operating System Windows 7 Professional 64-bit Graphics GPU/VPU Intel HD Graphics 4400 Hard Drive SSD 180GB Communications WLAN IEEE 802.11a/b/g/n/ac Bluetooth Yes Memory Memory 4GB Max Memory Supported 8GB Supplemental Drive Webcam Yes Power Battery 6-cell lithium ion,,,Yes,IEEE 802.11a/b/g/n/ac,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8GB,HD+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Asus Transformer Book T100TA-DK003H 64GB Win 8.1 10.1"" Tablet | TopEndElectronics UK",2-cell Polymer Battery,,Chiclet Keyboard,,,1.07 KG ( with 2 cell battery ),,,,,26.3 ( W ) x 17.1 ( D ) x 2.36 ~ 2.36 ( H ) cm,,,,,,2GB DDR3 1066 MHz ( On board ),,,,,,,,"Model Number T100TA-DK003H Processor Intel® Bay Trail Processor Z3740 ( 2M Cache , up to 1.86 GHz ) Display 10.1 ” Touch LED Wide view LCD display ( HD 1366x768 ) Memory 2GB DDR3 1066 MHz ( On board ) HDD 64GB eMMC Chipset Intel Optical Disc Drive N/A Graphics Intel HD Graphics Warranty 1 Year Global OS Windows 8.1 Audio Built-in speaker ; Built-in microphone Network 802.11 a/b/g/n Bluetooth Yes Battery 2-cell Polymer Battery Camera 1.2 Mega Pixel web camera Weight 1.07 KG ( with 2 cell battery ) Dimensions 26.3 ( W ) x 17.1 ( D ) x 2.36 ~ 2.36 ( H ) cm Card Reader SDXC USB 1x USB 3.0 ; 1x Micro USB 2.0 I/O 1x Headphone-out & Audio-in Combo Jack ; 1x micro HDMI ; 1x Micro SD Keyboard Chiclet Keyboard Adaptor 10W",1x USB 3.0 ; 1x Micro USB 2.0,,,,,Built-in speaker ; Built-in microphone,,Yes,,10.1 ” Touch LED Wide view LCD display ( HD 1366x768 ),,,,,802.11 a/b/g/n,,,,"Intel® Bay Trail Processor Z3740 ( 2M Cache , up to 1.86 GHz )",,,,,,,,,,,,,,,,,,,Intel HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64GB eMMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best ASUS Republic of Gamers G750JW-DH71-Core i7-4700HQ-12GB-750GB HDD-17.3""-Win8 Notebook-Black | TopEndElectronics UK",8-Cell Lithium-Ion Providing up to 3.5 Hours per Charge ( 5900mAh ),16.3 x 2.0 x 12.6 '' / 41.4 x 5.1 x 32.0 cm,Type : Standard Notebook Keyboard,Windows 8 ( 64-bit ),TouchPad,9.9 lb / 4.49 kg,,,,,,,Type : Dedicated,,,,Type : DDR3 SDRAM,,,,,,,,Performance Processor 2.4GHz Intel Core i7-4700HQ Quad-Core Haswell Cache L3 : 6MB Memory,,,Yes,,16 : 09,Integrated Stereo Speakers,LED,Bluetooth 4.0,L3 : 6MB,1x Mini DisplayPort,Antiglare,1x SD,Installed : 750GB 7200rpm,1920 x 1080,10/100/1000Mbps Gigabit Ethernet ( RJ-45 ),SuperMulti DVD Burner,4x USB 3.0 ( A ),"AC : 100-240 V AC , 50/60Hz",2.4GHz Intel Core i7-4700HQ Quad-Core Haswell,17.3 '',Widescreen,802.11b/g/n/ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kensington Lock Slot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best HP EliteBook 840 G1-i5-4300U-8GB-180GB SSD-Win 7-14"" LED Notebook | TopEndElectronics UK",3-cell lithium ion,,,Windows 7 Professional 64-bit,,,,HP,4300U ( 1.90GHz ),Intel Core i5,,HD 4400,,,,,8GB,,,,,14 '',EliteBook,180GB,"Model Brand HP Series EliteBook CPU CPU Type Intel Core i5 CPU Speed 4300U ( 1.90GHz ) Display Screen Size 14 '' Display Type Full HD Operating Systems Operating System Windows 7 Professional 64-bit Graphics GPU/VPU HD 4400 Hard Drive SSD 180GB Communications WLAN 802.11a/b/g/n Wireless LAN Bluetooth Yes Memory Memory 8GB Ports USB 3 USB 3.0 1 USB 3.0 charging Video Port 1 x VGA , 1 x DisplayPort Audio Speaker 2 Integrated stereo speakers Audio HD Audio with DTS Studio Sound Supplemental Drive Webcam Yes Power Battery 3-cell lithium ion",3 USB 3.0 1 USB 3.0 charging,,Yes,802.11a/b/g/n Wireless LAN,,HD Audio with DTS Studio Sound,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full HD,"1 x VGA , 1 x DisplayPort",,,,,,,,,,,,2 Integrated stereo speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best HP ProBook 450 G2 Core i3-4005U-1.70GHz-4GB-500GB HDD-Win 8.1-15.6""LED Notebook-Black | TopEndElectronics UK",,,,,,,,,,,,,,,,,Standard Memory 4 GB Maximum Memory 16 GB Memory Technology DDR3L SDRAM Memory Standard DDR3L-1600/PC3-12800 Number of Total Memory Slots 2 Memory Card Reader Yes Memory Card Supported Secure Digital ( SD ) Secure Digital High Capacity ( SDHC ) Secure Digital Extended Capacity ( SDXC ),,,,,,,,Processor & Chipset : Processor Manufacturer Intel Processor Type Core i3 Processor Model i3-4005U Processor Speed 1.70 GHz Processor Core Dual-core ( 2 Core ) Cache 3 MB Direct Media Interface 5 GT/s 64-bit Processing Yes Hyper-Threading Yes Chipset Manufacturer Intel,,,,,0.672916667,,,Yes,3 MB,,,,,,,,,,,,,,Yes,LED,Lithium Ion ( Li-Ion ),44 Wh,Number of Cells 4-cell,Bluetooth 4.0,Webcam Yes,Intel,Wireless LAN Yes Wireless LAN Manufacturer Intel Wireless LAN Model Dual Band Wireless-AC 3160 Wireless LAN Standard IEEE 802.11a/b/g/n/ac Ethernet Technology Gigabit Ethernet Bluetooth Yes Bluetooth Standard Bluetooth 4.0 Built-in Devices : Webcam Yes Microphone Yes Speakers Yes Interfaces/Ports : HDMI Yes Total Number of USB Ports 4 Number of USB 2.0 Ports 2 Number of USB 3.0 Ports 2 VGA Yes Network ( RJ-45 ) Yes Headphone/Microphone Combo Port Yes,5 GT/s,Screen Size 15.6 '',Active Matrix TFT Color LCD,,Yes,Gigabit Ethernet,Screen Size 15.6 '' Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 0.672916667 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED Touchscreen Yes Graphics Controller Manufacturer Intel Graphics Controller Model HD Graphics 4400 Graphics Memory Technology DDR3L SDRAM Graphics Memory Accessibility Shared Network &,Intel,HD Graphics 4400,Shared,DDR3L SDRAM,Serial ATA/300,5400.0,Yes,Yes,Keyboard Yes Pointing Device Type TouchPad TouchPad Features Multi-touch Gesture Keyboard Localization English ( US ),HDMI Yes,,16 GB,,Yes,DDR3L-1600/PC3-12800,DDR3L SDRAM,,Wireless LAN Yes,Yes,2.0,2.0,64-bit,DVD-Writer,DVD-RAM/±R/±RW,TouchPad,Processor Manufacturer Intel,Dual-core ( 2 Core ),i3-4005U,1.70 GHz,Core i3,HD,1366 x 768,Operating System Windows 8.1 64-bit Operating System Architecture 64-bit,Yes,Hard Drive Capacity 500 GB Hard Drive Interface Serial ATA/300 Hard Drive RPM 5400 Optical Drive Type DVD-Writer Optical Media Supported DVD-RAM/±R/±RW Dual-Layer Media Supported Yes Display &,Multi-touch Gesture,Yes,,Intel,Dual Band Wireless-AC 3160,IEEE 802.11a/b/g/n/ac,,2850 mAh,,,,,,,,,,Secure Digital ( SD ),Yes,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English ( US ),,,,,,,,,,,,
"Best HP EliteBook 850 G1-i7-4600U-8GB-180GB SSD-Win 7-15.6"" LED Notebook | TopEndElectronics UK",3-cell lithium ion,,,Windows 7 Professional 64-bit Windows 7 Professional 64-bit,,,,HP,4600U ( 2.10GHz ),Intel Core i7 Intel Core i7-4600U 2.1GHz,13.34 '' W x 9.33 '' D x 0.83 '' H,Intel HD Graphics 4400,Intel HD Graphics 4400,180GB SSD,,,8GB,8GB DDR3,,,,15.6 '',EliteBook,,"Model Brand HP Series EliteBook General Operating System Windows 7 Professional 64-bit CPU Type Intel Core i7-4600U 2.1GHz Memory Size 8GB DDR3 Hard Disk 180GB SSD Graphics Card Intel HD Graphics 4400 Video Memory Shared memory Dimensions 13.34 '' W x 9.33 '' D x 0.83 '' H CPU CPU Type Intel Core i7 CPU Speed 4600U ( 2.10GHz ) Display Screen Size 15.6 '' Display Type Full HD Operating Systems Operating System Windows 7 Professional 64-bit Graphics GPU/VPU Intel HD Graphics 4400 Hard Drive HDD 180GB Communications WLAN 802.11b/g/n Wireless LAN Bluetooth Yes Memory Memory 8GB Memory Speed DDR3 1600 Audio Audio HD Audio with DTS Studio Sound Speaker 2 Integrated stereo speakers Ports USB 3 USB 3.0 1 USB 3.0 charging Video Port 1 x VGA , 1 x DisplayPort Supplemental Drive Webcam Yes Power Battery 3-cell lithium ion",3 USB 3.0 1 USB 3.0 charging,Shared memory,Yes,802.11b/g/n Wireless LAN,,HD Audio with DTS Studio Sound,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180GB,,,DDR3 1600,,,,,,,,,,,,,Full HD,"1 x VGA , 1 x DisplayPort",,,,,,,,,,,,2 Integrated stereo speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo Flex 2-15-i5-4210U-6GB-1TB HDD-Win 8.1-15.6"" Touchscreen LED Notebook | TopEndElectronics UK","4-cell , 2800mAh Li-Cylinder battery",,,Windows 8.1,,,,Lenovo,4210U ( 1.70GHz ),Intel Core i5,,Intel HD Graphics 4400,,,1 x HDMI,,6GB,,Flex 2 15 ( 59418271 ),1920 x 1080,,15.6 '',,,"Model Brand Lenovo Model Flex 2 15 ( 59418271 ) CPU CPU Type Intel Core i5 CPU Speed 4210U ( 1.70GHz ) Display Screen Size 15.6 '' Touchscreen Yes Resolution 1920 x 1080 Operating Systems Operating System Windows 8.1 Graphics GPU/VPU Intel HD Graphics 4400 Hard Drive HDD 1TB Communications WLAN 802.11b/g/n Wireless LAN Bluetooth Yes Memory Memory 6GB Max Memory Supported 16GB Optical Drive Optical Drive Type DVD+/-RW Ports USB 2 x USB 2.0 1 x USB 3.0 HDMI 1 x HDMI Supplemental Drive Webcam Yes Power Battery Life Up to 7 hour ( s ) Battery 4-cell , 2800mAh Li-Cylinder battery",2 x USB 2.0 1 x USB 3.0,,Yes,802.11b/g/n Wireless LAN,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVD+/-RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1TB,,,,,,,,,,,,,Yes,,16GB,,,,,,,,,,,,,,,,,,,Up to 7 hour ( s ),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best  Dell Latitude E6440-Intel Core i5-4300M 2.60 GHz-4GB - 320GB HDD-Win 7 -14"" Notebook -Anodized Aluminum | TopEndElectronics UK",Lithium Ion,,,Windows 7 Professional 64-bit,,,,DELL,4300M ( 2.60GHz ),Intel Core i5-4300M 2.6GHz,,,,,,,4GB,,,,,14 '',Latitude,,Model Brand DELL Series Latitude CPU CPU Type Intel Core i5-4300M 2.6GHz CPU Speed 4300M ( 2.60GHz ) Display Screen Size 14 '' Operating Systems Operating System Windows 7 Professional 64-bit Hard Drive HDD 320GB Communications WLAN 802.11n Wireless LAN Memory Memory 4GB Max Memory Supported 4GB Supplemental Drive Webcam Yes Power Battery Lithium Ion,,,Yes,802.11n Wireless LAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320GB,,,,,,,,,,,,,,,4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo Flex 2-15-i7-4510U-8GB-500GB HHD-Win 8.1-15.6"" Touchscreen LED Notebook | TopEndElectronics UK","4-cell , 2800mAh Li-Cylinder battery",,,Windows 8.1,,,,Lenovo,4510U ( 2 GHz ),Intel Core i7,,Intel HD Graphics 4400,,,1 x HDMI,,8GB,,Flex 2 15 ( 59418265 ),1920 x 1080,,15.6 '',,,"Model Brand Lenovo Model Flex 2 15 ( 59418265 ) CPU CPU Type Intel Core i7 CPU Speed 4510U ( 2 GHz ) Display Screen Size 15.6 '' Touchscreen Yes Resolution 1920 x 1080 Operating Systems Operating System Windows 8.1 Graphics GPU/VPU Intel HD Graphics 4400 Hard Drive HDD 500GB Communications WLAN 802.11b/g/n Wireless LAN Bluetooth Yes Memory Memory 8GB Max Memory Supported 16GB Optical Drive Optical Drive Type DVD+/-RW Ports USB 2 x USB 2.0 1 x USB 3.0 HDMI 1 x HDMI Supplemental Drive Webcam 720p HD Power Battery Life Up to 7 hour ( s ) Battery 4-cell , 2800mAh Li-Cylinder battery",2 x USB 2.0 1 x USB 3.0,,720p HD,802.11b/g/n Wireless LAN,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVD+/-RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500GB,,,,,,,,,,,,,Yes,,16GB,,,,,,,,,,,,,,,,,,,Up to 7 hour ( s ),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo ThinkPad Edge E431 6277BTU-i3-3110M 2.40GHz-2GB-320GB HDD-Win 7-14"" LED Notebook-Midnight Black | TopEndElectronics UK",6-cell lithium ion,,,Windows 7 Professional 64-bit Windows 7 Pro 64-bit,,4.70 lb ( 2.13kg ),,ThinkPad,3110M ( 2.40GHz ),Intel Core i3 Intel Core i3-3110M 2.4GHz,13.54 '' x 9.41 '' x 1.04-1.15 '',,Intel HD Graphics 4000,320GB,,10/100/1000Mbps,,2GB DDR3,E431 ( 6277BTU ),1366 x 768,14 '',14.0 '',ThinkPad Edge,,Model Brand ThinkPad Series ThinkPad Edge Model E431 ( 6277BTU ) Part # 6277BTU General Operating System Windows 7 Professional 64-bit CPU Type Intel Core i3-3110M 2.4GHz Screen 14 '' Memory Size 2GB DDR3 Hard Disk 320GB Optical Drive DVD burner Video Memory Shared memory Communication Gigabit LAN and WLAN Battery Life 6.30 Hour Webcam Yes Dimensions 13.54 '' x 9.41 '' x 1.04-1.15 '' Weight 4.70 lb ( 2.13kg ) Graphics Card Intel HD Graphics 4000 CPU CPU Type Intel Core i3 CPU Speed 3110M ( 2.40GHz ) CPU Support 3MB Smart Cache Display Screen Size 14.0 '' Wide Screen Support Yes Resolution 1366 x 768 LCD Features LED backlight Operating Systems Operating System Windows 7 Pro 64-bit Communications LAN 10/100/1000Mbps WLAN 802.11b/g/n Wireless LAN Bluetooth Yes Ports USB 2 x USB3 .0 1 x USB 2.0 Power Battery 6-cell lithium ion,2 x USB3 .0 1 x USB 2.0,Shared memory,Yes,802.11b/g/n Wireless LAN,,,,Yes,,,,,,,,DVD burner,,,,,,,,,,,,,,,Gigabit LAN and WLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6277BTU,,,,LED backlight,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.30 Hour,3MB Smart Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best ASUS Zenbook UX301LA-DH51T Intel Core i5-4200U-1.6GHz-13.3"" Touchscreen Ultrabook | TopEndElectronics UK",6-Cell External Lithium-Polymer ( 4560mAh ),12.8 x 0.6 x 8.8 '' / 32.5 x 1.5 x 22.4 cm,Features : LED Backlight,Windows 8 ( 64-bit ),TouchPad with Double-Tap,2.6 lb / 1.18 kg,,,,,,,Type : Integrated Installed : Intel Graphics System UMA,,,,Type : PC3- 1600MHz DDR3L SDRAM Installed : 8GB,,,,,,,,,,,Yes 720p Video,,16 : 9,1x 1/8 '' ( 3.5mm ) Headphone Output,LED,Bluetooth 4.0,,1x Mini-HDMI 1x Mini DisplayPort 1x VGA via included cable,Glossy,1x SD 1x MMC,Installed : 256GB ( 1x 128GB SSD ; 1x 128GB SSD ),2560 x 1440,1x Ethernet ( RJ-45 ) via included cable,,2x USB 3.0 ( A ),"AC : 100-240 V AC , 50/60Hz",1.6GHz Intel Core i5 4200U,13.3 '',Wide Touchscreen,802.11ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power-On Password,,None,None,"178° Horizontal , 178° Vertical",,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,
"Best HP EliteBook 840 G1-i3-4010U-4GB-500GB HDD-Win 7-14"" Touchscreen LED Notebook | TopEndElectronics UK",3-cell lithium ion,,,Windows 7 Professional 64-bit,,,,HP,4010U ( 1.7GHz ),Intel Core i3,,HD 4400,,,,,4GB,,,,,14 '',EliteBook,,Model Brand HP Series EliteBook CPU CPU Type Intel Core i3 CPU Speed 4010U ( 1.7GHz ) Display Screen Size 14 '' Display Type Full HD Operating Systems Operating System Windows 7 Professional 64-bit Graphics GPU/VPU HD 4400 Hard Drive HDD 500GB Communications WLAN 802.11a/b/g/n Wireless LAN Bluetooth Yes Memory Memory 4GB Ports Docking Connector 1 Audio Speaker 2 Integrated stereo speakers Audio HD Audio with DTS Studio Sound Supplemental Drive Webcam 720p HD webcam Power Battery 3-cell lithium ion,,,720p HD webcam,802.11a/b/g/n Wireless LAN,,HD Audio with DTS Studio Sound,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500GB,,,,,,,,,,,,,,,,Full HD,,,,,,,,,,,,1.0,2 Integrated stereo speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
