<page title>,battery,dimensions wxdxh,display,dockable,environmental standards,graphics,memory,networking,operating system,optical drive,processor,product description,product type,security,storage,weight,category,chipset,dimensions wd,hard drive,height,price as reviewed starting price,screen size diagonal,system weight weight with ac adapter,wireless broadband wwan,colour,localisation,manufacturer warranty,mechanical design,microsoft office preloaded,keyboard,camera,hdd,model,os,warranty,wireless,system type,included service,color,cpu,lan,graphic card,hard disk,ram memory,dimensions
Other Laptops & Notebooks - HP ProBook 470 G2 | G6W56EA for sale in Johannesburg (ID:163781019),6-cell - up to 10.25 hours,41.38 cm x 27.95 cm x 3.22 cm,17.3 '' LED backlight 1600 x 900 / HD+,,ENERGY STAR Qualified,AMD Radeon R5 M255 / Intel HD Graphics 4400 - 2 GB DDR3,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i7 ( 4th Gen ) 4510U / 2 GHz ( 3.1 GHz ) / 4 MB Cache,HP ProBook 470 G2 - 17.3 '' - Core i7 4510U - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 8 GB RAM - 1 TB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",1 TB HDD / 5400 rpm,2.95 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ProBook 650 G1 | H5G81EA for sale in Johannesburg (ID:160541180),6-cell - up to 11.12 hours,37.8 cm x 25.7 cm x 2.9 cm,15.6 '' LED backlight Full HD SVA eDP anti-glare 1920 x 1080 / Full HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4600,8 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4200M / 2.5 GHz ( 3.1 GHz ) / 3 MB Cache,HP ProBook 650 G1 - 15.6 '' - Core i5 4200M - Windows 7 Pro 64-bit / 8 Pro downgrade - 8 GB RAM - 128 GB SSD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , SmartCard reader",128 GB SSD,2.32 kg,,,,,,,,,3G,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Lenovo G505 - 15.6"" HDD | 59-415207 for sale in Johannesburg (ID:164202197)",,,15.6 '' LED backlight 1366 x 768 / HD,,,,DDR3L,802.11n,,,Intel,Lenovo G505 - 15.6 '' HDD,,,HDD,,,,,,,,,,,,,,,,,,,,,,,Notebook,,,,,,,,
Other Laptops & Notebooks - HP EliteBook 840 G1 | H5G86EA for sale in Johannesburg (ID:137913468),3-cell - up to 13.25 hours,33.89 cm x 23.7 cm x 2.1 cm,14 '' LED backlight HD SVA eDP anti-glare 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,4 GB DDR3,"802.11n , Bluetooth 4.0 EDR , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,No optical drive,Intel Core i7 ( 4th Gen ) 4600U / 2.1 GHz ( 3.3 GHz ) / 4 MB Cache,HP EliteBook 840 G1 - 14 '' - Core i7 4600U - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , SmartCard reader",500 GB HDD / 7200 rpm,1.58 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - PROLINE PREMIER W110ER - W110ER-I787P8 - Proline for sale in Johannesburg (ID:157343360),,,11.6 '' HD,,,"nVIDIA GeForce GT 650M , 2GB DDR3",8GB DDR3,,,,,,,,,,,,,,,,,,,,,,,,,,750GB SATA,W110ER-I787P8,Windows 8 Professional 64 bit,2 Years ( 1ST YEAR ON SITE ),,,,,"Intel Core i7-3630QM ( 6M Cache , up to 3.40 GHz ) , 4 Cores , 8 Threads",,,,,
Other Laptops & Notebooks - Lenovo ThinkPad T440s 20AQ | 20AQ006LZA for sale in Johannesburg (ID:151262018),3-cell,33.1 cm x 22.6 cm x 2.065 cm,14 '' LED backlight 1600 x 900 / HD+,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Lenovo ThinkPad T440s 20AQ - 14 '' - Core i5 4200U - Windows 8.1 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,1.59 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Lenovo Ideapad G500 15.6"" Notebook 1TB HDD for sale in Johannesburg (ID:161177684)",5hrs,,,,,,6GB Ram,,Windows 8,,"Intel Celeron 1005M 1,9ghz",,,,,2.6kg/5.73lb,,,,,,,,,,,,,,,,Fixed Focus CMOS camera,,,,,,,,,,,,,,377*250*34mm ( 14.84x9.84x1.33 inches )
Other Laptops & Notebooks - Lenovo G50-70 - Core i5 | 59425754 for sale in Johannesburg (ID:161123728),,,,,,,4 GB,10/100 Ethernet,,,Intel Core i5 ( 4th Gen ) 4210U / 3 MB Cache,Lenovo G50-70 - Core i5 4210U - 4 GB RAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell Latitude E7240 - 12.5"" | CA011LE72406EM for sale in Johannesburg (ID:158050446)",4-cell,31.05 cm x 21.1 cm x 2 cm,12.5 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,8 GB DDR3L,"Bluetooth 4.0 LE , 802.11ac , Gigabit Ethernet",Windows 8 Pro 64-bit - English,,Intel Core i5 ( 4th Gen ) 4300U / 1.9 GHz ( 2.9 GHz ) / 3 MB Cache,Dell Latitude E7240 - 12.5 '' - Core i5 4300U - Windows 8 Pro 64-bit - 8 GB RAM - 128 GB SSD,Ultrabook,"Trusted Platform Module ( TPM ) Security Chip , fingerprint reader , SmartCard reader , contactless SmartCard Reader",128 GB SSD,1.36 kg,,,,,,,,,,Black,,5 years warranty,,,,,,,,,,,,,,,,,,
"IBM, Lenovo - Lenovo ThinkPad T500 Notebook / 2.40GHz / 2GB / 250GB / Bluetooth / 1280x800 was listed for R2,000.00 on 24 Oct at 11:31 by Mike3895 in Johannesburg (ID:162839860)",42T4620,,,,,,,,XP PRO,,INTEL P8600 / 2.40GHz,,,,,,,,,250GB,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad T431s 20AA | 20AA001HZA for sale in Johannesburg (ID:155431411),3-cell - up to 9 hours,33.1 cm x 22.6 cm x 2.065 cm,14 '' LED backlight 1600 x 900 / HD+,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4000,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8 Pro 64-bit,No optical drive,Intel Core i5 ( 3rd Gen ) 3337U / 1.8 GHz ( 2.7 GHz ) / 3 MB Cache,Lenovo ThinkPad T431s 20AA - 14 '' - Core i5 3337U - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Ultrabook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm + 24 GB SSD cache ( M.2 ),1.63 kg,,,,,,,,,,Graphite black,,3 years warranty,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - HP ProBook 6470b - 14"" | H5E63EA for sale in Johannesburg (ID:137914550)",6-cell,33.8 cm x 23.1 cm x 3.4 cm,14 '' LED backlight HD anti-glare 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4000,4 GB DDR3,"802.11n , Bluetooth 4.0 EDR , Gigabit Ethernet , fax / modem",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i3 ( 3rd Gen ) 3120M / 2.5 GHz / 3 MB Cache,HP ProBook 6470b - 14 '' - Core i3 3120M - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 320 GB HDD,Notebook,Trusted Platform Module ( TPM 1.2 ) Security Chip,320 GB HDD / 7200 rpm,2.03 kg,,,,,,,,,,Tungsten,Portuguese / Portugal,1 year warranty,,Includes a pre-loaded image of select Microsoft Office 2010 suites . Purchase an Office 2010 Product Key Card or disc to activate preloaded software on this PC .,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad S540 Touch | 20B3006VZA for sale in Johannesburg (ID:161123896),4-cell - up to 6 hours,37.9 cm x 25.24 cm x 2.07 cm,15.6 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,AMD Radeon HD 8670M - 2 GB,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i7 ( 4th Gen ) 4510U / 2 GHz ( 3.1 GHz ) / 4 MB Cache,Lenovo ThinkPad S540 20B3 - 15.6 '' - Core i7 4510U - Windows 8.1 Pro 64-bit - 8 GB RAM - 1 TB HDD,Notebook,Trusted Platform Module ( TPM 1.2 ) Security Chip,1 TB HDD / 5400 rpm,2.11 kg,,,,,,,,,WWAN,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ProBook 650 G1 | H5G74EA for sale in Johannesburg (ID:163780939),6-cell,37.8 cm x 25.7 cm x 2.9 cm,15.6 '' LED backlight HD SVA eDP anti-glare 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4600,4 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i3 ( 4th Gen ) 4000M / 2.4 GHz / 3 MB Cache,HP ProBook 650 G1 - 15.6 '' - Core i3 4000M - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , SmartCard reader",500 GB HDD / 7200 rpm,2.32 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - TOSHIBA PORTEGE Z930-F0090 - Toshiba for sale in Johannesburg (ID:157342715),,,13.3 '' Anti-Glare LED,,,Intel,4GB DDR3,,,,,,,FP Reader / TPM / AMT / SSD Alert,,1.12kg,,,,,,,,,,,,,,,Spill Resistant STD,,256GB mSATA SSD,Z930-F0090,Win7 Pro + Win 8Pro Upgrade,3 Year Onsite,WLAN+ BT,,,Silver,i7-3667U,10/100/1000,,,,
"Other Laptops & Notebooks - Acer TravelMate P455-MG-74508G1TMakk - 15.6"" | NX.V8NEA.010 for sale in Johannesburg (ID:158733913)",4-cell - up to 3.5 hours,38.16 cm x 25.6 cm x 2.54 cm,15.6 '' LED backlight 1920 x 1080 / Full HD - matt,,ENERGY STAR Qualified,Intel HD Graphics 4400,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 7 Pro 64-bit / 8.1 Pro 64-bit,DVD SuperMulti,Intel Core i7 ( 4th Gen ) 4500U / 1.8 GHz ( 3 GHz ) / 4 MB Cache,Acer TravelMate P455-MG-74508G1TMakk - 15.6 '' - Core i7 4500U - Windows 7 Pro 64-bit / 8.1 Pro 64-bit - 8 GB RAM - 1 TB HDD,Notebook,"Trusted Platform Module ( TPM ) Security Chip , fingerprint reader",1 TB HDD / 5400 rpm,2.4 kg,,,,,,,,,,Black,South Africa,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad X240 20AL | 20AL00DVZA for sale in Johannesburg (ID:158050536),3-cell,30.55 cm x 20.85 cm x 1.99 cm,12.5 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i5 ( 4th Gen ) 4210U / 1.7 GHz ( 2.7 GHz ) / 3 MB Cache,Lenovo ThinkPad X240 20AL - 12.5 '' - Core i5 4210U - Windows 8.1 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,1.31 kg,,,,,,,,,WWAN,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Sony VAIO Duo 13 | SVD13211SGB for sale in Johannesburg (ID:158734240),4-cell - up to 11 hours,33 cm x 21 cm x 1.95 cm,13.3 '' LED backlight touchscreen 1920 x 1080 / Full HD,,,Intel HD Graphics 4400,4 GB LPDDR3,"802.11n , Bluetooth 4.0 HS , NFC",Windows 8 64-bit - Arabic / English / Chinese ( simplified ) / Thai,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Sony VAIO Duo 13 SVD13211SGB - 13.3 '' - Core i5 4200U - Windows 8 64-bit - 4 GB RAM - 128 GB SSD,Ultrabook,,128 GB SSD,1.325 kg,,,,,,,,,,Black,,,Slider design,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad Helix N3Z43ZA I5 - Lenovo for sale in Johannesburg (ID:157343159),3 & 4 CELL,,,,,INTEGRATED,4 GB DDR3,,,No Optical,"Intel Core i5-3667U Processor ( 4M Cache , 2.00 GHz )",,,,,,,,,,,,,,,,,,,,,Yes,256GB SSD,Lenovo ThinkPad Helix,WIN 8 PRO 64,3 Year Carry-In,Intel 6205S AGN,,,,,,,,,
"Other Laptops & Notebooks - TOSHIBA SATELLITE U920T-F0040 - Toshiba was listed for R8,587.00 on 28 Oct at 01:52 by PC LINK COMPUTERS in Johannesburg (ID:157343578)",,,12.5 '' Corning Gorilla Touch,,,Intel,4GB DDR3,,,NONE,,,,,,1.52kg,,,,,,,,,,,,,,,STD + Backlit,,128GB SSD,U920T-F0040,Win 8SL,1Year,WLAN+ BT,,,Silver / Brown,i5-3337U 1.8GHz,NONE,,,,
"Other Laptops & Notebooks - Acer TravelMate - 11.6"" - Core | NX.V7QEA.018 for sale in Johannesburg (ID:164202192)",6-cell - up to 7.5 hours,28.5 cm x 20.2 cm x 2.735 cm,11.6 '' LED backlight 1366 x 768 / HD - matt,,,Intel HD Graphics 4000,4 GB DDR3,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit / 8.1 Pro 64-bit,No optical drive,Intel Core i3 ( 3rd Gen ) 3217U / 1.8 GHz / 3 MB Cache,Acer TravelMate B113-M-33214G50akk - 11.6 '' - Core i3 3217U - Windows 7 Pro 64-bit / 8.1 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,,500 GB HDD / 5400 rpm,1.48 kg,,,,,,,,,,Black,South Africa,,,,,,,,,,,,,,,,,,,
"IBM, Lenovo - LENOVO THINKPAD ULTRABOOK - T430 | CORE i5 2.6GHz | 8GIG RAM | 320GB HDD | LONGLIFE BATTERY | LAPTOP was listed for R4,790.00 on 21 Oct at 22:46 by TradeRouteAuctions in Johannesburg (ID:164555298)",,,,,,,,,Windows 7,,Intel Core i5 ~ 2.6Ghz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEL HD GRAPHICS 1696 MB,320GB,8 GB DDR3 1600 MHz,
Other Laptops & Notebooks - FUJITSU LB E754/I5-4300M/8GB/500G+8GSSD/3G/W8P/3Y - Fujitsu for sale in Johannesburg (ID:157342688),up to 25 h,,"39.6 cm ( 15.6-inch ) , LED backlight , ( HD ) , Anti-glare display , magnesium , 1,366 x 768 pixel , 300 : 1",,,Intel ? HD Graphics 4600,,,,,"Intel ? Core ? i5-4300M processor , 3 MB , 2.6 GHz , up to 3.3 GHz",,,,,1.9 kg - Incl . weight saver . Weight may vary depending on actual configuration .,,,,,,,,,,,,,,,,,,,Windows 8.1 Pro 64-bit,3 Year on-site Warranty,,,,,,"Built-in 10/100/1,000 MBit/s Intel ? I217",,,,374 x 250 x 20 ( f ) - 27 ( r ) mm
Other Laptops & Notebooks - HP ProBook 450 G2 | J4S75EA for sale in Johannesburg (ID:162050166),4-cell - up to 9.25 hours,37.5 cm x 26.28 cm x 2.55 cm,15.6 '' LED backlight 1366 x 768 / HD,,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4210U / 1.7 GHz ( 2.7 GHz ) / 3 MB Cache,HP ProBook 450 G2 - 15.6 '' - Core i5 4210U - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 5400 rpm,2.26 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Lenovo ThinkPad X1 Carbon | 20A8S0WT0P was listed for R23,057.23 on 25 Oct at 01:03 by FirstShop in Johannesburg (ID:158733784)",8-cell,,LED backlight 2560 x 1440 / WQHD,,ENERGY STAR Qualified,Intel HD Graphics 4400,DDR3L,Gigabit Ethernet,,,Intel Core i7 ( 4th Gen ) 4600U / 2.1 GHz / 4 MB Cache,Lenovo ThinkPad X1 Carbon 20A8 - Core i7 4600U - 256 GB SSD,,Trusted Platform Module ( TPM 1.2 ) Security Chip,256 GB SSD,,,,,,,,,,,,Dutch,,,,,,,,,,,Ultrabook,,,,,,,,
Mecer - Mecer Xpression Netbook Ã¢ÂÂ W310CZ for sale in Johannesburg (ID:163013898),,,,,,Embedded Intel HD Integrated Grahics W/Share Memory,4GB DDR3-1600,,Microsoft Windows 8.1 with Bing 64Bit Multi Language,,"Intel¨ Ivy Bridge Dual Core Celeron 1037U CPU ( 1.8GHz , 2MB Cache )",,,,,1.35kg,,,,500GB SATA HDD,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ProBook 430 G2 | G6W21EA for sale in Johannesburg (ID:164395850),4-cell - up to 8.5 hours,32.6 cm x 23.35 cm x 2.1 cm,13.3 '' LED backlight 1366 x 768 / HD,,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i3 ( 4th Gen ) 4030U / 1.9 GHz / 3 MB Cache,HP ProBook 430 G2 - 13.3 '' - Core i3 4030U - Windows 8.1 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 5400 rpm,1.6 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ZBook 15 Mobile | F0U65EA for sale in Johannesburg (ID:160384587),8-cell,38.15 cm x 25.7 cm x 3.55 cm,15.6 '' LED backlight Full HD UWVA eDP anti-glare 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,NVIDIA Quadro K2100M - 2 GB GDDR5,8 GB DDR3L,"802.11n , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD,Intel Core i7 ( 4th Gen ) 4800MQ / 2.7 GHz ( 3.7 GHz ) / 6 MB Cache,HP ZBook 15 Mobile Workstation - 15.6 '' - Core i7 4800MQ - Windows 7 Pro 64-bit / 8 Pro downgrade - 8 GB RAM - 256 GB SSD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",256 GB SSD Self Encrypting Drive,2.93 kg,,,,,,,,,,"Graphite , hematite",,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell Latitude E6440 - Core | CA002LE64408WEREM was listed for R14,458.80 on 26 Oct at 01:03 by FirstShop in Johannesburg (ID:164555199)",6-cell,33.8 cm x 23.26 cm x 3.18 cm,14 '' LED backlight 1366 x 768 / HD,Yes,,Intel HD Graphics 4600,4 GB DDR3L,"Bluetooth , 802.11n , Gigabit Ethernet",Windows 7 Pro 64-bit - English,DVD-Writer,Intel Core i5 ( 4th Gen ) 4300M / 2.6 GHz ( 3.3 GHz ) / 3 MB Cache,Dell Latitude E6440 - 14 '' - Core i5 4300M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD,Notebook,Trusted Platform Module ( TPM ) Security Chip,320 GB HDD / 7200 rpm,2.12 kg,,,,,,,,,,"Black , silver",,3 years warranty,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell Latitude E5540 - 15.6"" | CA002LE55402EDB for sale in Johannesburg (ID:149015348)",9-cell,37.9 cm x 25.05 cm x 2.97 cm,15.6 '' WLED 1366 x 768 / HD,Yes,,Intel HD Graphics 4400,4 GB DDR3L,"802.11a/b/g/n/ac , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 7 Pro 64-bit - English,DVD-Writer,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Dell Latitude E5540 - 15.6 '' - Core i5 4200U - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,,500 GB HDD / 5400 rpm,2.3 kg,,,,,,,,,,Black,,3 years warranty,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - HP ProBook 6470b - 14"" | B6Q32EA for sale in Johannesburg (ID:137910490)",6-cell - up to 8.25 hours,33.8 cm x 23.1 cm x 3.4 cm,14 '' LED backlight HD anti-glare 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4000,4 GB DDR3,"802.11n , Bluetooth 4.0 EDR , Gigabit Ethernet , fax / modem",Windows 7 Pro 64-bit,DVD SuperMulti,Intel Core i3 ( 3rd Gen ) 3110M / 2.4 GHz / 3 MB Cache,HP ProBook 6470b - 14 '' - Core i3 3110M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD,Notebook,Trusted Platform Module ( TPM 1.2 ) Security Chip,320 GB HDD / 7200 rpm,2.03 kg,,,,,,,,,,Tungsten,German / Germany,1 year warranty,,Includes a pre-loaded image of select Microsoft Office 2010 suites . Purchase an Office 2010 Product Key Card or disc to activate preloaded software on this PC .,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - HP EliteBook 2570p - 12.5"" | B6Q08EA for sale in Johannesburg (ID:164395960)",6-cell,30.5 cm x 20.9 cm x 2.7 cm,12.5 '' LED backlight HD anti-glare 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4000,4 GB DDR3,"802.11n , Bluetooth 4.0 EDR , Gigabit Ethernet , fax / modem",Windows 7 Pro 64-bit,DVD SuperMulti,Intel Core i7 ( 3rd Gen ) 3520M / 2.9 GHz ( 3.6 GHz ) / 4 MB Cache,HP EliteBook 2570p - 12.5 '' - Core i7 3520M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , SmartCard reader",500 GB HDD / 7200 rpm,1.65 kg,,,,,,,,,,,,,,Includes a pre-loaded image of select Microsoft Office 2010 suites . Purchase an Office 2010 Product Key Card or disc to activate preloaded software on this PC .,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP EliteBook Folio 1040 | H5F62EA for sale in Johannesburg (ID:144988205),6-cell,33.8 cm x 23.35 cm x 1.59 cm,14 '' LED backlight 1600 x 900 / HD+,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - pre-installed : Windows 7,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,HP EliteBook Folio 1040 G1 - 14 '' - Core i5 4200U - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 4 GB RAM - 180 GB SSD,Ultrabook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",180 GB SSD,1.49 kg,,,,,,,,,3G,Platinum,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell Latitude E5440 - 14"" | CA017LE54402EM for sale in Johannesburg (ID:148917151)",6-cell,33.8 cm x 23.5 cm x 2.86 cm,14 '' LED backlight touchscreen 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"Bluetooth 4.0 LE , 802.11a/n/ac , Gigabit Ethernet",Windows 7 Pro 64-bit - English,DVD-Writer,Intel Core i3 ( 4th Gen ) 4010U / 1.7 GHz / 3 MB Cache,Dell Latitude E5440 - 14 '' - Core i3 4010U - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB Hybrid Drive,Notebook,Trusted Platform Module ( TPM ) Security Chip,500 GB Hybrid Drive / 5400 rpm + 8 GB SSD cache,2 kg,,,,,,,,,,,Czech,3 years warranty,,Includes a pre-loaded image of select Microsoft Office 2013 suites . Purchase an Office 2013 Product Key Card or disc to activate preloaded software on this PC .,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad X240 20AL | 20AL00A5ZA for sale in Johannesburg (ID:158050435),3-cell,30.55 cm x 20.85 cm x 1.99 cm,12.5 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i7 ( 4th Gen ) 4600U / 2.1 GHz ( 3.3 GHz ) / 4 MB Cache,Lenovo ThinkPad X240 20AL - 12.5 '' - Core i7 4600U - Windows 8.1 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,1.31 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ZBook 15 Mobile | F0U62EA for sale in Johannesburg (ID:137913213),8-cell - up to 14.25 hours,38.15 cm x 25.7 cm x 3.55 cm,15.6 '' RGB LEDs Full HD UWVA eDP anti-glare DreamColor 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,NVIDIA Quadro K2100M / Intel HD Graphics 4600 - 2 GB GDDR5,8 GB DDR3L,"802.11n , Bluetooth 4.0 EDR , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - pre-installed : Windows 7,DVD,Intel Core i7 ( 4th Gen ) 4700MQ / 2.4 GHz ( 3.4 GHz ) / 6 MB Cache,HP ZBook 15 Mobile Workstation - 15.6 '' - Core i7 4700MQ - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 8 GB RAM - 750 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",750 GB HDD / 7200 rpm,2.93 kg,,,,,,,,,,"Graphite , hematite",,,,,,,,,,,,,,,,,,,,
