<page title>,capacity,depth,dockable,height,ram,run time,speed,system type,technology,type,weight,widescreen,width,cache memory,device type,flash memory,form factor,interface,memory speed,monitor type,power provided,installed size,interface type,spindle speed,battery,dimensions wxdxh,display,dockable,environmental standards,graphics,localization,manufacturer selling program,manufacturer warranty,memory,networking,operating system,optical drive,processor,product description,security,storage,system type,weight,empty slots,features,slots qty,automatic duplexing,interface,max resolution bw,microsoft certification,monthly duty cycle max,print speed,printer type,ram installed max,total media capacity,aspect ratio,backlight life,brightness,color,diagonal size,interfaces,panel type,pixel pitch,power supply,response time,screen coating,viewable size,product type,resolution,storage,touchscreen,channel qty,localization,raid level,video memory,card reader,image enhancement technology,language simulation,max media size,max resolution color,media handling,media size class,media type,power,system requirements,main storage,optical drive,color,case material,battery life,battery type,best buy pc app,bluetoothenabled,bluray player,builtin webcam,cache memory,computer hard drive size,digital media reader or slots,directdisc labeling,display type,drive capacity,energy star certified,epeat qualified,game ports,graphics card,graphics chip,hard drive type,hdmi output,ieee 1394 firewire ports,laptop weight,modem,mpeg,operating system bit version,operating system platform,parallel ports,pcmcia slots,pointing device,processor brand,processor speed,screen size measured diagonally,speakers,svideo outputs,system memory ram,system memory ram expandable to,tv tuner,type of memory ram,usb 20 ports,video memory,wireless networking,bypass feeder capacity,copier type,device type,document feeder capacity,fax resolutions,fax type,max copying resolution,max copying speed,max fax transmission speed,max media capacity,max printing resolution,max printing speed,media size,office machine features,original size,original type,output trays capacity,pc connection,pc connection availability,printing technology,scanning,standard media capacity,hard drive size,keyboard description,network card,other control devices mouse etc,recordable dvd drive,recordable dvd drive speeds,software included,tilt,touchscreen,audio output,cache per processor,camera,card reader,form factor,graphics controller,hard drive,monitor,optical storage,os provided,platform technology,processor main features,processor socket,ram,storage controller,type,2in1,audio,customized convenience,more expansion less expense,solid security,receiver,backlit keyboard,gaming series,included software,optical drive speeds,wireless display,adobe flash compatible,data plan required,digital camera,digital camera pixels,front facing webcam,front facing webcam pixels,gps enabled,gps enabled with,headphone jack,internal storage type,pricematch,sd card slot,storage capacity,wifi built in,installed qty,beautifully slim,everlasting memories,sensational fun,superior productivity,wireless,power,microsoft office preloaded,contrast ratio,pixel per inch,speakers,automatic document feeder,automatic document reduction,automatic redial,available print modes,bit depth,black printer resolution,color printer resolution,copier resolution dpi,copier speed bw,copier speed color,document feed type and capacity,duty cycle,fax transmission speed,fontstypefaces,input paper capacity,media sizes,media types,minimum system requirements,multiple copies,networking capabilities,number of speed dials,output paper capacity,pcfree printing,print quality,print speed bw,print speed color,reduction enlargement,scan method,scanner resolution dpi,scanner type,total ink tankscartridge,twosided printer,type of interface,os provided,additional audiovideo connectors,connectivity,mechanical design,batteries needed,battery included,battery quantity,color category,connection type,cordlesswireless,ergonomic,leftrighthanded design,mac compatible,optical technology,port connection,type of pointing device,sharing files and documents is a snap,get connected in more ways than one,store it all,carrier,processor,aspect ratio,brightness,builtin devices,color support,compliant standards,contrast ratio,display position adjustments,input connectors,native resolution,panel type,pixel pitch,response time,all media,connect,do more,easy fun,memory,vesa support,ink palette supported colors,inkjet technology,printer features,product type,max media size custom,ssd cache,sound emission,hard drive capacity,number of ports,power consumption,bundled with,screen coating,fun shareable services,hd video recording,inspiring mobile freedom in your life,location,processor clock speed,rich multimedia experience,sleek portable design,supported flash memory cards,wireless connectivity,amazing angles with ips,beauty and brains,hp and the environment on your side,jawdropping details,software that simplifies,compatibility,dvid input,dvid with hdcp input,hdmi input,inputs,maximum resolution,product depth with stand,speakers included,vga input,airprint enabled,bundled services,min media size custom,pricing type,designed for,features,hot keys function,antiglare coating,horizontal frequency,monitor type,screen refresh rate,vertical frequency,fax memory,product depth without stand,additional features,5 customizable buttons,bluetrack technology,comfort and durability,tilt wheel,backlight technology,battery capacity,battery chemistry,dimensions w x d x h,display screen type,finger print reader,graphics controller manufacturer,graphics memory accessibility,graphics memory technology,hdmi,height,keyboard,maximum battery run time,maximum power supply wattage,memory card reader,memory card supported,memory technology,microphone,multitouch screen,number of cells,number of usb 30 ports,operating system architecture,optical drive type,pointing device type,processor manufacturer,processor model,processor turbo speed,processor type,screen mode,screen resolution,screen size,solid state drive capacity,standard memory,total number of usb ports,webcam,wireless lan standard,battery indicator,scrolling wheel,drop size,paper feeder,green compliance,number of buttons,total print heads,bays,available expansion slots,gorgeous gaming power,included service,instinctfast response,optimum game control,spectacle of sound,input device,heavy security exceptionally managed,reliability for the long haul,the solution for diverse business demands,preview screen size,ips,portrait andor landscape viewable,at home in your environment,barcodes,featurerich and up to any task,print from a usb flash drive,recommended monthly volume,print on cddvd,wireless broadband wwan,dimensions,display format,hdmi ports qty,lan protocol,pc interface,power device,remote control,targeting,tv tuner,viewing angle,7 capacitive multitouch screen,battery run time,fast processor,frontfacing camera,movies and tv shows,responsive touch screen,slim lightweight portable,supported still image formats,supported text formats,flash memory installed max,speaker system,stand,stand design,read speed,series,incredible beauty vibrant portability,incredible cloud store share and sync,incredible sound incredible sound with sonicmaster,pricing type,killer gaming lan priority online gaming lead the way,outstanding management of power usage,carry less,durable and dependable,productive powerhouse,security you can depend on,the power of touch,display screen technology,ethernet technology,network rj45,number of usb 20 ports,processor core,vga,wireless capability,essential security,were right behind you,environmentally friendly,auto sensing,interface slot type,lan connection,number of lan ports,speed,ips panel provides vivid images on the go,supernote super great app for more than note taking,data compression system,onscreen image controls,zooming capabilities,document management also made easy,everything the small workgroup requires,keyboard design,mouse included,multimedia keys,palm rest,available expansion bays,10point multitouch display,four awesome modes one incredible device,instant resume,multimode keyboard,robust harddrive protection,rocksolid durability,print speed photo,antenna qty,frequency band,usb 30 and network connectivity,print documents and web pages fast,cables included,connectivity technology,movement detection technology,movement resolution,os required,performance,a powerful tablet doesnt have to be complicated,make the most of the real estate,make the most of your downtime,hp support,impressive audio and visual experience,power to perform,put it together,integrated options,sensors,detailoriented display,familyfriendly,low battery,magazines come to life,more productive than ever,security at your fingertips,security devices,ultrathin and lighter,dolby advanced audio v2,intel processor,precision keyboard,ultradurable and milspec tested,vga port,discrete graphics,ambibright,digital uniformity compensation,rapid response,add style and priority by customizing your home screen,meetings made easy no paper or servers necessary,powering entertainment and empowering productivity,seamless multi tasking four different ways,take web meetings to the next level,maximum memory,number of total memory slots,mounting kit,a classic timeless design,precise input,providing a smooth computing experience
HP EliteBook 8470p - 14 - Core i5 3320M - Windows 7 Pro - 4 GB RAM - 320 GB HDD,,9.1 in,Yes,1.3 in,4 GB,,,Notebook,Lithium ion DDR3 SDRAM,14,4.6 lbs,Yes,13.3 in,,,,,Serial ATA-600,,,,,,,,,,,,,,,,,,,,,,,,,,,HD+ anti-glare,2.0,,,,,,,,,,,,,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,802.11n ``,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung ATIV Book 9 Plus 940X3GI - 13.3 - Core i5 4200U - Windows 8.1 Pro 64-bit - 8 GB RAM - 128 GB SSD,55.5 Wh,8.8 in,,0.5 in,,Up to 11 hours,1600 MHz,Ultrabook,DDR3L SDRAM,13.3,3.1 lbs,Yes,12.6 in ``,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black ash,,,,,,,,,,,,,,,,,,,,,,,,,,,128 GB SSD,,,Aluminum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP ZBook 15 Mobile Workstation - 15.6"" - Core i7 4700MQ - Windows 7 Pro 64-bit / 8 Pro downgrade - 8 GB RAM - 500 GB HDD",,,,,,,,,,,,,,,,,,,,,,,,,8-cell,15 in x 10.1 in x 1.2 in,15.6 '' LED backlight Full HD UWVA eDP anti-glare 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,NVIDIA Quadro K610M - 1 GB GDDR5,English / United States,HP Smart Buy,3 years warranty,8 GB DDR3L,"802.11n , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i7 ( 4th Gen ) 4700MQ / 2.4 GHz ( 3.4 GHz ) / 6 MB Cache,HP ZBook 15 Mobile Workstation - 15.6 '' - Core i7 4700MQ - Windows 7 Pro 64-bit / 8 Pro downgrade - 8 GB RAM - 500 GB HDD,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",500 GB HDD / 7200 rpm,Notebook,6.5 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graphite , hematite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 215 G1 - 11.6 - A series A4-1250 - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 4 GB RAM - 320 GB HDD,36 Wh,8.5 in,,0.9 in,,Up to 8 hours,1333 MHz,Notebook,DDR3 SDRAM,11.6,3.3 lbs,Yes,11.4 in ``,,,,,SATA 3 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5430 - 14 - Core i3 3120M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD,60 Wh,9.4 in,Yes,1.3 in,,,1600 MHz,Notebook,DDR3 SDRAM,14,4.5 lbs,Yes,13.8 in,,,,,Serial ATA-300,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Anti-glare,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVDﾱRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.11n ``,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Eee Box EB1036 - Celeron J1900 2 GHz - 2 GB - 320 GB,1 x 320 GB,8.6 in,,6.8 in,,,,,DDR3L SDRAM,HDD Integrated,24.3 oz,,1.1 in,,Power adapter,,,USB,1333 MHz,None .,40 Watt,,SATA,5400 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,4 in 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion 25xi - LED monitor - 25""",,,,,,,,,,,,,,,,,,,,,,,,,,22.8 in x 7.6 in x 16.9 in,,,"ENERGY STAR Qualified , EPEAT Silver",,English / United States,,,,,,,,HP Pavilion 25xi - LED monitor - 25 '',,,,9.7 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jack black , iridium silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED-backlit LCD monitor - 25 '',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Widescreen - 16 : 9,250 cd/m2,,,"Plug and Play , CSA , C-Tick , BSMI , SASO , WHQL , CB , CCC , PSB , FCC , C-ETL , ISO 9241-307 , KCC , ICES , S Mark , KC , ERP , CECP , CEL",1000 : 1 / 10000000 : 1 ( dynamic ),Tilt,"HDMI , DVI-D , VGA",FullHD 1920 x 1080,IPS,0.288 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Share videos , photos , games , and more with striking 178° horizontal and 178° vertical viewing angles – so you can accurately view images and colors from almost any direction . Less distortion . Less blurring . Happy spectators . The difference is in the screen . IPS technology delivers higher color fidelity than conventional TN ( Twisted Nematic ) panels . That means image and color consistency from almost any angle . In-plane Switching ( IPS ) , the color-rich technology you know and love in tablets , mobile devices , and televisions , is now available in a micro-thin , 25-inch diagonal Full HD [ 1 ] display designed for the home .","For big projects and multitasking , do more with a multi-monitor setup that 's easy to implement with a smart , plug-and-play design . Stay connected to current and evolving devices with easy access to built-in VGA , digital DVI and HDMI inputs . Modernize your home desktop with a contemporary , edge-to-edge panel design that delivers maximum views of all your favorite images and on-screen content . Save space in style , too . The unique , micro-thin profile fits virtually anywhere without taking up valuable space .","Gain peace of mind from HP 's award-winning service and support . Relax with a standard , 1-year limited warranty , and take advantage of real-time chat and prompt e-mail responses from our friendly team . Mercury-free display backlighting , a low halogen design , [ 5 ] arsenic-free display glass , and SmartWay Transport Partnership ( USA only ) [ 6 ] are just a few of the responsible details built right into your display . Help reduce your power consumption and cut back on energy costs with an intelligent design built with the environment in mind .","10,000,000 : 1 dynamic contrast ratio [ 3 ] makes a difference . Give your photos , videos , and online games [ 4 ] more depth and see the difference with deeper blacks and whiter whites that create a more vivid and visible color spectrum . Bring your media to life with HP Enhance+ , which enhances your onscreen imagery with crisper , cleaner images for your games , videos , and pictures. [ 2 ] . Enjoy a detailed view with Full HD [ 1 ] 1920 X 1080 resolution .","Control power saving modes , screen settings and more with HP My Display – preinstalled on your HP Pavilion 25xi with easy , step-by-step guides . HP My Display smart software also lets you partition your screen so that multiple application windows can be open at the same time , and even saves user-preferred settings for an easy startup .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad T440 20B7 - 14 - Core i5 4300U - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,23.5 Wh,9.2 in,Yes,0.8 in,,,,Ultrabook,DDR3L SDRAM,14,4 lbs,Yes,13.3 in ``,,,,,Serial ATA-600,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Anti-glare,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 GB ( M.2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DoubleSight DS-279W - LED monitor - 27""",,,,,,,,,,,,,,,,,,,,,,,,,,26 in x 7 in x 19 in - with stand,,,,,,,3 years warranty,,,,,,DoubleSight DS-279W - LED monitor - 27 '',,,,17 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piano black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated,,,,,,,,,,,LED-backlit LCD monitor - 27 '',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Widescreen - 16 : 9,350 cd/m2,,1.07 billion colors,,1000 : 1,,"HDMI , DVI-D , VGA , DisplayPort",2560 x 1440,S-IPS,0.2331 mm,6 ms ( gray-to-gray ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ematic Genesis Prime - tablet - Android 4.1 (Jelly Bean) - 4 GB - 7""",,,,,,,,,,,,,,,,,,,,,,,,,,0.4 in,7 '' TFT - 800 x 480 - Multi-Touch,,,,,,1 year warranty,,,Android 4.1 ( Jelly Bean ),,,Ematic Genesis Prime - tablet - Android 4.1 ( Jelly Bean ) - 4 GB - 7 '',,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 Megapixel front,,,,,,,,,,,512 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablet,,,,,,,,,,,,,1.1 GHz,,,"microSD , microSDXC",802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7 '' 800 x 480 capacitive multi-touch screen is ideal for watching movies , playing games or browsing the web .",Up to 4.5 hours,The Genesis Prime features a fast 1.1 GHz processor for superior performance while multitasking . Stream music while browsing the Internet or read e-Books while downloading videos .,The front-facing camera allows you to video chat with your friends and family though your Wi-Fi connection .,"Stream movies and TV shows to watch instantly on web , phone or tablet or make them available offline so you can watch from anywhere , even when you 're not connected .","The 7 '' capacitive touch screen provides an extra responsive user experience , including swiping and multi-touch gestures .","The 10 mm slim , lightweight design makes it easy to take anywhere .","BMP , GIF , JPEG","FB2 , EPUB , PDF , TXT , RTF , PDB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion TouchSmart 10-e010nr - 10.1"" - A series A4-1200 - Windows 8.1 64-bit - 2 GB RAM - 320 GB HDD",,,,,,,,,,,,,,,,,,,,,,,,,3-cell,10.7 in x 7.7 in x 0.9 in,10.1 '' LED backlight touchscreen 1366 x 768 / HD,,ENERGY STAR Qualified,AMD Radeon HD 8180,English / United States,,1 year warranty,2 GB DDR3,"802.11n , 10/100 Ethernet",Windows 8.1 64-bit,,AMD A series A4-1200 / 1 GHz / 1 MB Cache,HP Pavilion TouchSmart 10-e010nr - 10.1 '' - A series A4-1200 - Windows 8.1 64-bit - 2 GB RAM - 320 GB HDD,,320 GB HDD / 5400 rpm,Netbook,3.2 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sparkling black , HP Imprint finish with the micro dot design in anodized silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung XE700T1A Slate 11.6"" Tablet PC, Intel Core i5-2467M 1.6GHz, 4GB RAM, 128GB SSD, Win 7 Professional",,,,,,,,,,,,,,,,,,,,,,,,,,11.7 in x 0.5 in x 7.2 in,11.6 '' TFT - LED backlight - 1366 x 768 - Multi-Touch,,,,United States,,1 year warranty,,,Microsoft Windows 7 Professional 64-bit Edition,,Intel Core i5 2467M ( Dual-Core ),Samsung Series 7 Slate PC - tablet - Windows 7 Pro 64-bit - 128 GB - 11.6 '',,128 GB,,30.4 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Megapixel rear + 2 Megapixel front,,,,,,,,,,,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablet,,,,,,,,,,,,,1.6 GHz,,,microSD,"802.11 a/b/g/n , Bluetooth 3.0 HS",,,,,,,,,,,,,,,,,,,,HDMI Port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 210 G1 - 11.6 - Core i3 4010U - Windows 8.1 64-bit - 4 GB RAM - 320 GB HDD,66 Wh,8.5 in,,0.9 in,,,1600 MHz,Notebook,DDR3 SDRAM,11.6,3.2 lbs,Yes,11.4 in ``,,,,,SATA 3 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
