2in1,<page title>,hard drive capacity,laptop battery life,laptop display type,laptop hard drive capacity gb,laptop hard drive speed,laptop hard drive type,laptop memory ram gb,laptop network card,laptop operating system,laptop optical drive,laptop processor speed,laptop processor type,laptop refurbished,laptop screen size inches,laptop style,laptop use,laptop warranty,laptop weight,processor speed up to ghz,processor type,ram capacity,screen size,touch screen enabled,video graphics memory,bluetooth compatibility,cpu cache,laptop audio,laptop battery type,laptop color,laptop dimensions l x w x h,laptop memory type,laptop other ports,laptop usb slots,laptop webcam,laptop weight filter,media card reader,laptop memory expandable,laptop video graphics,color family,laptop processor type details,wireless connectivity,hard drive type,bluetooth compatibility details,laptop color details,laptop extra features,windows select pc,all in one desktop,desktop audio,desktop cpu cache,desktop dimensions l x w x h,desktop hard drive size gb,desktop includes monitor,desktop media card reader,desktop network card,desktop operating system,desktop optical drive,desktop other ports,desktop power,desktop processor,desktop refurbished,desktop usb ports,desktop use,desktop warranty,desktop weight,e desktop memory expandable,form factor,ram desktop memory gb,sp desktop hard drive speed,speed desktop processor speed,t desktop hard drive type,t desktop memory type,desktop special feature,desktop video graphics,all in one desktop details,desktop includes monitor details,desktop lan data transfer rate,desktop processor details,desktop refurbished details,desktop use details,desktop video memory,touch screen enabled details,desktop operating system details,desktop weight details,desktop hard drive size details
No,"Refurbished Lenovo ThinkPad T410 14.1"", 160GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Home | Staples®",Under 320GB,Up to 6 Hours,WXGA LCD,160.0,SATA,5400 RPM,4.0,802.11 b/g/n,Windows 7,DVD-CDRW,2.5Ghz,Intel i5,Yes,14.1,Laptop/Notebook,Business,18 Month parts and labor,1 to 2 lbs,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,Intel GMA 4500MHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dell Optiplex 760 Windows 7 Pro Refurbished Desktop PC, 4GB RAM, 320GB HD | Staples®",,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,Integrated,,12.4 '' H x 3.65 '' W x 13.4 '' D,320,No,,,Windows 7,Integrated,,,Intel Other,Yes,,Everyday,1 Year,,,,4,,2.66GHz,,,,Integrated,No,No,10/100/1000 Mbps,,Yes,Entertainment,,Yes,,,
,"Refurbished HP 6005Pro, 160GB Hard Drive, 4GB Memory, AMD Athlon, Win 7 Home | Staples®",Under 320GB,,,,,,,,,,,,,,,,,,3 to 3.9 GHz,AMD Other,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,High Definition Audio with Realtek ALC261 codec,1MB L2,Small Form Factor 4.0 '' x13.3 '' x14.9 '',160,No,N/A,Integrated Broadcom NetXtreme BCM-5761 GbE network interface,Windows 7,DVDRW Drive,"2 PS/2 ports , 1 RJ-45 , 1 DisplayPort , 1 VGA , audio in/out jacks , headphone output , a microphone/headphone jack",240 watts,AMD Other,Yes,10 ( 4 in front & 6 in rear ),Business,1 year limited,,16GB,Small Form Factor,4,7200RPM,3.0 GHz,SATA,DDR3 1333MHz,N/A,Integrated ATI Radeon HD 4200 Graphics,,,10/100/1000 Mbps,AMD Athlon II X2,,,128MB,,Genuine Windows 7 Home Premium 32-bit,16.7 lbs,160GB
,HP Pro 3500 - Core i5 3470 3.2 GHz - 4 GB - 500 GB | Staples®,500GB,,,,,,,,,,,,,,,,,,3 to 3.9 GHz,Intel i5,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,,,,500,No,,,Windows 7 Professional,,,,Intel i5,No,,Business,,,,Desktop,4GB - 5GB,,,,,,,,,,,,,,,,,
No,Toshiba Satellite 15.6-Inch Touch Screen Laptop (L55T-B5278) | Staples®,1TB,4 hours,TruBrite TFT display at 1366 x 768 native resolution ( HD ),1024.0,5400RPM,Serial ATA hard disk drive,8.0,10/100 Ethernet,Windows 8.1,DVD SuperMulti drive supporting 11 formats,1.7GHz,Intel i5,No,15.6,Laptop/Notebook,Everyday,1 Year,Less than 1 lb .,1 to 1.9 GHz,Intel i5,8GB,15 '' to 16.9 '',Yes,Mobile Intel HD graphics with shared graphics memory,No,3MB,Stereo speakers tuned by Skull Candy,4 cell/45Wh lithium ion battery,Gold,14.96 '' x 10.2 ” x 0.93 ”,DDR3L 1600MHz,"VGA , HDMI , Microphone , Headphone , RJ-45","1 x USB 2.0 , 1 x USB 3.0 , 1 x USB 3.0 with Sleep and Charge",Integrated,5.2 lbs .,"Secure Digital , SDHC , SDXC , miniSD , microSD , Multi Media Card",Not user upgradeable,Integrated,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished Dell E4310 13.3"", 250GB Hard Drive, 4GB Memory, Intel Core i5 (2.4Ghz), Win 7 Pro 64bit | Staples®",Under 320GB,30 minutes to a hour,WXGA ( 1280x800 ) Display,250.0,2.4GHz,SATA,8.0,Gigabit Ethernet 10/100/1000,Windows 7 Professional,DVDRW,5400 RPM,Intel i5,Yes,13,Laptop/Notebook,,1 year warranty,,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,,No,3M,Integrated HD audio,Lithium ion,Gray,12.70x8.46x1.10,,"Network connector ( RJ-45 ) USB 2.0 ( 1 ) , eSATA/USB 2.0 Combo ( 1 ) , Headphone/speaker out/Microphone in combo ( 1 ) , Docking Connector , VGA",2 USB Slots,,5 lbs,DDR 3,4GB,Integrated video graphics,Gray/Silver,,,,N/A,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,ASUS 10.1-Inch Detachable Laptop (T100TAM-C12-GR) | Staples®,,Up to 11 hours,WXGA IPS,64.0,eMMC,N/A,2.0,802.11n wireless,Windows 8.1,N/A,1.46GHz,Intel Other,No,10.1 '',Laptop/Notebook,Everyday,1 Year,,,,,,Yes,UMA,Yes,2MB L2,Stereo ( 2* 1 Watt Speakers ),Lithium polymer,Gray,6.76 '' x 10.36 '' x 0.93 '',LPDDR3 1066MHz,"microHDMI , combo audio jack , docking port","1 x USB 3.0 ( dock ) , 1 x micro USB 2.0 ( tablet )",Integrated,2.49 lbs .,microSD Card Reader,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished Dell E6410 14"", 160GB Hard Drive, 4GB Memroy, Intel Core i5, Win 7 Pro | Staples®",Under 320GB,,,5400.0,160,SATA,4.0,,Windows 7 Professional,DVD Rom,,Intel i5,Yes,14,Laptop/Notebook,Business,1 Year,4.1 to 5 lbs,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,,,,Integrated HD,,,9.4 '' x 13.2 '' x 1.2 '',DDR3,,,,4.4lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Toshiba C55-B5362, Intel Core i3, 4GB RAM, 500GB Hard drive, 15.6"" TruBrite® TFT display, Laptop | Staples®",,4 cell/45Wh Lithium ion battery,TruBrite® TFT display,500.0,5400 RPM,SATA,4.0,802.11b/g/n,Windows 8.1,DVD SuperMulti drive supporting 11 formats,1.70GHz,Intel i3,No,15.6,Laptop/Notebook,Everyday,1 Year,,,,,,No,,,3M,Integrated,,Black,14.96 ” x 10.2 ” x 1.05 ”,DDR3L,"1 x x RJ-45 LAN port , 1 x HDMI , 1 x RGB","2 x USB 2.0 ports , 1 x USB 3.0 port",HD webcam with microphone,4.85 lbs,Integrated Secure Digital,N/A,Mobile Intel® HD graphics with shared graphics memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Toshiba 15.6-Inch Laptop (C55-B5350) | Staples®,,Up to 4 hrs,diagonal widescreen TruBrite® TFT display at 1366 x 768 native resolution,750.0,5400RPM,SATA,6.0,10/100 Ethernet,Windows 7 Professional,DVD SuperMulti drive supporting 11 formats,1.70GHz,Intel i3,No,15.6,Laptop/Notebook,Everyday,1 Year,,,,,,No,Intel® HD graphics with shared graphics memory,No,3M,Microphone input/headphone out port,4 cell/45Wh Lithium ion battery,Black,14.96 ” x 10.2 ” x 1.05 ”,DDR3L,"1 x RGB , 1 x HDMI , Microphone input/headphone out port , RJ-45 LAN port","2 x USB 2.0 ports , 1 x USB 3.0",HD webcam with microphone,4.85 lbs .,Integrated,N/A,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Lenovo 15.6-Inch Laptop (G50) | Staples®,1TB,up to 4 hours,HD LED Backlight,1024.0,5400 RPM,Traditional Harddrive,8.0,802.11 b/g/n,Windows 8.1,DVD RW,2.0GHz,Intel i7,No,15.6,Laptop/Notebook,Everyday,1 Year,,2 to 2.9 GHz,Intel i7,8GB,15 '' to 16.9 '',No,N/A,Yes,4MB,"2 speakers x 1.5 watts , Dolby Advanced Audio , 1 x internal analog mic","4-cell , 2200mAh Li-Cylinder battery",Black,15.12 '' x 10.43 '' x 0.98 '',DDR3L,2 x USB 3.0 port and 1 x USB 2.0,"VGA port , 2 in1 Card Reader ( SD , MMC ) , RJ45 , 1 stereo headphones / microphone in combo jack , HDMI out",Integrated,4.63 lbs .,"2 in1 Card Reader ( SD , MMC )",8GB,Integrated Intel HD 4400 Graphics,Black,,802.11b/g/n,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dell OptiPlex 3020 Micro PC Desktop Computer, Intel Quad-Core i5-4590T 2 GHz 4GB RAM | Staples®",500GB,,,,,,,,,,,,,,,,,,2 to 2.9 GHz,Intel i5,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,,6MB,6.93 '' x 1.4 '' x 7.17 '',500,No,,IEEE 802.11ac,Windows 7 Professional,No,"Network ( RJ-45 ) , VGA , DisplayPort , Headphone/Microphone Combo Port",65 W,Intel i5,No,"4 x USB 2.0 , 2 x USB 3.0",Business,Limited,2.82 lbs .,16GB,Mini Tower,4,7200 RPM,2 GHz,Serial ATA,DDR3 SDRAM,In-Band Systems Management,,,,1000 Mbps,,,,,,,,
Yes,ASUS 10.1-Inch Detachable Laptop (T100TAM-C12-GR) | Staples®,,Up to 11 hours,WXGA IPS,64.0,eMMC,N/A,2.0,802.11n wireless,Windows 8.1,N/A,1.46GHz,Intel Other,No,10.1 '',Laptop/Notebook,Everyday,1 Year,,,,,,Yes,UMA,Yes,2MB L2,Stereo ( 2* 1 Watt Speakers ),Lithium polymer,Gray,6.76 '' x 10.36 '' x 0.93 '',LPDDR3 1066MHz,"microHDMI , combo audio jack , docking port","1 x USB 3.0 ( dock ) , 1 x micro USB 2.0 ( tablet )",Integrated,2.49 lbs .,microSD Card Reader,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dell Optiplex 760 Windows 7 Pro Refurbished Desktop PC, 4GB RAM, 750GB HD | Staples®",,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Integrated,,12.4 in . H x 3.65 in . W x 13.4 in . D,750,No,,,Windows 7,DVD,"Stereo in , stereo out ( back ) & stereo out ( front ) , headphone , 1 VGA port , 1 parallel port , 1 serial port",,Intel Other,Yes,"9 USB 2.0 ports , 2 front , 6 back & 1 internal",Everyday,1 Year,18 lbs .,,,4,,3.16GHz,,,,Integrated,No,No,10/100/1000 Mbps,,Yes,Everyday,,No,,,
No,"HP® 350 G1 15.6"" Business notebook | Staples®",1TB,,LED-Backlight Display,1024.0,,5400 rpm,8.0,,Windows 7 Professional,DVD-Writer,4200U ( 1.60GHz ),Intel i5,No,15.6,Laptop/Notebook,Business,Limited 1-year warranty,5.1 to 6 lbs,1 to 1.9 GHz,Intel i5,8GB,15 '' to 16.9 '',No,Intel® HD Graphics 4400,Yes,3 MB,"DTS Sound , integrated microphone , integrated speaker",,Black,15.12 x 10.28 x 0.91 in,DDR3L,"1 LAN RJ-45 , 1 -Headphone/Microphone Combo Jack , 1 VGA , 1 HDMI","2 USB 3.0 , 1 USB 2.0",HD webcam,5.07 lbs,DVD-RAM/±R/ ±RW,N/A,,Black,Intel Core i5,802.11/a/b/g/n,,,,Available for Windows 8.1 Upgrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Dell 760, 1TB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",1TB,,,,,,,,,,,,,,,,,,2 to 2.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,,Integrated,,15.7 `` ( H ) x 4.5 `` ( W ) x 13.9 `` ( D ),,,,10/100/1000 Mbps,Windows 7 Professional,DVDRW,,,,Yes,"8 x USB 2.0 , 1 x VGA , 1 x parallel , 1 x serial , 2 x 3.5mm audio line-in , 2 x 3.5mm audio line-out",Business,1-year limited,21 lbs,,,4,,2.8GHz,,,,Integrated,No,No,,Intel Core 2 Duo 2.8GHz,Yes,Everyday,,No,,,1TB
No,"Dell Inspiron 15RVT-13333BLK 15.6"" Touchscreen Laptop | Staples®",500GB,Up to 6 hours,HD Display,500.0,5400RPM,SATA,6.0,Integrated 10/100 Ethernet,Windows 8.1,DVD+/-RW Drive,2.6GHz,Intel i5,No,15.6,Laptop/Notebook,Everyday,1 Year,4.1 to 5 lbs,1 to 1.9 GHz,Intel i5,6GB,15 '' to 16.9 '',Yes,Integrated Intel HD Graphics,Yes,3M,2 speakers with Waves MaxxAudio,4-Cell Battery,Black,14.80 ” ( W ) x 10.20 ” ( D ) x 1.07 ” ( H ),DDR3L,"1 x HDMI,1 x RJ-45 10/100","2 x USB 3.0 , 2 x USB 2.0",1.0 MP,4.96 lbs .,8-in-1,8GB,N/A,Black,,802.11/a/b/g/n,Spindle,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Toshiba Satellite 15.6-Inch Laptop (S55-B5280) | Staples®,1TB,4.3 hours,TruBrite TFT display at 1366 x 768 native resolution ( HD ),1024.0,5400RPM,Serial ATA hard disk drive,12.0,10/100/1000 Ethernet,Windows 8.1,N/A,2.0GHz,Intel i7,No,15.6,Laptop/Notebook,Everyday,1 Year,Over 6 lbs,2 to 2.9 GHz,Intel i7,12GB,15 '' to 16.9 '',No,Mobile Intel HD graphics with shared graphics memory,Yes,4MB,Built-in harman/kardon stereo speakers,4 cell/45Wh lithium ion battery,Gold,14.96 x 10.2 ” x 0.93 ”,DDR3L 1600MHz,"HDMI with 4K Ultra HD output , Microphone/Headphone Combo , RJ-45","1 x USB 2.0 , 1 x USB 3.0 , 1 x USB 3.0 with Sleep and Charge",Integrated,4.85 lbs,"Secure Digital , SDHC , SDXC , miniSD , microSD , Multi Media Card",Not user upgradeable,Integrated,Gold,,,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished Lenovo T410 14.1"", 250GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Pro | Staples®",Under 320GB,6 Cell Lithium Ion,,5400.0,250GB,SATA,4.0,,Windows 7 Professional,DVDRW,,Intel i5,Yes,14.1,Laptop/Notebook,Business,1 Year,1 to 2 lbs,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,,,,Integrated HD,,,9.4 '' x 13.2 '' x 1.3 '',DDR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Acer Touchscreen 11.6-Inch Chromebook (C720-2848) | Staples®,Under 320GB,Up to 8.5 hours,HD Widescreen Anti-Glare LED-backlit Multi-touch screen Display,32.0,,SSD,2.0,802.11a/b/g/n,Google Chrome,N/A,1.4GHz,AMD Other,No,11.6,Chromebook,Everyday,1 Year,Over 6 lbs,1 to 1.9 GHz,Intel,2GB,10.1 '' to 12.9 '',Yes,Intel HD Graphics,Yes,2MB L3,Two Built-in Speakers,3-Cell Li-Polymer Battery,Gray,11.34 '' ( W ) x 8.03 '' ( D ) x 0.75 '' ( H ),DDR3L,"1 X HDMI , 1 x Headphone , 1 x Kensignton Lock Slot","1 x USB 3.0 , 1 x USB 2.0",HD Webcam ( 1280 x 720 ),2.76 lbs .,SD,2GB,125MB,White,,802.11/a/b/g/n,Solid State,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Dell Inspiron 15.6-Inch Laptop | Staples®,500GB,Up to 6 hours 33min,LED Backlit Touch Display with HD resolution ( 1366 x 768 ),500.0,5400RPM,N/A,4.0,Wireless-N,Windows 8.1,DVD+/-RW Drive,1.9GHz,Intel i3,No,15.6,Laptop/Notebook,Everyday,1 Year,Over 6 lbs,1 to 1.9 GHz,Intel i3,4GB,15 '' to 16.9 '',Yes,Integrated Video,Yes,3M,HD Audio enhanced with Wave MaxxAudio,4-Cell Battery ( 40 WHr ),Black,15 '' W x 10.5 '' D x 1 '' H,DDR3,"HDMI 1.4a , Security Slot , Media Card Reader ( SD , SDHC and SDXC ) , Headphone/Microphone","1x USB 3.0 , 2 x USB 2.0",No,Starting at 4.8lbs,Integrated,N/A,N/A,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Dell 790 SFF CORE i5-3.1GHz, 4GB Memory, 1TB Hard Drive, DVDRW Drive with Windows 7 Professional 64bit | Staples®",,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Integrated,6MB,,1000,,,Integrated Network Card,Windows 7 Professional,DVDRW Drive,"8 USB 2.0 ( 2 front , 6 rear ) , 1 Serial port , 1 Parallel port , 1 VGA , 1 RJ-45 , Microphone , Headphone , Stereo line-in , Stereo line-out",235W,Intel i5,Yes,8 x USB 2.0,Everyday,1 Year,15lbs,16GB,,4,7200RPM,,SATA,DDR3,,Integrated Graphics Card,,,10/100/1000 Ethernet,,,,,,,,
No,"Refurb LENOVO T410 CORE I5-2.4GHz Processor, 4GB memory, 320GB Hard drive, DVDRW, 14.1 Display, Windows 7 Pro 64bit | Staples®",,30 minutes to a hour,WXGA ( 1280x800 ),320.0,7200RPM,SATA,4.0,Gigabit Ethernet 10/100/1000,Windows 7 Professional,DVDRW,2.4GHz,Intel i5,Yes,14.1,Laptop/Notebook,Everyday,1 Year,,,,,,No,Integrated Graphics,No,3MB,Integrated HD audio,Lithium ion,Black,9.41 x 13.13 x 1.09,DDR3,"3 x USB 2.0 , eSATA , VGA , LAN , headphone/microphone combo jack",3 USB,,5 lbs .,,8,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished HP EliteBook 8440p 14.1"", 250GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Pro | Staples®",Under 320GB,Up to 5.5 Hours,LCD,250.0,,5400 RPM,4.0,Wireless : 802.11a/b/g/n,Windows 7 Professional,DVD-CDRW,2.5Ghz,Intel i5,Yes,14.1,Laptop/Notebook,Business,18 month parts and labor,4.1 to 5 lbs,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,,,,HD Integrated,,,9.3 '' ( L ) x 13.2 '' ( W ) x 1.2 '' ( H ),DDR3 RAM,,,,4.3 lbs,,,,,,802.11/a/b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Toshiba Satellite 15.6-Inch Laptop (C55-B5270) | Staples®,500GB,4.5 hours,TruBrite TFT display at 1366 x 768 native resolution ( HD ),500.0,5400RPM,Serial ATA hard disk drive,8.0,10/100 Ethernet,Windows 8.1,DVD SuperMulti drive supporting 11 formats,2.16GHz,Intel Other,No,15.6,Laptop/Notebook,Everyday,1 Year,Less than 1 lb .,2 to 2.9 GHz,Intel,8GB,15 '' to 16.9 '',No,Mobile Intel HD graphics with shared graphics memory,No,2MB,Stereo speakers tuned by Skull Candy,4 cell/45Wh lithium ion battery,Black,14.96 ” x 10.2 ” x 1.05 ”,DDR3L 1333MHz,"VGA , HDMI , Microphone , RJ-45","2 x USB 2.0 , 1 x USB 3.0",Integrated,4.85 lbs .,"Secure Digital , SDHC , SDXC , miniSD , microSD , Multi Media Card",Not user upgradeable,Integrated,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished HP DC7900, 250GB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",Under 320GB,,,,,,,,,,,,,,,,,,3 to 3.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Under 320GB,No,,,Windows 7,,,,Intel Other,,,Business,,,,Desktop,4GB - 5GB,,,,,,,,,,,,,,,,,
No,"HP ZBook 17 Mobile Workstation - 17.3"" - Core i7 4700MQ - Windows 7 Pro 64-bit / 8 Pro downgrade - 8 GB RAM - 750 GB HDD | Staples®",750GB,14.25 Hours,Full HD Active Matrix TFT Color LCD,750.0,7200 RPM,Serial ATA,8.0,1x 10/100/1000Mbps Gigabit Ethernet ( RJ-45 ),Windows 7 Professional,DVD-Writer,2.4 GHz,Intel i7,No,17.3,Laptop/Notebook,Business,3 Years Parts and Labor,Over 6 lbs,2 to 2.9 GHz,Intel i7,8GB,17 '' to 18.9 '',No,1 GB,Yes,6MB,1x 0.125 '' ( 3.5mm ) Combo Headphone & Audio Out,Lithium Ion ( Li-Ion ),Gray,10.7 '' x 16.4 '' x 1.3 '',DDR3L SDRAM,"1x Displayport , 1x VGA","2 x USB 3.0 ( A ) , 1 x USB 3.0 ( A ) Charging Port , 1 x USB 2.0 ( A )",720p HD Webcam,7.62 lbs .,Yes,32GB,NVIDIA Quadro K610M,Gray/Silver,,802.11/a/b/g/n,Spindle,Yes,,Fingerprint Reader Security,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Dell Optiplex 755, 750GB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",750GB,,,,,,,,,,,,,,,,,,2 to 2.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,,Integrated,,15.7 in . H x 4.5 in . W x 13.9 in . D,750,,Integrated,,,DVDRW,"2 Line-in ( Stereo/Microphone ) , 2 Line-out ( Headphone/Speaker ) , 1 VGA port , 1 parallel port , 1 serial port",,Intel Other,Yes,8 USB 2.0 ports- 2 front/ 6 rear,Business,1 Year,22 lbs .,,Desktop,4,,2.33GHz,,,,Integrated,Yes,Yes,10/100/1000 Mbps,,Yes,Entertainment,,No,Genuine Windows 7 Professional 64-bit,,
,"Refurbished Dell Optiplex 760, 1TB Hard Drive, 4GB Memory, Intel Core 2 Duo (3.0 Ghz), Win 7 Pro | Staples®",1TB,,,,,,,,,,,,,,,,,,3 to 3.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Integrated,6MB L2,13.9 '' H x 15.7 '' W x 4.5 '' H,1TB,No,,,Windows 7,DVDRW,,275 watts,Intel Other,Yes,"2 Line-in ( Stereo/Microphone ) , 2 Line-out ( Headphone/Speaker ) , 8 USB 2.0 ports- 2 front/ 6 rear , 1 VGA port , 1 parallel port , 1 serial port",Business,1 Year,18 lbs,8GB,Desktop,4,7200RPM,3.0 Ghz,SATA,DDR2,,Integrated,No,No,10/100/1000 Mbps,Intel Core 2 Duo,Yes,Everyday,Integrated,No,,,
No,ASUS X205TA-HATM0103 Notebook PC | Staples®,,8 hours,HD,32.0,,,2.0,802.11abgn wireless,Windows 8.1,N/A,"1.33GHz , up to 1.8GHz",Intel Other,,11.6,Laptop/Notebook,Everyday,"1-Year Parts Warranty , 1-Year Limited Labor Warranty",2.1 to 3 lbs,1 to 1.9 GHz,Intel,2GB,10.1 '' to 12.9 '',No,,Yes,2MB,Audio speakers ( 2*2W ),2 cell lithium ion,Blue,7.61 '' ( L ) x 11.26 '' ( W ) x 0.69 '' ( H ),DDR3,"1x Micro SD Card reader , 1x Headphone output/ microphone input combo jack , 1x Micro HDMI port",2x USB 2.0,Yes,2.14 lbs,Micro SD Card Reader,N/A,UMA Intel HD Graphics,Blue,,802.11/a/b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Dell 755, 250GB Hard Drive, 2GB Memory, Intel Core 2 Duo, Win 7 Home Premium | Staples®",Under 320GB,,,,,,,,,,,,,,,,,,2 to 2.9 GHz,Intel,2GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Integrated,,12.4 in . H x 3.65 in . W x 13.4 in . D,250,No,Integrated,,Windows 7,DVD,"Stereo in , stereo out ( back ) & stereo out ( front ) , headphone,1 VGA port , 1 parallel port , 1 serial port",,Intel Other,Yes,"9 USB 2.0 ports , 2 front , 6 back & 1 internal",Everyday,1 Year,18 lbs .,,Desktop,2,,2.33GHz,,,,Integrated,No,No,10/100/1000 Mbps,,,Entertainment,,Yes,,,
,Toshiba 15.6-Inch Touch Screen Laptop | Staples®,750GB,,,,,,,,,,,,,,,,,,,Intel i5,8GB,15 '' to 16.9 '',Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gateway NV570P09u 15.6"" Touch Screen Laptop | Staples®",750GB,,,,,,,,,,,,,,,,,,,Intel,4GB,15 '' to 16.9 '',Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurb DELL E6420 CORE I5-2.5GHz Processor, 4GB memory, 500GB Hard drive, DVDRW, 14 Display, Windows 7 Pro 64bit with Webcam | Staples®",,30 minutes to a hour,WXGA ( 1280x800 ),500.0,7200RPM,SATA,4.0,Gigabit Ethernet 10/100/1000,Windows 7 Professional,DVDRW,2.5GHz,Intel i5,Yes,14.1,Laptop/Notebook,Everyday,1 Year,,,,,,No,Integrated Graphics,No,3MB,Integrated HD audio,Lithium ion,Black,9.5 x 19.9 x 1.3,DDR3,"Network connector ( RJ-45 ) , USB 2.0 ( 4 ) , Microphone jack , Headphone/speaker out , Docking Connector , VGA , DisplayPort , HDMI",4 USB,yes,5 lbs .,,8,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished Lenovo T400 ThinkPad 14"", 160GB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",Under 320GB,,,7200.0,160,SATA,4.0,,Windows 7 Professional,DVDRW,,Intel Other,Yes,14,Laptop/Notebook,Business,1 Year,4.1 to 5 lbs,2 to 2.9 GHz,Intel,4GB,13 '' to 14.9 '',No,,,,Integrated HD,,,9.28 '' x 13.2 '' x 1.36 '',DDR3,,,,4.85lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished HP DC7800-0002, 750GB Hard Drive, 2GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",750GB,,,,,,,,,,,,,,,,,,2 to 2.9 GHz,Intel,2GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,,,,500,No,,,Windows 7 Professional,,,,Intel Other,Yes,,Business,,,,Desktop,2GB - 3GB,,,,,,,,,,,,,,,,,
