<page title>,deal first added on,ean13,last updated,manufactured in,manufacturer,product name,product number mpn,retail price,upc,processor manufacturer,processor type,hard drive size,num of processors,processor speed,ram,ram type,computer hardware,ean14,operating system,weight,dimensions,modem,cddvd drive,floppy disk drive,hard drive,keyboard mouse,memory,processor,battery,camera,card reader,color,display,graphics,input output,storage,wireless,monitor resolution
Lenovo IdeaPad Flex 15 Touchscreen on sale for $529.00,5-June-2014,0888228649573,01-November-2014,,Lenovo,Lenovo IdeaPad Flex 15 Touchscreen Ultrabook ( 59401418 ),59401418,$ 849.99,888228649573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron i14z-1000sLV 14"" Ultrabook on sale for $598.00",11-December-2012,0884116097846,01-November-2014,,Dell,Dell Inspiron i14z-1000sLV 14 '' Ultrabook ( Moon Silver ),i14z-1000sLV,$ 706.00,884116097846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire V5 Touch V5-171-6471 11.6"" on sale for $525.00",31-July-2013,0886541948106,01-November-2014,,Acer,"Acer Aspire V5 Touch V5-171-6471 11.6 '' Notebook with Core i5 , 6GB RAM , 500GB HD , Windows 8",V5-171-6471,$ 579.99,886541948106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15-g070nr 15.6"" Laptop on sale for $229.00",7-August-2014,0888793298657,01-November-2014,,Hewlett-Packard,"HP 15-g070nr 15.6 '' Laptop with 4GB RAM , 500GB Hard Drive , Windows 8.1",J1J41UA # ABA,$ 249.99,888793298657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire V5 Touch V5-122P-0600 11.6"" on sale for $415.99",31-July-2013,0887899140631,01-November-2014,,Acer,"Acer Aspire V5 Touch V5-122P-0600 11.6 '' Touchscreen Notebook with AMD A6 1GHz , 4GB RAM , 500GB HD , Windows 8",V5-122P-0600,$ 529.99,887899140631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite L875D-S7332 17.3"" on sale for $335.99",10-July-2013,0022265278765,01-November-2014,,Toshiba,"Toshiba Satellite L875D-S7332 17.3 '' Notebook with Dual Core 2.7GHz , 6GB RAM , 640GB HD and Windows 8",,$ 599.99,22265278765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus Vivobook S400CA-DB51T 14"" on sale for $949.90",13-August-2013,0886227497157,01-November-2014,,Asus,"Asus Vivobook S400CA-DB51T 14 '' Touchscreen Notebook with Core i5 , 6GB RAM , 500GB HD , Windows 8",S400CA-DB51T,$ 699.00,886227497157.0,,,,,,,,,,: Windows 8 ( 64 bit ),: 4.4 lbs,: 13.3 '' x 9.4 '' x 0.8 '' ( W x D x H ),,,,,,: 6GB DDR3,: Intel® Core™ i5-3337U Processor ( 2.7GHz ),: Up to 5 hours life1,: HD Camera,: SD card reader,: Black,: 14.0 '' LED backlit HD ( 1366x768 ) capacitive touch panel,: Intel® GMA HD,1 x Audio jack combo 1 x VGA port 1 x HDMI port 1 x RJ45 1 x USB 3.0 port 2 x USB 2.0 port,: 500GB ( 5400 RPM ) 32GB ASUS WebStorage2,: 802.11 b/g/n ; Bluetooth 4.0,
"Samsung ATIV Book 4 16"" Laptop on sale for $449.99",27-March-2014,0887276979441,01-November-2014,,Samsung,"Samsung ATIV Book 4 16 '' Laptop with 2.6 GHz Intel Core i5 , 6GB RAM , 750GB HD , Windows 8 ( NP470R5E-K01UB )",NP470R5E-K01UB,,887276979441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire V5 14"" Laptop on sale for $558.99",19-May-2014,0887899501012,01-November-2014,,Acer,"Acer Aspire V5 14 '' Laptop with Intel Haswell Core i5 , 4GB RAM , 500GB HD ( V5-473P-6459 )",,$ 599.99,887899501012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook MC207LL/A 13.3"" Notebook on sale for $2899.00",27-November-2009,0885909345915,01-November-2014,,Apple,"Apple MacBook MC207LL/A 13.3 '' Notebook ( 2.26GHz , 250GB HD , 2GB RAM , LED Glossy Widescreen )",MC207LL/A,$ 999.00,885909345915.0,Intel,Intel Core 2 Duo,,1.0,2.26 GHz,2 Gb,SDRAM,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire V5 Touch V5-122P-0637 11.6"" on sale for $388.49",31-July-2013,0887899129995,01-November-2014,,Acer,"Acer Aspire V5 Touch V5-122P-0637 11.6 '' Touchscreen Notebook with AMD A6 1GHz , 6GB RAM , 500GB HD , Windows 8",V5-122P-0637,$ 549.99,887899129995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro 17"" Notebook on sale for $4010.18",20-April-2010,0885909304356,01-November-2014,,Apple,"Apple MacBook Pro 17 '' Notebook ( 2010 version , 2.53Ghz i5 processor , MC024LL/A )",MC024LL/A,$ 2299.00,885909304356.0,,,,,,,,,885909304356.0,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite C55-B5202 16"" Laptop on sale for $160.00",7-August-2014,0022265818305,01-November-2014,,Toshiba,"Toshiba Satellite C55-B5202 16 '' Laptop with 4GB RAM , 500GB HD , Webcam , Windows 8.1",C55-B5202,$ 399.99,22265818305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus D550CA-BH31 15.6"" Notebook on sale for $375.00",27-March-2014,0886227577675,01-November-2014,,Asus,"Asus D550CA-BH31 15.6 '' Notebook with Core i3 , 6GB RAM , 500GB HD , Windows 8",D550CA,$ 379.00,886227577675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron i14z-6001sLV 14"" Ultrabook on sale for $899.89",11-December-2012,0884116101604,01-November-2014,,Dell,Dell Inspiron i14z-6001sLV 14 '' Ultrabook,i14z-6001sLV,$ 877.00,884116101604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Envy TouchSmart 15-j080us 15.6"" on sale for $1103.86",20-December-2013,0888182014622,01-November-2014,,Hewlett-Packard,"HP Envy TouchSmart 15-j080us 15.6 '' Touchscreen Laptop with Core i5 , 750GB HD , Windows 8",HP ENVY TouchSm,$ 1098.00,888182014622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X75A-DS51 17.3"" Notebook on sale for $759.48",27-March-2014,0886227410866,01-November-2014,,Asus,"Asus X75A-DS51 17.3 '' Notebook with Core i5 , 8GB RAM , 750GB HD , Windows 8",X75A-DS51,$ 649.00,886227410866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus Zenbook Prime UX31A 13.3 Ultrabook on sale for $749.99,25-August-2013,0886227219759,01-November-2014,,Asus,"Asus Zenbook Prime UX31A 13.3 Ultrabook with Intel Core i5-3317U , 128GB SSD , 4GB RAM , Windows 7 ( # UX31A-R5102H )",,$ 1049.00,886227219759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion 15-g019wm 15.6"" Notebook on sale for $229.99",23-July-2014,0888182370346,01-November-2014,,Hewlett-Packard,"HP Pavilion 15-g019wm 15.6 '' Notebook with AMD E1-2100 , 4GB RAM , 500GB Hard Drive , Supermulti DVD Burner , Webcam , Windows 8.1",F9H60UAABA,$ 298.00,888182370346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus Taichi 21-DH71 11.6"" IPS FHD on sale for $999.99",25-August-2013,0163120808601,01-November-2014,,Asus,"Asus Taichi 21-DH71 11.6 '' IPS FHD Convertible Touch Ultrabook with Intel Core i7-3517U 1.9GHz , 4GB RAM , 256GB SSD , and Windows 8 Home Premium 64-bit",,,163120808601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony VAIO VGN-UX280P 4.5"" Notebook PC on sale for $3006.77",2-November-2006,0027242704503,01-November-2014,,Sony,"Sony VAIO VGN-UX280P 4.5 '' Notebook PC ( Intel Core Solo Processor U1400 , 1 GB RAM , 40 GB Hard Drive )",VGN-UX280P,$ 2000.00,27242704503.0,Intel,Intel Core Solo,,1.0,,,DDR2 SDRAM,,27242704503.0,,5 lbs .,1.5 x 5.91 x 3.74 in .,Wireless cellular modem,"The UX280P does not come with an integrated optical drive , but Sony offers an optional , external multi-format DVD burner ( VGP-DDRW4 ) .",None,"The 40 GB Ultra ATA hard drive ( 4200 RPM ) is on the small side when compared to full-size notebooks , but it is understandable in such a small package . Sony 's G-Sensor shock protection offers an advantage over traditional hard drives by safeguarding the notebook 's internal mechanisms to protect against impact and help prevent a loss of data .",The hidden keyboard has 64 keys with a 0.15mm stroke and 8.6mm pitch .,"It 's loaded with 1 GB of 400 MHz , PC-3200 DDR2 RAM . On the downside , that 's the maximum that the UX280P will accept , so you wo n't be able to upgrade . But on the upside , it 's double the 512 MB that its predecessor ( the UX180P ) held .","The Ultra Low Voltage Intel CoreSolo U1400 processor is new to Intel as of June , 2006 , and it offers a 1.2 GHz speed paired with a fast 533 MHz front-side bus and large 2 MB L2 cache . ( An L2 , or secondary , cache temporarily stores data ; and a larger L2 cache can help speed up your system 's performance . The FSB carries data between the CPU and RAM , and a faster front-side bus will deliver better overall performance . ) The Core Solo processor delivers enhanced performance for today 's demanding applications such as CAD tools , 3-D and 2-D modeling , video editing , digital music , digital photography and gaming . And Intel 's Smart Cache technology enables smarter , more efficient cache and bus design for enhanced performance , responsiveness and power savings .",,,,,,,,,,4.5
"Apple MacBook Air 11.6"" Laptop on sale for $999.47",18-June-2014,0885909942312,01-November-2014,Made in Germany,Apple,"Apple MacBook Air 11.6 '' Laptop with 256GB SSD ( 2014 Version , MD712LL/B )",MD712LL/B,$ 1099.00,885909942312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad S210 59387503 11.6"" on sale for $279.98",2-December-2013,0887942750510,01-November-2014,,Lenovo,Lenovo IdeaPad S210 59387503 11.6 '' Touchscreen Laptop ( Black ),59387503,$ 419.99,887942750510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus UX31A-XB52 13.3"" Laptop on sale for $1414.95",26-November-2013,0886227257386,01-November-2014,,Asus,"Asus UX31A-XB52 13.3 '' Laptop with Core i5 , 4GB RAM , 256GB SSD HD , Windows 7",UX31A-XB52,$ 1469.00,886227257386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X-Series X550CA-DB51 15.6"" Notebook on sale for $519.99",31-July-2013,0886227501830,01-November-2014,,Asus,"Asus X-Series X550CA-DB51 15.6 '' Notebook with Core i5 1.8GHz , 8GB RAM , 750GB HD , Windows 8",X550CA-DB51,$ 599.00,886227505739.0,,,,,,,,,,: Windows 8 ( 64 bit ),: 5.1 lbs,: 15.0 '' x 9.9 '' x1.0 '' ( W x D x H ),,,,,,: 8GB DDR3,: Intel® Core™ i5-3337U ( 2.7GHz ),: Up to 5.4 hours life1,: HD Camera,: SD card reader,: Dark Gray,: 15.6 '' LED backlit HD ( 1366x768 ),: Intel® GMA HD,1 x Audio jack combo 1 x VGA port 1 x HDMI port 1 x RJ45 1 x USB 3.0 port 1 x USB 2.0 port,: 750GB ( 5400 RPM ) 32GB ASUS WebStorage2,: 802.11 b/g/n ; Bluetooth 4.0,
