<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,builtin devices,certifications standards,colour,colour support,contrast ratio,depth,display orientation,displayport,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,hdmi,headphone,height,horizontal viewing angle,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,number of speakers,operating power consumption,package contents,panel technology,platform supported,product line,product model,product name,product type,response time,screen mode,screen size,speakers,standard refresh rate,standby power consumption,usb,usb standard,vertical viewing angle,vesa mount compatible,vesa mount standard,vga,weight approximate,width,depth with stand,height with stand,input voltage,screen surface,width with stand,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,horizontal frequency,maximum adjustable height,offmode power consumption,product series,webcam,swivel angle,tilt angle,weight with stand approximate,energy consumption per year,energy efficiency class,mount type,full product specifications,postconsumerwaste,3d type,recycled,recycled content,network rj45,packaged quantity,thunderbolt,component video,composite video,superb performance,versatile connections,full datasheet accessories features,mfr code,product,product code,stock,additional information,svideo
"22M35A-B, 2998778, LG Electronics, LCD Monitor, Itenergy Ltd",,,,16:9,LED,LG,200 cd/mÂ²,,,Black,,,,,,,,,,,,,,,,LG Electronics,22M35A-B,1920 x 1080,1.0,,,,,,,22M35A-B,22M35A-B LCD Widescreen Monitor,LCD Monitor,5 ms,Full HD,"55.9 cm (22"")",,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.L4WLA.SBE, M351867, BenQ, LCD Monitor, Itenergy Ltd",Yes,,,16:10,LED,BenQ,250 cd/mÂ²,Speaker,,Black,,"1,000:1",222.6 mm,,Yes,Yes,,RoHS TCO Displays 5.0 ENERGY STAR,Yes,Yes,,Yes,429.9 mm,170Â°,,BenQ Corporation,9H.L4WLA.SBE,1680 x 1050,1.0,2.0,34.50 W,,,PC,,BL2201PT,BL2201PT Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,,300 mW,,,160Â°,Yes,100 x 100,Yes,6.10 kg,516.7 mm,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"LS24C65UDW/EN, 3005295, Samsung, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,LED,Samsung,250 cd/mÂ²,Speaker USB Hub,,Matte Black,16.7 Million Colours,"1,000:1",54.2 mm,,Yes,Yes,MagicBright 5 Off Timer Eco Saving Display Power Management Signaling (DPMS),EPEAT Gold ENERGY STAR TCO Certified Displays,Yes,,,,359.4 mm,178Â°,,Samsung,LS24C65UDW/EN,1920 x 1200,1.0,2.0,35 W,,AD-PLS Technology,PC,,S24C650DW,S24C650DW Widescreen LCD Monitor,LCD Monitor,5 ms,WUXGA,"61 cm (24"")",Yes,,300 mW,Yes,USB 2.0,178Â°,Yes,100 x 100,Yes,4.10 kg,554.8 mm,224 mm,517.25 mm,220 V AC 110 V AC,,554.80 mm,,,,,130 mm,,SC650,,45Â°,-3Â°to25Â°,5.70 kg,,,Wall Mountable,,,,Yes,Plastic,,,,,,,,,,,,,,
"LS23C45KBS/EN, Samsung, LCD Monitor, Itenergy Ltd",Yes,Yes,,16:9,LED,Samsung,250 cd/mÂ²,,,,16.7 Million Colours,"1,000:1",55.5 mm,Landscape/Portrait,No,Yes,MagicTune MagicRotation Off Timer MagicBright 3 MagicAngle Eco Saving,TCO Certified Displays EPEAT Gold ENERGY STAR,Yes,,No,,321.4 mm,170Â°,,Samsung,LS23C45KBS/EN,1920 x 1080,1.0,,25 W,,,PC,,S23C450B,S23C450B Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",No,,100 mW,,,160Â°,Yes,100 x 100,Yes,2.95 kg,542.9 mm,224 mm,474.65 mm,220 V AC 110 V AC,,542.90 mm,,,,,,,450,,,,4.60 kg,,,Wall Mountable,,,,Yes,Plastic,,,,,,,,,,,,,,
"60B4RAT6UK, 3092025, Lenovo, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Lenovo,300 cd/mÂ²,Speaker USB Hub,ISO 9241-307,Black,1.073 Billion Colors,"3,000,000:1",,,Yes,No,CAD/CAM Mode Security Lock Mobile High-Definition Link (MHL),TCO Certified Displays ENERGY STAR 6.0 TCO Certified Edge Displays 1.2 China RoHS RoHS TÃV ULE Gold EPEAT Gold,Yes,Yes,Yes,,443.2 mm,170Â°,3 Year,Lenovo Group Limited,60B4RAT6UK,3840 x 2160,1.0,2.0,,,Twisted Nematic Film (TN Film),PC,ThinkVision,Pro2840m,Thinkvision Pro2840m Widescreen LCD Monitor,LCD Monitor,5 ms,QFHD,"71.1 cm (28"")",Yes,60 Hz,,Yes,USB 3.0,160Â°,Yes,100 x 100,,10.19 kg,665.7 mm,289.31 mm,,220 V AC 110 V AC,,,,,,,110 mm,,,No,45Â°,-5Â°to20Â°,,,,,,,,Yes,85% Plastic,,,,,,,,,,,,,,
"273V5LHAB/00, 2788644, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,300 cd/mÂ²,Speaker,BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 cETLus,Black,16.7 Million Colours,"1,000:1",57 mm,,,Yes,Security Lock Sync on Green SmartContrast,WEEE RoHS ENERGY STAR 6.0 EPEAT Silver TCO Certified Displays,Yes,Yes,Yes,Yes,398 mm,170Â°,,Philips Electronics,273V5LHAB/00,1920 x 1080,1.0,2.0,19.65 W,,,Mac PC,V-line,273V5LHAB,LCD Monitor With SmartControl Lite,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",Yes,60 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,4 kg,646 mm,240 mm,471 mm,110 V AC 220 V AC,,646 mm,,,,,,300 mW,,,,,4.53 kg,,,,,,,,,,,,,,,,,,,,,,
"UM.EV6EE.008, 8654G62, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:10,LED,Acer,250 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",207 mm,,,Yes,,EPEAT Gold TCO '06,Yes,Yes,,,419.1 mm,170Â°,3 Year,"Acer, Inc",UM.EV6EE.008,1680 x 1050,1.0,,24.20 W,V226WL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,,V226WL,V226WL Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,60 Hz,450 mW,,,160Â°,Yes,100 x 100,Yes,3.09 kg,505.7 mm,,,110 V AC 220 V AC,Anti-glare,,,,,,No,350 mW,V,,No,-5Â°to25Â°,3.52 kg,,,,,,,,,,,,,,,,,,,,,,
"LS27D85KTSN/EN, 886P482, Samsung, LCD Monitor, Itenergy Ltd",,Yes,,16:9,LED,Samsung,350 cd/mÂ²,,,,1073 Million Colors,"1,000:1",66 mm,,Yes,Yes,MultiScreen Picture in Picture Split Screen Eco Light Sensor Magic Upscale Picture by Picture Off Timer MagicBright3 Eco Saving Display Power Management Signaling (DPMS),ENERGY STAR TCO Certified Displays,Yes,Yes,Yes,,376.4 mm,178Â°,1 Year,Samsung,LS27D85KTSN/EN,2560 x 1440,1.0,,90 W,,,Mac PC,,S27D850T,"S27D850T - 27"" 850 Series QHD Business LED Monitor",LCD Monitor,5 ms,WQHD,"68.6 cm (27"")",,,300 mW,Yes,,178Â°,Yes,100 x 100,,7.10 kg,627.4 mm,279.91 mm,596.39 mm,120 V AC 230 V AC,,627.38 mm,,,,,130 mm,,850,,,,9.95 kg,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"D7P53AT#ABU, 2845819, HP, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,LED,HP,300 cd/mÂ²,USB Hub,CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC HSMI,Black,,"1,000:1",64.5 mm,,Yes,Yes,Security Lock,China Energy Label (CEL) ENERGY STAR CECP TCO Certified Displays 6.0 REACH EPEAT Gold WEEE TCO Certified Edge EPA,Yes,Yes,,,365 mm,178Â°,3 Year,Hewlett-Packard,D7P53AT#ABU,1920 x 1200,1.0,,55 W,Z Display Z24i 61 cm (24'') IPS LED Backlit Monitor AC Power Cord USB Cable DisplayPort Cable Documentation CD HP Display Assistant Software,In-plane Switching (IPS) Technology,PC,Business,Z24i,Z Display Z24i 61 cm (24'') IPS LED Backlit Monitor,LCD Monitor,8 ms,WUXGA,"61 cm (24"")",,60 Hz,500 mW,Yes,USB 2.0,178Â°,Yes,,Yes,,559.4 mm,237.90 mm,525 mm,220 V AC 110 V AC,Anti-glare,559.40 mm,,,,,,,Performance,,,,6.96 kg,,,,,,,,,,,,,,,,,,,,,,
"857-BBCJ, DELE1914H, Dell, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Dell,200 cd/mÂ²,,,,16.7 Million Colours,600:1,46.5 mm,,,,PowerNap Security Lock,EPEAT Silver ENERGY STAR TCO Certified Displays China Energy Label (CEL),Yes,,,,267 mm,90Â°,3 Year,"Dell, Inc",857-BBCJ,1366 x 768,1.0,,18 W,E1914H Widescreen LCD Monitor Stand Riser Stand Base VESA Screw Cover Power Cable VGA Cable Drivers and Documentation Media Quick Setup Guide Product Information Guide,Twisted Nematic Film (TN Film),,,E1914H,E1914H Widescreen LCD Monitor,LCD Monitor,5 ms,HD,"47 cm (18.5"")",,60 Hz,500 mW,,,65Â°,Yes,100 x 100,Yes,2.39 kg,446.4 mm,165.50 mm,354.10 mm,220 V AC 110 V AC,Anti-glare,446.40 mm,,,,,,500 mW,,,,,,,,Wall Mountable,,,,,,,1.0,,,,,,,,,,,,
"R72MCWL, S603KY1, Lenovo, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,LED,Lenovo,250 cd/mÂ²,,Safety: UL (USA) CSA /cUl(Canada) IEC EN60950 CB Report SEMKO NOM (Mexico) SASO (Saudia Arabia) TUV (Germany) CCC (China) Gost (Russia) Ukraine PSB(Singapore) BSMI KC (Korea) TUV -S(Argentina) KVALITET(Serbia) EMI: FCC B (USA) IC (Canada) CE (Europe) VCCI (Japan) KC (Korea) ANZ SABS(South Africa) BSMI (Taiwan) CCC (China) Ergonomic: GS ISO 9241-307 VOC e-Standby (Korea) CEL Grade 1,,16.7 Million Colours,"1,000:1",241.3 mm,,Yes,Yes,Cable Management Security Lock,China Energy Label (CEL) RoHS Turkey RoHS ULE Gold TCO Certified Edge Displays 1.1 China RoHS EPEAT Gold REACH ENERGY STAR 5.0 CECP MPR II EPA,Yes,,No,,367.3 mm,170Â°,3 Year,Lenovo Group Limited,R72MCWL,1680 x 1050,1.0,,26 W,,Twisted Nematic Film (TN Film),PC,ThinkVision,LT2252p,ThinkVision LT2252p 22-inch Wide LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",No,75 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,5.14 kg,506 mm,,,220 V AC 110 V AC,,,,,,,,500 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,
"248C3LHSW/00, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,300 cd/mÂ²,,BSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,Glossy White,16.7 Million Colours,"1,000:1",33 mm,,,,SmartTxt SmartKolor SmartImage,TCO Certified Displays 5.2 EPEAT Silver RoHS WEEE ENERGY STAR,Yes,,Yes,,369 mm,170Â°,2 Year,Philips Electronics,248C3LHSW/00,1920 x 1080,1.0,,16.60 W,,,Mac PC,Brilliance,248C3LHSW,Brilliance Moda 248C3LHSW Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"59.9 cm (23.6"")",,60 Hz,300 mW,,,160Â°,,,Yes,3 kg,579 mm,194 mm,443 mm,110 V AC 220 V AC,,579 mm,,,,,,300 mW,,,,,4.50 kg,,,,,,,,,,,,,,,,,,,,,,
"210-ABYZ, 0912938, Dell, LCD Monitor, Itenergy Ltd",,,,16:9,LED,Dell,350 cd/mÂ²,USB Hub Card Reader,,Black,1.074 Billion Colors (10-bit),"2,000,000:1",50.8 mm,,Yes,,,RoHS TCO Certified Displays EPEAT Gold ENERGY STAR 6.0,Yes,,Yes,,444.5 mm,,,"Dell, Inc",210-ABYZ,3840 x 2160,1.0,,170 W,,,,UltraSharp,UP3214Q,UltraSharp 32 UltraHD Monitor - UP3214Q,LCD Monitor,8 ms,QFHD,"80 cm (31.5"")",,,,Yes,,,Yes,,,9.22 kg,749.3 mm,213.36 mm,571.50 mm,,,749.30 mm,,,,,,,,,,,,,,,Click to view,25%,,,,,,,,,,,,,,,,,
"HL205DPB, V320093, Hannspree, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Hanns.G,250 cd/mÂ²,Speaker,CE CB GS,Textured Black,16.7 Million Colours,"1,000:1",169.3 mm,,,Yes,Security Lock,TCO Certified Displays 6.0 ENERGY STAR 6.0,Yes,Yes,,No,340.7 mm,170Â°,3 Year,"Hannspree, Inc",HL205DPB,1600 x 900,1.0,2.0,20 W,HL205DPB Widescreen LCD Monitor Power Cable(1.5m) VGA Cable(1.5m) User Manual(CD) Quick Start Guide(Paper),,,,HL205DPB,HL205DPB Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",Yes,60 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,,457.3 mm,,,110 V AC 220 V AC,Anti-glare,,,,,,,500 mW,HL,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"9H.LANLB.DWE, M352416, BenQ, LCD Monitor, Itenergy Ltd",Yes,No,,16:9,LED,BenQ,250 cd/mÂ²,,,White,16.7 Million Colours,"3,000:1",193 mm,,,Yes,Security Lock Senseye 3,TCO Certified Displays 6.0,Yes,Yes,Yes,Yes,392 mm,178Â°,,BenQ Corporation,9H.LANLB.DWE,1920 x 1080,1.0,,28 W,VW2235H Widescreen LCD Monitor Phone/Card Docking,Vertical Alignment (VA),PC Mac,,VW2235H,VW2235H Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"54.6 cm (21.5"")",No,,300 mW,,,178Â°,Yes,100 x 100,Yes,3.90 kg,513 mm,,,220 V AC 110 V AC,,,,,,,,,VW,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"X2783HSU-B1, IIYX2783HSUB, Iiyama, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,iiyama,300 cd/mÂ²,USB Hub Speaker,TCO CE TÃV-GS VCCI-B PSE CU,Black,16.7 Million Colours,"3,000:1",218 mm,,,Yes,Security Lock,TCO Certified Displays 6.0 ENERGY STAR,Yes,Yes,Yes,Yes,446 mm,178Â°,3 Year,"iiyama North America, Inc",X2783HSU-B1,1920 x 1080,1.0,2.0,34 W,"A high-end 27"" Monitor Featuring AMVA+ Panel Technology Power cable VGA cable (D-Sub) DVI-D cable Audio cable USB cable Stand Quick start guide Safety guide",Advanced-Multi-domain Vertical Alignment Plus (A-MVA+),PC Mac,ProLite,X2783HSU,"A high-end 27"" Monitor Featuring AMVA+ Panel Technology",LCD Monitor,4 ms,Full HD,"68.6 cm (27"")",Yes,75 Hz,500 mW,Yes,USB 2.0,178Â°,Yes,100 x 100,Yes,4.40 kg,622.5 mm,,,110 V AC 220 V AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"246V5LAB/00, 2716380, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,250 cd/mÂ²,Speaker,CE MarkuETLusBSMIFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307,Glossy Black,16.7 Million Colours,"1,000:1",63 mm,,,Yes,Security Lock SmartContrast,RoHS EPEAT Silver TCO Certified Displays ENERGY STAR 6.0 WEEE,Yes,Yes,,Yes,354 mm,170Â°,3 Year,Philips Electronics,246V5LAB/00,1920 x 1080,1.0,2.0,20.16 W,,,PC Mac,,246V5LAB,LCD Monitor with SmartControl Lite,LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,60 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,4.22 kg,565 mm,238 mm,435 mm,220 V AC 110 V AC,,565 mm,,,,,,300 mW,V,,,,4.65 kg,,,,,,,,,,,,,,,,,,,,,,
"60003581, 3968374, NEC Display Solutions, LCD Monitor, Itenergy Ltd",Yes,Yes,,5:4,LED,NEC Display,250 cd/mÂ²,Speaker,CE EAC FCC Class B ISO 9241-307 TÃV Ergonomics UL/C-UL CSA,Silver White,16.7 Million Colours,"1,000:1",230 mm,,,Yes,Security Lock Cable Management Carbon Savings Meter Eco Mode Carbon Footprint Meter,MPR III ErP TÃV ENERGY STAR 6.0 TCO Certified Displays 6.0 RoHS MPR II EPEAT Silver,Yes,,,Yes,358.5 mm,170Â°,3 Year,NEC Display Solutions,60003581,1280 x 1024,1.0,2.0,19 W,,Twisted Nematic Film (TN Film),PC,MultiSync,E171M,MultiSync E171M LCD Monitor,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",Yes,60 Hz,,,,160Â°,Yes,100 x 100,Yes,4.20 kg,368 mm,,,230 V AC 120 V AC,,,,,,,50 mm,,,,,-5Â°to20Â°,,,,,,,,,,,,,,,,,,,,,,,
"859-BBBI, Dell, LCD Monitor, Itenergy Ltd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Built to comply with
the latest environmental and regulatory standards and protected by a
Premium Panel Guarantee and Advanced Exchange Service.","Fully adjustable stand and a comprehensive
set of analog and digital connectivity ports and cables.","Full HD 1920 x 1080 resolution
with an ultra-wide 178Â°/178Â° viewing angle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C9V75AA#ABG, HP, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,HP,250 cd/mÂ²,USB Hub,,Black,,"1,000:1",51 mm,,Yes,Yes,Security Lock,TCO Certified Edge ENERGY STAR EPEAT Gold REACH,Yes,Yes,,,329 mm,170Â°,3 Year,Hewlett-Packard,C9V75AA#ABG,1920 x 1080,1.0,,36 W,,,,Business,E231,"EliteDisplay E231 58,4 cm (23'') LED Backlit Monitor",LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,,500 mW,Yes,USB 2.0,160Â°,,,Yes,6.10 kg,544 mm,242.40 mm,469.90 mm,220 V AC 110 V AC,Anti-glare,544 mm,,,,,,,Advantage,,,,,,,Desk Mountable,,,,,,,,,,,,,,,,,,,
"C9V75AA#A2Q, HP, LCD Monitor, Itenergy Ltd",,,,16:9,LED,HP,250 cd/mÂ²,USB Hub,,Black,,"5,000,000:1",51 mm,,Yes,Yes,,ENERGY STAR TCO Certified Edge,Yes,,,,329 mm,,3 Year,Hewlett-Packard,C9V75AA#A2Q,1920 x 1080,1.0,,36 W,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,,,Elite,E231,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,,,Yes,,,,,Yes,3.90 kg,544 mm,242.40 mm,469.90 mm,,,544 mm,,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"B5M13AA#ABT, HP, LCD Monitor, Itenergy Ltd",Yes,No,,16:9,LED,HP,200 cd/mÂ²,Speaker,CE FCC C-Tick VCCI BSMI CB TUV-BAUART TUV-S ISO9241-307 CSA CCC CSC Korea e-standby SEPA,Black,16.77 Million Colors,600:1,47.8 mm,,,Yes,Security Lock,REACH ENERGY STAR EPEAT EPA China Energy Label (CEL) CECP,Yes,Yes,,,299 mm,90Â°,1 Year,Hewlett-Packard,B5M13AA#ABT,1600 x 900,1.0,,26 W,W2072a 20 inch Diagonal LCD Monitor VGA Cable Audio Cable Power Cord,,PC,Business,W2072a,W2072a 20 inch Diagonal LCD Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",Yes,76 Hz,500 mW,,,50Â°,,,Yes,3.50 kg,477.3 mm,170 mm,356.60 mm,220 V AC 110 V AC,Anti-glare,477.30 mm,,,,,,,Value,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"60003496, NECMON740, NEC Display Solutions, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,NEC Display,250 cd/mÂ²,,CE TUV Ergonomics TUV GS FCC Class B PCT/Gost UL/C-UL or CSA ISO 9241-307 (pixel failure class 2),Black,16.7 Million Colours,"1,000:1",205 mm,,,Yes,Eco Mode Auto Brightness Control (ABC) Security Lock Cable Management,EPEAT Silver ENERGY STAR 6.0 TCO Certified Displays 6.0 ErP,Yes,Yes,,,365 mm,170Â°,3 Year,NEC Display Solutions,60003496,1920 x 1080,1.0,,27 W,"LCD 21.5"" Desktop Display Power Cable User Manual Signal Cable: VGA - VGA",,,AccuSync,AS222WM,"LCD 21.5"" Desktop Display",LCD Monitor,5 ms,,"54.6 cm (21.5"")",,60 Hz,350 mW,,,160Â°,Yes,100 x 100,Yes,4.10 kg,507 mm,,,110 V AC 220 V AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B7M13AA#ABB, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,HP,200 cd/mÂ²,,,Black,,600:1,47.5 mm,,,Yes,Security Lock,EPEAT Silver ENERGY STAR,Yes,Yes,,,281.5 mm,90Â°,1 Year,Hewlett-Packard,B7M13AA#ABB,1366 x 768,1.0,,24 W,"W1972a 47 cm (18.5"") LED Backlit LCD MonitorVGA CableAudio CableAC Power Cord",,PC,,W1972a,"W1972a 47 cm (18.5"") LED Backlit LCD Monitor",LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",,,,,,50Â°,,,Yes,,446.1 mm,170.20 mm,339.50 mm,220 V AC 110 V AC,Anti-reflective,446.10 mm,,,,,,,,,,,2.70 kg,,,,,,,,,,1.0,,,,,,,,,,,,
"B7M13AS#ABB, HP, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,HP,200 cd/mÂ²,Speaker,FCC Class B UL BSMI cUL NOM TUV S WHQL CCC PSB ICES,Black,16.7 Million Colours,600:1,47.5 mm,,,Yes,Security Lock Ultra Slim,ENERGY STAR China Energy Label (CEL) EPEAT Silver,Yes,Yes,,,281.5 mm,90Â°,1 Year,Hewlett-Packard,B7M13AS#ABB,1366 x 768,1.0,,24 W,,,,,W1972a,W1972a Widescreen LCD Monitor,LCD Monitor,5 ms,HD,"47 cm (18.5"")",Yes,60 Hz,500 mW,,,50Â°,,,Yes,2.30 kg,446.1 mm,170.20 mm,339.50 mm,110 V AC 220 V AC,Anti-glare,44.61 mm,,,,,,,,,,,2.70 kg,,,,,,,,,,,,,,,,,,,,,,
"D7P94A4#ABB, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:10,,HP,350 cd/mÂ²,USB Hub,,Black,,"1,000:1",66.3 mm,,Yes,Yes,,REACH ENERGY STAR EPEAT Gold TCO Certified Displays,Yes,Yes,Yes,,449.8 mm,178Â°,3 Year,Hewlett-Packard,D7P94A4#ABB,2560 x 1600,1.0,,125 W,Z30i 30 Inch IPS MonitorAC Power CordUSB cableDisplayPort cableDVI-D cableDocumentation CDDisplay Assistant software,In-plane Switching (IPS) Technology,PC,Performance,Z30i,Z30i 30 Inch IPS Monitor,LCD Monitor,8 ms,WQXGA,"76.2 cm (30"")",,,500 mW,Yes,USB 3.0,178Â°,Yes,,Yes,,690.3 mm,266.40 mm,601 mm,110 V AC 220 V AC,Anti-glare,690.30 mm,,,,,,,,,,,9.96 kg,,,,,,,,,,,,,,,,,,,,,,
"C9V73AA#A2Q, HP, LCD Monitor, Itenergy Ltd",,,,16:9,LED,HP,250 cd/mÂ²,USB Hub,,Black,,"5,000,000:1",51 mm,,Yes,Yes,,ENERGY STAR TCO Certified Edge,Yes,,,,289 mm,,3 Year,Hewlett-Packard,C9V73AA#A2Q,1600 x 900,1.0,,30 W,EliteDisplay E201 20-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,,,Elite,E201,EliteDisplay E201 20-inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,,,Yes,,,,,Yes,5.20 kg,472.8 mm,228.90 mm,434.80 mm,,,472.80 mm,,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"UM.XW3EE.001, 8655Q39, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,200 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",50 mm,,,,,MPR II,Yes,,,,267 mm,90Â°,2 Year,"Acer, Inc",UM.XW3EE.001,1366 x 768,1.0,,11.90 W,K192HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,,K192HQL,K192HQL Widescreen LCD Monitor,LCD Monitor,5 ms,HD,"47 cm (18.5"")",No,60 Hz,450 mW,,,65Â°,,,Yes,2.32 kg,441 mm,192 mm,352 mm,220 V AC 110 V AC,Anti-glare,441 mm,,,,,,350 mW,K,,No,-5Â°to25Â°,2.60 kg,,,,,,,,,,,,,,,,,,,,,,
"BDL:K1453V160-UK, FB22T-7LED, Fujitsu Siemens Computers, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Fujitsu,250 cd/mÂ²,USB Hub Speaker,CE EN 60950 TÃV GS GOST FCC Class B cUL C-Tick VCCI KC TÃV-S BSMI CCC SASO ISO9241-307,,16.7 Million Colours,"1,000:1",61 mm,,,Yes,Security Lock Eco Mode,RoHS WEEE IT Eco Declaration TCO Certified Displays 6.0 ENERGY STAR 6.0 EPEAT Gold,Yes,Yes,Yes,Yes,320 mm,176Â°,3 Year,Fujitsu,BDL:K1453V160-UK,1920 x 1080,1.0,2.0,22 W,Display B22T-7 LED proGREEN DVI-D Data cable 1.8 m D-SUB Data cable 1.8 m Audio cable 1.8 m USB-cable 1.8 m UK Power cable Quickstart flyer Utility CD Warranty booklet Safety booklet,,PC,proGREEN,B22T-7,Display B22T-7 LED proGREEN,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,76 Hz,300 mW,Yes,USB 2.0,170Â°,Yes,100 x 100,Yes,3.10 kg,516 mm,200 mm,339 mm,220 V AC 110 V AC,Anti-glare,516 mm,,,,,,200 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,
"210-41199, DELU2913WM, Dell, LCD Monitor, Itenergy Ltd",Yes,Yes,,21:9,LED,Dell,300 cd/mÂ²,USB Hub,EMC,Black,16.78 Million Colors,"1,000:1",61.2 mm,,Yes,Yes,Cable Management Security Lock Uniform Luminance Technology (ULT),ENERGY STAR EPEAT Gold TCO Certified Displays,Yes,Yes,Yes,,317 mm,178Â°,3 Year,"Dell, Inc",210-41199,2560 x 1080,1.0,,32 W,Dell UltraSharp 29 Ultrawide Monitor - U2913WM Power Cable DVI Dual Link Cable Display Port Cable (Mini DP to DP) USB 3.0 Upstream Cable Cable Tie Drivers and Documentation Media Colour Calibrated Factory Report Quick Setup Guide Safety Information,Advanced High Performance In-plane Switching (AH-IPS) Technology,,UltraSharp,U2913WM,Dell UltraSharp 29 Ultrawide Monitor - U2913WM,LCD Monitor,8 ms,Full HD,"73.7 cm (29"")",,60 Hz,500 mW,Yes,USB 3.0,178Â°,Yes,,Yes,5.76 kg,699.8 mm,194.20 mm,487 mm,220 V AC 110 V AC,Anti-glare,699.80 mm,,,,,,500 mW,,No,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
