<page title>,aspect ratio,backlight technology,brightness,cables included,colour,colour support,compliant standards,contrast ratio,description technical detail,diagonal size,dimensions weight details,dimensions wxdxh,display position adjustments,display type,energy star qualified,features,flat panel mount interface,horizontal viewing angle,interfaces,localisation,manufacturer,manufacturer part,native resolution,panel type,power consumption operational,power consumption sleep,power consumption stand by,response time,tilt angle,vertical viewing angle,voltage required,weight,device type,environmental standards,height adjustment,horizontal refresh rate,humidity range operating,image colour disclaimer,input connectors,manufacturer warranty,max operating temperature,min operating temperature,pixel per inch,pixel pitch,product description,service support,service support details,vertical refresh rate,viewable size,backlight life,builtin devices,controls adjustments,included software,power supply,rotation angle,screen coating,swivel angle,colour temperature,included accessories,os required,output power channel,type,active screen area,backlight type,brightness maximum,brightness typical,contrast ratio typical,displayable colors,net with stand,net without stand,orientation,panel technology,pixels per inch,refresh rate,response timegray to gray,viewable image size,viewing angle,connector type,depth,diagonal size cm,dimensions,display format,enclosure colour,energy star version,hdmi ports qty,height,image aspect ratio,image contrast ratio,input video formats,lcd backlight technology,lcd display technology,output power total,pc interface,product type,remote control,resolution,speaker system,speakers,supported computer resolutions,supported pictures formats,targeting,technology,tv tuner,usb port,video interface,viewing angle vertical,width,compatible with windows 7,epeat compliant,movement detection technology,energy class,colour depth,dimensions w x h x d,dot pitch,horizontal frequency,native maximum resolution,power consumption,vertical frequency,viewable area,viewing angle leftright updown,power consumption stand by sleep,analogue video signal,display positions adjustments,dot pitch pixel pitch,form factor,image brightness,image max hview angle,image max vview angle,max sync rate v x h,osd languages,signal input,video bandwidth,microsoft certification,mounting kit,mtbf,expansion slots,external speakers amplifier power total,max hsync rate,max vsync rate,nominal voltage,power,sound output mode,stand,analogue video input signals,hdcp compatible,power device,series,max resolution,certified for windows vista,video wall components qty,connectivity,lan protocol,combined with,colour temperature control,motion enhancement technology,brightness wtouchscreen,supported windows 7 features,depth shipping,height shipping,weight shipping,width shipping
Get the NEC Displays MultiSync E222W 22 inch TFT LCD Monitor at a competitive price,Widescreen - 16:10 Widescreen - 16:10,WLED,250 cd/m2 250 cd/m2,1 x VGA cable - VGA to VGA ¦ 1 x DVI cable - DVI-D to DVI-D,Black Black,16.7 million colours 16.7 million colours,"FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, MPR III, PCT, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, GEEA, ERP, TCO Displays 6.0 FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, MPR III, PCT, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, GEEA, ERP, TCO Displays 6.0",1000:1 / 25000:1 (dynamic) 1000:1 / 25000:1 (dynamic),"NEC TFT E223W Eco-Friendly PC TV 22 Inch Desktop Monitor
NEC TFT E223W 22 Inch Desktop TV PC Monitor is Reliable, Ideal for Personal and Entry Level Digital Requirements.
Product Overview
The NEC TFT E223W 22 Inch PC TV Monitor Desktop that improves competence, output, computing ability with excellent efficiency. This is part of NECÂs entry level office series of TFTs, and best in 22 Inch class models ever seen, much better and trustworthy product compared to previous models. Its high class panel and giving a fully adaptable stand and some visualize eco features as well that spend less power generally, blaze with less heat, use a slighter amount packaging, and weigh less. The NEC TFT E223W PC Monitor 22 Inch Desktop TV spin and revolve through 90 degree to portrait mode for large documents, as well as lifting through a complete 11cm to match any observe level it is totally adjustable. This TFT screen is enjoyable as a sufficient office display with a lot of flexibility that could give good reason for the price and offer reliable and trustworthy performance for your desktop.
Key Features
Adaptable For Desktop with 22 Inch Screen
Height Adjustment, spin around, tilt and rotate capabilities
ECO Mode utility helps save power
IPM (Intelligent Power Manager) system capability
Carbon Footprint Meter Capability (Environment Friendly)
Compact Packaging helps reduce waste and shipping cost and less weigh
Multiple Connector Ability (DVI and VGA)
Contrast Ration 1000:1 with Screen Brightness 300cd/m2
Resolution (Optimum) 1680x1050","22""",,50.35 cm x 21.8 cm x 38.4 cm 50.35 cm x 21.8 cm x 38.4 cm,"Height, pivot (rotation), swivel, tilt Height, pivot (rotation), swivel, tilt",LED-backlit LCD monitor / TFT active matrix,Yes,"Security lock slot (cable lock sold separately), cable organizer No Touch Auto Adjust, ErgoDesign, Intelligent Power Manager (IPM), power off timer, sRGB colour management, HDCP, NaViSet, Eco-Mode, OSD lock",100 x 100 mm,178,DVI-D ( HDCP ) ¦ DisplayPort ¦ VGA,,NEC,E223W,HD 1680 x 1050 at 60 Hz HD 1680 x 1050 at 60 Hz,TN TN,25 Watt,,0.4 Watt,5 ms 5 ms,-5/+30,178,AC 120/230 V ( 50 - 60 Hz ),5.6 kg 5.6 kg,"LED-backlit LCD monitor - 22""",ENERGY STAR Qualified,110 mm,31.5 - 82.3 kHz,20 - 80% (non-condensing),,"DVI-D, VGA, DisplayPort",3 years warranty,35 °C,5 °C,,0.282 mm 0.282 mm,"NEC MultiSync E223W - LED monitor - 22""",3 years warranty,Limited warranty - 3 years ¦ Limited warranty - backlight - 3 years,56 - 75 Hz,,,,,,Internal,90.0,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V226HQLAbd 22  Black DVI LED UM.WV6EE.A01 ACER,Widescreen - 16:9,LED backlight,250 cd/m2,1 x VGA cable,Black,16.7 million colours,"TUV GS, ISO 9241-307, TCO Displays 6.0",100000000:1 (dynamic),"Acer V226HQLAbd 21.5 LED VGA DVI Monitor
Essential Series monitors feature Acer eColor technology for striking visuals, and Acer ComfyView innovations that reduce glare to deliver most-comfortable viewing. These sturdy monitors also have a wide array of ports, so you can connect many types of devices and do more at once. In addition, they utilize eco-friendly features to save power and money.","21.5""",,50.8 cm x 20.68 cm x 39 cm,,LED-backlit LCD monitor / TFT active matrix,Yes,"HDCP, Acer Adaptive Contrast Management (ACM) Security lock slot (cable lock sold separately)",100 x 100 mm,178,VGA Â¦ DVI-D ( HDCP ),,ACER,UM.WV6EE.A01,FullHD 1920 x 1080,VA,19.5 Watt,,0.35 Watt,5 ms,,178,AC 120/230 V,3.66 kg,,,,80 kHz,,,,,,,,0.248 mm,,3 years warranty,Limited warranty - 3 years - carry-in,75 Hz,,,,,,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B226WLymdr 22 DVI VGA MM HA UM.EB6EE.005 ACER,Widescreen Widescreen - 16:10,LED backlight,250 cd/m2,1 x VGA cable Â¦ 1 x DVI cable,Dark grey,16.7 million colours,"TUV GS, ISO 9241-307, TCO Displays 6.0",100000000:1 (dynamic),"Acer B226WL 22'' VGA DVI Monitor
Find the working angle thats perfect for you with a monitor that tilts, swivels, pivots and can be adjusted for height. The stand also has a magnetic area, perfect for holding paperclips and keeping your desk uncluttered. The monitor is also wall-mountable, giving you clear views with more room.","22""",,50.58 cm x 22.12 cm x 33.41 cm,"Height, pivot (rotation), tilt Tilt",LED-backlit LCD monitor / TFT active matrix,Yes,"Security lock slot (cable lock sold separately) Zero Bright Dot, HDCP",100 x 100 mm,170,VGA Â¦ DVI ( HDCP ),,ACER,UM.EB6EE.005,1680 x 1050 at 60 Hz 1680 x 1050,TN,17.2 Watt,,0.45 Watt,5 ms,-5/+35,160,AC 120/230 V,5.75 kg,,,150 mm,,,,,,,,,0.282 mm,,3 years warranty,Limited warranty - 3 years - carry-in,,,,,,,,94.0,,60,,,,1 Watt,Speakers - stereo - internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPEAT Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V246HLbmd 24 MM DVI LED UM.FV6EE.005 ACER,Widescreen - 16:9 Widescreen,LED backlight,250 cd/m2,,Black,16.7 million colours,"TUV GS, ISO 9241-307, TCO Displays 6.0",100000000:1 (dynamic),"Acer V246HL 24 VGA DVI Monitor with Speakers
Explore the angle thats perfect for you with this Professional Series monitor, which tilts, swivels, pivots and adjusts for height to achieve the optimal position for extended viewing. Its ergonomic design provides handsome style on your desk - or off: this monitor is wall mountable, giving you clear views with more room. The contrast ratio of the monitor is superior and the response is ultra-quick. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched. Moreover, the monitor allows you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options. Professional Series monitors are mercury free. In addition, youll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earths resources. Acer also uses recyclable packaging to further reduce ecological impact.","24""",,56.7 cm x 20.68 cm x 42.22 cm,Tilt,LED-backlit LCD monitor / TFT active matrix,Yes,"Security lock slot (cable lock sold separately), wall mountable HDCP",100 x 100 mm,170,VGA Â¦ DVI-D ( HDCP ),,ACER,UM.FV6EE.005,FullHD 1920 x 1080 at 60 Hz 1920 x 1080,VA,20.9 Watt,,0.45 Watt,5 ms,,160,AC 120/230 V,3.9 kg,,,,80 kHz,,,,,,,,0.276 mm,,3 years warranty,,75 Hz,,,,,,Internal,,,,,,,2 Watt,Speakers - stereo - internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP F0W81AT#ABU EliteDisplay E241i 23"" 1920x1080 VGA DVI-D DisplayPort LED Monitor",Widescreen - 16:10 Widescreen - 16:10,WLED,250 cd/m2 250 cd/m2,1 x VGA cable - 1.8 m ¦ DisplayPort cable ¦ USB cable,Meteorite Meteorite,16.7 million colours 16.7 million colours,"UL, TUV GS, VCCI, C-Tick, NOM, TUV Ergo, PSB, TCO Certified Edge, E-Standby, TCO Displays UL, TUV GS, VCCI, C-Tick, NOM, TUV Ergo, PSB, TCO Certified Edge, E-Standby, TCO Displays",1000:1 / 5000000:1 (dynamic) 1000:1 / 5000000:1 (dynamic),"HP EliteDisplay E241i 23"" 1920x1080 VGA DVI-D DisplayPort LED Monitor
IPS goes mainstream with the HP EliteDisplay E241i 24-inch IPS LED backlit monitor, a business-class combination of a large screen, extra-wide viewing angles, and extraordinary comfort.","24""",Without stand - width: 55.6 cm - depth: 5.5 cm - height: 36.26 cm - weight: 4.11 kg ¦ With stand - width: 55.6 cm - depth: 27.62 cm - height: 51.65 cm - weight: 6.58 kg,55.6 cm x 5.5 cm x 36.26 cm - without stand 55.6 cm x 5.5 cm x 36.26 cm - without stand,"Height, pivot (rotation), swivel, tilt Height, pivot (rotation), swivel, tilt",LED-backlit LCD monitor,Yes,"HDCP, 72% colour gamut Security lock slot (cable lock sold separately), Low-Smoke Zero Halogen (LSZH)",,178,USB 2.0 upstream ¦ 2 x USB 2.0 downstream ¦ DVI-D ( HDCP ) ¦ DisplayPort ( HDCP ) ¦ VGA,English / United Kingdom English / United Kingdom,HP,F0W81AT#ABU,1920 x 1200 at 60 Hz 1920 x 1200 at 60 Hz,IPS IPS,35 Watt,,0.5 Watt,8 ms (grey-to-grey) 8 ms (grey-to-grey),-5/+30,178,AC 120/230 V ( 50/60 Hz ),4.11 kg 4.11 kg,"LED-backlit LCD monitor - 24""",ENERGY STAR Qualified,150 mm,31 - 80 KHz,25 - 85% (non-condensing),,"DVI-D, VGA, DisplayPort",,35 °C,5 °C,,0.27 mm 0.27 mm,"HP EliteDisplay E241i - LED monitor - 24""",,,50 - 60 Hz,"24""","30,000 hours",USB Hub USB Hub,"Brightness, contrast, colour temperature",HP Display Assistant,Internal,90.0,Anti-glare Anti-glare,360,6500K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Compatible with Windows 7"" software and devices carry Microsoft’s assurance that these products have passed tests for compatibility and reliability with 32-bit and 64-bit Windows 7.",,,,,,,,,,,,,,,,,,,,,,"Chinese (traditional), Chinese (simplified), English, German, French, Italian, Portuguese, Spanish, Dutch, Japanese",,170 MHz,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Widescreen - 16:10 Widescreen - 16:10,GB-r LED,350 cd/m2 350 cd/m2,1 x USB cable ¦ 1 x DisplayPort cable,Black Black,1.07 billion colours 1.07 billion colours,"FCC Class B certified, MPR II, CSA, UL, TUV GS, cUL, DDC-2Bi, MPR III, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, ERP, TCO Displays 6.0, TCO Certified Edge 1.2, EAC FCC Class B certified, MPR II, CSA, UL, TUV GS, cUL, DDC-2Bi, MPR III, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, ERP, TCO Displays 6.0, TCO Certified Edge 1.2, EAC",1000:1 1000:1,"NEC MultiSync EA304WMi-BK - 30"" - LED-Backlit LCD Monitor
The 30"" NEC MultiSync EA304WMi is a 2560 x 1600 widescreen LCD for high-performance enterprise users that require a huge workspace, advanced technologies and a complete feature set. Designed to enhance work performance, this high resolution display features IPS panel technology with wide viewing angles and ergonomic adjustability. The LED backlighting of the EA304WMi allows for a slimmer profile, lighter weight and increased power savings. This model also boasts a height-adjustable stand and full connectivity with DisplayPort, HDMI, DVI-D and VGA inputs.","30""",,68.7 cm x 23 cm x 47.3 cm 68.7 cm x 23 cm x 47.3 cm,"Height, pivot (rotation), swivel, tilt Height, pivot (rotation), swivel, tilt",LED-backlit LCD monitor / TFT active matrix,Yes,"Ambient light sensor, picture by picture, ErgoDesign, cable management cover, Eco-Mode, Auto Contrast, ControlSync, Carbon Footprint Meter, Carbon Savings Meter, Human Sensor Security lock slot (cable lock sold separately)",100 x 100 mm,178,USB 3.0 downstream ( Type A ) ¦ 2 x USB 3.0 upstream ( Type B ) ¦ Headphones ¦ DisplayPort ¦ DVI-D ¦ HDMI ¦ VGA ¦ USB 2.0 downstream ( Type A ),,NEC,60003494,2560 x 1600 at 60 Hz 2560 x 1600 at 60 Hz,AH-IPS AH-IPS,83 Watt,,0.5 Watt,6 ms 6 ms,-5/+30,178,AC 120/230 V ( 50/60 Hz ),11 kg 11 kg,"LED-backlit LCD monitor - 30""",ENERGY STAR Qualified,130 mm,31.5 - 83 kHz,20 - 80%,,"HDMI, DVI-D, VGA, DisplayPort",3 years warranty,35 °C,5 °C,,0.251 mm 0.251 mm,"NEC MultiSync EA304WMi - LED monitor - 30""",3 years warranty,Limited warranty - 3 years ¦ Limited warranty - backlight - 3 years,56 - 75 Hz,"29.8""",,USB Hub USB Hub,"Brightness, contrast, colour temperature, off timer",,Internal,90.0,,340,,,,1 Watt,Speakers - stereo - integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Widescreen - 16:9,WLED,250 cd/m2,1 x VGA cable Â¦ 1 x audio cable,Black,,"FCC Class B certified, UL, C-Tick, BSMI, cUL, CB, ICES-003 Class B, CCC, PSB, RoHS, WEEE, REACH, UkrSEPRO, ERP, CEL FCC Class B certified, UL, C-Tick, BSMI, ISO 9001, cUL, NEMKO, TUV S, ISO 14001, CB, ICES-003 Class B, CCC, PSB, RoHS, WEEE, GOST-R, REACH, TCO Displays 5.1, E-Standby, UkrSEPRO, KC, TUV Nord, ERP, CEL level 1",1000:1 / 10000000:1 (dynamic),"Viewsonic 24"" (23.6 Vis) LED backlight widescreen monitor
The ViewSonic VA2445m-LED is a 24"" (23.6 Vis) widescreen monitor with an LED backlight and glossy, thin-bezel design ideal for use in the home or at the office. With Full HD 1920 x 1080 resolution and a 10,000,000:1 dynamic contrast ratio, the VA2445m-LED delivers stunning brightness and contrast, while a quick 5 ms response time ensures crisp pictures and smooth playback. VGA and DVI inputs provide flexible and convenient connectivity. This beautiful display has a 10,000,000:1 MEGA dynamic contrast ratio, DVI inputs, 5 ms response time, and a VESA mountable glossy finish design. With energy-saving eco-mode, the VA2445m-LED is a great long-term investment.","24""",With stand - width: 57.15 cm - depth: 21.08 cm - height: 40.13 cm - weight: 4.1 kg Â¦ Without stand - width: 57.14 cm - depth: 4.83 cm - height: 37.59 cm - weight: 3.7 kg With stand - width: 57.14 cm - depth: 21.12 cm - height: 40.09 cm - weight: 4.1 kg Â¦ Without stand - width: 57.14 cm - depth: 5.04 cm - height: 35.09 cm - weight: 3.72 kg,57.15 cm x 21.08 cm x 40.13 cm - with stand 57.14 cm x 21.12 cm x 40.09 cm - with stand,Tilt,LED-backlit LCD monitor / TFT active matrix,Yes,"Eco-Mode, Mega Dynamic Contrast Ratio Security lock slot (cable lock sold separately)",100 x 100 mm,170,DVI-D Â¦ VGA Â¦ Audio line-in,,Viewsonic,VA2445M-LED,FullHD 1920 x 1080,,22 Watt 26 Watt,,,5 ms,-5/+20,160,AC 120/230 V ( 50/60 Hz ),4.1 kg,,,,24 - 82 kHz,10 - 90% (non-condensing),,,,40 Â°C,0 Â°C,,,,3 years warranty 2 years warranty,Limited warranty - parts and labour - 3 years Â¦ Limited warranty - backlight - 3 years Limited warranty - 2 years,50 - 75 Hz,"23.6""","30,000 hours",,,ViewSonic Wizard,Internal,,"Anti-glare, 3H Hard Coating",,,,,2 Watt,Speakers - stereo - integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo T24HDUK ThinkVision LT2323ps 23"" LED Backlit LCD Monitor - Black",Widescreen Widescreen - 16:9,WLED,250 cd/m2,1 x VGA cable - 1.8 m Â¦ 1 x DVI cable - 1.8 m,Raven black,16.7 million colours,"FCC Class B certified, MPR II, DDC-2B, VESA DPMS, VESA FPMPMI, DDC/CI, RoHS, ISO 9241-307, WEEE, TCO Certified Edge",1000:1,"Lenovo ThinkVision LT2323ps 23"" LED Backlit LCD Monitor - Black
The slim and elegant design meshes seamlessly with Think product family design and is easy to use. The Lenovo ThinkVision LT2323ps 23"" WLED large screen monitor is optimized for low power consumption and conservation with mercury free components.","23""",,54.6 cm x 5.23 cm x 37.23 cm,"Height, pivot (rotation), swivel, tilt Tilt",LED-backlit LCD monitor / TFT active matrix,Yes,"Security lock slot (cable lock sold separately), wall mountable, integrated cable management, 90 degree vertical rotation HDCP, 72% colour gamut",100 x 100 mm,+85 / -85,DVI-D Â¦ VGA Â¦ DisplayPort Â¦ 4 x USB 2.0 downstream Â¦ USB 2.0 upstream,English / United Kingdom English,LENOVO,T24HDUK,1920 x 1080 1920 x 1080 at 75 Hz,TN,20 Watt,,,5 ms,-5/+30,+80 / -80,AC 120/230 V ( 50/60 Hz ) ( 50/60 Hz ),5.74 kg,,,110 mm,,,,,,,,,0.265 mm,,3 years warranty,,,"23""",,USB Hub,"Brightness, input select",,Internal,90.0,"Anti-glare, anti-reflective",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Compatible with Windows 7"" software and devices carry Microsoftâ€™s assurance that these products have passed tests for compatibility and reliability with 32-bit and 64-bit Windows 7.",EPEAT Gold,,,,,,,,,,,,0.5 Watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purchase the MDT551S, Mitsubishi LCD Screen, Mitsubishi 55 inches WS LCD, 1300:1 1080P HDMI DVI-D 10MS NARROW BEZEL",,,700 cd/m2,VGA cable,,,"Plug and Play, FCC Class A certified, C-Tick, BSMI, cUL, DDC-2B, AS/NZS 60950-1, DOC, DDC/CI, RoHS, UL 60950-1, GOST-R",,"Mitsubishi LCD MDT551S 55 inch Wide Screen Display TV
Mitsubishi LCD MDT551S 55 Inch Wide Screen Monitor is perfect for communication boards, classroom staging, and retail shops.
Product Overview
The Mitsubishi LCD MDT551S Display 55 Inch Monitor answers your requirements for digital signage, communication board, retail shops, and broadcast displays to improve your facilities through all form publicity to reception messages to very important up to date news and information.This is completing versatile with high quality technologies that make it more reliable and efficient LCD panel with input range from DisplayPort, Sub 15, DVI-D and HDMI. The Mitsubishi LCD MDT551S Display Cheap Screen Panel also features both frontage and back ambient light sensors for the eventual in fixing flexibility. The high quality LCD monitor automatically regulates its brightness based on the ambient light makes sure your information is always apparent and lively. All these features help to improved protection against image preservation and image resolution.
Key Features
Industrial Grade LCD Panel
Complete High Definition Resolution
Wide Screening Angle
Ensure High Quality Colour with Contrast Ratio 1300:1
Built In Speaker (10W)
Tiling Capability Up to 25 Panel
Multiple Input & Output Connector
Heat Status Observance
Cat5 Transmitter and Receiver
OPS (Open Pluggable Specification)","55"" Class ( 54.6"" viewable ) 55"" Class ( 54.6"" viewable )",,125 cm x 12.7 cm x 72.1 cm - without stand,,,Yes,"Closed caption, USB Hub Black Level Expander, Vertical Compression, ambient light sensor (ALS), screen saver, picture on picture (no tuner), black level correction, picture side picture (no tuner), picture in picture (no tuner), portrait mode, landscape mode, Video Wall Black Level Expander, Vertical Compression, ambient light sensor (ALS), screen saver, picture on picture (no tuner), black level correction, picture side picture (no tuner), picture in picture (no tuner), portrait mode, landscape mode, Video Wall",200 x 200 mm,,,,Mitsubishi,MDT551S,,,316 Watt 316 Watt,,,10 ms,,,,37 kg 37 kg,,ENERGY STAR Qualified,,,20 - 80%,,,3 years warranty,40 Â°C,5 Â°C,,0.63 x 0.63mm,"Mitsubishi MDT551S - 55"" Class ( 54.6"" viewable ) LCD flat panel display",3 years warranty,Limited warranty - parts and labour - 3 years Â¦ Limited warranty - replacement - 3 years Â¦ Technical support - 3 years,,,"50,000 hour(s)",,,,,,,,,,,,Remote control,,,,,,,,,,,,,,,178 degrees,1 x VGA input ( 15 PIN HD D-Sub (HD-15) ) Â¦ 1 x DVI-D input ( 24 PIN Digital DVI ) Â¦ 1 x component video / RGB input ( BNC x 5 ) Â¦ 1 x HDMI input ( 19 pin HDMI Type A ) Â¦ 1 x DisplayPort input ( 20 pin DisplayPort ) Â¦ 1 x composite video input/output ( BNC ) Â¦ 1 x S-Video input / output ( 4 PIN mini-DIN ) Â¦ 2 x audio line-in ( RCA phono x 2 ) Â¦ 1 x audio input ( mini-phone stereo 3.5 mm ) Â¦ 1 x remote control input ( 9 PIN D-Sub ) Â¦ 1 x network ( RJ-45 ) Â¦ 1 x VGA output ( 15 PIN HD D-Sub (HD-15) ) Â¦ 1 x audio line-out ( RCA phono x 2 ) Â¦ 1 x speakers output ( terminal block (clamp) ) Â¦ 1 x remote control output ( 9 PIN D-Sub ) Â¦ 1 x USB upstream ( 4 PIN USB Type B ) Â¦ 4 x USB downstream ( 4 PIN USB Type A ),12.7 cm,140 cm ( 138.8 cm viewable ) 140 cm ( 138.8 cm viewable ),Without stand,1080p (FullHD) 1080p (FullHD),,,1 port(s) 1 port(s),72.1 cm,16:9 16:9,1300:1,"480p, 720p, 1080i, 1080p, 480i, 576i, 576p 480p, 720p, 1080i, 1080p, 480i, 576i, 576p",,IPS,20 Watt,"DVI, VGA (HD-15), HDMI, DisplayPort DVI, VGA (HD-15), HDMI, DisplayPort",LCD flat panel display LCD flat panel display,Remote control,1920 x 1080 1920 x 1080,2 speakers 2 speakers,2 x main channel speaker - built-in - 10 Watt,"1920 x 1200 (WUXGA), 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 768 (WXGA), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1360 x 768, 1920 x 1080",,Commercial use Commercial usage Commercial use,IPS,No tuner No tuner,,"Component, composite, HDMI, S-Video Component, composite, HDMI, S-Video",178 degrees,125 cm,"""Compatible with Windows 7"" software and devices carry MicrosoftÂs assurance that these products have passed tests for compatibility and reliability with 32-bit and 64-bit Windows 7.",,,,Up to 1.06 billion colours,,,,,,,,,1 Watt,,,,,,,,,,,,Compatible with Windows 7,,,1 x OPS slot,14 Watt,91.1 kHz,85 Hz,AC 120/230 V ( 50/60 Hz ),AC 120/230 V ( 50/60 Hz ),Stereo Stereo,Optional,"PAL, SECAM, NTSC4.43, PAL60",Yes Yes,,,,,,,,,,,,,34.6 cm,93.8 cm,47.5 kg,147.4 cm
"NEC 60003482 MultiSync V801 - 80"" Commercial-Grade Large-Screen LCD Display",,,320 cd/m2,DVI cable,Black,,"FCC Class B certified, CSA, UL, TUV GS, VCCI, C-Tick, cUL, VESA DPMS, VESA FDMI, PSB, RoHS",,"NEC MultiSync V801 - 80"" Commercial-Grade Large-Screen LCD Display
NEC's 80"" V801 commercial-grade large-screen LCD display is ideal for applications requiring considerable screen size such as education facilities, coporate lobbies, board rooms, and retail. This display utilizes LED-backlighting to deliver a slim depth and low power consumption while a full high-definition panel delivers brilliant imagery.","80"" 80""",,- without stand x x,,,,"Ambient light sensor (ALS), screen saver, fanless cooling system, Scheduler Function (with RTC), TileMatrix (10 x 10), Eco Mode, Open Pluggable Specification slot, DICOM Simulated Gamma Ambient light sensor (ALS), screen saver, fanless cooling system, Scheduler Function (with RTC), TileMatrix (10 x 10), Eco Mode, Open Pluggable Specification slot, DICOM Simulated Gamma",,,,,NEC,60003482,,,,,1 Watt,8 ms,,,,60 kg 60 kg,,,,,20 - 80%,,,3 years warranty,40 °C,5 °C,,,"NEC MultiSync V801 - 80"" LED-backlit LCD flat panel display",3 years warranty,Limited warranty - 3 years ¦ Limited warranty - backlight - 3 years,,,,,,,,,,,,,,,Remote control,,,,,,,,,,,,,,,178 degrees,1 x VGA input ( 15 PIN HD D-Sub (HD-15) ) ¦ 1 x composite video input ( BNC ) ¦ 1 x component video / RGB input ( BNC x 5 ) ¦ 1 x DVI-D input ( 24 PIN Digital DVI ) ¦ 1 x DVI-D output ( 24 PIN Digital DVI ) ¦ 1 x HDMI ( 19 pin HDMI Type A ) ¦ 1 x DisplayPort ( 20 pin DisplayPort ) ¦ 1 x audio input ( mini-phone stereo 3.5 mm ) ¦ 1 x remote control ( mini-phone 3.5mm ) ¦ 1 x serial input ( 9 PIN D-Sub ) ¦ 1 x network ( RJ-45 ) ¦ 1 x serial output ( 9 PIN D-Sub ),,203 cm 203 cm,Without stand,1080p (FullHD) 1080p (FullHD),Black,,1 port(s) 1 port(s),,16:9 16:9,5000:1,,LED backlight - edge-lit LED backlight - edge-lit,,20 Watt,"DVI, VGA (HD-15), DisplayPort DVI, VGA (HD-15), DisplayPort",LED-backlit LCD flat panel display LED-backlit LCD flat panel display,Remote control,1920 x 1080 1920 x 1080,2 speakers 2 speakers,2 x main channel speaker - built-in - 10 Watt,,,Commercial usage Commercial use Commercial usage,,No tuner No tuner,,"Component, composite, HDMI Component, composite, HDMI",178 degrees,,"""Compatible with Windows 7"" software and devices carry Microsoft’s assurance that these products have passed tests for compatibility and reliability with 32-bit and 64-bit Windows 7.",,,,,,,,,,,,,,,,,,,,,,,,,Compatible with Windows 7,,,,30 Watt,,,,,,,,Yes Yes,,V Series,,,100 100,,,,,,,,,,,
