<page title>,adjustable display angle,aspect ratio,backlight technology,brand name,brightness,builtin devices,color,contrast ratio,depth,depth with stand,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,height,height with stand,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,number of screens,operating power consumption,package contents,pccanadacom,product line,product model,product name,product type,response time,screen mode,screen size,screen surface,speakers,standby power consumption,vertical viewing angle,vga,weight approximate,width,width with stand,color supported,country of origin,displayport,hdmi,mount type,number of speakers,panel technology,platform supported,product series,tilt angle,vesa mount compatible,vesa mount standard,adjustable display height,adjustable display pivot,offmode power consumption,standard refresh rate,weight with stand approximate,certifications standards,display orientation,maximum adjustable height,swivel angle,usb,usb standard,webcam,headphone,full product specifications,recycled,recycled content,svideo
BL2410PT - Benq Bl2410pt Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,,BenQ,250 cd/mÂ²,USB Hub,Black,"5,000:1",,"10.2"" (259 mm)",Yes,"Ambient Light Sensor, Eco Mode, Senseye 3, Security Lock",,,Yes,,"19.8"" (504 mm)",178Â°,,,BenQ Corporation,BL2410PT,http://www.benq.ca,1920 x 1080,1.0,23 W,,does not accept phone orders.,,BL2410PT,BL2410PT Widescreen LCD Monitor,LCD Monitor,4 ms,Full HD,"24""",,,200 mW,178Â°,Yes,6.70 kg,,"22.2"" (565 mm)",16.7 Million Colors,,Yes,No,Wall Mountable,,Advanced Hyper Viewing Angle (AHVA),"PC, Mac",BL,,Yes,100 x 100,Yes,Yes,,,,,,,,Yes,USB 3.0,,Yes,,,,
"EV2436WFS-BK - Eizo 24"" Flexscan Ev2436w Widescreen Led - PC-Canada.com",Yes,16:10,LED,Eizo,300 cd/mÂ²,USB Hub,Black,"1,000:1","2.2"" (57 mm)","9.7"" (245.5 mm)",Yes,"EcoView, Off Timer","TCO Certified Displays 6.0, EPEAT Gold, ENERGY STAR, RoHS, WEEE, China RoHS",Yes,Yes,"14.1"" (358 mm)","21"" (534 mm)",178Â°,,5 Year,Eizo Nanao Tech,EV2436WFS-BK,http://www.eizo.com,1920 x 1200,1.0,60 W,"24"" FlexScan EV2436W WideScreen LED AC power cord Signal cables (DVI-D - DVI-D, DisplayPort - DisplayPort) EIZO LCD Utility Disk (PDF user's manual, ScreenManager Pro for LCD [DDC/CI], EIZO ScreenSlicer software) Setup guide",does not accept phone orders.,FlexScan,EV2436W,"24"" FlexScan EV2436W WideScreen LED",LCD Monitor,6 ms,WUXGA,"24""",,Yes,300 mW,178Â°,Yes,4.10 kg,"21.8"" (552.5 mm)","21.8"" (552.5 mm)",16.7 Million Colors,,Yes,,,2.0,In-plane Switching (IPS) Technology,PC,,,,,Yes,Yes,,,6.70 kg,,Landscape/Portrait,,,Yes,USB 2.0,,Yes,,,,
VE228H - Asus Ve228h Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,250 cd/mÂ²,Speaker,Black,"10,000,000:1","7.9"" (201 mm)",,Yes,,"ENERGY STAR, WEEE",Yes,Yes,"15.2"" (385.9 mm)",,170Â°,,3 Year,ASUS Computer International,VE228H,http://www.asus.com,1920 x 1080,1.0,29 W,VE228H Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card,does not accept phone orders.,,VE228H,VE228H Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"21.5""",,Yes,900 mW,160Â°,Yes,4.10 kg,"20.2"" (512.8 mm)",,16.7 Million Colors,,,Yes,Wall Mountable,2.0,,PC,,,Yes,100 x 100,,,,76 Hz,,CELUL/cULCBCEEuPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSSWHQL,,,,,,,,,,,
E201W-BK - Nec Display Multisync E201w Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,NEC Display,250 cd/mÂ²,,,"1,000:1","2.2"" (55.9 mm)","8.4"" (213.4 mm)",Yes,,"EPEAT Silver, ENERGY STAR, RoHS, TCO '05",Yes,Yes,"11.2"" (284.5 mm)","14.1"" (358.1 mm)",178Â°,,3 Year,NEC Display Solutions,E201W-BK,http://www.necdisplay.com,1600 x 900,1.0,25 W,,does not accept phone orders.,MultiSync,E201W,MultiSync E201W Widescreen LCD Monitor,LCD Monitor,5 ms,,"20""",,,420 mW,178Â°,Yes,5.40 kg,"18.8"" (477.5 mm)","18.8"" (477.5 mm)",,,Yes,,,,,PC,,,Yes,100 x 100,,,,75 Hz,,Windows 7-certifiedISO 9241-307 Class I,,,,,,,,,,,
24M45VQ-B - Lg Led Lcd Monitor M45 - PC-Canada.com,Yes,16:9,,LG,250 cd/mÂ²,,Black,"5,000,000:1","2.3"" (59 mm)","7.4"" (188 mm)",Yes,"Reading Mode, Super Energy Saving, Flicker-free",,,,"13.5"" (344 mm)","17.5"" (445 mm)",170Â°,,,LG Electronics,24M45VQ-B,http://www.lg.com/ca,1920 x 1080,1.0,28 W,,does not accept phone orders.,,24M45VQ-B,LED LCD Monitor M45,LCD Monitor,2 ms,Full HD,"24""",,,,160Â°,Yes,2.70 kg,"21.9"" (556 mm)","21.9"" (556 mm)",16.77 Million Colors,,,Yes,,,Twisted Nematic Film (TN Film),,M45,-3Â°to20Â°,Yes,100 x 100,,,,,3 kg,,,,,,,,Yes,,,,
C9V73AA#ABA - Hp Elitedisplay E201 20-inch Led Backlit Monitor (energy Star) - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,USB Hub,Black,"1,000:1","2"" (51.1 mm)","9"" (229.1 mm)",Yes,Security Lock,"China Energy Label (CEL), TCO Certified Edge, EPA, ENERGY STAR, EPEAT Gold, CECP",Yes,Yes,"11.4"" (289.3 mm)","17.1"" (435.1 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,C9V73AA#ABA,http://www.hp.com/ca,1600 x 900,1.0,30 W,EliteDisplay E201 20-Inch LED Backlit Monitor (Energy Star)VGA CableDisplayPort CableUSB CableAC Power Cable,does not accept phone orders.,Advantage,E201,EliteDisplay E201 20-Inch LED Backlit Monitor (Energy Star),LCD Monitor,5 ms,HD+,"20""",Anti-glare,No,500 mW,160Â°,Yes,3 kg,"18.6"" (473.2 mm)","18.6"" (473.2 mm)",16.7 Million Colors,China,Yes,,"Arm-mountable, Wall Mountable",,,,,,Yes,100 x 100,Yes,Yes,,60 Hz,,CECBKCKCCNOMPSBICETUV-SCCCSEPAISCVCCIFCCBSMI,,,,Yes,USB 2.0,,,,,,
C9F26A8#ABA - Hp Prodisplay P201 20-inch Led Backlit Monitor - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,,Black,"1,000:1","1.9"" (47.5 mm)","5.9"" (151.1 mm)",Yes,Security Lock,"TCO Certified Displays, ENERGY STAR, EPEAT Gold",Yes,Yes,"11.6"" (294.1 mm)","14.1"" (359.2 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,C9F26A8#ABA,http://www.hp.com/ca,1600 x 900,1.0,22 W,ProDisplay P201 20-inch LED Backlit MonitorDVI CableVGA CableAC Power CablePrinted DocumentationCD-ROM,does not accept phone orders.,Essential,P201,ProDisplay P201 20-inch LED Backlit Monitor,LCD Monitor,5 ms,HD+,"20""",Anti-glare,,500 mW,160Â°,Yes,3.50 kg,"19"" (482 mm)","19"" (482 mm)",,,,,,,,,,,Yes,100 x 100,,,,,,,,,,,,,,,,,
22MB65P-B - Lg 22mb65p-b Lcd Monitor - PC-Canada.com,Yes,,LED,LG,,,,,,,Yes,,,,,,,,,,LG Electronics,22MB65P-B,http://www.lg.com/ca,1680 x 1050,1.0,,,does not accept phone orders.,,22MB65P-B,22MB65P-B LCD Monitor,LCD Monitor,5 ms,WSXGA+,"22""",,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
D7P53A8#ABA - Hp Promo Z24i 24-inch Ips Display - PC-Canada.com,Yes,,LED,HP,300 cd/mÂ²,,,"1,000:1",,,Yes,,,,Yes,,,178Â°,,3 Year,Hewlett-Packard,D7P53A8#ABA,http://www.hp.com/ca,1920 x 1200,1.0,55 W,,does not accept phone orders.,Promo,Z24i,Promo Z24i 24-Inch IPS Display,LCD Monitor,8 ms,WUXGA,"24""",Anti-glare,No,,178Â°,Yes,,,,,,Yes,,Arm-mountable,,In-plane Switching (IPS) Technology,,,,,,Yes,Yes,,,,,,,,,,,,,,,
VN247H-P - Asus Vn247h-p Widescreen Lcd Monitor - PC-Canada.com,Yes,,LED,Asus,250 cd/mÂ²,Speaker,,"80,000,000:1",,,,"MultiScreen, Splendid Video Intelligence Technology, Security Lock",,,,,,,,3 Year,ASUS Computer International,VN247H-P,http://www.asus.com,1920 x 1080,1.0,,,does not accept phone orders.,,VN247H-P,VN247H-P Widescreen LCD Monitor,LCD Monitor,1 ms,Full HD,"23.6""",,Yes,,,Yes,,,,,,,Yes,Wall Mountable,,,,VN,,Yes,100 x 100,,,,,,,,,,,,,,,,,
UM.FG6AA.B01 - Acer Gn246hl Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Acer,350 cd/mÂ²,,Black,"100,000,000:1","1.7"" (42 mm)","7"" (179 mm)",Yes,,MPR II,Yes,,"13.5"" (343 mm)","15.8"" (401 mm)",170Â°,"120 V AC, 230 V AC",,"Acer, Inc",UM.FG6AA.B01,http://www.acer.ca,1920 x 1080,1.0,23 W,GN246HL Widescreen LCD Monitor 1 x VGA Cable 1 x DVI Cable Power Cord,does not accept phone orders.,,GN246HL,GN246HL Widescreen LCD Monitor,LCD Monitor,1 ms,Full HD,"24""",Anti-glare,No,490 mW,160Â°,Yes,3.07 kg,"22.2"" (565 mm)","22.2"" (565 mm)",16.7 Million Colors,,,Yes,,,Vertical Alignment (VA),,G,-5Â°to15Â°,Yes,,No,No,450 mW,144 Hz,3.52 kg,,,No,No,,,,,,,,
60A1MAR2US - Lenovo Thinkvision Lt2223p 21.5-inch Fhd Led Backlit Lcd (1920 X 1080) Monitor - PC-Canada.com,Yes,16:9,LED,Lenovo,,USB Hub,Business Black,,"2.2"" (56.4 mm)","8.6"" (218.4 mm)",,,"ENERGY STAR 6.0, EPEAT Gold, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.1, ULE Gold, EU RoHS, China Energy Label (CEL), IT Eco Declaration, REACH, EuP, China RoHS, EU WEEE, CECP, MPR II",Yes,,,"14.3"" (363 mm)",,"110 V AC, 220 V AC",3 Year,Lenovo Group Limited,60A1MAR2US,http://www.lenovo.com/ca/en,1920 x 1080,1.0,8 W,ThinkVision LT2223p 21.5-inch FHD LED Backlit LCD (1920 X 1080) Monitor Detachable Tool-less Full Ergo Stand VGA Cable USB Cable Power Cord CD Quick Start and Safety Poster,does not accept phone orders.,ThinkVision,LT2223p,ThinkVision LT2223p 21.5-inch FHD LED Backlit LCD (1920 X 1080) Monitor,LCD Monitor,,Full HD,"21.5""",,,500 mW,,Yes,4.96 kg,"20.2"" (512.6 mm)","20.2"" (512.6 mm)",16.7 Million Colors,,Yes,Yes,,,,PC,,,Yes,,Yes,Yes,500 mW,60 Hz,,TUV Green Mark ISO 9241-307 e-standby CSC GHG Saftey: BELLIS BSMI CCC CE cULus+ICES KC Gost IEC950 CB Report JEITA KEBS KONCAR KVALITET NEMKO NOM OTAN PSB SASO SONCAP TUV bauart TUV-S EMI: BSMI CCC CE DoC FCC B DoC IC KC SABS VCCI,,,,Yes,USB 2.0,,,,,,
VS208N-P - Asus Vs208n-p Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,250 cd/mÂ²,,Black,"50,000,000:1","7.7"" (194.9 mm)",,Yes,,"ENERGY STAR, EPEAT Gold",Yes,Yes,"14.6"" (371 mm)",,170Â°,,3 Year,ASUS Computer International,VS208N-P,http://www.asus.com,1600 x 900,1.0,14 W,VS208N-P Widescreen LCD MonitorPower CordVGA CableWarranty CardQuick Start Guide,does not accept phone orders.,,VS208N-P,VS208N-P Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"20""",,,500 mW,160Â°,Yes,2.50 kg,"18.9"" (479.9 mm)",,16.7 Million Colors,,,No,Wall Mountable,,,,VS,,Yes,75 x 75,,,500 mW,75 Hz,,,,,,,,,,,,,
2580AF1 - Lenovo Ls1922 Wide 18.5inch Wled Flat Panel Monitor (vga Only) - PC-Canada.com,Yes,16:9,LED,Lenovo,250 cd/mÂ²,,Business Black,"1,000:1","8.3"" (209.6 mm)",,,Security Lock,"ENERGY STAR 5.1, TCO Certified Displays 5.2, WEEE, RoHS, China RoHS",Yes,,"14.5"" (369.3 mm)",,170Â°,"110 V AC, 220 V AC",3 Year,Lenovo Group Limited,2580AF1,http://www.lenovo.com/ca/en,1366 x 768,1.0,24 W,,does not accept phone orders.,,LS1922,LS1922 Wide 18.5inch WLED Flat Panel Monitor (VGA Only),LCD Monitor,5 ms,WXGA,"18.5""",,,1 W,160Â°,Yes,2.97 kg,"17.4"" (441.5 mm)",,16.7 Million Colors,,,,,,,PC,,,Yes,100 x 100,,,500 mW,60 Hz,,"GSISO 9241-307Safety:c (TUV) usIEC950 CB ReportSEMKONOMSASOCETUVCCCGostPSBUkraineKEBSe-standbyBSMIJEIDATUV-SISCKVALITETINSMSTZBELLISKONCAROTANSONCAPCSCChina National Monitor Energy Efficiency Standard (Tier 1)EMI:FCC BICVCCIKCSABS-CoC, LoA",,,,,,,,,,,
PB238Q - Asus Pb238q Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,250 cd/mÂ²,"Speaker, USB Hub",Black,"80,000,000:1","2.3"" (57.6 mm)","7.9"" (201 mm)",Yes,"Trace Free Technology, Splendid Video Intelligence Technology, Security Lock","ENERGY STAR, ErP, J-Moss (Japanese RoHS), RoHS, WEEE",Yes,Yes,"12.7"" (323.7 mm)","16.3"" (414 mm)",178Â°,"110 V AC, 220 V AC",3 Year,ASUS Computer International,PB238Q,http://www.asus.com,1920 x 1080,1.0,,PB238Q Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordUSB CableQuick Start GuideWarranty Card,does not accept phone orders.,,PB238Q,PB238Q Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"23""",,Yes,500 mW,178Â°,Yes,5.50 kg,"21.6"" (548.8 mm)","21.6"" (548.8 mm)",16.7 Million Colors,,Yes,Yes,Wall Mountable,2.0,In-plane Switching (IPS) Technology,PC,PB,,Yes,100 x 100,Yes,Yes,,75 Hz,,UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCIPSEWHQL,,,,Yes,USB 2.0,,,,,,
F3J72AA#ABA - Hp Elitedisplay S231d Led Monitor F3j72aa - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,Microphone,,"5,000,000:1","2"" (50.8 mm)",,,Security Lock,"ENERGY STAR, CECP, China Energy Label (CEL), TCO Certified Edge, TCO Certified Displays",Yes,,"13"" (328.9 mm)",,178Â°,"120 V AC, 230 V AC",3 Year,Hewlett-Packard,F3J72AA#ABA,http://www.hp.com/ca,1920 x 1080,1.0,60 W,,does not accept phone orders.,Elite,S231d,EliteDisplay S231d LED Monitor F3J72AA,LCD Monitor,7 ms,Full HD,"23""",Anti-glare,,,178Â°,Yes,6.12 kg,"21.4"" (544.1 mm)",,,,Yes,,,,In-plane Switching (IPS) Technology,,,-5Â°to30Â°,,,,Yes,,,,CB CE TUV-S EAC CUL FCC CSA NOM S-mark VCCI PSB ISC CCC BSMI C-Tick E-standby KC,,,360Â°,Yes,USB 3.0,Yes,Yes,,,,
F0W81AA#ABA - Hp Business E241i Widescreen Lcd Monitor - PC-Canada.com,Yes,16:10,LED,HP,250 cd/mÂ²,USB Hub,Gray,"5,000,000:1","2.2"" (55 mm)","10.9"" (276.2 mm)",Yes,Security Lock,"ENERGY STAR, TCO Certified Displays, EPEAT Gold, REACH, TCO Certified Edge, TÃV, China Energy Label (CEL)",Yes,Yes,"14.3"" (362.6 mm)","20.3"" (516.6 mm)",178Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,F0W81AA#ABA,http://www.hp.com/ca,1920 x 1200,1.0,35 W,"Business E241i Widescreen LCD Monitor VGA Cable USB Cable DisplayPort Cable AC Power Cable Printed Documentation CD (User Guide,Warranty,Drivers) HP Display Assistant Software",does not accept phone orders.,Business,E241i,Business E241i Widescreen LCD Monitor,LCD Monitor,8 ms,WUXGA,"24""",Anti-glare,,500 mW,178Â°,Yes,4.13 kg,"21.9"" (556 mm)","2.2"" (55.6 mm)",16.7 Million Colors,,Yes,,,,In-plane Switching (IPS) Technology,PC,,-5Â°to30Â°,,,Yes,Yes,,,6.58 kg,C-Tick E-Standby NOM PSB TUV Ergo TUV GS UL VCCI ICE SmartWay,,"5.9"" (149.9 mm)",180Â°,Yes,USB 2.0,,,,,,
E4S07A8#ABA - Hp Prodisplay P231 23-inch Led Backlit Monitor (energy Star) (e4s07a8) - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,,Black,"1,000:1","2"" (51.1 mm)","6.5"" (165.6 mm)",Yes,"Security Lock, Multiview","WEEE, EU WEEE, REACH, CECP, China Energy Label (CEL), EPEAT Gold, ENERGY STAR, TCO Certified Edge, IT Eco Declaration, RoHS",Yes,Yes,"13"" (328.9 mm)","15.6"" (395 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,E4S07A8#ABA,http://www.hp.com/ca,1920 x 1080,1.0,31 W,,does not accept phone orders.,Business,P231,ProDisplay P231 23-inch LED Backlit Monitor (ENERGY STAR) (E4S07A8),LCD Monitor,5 ms,Full HD,"23""",Anti-glare,,500 mW,160Â°,Yes,3.85 kg,"21.4"" (544.1 mm)","21.4"" (544.1 mm)",16.7 Million Colors,China,,,"Desk Mountable, Wall Mountable, Arm-mountable",,Twisted Nematic Film (TN Film),,Essential,,Yes,100 x 100,No,,,60 Hz,,CE CB KC KCC NOM PSB ICE TUV-S RCM CCC ISC VCCI FCC BMSI SmartWay Transport Partnership (NA) Microsoft WHQL Certification,Landscape,,,,,,,,Yes,Plastic,
VS207D-P - Asus Vs207d-p Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,,,Black,"80,000,000:1","7.3"" (185 mm)",,,"Splendid Video Intelligence Technology, Security Lock","ENERGY STAR, WEEE, EPEAT Gold, ErP, TCO Certified Displays 6.0, RoHS",Yes,,"14"" (355.5 mm)",,170Â°,,3 Year,ASUS Computer International,VS207D-P,http://www.asus.com,1600 x 900,1.0,25 W,VS207D-P Widescreen LCD MonitorVGA CablePower CordQuick Start GuideWarranty Card,does not accept phone orders.,,VS207D-P,VS207D-P Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"19.5""",,,500 mW,160Â°,Yes,2.59 kg,"18.4"" (468 mm)",,16.7 Million Colors,,,,Wall Mountable,,,PC,VS,,Yes,75 x 75,,,500 mW,75 Hz,,FCCGost-RBSMICBCEC-TickUL/cULVCCIWHQL,,,,,,,,,,,
UM.PB6AA.003 - Acer B286hk Widescreen Lcd Monitor - PC-Canada.com,,16:9,LED,Acer,300 cd/mÂ²,USB Hub,Dark Gray,"100,000,000:1","2.5"" (64.5 mm)","9.7"" (247.2 mm)",Yes,,"EPEAT Gold, TCO Certified Displays 6.0",Yes,,"15"" (381.9 mm)",,,,,"Acer, Inc",UM.PB6AA.003,http://www.acer.ca,3840 x 2160,1.0,39 W,B286HK Widescreen LCD Monitor1 x DVI Cable1 x DisplayPort Cable1 x HDMI CablePower Cord1 x USB 3.0 Cable,does not accept phone orders.,,B286HK,B286HK Widescreen LCD Monitor,LCD Monitor,1 ms,4K UHD,"28""",,Yes,,,,,"25.9"" (658.7 mm)","25.9"" (658.7 mm)",16.7 Million Colors,,Yes,Yes,,,Twisted Nematic Film (TN Film),,B,-5Â°to35Â°,,,,,,,,,,,,Yes,,,,Click to view,,,
60AAHAR1US - Lenovo Thinkvision Lt1913p 19-inch Square Ips Led Backlit Lcd Monitor - PC-Canada.com,Yes,,LED,Lenovo,250 cd/mÂ²,,Black,"1,000:1","8.7"" (221.9 mm)",,Yes,,"ENERGY STAR 6.0, EPEAT Gold, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.1, China Energy Label (CEL), RoHS, China RoHS, ULE Gold",Yes,Yes,"14.9"" (378.3 mm)",,178Â°,,3 Year,Lenovo Group Limited,60AAHAR1US,http://www.lenovo.com/ca/en,1280 x 1024,1.0,,,does not accept phone orders.,ThinkVision,LT1913p,ThinkVision LT1913p 19-Inch Square IPS LED Backlit LCD Monitor,LCD Monitor,7 ms,SXGA,"19""",,,,178Â°,Yes,4.55 kg,"16.2"" (411 mm)",,16.7 Million Colors,,,,,,In-plane Switching (IPS) Technology,PC,,,,,Yes,Yes,,,,TUV Green Mark ISO 9241-307,,,,,,,,,,,
C240P4QPYEW/27 - Philips Lcd Monitor With Clinical D-image - PC-Canada.com,Yes,16:10,LED,Philips,300 cd/mÂ²,"USB Hub, Speaker",White,"1,000:1","2.6"" (65 mm)","9.6"" (244 mm)",Yes,"Sync on Green, SmartControl, Security Lock, SmartErgoBase, PowerSensor, Cable Management, SmartImage","TCO Certified Displays 6.0, EPEAT Gold, ENERGY STAR 6.0, RoHS, WEEE",Yes,Yes,"15.3"" (388 mm)","21.7"" (550 mm)",178Â°,"110 V AC, 220 V AC",,Philips Electronics,C240P4QPYEW/27,http://www.philips.com,1920 x 1200,1.0,17.40 W,,does not accept phone orders.,Brilliance,C240P4QPYEW,LCD Monitor with Clinical D-image,LCD Monitor,14 ms,WUXGA,"24""",,Yes,400 mW,178Â°,Yes,4.64 kg,"21.9"" (555 mm)","21.9"" (555 mm)",16.7 Million Colors,,Yes,,,2.0,In-plane Switching (IPS) Technology,"PC, Mac",,,Yes,100 x 100,Yes,Yes,0 mW,60 Hz,6.97 kg,IEC/EN60601-1-2 NEMA CE GOST JIS Z2801 TUV/GS IEC/EN60601-1 TUV Ergo,,,,Yes,USB 2.0,,Yes,,,,
"E224WI-BK - Nec Display 22"" Eco-friendly Widescreen Desktop Monitor W/ Ips Panel And Led Backlighting - PC-Canada.com",Yes,16:9,LED,NEC Display,250 cd/mÂ²,,Black,"1,000:1","2.3"" (58.4 mm)","8.4"" (213.4 mm)",Yes,"Cable Management, AccuColor, Ambient Light Sensor, Touch Controls, Sync on Green, Eco Mode, Carbon Footprint Meter","EPEAT Silver, ENERGY STAR 6.0, TCO Certified Displays 6.0, RoHS",Yes,Yes,"11.9"" (302.3 mm)","18.7"" (475 mm)",178Â°,,3 Year,NEC Display Solutions,E224WI-BK,http://www.necdisplay.com,1920 x 1080,1.0,26 W,"22"" Eco-Friendly Widescreen Desktop Monitor w/ IPS Panel and LED Backlighting Setup Sheet User Manual Power Cord 15-pin D-sub Cable DVI Cable",does not accept phone orders.,MultiSync,E224WI-BK,"22"" Eco-Friendly Widescreen Desktop Monitor w/ IPS Panel and LED Backlighting",LCD Monitor,6 ms,Full HD,"21.5""",,,400 mW,178Â°,Yes,3.90 kg,"20"" (508 mm)","20"" (508 mm)",16.7 Million Colors,,Yes,,Desk Mountable,,Advanced High Performance In-plane Switching (AH-IPS) Technology,PC,E,,Yes,100 x 100,Yes,Yes,,76 Hz,5.90 kg,ISO 9241-307 Class I,Portrait,,,,,,,,,,
60A6MAR2US - Lenovo Thinkvision Lt2452p 24-inch Wide Lcd Monitor - PC-Canada.com,Yes,16:10,LED,Lenovo,300 cd/mÂ²,,Business Black,"1,000:1","15.5"" (394.7 mm)",,Yes,"Security Lock, Cable Management","ENERGY STAR 5.1, Turkey RoHS, EU RoHS, TCO Certified Displays 6.0, Eco Mark (Japan), MPR II, CECP, China Energy Label (CEL), China RoHS, TCO Certified Edge Displays 1.1, EPEAT Gold, ULE Gold, EuP, REACH, EU WEEE",Yes,,"10.1"" (257.3 mm)",,178Â°,"110 V AC, 220 V AC",3 Year,Lenovo Group Limited,60A6MAR2US,http://www.lenovo.com/ca/en,1920 x 1200,1.0,40 W,,does not accept phone orders.,ThinkVision,LT2452p,ThinkVision LT2452p 24-inch Wide LCD Monitor,LCD Monitor,7 ms,WUXGA,"24""",,,500 mW,178Â°,Yes,6.67 kg,"22"" (559.6 mm)",,16.7 Million Colors,,Yes,,,,,PC,,,Yes,100 x 100,Yes,Yes,500 mW,60 Hz,,Safety: cTUVus IEC60950 CB Report NEMKO KVALITET CE NOM SASO Gost PSB BSMI JEITA TUV-S SABS KC EMI: FCC B CE VCCI KC BSMI CCC SABS KVALITET Ergonomic: TUV-GS ISO 9241-307 E-Standby,,,,,,,,,Yes,85% Plastic,
VE247H - Asus Ve247h Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,300 cd/mÂ²,Speaker,Black,"10,000,000:1","7.9"" (201 mm)",,Yes,,"ENERGY STAR, RoHS, WEEE",Yes,Yes,"16.1"" (409.7 mm)",,170Â°,,3 Year,ASUS Computer International,VE247H,http://www.asus.com,1920 x 1080,1.0,34.90 W,VE247H Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card,does not accept phone orders.,,VE247H,VE247H Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"23.6""",,Yes,900 mW,160Â°,Yes,4.40 kg,"22.4"" (569.4 mm)",,16.7 Million Colors,,,Yes,Wall Mountable,2.0,,PC,,,Yes,100 x 100,,,,76 Hz,,CELUL/cULCBCEEuPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSS,,,,,,,,,,,
E5Z68A8#ABA - Hp V241 23.6-inch Led Backlit Monitor (energy Star) (e5z68a8) - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,,Black,"1,000:1","1.9"" (47 mm)","8"" (204.2 mm)",Yes,"Security Lock, Ultra Slim","IT Eco Declaration, RoHS, ENERGY STAR, EPEAT Silver, TCO Certified Displays, WEEE, EU WEEE, REACH",Yes,Yes,"13.7"" (348 mm)","16.3"" (412.8 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,E5Z68A8#ABA,http://www.hp.com/ca,1920 x 1080,1.0,30 W,V241 23.6-inch LED Backlit Monitor (ENERGY STAR) (E5Z68A8) VGA Cable AC Power Cord Printed Documentation and CD,does not accept phone orders.,Business,V241,V241 23.6-inch LED Backlit Monitor (ENERGY STAR) (E5Z68A8),LCD Monitor,5 ms,Full HD,"23.6""",Anti-glare,,500 mW,160Â°,Yes,3.72 kg,"22.2"" (563.6 mm)","22.2"" (563.6 mm)",16.7 Million Colors,China,,,"Desk Mountable, Wall Mountable, Arm-mountable",,Twisted Nematic Film (TN Film),,Value,-5Â°to20Â°,Yes,100 x 100,,,,60 Hz,,CB FCC ICES TUV TUV-GS ETL S-mark,Landscape,,,,,,,,Yes,Plastic,
