<page title>,adjustable display angle,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour support,contrast ratio,depth with stand,features,firewireilink,green compliance certificateauthority,green compliant,height,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum resolution,network rj45,number of screens,operating power consumption,package contents,panel technology,platform supported,product name,product type,response time,screen mode,screen size,speakers,standby power consumption,system requirements,thunderbolt,usb,usb standard,vertical viewing angle,vesa mount compatible,webcam,weight approximate,width,adjustable display height,adjustable display pivot,depth,dvi,height with stand,mount type,product model,screen surface,standard refresh rate,vesa mount standard,vga,weight with stand approximate,certifications standards,colour,displayport,hdcp supported,hdmi,headphone,product line,maximum adjustable height,offmode power consumption,product series,swivel angle,tilt angle,number of speakers,recycled,recycled content,width with stand,sdi,sdi standard,svideo,postconsumerwaste,energy consumption per year,energy efficiency class,composite video,display orientation,country of origin,component video,horizontal frequency,packaged quantity,additional information,3d type,package type
"HP196AGB, V320090, Hannspree, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,LED,Hanns.G,200 cd/m²,,16.7 Million Colours,"1,000:1",,,,,,338.4 mm,160°,110 V AC 220 V AC,,"Hannspree, Inc",HP196AGB,1366 x 768,,1.0,30 W,,,,HP196AGB Widescreen LCD Monitor,LCD Monitor,5 ms,,"47 cm (18.5"")",,500 mW,,,,,160°,,,3.50 kg,444.3 mm,,,171.8 mm,,,,HP196AGB,,,,Yes,,,Black,,,,,,,500 mW,,,,,,,,,,,,,,,,,,,,,,
"9H.LA7LB.RBU, 3035116, BenQ, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,BenQ,250 cd/m²,Speaker,16.7 Million Colours,"12,000,000:1",,Ultra Slim Security Lock Reading Mode Flicker-free Eco Mode Senseye 3 Advanced Motion Accelerator (AMA),,TCO Certified Displays 6.0 ENERGY STAR 5.1,Yes,434 mm,170°,220 V AC 110 V AC,,BenQ Corporation,9H.LA7LB.RBU,1920 x 1080,,1.0,23 W,,Twisted Nematic Film (TN Film),PC,GL2460HM Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"61 cm (24"")",Yes,300 mW,,,,,160°,Yes,,4.30 kg,565 mm,,,194 mm,Yes,,Wall Mountable,GL2460HM,,,100 x 100,Yes,,,Glossy Black,,Yes,Yes,Yes,,,,GL,,-5°to20°,2.0,,,,,,,,,,,,,,,,,,
"UM.QB6EE.002, 3017457, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,250 cd/m²,,16.7 Million Colours,"100,000,000:1",221.20 mm,,,EPEAT Gold TCO Certified Displays 6.0,Yes,331.5 mm,178°,110 V AC 220 V AC,3 Year,"Acer, Inc",UM.QB6EE.002,1920 x 1080,,1.0,21.90 W,B246HYL Widescreen LCD MonitorPower Cord1 x DVI Cable1 x DisplayPort Cable1 x VGA Cable,In-plane Switching (IPS) Technology,,B246HYL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"60.5 cm (23.8"")",Yes,450 mW,,,,,178°,,,3.73 kg,554.4 mm,Yes,Yes,52 mm,Yes,379.10 mm,,B246HYL,Anti-glare,60 Hz,,Yes,6.42 kg,,Dark Grey,Yes,,No,,,150 mm,350 mW,B,60°,-5°to35°,,,,554.40 mm,,,,,31 kWh,A,,,,,,,,,
"CDE4200-L, B921457, ViewSonic, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Viewsonic,350 cd/m²,Speaker,,"3,000:1",208.28 mm,Security Lock,,,,624.8 mm,170°,,,Viewsonic Corporation,CDE4200-L,1920 x 1080,,1.0,59 W,,,PC,"42"" Full HD LED Professional Display",LCD Monitor,6.50 ms,Full HD,"106.7 cm (42"")",Yes,,,,Yes,,170°,Yes,,11.88 kg,975.4 mm,,,63.5 mm,,678.18 mm,Wall Mountable,CDE4200-L,Anti-glare,,200 x 200,Yes,12.61 kg,,Black,,,Yes,Yes,Professional,,,,,,2.0,,,975.36 mm,,,,,,,Yes,,,Yes,,,,,
"60003397, 3967995, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,LED,NEC Display,450 cd/m²,Speaker,,"1,300:1",,TileMatrix (10x10) Ambient Light Sensor Digital Signage Ready Eco Mode Digital Daisy Chain Picture in Picture Screen Saver,,RoHS,Yes,565.4 mm,178°,,3 Year,NEC Display Solutions,60003397,1920 x 1080,Yes,1.0,,"LCD 42"" Public DisplayDVI-D CablePower CableRemote Control",Super In-plane Switching (S-IPS) Technology,PC,"LCD 42"" Public Display",LCD Monitor,12 ms,,"106.7 cm (42"")",Yes,1 W,,,,,178°,Yes,,16.80 kg,972.5 mm,,,68.3 mm,Yes,,Wall Mountable,V423,,60 Hz,300 x 300,Yes,,CETÜV GSC-tickFCC Class BUL/C-ULCSAPSBVCCI,Black,Yes,Yes,Yes,,MultiSync,,500 mW,V,,,2.0,,,,,,,,,,Yes,Landscape/Portrait,,,,,,,
"K9601637, 2913251, Barco, LCD Monitor, Kingsfield Computer Products Ltd",,4:3,,Barco,1000 cd/m²,USB Hub,1024 Gray Levels (10-bit),900:1,249 mm,,,RoHS,Yes,382 mm,170°,,5 Year,Barco,K9601637,2048 x 1536,,1.0,54 W,3 MegaPixel Diagnostic Grayscale Display SystemMain CablesGetting Started GuideQuick-Installation SheetVideo Cable (DVI Dual Link)External Power SupplyMediCal QAWeb Software,In-plane Switching (IPS) Technology,,3 MegaPixel Diagnostic Grayscale Display System,LCD Monitor,50 ms,QXGA,"52.8 cm (20.8"")",,,,,Yes,USB 1.1,170°,Yes,,,488 mm,,Yes,114 mm,Yes,532 mm,,E-3620 MA,Anti-reflective,,100 x 100,,11.50 kg,"CSA C22.2 NO. 60950-1-03 1ST EditionUL 60601-1 1ST EditionCAN/ CSA-C22.2 NO. 601.1-M90UL 60950-1 1ST EditionIEC 60601-1 2ND ED:1988 + A1:1991 + A2:1995IEC 60950-1:2001 1ST EditionCE - 2004/108/ECCE - 93/42/EC, A1:2007/47/EC CLASS IIBDEMKO - EN 60601-1DEMKO - EN 60950-1CCC - GB9254-1998 + GB4943-2001 + GB17625.1-2003VCCIFCC Class BBSMIKETIFDA 510K",,,,,,Nio,,,,,,,,,488 mm,,,,,,,,Landscape/Portrait,,,,,,,
"VN289Q, 3023740, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Asus,300 cd/m²,Speaker,16.7 Million Colours,"80,000,000:1",210 mm,Security Lock Game Mode Picture in Picture Flicker-free VividPixel Technology Picture by Picture Mobile High-Definition Link (MHL) QuickFit Eye-Care Reading Mode Splendid Video Intelligence Technology Trace Free Technology,,,,380.7 mm,178°,,,ASUS Computer International,VN289Q,1920 x 1080,,1.0,35 W,,Vertical Alignment (VA),PC,VN289Q Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"71.1 cm (28"")",Yes,500 mW,,,,,178°,Yes,,5.20 kg,660.2 mm,,,63.7 mm,Yes,450.70 mm,Wall Mountable,VN289Q,,,100 x 100,Yes,,,Black,Yes,Yes,Yes,Yes,,,500 mW,VN,,-5°to20°,2.0,,,660.20 mm,,,,,,,,,,,80 kHz,,,,
"UM.IV6EE.A01, ACEV206HQLAB, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,200 cd/m²,,16.7 Million Colours,"100,000,000:1",191 mm,,,MPR II EPEAT Gold,Yes,276.2 mm,90°,110 V AC 220 V AC,3 Year,"Acer, Inc",UM.IV6EE.A01,1600 x 900,,1.0,16.20 W,V206HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,V206HQL Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",,450 mW,,,,,65°,Yes,,,463.4 mm,No,No,,,362.20 mm,,V206HQL,Anti-glare,60 Hz,100 x 100,Yes,,,Black,,,,,,No,350 mW,V,No,-5°to25°,,,,463.40 mm,,,,,,,,,,,,,,,
"EV2336WFS3-BK, EIZOEV2336WFSBK, Eizo Nanao, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Eizo,300 cd/m²,USB Hub Speaker,16.77 Million Colors,"1,000:1",233 mm,Flicker-free EcoView Sense Brightness Sensor Auto EcoView EcoView Eye-Care,,China RoHS WEEE RoHS ENERGY STAR EPA TÜV EPEAT Gold TCO Certified Displays 6.0,Yes,317.5 mm,178°,220 V AC 110 V AC,5 Year,Eizo Nanao Tech,EV2336WFS3-BK,1920 x 1080,,1.0,40 W,"FlexScan EV2336WFS3-BK Widescreen LCD Monitor AC Power Cord Signal Cables (DVI-D - DVI-D, DisplayPort - DisplayPort) EIZO LCD Utility Disk (PDF user's manual, ScreenManager Pro for LCD [DDC/CI] EIZO ScreenSlicer Software Setup Guide",In-plane Switching (IPS) Technology,,FlexScan EV2336WFS3-BK Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"58.4 cm (23"")",Yes,300 mW,,,Yes,USB 2.0,178°,Yes,,3.70 kg,540 mm,Yes,Yes,56 mm,Yes,478.50 mm,,EV2336WFS3-BK,,76 Hz,100 x 100,Yes,6.10 kg,TUV/Ergonomics (including ISO9241-307) TUV/GS C-Tick CE CB cTUVus FCC-B Canadian ICES-003-B TUV/S VCCI-B CCC GOST-R,Black,Yes,Yes,,Yes,FlexScan,140 mm,,EV,344°,5°to35°,,,,540 mm,,,,,,,,,,,,,,,
"60003330, NECTFTSV241, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,,NEC Display,360 cd/m²,USB Hub,1.07 Billion Colors,"1,000:1",,Carbon Footprint Meter Ambient Light Sensor TileComp TileMatrix Support Picture in Picture CableComp+ Security Lock,,ErP RoHS MPR III TCO Displays 5.0 MPR II,Yes,528 mm,178°,110 V AC 220 V AC,3 Year,NEC Display Solutions,60003330,1920 x 1200,,1.0,95 W,SpectraView Reference 241Power CableSignal Cable DisplayPortCD-ROMSales Office ListUser ManualCD-ROM With SpectraView Profiler Software And ManualDetachable Black Light Protection HoodSpectraView Certifier DocumentSignal Cable: DVI-D - DVI-D,In-plane Switching (IPS) Technology,PC,SpectraView Reference 241,LCD Monitor,8 ms,WUXGA,"61 cm (24"")",,1 W,,,Yes,,178°,Yes,,10.60 kg,556.8 mm,Yes,Yes,227.6 mm,Yes,,,Reference 241,,60 Hz,200 x 100,Yes,,CETUV ErgonomicsTUV GSC-tickGEEA/Energy LabelFCC Class BPCT/GostUL/C-ULCSACCCISO 9241-307 (pixel failure class I)PCBC/B-markPSB,Black,Yes,,,,SpectraView,,,,,,,,,,,,,,,,,Landscape,,,,,,,
"C221S3UCW/00, 2784180, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Philips,150 cd/m²,,16.7 Million Colours,"1,000:1",201 mm,Security Lock SmartErgoBase,,ENERGY STAR RoHS WEEE EPEAT Silver,Yes,323 mm,160°,220 V AC 110 V AC,,Philips Electronics,C221S3UCW/00,1920 x 1080,,1.0,10.30 W,,,Mac PC,"LCD Monitor Clinical Review Display 21.5"" / 54.6 cm",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,300 mW,,,Yes,USB 2.0,150°,Yes,,3.44 kg,507 mm,Yes,Yes,59 mm,,402 mm,,C221S3UCW,,60 Hz,100 x 100,,3.85 kg,"EMC: CE Mark, IEC/EN60601-1-2 Safety: CE Mark, IEC/EN60601-1 Ergonomic/Others: JIS Z2801",White,,,,,,,0 mW,,,,,,,507 mm,,,,,,,,,,,,,,,
"60A6MAT2EU, S6047E1, Lenovo, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,Lenovo,300 cd/m²,USB Hub,16.7 Million Colours,"1,000:1",,Security Lock,,TCO Certified Edge Displays 1.1 MPR II TCO Certified Displays 5.2 ULE Gold EPEAT Gold ENERGY STAR 5.1 Eco Mark (Japan),Yes,394.7 mm,178°,220 V AC 110 V AC,,Lenovo Group Limited,60A6MAT2EU,1920 x 1200,,1.0,40 W,,In-plane Switching (IPS) Technology,,ThinkVision LT2452p 24-inch Wide LCD Monitor,LCD Monitor,7 ms,WUXGA,"61 cm (24"")",,500 mW,,,Yes,,178°,Yes,,6.67 kg,559.6 mm,Yes,Yes,257.3 mm,Yes,,,LT2452p,,60 Hz,100 x 100,Yes,,cTUVusIEC60950 CB ReportNEMKONOMSASOGostPSBBSMIJEITATUV-SFCC BVCCIKCCCCSABSKVALITETCECPEco-MarkTUV-GSISO 9241-307E-Standby,,Yes,,,,,,500 mW,,,,,,,,,,,,,,,,,,,,,,
"LC23A550US/EN, 100232, Samsung, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Samsung,250 cd/m²,,16.7 Million Colours,,232.80 mm,,,ENERGY STAR EPEAT Gold,Yes,,170°,220 V AC 110 V AC,2 Year,Samsung,LC23A550US/EN,1920 x 1080,,1.0,30 W,SyncMaster C23A550U Widescreen LCD MonitorSignal CablePower CablePower SupplyUSB 3.0 CableDriver CDMulti-Screen Software (CD)Manual (CD),,PC,SyncMaster C23A550U Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"58.4 cm (23"")",,,,,Yes,USB 3.0,160°,,,4.10 kg,,,,,,433.90 mm,,C23A550U,,60 Hz,,Yes,,CEISO 13406/2,Black,,Yes,Yes,,SyncMaster,,,550,,,,,,550.40 mm,,,,,,,,,,,,,,,
"F0W81AA#ABB, HP, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,HP,250 cd/m²,USB Hub,,"5,000,000:1",516.56 mm,Security Lock,,ENERGY STAR TCO Certified Edge EPEAT Gold TCO Certified Displays,Yes,362.6 mm,178°,110 V AC 220 V AC,3 Year,Hewlett-Packard,F0W81AA#ABB,1920 x 1200,,1.0,40 W,"EliteDisplay E241i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR) VGA cable DVI cable (only in the Asia-Pacific region) USB cable DisplayPort cable (not in the Asia-Pacific region with the exception of Australia and New Zealand) power cord Printed documentation and CD (with User Manual, warranty, drivers) Display Assistant Software",In-plane Switching (IPS) Technology,,EliteDisplay E241i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR),LCD Monitor,8 ms,WUXGA,"61 cm (24"")",,,,,Yes,USB 2.0,178°,,,,556 mm,Yes,Yes,55 mm,Yes,276.20 mm,,E241i,Anti-glare,,,Yes,6.58 kg,,Silver,Yes,Yes,,,Elite,,,,180°,-5°to30°,,,,556 mm,,,,,,,,,,,,,,,
"E2278HD-GB1, 2504950, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,iiyama,250 cd/m²,,16.7 Million Colours,"1,000:1",,Security Lock,,TCO Displays 5.0 ENERGY STAR,Yes,369.5 mm,170°,110 V AC 220 V AC,,"iiyama North America, Inc",E2278HD-GB1,1920 x 1080,,1.0,20 W,ProLite E2278HSDPower CableVGA (D-Sub) CableDVI-D CableStand-BaseQuick Start GuideSafety Guide,,Mac PC,ProLite E2278HSD,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,500 mW,,,,,160°,Yes,,2.80 kg,514.5 mm,,,177.5 mm,Yes,,Wall Mountable,E2278HSD,,75 Hz,100 x 100,Yes,,CETUV-BauartVCCI-BCU,Black,,Yes,,,ProLite,,,,,,,,,,,,,,,,,,,,,,,,
"UM.EB6EE.005, 8654G74, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,Acer,250 cd/m²,Speaker,16.7 Million Colours,"100,000,000:1",,,,EPEAT Gold TCO '06,Yes,505.7 mm,170°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.EB6EE.005,1680 x 1050,,1.0,24.20 W,B226WL Widescreen LCD Monitor1 x VGA Cable1 x DVI Cable,Twisted Nematic Film (TN Film),,B226WL Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,17.20 W,,,,,160°,Yes,,3.09 kg,534.2 mm,Yes,Yes,221.2 mm,Yes,,,B226WL,Anti-glare,60 Hz,100 x 100,Yes,5.75 kg,,Dark Grey,,Yes,,,,150 mm,450 mW,B,60°,-5°to35°,2.0,,,,,,,,,,,,,,,,,,
"HX193DPB, V320089, Hannspree, LCD Monitor, Kingsfield Computer Products Ltd",Yes,5:4,LED,Hanns.G,250 cd/m²,,16.7 Million Colours,"1,000:1",,Security Lock Eco Mode,,China Energy Label (CEL) RoHS WEEE ENERGY STAR TCO Certified Displays 5.2,Yes,388.6 mm,170°,,,"Hannspree, Inc",HX193DPB,1280 x 1024,,1.0,21.10 W,,,PC,"19"" Diagonal LED Monitor",LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",Yes,500 mW,,,,,160°,Yes,,3.76 kg,421.6 mm,,,66 mm,Yes,,,HX193DPB,Anti-glare,75 Hz,,Yes,,CECBGOSTNemko GSFCCUL3CcULus,,,Yes,,,,,500 mW,,,,2.0,,,,,,,,,,,,,,,,,,
"60003437, ST38196, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,Edge LED,NEC Display,600 cd/m²,,,"3,000:1",,Screen Saver TileMatrix Support Ambient Light Sensor,,ENERGY STAR 5.1 RoHS,Yes,537.1 mm,178°,,3 Year,NEC Display Solutions,60003437,1920 x 1080,Yes,1.0,120 W,MultiSync X401S PG (Protective Glass)Power CableSlot CoverVGA CableFree LAN Control Software (Download)Remote Control (IR),Super Patterned Vertical Alignment (S-PVA) Technology,PC,MultiSync X401S PG (Protective Glass),LCD Monitor,8 ms,Full HD,"101.6 cm (40"")",,1 W,,,,,178°,Yes,,24.40 kg,925.1 mm,,,48.3 mm,Yes,,,X401S PG,Anti-reflective,60 Hz,300 x 300,Yes,,C-tickCETUV GSFCC Class AUL/C-ULCSAPSBVCCI,Black,Yes,Yes,Yes,,MultiSync,,,,,,,,,,,,,,,,Yes,,,,,,,,
"LS22C65UDC/EN, 2773803, Samsung, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Samsung,250 cd/m²,USB Hub,16.7 Million Colours,"1,000:1",210 mm,Off Timer Eco Saving MagicBright3 MultiScreen MagicTune MagicRotation,,ENERGY STAR EPEAT Gold TCO Certified Displays,Yes,301.9 mm,178°,110 V AC 220 V AC,3 Year,Samsung,LS22C65UDC/EN,1920 x 1080,,1.0,,,AD-PLS Technology,PC,"21.5"" S22C650D Series 6 LED Business Monitor",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",No,,,,Yes,USB 2.0,178°,Yes,,3.20 kg,504.3 mm,Yes,Yes,55.5 mm,Yes,490.35 mm,Wall Mountable,S22C650D,,,100 x 100,Yes,4.75 kg,"UL (USA): UL 60950-1 CSA (Canada): CSA C22.2 No. 60950-1 TUV (Germany): EN60950-1 NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001 PSB (Singapore): IEC60950-1 GOST (Russia): IEC60950-1, EN55022 SIQ (Slovenia): IEC60950-1, EN55022 PCBC (Poland): IEC60590-1, EN55022 NOM (Mexico): NOM-019-SCFI-1993 IRAM (Argentina): IEC60950-1 SASO (Saudi Arabia): IEC60950-1 EMC
FCC (USA) FCC Part 15, Subpart B class A CE (Europe) EN55022, EN55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea): KN22, KN24 C-Tick (Australia): AS / NZS3548 (CISPR22) CCC (China): GB 9254-2008, GB 17625.1-2003",Matte Black,Yes,,No,,,,,650,,,,,,504.30 mm,,,,,,,,,,,,,,,
"9H.L9NLB.QBE, M352334, BenQ, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,BenQ,300 cd/m²,Speaker,16.7 Million Colours,"3,000:1",,Eco Mode Senseye 3 Security Lock,,ENERGY STAR TCO Certified Displays 6.0,Yes,472 mm,178°,110 V AC 220 V AC,,BenQ Corporation,9H.L9NLB.QBE,1920 x 1080,,1.0,27 W,,,PC,GW2760HS Widescreen LCD Monitor,LCD Monitor,4 ms,Full HD,"68.6 cm (27"")",Yes,300 mW,,,,,178°,Yes,,4.50 kg,623 mm,,,191 mm,Yes,,Wall Mountable,GW2760HS,,,100 x 100,Yes,,,Glossy Black,,Yes,Yes,Yes,,,,GW,,,2.0,,,,,,,,,,,,,,,,,,
"278C4QHSN/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Philips,250 cd/m²,,16.7 Million Colours,"1,000:1",197 mm,Security Lock SmartImage SmartTxt SmartKolor Ambiglow,,ENERGY STAR 5.0 WEEE RoHS EPEAT Silver TCO Certified Displays 5.2,Yes,376 mm,178°,220 V AC 110 V AC,,Philips Electronics,278C4QHSN/00,1920 x 1080,,1.0,28.20 W,,In-plane Switching (IPS) Technology,PC Mac,Brilliance LCD Monitor with Ambiglow,LCD Monitor,7 ms,Full HD,"68.6 cm (27"")",,400 mW,,,,,178°,,,5 kg,623 mm,,,44 mm,,471 mm,,278C4QHSN,,60 Hz,,Yes,5.44 kg,BSMICEFCC Class BGOSTSASOSEMKOTUV/ISO9241-307UL/cUL,,,,Yes,,Brilliance,,300 mW,,,,,,,623 mm,,,,,,,,,,,,,,,
"210-AAEB, DELU2713H, Dell, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Dell,350 cd/m²,USB Hub Card Reader,1.07 Billion Colors,"1,000:1",200.50 mm,Cable Management Security Lock PremierColor Technology,,ENERGY STAR EPEAT Gold TCO Certified Displays,Yes,538.4 mm,178°,220 V AC 110 V AC,3 Year,"Dell, Inc",210-AAEB,2560 x 1440,,1.0,130 W,"UltraSharp U2713H 68.47 cm (27"") Monitor with PremierColor Power Cable DVI-D Cable DisplayPort Cable (Mini DP to DP) USB 3.0 Upstream Cable Cable Tie Drivers and Documentation Media Colour Calibrated Factory Report Quick Setup Guide Safety Information",Advanced High Performance In-plane Switching (AH-IPS) Technology,PC,"UltraSharp U2713H 68.47 cm (27"") Monitor with PremierColor",LCD Monitor,6 ms,WQHD,"68.6 cm (27"")",,500 mW,,,Yes,USB 3.0,178°,Yes,,6.30 kg,639.3 mm,Yes,Yes,200.5 mm,Yes,378.20 mm,Wall Mountable,U2713H,Anti-glare,60 Hz,,,,,,Yes,Yes,Yes,,UltraSharp,,,,,,,,,639.30 mm,,,,,,,,,,,,,,,
"RX-W22W, AGRXW22W, AG Neovo, LCD Monitor, Kingsfield Computer Products Ltd",,,,AG Neovo,300 cd/m²,,16.7 Million Colours,"1,000:1",,,,RoHS WEEE REACH,Yes,392 mm,170°,220 V AC 110 V AC,,AG Neovo Technology Corporation,RX-W22W,1680 x 1050,,1.0,47.90 W,RX-W22 Widescreen LCD MonitorQuick GuideCD-ROM (User manual and Drivers)Power CordPower AdaptorD-Sub CableDVI-D CableCVBS BNC Connector Cable,,PC,RX-W22 Widescreen LCD Monitor,LCD Monitor,3 ms,WSXGA+,"55.9 cm (22"")",,,,,,,160°,Yes,,6.90 kg,512 mm,,,155 mm,Yes,,Wall Mountable,RX-W22,,75 Hz,100 x 100,Yes,,UL/CULTUV/BaurtTÜV-ErgoCBGOST-RFCCCEBSMI,White,,,,,,,1.99 W,RX,,,,,,,,,,,,,Yes,,,,,,,,
"220S4LCB/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,Philips,250 cd/m²,,16.7 Million Colours,"1,000:1",227 mm,TrueVision SmartErgoBase Security Lock SmartPower SmartImage,,EPEAT Gold WEEE RoHS ENERGY STAR 5.2 TCO Certified Displays 5.2,Yes,349 mm,170°,220 V AC 110 V AC,,Philips Electronics,220S4LCB/00,1680 x 1050,,1.0,15.70 W,,,PC Mac,"LCD Monitor, LED Backlight with SmartImage",LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",,100 mW,,,,,160°,Yes,,3.38 kg,504 mm,Yes,Yes,59 mm,Yes,509 mm,,220S4LCB/00,,60 Hz,100 x 100,Yes,5.20 kg,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,Black,,Yes,,,,,100 mW,S,,,,Yes,25%,504 mm,,,,,,,,,,,,,,,
"9H.L6XLA.DBE, 3017679, BenQ, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,BenQ,250 cd/m²,Speaker,16.7 Million Colours,"12,000,000:1",,Security Lock Advanced Motion Accelerator (AMA) Senseye 3 Eye-Care Flicker-free,,ENERGY STAR 5.1 TCO Displays 5.0,Yes,399.9 mm,170°,110 V AC 220 V AC,,BenQ Corporation,9H.L6XLA.DBE,1920 x 1080,,1.0,30 W,,Twisted Nematic Film (TN Film),PC,GL2250HM Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"54.6 cm (21.5"")",Yes,300 mW,,,,,160°,Yes,,3.80 kg,524.7 mm,,,173.9 mm,Yes,,Wall Mountable,GL2250HM,,,100 x 100,Yes,,,Black,,Yes,Yes,,,,,GL,,-5°to15°,2.0,,,,,,,,,,,,,,,,,,
"UM.HB6EE.001, 8654K89, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,300 cd/m²,,16.7 Million Colours,"100,000,000:1",247 mm,,,TCO Certified Displays 6.0 EPEAT Gold,Yes,381 mm,178°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.HB6EE.001,1920 x 1080,,1.0,28.50 W,B276HL Widescreen LCD Monitor1 x DVI Cable1 x Displayport Cable1 x VGA CablePower Cord,Vertical Alignment (VA),,B276HL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"68.6 cm (27"")",Yes,450 mW,,,,,178°,Yes,,4.90 kg,640 mm,Yes,Yes,62 mm,Yes,558 mm,,B276HL,Anti-glare,60 Hz,100 x 100,Yes,7.67 kg,,Dark Grey,Yes,,,,,150 mm,350 mW,B,60°,-5°to35°,,,,640 mm,,,,,,,,,,,,,,,
"D7R00AT#ABU, 3125989, HP, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,HP,250 cd/m²,USB Hub,1.07 Billion Colors,"1,000:1",242.40 mm,Security Lock,,EPA China Energy Label (CEL) TCO Certified Displays REACH WEEE,Yes,379.2 mm,178°,230 V AC 120 V AC,3 Year,Hewlett-Packard,D7R00AT#ABU,2560 x 1440,,1.0,,DreamColor Z27x Professional Display(D7R00AT) AC Power Cord DisplayPort Cable USB Cable HDMI Cable DisplayPort Mini Cable DVD Documentation Kit Factory Calibration Report,In-plane Switching (IPS) Technology,PC,DreamColor Z27x Professional Display(D7R00AT),LCD Monitor,7 ms,WQHD,"68.6 cm (27"")",,1.20 W,,,Yes,USB 3.0,178°,,,8.80 kg,641 mm,,Yes,65.5 mm,,420.40 mm,,Z27x,Anti-glare,,,,,WHQL CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC BSMI,,Yes,Yes,Yes,,Business,,,Z,45°,-5°to20°,,,,641 mm,,,,,,,,,,,,,,,
"C9V73AT#ABU, HP, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,HP,250 cd/m²,USB Hub,,"1,000:1",228.90 mm,Security Lock,,TCO Certified Displays WEEE EPEAT Gold ENERGY STAR REACH,Yes,289 mm,170°,110 V AC 220 V AC,3 Year,Hewlett-Packard,C9V73AT#ABU,1600 x 900,,1.0,30 W,Advantage E201 Widescreen LCD MonitorUSB CableVGA CableAC Power CablePrinted DocumentationCD-ROM,,,Advantage E201 Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,500 mW,,,Yes,USB 2.0,160°,,,5.20 kg,472.8 mm,Yes,Yes,51 mm,Yes,434.80 mm,,E201,Anti-glare,,,Yes,,,Black,Yes,Yes,,,Advantage,,,,,,,,,472.80 mm,,,,,,,,,,,,,,,
