<page title>,compliant standards,display position adjustments,display size,dot pitch,energy star qualified,image brightness,returns policy,warranty labor,warranty parts,color,compatibility notes,contents,product type,target use,actual weight,physical dimensions,warranty details,diagonal size,speakers included,weight,brightness nitscdm2,color support,connector,connector type,contrast ratio,display technology,display type,internal resolution max,portsconnectors,power notes,response timerate,viewing angle hv degrees,attributes,form factor,image aspect ratio,image size max,image size min,native resolution,projector type,resolution modes,screen distance min,energy star version,brightness lumens,lamp type,digital video standard,refurbished type,system requirements,horizontal frequency khz,vertical frequency hz,os notes
"Buy 3M 15"" MicroTouch C1500SS LCD Touchmonitor Serial With Slimline Monitors - LCD 11-71315-227-01 today at PC Connection",FCC Class B certified UL RoHS CE,,15 in,0.297 mm,,225 nit(s),,3 Years,3 Years,Black,,"Monitor, documentation",,,,"10.9""h x 13.8""w x 2""d",5 year parts/labor for touch screen and components,,,,,16.7 million colors,RS-232 HDDB15,VGA Serial (RS-232),500:1,LCD Touch screen,Standard,1024 x 768,"(1) RS232
(1) HDDB15","Voltage: 110-220VAC, 12VDC",,170/170,Rackmount display Touch screen,,,,,,,,,,,,,,,,,
Buy NEC Open Pluggable Specification (OPS) PC with 1.5 GHz Quad Core Digital Signage Systems & Modules OPS-PCAFQ-PH today at PC Connection,FCC Part 15 CE,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,,"No external connections required. DVI video, stereo audio, RS232 control and power are all passed internally from display to OPS device, allowing for seamless, hidden integration and simplified installation.
Powerful 1.5 GHz Quad Core AMD Fusion APU provides enough horsepower to process high-end digital signage content.
Durable and protected with an all-stainless steel chassis and integrated redundant cooling fans to protect the unit during installation, operation and service.
4GB DDR3 RAM of memory ensures the playback of high-taxing content.
DisplayPort output allows for multi-display support through ATI graphics.
Full networking capabilities through the integrated Ethernet connection.","OPS PC, documentation",Accessory,,2.50 lb(s),"2.1""h x 7.1""w x 4.6""d",,,,,,,,,,,,,"(4) USB Type A
(1) DisplayPort
(1) RJ-45 LAN",,,,,,,,,,,,,,,,,,,,,
"Buy Acer 27"" H276HL bmid Full HD LED-LCD Monitor, Black Monitors - LED-LCD UM.HH6AA.001 today at PC Connection",Energy Star EPEAT Gold,Tilt,27 in,0.3114 mm,Yes,250 cd/m2,,3 Years,3 Years,Black,Glossy screen finish.,"monitor, DVI cable, HDMI cable, VGA cable, power cord, documentation",,,,,,,,,250 nit(s),16.7 million colors,DVI HDMI Power HDDB15,HDMI VGA DVI Power,"100,000,000:1",LED-backlit LCD,Widescreen Glossy,1920 x 1080,"(1) DVI
(1) HDMI
(1) HDDB15 VGA
(1) Power in","Supply: 110-220VAC
Consumption: 29W (typ.); 0.5W (standby); 0.4W (off mode)",5 ms,178/178,Speakers Included Dual speakers,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
Buy Ergotron Steel Stud Wall Mounting Kit Stands & Mounts - AV 60-591-003 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,,"Compatible Ergotron Mounts: Neo-Flex HD Wall Mounts, LX Wall Mount Arms, 100 Series Pivots, 200 Series Wall Mounts, 400 Series Wall Mount Arms.
UL compliant: Tested to four times its maximum weight capacity per UL 1678 Specification. (Do not exceed 50 lbs/22.7 kg in actual use.)","Wall plate, (6) screws, (6) anchors, documentation",Mounting hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy HP Smart Buy 22"" P221 Full HD LED-LCD Monitor, Black Monitors - LED-LCD C9E49A8#ABA today at PC Connection",Energy Star,Tilt,21.5 in,0.248 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Essential business features:
Support your business needs at a competitive price with a large 21.5-inch diagonal LED display. Review documents side by side, read e-mails while multitasking in another window, and keep more applications open at the same time.
Compatibility with HP accessories:
Customize your work space with options like the HP Quick Release, HP Speaker Bar and HP USB Graphics Adapter (options sold separately).
Stability now, and peace of mind for the future:
Maintain product consistency across staggered deployments, ease transitions and help reduce support costs with a minimum one-year lifecycle stability commitment from HP.
Smart software for the multi-tasker:
HP Display Assistant consolidates monitor setting controls into one easy-to-use, centralized interface.
Energy efficient, environmentally aware:
Mercury-Free LED backlighting, a BFR/PVC-free design, and arsenic-free display glass are just a few of the environmental features built into this display.
Dimensions with stand: 14.9""h x 20.4""w x 6.3""d","Monitor, documentation",,,8.80 lb(s),"12.4""h x 20.4""w x 1.9""d",backlight,,,,250 cd/m2,,Power HDDB15 DVI,DVI VGA Power,,LCD LED-backlit,Widescreen,1920 x 1080,"(1) HDDB15 VGA
(1) DVI
(1) Power in","Supply: 100-240VAC
Consumption: 28W (max); 22W (typ.);",5 ms,170/160,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Acer 23"" H236HL BID Full HD IPS LED Monitor, Black Monitors - LED-LCD UM.VH6AA.003 today at PC Connection",,Tilt,23 in,,,250 cd/m2,,3 Years,3 Years,Black,"Vivid:
You'll enjoy tasks and entertainment more with fine details and smooth movement, thanks to high resolutions, fast response times and superior contrast ratios. Games are more exciting and films truly cinematic when visuals are vibrant. Plus, the widescreen aspect ratio frames movies and HDTV content perfectly.
Easy:
Set your display as you see fit with Acer eColor Management. A host of ports, including HDMI, DVI, DisplayPort and VGA, let you connect other devices -- like your notebook or HDTV -- to expand your perspective to a bigger screen. The great sights are complemented by nice sound in models that include internal speakers.
Green:
Safe for you and your world, Everyday Series monitors are RoHS compliant, use mercury-free white LED backlighting and meet ENERGY STAR 5.0 requirements. Acer EcoDisplay technologies deliver up to 68% power savings, further conserving energy and costs. Acer packaging is made of recyclable materials, too.
Glossy screen finish.","Monitor, VGA cable, DVI cable, HDMI cable, documentation",,,,,limited,,,,250 cd/m2,,DVI Power HDDB15 HDMI,VGA HDMI DVI Power,"100,000,000:1",LCD LED-backlit,Widescreen Glossy,1920 x 1080,"(1) DVI
(1) HDMI
(1) HDDB15 VGA
(1) Power in",,5 ms,178/178,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Peerless Mounting Component for VCR or DVD, Steel Stands & Mounts - AV DS45 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,Adjustable VCR mount for DS Line,"Bracket, documentation",Bracket,VCR,7.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Targus Laser Presentation Remote, Black Gray Remote Controls - Presentation AMP13US today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Gray Black,,"Remote control, receiver, documentation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Scratch & Dent AOC 16"" e1649Fwu LED-LCD Portable Monitor, USB Monitors - LED-LCD E1649FWU today at PC Connection",Plug and Play FCC RoHS EPEAT Silver,Pivot (rotation),15.6 in,0.252 mm,Yes,200 cd/m2,"This product is subject to our return policy. Please see our complete return policy for details.Should this product arrive in a condition other than described, or if it does not function for the first 30 days from the date of receipt, you must contact our Customer Care Center at 1-888-213-0259. If we are unable to resolve the issue with your Scratch & Dent product, we will issue a Return Merchandise Authorization and refund your purchase price when the item is received in our warehouse in the same condition it was in when it shipped to the customer. If the product is returned incomplete, a Restocking Fee may apply.",30 Days,30 Days,Piano black,"Ultra Slim
Foldable Stand
Mercury Free WLED
Low Power Consumption
Power Saving Mode
Auto-Pivot","Monitor, USB cable",,,2.30 lb(s),"9.3""h x 14.8""w x 1.4""d",,,,,200 cd/m2,,USB 2.0,USB 2.0,500:1,LED-backlit LCD,Portable,1366 x 768,(1) USB 2.0,Consumption: 8W (max),16 ms,90/50,Pivot,,,,,,,,,,,,,Scratch & Dent,,30-60,30-50,
Buy Joy Factory MagConnect Wall Cabinet Mount for iPad Air Stands & Mounts - AV MMA204 today at PC Connection,,,,,,,,Call for Warranty,Call for Warranty,Black,"Lightweight Strength:
MagConnect mounts are built of high-quality carbon fiber arms. This advanced material is surprisingly lightweight yet incredibly strong. The powerful combination of carbon fiber with carefully designed joints produces mounts that are both easy to maneuver and sturdy to use.
Spherical Joints:
MagConnect mounts come equipped with spherical joints for ultimate customizability. The included MagConnect iPad holder can be swiveled 360° to easily transition from portrait to landscape mode without removing it from the mount. And the sturdy carbon fiber arms can also be adjusted into infinite configurations providing you with the perfect angle every time.
Magnetic Personality:
The MagConnect locking mechanism is the next step in the evolution of mobile mounts. The technology is advanced, but using it is quite simple. First, the iPad is secured into a hard-shell case equipped with a powerful magnet. When the case is attached to a compatible product, another magnet instantly interlocks your MagConnect shell with a receiver, while a precision screw tightens for a secure fit.
Compatible with iPad Air.","mount, documentation",Wall mount,iPad Air,1.60 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Benq 32"" BL3200PT LED-LCD HD Monitor, Black Monitors - Large-Format LED-LCD BL3200PT today at PC Connection",TCO Displays 6.0,Swivel Tilt Pivot (rotation),32 in,0.276 mm,Yes,300 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Glossy black Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Ergotron Wall Track Mounting Kit for Metal or Wood Studs Stands & Mounts - AV 97-531 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,,,"(6) wood screws, (6) metal screws, documentation",Screw kit,Mount accessory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Samsung LinkStick Wirelss USB Adapter for TV Monitor & Display Accessories WIS12ABGNX/XAA today at PC Connection,,,,,,,"Due to manufacturer restrictions, all sales on this item are final.",Call for Warranty,Call for Warranty,Black,Compatible with select Samsung TVs.,"LinkStick, documentation",Wireless Adapter,,0.00 lb(s),,,,,,,,,,,,,,(1) USB,,,,,,,,,,,,,,,,,,,,,
"Buy DoubleSight Dual 22"" Standard Monitors, 1280x1024 Monitors - LCD DS-2200WA today at PC Connection",FCC,Height Tilt Pivot (rotation) Swivel,21.5 in,0.248 mm,,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy 3M 17"" Framed Privacy Filter for LCDs, Black Glare Filters & Privacy Screens PF317 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,"Actual filter viewing area dimensions excluding the frame are 13 5/8"" wide x 10 15/16"" high
This filter is designed for standard desktop monitors with screens that appear more square than rectangular
Lightweight framed filter will not change monitor position
Reduces up to 95% screen glare","Privacy filter, documentation",Display privacy filter,,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Planar Fixed Wall Mount, Black Stands & Mounts - AV 997-5546-00 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,N/A,N/A,Black,,"Mount, documentation",Wall mount,LCD Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy StarTech.com HDMI Video Over IP Gigabit LAN Ethernet Receiver Video Extenders & Splitters ST12MHDLANRX today at PC Connection,RoHS FCC CE,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Black,"Highly scalable - output an HDMI signal to over 100 additional displays (requires additional ST12MHDLANRX Receiver units, sold separately).
EDID emulation ensures maximum resolution and compatibility with your display or projector.
Stereo Audio.
Includes optional mounting hardware.
Connect through a Gigabit LAN Network, or Point-to-Point.
High Definition support for resolutions up to 1080p (1920x1080).","extender, documentation",AV Extender,,15.50 oz,,,,,,,,,,,,,,"(1) HDMI
(1) RJ-45 LAN",Supply: 100-240VAC,,,,,,,,,,,,,,,,,,,,
"Buy AOC 22"" I2267FW Full HD LED-LCD Monitor, Black Monitors - LED-LCD I2267FW today at PC Connection",TUV GS ISO 9241-307 CCC CTUVus Halogen-free EPA CB TCO Displays 6.0 BSMI FCC DDC-2B,Tilt,21.5 in,0.24795 mm,,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Silver Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy HP Smart Buy 15"" L1506X LED Monitor Monitors - LED-LCD LL543A8#ABA today at PC Connection",CB Plug and Play VCCI UL Energy Star 5.0 CCC TUV GS SASO BSMI GOST NOM EPEAT Gold FCC,,15 in,0.297 mm,Yes,400 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,,"Dimensions with stand:
13.9""h x 13.4""w x 7.9""d","Monitor, base, power cord, VGA cable, CD, documentation",,,6.80 lb(s),"11.4""h x 13.4""w x 2.4""d",,,,,400 cd/m2,,Power HDDB15,VGA Power,700:1,LED-backlit,Standard,1024 x 768,"(1) HDDB15 VGA
(1) Power","Voltage: 100-240VAC
Consumption:",8 ms,160/140,Tilt,,,,,,,,,,,,,,,30-63,50-76,
"Buy Lenovo 21.5"" E2223S Full HD LED-LCD Monitor, Black Monitors - LED-LCD 60AFHAR1US today at PC Connection",RoHS EPEAT Silver,Tilt,21.5 in,0.248 mm,Yes,200 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"100 x 100mm VESA mounting pattern.
Dimensions and weight with stand:
14.9""h x 20.3""w x 6.6""d
7.5 lbs.","monitor, documentation",,,,,,,,,200 cd/m2,16.7 million colors,HDDB15 Power DVI,DVI Power VGA,600:1,LED-backlit LCD,Widescreen,1920 x 1080,"(1) HDDB15 VGA
(1) DVI
(1) Power in","Supply: 90-264VAC, 47/63hz
Consumption: 22W (max); 19W (typ.);",5 ms,90/50,,,,,,,,,,6.0,,,Digital Visual Interface (DVI),,,,,
"Buy HP Smart Buy 23"" E231 Full HD LED-LCD Monitor, Black Monitors - LED-LCD C9V75A8#ABA today at PC Connection",Energy Star EPEAT Gold,Swivel Height Tilt Pivot (rotation),23 in,0.265 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Bring your content to life with Full-HD resolution. Get vibrant text and graphics from the LED backlit panel, which also makes the monitor thin, light, and easy to position on a desk.
Find your most comfortable working position so you can power through your day. Customizable tilt, height adjustment, swivel, and pivot settings—the most adjustability available on an HP business display—help you find your sweet spot.
Reduce power consumption and help lower your costs with an intelligent, energy efficient design that carries ENERGY STAR, EPEAT Gold, and TCO certifications.","Monitor, VGA cable, DisplayPort cable, USB cable, AC power cable, DisplayAssistant software, CD, documentation",,,13.60 lb(s),"13""h x 21.4""w x 2""d",backlight included,,,,250 cd/m2,,DVI-D HDDB15 USB Type A Power USB Type B DisplayPort,DVI-D USB VGA DisplayPort Power,1000:1,LED-backlit LCD,Widescreen,1920 x 1080,"(1) HDDB15 VGA
(1) DVI-D
(1) DisplayPort
(2) USB Type A
(1) USB Type B
(1) Power in","Supply: 90-265VAC
Consumption: 36W (max); 33W (typ.); 0.5W (standby)",5 ms,170/160,Height Adjustable,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Samsung 27"" S27D390H Full HD LED-LCD Monitor, Black Monitors - LED-LCD S27D390H today at PC Connection",,Tilt,27 in,,Yes,300 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,"Stand out with Samsung’s latest elegant Touch of Colour design:
Samsung’s newest Touch of Colour design is sure to command attention. Upholding Samsung’s ToC design legacy, the SD390 was crafted to catch the light of its surroundings in various beautiful ways, but brings a narrow bezel, slim and sleek black body and transparent neck to create a sophisticated and tasteful look that’s finished off perfectly with a subtle hint of soft pure blue along the bezel – making this unique monitor illuminate light and stand out in a way you’ve never seen before.
See more with style and functionality:
On or off, the stylish SD390 is sure to stand out wherever it is. Its narrow bezel design lets you see more of the screen while illuminating a subtle hint of soft pure blue that sets an elegant glow around the monitor. Its transparent crystal neck gently gleams in the light with a beautiful touch of blue and raises the screen to the perfect viewing level. The tilt feature increases your field of vision and maximises your viewing comfort. The SD390 will no doubt fulfill your every design desire.
Enhance your gaming experience with just one button:
Get perfect viewing for games with just one touch of a button. Game Mode adjusts your monitor’s settings instantly to give you an optimised gaming experience. Game Mode smartly detects the changes in scenes, enhances the colour and alters the screen’s contrast to make dark spots darker and light spots lighter so you can see all the action at all times. There is less lag thanks to a faster video response time that ensures that the picture keeps up with action and won’t let you down.
Be entertained from every angle:
Get the best view from any angle with the SD390. Unlike conventional monitors, your Samsung LED Monitor has an extra-wide viewing angle of 178 degrees, vertically and horizontally. This means great picture quality from even more perspectives – whether you’re sitting down low and playing games or if several people are sitting around the monitor to watch a video. Whatever the situation, you can enjoy great viewing.
Upscale your view with better quality and picture:
Magic Upscale improves image quality to such a level that you will only receive a better picture. Enjoy enhanced image quality no matter what the original picture quality is. Magic Upscale prevents image degradation when scaling up and gives only brilliant and pristine colours and images. And it also makes images on the monitor appear clearer and sharper than on a notebook. Shine with the SD360.
Versatile connectivity to handle multiple devices and content:
The Samsung SD390 monitor gives you all the connections you need to make the most of all your entertainment and other content. HDMI compatibility gives you access to games consoles, Blu-ray players and other AV devices, while a D-Sub connection mean you can plug in most PCs. You can easily connect your devices and use the monitor for working, gaming, viewing content and more.
Dimensions and weight with stand:
17.8""h x 24.6""w x 8.3""d
10.4 lbs.","monitor, VGA cable, documentation",,,9.50 lb(s),"14.8""h x 24.6""w x 3.1""d",,,,,300 cd/m2,16.7 million colors,Power HDMI HDDB15 3.5mm audio,Power VGA HDMI Headphones,1000:1,LED display,Widescreen,1920 x 1080,"(1) HDDB15 VGA
(1) HDMI
(1) 3.5mm audio
(1) Power in","Supply: 100-240VAC, 50/60Hz
Consumption: 22W (typ.); 0.3W (standby)",5 ms,178/178,,,,,,,,,,,,,,,,,,
"Buy Elite Slow-Retract Manual Projection Screen, MaxWhite, 1:1, 113"" Projector Screens M113NWS1-SRM today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,,,,,,,,"Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy HP USB Graphics Adapter Video Extenders & Splitters NL571AA today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Dark gray,,"Adapter, USB cable, DVI-to-VGA adapter, CD, documentation",Video adapter,,0.00 lb(s),"0.7""h x 2.1""w x 3.1""d",Limited.,,,,,,,,,,,,"(1) Mini USB Type B (F)
(1) DVI-I",Bus powered,,,,,,,,,,,,,,,,,"Software:
Windows Vista with Service Pack 1 (32-bit or 64-bit)
Windows XP Home or Professional (including Tablet Edition) with Service Pack 3
Hardware:
1.2GHz or higher processor clock speed, with an Intel Core 2 Duo or equivalent power CPU
512MB RAM for a single attached monitor, 1GB for two attached monitors, and more for additional attached monitors
At least one USB 2.0 port
30MB of available disk space
SVGA (800 x 600) or higher-resolution video adapter and monitor
CD-ROM or DVD drive if installing from a CD or network access if installing from a network
For Windows Vista, the Windows Experience Index must be greater than 3.0. The Windows Experience Index is found under Computer->Properties. Click on Windows Experience Index to see the Graphics Sub Index Score.",,,
Buy Planar WMT-MXL Adjustable Tilting Wall Mount for Displays up to Stands & Mounts - AV 997-3550-01 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,,200 x 200mm VESA mounting pattern.,"Mount, security barrel, documentation",Wall mount,Flat panel display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy NDS 30"" Dome S6c Diagnostic Medical LED-LCD Monitor Monitors - Medical 997-6806-00-1NN today at PC Connection",CAN/CSA C22.2 No. 60601-1 FDA 510k FCC REACH VCCI WEEE EN 60601-1 EN 60601-1-2 RoHS,Swivel Tilt Height Pivot (rotation),30 in,0.197 mm,,800 cd/m2,"Due to manufacturer restrictions, all sales on this item are final.",5 Years,5 Years,,,,,,,,,,,22.000 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy 3M 15"" MicroTouch C1500SS LCD Touch Screen Monitor Monitors - LCD 11-71315-225-01 today at PC Connection",UL CE FCC Class B certified CUL,,15 in,0.297 mm,,225 nit(s),,3 Years,3 Years,Black,,"Monitor, power cord, documentation",,,9.20 lb(s),"10.9""h x 13.8""w x 2""d",5 years on touch screen,,,,,16.2 million colors,D-Sub 15 pin USB,USB 2.0 VGA,500:1,LCD TFT,Standard,1024 x 768,(1) Power in,"Requirements: 110/220VAC (50/60Hz)
Consumption: Operational 20W; Stand by / Sleep 1W",16 ms,170/170,Touch screen,,,,,,,,,,,,,,,,,
"Buy LG 23"" MP55HQ-P Full HD LED-LCD Monitor, Black Monitors - LED-LCD 23MP55HQ-P today at PC Connection",CUL TCO06 FCC DDC/CI TUV Plug and Play,Tilt,23 in,0.2652 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,High-gloss black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Peerless Articulating Arm Wall Mount for 22-40"" Flat Panels up Stands & Mounts - AV PA740 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"Max. load capacity: 80 lbs.
Extends 15.6"" from the wall
Retracts to 2.93"" to save space
Integrated cable management keeps cables and cords out of the way
+15°, -5° of continuous one-touch tilt for optimal viewing angles
Up to 180° of swivel
VESA 75/100, 200 x 100 and 200 x 200mm compliant","Mount, VESA adapter, hardware, documentation",Wall mount arm,Flat panel display,4.60 lb(s),"9.4""h x 8.8""w x 2.9""d",Limited.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Kensington Wireless Presenter Remote Controls - Presentation 33373 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,,"Remote, USB receiver, 2 AAA batteries, documentation",,,,".75""h X 1.75""w x 4""d",Limited Warranty,,,,,,,,,,,,(1) USB type A,,,,,,,,,,,,,,,,,,,,,
"Buy 3M 15"" LCD Privacy Computer Filter Glare Filters & Privacy Screens PF15.0 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,,Notebooks or LCD displays with a 15-inch screen,"Privacy filter, documentation",Display privacy filter,,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Kensington Snap2 Blackout Privacy Filter for 22"" Flat Panels Glare Filters & Privacy Screens K55779WW today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,,"Fits up to 22"" flat panel monitors.
Bracket secures screen to differently shaped flat panel screens without hassle, adhesive or cumbersome frames.
Privacy screen narrows viewing angle to shield confidential data from on-lookers.
Hard-coated film protects sensitive flat panel screen from smudges and damage.
Textured surface with light tint to reduce glare and improves contrast.","Filter, documentation",Display privacy filter,,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Asus 22"" VK228H-CSM LED-LCD Full HD Monitor Monitors - LED-LCD VK228H-CSM today at PC Connection",WHQL VCCI TCO Displays 5.2 BSMI CB EPEAT Gold RoHS GOST-R WEEE J-MOSS CUL CCC ErP Ready C-Tick FCC,Tilt,21.5 in,0.248 mm,Yes,250 cd/m2,,Call for Warranty,Call for Warranty,Black,,,,,,,,,,,250 cd/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy 3M 12.1"" Notebook Privacy Filter Glare Filters & Privacy Screens PF12.1 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,,,"Privacy filter, documentation",Display screen filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notebook with standard 12.1"" screen.",,,
"Buy Kensington Snap2 Blackout Privacy Filter for 19"" Widescreen Flat Glare Filters & Privacy Screens K55778WW today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Limited Lifetime,Limited Lifetime,,"Top-mount bracket secures screen to monitor without hassle, adhesive or cumbersome frames.
Hard-coated surface protects sensitive flat panel screen from smudges and damage.
Fits all 19"" and most 20"" widescreen flat panel monitors and televisions.
Textured surface with light tint minimizes glare and improves contrast.
Frame-free construction clings to monitor and won't obstruct controls or speakers.
Widescreen proportions to fit the newer flat panel monitors and televisions.
Lightweight film won't fall off monitor.","Filter, documentation",Display privacy filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy ELO Touch Solutions 15"" Front Mount Bezel for 1537L Monitor & Display Accessories E323425 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,,"Unit, documentation",Bezel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Lenovo 13.3"" LT1423p LED-LCD Touchscreen Monitor, Black Monitors - LED-LCD 60A3UAR2US today at PC Connection",RoHS FCC Class B certified,,13.3 in,0.184 badge(s),,200 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Gorilla glass
10 point touch technology
Windows 8 certified
ThinkPad digitizer pen
Simple cover stand to support landscape & portrait usage
Built in typing stand
Mercury free / Arsenic free","monitor, digitizer pen, documentation",,,1.90 lb(s),"8.9""h x 13.7""w x 0.3""-0.5""d",,,,,200 nit(s),,USB 3.0,USB 3.0,500:1,LED-backlit LCD,Portable,1600 x 900,(1) USB 3.0,Consumption: 7W (max); 6W (typ.);,35 ms,150/150,Touch screen,,,,,,,,,,,,,,,,,
Buy Peerless Universal Speaker Mount For Speakers Up To 20 lbs. Stands & Mounts - AV SPK811 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,,"Mount, hardware, documentation",Mounting kit,Speaker,,"3.3""h x 2.0""w x 2.4""d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Ergotron LX Dual Stacking Arm Mount Stands & Mounts - AV 45-248-026 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Aluminum,"Max. load capacity: 7-20lbs. per monitor; 2.5-12lbs. for notebook; 40lbs. total
Mounting Standards: VESA FDMI MIS-D, 100/75, C (hole pattern: 100 x 100mm and 75 x 75mm)","(2) LCD arms and extensions, pole, desk clamp and grommet mount, notebook tray and fastening kit, documentation",Desk mount Mounting arm,Dual flat panel,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite Manual Pull-Down Projection Screen with Black Case, Matte Projector Screens M100UWV1 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Black White,,"Screen, hardware, case, documentation",Projection screen,,,"73""h x 88""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
