3d compatibility,<page title>,aspect ratio,builtin camera,builtin speakers,cable lock slot,cables included,certification,colour of product,contrast ratio dynamic,contrast ratio typical,depth,depth with stand,display,display brightness,display diagonal,display number of colours,display resolution,display technology,dvi port,dvid ports quantity,energy efficiency class,energy star certified,ethernet lan connection,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,led indicators,linux operating systems supported,manual,on screen display osd,onoff switch,operating relative humidity range,operating temperature range tt,pivot,pivot angle,plug and play,power consumption max,power consumption standby,power consumption typical,power led,quick start guide,response time,standby led,storage relative humidity range,storage temperature range tt,supported graphics resolutions,supported video modes,swivel angle range,swivelling,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,usb 20 ports quantity,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,weight,weight with stand,width,width with stand,windows operating systems supported,wireless lan connection,colour,dimensions w x d x h with stand,display srgb,display viewable area hxv,mean time between failures mtbf,package dimensions wxdxh,pixel pitch,power consumption active,power consumption off,relative humidity,backlight type,digital horizontal frequency,digital vertical frequency,displayports quantity,hdmi ports quantity,vesa mounting interfaces compatibility,wall mountable,audio output,bluetooth,builtin subwoofer,card reader integrated,epeat compliance,full hd,hdmi,headphone out,placement supported,video dot rate,viewable size horizontal,viewable size vertical,dcin jack,display diagonal metric,feet colour,handheld remote control,ac power in,number of loudspeakers,package weight,viewable size diagonal,power consumption powersave,swivel angle,ethernet lan,headphone outputs,wifi,anschlüsse,auflösung empfohlen,bildformat,blickwinkel horizontal,blickwinkel vertikal,displaygröße,eigenschaften,farbe herstellerspezifisch,gewicht netto,helligkeitleuchtstärke,kontrastverhältnis,lcd paneltechnologie bzw tm,netzteil,prüfzeichenzertifikatezulassungen,reaktionszeit,signalart,vesa bohrung,camera included,connection to pc,dvii ports quantity,horizontal scan range,power consumption,rms rated power,safety,vertical scan range,display type,number of colours,builtin microphone,compatible memory cards,microphone in,farbe allgemein,mac operating systems supported,ac adapter included,headphone connectivity,number of osd languages,on screen display osd languages,operating temperature tt,annual energy consumption,audio input,electromagnetic compatibility,packaging depth,packaging height,packaging width,mobile highdefinition link mhl,nonoperating altitude,operating altitude,operating relative humidity hh,storage temperature tt,strahlungsnorm,display surface,pc audio in,separate hv sync,syncongreen sog,maximum resolution,number of products included,screen saving functions,volume control,composite sync,power consumption average,usb 30 ports quantity,common interface ci,common interface plus ci,usb powered,glossy display,rotating,led backlight,pictureinpicture,quantity,user guide on cdrom,compatible with vesawall mounting system,effective viewing area,picture enhancement,compliance industry standards,hdready,power cord included,storage relative humidity hh,dimensions w x d x h,composite video in,svideo in,swivel,megapixel,product type,io ports,power requirements,bezel width side,bezel width top,swivel webcam,power consumption economy mode,bezel width bottom,svideo inputs quantity
N,"274E5QHSB/00 - Philips 274E5QHSB LED monitor 27"" - Xpcpro.com",16:9,N,N,Kensington,,"BSMI, CE Mark, cETLus, FCC B, GOST, SASO, SEMKO, TCO 6.0, TUV/ISO9241-307",Black,20000000:1,1000:1,46 mm,237 mm,LED,250 cd/m²,"68.6 cm 27 """,16.77 M,1920 x 1080 pixels,IPS,N,,Unspecified,Y,N,Full HD,Y,375 mm,,470 mm,50/60 Hz,100 - 240 V,Y,Y,Y,Y,Y,20 - 80 %,0 - 40 °C,,,Y,,0.5 W,24.1 W,Y,Y,5 ms,Y,,-20 - 60 °C,1920 x 1080 HD 1080,1080p,,,N,Y,-5 - 20 °,N,,1,178 °,178 °,4880 g,5100 g,622 mm,622 mm,Y,N,,,Y,,,,0.311 x 0.311 mm,,0.3 W,,W-LED,,,,1,100 x 100 mm,Y,Y,N,,,Silver,,,,,,597.89 mm,336.31 mm,,,,,,,7140 g,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,,,"RoHS, WEEE",56 - 75 Hz,,,,,,,,,,,,,,,,106 mm,546 mm,667 mm,Y,0 - 12192 m,0 - 3658 m,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,T52DEEU - Lenovo ThinkVision LT1421 - LED monitor - Xpcpro.com,16:9,,No,Kensington,,,Black,,400:1,21.5 mm,,LCD,200 cd/m²,"355.6 mm (14 "")",0.262000 M,1366 x 768 pixels,,,,,,,,,217.9 mm,,,,,,,,No,,10 - 80 %,0 - 40 °C,,,,,0.1 W,4.2 W,,,8 ms,,5 - 95 %,-20 - 60 °C,1366 х 768,,,,No,,,No,1,,90 °,50 °,840 g,,335 mm,,"Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64",,,,,,,,0.227 x 0.227 mm,,,,LED,,,,,No,No,,,,,,No,,,,,310.80 mm,175.26 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - 3657 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1 mm,12.1 mm,,,,
N,"T72MDEU - Lenovo LT2252P 55.9CM 22"" WIDE TFT - Xpcpro.com",16:10,N,N,Kensington,,"Uzbekistan, VCCI, cUL, Australian, BSMI Taiwan, Belarus, CCC China, Cambodia, China RoHS, Croatia, CE MARK Europe, CECP, CEL Tier 1 China, CSA Canada, FCC Class B US, GOST Russia, GS Germany, IC Canada, EU Dir. 2002/95/EC-RoHS, EU Dir. 2002/96/EC-WEEE,EuP,KVALITETSerbia,Kazakhstan,Kenya,Kuwait,IEC-60950,ISO 9241-307,JEITA,KC Korea,Nigeria,PSB Singapore,REACH,SASO,MPR-II,Moldova,NOM Mexico,New Zealand,TUV-S Argentina,UL,ULE Gold,Ukraine,SEMKO Sweden,South Africa,TCO Edge 1.1,TUV Germany",Black,,1000:1,241.2 mm,,LED,250 cd/m²,"55.9 cm 22 """,,1680 x 1050 pixels,,,1,Unspecified,Y,,,,367.3 mm,,,,,,Y,Y,,,10 - 80 %,0 - 40 °C,Y,,,,,20 W,Y,Y,5 ms,Y,,,"640 x 350, 720 x 400, 1600 x 900, 1024 x 768 XGA, 1152 x 864 XGA, 1280 x 1024 SXGA, 1280 x 768 WXGA, 1280 x 800 WXGA, 1366 768, 1440 x 900 WXGA, 1680 x 1050 WSXGA, 640 x 480 VGA, 800 x 600 SVGA",,,Y,N,Y,,N,,1,170 °,160 °,5890 g,,506 mm,,Y,,,,,,,,0.282 x 0.282 mm,,,,,,,1.0,,100 x 100 mm,Y,,,,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"LED26W3S-9E - V7 LED26W3S-9E LED monitor 26"" 1920 - Xpcpro.com",16:9,N,Y,Kensington,VGA,"FCC, CE, RoHS, WEEE",Black,30000000:1,,537 mm,,LED,250 cd/m²,"26 """,,1920 x 1080 pixels,,N,,Unspecified,,,Full HD,,60 mm,,,50/60 Hz,100 - 240 V,Y,,Y,,,,,,,,,,40 W,Y,,5 ms,,,,1920 x 1080 HD 1080,,,,N,,,N,,1,170 °,160 °,6490 g,,478 mm,,,,,,,,,,,,,,Edge-lit LED,,,,1,100 x 100 mm,Y,,,,,,,,,,,582 mm,376 mm,,66 cm,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 W,,,,,,,,,,Y,,,,,,Y,,704 mm,132 mm,458 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"22MB65PM-B - LG FLATRON LCD Monitor 22"" TN  1680 x - Xpcpro.com",16:10,N,Y,,"AC, Audio 3.5mm, DVI, VGA",,Black,5000000:1,1000:1,,239 mm,LED,250 cd/m²,"22 """,16.77 M,1680 x 1050 pixels,TN,Y,1,Unspecified,Y,,Full HD,Y,,Y,379 mm,47-63 Hz,90 - 264 V,,,Y,Y,,,,Y,,,,0.4 W,21 W,,,5 ms,,,,,,,,N,,,N,,1,170 °,160 °,,4700 g,,506 mm,,,,,,,,,0.282 x 0.282 mm,,0.3 W,,,30 - 83 kHz,56 - 75 Hz,,,,Y,,,,,,,,,,,473.86 mm,296.16 mm,,55.88 cm,Black,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 W,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
,X2483HSU-B1 - Iiyama X2483HSU-B1 61CM 24IN LED - Xpcpro.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HDMI mit HDCP, D-Sub 15 pol., USB, DVI-D",1.920 x 1.080,Wide 15:9/16:9/16:10,178 °,178 °,"61 cm 24""","USB-Hub, neigbar, Speaker",,"3,3 kg",250 cd/qm,3000 :1,AMVA,,,4 ms,digital/analog,100 x 100 mm,,,,,,,,,,,,,,schwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,271P4QPJKEB/00 - Philips Brilliance P-line - Xpcpro.com,16:9,Y,Y,Kensington,,"TCO edge, RoHS",Black,20000000:1,5000:1,64 mm,242 mm,LCD,300 cd/m²,"27 "" 68.6 cm",16.77 M,1920 x 1080 pixels,A-MVA,,1,Unspecified,Y,,,Y,405 mm,Y,580 mm,50/60 Hz,100 - 240 V,Y,,,Y,Y,0 - 40 %,,Y,,Y,,0.3 W,27.6 W,Y,,12 ms,Y,,-20 - 60 °C,1920 x 1080 HD 1080,1080p,,,N,,-5 - 20 °,,3,1,178 °,178 °,5100 g,7500 g,639 mm,639 mm,Y,,,,,,30000 h,,0.311 x 0.311 mm,,,20 - 80 %,W-LED,,,1.0,1,100 x 100 mm,Y,Y,,,,Gold,Y,Y,1,,,,,,,,,,2 pcs,10350 g,,,-65 - 65 °,,,,,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,,4 W,,56 - 75 Hz,,,Y,,,,Y,,,,,,,Y,,490 mm,234 mm,750 mm,,,,,,,,,Y,Y,,,,Digital,,,,,,,,,,,,,,597.89 x 336.15 mm,,"BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TUV Ergo, TUV/GS, TCO 5.2, UL/cUL, WEEE",,,,,,,,2 MP,,,,,,,,,
N,"XB2783HSU-B1 - Iiyama XB2783HSU-B1 68,6CM 27IN LED - Xpcpro.com","5:4, 16:9",N,Y,Kensington,"Audio 3.5mm, DVI, USB, VGA","TCO, CE, TÜV-GS, VCCI-B, PSE, CU",Black,5000000:1,3000:1,230 mm,,LED,300 cd/m²,"68.6 cm 27 """,16.77 M,1920 x 1080 pixels,A-MVA,Y,1,Unspecified,Y,N,Full HD,Y,400.5 mm,Y,,50/60 Hz,100 - 240 V,Y,,,Y,Y,,,Y,0 - 90 °,Y,,0.5 W,34 W,Y,Y,4 ms,Y,,,"1280 x 1024 SXGA, 1920 x 1080 HD 1080",1080p,-45 - 45 °,Y,Y,Y,-5 - 20 °,N,3,1,178 °,178 °,6000 g,,622.5 mm,,"Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64",N,,,,,,,0.277 x 0.277 mm,,,,,30 - 80 kHz,55 - 75 Hz,,1,100 x 100 mm,Y,,N,Y,,,,,1,,,335.66 mm,596.74 mm,,,,,Y,2,,686 mm,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 80 kHz,,4 W,,55 - 75 Hz,,,,,,,Y,,3.5 mm,10.0,"CHI SIMPL, CHI TR, DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,N,1.0,,,,,,,Y,,,,,,,,,,,,,,,
Y,I2367FM - AOC I2367FM Blade III S Series  LED - Xpcpro.com,16:9,N,Y,Kensington,"Audio 3.5mm, HDMI",,Silver,50000000:1,1000:1,80.8 mm,120.6 mm,LED,250 cd/m²,"23 """,16.77 M,1920 x 1080 pixels,IPS,N,,,Y,,Full HD,Y,316.6 mm,N,394.4 mm,,,,,,,,,,,,,,0.5 W,25 W,,,6 ms,,,,,,,,,,,N,,1,178 °,178 °,3750 g,,531.4 mm,531.4 mm,,,,,,,,,0.265 x 0.265 mm,,,,,,,,2,N mm,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"M2870VHE - AOC Value m2870Vhe LED monitor 28"" 1920 - Xpcpro.com",16:9,,N,Kensington,"AC, DVI, VGA","CE, Energy Star 6.0, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety",Black,50000000:1,3000:1,,241.9 mm,LED,300 cd/m²,"28 """,16.77 M,1920 x 1080 pixels,WVA,Y,1,Unspecified,Y,,Full HD,Y,,N,449.3 mm,50/60 Hz,100 - 240 V,Y,,,Y,Y,,,N,,Y,,0.5 W,27.7 W,Y,,5 ms,Y,,,1920 x 1080 HD 1080,1080p,,N,N,Y,-5 - 25 °,,,1,178 °,178 °,,4800 g,642.4 mm,642.4 mm,,,,,,,,,0.32 x 0.32 mm,,0.5 W,,W-LED,30 - 83 kHz,50 - 76 Hz,,1,100 x 100 mm,Y,,N,,,Silver,,,,,,620.9 mm,341.2 mm,,71.1 cm,,,Y,,6800 g,,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145 mm,500 mm,730 mm,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
N,200S4LMB/00 - Philips S-line 200S4LMB  LED monitor - Xpcpro.com,16:9,N,Y,Kensington,,,Black,20000000:1,1000:1,48 mm,227 mm,LCD,250 cd/m²,"19.5 """,16.77 M,1600 x 900 pixels,LCD/TFT,Y,1,,Y,,,Y,299 mm,Y,479 mm,50/60 Hz,100 - 240 V,,,,,,,,Y,,,,0.5 W,13.01 W,,,5 ms,,,,,,-65 - 65 °,Y,,Y,-5 - 20 °,N,,1,170 °,160 °,1870 g,4200 g,479 mm,479 mm,,,,,Y,,30.000 h,560 x 361 x 222 mm,0.27 x 0.27 mm,13.01 W,0.5 W,,,30 - 83 kHz,56 - 75 Hz,,,100 x 100 mm,Y,,,,,Silver,,,,,,,,,49.5 cm,Black,,,2,5990 g,,10.03 W,,,,,,,,,,,,,,,,,,,,,,,,,,,4 W,,,,,,,,,,,,21.0,"CHI SIMPL, CHI TR, CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",0 - 40 °C,,,,222 mm,361 mm,560 mm,,,,20 - 80 %,-20 - 60 °C,,,Y,Y,Y,,,,,,,,,,,,,,,,,,462 x 239.76 mm,,,,,,,,,,,,,,,,,,,
N,"UM.HB6EE.001 - Acer B276HLymdpr LED monitor 27"" - Xpcpro.com",16:9,,Y,,"DisplayPort, DVI, VGA",TCO,Black,100000000:1,,221 mm,,LCD,300 cd/m²,"69 cm 27 """,16.77 M,1920 x 1080 pixels,,,,Unspecified,,,Full HD,Y,408 mm,,,,110 - 220 V,,,,,,,,,,,,,,Y,,5 ms,,,,1920 x 1080 HD 1080,,,,N,,,,,1,178 °,178 °,4900 g,7500 g,640 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"B5M13AT#ABB - HP W2072a LED monitor 20"" 1600 x 900 - Xpcpro.com",16:9,N,N,Kensington,,"CB, CE, TUV-GS, ISO9241-307, UL/CAS, FCC, EPA, GOST, NOM, TUV-S, VCCI, KC/KCC, PSB, ISC, CCC, BSMI, C-TICK, CCC, CECP, S EPA, CEL 1",Black,3000000:1,600:1,47.8 mm,170 mm,LED,200 cd/m²,"20 """,16.77 M,1600 x 900 pixels,,Y,1,Unspecified,Y,,,,299 mm,,356.6 mm,50/60 Hz,95 - 265 V,Y,Y,Y,Y,Y,,,,,Y,26 W,,20 W,Y,Y,5 ms,Y,,,1600 x 900,,,,N,Y,5 - 35 °,N,,1,90 °,50 °,3500 g,,477.3 mm,477.3 mm,Y,,,,,,,,,,,,,,,,,,,,N,,,Silver,,,,,,,,,50.8 cm,,,Y,,,,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 - 35 °C,,,,,,,,,,20 - 80 %,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"60003584 - NEC MultiSync E224Wi LED monitor 22"" - Xpcpro.com",16:9,N,,,DVI,"TCO, RoHS",Black,,,58.5 mm,213.9 mm,LED,250 cd/m²,"21.5 """,16.77 M,1920 x 1080 pixels,,Y,1,Unspecified,Y,,Full HD,Y,301.1 mm,,474.5 mm,,,,,Y,Y,,20 - 80 %,5 - 35 °C,Y,,Y,,,26 W,,,6 ms,,10 - 85 %,-10 - 60 °C,1920 x 1080 HD 1080,1080p,,Y,,Y,,,,1,178 °,178 °,3900 g,5900 g,507.4 mm,507.4 mm,,,,,,,,,0.25 x 0.25 mm,,,,W-LED,,,,,100 x 100 mm,Y,,,,,Silver,,,,,,,,,,,,,,,,0.4 W,,,,,,,,,,,,,,,,,,,,,,,,,31.5 - 81.1 kHz,,,,56 - 76 Hz,,,,,,,,,,,,,,,,,,,,0 - 12192 m,0 - 2000 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P1905S-B2 - Iiyama P1905S-B2 48CM 19IN LED - Xpcpro.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D-Sub 15 pol., DVI-D",1.280 x 1.024,Normal 4:3/5:4,170 °,160 °,"48.3 cm 19""",,,5 kg,250 cd/qm,1000 :1,TN,intern,,5 ms,digital/analog,100 x 100 mm,,,,,,,,,,,,,,schwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,S26361-K1471-V140 - Fujitsu B19-7 LED LED monitor - Xpcpro.com,5:4,N,N,Kensington,"AC, Audio 3.5mm, DVI, VGA",RoHS,Grey,2000000:1,1000:1,64 mm,209 mm,LED,250 cd/m²,"19 """,16.77 M,1280 x 1024 pixels,IPS,Y,1,Unspecified,Y,,,Y,349 mm,Y,370 mm,50/60 Hz,100 - 240 V,Y,,,Y,,,,,,,,,17 W,,Y,8 ms,,,,"720 x 400, 1024 x 768 XGA, 640 x 480 VGA, 800 x 600 SVGA",,,Y,N,Y,-5 - 35 °,N,,1,178 °,178 °,2850 g,5480 g,414 mm,414 mm,,,,,,,,,0.293 x 0.293 mm,,,,,,,,,100 x 100 mm,Y,Y,N,,,,,,,,,375 mm,300 mm,,48.3 cm,,,Y,,7200 g,,0.27 W,,N,1.0,N,,,,,,,,,,,,,,,,,,,,,30 - 82 kHz,,,,56 - 76 Hz,,,N,,,,,,3.5 mm,,,5 - 35 °C,,Y,,,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"E2260PDA - AOC e2260Pda LED monitor 22"", 1680 x - Xpcpro.com",16:10,N,,Kensington,,"CE, FCC, GOST, RoHS, TÜV-Bauart, TÜV-GS, ISO 9241-307, TCO 5.0, cTUVus, EuP",Black,20000000:1,1000:1,,521.3 mm,LED,250 cd/m²,"22 "" 55.8 cm",16.77 M,1680 x 1050 pixels,,,,Unspecified,Y,N,HD-Ready,Y,,Y,244.6 mm,50/60 Hz,90 - 240 V,,,,Y,,,,Y,-2 - 92 °,Y,,0.4 W,15.5 W,,,5 ms,,,,1680 x 1050 WSXGA,,0 - 178 °,Y,N,Y,-5 - 15 °,N,,1,170 °,160 °,,5650 g,,507.8 mm,,N,,,,,,,0.248 x 0.248 mm,,0.34 W,,W-LED,,,,,100 x 100 mm,Y,Y,N,,N,Gold,,N,1,,146 MHz,476.64 mm,268.11 mm,,,,,,,7220 g,,,,,,,,,,,,,,,,,,,,,,,,,,1,30 - 80 kHz,,,,55 - 75 Hz,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,1 pcs,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,N,,,
N,"23MP55HQ - LG Electronics 23MP55HQ, Monitor 23"" - Xpcpro.com",16:9,N,N,Y,"AC, VGA",,Black,5000000:1,1000:1,60 mm,188 mm,LED,250 cd/m²,"23 """,16.77 M,1920 x 1080 pixels,IPS,N,,Unspecified,,,Full HD,Y,332 mm,N,436 mm,50/60 Hz,100 - 240 V,,,,Y,Y,,,,,,,0.3 W,21 W,Y,,5 ms,Y,,,1920 x 1080 HD 1080,1080p,,,N,Y,5 - 20 °,N,,1,178 °,178 °,2900 g,3200 g,544 mm,544 mm,,,,,,,,,0.2652 x 0.2652 mm,,0.3 W,,,30 - 83 kHz,56 - 61 Hz,,1,75 x 75 mm,Y,,,,,Gold,,,,,,,,Y,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,,,,56 - 75 Hz,,,,,,,,Y,3.5 mm,,,,,,,124 mm,400 mm,612 mm,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"C9E49AT#ABB - HP ProDisplay P221, LED monitor - Xpcpro.com",16:9,N,N,Y,"AC, DVI, VGA",TCO,Black,3000000:1,1000:1,47.5 mm,160 mm,LED,250 cd/m²,"54.6 cm 21.5 """,16.77 M,1920 x 1080 pixels,,,1,Unspecified,Y,N,Full HD,Y,315.2 mm,,379 mm,50/60 Hz,100 - 240 V,Y,Y,Y,Y,Y,20 - 80 %,5 - 35 °C,,,Y,28 W,0.5 W,22 W,Y,Y,5 ms,Y,,,1920 x 1080 HD 1080,1080p,,,N,Y,-5 - 25 °,N,,1,170 °,160 °,4000 g,,518 mm,518 mm,Y,N,,,,,,,0.248 x 0.248 mm,,,,,,,,,,,,N,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"UM.CV6EE.005 - Acer V196WLbmd LED monitor 19"" 1440 - Xpcpro.com",16:10,N,Y,,"AC, VGA",TCO,Black,100000000:1,,191 mm,,LED,250 cd/m²,"48.3 cm 19 """,16.77 M,1440 x 900 pixels,IPS,,,Unspecified,,,N,Y,378 mm,,,,110 - 220 V,,,,,,,,,,,,4.5 W,13 W,Y,,5 ms,,,,1440 x 900 WXGA,,,,N,,,N,,1,170 °,160 °,2700 g,3100 g,440 mm,,,,,,,,,,,,3.5 W,,,,,,,,,,,,,Gold,,,,,,,,,,,,,2 pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,22M45HQ-B - LG 22M45HQ-B  flatron LED  monitor  - Xpcpro.com,16:9,N,N,N,AC,,Black,5000000:1,1000:1,60 mm,188 mm,LED,250 cd/m²,"21.5 """,16.77 M,1920 x 1080 pixels,TN,N,1,Unspecified,,,Full HD,Y,316 mm,N,416 mm,,100 - 240 V,,,,Y,Y,,,,,Y,,0.3 W,21 W,Y,,5 ms,Y,,,1920 x 1080 HD 1080,1080p,,,N,Y,3 - 20 °,N,,1,170 °,160 °,2200 g,,509 mm,509 mm,,,,,,,,,0.248 x 0.248 mm,,0.3 W,,,,,,1,75 x 75 mm,Y,,,,,Gold,,,,,,,,Y,,Black,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,XU2290HS-B1 - Iiyama ProLite XU2290HS-1 LED - Xpcpro.com,16:9,N,Y,,"AC, Audio 3.5mm, DVI, HDMI, VGA","TCO, CE, TUV-Bauart, VCCI-B, PS",Black,5000000:1,1000:1,180 mm,,LCD,250 cd/m²,"21.5 """,16.77 M,1920 x 1080 pixels,,Y,,Unspecified,,,Full HD,Y,387.5 mm,,,50/60 Hz,100 - 240 V,,,,,,,,,,,52 W,,24 W,,Y,5 ms,,,,1920 x 1080 HD 1080,,,,N,,,N,,1,89 °,89 °,3220 g,4000 g,532.5 mm,,,,,,,,,,0.265 x 0.265 mm,,,,,30 - 80 kHz,56 - 75 Hz,,1,100 x 100 mm,Y,,,,,,,,,,,,,,58.4 cm,,,Y,2,5900 g,,,,,,,,,,,,,,,,,,,,,,,,,,,24 - 80 kHz,,2 W,,56 - 75 Hz,,,,,,,,,,,,5 - 35 °C,,Y,,127 mm,459 mm,605 mm,,,,10 - 80 %,-20 - 60 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 - 85 %,,,,,,,,,,,,,,
N,"246V5LHAB/00 - Philips V-line 246V5LHAB, LED - Xpcpro.com",16:9,N,Y,Kensington,AC,"BSMI, CE Mark, cETLus, FCC B, GOST, PSB, SASO, SEMKO, TCO, TUV/ISO9241-307, WEEE",Black,10000000:1,1000:1,63 mm,238 mm,LED,250 cd/m²,"24 "" 61 cm",16.77 M,1920 x 1080 pixels,,N,,Unspecified,Y,N,Full HD,Y,354 mm,,435 mm,50/60 Hz,100 - 240 V,Y,Y,Y,Y,Y,20 - 80 %,0 - 40 °C,,,Y,,0.3 W,21.75 W,Y,Y,5 ms,Y,,-20 - 60 °C,1920 x 1080 HD 1080,1080p,,,N,Y,-5 - 20 °,N,,1,170 °,160 °,4220 g,4650 g,565 mm,565 mm,Y,N,,,Y,,30000 h,,0.277 x 0.277 mm,,0.5 W,,W-LED,,,,1,100 x 100 mm,Y,,N,,,Silver,,,1,,,531.36 mm,298.89 mm,,,,,Y,2,6050 g,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,,4 W,RoHS,56 - 75 Hz,,,,,,,,,3.5 mm,,,,,,,131 mm,446 mm,613 mm,,0 - 12192 m,0 - 3658 m,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
