3d compatibility,<page title>,ac power in,aspect ratio,audio input,backlight type,bluetooth,builtin camera,builtin speakers,builtin subwoofer,cable lock slot,cables included,card reader integrated,certification,colour of product,contrast ratio dynamic,contrast ratio typical,depth,display,display brightness,display diagonal,display number of colours,display resolution,display technology,dvid ports quantity,energy efficiency class,energy star certified,ethernet lan,hd type,hdcp,hdmi ports quantity,height,height adjustment,horizontal scan range,input frequency,input voltage,manual,number of loudspeakers,number of osd languages,on screen display osd,on screen display osd languages,operating relative humidity hh,operating temperature tt,pivot,pivot angle,pixel pitch,plug and play,power consumption standby,power consumption typical,power led,quick start guide,response time,separate hv sync,storage relative humidity hh,storage temperature tt,supported graphics resolutions,supported video modes,swivel angle range,swivelling,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,vertical scan range,vesa mounting interfaces compatibility,vga dsub ports quantity,viewable size horizontal,viewable size vertical,viewing angle horizontal,viewing angle vertical,wall mountable,weight,width,compatible memory cards,ethernet lan rj45 ports,full hd,headphone outputs,led backlight,microphone in,package weight,packaging depth,packaging height,packaging width,product type,rms rated power,touch sensitive screen,usb 20 ports quantity,wifi,depth with stand,dimensions w x d x h with stand,display diagonal metric,display srgb,dvi port,effective viewing area,epeat compliance,headphone out,height with stand,mac operating systems supported,mean time between failures mtbf,mobile highdefinition link mhl,nonoperating altitude,onoff switch,operating altitude,package dimensions wxdxh,pc audio in,power consumption active,power consumption max,power consumption off,syncongreen sog,weight with stand,width with stand,windows operating systems supported,digital horizontal frequency,digital vertical frequency,displayports quantity,feet colour,user guide on cdrom,viewable size diagonal,power consumption powersave,standby led,display type,display viewable area hxv,power supply type,touch screen type,touchscreen technology,compliance industry standards,led indicators,quantity,relative humidity,ac adapter included,dcin jack,usb 30 ports quantity,active display area w x h,component video ypbprycbcr in,composite video in,rohs compliance,vga dsub input ports,power consumption average,display surface,compatibility,maximum screen size compatibility,minimum screen size compatibility,number of displays supported,audio output,rotating,usb version,power cord included,dimensions wxdxh,hdmi,headphone connectivity,number of products included,color gamut,omnitapps multitouch compatibility,pictureinpicture,bezel width bottom,bezel width side,bezel width top,power requirements,camera included,linux operating systems supported,ethernet lan data rates,electromagnetic compatibility,megapixel,safety,screen format adjustments,maximum resolution,placement supported,screen saving functions,height adjustment range,maximum weight capacity,pan range,rotation,glass thickness,number of colours,rs232 ports,voltage tolerance,child lock,swivel angle,mini displayport quantity,audio system,usb required,depth max,height max,mounting interface,screen size compatibility,handheld remote control,speakers,swivel webcam,input current,volume control,builtin microphone,current rating,picture enhancement,recyclable material,hdready,connection to pc,video dot rate,native resolution,composite sync,compatible operating systems,security features,viewing angle,glossy display,common interface ci,common interface plus ci,number of simultaneous touchpoints windows 7,usb powered,maximum analog resolution,cable length,interface type,annual energy consumption
No,Samsung LS22C45KBWV LED display - MBE,,16:10,,,,No No No,No No No,,,"DVI, VGA DVI, VGA",,"TCO, UL, CSA, TUV, GB, IEC",Black Black,Mega Contrast,1000:1,5.55 cm,LED,250 cd/mÂ²,"55.88 cm (22"")",16.77M,1680 x 1050 pixels,TN+Film,1.0,Unspecified,Yes,,No,No,,32.98 cm,Yes 10 cm,,50/60 Hz,100 - 240V,Yes Yes,,,,,10 - 80%,10 - 40 Â°C,Yes,-1 - 95Â°,0.282 x 0.282 mm,,0.1W,24W,,Yes Yes,5 ms,,,,1680 x 1050 (WSXGA+),,-45 - 45Â°,Yes,No,Yes,-3 - 25Â°,No No,,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,3.5 kg,50.24 cm,,,,,,,6.4 kg 6.4 kg,41.6 cm 41.6 cm,18.8 cm 18.8 cm,57.8 cm 57.8 cm,,,,,,21 cm,,,,,,Gold,,45.35 cm,,,,,,,,,,,,,5 kg,50.24 cm,,,,,,,,,,,473.7 x 296.1 mm 473.7 x 296.1 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FCC, ACE, KCC, CCC, GB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,ASUS VS228NE Full HD LED Monitor with DVI/D-Sub 5ms VESA Black (3 year manufacturer's warranty) - MBE,,16:9,,W-LED,,No No No,No No No,,Kensington Kensington,"AC, DVI, VGA AC, DVI, VGA",,"BSMI, CB, CCC, CE, C-Tick, EK, ErP, FCC, Gost-R, J-MOSS, PSB, PSE, RoHS, UL/cUL, VCCI, WEEE, WHQL",Black Black,5000000:1,,,LED,200 cd/mÂ²,"54.61 cm (21.5"")",16.77M,1920 x 1080 pixels,,1.0,Unspecified,Yes,,Full HD,Yes,,,No,30 - 80 kHz,,,Yes Yes,,,,,,,,,0.248 x 0.248 mm,,0.5W,21.1W,,,5 ms,,,,1920 x 1080 (HD 1080),,,,No,Yes,20 - -5Â°,No No,55 - 75 Hz,100 x 100 mm,1.0,,,90Â°,65Â°,Yes,,,,,,,,,,13 cm 13 cm,44.3 cm 44.3 cm,55.6 cm 55.6 cm,,,,,,20 cm,,54.6 cm,,Yes,,Gold,,38.63 cm,,,,,,,,,,,0.5W,,3.8 kg,51.41 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Asus VN279QLB 27 Widescreen Super-Slim Bezel LED Monitor - Black - MBE,,16:9,,,,No No No,Yes Yes Yes,,Kensington Kensington,"DisplayPort, USB, VGA DisplayPort, USB, VGA",,,Black Black,100000000:1,,22.55 cm,LED,300 cd/mÂ²,"68.58 cm (27"")",16.77M,1920 x 1080 pixels,IPS,,Unspecified,Yes,,Full HD,Yes,1.0,52.6 cm,Yes,,,,Yes Yes,2 2 2,,Yes Yes,,,,Yes,,0.311 x 0.311 mm,,0.5W,35W,,Yes Yes,5 ms,,,,1920 x 1080 (HD 1080),1080p,,Yes,No,Yes,-5 - 22Â°,No No,,100 x 100 mm,1.0,,,178Â°,178Â°,Yes,6.1 kg,61.92 cm,,,,,,,8.3 kg 8.3 kg,20 cm 20 cm,44.9 cm 44.9 cm,71.5 cm 71.5 cm,,4W 4W 4W,,3.0,,,,68.6 cm,,No,,,,,,,Yes,,Yes Yes,,,Yes,,,0.3W,,,,,31.5 - 67.5 kHz,56 - 75 Hz,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elo TouchSystems 1537L - MBE,,4:3,,,,,No No,,,,,"UL, cUL, FCC, CE, TÃœV-GS, VCCI, IC, C-Tick UL, cUL, FCC, CE, TÃœV-GS, VCCI, IC, C-Tick",,,500:1,,,230 cd/mÂ²,"38.1 cm (15"")",,1024 x 768 pixels,,,,,,,No No,,,,31.5 - 60.2 kHz,,12V,,,,Yes Yes,,20 - 80%,0 - 40 Â°C,,,,,,30W,,,14.5 ms,,10 - 90%,-20 - 60 Â°C,,,,,,,,,56.3 - 75 Hz,"75 x 75, 100 x 100 mm",1.0,,,140Â°,115Â°,Yes,3 kg,,,,No,,,,4.4 kg 4.4 kg,,,,,,,1.0,,,,,,,,,,,,50000h 50000h,,,,,410 x 165 x 360 mm 410 x 165 x 360 mm,,,,,,,,,,,,,,,,,LCD,304 x 228 mm,DC DC,,,,,,,,,,,,,,,,,,,,,,,,,336 x 41 x 264 mm 336 x 41 x 264 mm,,,,,,,,,,,No No,,,,,,,,,,,,,,,16.2M,1.0,,,,,,,,,,,,,,,,,,,,No,,,1024 x 768 1024 x 768,,,,,,,,,,1024 x 768 pixels 1024 x 768 pixels,,,
,Iiyama ProLite T1731SAW-B1 - MBE,,5:4,,,,,,,,,,,Black Black,,1000:1,,TN+Film,230 cd/mÂ²,"43.18 cm (17"")",,1280 x 1024 pixels,,1.0,,,,,,,,,31.5 - 80 kHz,50/60 Hz,100 - 240V,,,,,,,,,,0.264 x 0.264 mm,,,20W,,,5 ms,,,,,,,,,,-5 - 90Â° -5 - 90Â°,,56 - 75 Hz,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,5.8 kg,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,270 x 338 mm,AC AC,Tabletop Tabletop,Surface acoustic wave,,,,,,,,,,,,,,,,,,,,,,,387 x 201 x 342 mm 387 x 201 x 342 mm,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,16.7M,1.0,,,,,,,,,,,,2 x 1 W 2 x 1 W,,,,,,,,,,,,,,,,,,,,,,,,
,Acer TV T272HLbmidz - MBE,,16:9,,,,No No No,Yes Yes Yes,,Kensington Kensington,,,,Black Black,100000000:1,,5 cm,LCD,300 cd/mÂ²,"68.58 cm (27"")",16.77M,1920 x 1080 pixels,MVA,1.0,,Yes,,Full HD,,1.0,49.3 cm,No,30 - 80 kHz,,,,,,,,,,,,0.311 x 0.311 mm,,,,,,5 ms,,,,,,,,No,,-10 - 60Â°,No No,55 - 75 Hz,100 x 100 mm,1.0,,,178Â°,178Â°,Yes,,66 cm,,,,,,,,,,,,,,,,,,69 cm,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,ASUS VX239H  23 INCH  IPS  LED  1920 X 1080  ANIT GLARE  SPEAKERS  VGA  HDMI X 2  BLACK - MBE,,16:9,,,No,,Yes Yes Yes,No No No,Kensington Kensington,"Audio (3.5mm), VGA Audio (3.5mm), VGA",,Energy Star 6.0,Black Black,80000000:1,,,,250 cd/mÂ²,"58.42 cm (23"")",16.77M,1920 x 1080 pixels,,,Unspecified,Yes,No,Full HD,Yes,2.0,,,,50/60 Hz,100 - 240V,,2 2 2,,,,,,,,,,0.5W,22W,,,5 ms,,,,1920 x 1080 (HD 1080),1080p,,,,Yes,-5 - 20Â°,,,,1.0,,,178Â°,178Â°,,,,,,,1.0,,,5.7 kg 5.7 kg,12.5 cm 12.5 cm,49.3 cm 49.3 cm,60 cm 60 cm,,2W 2W 2W,,,No,21.01 cm,,58.4 cm,,,,,,38.98 cm,,,Yes,,,,,Yes,,,0.5W,,3.8 kg,53.29 cm,,30 - 80 kHz,56 - 76 Hz,,,,,,,,,,,,"BSMI, CB, CCC, CE, CEL level 1, C-Tick, CU, ErP, FCC, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)",,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elo TouchSystems 2243L - MBE,,,,LED,,,,,,,,,Black Black,,1000:1,"109.22 cm (43"") 109.22 cm (43"")",,225 cd/mÂ²,"54.61 cm (21.5"")",16.77M 16.77M,1920 x 1080 pixels,,1.0,,,,,,,"7.5692m (298"") 7.5692m (298"")",,,50/60 Hz,100 - 240V,,,,Yes Yes,,20 - 80%,0 - 40 Â°F 0 - 40 Â°C 0 - 40 Â°F,,,,,,,,,5 ms,,10 - 90%,-20 - 60 Â°C,"720 x 576, 1280 x 960, 1366 x 768, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1440 x 900 (WXGA+), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA) 720 x 576, 1280 x 960, 1366 x 768, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1440 x 900 (WXGA+), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)",,,,,,,,,100 x 100 mm,1.0,,,,,Yes,,"13.0048m (512"") 13.0048m (512"")",,,Yes,,Yes,,7 kg 7 kg,,,,,,,,,,,,,,,,,,,50000h 50000h,,,,,200 x 620 x 430 mm 200 x 620 x 430 mm,,,,,,,,,,,,,,,,,LCD,,DC DC,,Capacitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,HP Compaq LA1956x - MBE,,5:4,,,,No No No,No No No,,Yes Yes,,,,,1000000:1,1000:1,4.7 cm,LCD,250 cd/mÂ²,"48.26 cm (19"")",16.77M,1280 x 1024 pixels,,1.0,,Yes,,No,No,,34.7 cm,Yes,,50/60 Hz,100 - 240V,,,,Yes Yes,,20 - 80%,5 - 35 Â°C,,,0.294 x 0.294 mm,Yes Yes,0.5W,27W,,,5 ms,,,,1280 x 1024 (SXGA),,-180 - 180Â°,,No,,-5 - 25Â°,No No,,,1.0,,,170Â°,160Â°,,4.5 kg,41.7 cm,,,,,,,,,,,,,,2.0,,19.2 cm,,48.3 cm,,,,Gold,,48.6 cm,,,,,,,,,,,,,,41.7 cm,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,NEC EA274WMi - MBE,,16:9,,W-LED,,No No No,Yes Yes Yes,,Kensington Kensington,"DVI, VGA DVI, VGA",,"- CE, ErP, FCC, MPR II/ MPR III, RoHS, TÃœV, UL/C-UL, ISO 9241-307, PCT/Gost, TCO 6.0",Black Black,2500:1,1000:1,23 cm,LED,350 cd/mÂ²,"68.58 cm (27"")",16.77M,2560 x 1440 pixels,IPS,1.0,Unspecified,Yes,,,,1.0,41.79 cm,Yes 13 cm,31.5 - 83 kHz,50/60 Hz,120 - 220V,,2 2 2,,,,20 - 80%,5 - 35 Â°C,Yes,0 - 90Â°,0.233 x 0.233 mm,Yes Yes,35W,44W,,,6 ms,,,,"832 x 624, 1920 x 1440, 2560 x 1440, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1600 x 1200 (UXGA), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)",,170 - 170Â°,Yes,No,,5 - 30Â°,No No,56 - 75 Hz,100 x 100 mm,1.0,,,178Â°,178Â°,Yes,8.7 kg,63.92 cm,,,,1.0,,,,,,,,1W 1W 1W,,2.0,,,,68.5 cm,,Yes,,Gold,,,,,,,,,,,,57W,,,,,,,,1.0,,,,0.5W,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Iiyama ProLite E2083HD-1 - MBE,,16:9,,,No,,No No No,,Kensington Kensington,"AC, VGA AC, VGA",,,Black Black,5000000:1,1000:1,20.3 cm,LED,250 cd/mÂ²,"49.53 cm (19.5"")",16.77M,1600 x 900 pixels,TN+Film,1.0,Unspecified,Yes,No,,Yes,,36 cm,,,50/60 Hz,100 - 240V,Yes Yes,,10 10,Yes Yes,,,,,,0.271 x 0.271 mm,,1W,15W,,Yes Yes,5 ms,Yes,,,1600 x 900,,,,,Yes,-5 - 22Â°,,,100 x 100 mm,1.0,43.39 cm,23.63 cm,170Â°,160Â°,Yes,2.6 kg,46.95 cm,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,30 - 80 kHz,55 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS VX239H-W23 INCH wide screen(16:9) IPS SPEAKERS 2W x 1 HDMIMHLx2  D-Sub White - MBE,,16:9,,,No,,Yes Yes Yes,No No No,Kensington Kensington,"HDMI-DVI, MHL, VGA HDMI-DVI, MHL, VGA",,"BSMI, CB, CCC, CE, CEL level 1, C-Tick, CU, ErP, FCC, RoHS, UL/cUL, VCCI, WEEE, WHQL",White White,80000000:1,,21.01 cm,LED,250 cd/mÂ²,"58.42 cm (23"")",16.77M,1920 x 1080 pixels,IPS,,Unspecified,Yes,No,Full HD,Yes,2.0,38.98 cm,,30 - 80 kHz,50/60 Hz,100 - 240V,,2 2 2,,,,,,,,0.2652 x 0.2652 mm,,,22W,,Yes Yes,5 ms,,,,1920 x 1080 (HD 1080),"1080i, 1080p",,,No,Yes,-5 - 20Â°,,56 - 76 Hz,,1.0,,,178Â°,178Â°,,3.8 kg,53.29 cm,,,,1.0,,,5.7 kg 5.7 kg,12.5 cm 12.5 cm,49.3 cm 49.3 cm,60 cm 60 cm,,1W 1W 1W,,,No,,,58.4 cm,Yes,No,,,,,,,Yes,,,,,Yes,,,0.5W,,,,,30 - 80 kHz,56 - 76 Hz,,White White,,,0.5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"LG 24"" E2411PU-BN LED/TFT Monitor - MBE",Yes,"4:3, 16:9",,,,No No No,Yes Yes Yes,,,,,"UL, CSA, SEMKO, NEMKO, CE",Black Black,5000000:1,1000:1,6.3 cm,LCD,250 cd/mÂ²,"60.96 cm (24"")",16.77M,1920 x 1080 pixels,,1.0,,Yes,,Full HD,,,34.2 cm,,,50/60 Hz,100 - 240V,Yes Yes,2 2 2,,Yes Yes,,,,Yes,0 - 90Â°,0.277 x 0.277 mm,Yes Yes,0.3W,30W,Yes Yes,Yes Yes,5 ms,,,,1920 x 1080 (HD 1080),,,,No,,-5 - 20Â°,No No,,,1.0,53.14 cm,29.9 cm,170Â°,160Â°,Yes,3.67 kg,56.9 cm,,,,,,,6.35 kg 6.35 kg,23.1 cm 23.1 cm,41.3 cm 41.3 cm,63.8 cm 63.8 cm,,2W 2W 2W,,,,27.1 cm,,,,,,,,43.3 cm,,,,,,,,Yes,,,0.3W,,5.09 kg,56.9 cm,,30 - 83 kHz,56 - 75 Hz,,,,60.96 cm,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Acer Everyday G237HL - MBE,,16:9,,,,No No No,No No No,,,,,,White White,100000000:1,,,LED,250 cd/mÂ²,"58.42 cm (23"")",16.77M,1920 x 1080 pixels,IPS,,Unspecified,,,Full HD,,1.0,,No,,,110 - 220V,,,,,,,,,,,,0.49W,25W,Yes Yes,,6 ms,,,,1920 x 1080 (HD 1080),,,,No,Yes,-5 - 25Â°,No No,,,1.0,,,178Â°,178Â°,,,,,,,,,,,,,,,,,,,18.5 cm,,,,No,,,,40.2 cm,,,,,,,,,,,,,,53.2 cm,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,HP ProDisplay P221 - MBE,,16:9,,,,No No No,Yes Yes Yes,,Yes Yes,,,TCO,Black Black,3000000:1,1000:1,4.75 cm,LED,250 cd/mÂ²,"54.61 cm (21.5"")",,1920 x 1080 pixels,,,Unspecified,Yes,,Full HD,Yes,,31.52 cm,,,,100 - 240V,,2 2 2,,,,20 - 80%,-5 - 25 Â°C,,,0.248 x 0.248 mm,Yes Yes,0.5W,22W,,,5 ms,,,,1920 x 1080 (HD 1080),,,,No,,,No No,,,1.0,,,170Â°,160Â°,,4 kg,51.8 cm,,,,,,,,,,,,1W 1W 1W,,,,16 cm,,,,,,Gold,,37.9 cm,,,,,,,,,,28W,,,,51.8 cm,,,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acer 3D T232HLbmidz - MBE,,16:9,,,,No No No,Yes Yes Yes,,,,,,Black Black,100000000:1,1000:1,5 cm,LED,250 cd/mÂ²,"58.42 cm (23"")",,1920 x 1080 pixels,IPS,1.0,,Yes,,Full HD,,1.0,45.5 cm,No,54.2 - 83.8 kHz,,110 - 220V,,2 2 2,,,,,,,,0.265 x 0.265 mm,,0.53W,25.4W,,,5 ms,,,,,,,,No,,-8 - 60Â°,No No,49 - 75 Hz,100 x 100 mm,1.0,,,178Â°,178Â°,Yes,5.7 kg,57.4 cm,,,,,,,,,,,,1.5W 1.5W 1.5W,,,,,,58 cm,,Yes,,,,,,,,,,,,,,,0.48W,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Viewsonic LED LCD VA2246M-LED LED display - MBE,Yes,16:9,Yes,W-LED,No,No No No,,,,"AC, Audio (3.5mm), VGA AC, Audio (3.5mm), VGA",No No,"CE, CB, WEEE, RoHS, REACH SVHC List, TCO5.1, ENERGY STAR 5.0, UL, cUL, FCC-B / ICES-003B, TUV-S, Nemko ERGO, GOSTR+, UkrSEPRO, ErP, CCC, CEL 1, BSMI, PSB, C-tick, KC",Black Black,10000000:1,1000:1,4.83 cm,LED,250 cd/mÂ²,"55.88 cm (22"")",,1920 x 1080 pixels,,1.0,Unspecified,Yes,No,Full HD,Yes,,31.66 cm,No,,50/60 Hz,100 - 240V,,,,Yes Yes,,10 - 90%,0 - 40 Â°C,No,,,Yes Yes,,26W,,Yes Yes,5 ms,Yes,,,1920 x 1080 (HD 1080),1080p,,No,No,Yes,-5 - 18Â°,No No,,100 x 100 mm,1.0,47.8 cm,26.9 cm,170Â°,160Â°,Yes,3.1 kg,50.96 cm,No No,,,,,,4.7 kg 4.7 kg,11.4 cm 11.4 cm,39.1 cm 39.1 cm,56.5 cm 56.5 cm,,,,,No,19.76 cm,,55.88 cm,,Yes,,,,36.61 cm,Yes Yes,40000h 40000h,,,Yes Yes,,,,,34W,,,3.5 kg,50.96 cm,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",24 - 82 kHz,50 - 75 Hz,,,,54.6 cm,12W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,ASUS VK228H 21.5 INCH LED INTEGRATED WEBCAM 1920 X 1080 5MS MULTIMEDIA VGA DVI HDMI 100 X 100 VESA BLACK - MBE,Yes,16:9,,,No,Yes Yes Yes,Yes Yes Yes,,Kensington Kensington,"AC, Audio (3.5mm), DVI, USB, VGA AC, Audio (3.5mm), DVI, USB, VGA",,"UL/cUL, CB, CE, ErP, BSMI, Gost-R, C-Tick, VCCI, J-MOSS",Black Black,80000000:1,,4.84 cm,LED,250 cd/mÂ²,"54.61 cm (21.5"")",16.77M,1920 x 1080 pixels,,1.0,,Yes,No,Full HD,Yes,1.0,38.722 cm,,30 - 82 kHz,50/60 Hz,100 - 240V,Yes Yes,2 2 2,,,,10 - 80%,0 - 40 Â°C,,,0.248 x 0.248 mm,Yes Yes,0.5W,25W,Yes Yes,Yes Yes,5 ms,,5 - 90%,-20 - 60 Â°C,1920 x 1080 (HD 1080),1080p,,,No,,20 - -5Â°,No No,50 - 76 Hz,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,3.1 kg,51.41 cm,,,,1.0,,,5.2 kg 5.2 kg,13 cm 13 cm,44.3 cm 44.3 cm,56.6 cm 56.6 cm,,2W 2W 2W,,1.0,No,20.06 cm,,54.6 cm,,,,Gold,,38.722 cm,Yes Yes,,,,Yes Yes,,,Yes,,,,,,51.41 cm,Yes Yes,,,,,,,,Yes Yes,,,,,,TCO 5.2,Yes Yes,,,,,,,,,,,,,,,,,,,,,,Yes Yes,3.5 mm,1 pc(s) 1 pc(s),,,,,,,,,Yes Yes,,"FCC, CCC",1 MP 1 MP 1 MP,"RoHS, WEEE",4:3 4:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Samsung S24C650PL - MBE,,16:9,Yes,,,No No No,Yes Yes Yes,,,"Audio (3.5mm), USB, VGA Audio (3.5mm), USB, VGA",,,Black Black,Mega Contrast,1000:1,5.545 cm,LED,250 cd/mÂ²,"59.94 cm (23.6"")",16.77M,1920 x 1080 pixels,PLS,,B,,,Full HD,,1.0,33.05 cm,Yes 13 cm,,50/60 Hz,100 - 240V,Yes Yes,2 2 2,,Yes Yes,,10 - 80%,10 - 40 Â°C,Yes,-1 - 95Â°,0.2715 x 0.2715 mm,,0.3W,35W,,Yes Yes,5 ms,,,,1920 x 1080 (HD 1080),,-45 - 45Â°,Yes,No,Yes,-3 - 25Â°,No No,,100 x 100 mm,1.0,52.128 cm,29.322 cm,178Â°,178Â°,Yes,3.75 kg,55.46 cm,,,,,,,6.9 kg 6.9 kg,40.6 cm 40.6 cm,18.5 cm 18.5 cm,63.2 cm 63.2 cm,,2W 2W 2W,,2.0,,22.4 cm,,,,No,,,,,,,,,,,,,,,,,5.45 kg,55.46 cm,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6 kWh
,Benq XL2430T - MBE,,16:9,,,,No No No,,,,"DVI, USB DVI, USB",No No,EnergyStar 6.0,"Black, Red Black, Red",12000000:1,1000:1,19.9 cm,LED,350 cd/mÂ²,"60.96 cm (24"")",16.77M,1920 x 1080 pixels,TN,,Unspecified,Yes,No,Full HD,Yes,2.0,52 cm,Yes 14 cm,15 - 140 kHz,,90 - 264V,,,17 17,Yes Yes,,,,Yes,0 - 90Â°,0.276 x 0.276 mm,,,50W,,,1 ms,,,,1920 x 1080 (HD 1080),,-45 - 45Â°,Yes,No,Yes,-5 - 20Â°,,24 - 144 Hz,100 x 100 mm,1.0,53.1 cm,29.8 cm,170Â°,160Â°,Yes,7 kg,56.8 cm,,,,1.0,,Yes,9.6 kg 9.6 kg,,,,,,,1.0,,,,,,Yes,,,,,,,,,,,,,,,0.5W,,,,Yes Yes,,,1.0,,,,0.5W,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
