<page title>,ac power in,altezza,altezza con supporto,altezza imballo,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,consumi,consumi modalità spento,consumi modalità standby,dimensioni schermo,dot pitch,formato,fotocamera integrata,guida rapida,hdcp,inclinazione,inclinazione regolabile,indicatore led alimentazione,interruttore integrato,intervallo di scansione verticale,larghezza,larghezza con supporto,larghezza imballo,led standby,luminosità schermo,manuale dellutente,modalità video supportate,montabile a parete,peso,peso incluso imballo,peso prodotto con supporto,plug play,porta dvi,profondità,profondità con supporto,profondità imballo,quantità porte vga dsub,range di scansione orizzontale,rapporto di contrasto,rapporto di contrasto dinamico,risoluzione,risoluzioni grafiche supportate,sintonizzatore tv integrato,sistema operativo windows supportato,tecnologia display,tempo di risposta,thin client installato,thin client thin client installato no,tipologia display,tipologia hd,voltaggio di ingresso,angolo di rotazione,certificazione energy star,conformità epeat,girevole,pivot angle,quantità displayports,quantità porte dvid,quantità porte usb 20,regolazione altezza,rotazione,source datasheet,thin client thin client installato n,altoparlante cuffia spinotto di uscita,area di visualizzazione effettiva,consumi modalità risparmio energetico,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,ingresso audio per pc,intervallo di temperatura,intervallo temperatura di funzionamento,lingue osd,mtbf,numero di altoparlanti,on screen display osd,potenza in uscita rms,schermo srgb,sync hv separato,syncongreen sog,umidità relativa,dimensioni schermo cm,mobile highdefinition link mhl,altre caratteristiche source datasheet,bluetooth,collegamento ethernet lan,colore del piede,dimensione visibile orizzontale,dimensione visibile verticale,guida utente su cdrom,indicatori led,lettore di schede integrato,quantità porte hdmi,range di umidità di funzionamento,wifi,cavo alimentazione incluso,dimensione visibile diagonale,thin client,tipologia di retroilluminazione,connessione wlan,dot rate video,microfono spinotto dingresso,tipi schede di memoria,alimentazione,angolo visuale,dimensioni imballo lxpxa,dimensioni lxpxa,conforme agli standard,consumi modalità attivo,consumo energetico max,ingresso audio,materiale riciclabile,connessione cuffia,quantità porte usb 30,subwoofer incorporato,uscita audio,performance,design colore del prodotto nero,altitudine di funzionamento,altitudine di nonfunzionamento,lunghezza cavo,numero di lingue osd,umidità,microfono incorporato,display surface,sistema operativo linux supportato,compatibilità sistema operativo mac,condizioni ambientali,dimensioni lxpxa con base,compatibilità elettromagnetica,sicurezza,certificati di sicurezza certificazione energy star si,numero di prodotti inclusi,quantità,hdmi,contenuto dellimballo cavi inclusi ac vga,adattatore acdc,pictureinpicture,funzione risparmio,miglioramento dellimmagine,posizionamento supportato,risoluzione massima,certificati di sicurezza,dcin jack,altre caratteristiche quantità 1 source datasheet,megapixel,interfaccia comune,cable lock slot type,capacità totale hard disk,famiglia processore,full hd,intel antitheft technology,intel hyperthreading technology,intel identity protection technology,intel my wifi technology,intel rapid start technology,intel small business advantage sba,intel smart connect technology,intel smart response technology,intel turbo boost technology,intel visual technologies,intel vpro technology,intel wireless display technology,megapixel totali,mouse incluso,numero di core del processore,processore,quantità porte ethernet lan rj45,ram installata,retroilluminazione a led,sistema operativo incluso,supporto di memoria,tecnologia touch,tipo di ram,touch screen,velocità processore,controllo del volume,consumo energia modalità economica,convenienza,dimensioni altoparlante centrale l x a x p,ingresso segnale,materiali della confezione riciclabili,peso contenzione inclusa,peso schermo con supporto,prodotto senza piedistallo kg,regulatory approvals,risoluzione consigliata,segnale ingresso sincronizz video,smartcontrast,specificazioni ambientali,supporto lingue,networking connessione wlan n collegamento ethernet lan n,tipo di prodotto,common interface plus ci,webcam girevole,altre caratteristiche,colore,connessioni audio,mhl specification,smartresponse
Philips Philips 272C4QPJKAB 272C4QPJKAB 00 Planet Computer.it,,405 mm,495 mm,557 mm,Si,178 °,178 °,Kensington,,"PowerSensor, RoHS",Non specificato,Nero,16.77 M,100 x 100 mm,N,38 W,,0.4 W,68.58 cm,0.233 x 0.233 mm,16:9,Si,Si,Si,20 - 5 °,Si,Si,,,639 mm,5600 mm,712 mm,Si,300 cd/m²,Si,,Si,5.6 kg,8.4 kg,6.3 kg,,Si,64 mm,197 mm,132 mm,,,1000:1,20000000:1,2560 x 1440 Pixels,,N,,PLS,12 ms,N,,LCD,Wide Quad HD,100 - 240 V,,Si,Argento,,,1.0,,,N,,.,,,,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,,30.000 h,2.0,Si,4 W,Si,Si,Si,20 - 80 %,,,,,,Nero,596.74 mm,335.66 mm,,"Operation, Potenza, Stand-by",,2.0,20 - 80 %,,,,Thin client installato N,W-LED,,,Si,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,1.0,,,,,,,,,,,"Design
Colore del prodotto Nero
colore del piede Nero",2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg Electronics LG 27MP75HM-P monitor piatto per PC 27MP75HM-P.AEU Planet Computer.it,,"37,2 cm","47,4 cm","45,7 cm",Si,178°,178°,Kensington,"AC, VGA",,Non specificato,Nero,"16,77M",100 x 100 mm,No,29W,"0,3W","0,3W","68,58 cm (27"")","0,3114 x 0,3114 mm",16:9,No,Si,Si,-5 - 15°,Si,,,56 - 75 Hz,"62,3 cm","62,3 cm","70,6 cm",,250 cd/m²,Si,,Si,"4,6 kg","7,89 kg","5,6 kg",Si,No,7 cm,"18,2 cm","15,2 cm",1.0,30 - 83 kHz,1000:1,10000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,,IPS,5 ms,No,,LCD,Full HD,,,Si,Oro,,,,,,,,,,1,,,,30 - 83 kHz,56 - 61 Hz,,,,,,,Si,10W,,,,,68 cm,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,43W,,,3.5 mm,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Lenovo ThinkVision LT2323p T24HDIT Planet Computer.it,,372.3 mm,,210 mm,N,170 °,160 °,Kensington,"AC, DVI, USB, VGA","ISO, WEEE, RoHS, REACH, EuP, ULE Gold, CSC, TCO, EPEAT Gold, GHG, ECO",,Nero,16.77 M,100 x 100 mm,N,20 W,,0.5 W,58.4 cm,0.265 x 0.265 mm,16:9,N,Si,,-5 - 30 °,,Si,Si,,546 mm,,655 mm,Si,250 cd/m²,Si,,Si,5.74 kg 5.74 kg,8.1 kg,,Si,,52.3 mm,,451 mm,1.0,,1000:1,,1920 x 1080 Pixels,"640 x 350, 720 x 400, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1360 x 768 (WXGA), 1440 x 900 (WXGA+), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)",N,,TN+Film,5 ms,N,,,Full HD,96 - 264 V,-45 - 45 °,Si,,,-90 - 90 °,1.0,,,,Si,.,"Altre caratteristiche
Source data-sheet .
Peso 5.74 kg",,,,50/60 Hz,,,,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, RUS",,,Si,,,Si,N,,,,,,,,473.76 mm,296.1 mm,,Si,,,10 - 80 %,,,584 mm,,,,,,,,,,,DDC/CI,,38 W,,,,,,,,,0 - 3000 m,,1.8 m,8.0,5 - 95 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 278C4QHSN 00 278C4QHSN 00 Planet Computer.it,,"37,6 cm","47,1 cm","52,7 cm",No,178°,178°,Kensington,,"EPEAT Silver, RoHS, EnergyStar 5.0, Lead-free, Mercury Free",Non specificato,Nero,"16,77M",No,No,"28,2W","0,3W","0,4W","68,6 cm","0,311 x 0,311 mm",16:9,No,,No,-5 - 20°,,Si,,56 - 75 Hz,"62,3 cm","62,3 cm","66,8 cm",Si,250 cd/m²,,,No,5 kg,"8,84 kg","5,44 kg",Si,,"4,4 cm","19,7 cm",10 cm,1.0,30 - 83 kHz,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,Si,IPS,7 ms,No,,LCD,Full HD,100 - 240V,,Si,Argento,,,,,,No,,,,,"597,89 x 336,31 mm",,50/60 Hz,,,,-20 - 60 °C,,,30000h,,Si,,,Si,Si,20 - 80%,,,,,,,,,,Si,,3.0,0 - 40%,,,,,W-LED,,,,,,,,,"BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TCO 5.2, TUV/ ISO9241-307, UL/cUL, WEEE",,,Si,,,,,Si,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq Benq BL2710PT 9H.LAALB.RBE Planet Computer.it,Si,525 mm,,484 mm,Si,178 °,178 °,Kensington,,TCO 6.0,Non specificato,Nero,1070 M,100 x 100 mm,N,,,,68.58 cm,0.2331 x 0.2331 mm,16:9,N,,Si,-5 - 20 °,Si,,,,639 mm,,709 mm,,350 cd/m²,,,Si,8.2 kg,11 kg,,,Si,259 mm,,241 mm,1.0,,,1000:1,2560 x 1440 Pixels,2560 x 1440,N,,IPS,12 ms,N,,LED,,90 - 264 V,-45 - 45 °,Si,,Si,,1.0,,2.0,Si 150 mm,,,,1,,,,,,,,,,,2.0,Si,6 W,,,,,,,,,,,,,,,,1.0,,,,,Thin client installato N,,,,,,,,,,,,,Si,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC I2476VW I2476VW Planet Computer.it,,,,,,178°,178°,,,,,,"16,77M",,No,,,,"59,94 cm (23.6"")","0,2715 x 0,2715 mm",16:9,,,Si,,,,,50 - 76 Hz,,,,,250 cd/m²,,1080p,,,,,,,,,,,30 - 83 kHz,1000:1,50000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,,6 ms,,,LED,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,9 cm",,,,,,"52,128 cm","29,322 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP ProDisplay P201 C9F26AT ABB Planet Computer.it,Si,294.1 mm,359.2 mm,,N,170 °,160 °,Si,"AC, DVI, VGA",TCO,Non specificato,Nero,16.77 M,,N,20 W,,0.5 W,50.8 cm,0.2768 x 0.2768 mm,16:9,N,Si,Si,-5 - 25 °,Si,Si,Si,,482 mm,482 mm,,Si,250 cd/m²,Si,,,3.5 kg,,,Si,,47.5 mm,151.1 mm,,1.0,,1000:1,3000000:1,1600 x 900 Pixels,1600 x 900,N,Si,,5 ms,N,,LED,N,100 - 240 V,,Si,,,,,1.0,,,,.,,,,,50/60 Hz,,,,,5 - 35 °C,,,,Si,,,,,,,,"Dimensioni e peso
Profondità (con supporto) 151.1 mm
Altezza (con supporto) 359.2 mm
Larghezza (con supporto) 482 mm
Profondità 47.5 mm
Larghezza 482 mm
Altezza 294.1 mm
Peso 3.5 kg",N,N,,,,,Si,,,20 - 80 %,,,,,,N,,,,,,,,,,22 W,,,,,,,,,,,,,,,Matt,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 220B4LPCS 220B4LPCS 00 Planet Computer.it,,349 mm,509 mm,391 mm,Si,170 °,160 °,Kensington,,"BSMI, CE, FCC B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE, RoHS",,Argento,16.77 M,100 x 100 mm,N,15.8 W,,0.3 W,55.9 cm,0.282 x 0.282 mm,16:10,N,,Si,-5 - 20 °,,Si,,,504 mm,504 mm,565 mm,Si,250 cd/m²,,,Si,3.38 kg,7.05 kg,5.2 kg,Si,Si,59 mm,227 mm,186 mm,1.0,,1000:1,20000000:1,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),,Si,,5 ms,,,LCD,N,100 - 240 V,-65 - 65 °,Si,Oro,,,,1.0,2.0,Si 110 mm,Si,.,,1,473.76 x 296.1 mm,11.7 W,50/60 Hz,30 - 83 kHz,56 - 75 Hz,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,2.0,Si,3 W,Si,Si,Si,20 - 80 %,,,,,,,,,,,,,,,,,,W-LED,,,,,,,,,,,,,,,,,,,,0 - 3658 m,,,,,,,,Si,"Umidità relativa 20 - 80 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Altitudine di funzionamento 0 - 3658 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philips Philips 231P4QPYKES Display Full HD P-line 58,4 cm  23   Monitor LCD IPS",,343 mm,515 mm,400 mm,Si,178 °,178 °,Kensington,,"RoHS, BSMI, CE, FCC B, GOST, SASO, SEMKO, TUV Ergo, TUV/GS, TCO 5.2, UL/cUL, WEEE",Non specificato,,16.77 M,100 x 100 mm,N,29.1 W,,0.3 W,58.4 cm,0.265 x 0.265 mm,16:9,Si,,Si,-5 - 20 °,Si,Si,,56 - 75 Hz,547 mm,547 mm,600 mm,Si,250 cd/m²,,1080p,Si,3.09 kg,5.23 kg,7.7 kg,Si,,60 mm,220 mm,263 mm,1.0,30 - 83 kHz,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,Si,IPS,7 ms,N,,LCD,Full HD,100 - 240 V,-65 - 65 °,Si,Oro,Si,0 - 90 °,1.0,1.0,3.0,130 mm Si,Si,.,,1,509.18 x 286.41 mm,18 W,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,2.0,Si,3 W,Si,Si,Si,20 - 80 %,,,,,,,,,,Si,,,,,,,,W-LED,,,Si,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,"Umidità relativa 20 - 80 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C",,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus ASUS MX239H 90LMGC051L010O1C- Planet Computer.it,,,,,,178°,178°,,,,,,"16,77M",,No,,,,"58,42 cm (23"")","0,2652 x 0,2652 mm",16:9,,,Si,,,,,50 - 75 Hz,,,,,250 cd/m²,,1080p,,,,,,,,,,,28 - 83 kHz,,80000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,IPS,5 ms,,,LCD,Full HD,,,,,,,,,,,,,,,,,,28 - 83 kHz,,,,,,,,,,,,,,"58,4 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP Z23i D7Q13AT ABB Planet Computer.it,Si,329 mm,469.9 mm,518 mm,N,178 °,178 °,Kensington,AC,"CB, CE, CEL Grade 1, TUV, GS, TCO, GOST, CUL, FCC, E-Star 5.0, CSA, NOM, S-Mark, VCCI, MIC, PSB, ISC, CCC, BSMI, C-Tick, ICES, Microsoft WHQL, TCO",Non specificato,Nero,16.77 M,,N,28 W,,0.5 W,58.42 cm,0.265 x 0.265 mm,16:9,N,Si,Si,-5 - 30 °,Si,Si,Si,50 - 76 Hz,544 mm,544 mm,620 mm,Si,250 cd/m²,Si,1080p,Si,4.19 kg,8.4 kg,6.4 kg,Si,Si,51 mm,242.9 mm,183 mm,1.0,24 - 94 kHz,1000:1,5000000:1,1920 x 1080 Pixels,"720 x 400, 1600 x 900, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1440 x 900 (WXGA+), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)",N,Si,IPS,8 ms,N,,LED,Full HD,100 - 240 V,0 - 360 °,Si,Oro,Si,0 - 90 °,1.0,1.0,3.0,150 mm Si,Si,.,"Altre caratteristiche
Source data-sheet .
Eventi programmabili 10",,,22 W,50/60 Hz,,,,-20 - 60 °C,5 - 35 °C,,30000 h,,Si,,,Si,,,,,,N,,,,,,Si,,,20 - 80 %,,,,,,N,,,,,,,,,,36 W,,,,,,,,"Condizioni ambientali
Altitudine di non-funzionamento 0 - 12192 m
Umidità 5 - 95 %
Intervallo temperatura di funzionamento 5 - 35 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %
Altitudine di funzionamento 0 - 5000 m",0 - 5000 m,0 - 12192 m,,,5 - 95 %,,Matt,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg Electronics LG 19M35A-B LED display 19M35A-B.AEU Planet Computer.it,Si,"27,8 cm","37,2 cm",,No,90°,65°,,"AC, VGA",,Non specificato,Nero,"16,77M",75 x 75 mm,No,13W,,"0,3W","46,99 cm (18.5"")","0,3 x 0,3 mm",16:9,No,,,,,,,,"44,1 cm","44,1 cm",,,200 cd/m²,,,Si,"1,8 kg","3,1 kg","2,1 kg",,No,"9,8 cm","18,5 cm",,1.0,,600:1,,1366 x 768 Pixels,1366 x 768,No,,TN+Film,5 ms,No,,LED,No,100 - 240V,,,,,,,,,,,,,1,,,50/60 Hz,,,,,,,,,,,,,,,,,"Thin Client
Thin client installato No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,"Contenuto dell'imballo
Cavi inclusi AC, VGA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP Pavilion 27xi C4D27AA ABB Planet Computer.it,,"45,4 cm",,,No,178°,178°,Kensington,"AC, DVI, VGA","CB, CE, FCC, ErP, CSA/C-UL/C-ETL, UL/CSA-NTRL/ETL-NRTL, ICES, CCC, Bauart, CECP, ISO9241-307, GOST 25861, HRN N N0.201, GOST R 50377-1992, GOST 25861, EEI, IS 1121, SASO, SABS IEC 60950-1, NOM-019-SCFI-1998, KC, KCC, PSB, ISC, C-Tick",Non specificato,"Nero, Argento","16,77M",,No,35W,,"0,5W","68,58 cm (27"")","0,311 x 0,311 mm",16:9,No,Si,Si,-5 - 25°,Si,Si,Si,,"62,2 cm",,,Si,250 cd/m²,Si,1080p,,"5,3 kg",,,Si,Si,"19,2 cm",,,1.0,,1000:1,10000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,Si,IPS,7 ms,No,,LED,Full HD,100 - 240V,,Si,,,,,1.0,,,,,,,,,50/60 Hz,,,,-20 - 60 °C,5 - 35 °C,,30000h,,Si,,,,,,"68,58 cm",,,,No,,,,,Si,,1.0,20 - 80%,No,Si,,,W-LED,,,,,,,,,,,,,,,,,,,,,,,,5 - 90%,,Lucida,Si,,,,,,,,,,,Si,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 241S4LCB Display Full HD S-line 61 cm  24   Monitor LCD,Si,352 mm,403 mm,405 mm,N,170 °,160 °,Si,,"BSMI, CE Mark, FCC B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE",,Nero,16.77 M,100 x 100 mm,N,21.9 W,0.1 W,0.1 W,61 cm,0.276 x 0.276 mm,16:9,N,,Si,-5 - 20 °,,Si,Si,,565 mm,565 mm,624 mm,Si,250 cd/m²,,,Si,4.3 kg,8.3 kg,6.3 kg,Si,,55 mm,227 mm,172 mm,1.0,,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,Si,,5 ms,N,,LED,Full HD,100 - 240 V,-65 - 65 °,Si,,,0 - 90 °,,1.0,,100 mm,Si,.,"Altre caratteristiche
Source data-sheet .
Numero di prodotti inclusi 1 pezzi
Funzione risparmio Si
Posizionamento supportato Orizzontale/Verticale
Risoluzione massima 1920 x 1080 Pixels",,,12 W,50/60 Hz,30 - 83 kHz,56 - 75 Hz,,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,,Si,,Si,Si,Si,,,,,,,,531.4 mm,298.9 mm,,,,,20 - 80 %,,,,,W-LED,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,Si,,,,"EPEAT Gold, RoHS, PVC / BFR free, Mercury free, Lead free",,1 pezzi,,,,,,Si,,Orizzontale/Verticale,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC I2272PWHUT BK LED display I2272PWHUT BK Planet Computer.it,Si,"35,5 cm",,"42,2 cm",Si,178°,178°,Kensington,"AC, Audio (3.5mm), HDMI, USB, VGA",,Non specificato,Nero,"16,77M",75 x 75 mm,N,45W,"0,5W",5W,"54,6 cm","0,24825 x 0,24825 mm",16:9,Si,,Si,15 - 57°,Si,,Si,,"56,19 cm",,63 cm,,250 cd/m²,,1080p,Si,"5,03 kg","6,46 kg",,Si,N,"4,71 cm",,"14,9 cm",1.0,,1000:1,50000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,,IPS,5 ms,N,,LED,Full HD,110 - 240V,,,,N,,,,2.0,N,N,,,1,,,50/60 Hz,30 - 83 kHz,50 - 76 Hz,,,,,,2.0,Si,4W,,,,,,Si,,,,,"47,664 cm","26,811 cm",Si,,,2.0,,,,"54,6 cm",,W-LED,,170 MHz,,,,,,,,,,,,3.5 mm,3.0,N,Si,,"Connettività
Uscita audio Si
Quantità porte USB 2.0 2
Altoparlante / Cuffia / spinotto di uscita 1
Porta DVI N
Quantità porte VGA (D-Sub) 1
AC (power) in Si
Quantità porte HDMI 2
Connessione cuffia 3.5 mm
Quantità porte USB 3.0 3",,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 220S4LSS 220S4LSS 00 Planet Computer.it,,349 mm,434 mm,478 mm,,170 °,160 °,Kensington,,"BSMI, CE, FCC B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE, RoHS",,,16.77 M,100 x 100 mm,N,15.7 W,0.1 W,0.1 W,55.9 cm,0.282 x 0.282 mm,16:10,N,,Si,-5 - 20 °,,Si,,,504 mm,504 mm,565 mm,Si,250 cd/m²,,,Si,3.38 kg,6.27 kg,4.45 kg,Si,,59 mm,207 mm,138 mm,1.0,,1000:1,20000000:1,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),,Si,,5 ms,,,LCD,N,100 - 240 V,,Si,Oro,,,,1.0,,,,.,,,473.76 x 296.1 mm,12.6 W,50/60 Hz,30 - 83 kHz,56 - 75 Hz,,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,,Si,,Si,Si,Si,20 - 80 %,,,,,,,,,,,,,,,,,,W-LED,,,,,,,,,,,,,,,,,,,,0 - 3658 m,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 220B4LPCB 220B4LPCB 00 Planet Computer.it,,349 mm,509 mm,391 mm,Si,170 °,160 °,Kensington,,"BSMI, CE, FCC B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE, RoHS",,Nero,16.77 M,100 x 100 mm,N,15.8 W,,0.3 W,55.9 cm,0.282 x 0.282 mm,16:10,N,,Si,-5 - 20 °,,Si,,,504 mm,504 mm,565 mm,Si,250 cd/m²,,,Si,3.38 kg,7.05 kg,5.2 kg,Si,,59 mm,227 mm,186 mm,1.0,,1000:1,20000000:1,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),N,Si,,5 ms,N,,LCD,N,100 - 240 V,-65 - 65 °,Si,Oro,,,,1.0,2.0,Si 110 mm,Si,.,"Ergonomia
Regolazione altezza 110 mm
Lingue OSD CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS
Compatibile con montaggio VESA 100 x 100 mm
LED Stand-by Si
Indicatore (LED) alimentazione Si
On Screen Display (OSD) Si
Rotazione Si
Inclinazione -5 - 20 °
Angolo di rotazione -65 - 65 °
Regolazione altezza Si
Montabile a parete Si
Blocco cavo Kensington
Plug & Play Si",1,473.76 x 296.1 mm,11.7 W,50/60 Hz,30 - 83 kHz,56 - 75 Hz,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,2.0,Si,3 W,Si,Si,Si,20 - 80 %,,,,N,N,,,,,,,,,,,,,W-LED,,,,,,,,,,,,,,,,,,,,0 - 3658 m,,,,,,,,Si,"Umidità relativa 20 - 80 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Altitudine di funzionamento 0 - 3658 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg Electronics LG 34UM95-P 34UM95-P Planet Computer.it,,"37,98 cm","46,89 cm","51,3 cm",Si,178°,178°,No,,"TCO6.0, EPA, CE, FCC-B, UL",Non specificato,Argento,1070M,100 x 100 mm,No,80W,"0,5W","1,2W","86,36 cm (34"")",,21:9,No,,Si,5 - 15°,Si,,Si,,"82,99 cm","82,99 cm","90,4 cm",,320 cd/m²,,,Si,"6,7 kg",,"7,7 kg",Si,No,"8,29 cm","17,29 cm","17,7 cm",,,,,3440 x 1440 Pixels,3440 x 1440,No,"Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",IPS,5 ms,No,,LED,Wide Quad HD,,,,,,,1.0,,2.0,No,,,,,,,,30 - 90 kHz,56 - 61 Hz,,,,,,2.0,,14W,,,,,,,"Thin Client
Thin client installato No",,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,"Sistema operativo Windows supportato Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
