<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,colour,colour support,contrast ratio,dvi,green compliance certificateauthority,green compliant,hdcp supported,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum adjustable height,maximum resolution,number of screens,offmode power consumption,operating power consumption,package contents,panel technology,product model,product name,product series,product type,response time,screen mode,screen size,standard refresh rate,standby power consumption,swivel angle,tilt angle,vertical viewing angle,vesa mount compatible,vga,certifications standards,depth,depth with stand,features,height,height with stand,mount type,platform supported,recycled,recycled content,vesa mount standard,weight approximate,weight with stand approximate,width,width with stand,builtin devices,displayport,product line,screen surface,usb,usb standard,speakers,webcam,hdmi,component video,composite video,svideo,display orientation,energy consumption per year,energy efficiency class,full product specifications,number of speakers,postconsumerwaste,headphone,3d type,packaged quantity,network rj45,horizontal frequency,sdi,sdi standard,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,country of origin,additional information,superb performance,versatile connections,system requirements,thunderbolt
"LL543AA, 9435ANR, HP, LCD Monitor, IML Direct Italy",,,,4:3,LED,HP,400 cd/m²,Jack Black,,700:1,,,,,160°,,,Hewlett-Packard,LL543AA,,1024 x 768,1.0,,15 W,,,L1506x,Business L1506x LCD Monitor,Essential,LCD Monitor,8 ms,XGA,"38.1 cm (15"")",,1 W,,,140°,Yes,Yes,,60 mm,203 mm,Security Lock,290 mm,355 mm,Arm-mountable Wall Mountable,PC,Yes,99%,100 x 100,3.10 kg,,340 mm,340 mm,,,Business,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R72MCWL, S603KY1, Lenovo, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,LED,Lenovo,250 cd/m²,,16.7 Million Colours,"1,000:1",Yes,China RoHS TCO Certified Edge Displays 1.1 EPEAT Gold EPA MPR II ENERGY STAR 5.0 China Energy Label (CEL) RoHS REACH CECP ULE Gold Turkey RoHS,Yes,,170°,220 V AC 110 V AC,3 Year,Lenovo Group Limited,R72MCWL,,1680 x 1050,1.0,500 mW,26 W,,Twisted Nematic Film (TN Film),LT2252p,ThinkVision LT2252p 22-inch Wide LCD Monitor,,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",75 Hz,500 mW,,,160°,Yes,Yes,Safety: UL (USA) CSA /cUl(Canada) IEC EN60950 CB Report SEMKO NOM (Mexico) SASO (Saudia Arabia) TUV (Germany) CCC (China) Gost (Russia) Ukraine PSB(Singapore) BSMI KC (Korea) TUV -S(Argentina) KVALITET(Serbia) EMI: FCC B (USA) IC (Canada) CE (Europe) VCCI (Japan) KC (Korea) ANZ SABS(South Africa) BSMI (Taiwan) CCC (China) Ergonomic: GS ISO 9241-307 VOC e-Standby (Korea) CEL Grade 1,241.3 mm,,Cable Management Security Lock,367.3 mm,,,PC,,,100 x 100,5.14 kg,,506 mm,,,Yes,ThinkVision,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
"60B0HAT1UK, 2895265, Lenovo, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Lenovo,250 cd/m²,Raven Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR 6.0 EU RoHS RoHS Ukraine RoHS China RoHS Turkey RoHS EPEAT Silver TCO Certified Displays 6.0,Yes,,90°,220 V AC 110 V AC,3 Year,Lenovo Group Limited,60B0HAT1UK,,1920 x 1080,1.0,500 mW,21 W,,Twisted Nematic Film (TN Film),E2323,ThinkVision E2323 Wide 23-Inch FHD WLED Backlit LCD Monitor,,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",75 Hz,500 mW,,,160°,Yes,Yes,China Energy standard Tier 1 VOC test TUV Ergo DDC/CI ISO 9241-307,167.2 mm,,Security Lock,399 mm,,Wall Mountable,PC,,,100 x 100,3.55 kg,,548.5 mm,,,,ThinkVision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VE247H, ASUCAS019, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Asus,300 cd/m²,Black,16.7 Million Colours,"10,000,000:1",Yes,,,Yes,170°,,,ASUS Computer International,VE247H,,1920 x 1080,1.0,,34.90 W,,,VE247H,VE247H Widescreen LCD Monitor,,LCD Monitor,2 ms,Full HD,"59.9 cm (23.6"")",,900 mW,,,160°,Yes,Yes,,201 mm,,,409.7 mm,,Wall Mountable,PC,,,100 x 100,4.40 kg,,569.4 mm,,Speaker,,,,,,Yes,,Yes,,,,,,,,2.0,,,,,,,,,,,,,,,,,
"UM.EV6EE.008, 8654G62, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:10,LED,Acer,250 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,EPEAT Gold TCO '06,Yes,Yes,170°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.EV6EE.008,No,1680 x 1050,1.0,350 mW,24.20 W,V226WL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),V226WL,V226WL Widescreen LCD Monitor,V,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",60 Hz,450 mW,No,-5°to25°,160°,Yes,Yes,,207 mm,,,419.1 mm,,,,,,100 x 100,3.09 kg,3.52 kg,505.7 mm,,,,,Anti-glare,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E2278HD-GB1, 2504950, Iiyama, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,iiyama,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR TCO Displays 5.0,Yes,Yes,170°,110 V AC 220 V AC,,"iiyama North America, Inc",E2278HD-GB1,,1920 x 1080,1.0,,20 W,ProLite E2278HSDPower CableVGA (D-Sub) CableDVI-D CableStand-BaseQuick Start GuideSafety Guide,,E2278HSD,ProLite E2278HSD,,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",75 Hz,500 mW,,,160°,Yes,Yes,CETUV-BauartVCCI-BCU,177.5 mm,,Security Lock,369.5 mm,,Wall Mountable,PC Mac,,,100 x 100,2.80 kg,,514.5 mm,,,,ProLite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D7Q13AT#ABU, 2951079, HP, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,HP,250 cd/m²,Black,16.77 Million Colors,"5,000,000:1",Yes,TCO Certified Edge EPEAT Gold ENERGY STAR 5.0 WEEE REACH,Yes,Yes,178°,220 V AC 110 V AC,3 Year,Hewlett-Packard,D7Q13AT#ABU,150 mm,1920 x 1080,1.0,,36 W,"Z Display Z23i 58,4cm (23'') IPS LED Backlit Monitor (Energy Star) AC power cord USB cable DVI cable DisplayPort cable Documentation CD HP Display Assistant software",In-plane Switching (IPS) Technology,Z23i,"Z Display Z23i 58,4cm (23'') IPS LED Backlit Monitor (Energy Star)",Z,LCD Monitor,8 ms,Full HD,"58.4 cm (23"")",,500 mW,360°,-5°to30°,178°,,Yes,EN 55022 Class A CB CE CEL Grade 1 TUV GS GOST CUL FCC CSA NOM S-Mark VCCI MIC PSB ISC CCC BSMI C-Tick ICES Microsoft WHQL,51 mm,242.90 mm,Security Lock,329 mm,469.90 mm,Wall Mountable,PC,,,,,6.40 kg,544 mm,544 mm,USB Hub,Yes,,Anti-glare,Yes,USB 2.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D9E49AA#UUZ, HP, LCD Monitor, IML Direct Italy",,,,16:9,LED,HP,250 cd/m²,Black,,"5,000,000:1",Yes,TCO Certified Edge ENERGY STAR,Yes,,,,3 Year,Hewlett-Packard,D9E49AA#UUZ,,1920 x 1080,1.0,,42 W,EliteDisplay E221c 21.5-inch Webcam LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,,E221c,EliteDisplay E221c 21.5-inch Webcam LED Backlit Monitor (ENERGY STAR),,LCD Monitor,7 ms,Full HD,"54.6 cm (21.5"")",,,,,,,Yes,,51 mm,237 mm,,309 mm,460 mm,,,,,,,5.40 kg,509 mm,509 mm,USB Hub Microphone,Yes,Elite,,Yes,,Yes,Yes,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"K9601621, 2920953, Barco, LCD Monitor, IML Direct Italy",,Yes,Yes,4:3,,Barco,1100 cd/m²,,,"1,000:1",Yes,,,,170°,,,Barco,K9601621,,,1.0,,78 W,,In-plane Switching (IPS) Technology,MDNG-6121,5 MegaPixel (2800 x 2096) Diagnostic Grayscale Display System,,LCD Monitor,32 ms,,"54.1 cm (21.3"")",,,,,170°,Yes,,,114 mm,249 mm,,382 mm,472 mm,,,,,100 x 100,,12.30 kg,488 mm,488 mm,USB Hub,,,Anti-reflective,Yes,USB 2.0,,,,,,,Landscape/Portrait,,,,,,,,,,,,,,,,,,,,,
"UM.WB6EE.001, 3109895, Acer, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Acer,250 cd/m²,Dark Grey,16.7 Million Colours,"100,000,000:1",Yes,TCO Certified Displays 6.0 EPEAT Gold,Yes,Yes,170°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.WB6EE.001,,1920 x 1080,1.0,350 mW,16.50 W,B226HQL Widescreen LCD Monitor1 x DVI Cable1 x VGA CablePower Cord,,B226HQL,B226HQL Widescreen LCD Monitor,B,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",60 Hz,450 mW,,,160°,,Yes,,,221 mm,,304 mm,369 mm,,,,,,3.17 kg,5.81 kg,508 mm,508 mm,,,,Anti-glare,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D7R00A4#ABU, HP, LCD Monitor, IML Direct Italy",Yes,,Yes,16:9,LED,HP,250 cd/m²,,1.07 Billion Colors,"1,000:1",,EPA REACH TCO Certified Displays China Energy Label (CEL) WEEE,Yes,Yes,178°,230 V AC 120 V AC,3 Year,Hewlett-Packard,D7R00A4#ABU,,2560 x 1440,1.0,,,DreamColor Z27x Professional Display(D7R00A4) AC Power Cord DisplayPort Cable USB Cable HDMI Cable DisplayPort Mini Cable DVD Documentation Kit Factory Calibration Report,In-plane Switching (IPS) Technology,Z27x,DreamColor Z27x Professional Display(D7R00A4),Z,LCD Monitor,7 ms,WQHD,"68.6 cm (27"")",,,45°,-5°to20°,178°,,,WHQL CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC BSMI,65.5 mm,242.40 mm,Security Lock,379.2 mm,420.40 mm,,PC,,,,8.80 kg,,641 mm,641 mm,USB Hub,Yes,Business,Anti-glare,Yes,USB 3.0,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"E1980SD-B1, 2639935, Iiyama, LCD Monitor, IML Direct Italy",Yes,,,5:4,LED,iiyama,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,TCO Displays 5.0 ENERGY STAR,Yes,Yes,170°,110 V AC 220 V AC,3 Year,"iiyama North America, Inc",E1980SD-B1,,1280 x 1024,1.0,,16 W,ProLite E1980SDPower CableVGA (D-Sub) CableDVI-D CableAudio CableStandStand-BaseQuick Start GuideSafety Guide,,E1980SD,ProLite E1980SD,,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",75 Hz,1 W,,,160°,Yes,Yes,C-ULCETÜV-GSVCCI-BCU,189.5 mm,,Security Lock,402 mm,,Wall Mountable,Mac PC,,,100 x 100,3.20 kg,,411 mm,,Speaker,No,ProLite,,No,,Yes,,No,No,No,,,,,,2.0,,,,,,,,,,,,,,,,,No
"240S4QMB/00, 3197127, Philips, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,LED,Philips,250 cd/m²,Black,16.7 Million Colours,"20,000,000:1",Yes,ENERGY STAR 6.0 RoHS WEEE EPEAT Gold TCO '06,Yes,Yes,178°,120 V AC 230 V AC,1 Year,Philips Electronics,240S4QMB/00,110 mm,1920 x 1200,1.0,,23.59 W,,PLS (Plane to Line Switching) Technology,240S4QMB,"Brilliance LCD Monitor with SmartImage 240S4QMB S-line 24"" / 61 cm 1920 x 1200",S,LCD Monitor,5 ms,WUXGA,"61 cm (24"")",60 Hz,,65°,-5°to20°,178°,Yes,Yes,BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS,65 mm,227 mm,SmartControl SmartContrast SmartImage SmartPower SmartErgoBase Eco Mode,388 mm,543 mm,,Mac PC,Yes,,100 x 100,4.48 kg,6.34 kg,555 mm,555 mm,Speaker,,Brilliance,,,,Yes,,,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"C9V75AA#ABT, HP, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,HP,250 cd/m²,Black,16.77 Million Colors,"1,000:1",Yes,TCO Certified Edge ENERGY STAR EPEAT Gold EPA China Energy Label (CEL) CECP REACH,Yes,Yes,170°,110 V AC 220 V AC,3 Year,Hewlett-Packard,C9V75AA#ABT,,1920 x 1080,1.0,,36 W,EliteDisplay E231 23-inch LED Backlit Monitor VGA Cable DisplayPort Cable USB Cable Power Cord Printed Documentation And CD HP Display Assistant Software,,E231,EliteDisplay E231 23-inch LED Backlit Monitor,Advantage,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",60 Hz,500 mW,,,160°,Yes,Yes,CE CB KC KCC NOM PSB Ice TUV S CCC SEPA ISC VCCI FCC BSMI,51 mm,242.40 mm,Security Lock,329 mm,469.90 mm,Wall Mountable,PC,,,,3.90 kg,6.10 kg,544 mm,544 mm,USB Hub,Yes,Business,Anti-glare,Yes,USB 2.0,No,No,,,,,,,,,,,,,,No,,,,,,,,,,,,
"F3J72AT#ABU, 943ASGK, HP, LCD Monitor, IML Direct Italy",Yes,No,Yes,16:9,LED,HP,250 cd/m²,Black,,"5,000,000:1",,TCO Certified Edge WEEE TCO Certified Displays China Energy Label (CEL) CECP ENERGY STAR REACH,Yes,Yes,178°,220 V AC 110 V AC,3 Year,Hewlett-Packard,F3J72AT#ABU,,1920 x 1080,1.0,,60 W,Business S231d Widescreen LCD Monitor USB Cable DC Power Cable VGA Cable DisplayPort Cable DC Jack Dongle Cable and Rubber Ring Webcam Rubber Cover Printed Documentation and CD HP Display Assistant Software Additional Signal Cables,In-plane Switching (IPS) Technology,S231d,Business S231d Widescreen LCD Monitor,,LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",,2.20 W,360°,-5°to30°,178°,,Yes,CB CE TUV-S EAC CUL FCC CSA NOM S-mark VCCI PSB ISC CCC BSMI C-Tick E-standby KC,51 mm,242.40 mm,Security Lock,329 mm,469.90 mm,,,,,,,6.12 kg,544 mm,544 mm,Port Replicator Microphone USB Hub,Yes,Business,Anti-glare,Yes,USB 3.0,No,Yes,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,
"C9F26AA#ACJ, HP, LCD Monitor, IML Direct Italy",,,,16:9,LED,HP,250 cd/m²,Black,,"3,000,000:1",Yes,TCO Certified Edge ENERGY STAR,Yes,,,,3 Year,Hewlett-Packard,C9F26AA#ACJ,,1600 x 900,1.0,,22 W,ProDisplay P201 20-inch LED Backlit MonitorVGA CableDVI CableAC Power CablePrinted Documentation and CD,,P201,ProDisplay P201 20-inch LED Backlit Monitor,,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,,,,,,Yes,,47.5 mm,151.10 mm,,294.1 mm,359.20 mm,,,,,,3.50 kg,,482 mm,482 mm,,,ProDisplay,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"LS22C65UDC/EN, 2773803, Samsung, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Samsung,250 cd/m²,Matte Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR TCO Certified Displays EPEAT Gold,Yes,,178°,110 V AC 220 V AC,3 Year,Samsung,LS22C65UDC/EN,,1920 x 1080,1.0,,,,AD-PLS Technology,S22C650D,"21.5"" S22C650D Series 6 LED Business Monitor",650,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,,,,178°,Yes,Yes,"UL (USA): UL 60950-1 CSA (Canada): CSA C22.2 No. 60950-1 TUV (Germany): EN60950-1 NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001 PSB (Singapore): IEC60950-1 GOST (Russia): IEC60950-1, EN55022 SIQ (Slovenia): IEC60950-1, EN55022 PCBC (Poland): IEC60590-1, EN55022 NOM (Mexico): NOM-019-SCFI-1993 IRAM (Argentina): IEC60950-1 SASO (Saudi Arabia): IEC60950-1 EMC
FCC (USA) FCC Part 15, Subpart B class A CE (Europe) EN55022, EN55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea): KN22, KN24 C-Tick (Australia): AS / NZS3548 (CISPR22) CCC (China): GB 9254-2008, GB 17625.1-2003",55.5 mm,210 mm,MagicRotation MultiScreen MagicTune Off Timer Eco Saving MagicBright3,301.9 mm,490.35 mm,Wall Mountable,PC,,,100 x 100,3.20 kg,4.75 kg,504.3 mm,504.30 mm,USB Hub,Yes,,,Yes,USB 2.0,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
"D7Z72AA#ABU, 2875478, HP, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,HP,250 cd/m²,Black,,"1,000:1",Yes,WEEE ENERGY STAR EPEAT Gold REACH TCO Certified Edge,Yes,Yes,178°,220 V AC 110 V AC,3 Year,Hewlett-Packard,D7Z72AA#ABU,,1920 x 1080,1.0,,40 W,"EliteDisplay E271i 68,6 cm (27"") LED Backlit Monitor VGA cable DisplayPort cable USB cable AC power cable Printed documentation and CD Display Assistant software",In-plane Switching (IPS) Technology,E271i,"EliteDisplay E271i 68,6 cm (27"") LED Backlit Monitor",Advantage,LCD Monitor,7 ms,Full HD,"68.6 cm (27"")",,500 mW,,,178°,,Yes,,52.2 mm,278.50 mm,Security Lock,387.3 mm,532.10 mm,,PC,,,,7.70 kg,,642 mm,642 mm,USB Hub,Yes,Business,Anti-glare,Yes,USB 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"861-10376, DELP2213, Dell, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,LED,Dell,250 cd/m²,Black,16.78 Million Colors,"1,000:1",Yes,China Energy Label (CEL) EPEAT Gold TCO Certified Displays ENERGY STAR,Yes,Yes,170°,220 V AC 110 V AC,3 Year,"Dell, Inc",861-10376,,1680 x 1050,1.0,,45 W,"Professional P2213 22'' (56cm) LED Monitor VGA,DVI-D,DP (1680x1050) Black VGA Cable Stand Power Cable DVI Cable USB Cable Drivers and Documentation Media Quick Setup Guide Safety Information",,P2213,"Professional P2213 22'' (56cm) LED Monitor VGA,DVI-D,DP (1680x1050) Black",,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",60 Hz,300 mW,,,160°,Yes,Yes,EMC,59.8 mm,183.30 mm,Security Lock Cable Management,332.7 mm,497.40 mm,,,Yes,,100 x 100,3.43 kg,,510.4 mm,510.40 mm,USB Hub,Yes,Professional,Anti-glare,Yes,USB 2.0,,,,,,,,,,,,25%,,,,,,,,,,,,,,,,
"VE228TL, 2970786, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Asus,250 cd/m²,Black,16.7 Million Colours,"80,000,000:1",Yes,RoHS EPEAT China Energy Label (CEL) J-Moss (Japanese RoHS) TCO Certified Displays 5.2 ENERGY STAR WEEE,Yes,Yes,170°,120 V AC 230 V AC,3 Year,ASUS Computer International,VE228TL,,1920 x 1080,1.0,500 mW,33 W,VE228TL Widescreen LCD Monitor DVI Cable VGA Cable Audio Cable Power Cord Quick Start Guide Warranty Card,,VE228TL,VE228TL Widescreen LCD Monitor,,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,500 mW,90°,-5°to22°,160°,Yes,Yes,CB CE C-Tick CU FCC ISO-9241-307 UkrSEPRO UL/cUL WHQL (Windows 7),56.9 mm,225 mm,SmartContrast Security Lock Splendid Video Intelligence Technology,310.8 mm,484.36 mm,Wall Mountable,,,,100 x 100,,,512.8 mm,512.84 mm,,,,Anti-glare,,,Yes,,,,,,,,,Click to view,2.0,,Yes,,,,,,,,,,,,,,,
"B2283HS-B1, II-B2283HS-B1, Iiyama, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,iiyama,250 cd/m²,Black,16.7 Million Colours,"5,000,000:1",Yes,TÜV ENERGY STAR TCO Certified Displays 6.0,Yes,Yes,170°,120 V AC 230 V AC,3 Year,"iiyama North America, Inc",B2283HS-B1,130 mm,1920 x 1080,1.0,,21 W,ProLite B2283HS Widescreen LCD Monitor Power Cable VGA Cable DVI-D Cable Audio Cable Stand Quick Start Guide Safety Guide,Twisted Nematic Film (TN Film),B2283HS,ProLite B2283HS Widescreen LCD Monitor,,LCD Monitor,2 ms,Full HD,"55.9 cm (22"")",75 Hz,500 mW,90°,5°to22°,160°,Yes,Yes,CE TUV-GS VCCI-B CU ISO-9241-307:2008,56.5 mm,230 mm,Security Lock Flicker-free Display Power Management Signaling (DPMS),310.5 mm,501.50 mm,,Mac PC,,,100 x 100,4.80 kg,,505 mm,505 mm,,,ProLite,,,,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"60002936, 3967409, NEC Display Solutions, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,NEC Display,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,MPR II ENERGY STAR 5.0 MPR III EPEAT Gold RoHS,Yes,Yes,176°,110 V AC 220 V AC,3 Year,NEC Display Solutions,60002936,,1920 x 1080,1.0,,31 W,,,EX231W,"23"" Widescreen Ultra Slim Desktop Monitor",,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",60 Hz,370 mW,,,170°,Yes,,TUV GSFCC Class BPCT/GostUL/C-UL / CSACCCISO 9241-307 (class I),48.3 mm,215.90 mm,AccuColor Cable Management Off Timer Carbon Footprint Meter Ambient Light Sensor,317.5 mm,510.54 mm,,PC,,,100 x 100,2.80 kg,4.20 kg,541 mm,541.02 mm,,Yes,MultiSync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E9Q82AT#ABU, 943BHPT, HP, LCD Monitor, IML Direct Italy",Yes,,Yes,16:10,LED,HP,350 cd/m²,,1.07 Billion Colors,"5,000,000:1",Yes,,,Yes,178°,120 V AC 230 V AC,3 Year,Hewlett-Packard,E9Q82AT#ABU,,1920 x 1200,1.0,,84 W,DreamColor Z24x Professional Display Stand DVD Documentation Kit DisplayPort 1.2 Cable DVI-D Cable USB 3.0 Cable Power Cord Factory Calibration Report,In-plane Switching (IPS) Technology,Z24x,DreamColor Z24x Professional Display,,LCD Monitor,12 ms,WUXGA,"61 cm (24"")",,500 mW,45°,-5°to20°,178°,,,,66.5 mm,,Security Lock,365 mm,,Arm-mountable,,,,,6.98 kg,,559.4 mm,,USB Hub,Yes,Business,Anti-glare,Yes,USB 3.0,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"MX279H, ASUNOT698, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Asus,250 cd/m²,Silver Black,16.7 Million Colours,"80,000,000:1",,,,Yes,178°,,,ASUS Computer International,MX279H,,1920 x 1080,1.0,500 mW,37 W,,In-plane Switching (IPS) Technology,MX279H,MX279H Widescreen LCD Monitor,MX,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",,500 mW,,,178°,,Yes,,,225.20 mm,Security Lock Splendid Video Intelligence Technology Ultra Slim,,441.30 mm,,PC,,,,5.20 kg,,,622.60 mm,Speaker,,,,,,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"LS22C45UFS/EN, 886N108, Samsung, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Samsung,250 cd/m²,Matte Black,16.7 Million Colours,"1,000:1",Yes,EPEAT Gold TCO Certified Displays 6.0 ENERGY STAR,Yes,,170°,110 V AC 220 V AC,3 Year,Samsung,LS22C45UFS/EN,No,1920 x 1080,1.0,,24 W,S22C450F Widescreen LCD Monitor VGA Cable USB Cable Electronic Manual CD-ROM Quick Installation Guide,Twisted Nematic Film (TN Film),S22C450F,S22C450F Widescreen LCD Monitor,,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",60 Hz,300 mW,45°,-3°to25°,160°,Yes,Yes,"UL (USA): UL 60950-1CSA (Canada) CSA C22.2 No. 60950-1 TUV (Germany) EN60950-1NEMKO (Norway) EN60950-1 KC (Korea) K60950-1 CCC (China) GB-4943 2001PSB (Singapore) IEC60950-1GOST (Russia) IEC60950-1 EN55022SIQ (Slovenia) IEC60950-1 EN55022PCBC (Poland) IEC60590-1, EN55022NOM (Mexico) NOM-019-SCFI-1993IRAM ( Argentina) IEC60950-1SASO (Saudi Arabia): IEC60950-1 FCC (USA) FCC Part 15 Subpart B class ACE (Europe) EN55022 EN55024VCCI (Japan) V-3 (CISPR22) KCC (Korea) KN22 KN24C-Tick (Australia) AS/NZS3548 (CISPR22) CCC (China) GB 9254-2008 GB 17625.1-2003",55.5 mm,210 mm,Display Power Management Signaling (DPMS) MagicRotation MultiScreen MagicTune Off Timer MagicBright3 MagicAngle Eco Saving,301.9 mm,490.35 mm,Wall Mountable,PC,,,100 x 100,3.24 kg,4.84 kg,504.3 mm,504.30 mm,,No,,,No,,No,,Yes,,,,Landscape/Portrait,,,,,,No,,,,,,,,,,,,,,,
"9H.LAALB.QBE, 2819843, BenQ, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,,BenQ,350 cd/m²,Black,1.07 Billion Colors,"1,000:1",Yes,TCO Certified Displays 6.0,Yes,Yes,178°,110 V AC 220 V AC,,BenQ Corporation,9H.LAALB.QBE,,2560 x 1440,1.0,,,,Advanced Hyper Viewing Angle (AHVA),BL2710PT,BL2710PT Widescreen LCD Monitor,,LCD Monitor,4 ms,WQHD,"68.6 cm (27"")",,,,,178°,Yes,Yes,,,259 mm,Senseye 3 Ambient Light Sensor Eco Mode Security Lock Brightness Sensor,,525 mm,Wall Mountable,Mac PC,,,100 x 100,8.20 kg,,,639 mm,USB Hub,Yes,,,Yes,USB 3.0,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"LL543AA#UUZ, 9435CML, HP, LCD Monitor, IML Direct Italy",Yes,,,4:3,LED,HP,400 cd/m²,,,700:1,,TCO ENERGY STAR,Yes,,160°,110 V AC 220 V AC,,Hewlett-Packard,LL543AA#UUZ,,1024 x 768,1.0,,15 W,,,L1506x,L1506x 15-inch LED Monitor,Essential,LCD Monitor,8 ms,XGA,"38.1 cm (15"")",,1 W,,,140°,Yes,Yes,,61 mm,200.66 mm,Security Lock,289.6 mm,353.06 mm,Arm-mountable Wall Mountable,,,,100 x 100,3.10 kg,,340.4 mm,340.36 mm,,,Business,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
