3d compatibility,<page title>,aspect ratio,backlight type,bluetooth,builtin camera,builtin speakers,cable lock slot,certification,colour of product,compliance industry standards,contrast ratio dynamic,contrast ratio typical,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display srgb,display technology,energy efficiency class,energy star certified,epeat compliance,hd type,height,height adjustment,height with stand,horizontal scan range,input frequency,input voltage,led indicators,mac operating systems supported,mean time between failures mtbf,nonoperating altitude,number of loudspeakers,on screen display osd,on screen display osd languages,onoff switch,operating altitude,operating relative humidity hh,operating temperature tt,package weight,packaging depth,packaging height,packaging width,pivot,pivot angle,pixel pitch,plug and play,power consumption powersave,power consumption standby,power consumption typical,response time,rms rated power,separate hv sync,source datasheet,storage temperature tt,supported graphics resolutions,swivel angle range,swivelling,syncongreen sog,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,usb 20 ports quantity,usb 30 ports quantity,vertical scan range,vesa mounting interfaces compatibility,vga dsub ports quantity,viewable size horizontal,viewable size vertical,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,wifi,windows operating systems supported,dvid ports quantity,hdcp,relative humidity,ac power in,dvii ports quantity,headphone out,manual,standby led,storage relative humidity hh,audio input,hdmi,hdmi ports quantity,supported video modes,builtin subwoofer,cables included,card reader integrated,digital horizontal frequency,digital vertical frequency,displayports quantity,placement supported,power consumption max,power led,video dot rate,viewable size diagonal,pc audio in,power consumption off,quick start guide,number of osd languages,component video ypbprycbcr in,svideo inputs quantity,headphone connectivity,microphone in,package dimensions wxdxh,rs232 ports,dvi port,ethernet lan,pictureinpicture,dimensions w x d x h with stand,dimensions wxdxh,handheld remote control,composite sync,composite video in,power requirements,common interface ci,safety,display surface,screen format adjustments,power cord included,quantity,audio output,linux operating systems supported,dcin jack,display viewable area hxv,number of products included,screen saving functions,bezel width side,builtin microphone,feet colour,mobile highdefinition link mhl,maximum resolution,volume control,effective viewing area,compatible memory cards,analog signal format system,common interface plus ci,product type,picture enhancement,ac adapter included
No,Samsung 230MXN - MrHighTech Shop,16:9,,,No No No,Yes Yes Yes,,"FCC (USA) FCC Part 15, Subpart B class BCE (Europe) EN55022, EN55024VCCI (Japan) V-3 (CISPR22)KCC (Korea):KN22, KN24BSMI (Taiwan): CNS13438 (CISPR22)C-Tick (Australia): AS/NZS3548 (CISPR22) CCC(China):GB 9254-2008, GB 17625.1-2003",Black Black,,5000:1,3000:1,,73.9 mm,,300 cd/m²,"584.2 mm (23 "")",,16.77 M,1920 x 1080 pixels,,,,,,Full HD,,,339 mm,30 - 81 kHz,50/60 Hz,100 - 240 V,,,,,2 2 2,,,,,10 - 80 %,10 - 40 °C,8.6 kg 8.6 kg,192 mm 192 mm,418 mm 418 mm,640 mm 640 mm,Yes,,0.2566 x 0.2566 mm,Yes Yes,70 W,5 W,120 W,8 ms,6 W 6 W 6 W,,. .,,1920 x 1080 (HD 1080),,,,Yes,,,No No,1.0,,56 - 85 Hz,100 x 100 mm,1.0,509.76 mm,286.74 mm,178 °,178 °,Yes,,7 kg,,557.5 mm,,Yes Yes,,,,Yes,,1,Yes Yes,,,,Yes Yes,1.0,1080p,,VGA VGA,,,,,,,,,,,1 W,Yes Yes,,,,,,640 x 192 x 418 mm,1.0,,Yes,,,,Yes Yes,,,,,"UL (USA): UL 60950-1CSA (Canada): CSA C22.2 No. 60950-1 TUV (Germany): EN60950-1NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001PSB (Singapore): IEC60950-1GOST (Russia): IEC60950-1, EN55022SIQ (Slovenia): IEC60950-1, EN55022PCBC (Poland): IEC60590-1, EN55022NOM (Mexico): NOM-019-SCFI-1993IRAM (Argentina):IEC60950-1SASO (Saudi Arabia): IEC60950-1",,,,,,,,,,,,,,,,,,,,,,,
No,Philips 249C4QHSB - MrHighTech Shop,16:9,W-LED,,No No No,No No No,Kensington Kensington,RoHS,Black Black,"BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TCO 5.2, TUV/ISO9241-307, UL/cUL, WEEE",20000000:1,5000:1,34 mm,180 mm,LCD,250 cd/m²,"609.6 mm (24 "")",61 cm,16.77 M,1920 x 1080 pixels,Yes,A-MVA,,Yes,Silver,Full HD,350 mm,No,434 mm,30 - 83 kHz,50/60 Hz,100 - 240 V,,,30000 h 30000 h,,,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR",,,,0 - 40 °C,5.02 kg 5.02 kg,133 mm 133 mm,569 mm 569 mm,617 mm 617 mm,,,0.276 x 0.276 mm,Yes Yes,,0.3 W,24.2 W,6 ms,,Yes,. .,-20 - 60 °C,1920 x 1080 (HD 1080),,,Yes,No,,-3 - 15 °,No No,,,56 - 75 Hz,,1.0,531.36 mm,298.89 mm,178 °,178 °,,2.33 kg,3.33 kg,569 mm,569 mm,,,,Yes,20 - 80 %,,,,,Yes Yes,,,,2.0,,,,,,,,,,Yes Yes,,,,0.3 W,,9 9,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,iiyama ProLite XB2783HSU - MrHighTech Shop,"5:4, 16:9",,No,No No No,Yes Yes Yes,Kensington Kensington,"TCO, CE, TÜV-GS, VCCI-B, PSE, CU",Black Black,,5000000:1,3000:1,230 mm,,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,,A-MVA,Unspecified,Yes,,Full HD,400.5 mm,Yes,,30 - 80 kHz,50/60 Hz,100 - 240 V,Yes Yes,Yes Yes,,,2 2 2,Yes Yes,"CHI (SIMPL), CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS CHI (SIMPL), CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",Yes Yes,,,,,,,,Yes,0 - 90 °,0.277 x 0.277 mm,Yes Yes,,0.5 W,34 W,4 ms,4 W 4 W 4 W,Yes,. .,,"1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)",-45 - 45 °,Yes,,Yes,Yes,-5 - 20 °,No No,3.0,,55 - 75 Hz,100 x 100 mm,1.0,335.66 mm,596.74 mm,178 °,178 °,Yes,6 kg,,622.5 mm,,No,"Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64 Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64",1.0,Yes,,Yes,,1,,Yes Yes,,,,1.0,1080p,Yes Yes Yes,"Audio (3.5mm), DVI, USB, VGA Audio (3.5mm), DVI, USB, VGA",,30 - 80 kHz,55 - 75 Hz,,,,Yes Yes,,686 mm,,,Yes Yes,10 10,,,3.5 mm,,,,Yes,No,No No,,,,,,,,,,,Yes Yes,1 1,,,,,,,,,,,,,,,,,,,
No,AOC e2752Va - MrHighTech Shop,16:9,W-LED,,No No,Yes Yes,Kensington Kensington,EuPFCCGOSTISO 9241-307RoHSTCO 5.0TÜV-Bauart,Black Black,,20000000:1,1200:1,,210 mm,LED,300 cd/m²,"685.8 mm (27 "")",68.8 cm,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,Silver,Full HD,,No,452 mm,,50/60 Hz,90 - 240 V,,,,,,Yes Yes,,Yes Yes,,,,,,,,No,,0.311 x 0.311 mm,,,0.5 W,38 W,5 ms,,,. .,,1920 x 1080 (HD 1080),,No,,No,Yes,-3 - 19 °,No,,,,100 x 100 mm,1.0,597.89 mm,336.31 mm,170 °,160 °,Yes,5.29 kg,,,645.7 mm,,,1.0,Yes,,Yes,,1,,Yes Yes,,,,,,,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,30 - 83 kHz,55 - 75 Hz,,,,Yes Yes,,,Yes,0.5 W,,,,,3.5 mm,,,,,,No No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,LG 23CAV42K - MrHighTech Shop,16:9,,,No No No,Yes Yes Yes,,"UL(cUL), TUV-Type, FCC-B(CE), EPA, CCC, C-tick",,,5000000:1,1000:1,47 mm,131 mm,LED,250 cd/m²,"584.2 mm (23 "")",58 cm,16.77 M,1920 x 1080 pixels,,IPS,Unspecified,Yes,,Full HD,332 mm,Yes,387 mm,,,100 - 240 V,,,,,2 2 2,,,,,,,,,,,Yes,,,,,,,14 ms,2 W 2 W 2 W,,. .,,1920 x 1080 (HD 1080),,Yes,,Yes,Yes,,No No,6.0,,,100 x 100 mm,1.0,,,178 °,178 °,Yes,33.5 kg,5.56 kg,544 mm,544 mm,,,,No,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Philips 190SL1SB - MrHighTech Shop,16:10,,,No No,No No,Kensington Kensington,"BSMI, CE Mark, FCC Class B, GOST, SEMKO, TCO 5.2, TUV/GS, TUV Ergo, UL/cUL, WEEE",Black Black,,20000000:1,1000:1,68 mm,183 mm,LED,250 cd/m²,"482.6 mm (19 "")",48.3 cm,16.77 M,1440 x 900 pixels,Yes,,,Yes,Silver,No,305 mm,No,372 mm,30 - 83 kHz,50/60 Hz,100 - 240 V,,,30000 h 30000 h,,,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",,,,0 - 40 °C,,,,,,,0.283 x 0.283 mm,Yes Yes,7.7 W,0.3 W,11.4 W,5 ms,,Yes,. .,-20 - 60 °C,1440 x 900 (WXGA+),,,Yes,No,Yes,-5 - 20 °,No,,,56 - 75 Hz,100 x 100 mm,1.0,408.24 mm,255.15 mm,170 °,160 °,Yes,3.04 kg,3.31 kg,436 mm,436 mm,,,1.0,Yes,20-80 %,,,,,,,,,,,,,,,,,,,,,,,,,9 9,,,,,488 x 420 x 141 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,ASUS PA238Q - MrHighTech Shop,16:9,,,No No,,Kensington Kensington,"UL/cUL, CB, CE, ErP, FCC(Class B), CCC, BSMI, Gost-R, C-Tick, VCCI, TCO5.2, TUV-GS, TUV-Ergo, ISO-9241-307, PSB, J-MOSS, RoHS, WEEE",Black Black,,50000000:1,,201 mm,,,250 cd/m²,"584.2 mm (23 "")",,16.77 M,1920 x 1080 pixels,Yes,,,Yes,,Full HD,495.7 mm,,,,,,,,,,,,,,,,,7.8 kg,253 mm,386 mm,671 mm,Yes,,0.2652 x 0.2652 mm,,1 W,,33 W,6 ms,,,. .,,1920 x 1080 (HD 1080),0 - 180 °,,,No,,-5 - 20 °,No,5.0,,,100 x 100 mm,1.0,,,178 °,178 °,Yes,5.5 kg,,548.8 mm,,,,1.0,Yes,,Yes,,1,,,,Yes,,1.0,,,"AC, AV, DisplayPort, DVI, USB, VGA AC, AV, DisplayPort, DVI, USB, VGA",,24 - 83 kHz,50 - 75 Hz,,,,,,584 mm,,,Yes Yes,,,,3.5 mm,,671 x 253 x 386 mm,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Samsung LS22C45KBWV LED display - MrHighTech Shop,16:10,,,No No,No No,,"TCO, UL, CSA, TUV, GB, IEC",Black Black,,Mega Contrast,1000:1,55.5 mm,210 mm,LED,250 cd/m²,"558.8 mm (22 "")",,16.77 M,1680 x 1050 pixels,,TN+Film,Unspecified,Yes,Gold,No,329.8 mm,Yes,453.5 mm,,50/60 Hz,100 - 240 V,,,,,,,,,,10 - 80 %,10 - 40 °C,6.4 kg,416 mm,188 mm,578 mm,Yes,-1 - 95 °,0.282 x 0.282 mm,,,0.1 W,24 W,5 ms,,,. .,,1680 x 1050 (WSXGA+),-45 - 45 °,Yes,,No,Yes,-3 - 25 °,No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,3.5 kg,5 kg,502.4 mm,502.4 mm,,,1.0,No,,,,,Yes Yes,,,,,,,,"DVI, VGA DVI, VGA",,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,473.7 x 296.1 mm 473.7 x 296.1 mm,,,,,,,,,,,,,,,
No,LG 22EA63V - MrHighTech Shop,16:9,W-LED,No,No No,No No,No No,"CE, TÜV-Typ, EPA, FCC-B, UL, cUL",Black Black,,10000000:1,1000:1,74 mm,178 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,IPS,Unspecified,Yes,,Full HD,307 mm,No,380 mm,,47-63 Hz,100 - 240 V,,,,,,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE, UKR CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE, UKR",Yes Yes,,,,3.92 kg,125 mm,394 mm,601 mm,No,,0.248 x 0.248 mm,Yes Yes,,0.3 W,26 W,5 ms,,Yes,. .,,1920 x 1080 (HD 1080),,No,Yes,No,Yes,-5 - 20 °,No,,,,75 x 75 mm,1.0,475.97 mm,267.73 mm,178 °,178 °,Yes,2.5 kg,2.7 kg,500 mm,500 mm,No,,1.0,Yes,,Yes,,1,Yes Yes,,,,,1.0,1080p,,"AC, VGA AC, VGA",No No,30 - 83 kHz,56 - 75 Hz,,,,,,,,0.3 W,,15 15,,,3.5 mm,,,,,No,,,,,Yes,,,,,,"4:3, 16:9 4:3, 16:9",,,,,,,,,10.8 mm,No No,,,,,,No No,,,,,
No,Benq GL2450 - MrHighTech Shop,16:9,,,No No No,No No No,Kensington Kensington,,Black Black,,12000000:1,1000:1,63 mm,179.12 mm,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,TN+Film,Unspecified,Yes,,Full HD,350.98 mm,No,436.49 mm,,,90 - 264 V,,,,,,Yes Yes,,,,,,5.6 kg 5.6 kg,134 mm 134 mm,420 mm 420 mm,650 mm 650 mm,,,,,0.3 W,,34 W,5 ms,,,,,,,,,No,,,No No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,4.1 kg,,579.39 mm,579.39 mm,,,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,17 17,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,Black Black,,,,,,,,,,
No,Samsung S22C200BW - MrHighTech Shop,16:10,,,No No,No No,,TCO,Black Black,,Mega Contrast,1000:1,77.4 mm,185 mm,LED,250 cd/m²,"558.8 mm (22 "")",55.88 cm,16.77 M,1680 x 1050 pixels,,TN+Film,Unspecified,Yes,Gold,HD-ready,329.8 mm,No,413.5 mm,,50/60 Hz,100 - 240 V,,,,,,,,,,10 - 80 %,10 - 40 °C,5.1 kg,140 mm,403 mm,598 mm,,,0.282 x 0.282 mm,,,0.1 W,24 W,5 ms,,,. .,,1680 x 1050 (WSXGA+),,,,No,Yes,-1 - 20 °,No,,,,100 x 100 mm,1.0,473.76 mm,296.1 mm,170 °,160 °,Yes,3.55 kg,3.85 kg,502.4 mm,502.4 mm,,,,No,,,,,Yes Yes,,,,,,,,"AC, VGA AC, VGA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Philips 221TE4LB - MrHighTech Shop,16:9,W-LED,,No No No,Yes Yes Yes,,,Black Black,,20000000:1,1000:1,38 mm,174 mm,LCD,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,,,,Full HD,345 mm,No,384 mm,,50/60 Hz,100 - 240 V,,,,,2 2 2,Yes Yes,,,,,5 - 40 °C,4.37 kg 4.37 kg,116 mm 116 mm,446 mm 446 mm,567 mm 567 mm,,,,Yes Yes,,0.3 W,25.6 W,5 ms,6 W 6 W 6 W,,. .,,1920 x 1080 (HD 1080),,,,No,,0 - 15 °,Yes Yes,1.0,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,3 kg,3.24 kg,529 mm,529 mm,,,,Yes,,,,1,Yes Yes,Yes Yes,,,,1.0,"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",,"AC, VGA AC, VGA",,,,,,34 W,Yes Yes,,,Yes,0.3 W,Yes Yes,28 28,1.0,,,,,,,,,,,Yes Yes,,,,Yes,,,"4:3, 14:9, 16:9, Zoom 4:3, 14:9, 16:9, Zoom",,,,,,,,,,,,,,,,,"NTSC, PAL, SECAM NTSC, PAL, SECAM",Yes,,,
,Benq BL902TM - MrHighTech Shop,5:4,,,No No,,Kensington Kensington,TCO5.0,Black Black,,12000000:1,1000:1,222.6 mm,419.2 mm,,250 cd/m²,"482.6 mm (19 "")",,,1280 x 1024 pixels,,,,,,,419.2 mm,,56.05 mm,,,,,,,,,,,,,,,,,,,,,0.294 x 0.294 mm,,,,25.8 W,5 ms,2 W 2 W,,,,,-45 - 45 °,,,,,-5 - 20 °,No,,,,100 x 100 mm,1.0,,,170 °,160 °,,5.1 kg,7.6 kg,432.35 mm,361.25 mm,,,,Yes,,,,1,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 - 240 VAC,,,,,,,,,,,,,,,,,,,,,,,,,
No,Benq GW2760HM - MrHighTech Shop,16:9,,No,No No,Yes Yes,Yes Yes,TCO 6.0,Black Black,,20000000:1,3000:1,215 mm,,LED,300 cd/m²,"685.8 mm (27 "")",68.58 cm,16.77 M,1920 x 1080 pixels,,TN+Film,Unspecified,Yes,,Full HD,488 mm,No,,,,90 - 264 V,,,,,2 2,Yes Yes,,Yes Yes,,,,6.6 kg,,,,No,,0.311 x 0.311 mm,Yes Yes,31 W,0.3 W,45 W,12 ms,2 W 2 W,,,,1920 x 1080 (HD 1080),,No,,No,Yes,-5 - 20 °,No,,,,100 x 100 mm,1.0,,,178 °,178 °,Yes,4.7 kg,,641 mm,,No,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",,Yes,,Yes,,,,,,Yes,,1.0,1080p,No No,,,,,,,,,,,,,,17 17,,,,,,,Yes,No,No No,,,,,,,,,,,,1 1,,,,,,,,,,,,,,,,,,,
,Eizo FlexScan  21.3 inch LCD - MrHighTech Shop,,,,,,,,Black,,,900:1,,,,300 cd/m²,"541 mm (21.3 "")",,,1600 x 1200 pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,8 ms,,,,,,,,,,,,,3.0,,49 - 76 Hz,,1.0,,,178 °,178 °,,,,,,,,,,,,1.0,,,,,,,,,,,,,59 - 61 Hz,,,,,,540 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Viewsonic LED LCD VX2452mh - MrHighTech Shop,16:9,W-LED,No,,Yes Yes,No No,"CE,CB, BSMI, PSB, SASO, C-tick, UL/cUL, FCC-B (incl. ICES003), TUV-S, NOM, GOST-R/Hygienic, UkrSEPRO, Erp, CCC, China Energy, WEEE, RoHS, SVHC",Black Black,,50000000:1,1000:1,53 mm,222.5 mm,LED,300 cd/m²,"599.4 mm (23.6 "")",59.94 cm,,1920 x 1080 pixels,Yes,TFT,Unspecified,Yes,Silver,Full HD,356.7 mm,No,431.7 mm,24 - 82 kHz,50/60 Hz,100 - 240 V,,Yes Yes,30000 h 30000 h,,2 2,Yes Yes,,Yes Yes,,10 - 90 %,0 - 40 °C,5.4 kg,123 mm,454 mm,609 mm,No,,,Yes Yes,15.8 W,,21.5 W,2 ms,4 W 4 W,Yes,. .,,1920 x 1080 (HD 1080),,No,,No,Yes,0 - 20 °,,,,50 - 75 Hz,100 x 100 mm,1.0,521 mm,292 mm,170 °,160 °,Yes,3.5 kg,3.8 kg,559.2 mm,559.2 mm,No,Yes Yes,1.0,Yes,,Yes,,,,,,Yes,,1.0,1080p,No No,"Audio (3.5mm), DVI, VGA Audio (3.5mm), DVI, VGA",,24 - 82 kHz,50 - 75 Hz,,,,,,599 mm,,,Yes Yes,,,,,,,,Yes,No,No No,,,,,,,,,,,Yes Yes,1 1,,,,,,,,,,,,,,,,,,,
,iiyama ProLite E2278HD-GB1 - MrHighTech Shop,16:9,,,No No,No No,Kensington Kensington,,Black Black,,5000000:1,1000:1,177.5 mm,,LCD,250 cd/m²,"546.1 mm (21.5 "")",,16.77 M,1920 x 1080 pixels,,TN+Film,,Yes,,Full HD,369.5 mm,,,30 - 80 kHz,50/60 Hz,100 - 240 V,,,,,,,,,,,,,,,,,,0.248 x 0.248 mm,,,,20 W,5 ms,,Yes,. .,,,,,,No,,-5 - 23 °,No,,,55 - 75 Hz,100 x 100 mm,1.0,476.6 mm,268.1 mm,170 °,160 °,Yes,2.8 kg,,514.5 mm,,,,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,ASUS VB178T - MrHighTech Shop,5:4,,,No No,Yes Yes,Kensington Kensington,"L/cUL, CB, CE, ErP, FCC,CCC, BSMI, Gost-R, C-Tick, VCCI,PSB,TCO5.2, ISO9241-307, TUV-GS/ERGO, J-MOSS, RoHS, WEEE, Windows 7 WHQL",Black Black,,50000000:1,,60 mm,210 mm,LED,250 cd/m²,"431.8 mm (17 "")",,16.77 M,1280 x 1024 pixels,,,,Yes,,No,314.2 mm,No,386 mm,30 - 83 kHz,50/60 Hz,100 - 240 V,,,,,2 2,,,,,,,,,,,,,0.264 x 0.264 mm,,,1 W,25 W,5 ms,2 W 2 W,,. .,,1280 x 1024 (SXGA),,,,No,,-5 - 20 °,No,,,55 - 75 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,3.5 kg,5.1 kg,377 mm,377 mm,,,1.0,Yes,,,,,,,,,,,,,"AC, DVI, VGA AC, DVI, VGA",,30 - 83 kHz,55 - 75 Hz,,,,,,,Yes,,Yes Yes,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philips C221S3UCW - MrHighTech Shop,16:9,W-LED,,,,Kensington Kensington,RoHS,White White,"EMC: CE Mark, IEC/EN60601-1-2 Safety: CE Mark, IEC/EN60601-1 Ergonomic/Others: JIS Z2801, WEEE",,1000:1,59 mm,201 mm,LED,150 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,Yes,LCD/TFT,Unspecified,,Silver,Full HD,323 mm,Yes,402 mm,,50/60 Hz,100 - 120 V,Operation Operation,,30.000 h 30.000 h,,,Yes Yes,"CHI (SIMPL), ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), ENG, ESP, FRE, ITA, POR, RUS",Yes Yes,,20 - 80 %,0 - 40 °C,5.13 kg,131 mm,461 mm,565 mm,,,0.248 x 0.248 mm,Yes Yes,,0.3 W,10.3 W,5 ms,,,. .,-20 - 60 °C,,,Yes,,,Yes,,,1.0,,,100 x 100 mm,,476.6 mm,268.1 mm,160 °,150 °,Yes,3.44 kg,3.85 kg,507 mm,507 mm,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White White,,,,,,,,,,
No,iiyama ProLite GB2773HS-1 - MrHighTech Shop,16:9,,,,Yes Yes,Kensington Kensington,,Black Black,,1000:1,,230 mm,,LED,300 cd/m²,"685.8 mm (27 "")",,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,,Full HD,522.5 mm,Yes,,,50/60 Hz,100 - 240 V,,,,,2 2,,,,,,,,,,,,,,,,0.5 W,35 W,1 ms,4 W 4 W,,. .,,1920 x 1080 (HD 1080),,,,No,,,No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,7.4 kg,,647 mm,,,Yes Yes,,Yes,,,,1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,AOC E2470SWHE LED display - MrHighTech Shop,16:9,,,No No No,No No No,Kensington Kensington,,Black Black,,20000000:1,1000:1,78.2 mm,,LED,250 cd/m²,"599.4 mm (23.6 "")",59.9 cm,16.77 M,1920 x 1080 pixels,,LCD,Unspecified,Yes,Gold,Full HD,396.9 mm,No,,,50/60 Hz,110 - 240 V,,,,,,Yes Yes,,,,,,,,,,,,0.276 x 0.276 mm,,,0.5 W,26 W,5 ms,,,. .,,,,,,No,,,No No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,3.58 kg,,551.4 mm,,,,,No,,,,,,,,,,2.0,,,"HDMI, VGA HDMI, VGA",,,,,,,,,,,0.5 W,,,,,,,,,No,,,,,No No,,,,,,,,,,,,Yes,,,,,,Black Black,,,,,,,,,,
