<page title>,adjustable display angle,adjustable display height,aspect ratio,backlight technology,brand name,brightness,certifications standards,color,contrast ratio,depth,displayport,dvi,green compliance certificateauthority,green compliant,hdcp supported,height,horizontal viewing angle,limited warranty,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,mount type,number of screens,operating power consumption,package contents,platform supported,product line,product model,product name,product type,response time,screen mode,screen size,screen surface,standby power consumption,vertical viewing angle,vesa mount compatible,vesa mount standard,vga,weight approximate,width,additional information,color supported,input voltage,touchscreen,touchscreen type,usb,adjustable display pivot,builtin devices,features,panel technology,usb standard,weight with stand approximate,depth with stand,hdmi,height with stand,horizontal frequency,standard refresh rate,width with stand,offmode power consumption,swivel angle,tilt angle,display orientation,product series,maximum adjustable height,speakers,component video,network rj45,serial port,country of origin,full product specifications,headphone,number of speakers,interfacesports,postconsumerwaste,recycled,recycled content,composite video,multitouch screen,svideo,webcam,package type,digital zoom,image sensor,resolution,compatibility,packaged quantity,3d type
"Aoc I2757fh 27"" Led Lcd Monitor - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 20,000,000:1 - Full Hd - Speakers - Hdmi - Vga - 40 W - Black, Silver - (I2757FH) - SoftwareCity.ca - Canada",Yes,,,LED,AOC,250 cd/mÂ²,,"Black, Silver","20,000,000:1",,,,,,Yes,,178Â°,,AOC,I2757FH,http://us.aoc.com,1920 x 1080,,1.0,40 W,,PC,,I2757FH,I2757FH 27 Inch IPS Monitor,LCD Monitor,5 ms,Full HD,"27""",,500 mW,178Â°,,,Yes,5.70 kg,,,16.7 Million Colors,,,,,,,Off Timer,In-plane Switching (IPS) Technology,,,"5.1"" (130 mm)",Yes,"19.6"" (499 mm)",,,"24.5"" (622 mm)",,,,,57,,Yes,,,,,,,,,,,,,,,,,,,,,,
"Acer S241hl 24"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 100,000,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - 19.80 W - Black - Mpr Ii, Energy Star - (UM.FS1AA.001) - SoftwareCity.ca - Canada",Yes,No,16:9,LED,Acer,250 cd/mÂ²,,Black,"100,000,000:1","6.5"" (165.1 mm)",,Yes,"MPR II, ENERGY STAR",Yes,Yes,"15.8"" (401.3 mm)",170Â°,,"Acer, Inc",UM.FS1AA.001,http://www.acer.ca,1920 x 1080,,1.0,19.80 W,S241HL Widescreen LCD Monitor1 x VGA Cable1 x DVI Cable1 x HDMI CablePower Cord,,,S241HL,S241HL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"24""",Anti-glare,460 mW,160Â°,,,Yes,3.45 kg,"22.2"" (563.9 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,,No,,,Twisted Nematic Film (TN Film),,3.83 kg,,Yes,,,60 Hz,,450 mW,,,,S,,Yes,,,,,,,,,,,,,,,,,,,,,,
"Aoc U2868pqu 28"" Lcd Monitor - 2 Ms - Adjustable Display Angle - 3840 X 2160 - 300 Nit - 80,000,000:1 - Ultra Hd - Speakers - Dvi - Hdmi - Vga - Displayport - Usb - Black - (U2868PQU) - SoftwareCity.ca - Canada",Yes,Yes,,,AOC,300 Nit,,Black,"80,000,000:1","2""",Yes,Yes,,,,"15.6""",170Â°,,AOC,U2868PQU,http://us.aoc.com,3840 x 2160,,1.0,,,,,U2868PQU,U2868PQU Widescreen LCD Monitor,LCD Monitor,2 ms,Ultra HD,"28""",,,160Â°,Yes,100 x 100,Yes,,"25.9""",,,,,,Yes,Yes,"USB Hub, Speaker",,Twisted Nematic Film (TN Film),,,"9.65""",Yes,"22.07""",,,"25.94""",,,,,,"5.12""",Yes,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkvision Lt3053p 30"" Led Lcd Monitor - 16:10 - 6 Ms - Adjustable Display Angle - 2560 X 1600 - 1.07 Billion Colors - 300 Nit - 1,000:1 - Wqxga - Dvi - Hdmi - Vga - Displayport - Usb - 130 W - Business Black - Cecp, Ule Gold, China Rohs, Turkey Rohs, Reach, Epeat Gold, China Energy Label (cel), Epa, Tco Certified Displays 6.0, Taiwan Green Mark, Energy Star 6.0, ... - (60A4RAR1US) - SoftwareCity.ca - Canada",Yes,Yes,16:10,LED,Lenovo,300 cd/mÂ²,"Safety: cTUVus CSA CB Report NEMKO NOM SASO TUV-GS CCC GOST PSB BSMI KC JEIDA TUV-S ISC KVALITET KUCAS INSM SABS STZ BELLIS OTAN KONCAR CSM SONCAP EMI: FCC B IC CE VCCI KC C-Tick SABS BSMI Ergonomic:
VOC e-Standby Green Mark",Business Black,"1,000:1","2.4"" (62 mm)",Yes,Yes,"CECP, ULE Gold, China RoHS, Turkey RoHS, REACH, EPEAT Gold, China Energy Label (CEL), EPA, TCO Certified Displays 6.0, Taiwan Green Mark, ENERGY STAR 6.0, TCO Certified Displays",Yes,,,178Â°,3 Year,Lenovo Group Limited,60A4RAR1US,http://www.lenovo.com/ca/en,2560 x 1600,,1.0,130 W,ThinkVision LT3053p 30-inch WQXGA IPS LED Backlit LCD Professional Monitor Detachable tool-less Full Ergo Stand Professional Shading Hood Dual-Link DVI-D Cable DisplayPort Cable Analog Video Cable USB 2.0 Cable USB 3.0 Cable Power Cord CD Quick Start and Safety Poster,PC,ThinkVision,LT3053p,ThinkVision LT3053p 30-inch WQXGA IPS LED Backlit LCD Professional Monitor,LCD Monitor,6 ms,WQXGA,"30""",,1.20 W,178Â°,Yes,100 x 100,Yes,11.50 kg,"27.2"" (690.1 mm)",,1.07 Billion Colors,"110 V AC, 220 V AC",,,Yes,Yes,USB Hub,"Security Lock, Mobile High-Definition Link (MHL), Picture by Picture, Picture in Picture",Advanced High Performance In-plane Switching (AH-IPS) Technology,USB 3.0,,"9.5"" (241.8 mm)",Yes,"18.6"" (471.2 mm)",,60 Hz,"27.2"" (690.1 mm)",500 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viewsonic Vx2263smhl-w 22"" Led Lcd Monitor - 16:9 - 14 Ms - Adjustable Display Angle - 1920 X 1080 - 250 Nit - 50,000,000:1 - Full Hd - Speakers - Hdmi - Vga - 20 W - Glossy - Energy Star 6.0, Epeat Silver - (VX2263SMHL-W) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Viewsonic,250 cd/mÂ²,FCC-B UL NOM NRCan,Glossy,"50,000,000:1","1.6"" (40.6 mm)",,,"ENERGY STAR 6.0, EPEAT Silver",Yes,,"12.3"" (312.4 mm)",178Â°,3 Year,Viewsonic Corporation,VX2263SMHL-W,http://www.viewsonic.com,1920 x 1080,"Desk Mountable, Wall Mountable",1.0,20 W,VX2263SMHL-W Widescreen LCD Monitor Power cable AC/DC adapter VGA cable HDMI cable Audio cable Quick start Guide ViewSonic Wizard CD-ROM (User Guide),"PC, Mac",,VX2263SMHL-W,VX2263SMHL-W Widescreen LCD Monitor,LCD Monitor,14 ms,Full HD,"22""",Anti-glare,,178Â°,Yes,100 x 100,Yes,2.59 kg,"19.6"" (497.8 mm)",,,"120 V AC, 230 V AC",,,,,Speaker,"Mobile High-Definition Link (MHL), Super Clear Image Enhancement Technology, Eco Mode",,,2.90 kg,"6.5"" (165.1 mm)",Yes,"15.3"" (388.6 mm)",,76 Hz,"19.6"" (497.8 mm)",,,5Â°to15Â°,,,,Yes,,,,,,,2.0,,,Yes,,,,,,,,,,,1.0,
"Viewsonic Vx2770smh-led 27"" Led Lcd Monitor - 7 Ms - Adjustable Display Angle - 1920 X 1080 - 250 Nit - 1,000:1 - Full Hd - Dvi - Hdmi - Vga - 30 W - Energy Star, Erp, Epeat Silver, Weee, Rohs - (VX2770SMH-LED) - SoftwareCity.ca - Canada",Yes,,,LED,Viewsonic,250 cd/mÂ²,CECBBSMISASOC-ticke-standbyKCUL/cULFCC-BICES003NOMGOST-R/HygienicUkrSEPROCCCISO 9001ISO 14001TUV,,"1,000:1","7.6"" (193 mm)",,Yes,"ENERGY STAR, ErP, EPEAT Silver, WEEE, RoHS",Yes,Yes,"18.1"" (459.7 mm)",178Â°,3 Year,Viewsonic Corporation,VX2770SMH-LED,http://www.viewsonic.com,1920 x 1080,,1.0,30 W,"VX2770Smh-LED Widescreen With Full HD 1080p 27"" Frameless LED DisplayPower CableAC/DC AdapterVGA CableHDMI CableQuick Start GuideViewSonic Wizard CD","PC, Mac",,VX2770Smh-LED,"VX2770Smh-LED Widescreen With Full HD 1080p 27"" Frameless LED Display",LCD Monitor,7 ms,Full HD,"27""",Anti-glare,,178Â°,,,Yes,4.99 kg,"24.5"" (622.3 mm)",,,"110 V AC, 220 V AC",,,,,,"Security Lock, Touch Controls",In-plane Switching (IPS) Technology,,,,Yes,,,76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hp Z23i 23"" Led Lcd Monitor - 16:9 - 8 Ms - Adjustable Display Angle - 1920 X 1080 - 250 Nit - 1,000:1 - Full Hd - Dvi - Vga - Displayport - Usb - 36 W - (D7Q13A4#ABA) - SoftwareCity.ca - Canada",Yes,Yes,16:9,LED,HP,250 cd/mÂ²,,Black,"1,000:1","2"" (51 mm)",Yes,Yes,"RoHS, ENERGY STAR, EPEAT Gold, IT Eco Declaration, TCO Certified Displays 6.0",Yes,Yes,"13"" (329 mm)",178Â°,3 Year,Hewlett-Packard,D7Q13A4#ABA,http://www.hp.com/ca,1920 x 1080,,1.0,36 W,,PC,,Z23i,Z23i 23-Inch IPS Display,LCD Monitor,8 ms,Full HD,"23""",Anti-glare,200 mW,178Â°,,,Yes,4.19 kg,"21.4"" (544 mm)",,,,,,Yes,Yes,,Security Lock,In-plane Switching (IPS) Technology,,,"9.6"" (242.9 mm)",,,94 kHz,60 Hz,,120 mW,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
"Planar Pt1545r 15"" Lcd Touchscreen Monitor - 8 Ms - 5-wire Resistive - 1024 X 768 - Adjustable Display Angle - 16.7 Million Colors - 500:1 - 250 Cd/mÂ² - Speakers - Usb - Vga - Black - Rohs - 3 Year - (997-5967-00) - SoftwareCity.ca - Canada",Yes,,,,Planar,250 cd/mÂ²,UL/c-ULFCC-Class BTUV-T markCE,Black,500:1,"8"" (203.2 mm)",,,RoHS,Yes,,"12"" (304.8 mm)",140Â°,3 Year,"Planar Systems, Inc",997-5967-00,http://www.planar.com,1024 x 768,"Wall Mountable, Arm-mountable",,20 W,"PT1545R Touchscreen LCD MonitorPower Cord, VGA CableRS-232 CableUSB Cable (A to B)Audio-in CableDriver CDUser's GuideQuick Start Guide","PC, Mac",,PT1545R,PT1545R Touchscreen LCD Monitor,LCD Touchscreen Monitor,8 ms,XGA,"15""",,3.99 W,125Â°,Yes,100 x 100,Yes,4.08 kg,"12.8"" (325.1 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",Yes,5-wire Resistive,Yes,,Speaker,,,,,,,,,75 Hz,,,,,,,,Yes,,,,China,,,,,,,,,,,,,,,,,,
"Viewsonic Professional Vp2365-led Widescreen Lcd Monitor - 23"" - Led - 6ms - 16:9 - Adjustable Display Angle: Yes - 1920 X 1080 - 16.7 Million Colors - 250nit - 1,000:1 - Dvi: Yes - Vga: Yes - Usb: Yes - Black - Energy Star, Epeat Silver, Rohs, Weee, Tco '05 - (VP2365-LED) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Viewsonic,250 cd/mÂ²,ULCULFCC-BCBCETUV/GSTUV ERGOTUV-SNOMGOST-RHYGIENICCCCBSMIPSBCELKCC-TICKSASO,Black,"1,000:1","2.6"" (66 mm)",,Yes,"ENERGY STAR, EPEAT Silver, RoHS, WEEE, TCO '05",Yes,Yes,"12.8"" (325.1 mm)",178Â°,3 Year,Viewsonic Corporation,VP2365-LED,http://www.viewsonic.com,1920 x 1080,,1.0,45 W,Professional VP2365-LED Widescreen LCD MonitorPower CableVGA CableDVI CableUSB CableQuick Start GuideViewSonic Wizard CD,"PC, Mac",Professional,VP2365-LED,Professional VP2365-LED Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"23""",,,178Â°,Yes,100 x 100,Yes,3.30 kg,"21.6"" (548.6 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,Yes,,USB Hub,Pivot Display,In-plane Switching (IPS) Technology,,5.40 kg,"9.8"" (248.9 mm)",,"17"" (431.8 mm)",,75 Hz,"21.6"" (548.6 mm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nec Display Multisync Ea273wmi-bk 27"" Led Lcd Monitor - 16:9 - 6 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 1,000:1 - Full Hd - Dvi - Hdmi - Vga - Displayport - Usb - 31 W - Energy Star 6.0, Tco Certified Displays 6.0, Epeat Gold, Rohs - (EA273WMI-BK) - SoftwareCity.ca - Canada",Yes,Yes,16:9,LED,NEC Display,250 cd/mÂ²,ISO 9241-307 Class I,,"1,000:1","2.6"" (66 mm)",Yes,Yes,"ENERGY STAR 6.0, TCO Certified Displays 6.0, EPEAT Gold, RoHS",Yes,Yes,"14.9"" (378.5 mm)",178Â°,3 Year,NEC Display Solutions,EA273WMI-BK,http://www.necdisplay.com,1920 x 1080,"Desk Mountable, Arm-mountable",1.0,31 W,"27"" Eco-Friendly Widescreen Desktop Monitor w/ IPS Panel Setup sheet User manual Power cord 15-pin D-sub cable DVI-D cable USB cable Audio cable ControlSync cable",PC,MultiSync,EA273WMI-BK,"27"" Eco-Friendly Widescreen Desktop Monitor w/ IPS Panel",LCD Monitor,6 ms,Full HD,"27""",,480 mW,178Â°,Yes,100 x 100,Yes,4.31 kg,"25.2"" (640.1 mm)",,16.7 Million Colors,,,,Yes,Yes,USB Hub,"Carbon Footprint Meter, Cable Management, Touch Controls, Eco Mode, Ambient Light Sensor",Advanced High Performance In-plane Switching (AH-IPS) Technology,,7.21 kg,"9.1"" (231.1 mm)",Yes,"21.6"" (548.6 mm)",83 kHz,75 Hz,"25.2"" (640.1 mm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nec Display Ea274wmi-bk 27"" Led Lcd Monitor - 16:9 - 6 Ms - Adjustable Display Angle - 2560 X 1440 - 16.7 Million Colors - 350 Nit - 25,000:1 - Wqhd - Speakers - Dvi - Hdmi - Vga - Displayport - Usb - 57 W - Black - Energy Star 6.0, Tco Certified Displays 6.0, Epeat Gold, Rohs, Erp, Tco Certified Edge, TÃ¼v, Mpr Iii, Mpr Ii - (EA274WMI-BK) - SoftwareCity.ca - Canada",Yes,Yes,16:9,LED,NEC Display,350 cd/mÂ²,ISO 9241-307 Class I CE TÃV GS FCC Class B PCT/Gost UL/C-UL or CSA ISO 9241-307 (Pixel failure class I),Black,"25,000:1","2.6"" (66 mm)",Yes,Yes,"ENERGY STAR 6.0, TCO Certified Displays 6.0, MPR II, EPEAT Gold, RoHS, ErP, TCO Certified Edge, TÃV, MPR III",Yes,Yes,"14.9"" (378.5 mm)",178Â°,3 Year,NEC Display Solutions,EA274WMI-BK,http://www.necdisplay.com,2560 x 1440,"Arm-mountable, Desk Mountable",1.0,57 W,"27"" Eco-Friendly Widescreen QHD Desktop Monitor w/ IPS Panel Setup sheet User manual Power cord 15-pin D-sub cable DVI-D cable USB 3.0 cable Audio cable ControlSync cable",PC,,EA274WMI-BK,"27"" Eco-Friendly Widescreen QHD Desktop Monitor w/ IPS Panel",LCD Monitor,6 ms,WQHD,"27""",,800 mW,178Â°,Yes,100 x 100,Yes,5.81 kg,"25.2"" (640.1 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,Yes,Yes,"USB Hub, Speaker","Ambient Light Sensor, Eco Mode, Carbon Footprint Meter, Cable Management, AccuColor, Touch Controls, Security Lock, Off Timer, Smart Sensing Technology",In-plane Switching (IPS) Technology,USB 3.0,8.71 kg,"9.1"" (231.1 mm)",Yes,"21.6"" (548.6 mm)",83 kHz,60 Hz,"25.2"" (640.1 mm)",,170Â°,5Â°to30Â°,Landscape/Portrait,,"5.1"" (130 mm)",Yes,,,,,,Yes,2.0,,,,,,,,,,,,,,,
"Philips Brilliance C271p4qpjew 27"" Led Lcd Monitor - 16:9 - 12 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Cd/mÂ² - 5,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Usb - 26 W - White - Tco Certified Displays 6.0, Energy Star, Epeat Gold, Weee, Rohs - (C271P4QPJEW/27) - SoftwareCity.ca - Canada",Yes,Yes,16:9,LED,Philips,300 cd/mÂ²,"EMC:
IEC/EN60601-1-2 CE Mark Safety:
IEC/EN60601-1 CE Mark GOST Ergonomic/Others:
JIS Z2801 TUV TUV/GS",White,"5,000:1","2.5"" (64 mm)",,Yes,"TCO Certified Displays 6.0, ENERGY STAR, EPEAT Gold, WEEE, RoHS",Yes,Yes,"15.9"" (405 mm)",178Â°,1 Year,Philips Electronics,C271P4QPJEW/27,http://www.philips.com,1920 x 1080,,1.0,26 W,,"PC, Mac",Brilliance,C271P4QPJEW,Brilliance LCD Monitor With Clinical D-Image,LCD Monitor,12 ms,Full HD,"27""",,400 mW,178Â°,Yes,100 x 100,Yes,5.10 kg,"25.2"" (639 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,Yes,Yes,"USB Hub, Speaker","PowerSensor, Sync on Green, SmartErgoBase, SmartImage, Security Lock, SmartControl, Cable Management",AMVA+,USB 2.0,7.90 kg,"7.5"" (191 mm)",Yes,"22.7"" (577 mm)",,60 Hz,"25.2"" (639 mm)",0 mW,,,,,,Yes,,,,,,Yes,2.0,,,,,,,,,,,,,,,
"Planar Pl1500m 15"" Lcd Monitor - 4:3 - 8 Ms - Adjustable Display Angle - 1024 X 768 - 16.7 Million Colors - 250 Nit - 500:1 - Xga - Speakers - Vga - 25 W - Black - Rohs, Weee - (997-7318-00) - SoftwareCity.ca - Canada",Yes,,4:3,,Planar,250 cd/mÂ²,FCC-B CE UL/cUL,Black,500:1,"2"" (51.7 mm)",,,"RoHS, WEEE",Yes,,"11.3"" (286.5 mm)",140Â°,3 Year,"Planar Systems, Inc",997-7318-00,http://www.planar.com,1024 x 768,"Wall Mountable, Arm-mountable",1.0,25 W,"PL1500M 15"" LCD Monitor Power Cord VGA Cable User's Guide","PC, Mac",,PL1500M,"PL1500M 15"" LCD Monitor",LCD Monitor,8 ms,XGA,"15""",Anti-glare,2 W,125Â°,Yes,75 x 75,Yes,2.72 kg,"13.3"" (339 mm)",,16.7 Million Colors,"120 V AC, 230 V AC",,,,,Speaker,Security Lock,,,,"5.8"" (147.5 mm)",,"13.7"" (347.4 mm)",,75 Hz,"13.3"" (339 mm)",,,-1Â°to20Â°,,,,Yes,,,,,,,2.0,,,,,,,,,,,,,,1.0,
"Asus Designo Mx299q 29"" Led Lcd Monitor - 21:9 - 5 Ms - Adjustable Display Angle - 2560 X 1080 - 16.7 Million Colors - 300 Nit - 80,000,000:1 - Speakers - Dvi - Hdmi - Displayport - 31.70 W - Black, Silver - (MX299Q) - SoftwareCity.ca - Canada",Yes,No,21:9,LED,Asus,300 cd/mÂ²,,"Black, Silver","80,000,000:1",,Yes,Yes,,,Yes,,178Â°,,ASUS Computer International,MX299Q,http://www.asus.com,2560 x 1080,,1.0,31.70 W,,"PC, Mac",Designo,MX299Q,Designo MX299Q Widescreen LCD Monitor,LCD Monitor,5 ms,,"29""",,500 mW,178Â°,No,,No,5.50 kg,,,16.7 Million Colors,,,,No,No,Speaker,"Trace Free Technology, Splendid Video Intelligence Technology, Security Lock",Advanced High Performance In-plane Switching (AH-IPS) Technology,,,"8.5"" (215.1 mm)",Yes,"15.4"" (391 mm)",,,"27.6"" (700.2 mm)",500 mW,,,,MX,,Yes,,No,,,,Yes,2.0,,,,,,,,No,,,,,,,
"Asus Mx279h 27"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 80,000,000:1 - Full Hd - Speakers - Hdmi - Vga - 37 W - Black, Silver - J-moss (japanese Rohs), Weee, Rohs, Energy Star, Erp - (MX279H) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Asus,250 cd/mÂ²,BSMICBCCCCEC-TickFCCGost-RPSEUL/cULVCCIWHQL,"Black, Silver","80,000,000:1",,,,"J-Moss (Japanese RoHS), WEEE, RoHS, ENERGY STAR, ErP",Yes,Yes,,178Â°,,ASUS Computer International,MX279H,http://www.asus.com,1920 x 1080,,1.0,37 W,MX279H Widescreen LCD MonitorVGA CableAudio CablePower CordPower AdapterQuick Start GuideHDMI-to-DVI CableWarranty Card,PC,,MX279H,MX279H Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"27""",,500 mW,178Â°,,,Yes,5.20 kg,,,16.7 Million Colors,"110 V AC, 220 V AC",,,,,Speaker,"Ultra Slim, Splendid Video Intelligence Technology, Security Lock",In-plane Switching (IPS) Technology,,,"8.9"" (225.2 mm)",Yes,"17.4"" (441.3 mm)",,76 Hz,"24.5"" (622.6 mm)",500 mW,,,,MX,,Yes,,,,,,Yes,2.0,,,,,,,,,,,,,,,
"Ag Neovo Sx-19p 19"" Lcd Monitor - 3 Ms - 1280 X 1024 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Sxga - Speakers - Dvi - Vga - 33.99 W - (SX-19P) - SoftwareCity.ca - Canada",,,,,AG Neovo,250 cd/mÂ²,,,"1,000:1","6.9"" (175 mm)",,Yes,,,,"16.5"" (420 mm)",160Â°,,AG Neovo Technology Corporation,SX-19P,http://www.agneovo.com,1280 x 1024,Wall Mountable,1.0,33.99 W,,,,SX-19P,SX-19P CCTV LCD Monitor,LCD Monitor,3 ms,SXGA,"19""",,,160Â°,Yes,100 x 100,Yes,7.40 kg,"17.5"" (445 mm)",,16.7 Million Colors,,,,,,Speaker,,,,,,,,,,,990 mW,,,,,,Yes,,,,,,,2.0,,,,,,,Yes,,,,,,,,
"Planar La2250rtpw 21.5"" Led Lcd Touchscreen Monitor - 16:9 - 14 Ms - Projected Capacitive - 1920 X 1080 - 1,000:1 - 250 Nit - Dvi - Usb - Vga - Rohs - 3 Year - (997-7442-00) - SoftwareCity.ca - Canada",,,16:9,LED,Planar,250 cd/mÂ²,CEUL/cULFCC-B,,"1,000:1","1.8"" (46 mm)",,Yes,RoHS,Yes,,"12.3"" (313.3 mm)",178Â°,3 Year,"Planar Systems, Inc",997-7442-00,http://www.planar.com,1920 x 1080,,,27 W,,PC,,LA2250RTPW,LA2250RTPW Touchscreen LCD Monitor,LCD Touchscreen Monitor,14 ms,Full HD,"21.5""",,2 W,178Â°,Yes,100 x 100,Yes,4.40 kg,"20.4"" (517.4 mm)",,,"110 V AC, 220 V AC",Yes,Projected Capacitive,Yes,,,,,,,,,,,75 Hz,,1 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eizo Radiforce 21.3"" Led Lcd Monitor - 40 Ms - 2048 X 1536 - 1024 Gray Levels (10-bit) - 500 Cd/mÂ² - 1,200:1 - Qxga - Dvi - Displayport - Usb - 90 W - Black - Weee, Rohs - (GX340-CL-P-BK) - SoftwareCity.ca - Canada",,,,LED,Eizo,500 cd/mÂ²,,Black,"1,200:1","3.9"" (98 mm)",Yes,Yes,"WEEE, RoHS",Yes,,"50.5"" (1282.7 mm)",,5 Year,Eizo Nanao Tech,GX340-CL-P-BK,http://www.eizo.com,2048 x 1536,,1.0,90 W,,,RadiForce,,"GX340CLP, 21.3"" 3MP Monochrome LED",LCD Monitor,40 ms,QXGA,"21.3""",,,,,,,7.50 kg,"14.8"" (376 mm)",,1024 Gray Levels (10-bit),,,,Yes,,USB Hub,,,,10.20 kg,"9.7"" (246 mm)",,"23.6"" (599 mm)",,,"14.8"" (376 mm)",,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,1.0,
"Aoc E1659fwu 16"" Led Lcd Monitor - 16:9 - 8 Ms - Adjustable Display Angle - 1366 X 768 - 16.7 Million Colors - 200 Nit - 500:1 - Hd - Usb - 8 W - Glossy Piano Black - Energy Star, Rohs - (E1659FWU) - SoftwareCity.ca - Canada",Yes,,16:9,LED,AOC,200 cd/mÂ²,cCSAus cTUVus CE FCC,Glossy Piano Black,500:1,"0.9"" (22.9 mm)",No,No,"ENERGY STAR, RoHS",Yes,,"9.2"" (233.9 mm)",90Â°,1 Year,AOC,E1659FWU,http://us.aoc.com,1366 x 768,"Wall Mountable, Arm-mountable",1.0,8 W,"E1659FWU 16-Inch Class USB-Powered Monitor Base Carry case USB 3.0 Cable CD-ROM (Drivers, Software, User's Manual, Warranty)","PC, Mac",,E1659FWU,E1659FWU 16-Inch Class USB-Powered Monitor,LCD Monitor,8 ms,HD,"16""",,1 W,50Â°,Yes,75 x 75,No,1.09 kg,"14.8"" (375.9 mm)",,16.7 Million Colors,,,,Yes,Yes,,Ultra Slim,,USB 3.0,,"0.9"" (23 mm)",No,"9.2"" (234 mm)",48 kHz,60 Hz,"14.8"" (375 mm)",,,15Â°to30Â°,Landscape/Portrait,,,No,,,,,,,,,,,,,,,,,,,,,,
"Eizo Radiforce Gx540-cl-p 21.3"" Led Lcd Monitor - 4:5 - 25 Ms - 2048 X 2560 - 1200 Cd/mÂ² - 1200:1 - Qsxga - Dvi - Displayport - Usb - 108 W - Black - Rohs, China Rohs, Weee - (GX540-CL-P-BK) - SoftwareCity.ca - Canada",,,4:5,LED,Eizo,1200 cd/mÂ²,CE EN60601-1 UL60601-1 CSA C22.2 No. 601-1 IEC60601-1 VCCI-B FCC-B ICES-003-B C-tick CCC GOST-R,Black,1200:1,,Yes,Yes,"RoHS, China RoHS, WEEE",Yes,,,176Â°,5 Year,Eizo Nanao Tech,GX540-CL-P-BK,http://www.eizo.com,2048 x 2560,,1.0,108 W,"RadiForce GX540-CL-P LCD Monitor AC power cord Dual link signal cable (DVI-D - DVI-D) Signal cable (DisplayPort - DisplayPort) USB cable Utility Disk (RadiCS LE, ScreenManager Pro for Medical, User's manual)",,RadiForce,GX540-CL-P,RadiForce GX540-CL-P LCD Monitor,LCD Monitor,25 ms,QSXGA,"21.3""",,700 mW,176Â°,Yes,100 x 100,,8.80 kg,,,,"110 V AC, 220 V AC",,,Yes,,,Ambient Light Sensor,In-plane Switching (IPS) Technology,USB 2.0,11.50 kg,,,,,61 Hz,,,,,,GX540,,,,,,,,,,,,,,,,,,,,,,,,
"Viewsonic Vx2270smh-led 22"" Led Lcd Monitor - 16:9 - 7 Ms - 1920 X 1080 - 250 Nit - 1,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Glossy Black - Epeat Silver, Rohs - (VX2270SMH-LED) - SoftwareCity.ca - Canada",,,16:9,LED,Viewsonic,250 cd/mÂ²,,Glossy Black,"1,000:1",,,Yes,"EPEAT Silver, RoHS",Yes,Yes,,178Â°,3 Year,Viewsonic Corporation,VX2270SMH-LED,http://www.viewsonic.com,1920 x 1080,,1.0,,,,,VX2270Smh-LED,VX2270Smh-LED Widescreen LCD Monitor,LCD Monitor,7 ms,Full HD,"22""",Anti-glare,,178Â°,,,Yes,,,,,,,,,,Speaker,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
