<page title>,aspect ratio,backlight technology,brand,brightness,category,color depth,connectors,contrast ratio,depth,diagonal size,display type,dot pitch,dynamic contrast ratio,ean,energy star compliant,features,hdmi ports,height,lowest recommended price,panel technology,power consumption operational,power consumption stand by,product name,product rating,resolution,response time,speakers power,swivel,synchronization range horizontal,upc,user controls,user reviews,viewing angle,weight,width,3d compatibility,color temperature,mtbf,synchronization range vertical,cables included,tv tuner,color gamut,security lock slot,number of speakers,usb ports,stand,touchscreen
"Compare prices for ViewSonic VG2228Wm monitor, ViewSonic VG 2228Wm reviews - ShopMania",16:9,LED,ViewSonic,250,Monitors Monitors,16.7,DVI / VGA,1000:1,,22 inch (more than 50%),LED,0 mm,10000000:1 (more than 76%),"0766907579413, 0766907468410",Yes,,,,,TN,21 W (less than 89%),1 W,ViewSonic VG2228Wm ViewSonic VG2228Wm,0 out of 5 0 out of 5,1920x1080 (more than 61%),5 ms,4 W,Yes,82.0,"766907579413, 766907468410",,Write a review Write a review,170/160,,,,5400K / 6500K / 7500K / 9300K,,75.0,,,,,2.0,,,
"Compare prices for BenQ PG2401PT monitor, BenQ PG 2401PT reviews - ShopMania",,LED,BenQ,350 (more than 85%),Monitors Monitors,,DVI / HDMI / USB,1000:1,,,,,,,,,,,,IPS,,,BenQ PG2401PT BenQ PG2401PT,0 out of 5 0 out of 5,1920x1200 (more than 93%),,,Yes,,,,Write a review Write a review,178/178,,,,,,,,,,,,,,
"Compare prices for Asus ML248H monitor, Asus ML 248H reviews - ShopMania",16:9,LED,Asus,250,Monitors Monitors,16.7,DVI / HDMI / VGA,1000:1,,24 inch (more than 74%),LED,0 mm,10000000:1 (more than 76%),4719543322383,Yes,Asus Smart Contrast Ratio / Asus Splendid / Eco-Mode / HDCP / Skin-Tone Selection / Trace Free Technology,1.0,,,TN,30 W (less than 67%),1 W,Asus ML248H Asus ML248H,3 out of 5 3 out of 5,1920x1080 (more than 61%),2 ms (less than 89%),,Yes,83.0,,Brightness / Contrast / Tilt,Write a review Write a review,170/160,,,,,,76.0,,,,,,,,
"Compare prices for Dell U2412M monitor, Dell U 2412M reviews - ShopMania",16:10,LED,Dell,300,Monitors,16.7,DVI / DisplayPort / HDMI / USB / VGA,1000:1,180 mm,24 inch (more than 74%),LED,0 mm,2000000:1 (more than 60%),"0884116064244, 0837654894798, 5397063090402, 5397063109869, 5397063109722, 0628586810877, 5397063039203",Yes,HDCP / UltraSharp,,"361,6",$299.99 - Dell Home Show all prices »,IPS,38 W (less than 50%),0.5 W (less than 78%),Dell U2412M,0 out of 5,1920x1200 (more than 93%),8 ms,,Yes,,"884116064244, 837654894798, 628586810877",Brightness / Contrast / Tilt,Write a review,178/178,8.60 lb,55.60 cm,,,,,USB,Yes,,Yes,,5.0,Yes,
"Compare prices for Dell UZ2315H monitor, Dell UZ 2315H reviews - ShopMania",16:9,LED,Dell,300,Monitors,16.7,DisplayPort / HDMI / MHL / USB / VGA / 3.5mm Jack,1000:1,180 cm,23 inch (more than 64%),,0 mm,,,Yes,UltraSharp,2.0,56.38 cm,$238.99 - Microsoft Store Show all prices »,IPS,60 W,,Dell UZ2315H,0 out of 5,1920x1200 (more than 93%),8 ms,6 W,Yes,,,Contrast / Tilt,Write a review,178/178,,376.90 cm,,,,,,Yes,,,,,,
"Compare prices for Dell UZ2215H monitor, Dell UZ 2215H reviews - ShopMania",16:9,LED,Dell,250,Monitors Monitors,16.7,Audio / DisplayPort / HDMI / MHL / USB / VGA,1000:1,180 cm,21.5 inch,,0 mm,,5397063348176,Yes,UltraSharp,2.0,53.07 cm,,IPS,,,Dell UZ2215H Dell UZ2215H,0 out of 5 0 out of 5,1920x1200 (more than 93%),8 ms,6 W,,,,Contrast,Write a review Write a review,178/178,,407.50 cm,,,,,,,,Yes,,,,
"Compare prices for ViewSonic VA2232WM monitor, ViewSonic VA 2232WM reviews - ShopMania",16:10,W-LED,ViewSonic,250,Monitors Monitors,16.7,DVI / VGA,1000:1,,22 inch (more than 50%),LCD,0 mm,100000:1 (more than 56%),"0766907403329, 0001686831308, 0766907603910",Yes,,,,,,45 W,,ViewSonic VA2232WM ViewSonic VA2232WM,0 out of 5 0 out of 5,1680x1050,5 ms,,,82.0,"766907403329, 001686831308, 766907603910",,Write a review Write a review,170/160,,,,5000K / 6500K / 7500K / 9300K,"50,000h",75.0,,,,,,,,
"Compare prices for BenQ GW2265HM monitor, BenQ GW 2265HM reviews - ShopMania",16:9,LED,BenQ,250,Monitors Monitors,,DVI / HDMI / VGA,3000:1 (more than 88%),,21.5 inch,LED,0 mm,20000000:1 (more than 85%),,Yes,,1.0,,,VA,30 W (less than 67%),1 W,BenQ GW2265HM BenQ GW2265HM,0 out of 5 0 out of 5,1920x1080 (more than 61%),6 ms,,Yes,,,,Write a review Write a review,178/178,7.72 lb,,,,,,,,,,,,,
"Compare prices for Asus VH196T monitor, Asus VH 196T reviews - ShopMania",16:10,,Asus,300,Monitors Monitors,16.7,DVI / VGA,5000:1 (more than 96%),,19 inch,LCD,0 mm,5000:1,,Yes,Asus Smart Contrast Ratio / Asus Splendid / HDCP / Skin-Tone Selection,,,,,30 W (less than 67%),1 W,Asus VH196T Asus VH196T,5 out of 5 5 out of 5,1440x900,5 ms,1 W,,80.0,,Brightness / Contrast / Tilt,"Read reviews
Write a review Write a review",160/160,,,,,,75.0,,,,,2.0,,,
"Compare prices for BenQ GW2760HS monitor, BenQ GW 2760HS reviews - ShopMania",16:9,LED,BenQ,300,Monitors Monitors,16.7,DVI / HDMI / VGA / 3.5mm Jack,3000:1 (more than 88%),51 mm,27 inch (more than 84%),LED,0 mm,20000000:1 (more than 85%),"0840046027575, 4718755042201",Yes,,1.0,62.30 cm,,TN,27 W (less than 75%),0.3 W (less than 90%),BenQ GW2760HS BenQ GW2760HS,0 out of 5 0 out of 5,1920x1080 (more than 61%),4 ms (less than 87%),1 W,Yes,,840046027575,Brightness / Contrast / Resize / Sharpness,Write a review Write a review,178/178,9.92 lb,47.20 cm,,,,,,Yes,72%,,,,,
"Compare prices for ViewSonic VA2451m-LED monitor, ViewSonic VA 2451m LED reviews - ShopMania",16:9,LED,ViewSonic,250,Monitors Monitors,,,,,,,,,0766907613223,Yes,,,,,,,,ViewSonic VA2451m-LED ViewSonic VA2451m-LED,0 out of 5 0 out of 5,1920x1080 (more than 61%),9.5 ms,,,,766907613223,,Write a review Write a review,,,,,,,,,,,,,,,
"Compare prices for Dell UP2414Q monitor, Dell UP 2414Q reviews - ShopMania",16:9,LED,Dell,350 (more than 85%),Monitors,,DVI / DisplayPort / HDMI / Mini DisplayPort / SCART / USB / VGA,1000:1,192 cm,23.8 inch (more than 73%),LED,0 mm,2000000:1 (more than 60%),,Yes,UltraSharp,1.0,37.11 cm,$769.99 - Dell Small Business Show all prices »,IPS,90 W,,Dell UP2414Q,0 out of 5,3840x2160 (more than 99%),8 ms,,Yes,,,Brightness / Contrast / Tilt,Write a review,178/178,10.58 lb,569 cm,,,,,,Yes,,Yes,,,Yes,
"Compare prices for ViewSonic VX2370Smh-LED monitor, ViewSonic VX 2370Smh LED reviews - ShopMania",,LED,ViewSonic,250,Monitors Monitors,,DVI / HDMI / VGA,1000:1,,23 inch (more than 64%),,,30000000:1 (more than 94%),0766907659115,Yes,,1.0,,,IPS,,,ViewSonic VX2370Smh-LED ViewSonic VX2370Smh-LED,0 out of 5 0 out of 5,1920x1080 (more than 61%),7 ms,3 W,,83.0,766907659115,,Write a review Write a review,,,,,,,,,Yes,,,,,,
"Compare prices for Asus PB287Q monitor, Asus PB 287Q reviews - ShopMania",16:9,LED,Asus,300,Monitors,,Audio / DisplayPort / HDMI / MHL / 3.5mm Jack,1000:1,64 mm,28 inch (more than 90%),LED,0 mm,,4716659666448,Yes,Asus Smart Contrast Ratio,2.0,38.10 cm,$619 - ABT Show all prices »,IPS,60 W,,Asus PB287Q,0 out of 5,3840x2160 (more than 99%),1 ms (less than 99%),4 W,Yes,99.0,,Brightness / Contrast / Tilt,Write a review,170/160,,66 cm,,,,,,,,,,,,
"Compare prices for Asus VN289Q monitor, Asus VN 289Q reviews - ShopMania",16:9,LED,Asus,300,Monitors,16.7,Audio / DVI / DisplayPort / HDMI / MHL / VGA / 3.5mm Jack,3000:1 (more than 88%),,28 inch (more than 90%),LED,0 mm,80000000:1 (more than 97%),,Yes,,,,$309 - ABT Show all prices »,,,,Asus VN289Q,0 out of 5,1920x1080 (more than 61%),5 ms,4 W,,80.0,,Brightness / Contrast,Write a review,178/178,,,,,,,,Yes,,,,,,
