<page title>,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour,contrast ratio,depth,depth with stand,displayport,dvi,full product specifications,green compliance certificateauthority,green compliant,height,height with stand,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,operating power consumption,package contents,product line,product model,product name,product type,response time,screen mode,screen size,usb,vga,weight approximate,width,width with stand,adjustable display angle,features,hdmi,horizontal viewing angle,mount type,number of speakers,platform supported,product series,speakers,vertical viewing angle,vesa mount compatible,weight with stand approximate,adjustable display height,adjustable display pivot,colour support,hdcp supported,headphone,input voltage,maximum adjustable height,offmode power consumption,panel technology,standard refresh rate,standby power consumption,swivel angle,tilt angle,vesa mount standard,screen surface,certifications standards,component video,composite video,webcam,firewireilink,network rj45,thunderbolt,svideo,energy consumption per year,energy efficiency class,usb standard,recycled,recycled content,horizontal frequency,system requirements,sdi,sdi standard,display orientation,3d type,additional information,postconsumerwaste,packaged quantity,product code,3d technology,country of origin,package type
"210-40674, DELU2713HM/SIL, Dell, LCD Monitor, JR Linton",16:9,LED,Dell,350 cd/m²,USB Hub,Silver,"1,000:1",65.6 mm,200.30 mm,Yes,Yes,,TCO Certified Displays EPEAT Gold ENERGY STAR CECP,Yes,378.2 mm,538.90 mm,3 Year,"Dell, Inc",210-40674,2560 x 1440,1,100 W,UltraSharp U2713HM Widesreen LCD Monitor Stand Power Cable DVI Cable USB Cable VGA Cable Cable Tie Drivers and Documentation Media Colour Calibrated Factory Report Quick Setup Guide Safety Information,UltraSharp,U2713HM,UltraSharp U2713HM Widesreen LCD Monitor,LCD Monitor,8 ms,WQHD,"68.6 cm (27"")",Yes,Yes,5.60 kg,639.3 mm,639.30 mm,Yes,Cable Management Security Lock,Yes,178°,Wall Mountable,,,,No,178°,Yes,10.20 kg,Yes,Yes,16.78 Million Colors,Yes,,220 V AC 110 V AC,,,Advanced High Performance In-plane Switching (AH-IPS) Technology,60 Hz,500 mW,,,,Anti-glare,,,,No,,,,,,,USB 3.0,Yes,Plastic,,,,,,,,25%,,,,,
"L-W24, AGLW24, AG Neovo, LCD Monitor, JR Linton",,LED,AG Neovo,250 cd/m²,Speaker,,"20,000,000:1",190 mm,,,Yes,,,,395 mm,,,AG Neovo Technology Corporation,L-W24,1920 x 1080,1,33 W,,,L-W24,L-W24 Widescreen LCD Monitor,LCD Monitor,3 ms,Full HD,"61 cm (24"")",,Yes,4.30 kg,566 mm,,Yes,,Yes,170°,Arm-mountable Wall Mountable,2.0,,L,Yes,160°,Yes,,,,16.7 Million Colours,,,,,500 mW,,,500 mW,,,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"EF240A, EDGMON044, Edge10, LCD Monitor, JR Linton",16:9,LED,Edge10,300 cd/m²,,Black,"10,000:1",,200 mm,,Yes,,ENERGY STAR WEEE,Yes,,400 mm,3 Year,Edge10 Corporation Limited,EF240a,1920 x 1080,1,30 W,,,EF240a,EF240a Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"61 cm (24"")",,Yes,5 kg,,555 mm,Yes,Security Lock,,170°,Wall Mountable,2.0,Mac PC,,Yes,160°,Yes,,,,16.7 Million Colours,,,220 V AC,,,,75 Hz,1 W,,,100 x 100,,cULusFCCCETUV,,,,,,,,,,,,,,,,,,,,,,,,,
"861-10287, Dell, LCD Monitor, JR Linton",16:9,LED,Dell,250 cd/m²,,Black,"1,000:1",158.8 mm,,,Yes,,EPEAT Gold ENERGY STAR 5.0 TCO Displays 5.0,Yes,380.5 mm,,1 Year,"Dell, Inc",861-10287,1920 x 1080,1,20 W,,,E2211H,"E series E2211H 21.5"" Monitor with LED",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,Yes,2.98 kg,514.9 mm,,Yes,PowerNap Security Lock Side-by-side View Support,,170°,,,PC,E,No,160°,Yes,,,,16.7 Million Colours,Yes,,220 V AC 110 V AC,,,Twisted Nematic Film (TN Film),60 Hz,1 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24MB35PM, 3003552, LG Electronics, LCD Monitor, JR Linton",16:9,LED,LG,250 cd/m²,Speaker,Dark Anthracite,"5,000,000:1",,271 mm,,Yes,,,,,432 mm,,LG Electronics,24MB35PM,1920 x 1080,1,24 W,,,24MB35PM,24MB35PM Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"60.5 cm (23.8"")",,Yes,,,569 mm,Yes,C3 (Certified Calibration Controls) Mode Security Lock Super Energy Saving Ultra Slim Flicker-free Reading Mode,,178°,Wall Mountable Arm-mountable,2.0,,,Yes,178°,Yes,5.10 kg,Yes,Yes,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,120 mm,180 mW,Advanced High Performance In-plane Switching (AH-IPS) Technology,60 Hz,210 mW,,-5°to20°,100 x 100,Matte Anti-glare,,,,,,,,,,,,,,,,,,Landscape/Portrait,,,,,,,,
"298X4QJAB/00, 2670736, Philips, LCD Monitor, JR Linton",21:9,LED,Philips,300 cd/m²,Speaker,Black,"1,000:1",59 mm,197 mm,Yes,Yes,,TCO Certified Displays 6.0 ENERGY STAR 6.0 RoHS EPEAT Gold WEEE,Yes,330 mm,426 mm,3 Year,Philips Electronics,298X4QJAB/00,2560 x 1080,1,33 W,,Brilliance,298X4QJAB,Brilliance LCD Monitor with MultiView,LCD Monitor,5 ms,UW-UXGA,"73.7 cm (29"")",Yes,,5.70 kg,700 mm,700 mm,Yes,SmartTxt SmartKolor SmartContrast Multiview Picture by Picture Picture in Picture SmartImage,Yes,178°,,2.0,Mac PC,,Yes,178°,Yes,6.36 kg,,,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,,Advanced High Performance In-plane Switching (AH-IPS) Technology,60 Hz,300 mW,,,100 x 100,,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,,,,,,,,,,USB 3.0,,,,,,,,,,,,,,,
"231P4QPYKES/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,Speaker USB Hub Webcam,Black Silver,"1,000:1",60 mm,220 mm,Yes,Yes,,WEEE RoHS EPEAT Gold ENERGY STAR 5.0 TCO Certified Displays 5.2 TCO Certified Edge,Yes,343 mm,515 mm,,Philips Electronics,231P4QPYKES/00,1920 x 1080,1,29.10 W,,Brilliance,231P4QPYKES,"Brilliance IPS LCD Monitor, LED Backlight with Webcam",LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",Yes,Yes,3.09 kg,547 mm,547 mm,Yes,PowerSensor Security Lock SmartErgoBase,,178°,,2.0,PC Mac,P,Yes,178°,Yes,5.23 kg,Yes,Yes,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,,In-plane Switching (IPS) Technology,60 Hz,300 mW,,,100 x 100,,TUV ErgoTUV/GSUL/cULBSMICE MarkFCC Class BGOSTSASOSEMKO,,,,,,,,,,USB 2.0,Yes,Plastic,,,,,,,,65%,,,,,
"273V5QHAB/00, 3251433, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,300 cd/m²,Speaker,Textured Black Black Hairline,"10,000,000:1",57 mm,240 mm,,Yes,Click to view,TCO Certified Displays RoHS TÜV EPEAT Silver WEEE ENERGY STAR 6.0,Yes,398 mm,471 mm,2 Year,Philips Electronics,273V5QHAB/00,1920 x 1080,1,27.43 W,,,273V5QHAB,LCD Monitor with LED Backlight,LCD Monitor,4 ms,Full HD,"68.6 cm (27"")",,Yes,4 kg,646 mm,646 mm,,,Yes,,,,,V,Yes,,Yes,4.53 kg,,,16.7 Million Colours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60003323, 3967786, NEC Display Solutions, LCD Monitor, JR Linton",16:9,LED,NEC Display,250 cd/m²,USB Hub,White,"1,000:1",73.7 mm,228.60 mm,Yes,Yes,,ENERGY STAR 5.0 RoHS TCO Certified Displays 5.2,Yes,322.6 mm,528.32 mm,,NEC Display Solutions,60003323,1920 x 1080,1,29 W,,MultiSync,P232W,"23"" Widescreen Professional Graphics Desktop Monitor",LCD Monitor,8 ms,Full HD,"58.4 cm (23"")",Yes,Yes,,543.6 mm,543.56 mm,Yes,Carbon Footprint Meter CableComp+ TileMatrix Support TileComp Digital Uniformity Compensation Ambient Light Sensor,Yes,178°,,,PC,P,,178°,Yes,9.20 kg,Yes,Yes,1.07 Billion Colors,Yes,,,,,In-plane Switching (IPS) Technology,85 Hz,300 mW,,,100 x 100,,,,,,,,,,,,,,,,,,,Landscape/Portrait,,,,,,,,
"22EN43VQ, LG22EN43VQ, LG Electronics, LCD Monitor, JR Linton",16:9,LED,LG,250 cd/m²,,Black,,,,,Yes,,,,,,,LG Electronics,22EN43VQ,1920 x 1080,1,,,,22EN43VQ,22EN43VQ Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"55.9 cm (22"")",,,,,,,Dual-screen Display Dual Monitor Support,Yes,170°,Wall Mountable,,,,,160°,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C6Y18A4#UUZ, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,USB Hub,Black,"1,000,000:1",49.5 mm,249.40 mm,Yes,Yes,Click to view,Taiwan Green Mark CECP WEEE RoHS ENERGY STAR TCO Certified Displays China Energy Label (CEL) REACH,Yes,334.2 mm,467 mm,3 Year,Hewlett-Packard,C6Y18A4#UUZ,1920 x 1080,1,40 W,ZR2330w 23-inch IPS LED Backlit MonitorAC Power CableUSB CableVGA CableDisplayPort CablePrinted Documentation and CD,,ZR2330w,ZR2330w 23-inch IPS LED Backlit Monitor,LCD Monitor,14 ms,Full HD,"58.4 cm (23"")",Yes,Yes,4.10 kg,551.5 mm,551.50 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.LC1LB.QPE, M352450, BenQ, LCD Monitor, JR Linton",16:9,LED,BenQ,200 cd/m²,,Glossy Black,"12,000,000:1",55 mm,178 mm,,Yes,,ENERGY STAR 6.0,Yes,369 mm,369 mm,2 Year,BenQ Corporation,9H.LC1LB.QPE,1920 x 1080,1,20.70 W,DL2215 Widescreen LCD Monitor Power Cable VGA Cable Short Guide Manual CD,,DL2215,DL2215 Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,Yes,2.80 kg,515 mm,515 mm,Yes,Eco Mode Security Lock Senseye 3,,90°,Wall Mountable,,PC,,,65°,Yes,,,,16.7 Million Colours,Yes,,220 V AC 110 V AC,,500 mW,Twisted Nematic Film (TN Film),76 Hz,500 mW,,-5°to20°,100 x 100,,CE,,,,,,,,,,,,,,,,,,,,,,,,,
"VK207S, 2682931, ASUSTeK COMPUTER, LCD Monitor, JR Linton",16:9,LED,Asus,250 cd/m²,Speaker,Glossy Piano Black,"80,000,000:1",,185 mm,,,,TCO Displays 5.0 TCO Certified Displays 6.0 ENERGY STAR 6.0 WEEE EPEAT Gold RoHS ErP,Yes,,355.50 mm,3 Year,ASUS Computer International,VK207S,1600 x 900,1,16.40 W,VK207S Widescreen LCD MonitorVGA CableAudio CablePower CordUSB CableQuick Start GuideSupport CDWarranty Card,,VK207S,VK207S Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",Yes,Yes,2.64 kg,,468 mm,Yes,QuickFit Splendid Video Intelligence Technology Smart View Security Lock Smart EV (Exposure Value) Control Technology,,170°,Wall Mountable,2.0,PC,,Yes,160°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,500 mW,,75 Hz,500 mW,,-5°to20°,75 x 75,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
"246V5LAB/00, 2716380, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,Speaker,Glossy Black,"1,000:1",63 mm,238 mm,,Yes,,ENERGY STAR 6.0 EPEAT Silver RoHS TCO Certified Displays WEEE,Yes,354 mm,435 mm,3 Year,Philips Electronics,246V5LAB/00,1920 x 1080,1,20.16 W,,,246V5LAB,LCD Monitor with SmartControl Lite,LCD Monitor,5 ms,Full HD,"61 cm (24"")",,Yes,4.22 kg,565 mm,565 mm,Yes,Security Lock SmartContrast,,170°,,2.0,PC Mac,V,Yes,160°,Yes,4.65 kg,,,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,300 mW,,60 Hz,500 mW,,,100 x 100,,CE MarkuETLusBSMIFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307,,,,,,,,,,,,,,,,,,,,,,,,,
"E2411PU-BN, 4064349, LG Electronics, LCD Monitor, JR Linton",16:9,LED,LG,250 cd/m²,Speaker USB Hub,Matte Black,"5,000,000:1",,271 mm,,Yes,,ENERGY STAR TCO Displays 5.0,Yes,,432.60 mm,,LG Electronics,E2411PU-BN,1920 x 1080,1,30 W,,,E2411PU-BN,E2411PU-BN Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,Yes,3.67 kg,,569.10 mm,Yes,,,170°,,2.0,,E11,Yes,160°,,5.09 kg,Yes,Yes,16.7 Million Colours,Yes,,220 V AC 110 V AC,,300 mW,,,300 mW,,,,Anti-glare,TÜV-GS,,,,,,,,,,,,,,,,,,,,,,,,,
"XB2380HS-B1, IIYNOT007, Iiyama, LCD Monitor, JR Linton",16:9,LED,iiyama,250 cd/m²,Speaker,Black,"1,000:1",244.5 mm,,,Yes,,TCO Displays 5.0 ENERGY STAR,Yes,545.5 mm,,3 Year,"iiyama North America, Inc",XB2380HS-B1,1920 x 1080,1,26 W,ProLite XB2380HS-1Power CableVGA (D-Sub) CableDVI-D CableAudio CableStandScrewCable HolderQuick Start GuideSafety Guide,ProLite,XB2380HS,ProLite XB2380HS-1,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,5.80 kg,548.5 mm,,Yes,Security Lock,Yes,178°,Desk Mountable Wall Mountable,2.0,Mac PC,,Yes,178°,Yes,,Yes,Yes,16.7 Million Colours,Yes,,220 V AC 110 V AC,,,In-plane Switching (IPS) Technology,75 Hz,1 W,,,100 x 100,,CETUV-GSVCCI-BCU,,,,,,,,,,,,,,,,,,,,,,,,,
"223V5LSB2/10, 2788559, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,200 cd/m²,,Black,600:1,50 mm,213 mm,,,,RoHS WEEE ENERGY STAR 6.0 EPEAT Silver,Yes,316 mm,376 mm,,Philips Electronics,223V5LSB2/10,1920 x 1080,1,15.61 W,,,223V5LSB2,LCD monitor with SmartControl Lite,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,Yes,2.35 kg,503 mm,503 mm,Yes,Security Lock Sync on Green SmartContrast Eco Mode,,90°,,,Mac PC,V,,65°,Yes,2.61 kg,,,16.7 Million Colours,,,220 V AC 110 V AC,,500 mW,,60 Hz,500 mW,,,100 x 100,,BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 cETLus,,,,,,,,,,,,,,,,,,,,,,,,,
"MC914HN/A, 4793R49, Apple, LCD Monitor, JR Linton",16:9,LED,Apple,375 cd/m²,USB Hub Speaker Microphone,,"1,000:1",,207 mm,,,,ENERGY STAR 5.1,Yes,491 mm,,1 Year,"Apple, Inc",MC914HN/A,2560 x 1440,1,250 W,Thunderbolt DisplayAC Power LeadPrinted Documentation,,,Thunderbolt Display,LCD Monitor,12 ms,WQHD,"68.6 cm (27"")",Yes,,10.80 kg,650 mm,,Yes,Security Lock Ambient Light Sensor Digital Daisy Chain,,178°,,,PC Mac,,Yes,178°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,,In-plane Switching (IPS) Technology,,2 W,,,,,,,,Yes,Yes,Yes,Yes,,,,USB 2.0,,,,"Thunderbolt-Enabled Mac computer, Including MacBook Air, MacBook Pro, Mac mini, and iMacOS X v10.6.8 or Later",,,,,,,,,,,
"860-BBDR, 0912940, Dell, LCD Monitor, JR Linton",16:9,LED,Dell,350 cd/m²,USB Hub Card Reader,Black,"2,000,000:1",56.3 mm,192 mm,Yes,,Click to view,EPEAT Gold TCO Certified Displays RoHS ENERGY STAR 6.0,Yes,338.5 mm,501.70 mm,3 Year,"Dell, Inc",860-BBDR,3840 x 2160,1,120 W,UltraSharp 24 Monitor UP2414Q with PremierColour Stand Cable cover Power cable DP cable (Mini-DP to DP) USB 3.0 upstream cable (enables the USB port on the monitor) Drivers and documentation media Quick setup guide Safety Information Factory Calibration Report,UltraSharp,UP2414Q,UltraSharp 24 Monitor UP2414Q with PremierColour,LCD Monitor,8 ms,QFHD,"60.5 cm (23.8"")",Yes,,4.80 kg,569 mm,569 mm,,,Yes,,,,,,,,Yes,,,,1.07 Billion Colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,,,
"859-10178, DELS2340L, Dell, LCD Monitor, JR Linton",16:9,LED,Dell,250 cd/m²,,Black,"1,000:1",37.8 mm,4.47 m,,,,EPEAT Silver ENERGY STAR,Yes,297.7 mm,398.78 mm,1 Year,"Dell, Inc",859-10178,1920 x 1080,1,24 W,"S2340L 23"" (58cm) LED Monitor Full HD (1920x1080) VGA,HDMI Power Cable and Adapter Adapter Cable VGA Cable Velcro Strap Drivers & Documentation Media Quick Setup Guide Product and Safety Information Guide",,S2340L,"S2340L 23"" (58cm) LED Monitor Full HD (1920x1080) VGA,HDMI",LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",,Yes,2.95 kg,532.1 mm,532.13 mm,Yes,Security Lock,Yes,178°,,,PC,,,178°,,3.91 kg,,,16.7 Million Colours,,,110 V AC 220 V AC,,500 mW,In-plane Switching (IPS) Technology,60 Hz,,,,,,EMC,,,,,,,,,,,,,,,,,,,,,,,,,
"19B4LCB5/00, 2905225, Philips, LCD Monitor, JR Linton",5:4,LED,Philips,250 cd/m²,Speaker,Textured Black,"1,000:1",61 mm,227 mm,,Yes,,EPEAT Gold RoHS TCO Certified Displays 6.0 WEEE ENERGY STAR 6.0,Yes,346 mm,404 mm,,Philips Electronics,19B4LCB5/00,1280 x 1024,1,14 W,,Brilliance,19B4LCB5,"Brilliance LCD Monitor, LED Backlight with SmartImage",LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",,Yes,2.71 kg,404 mm,506 mm,Yes,Security Lock Sync on Green SmartControl SmartImage Cable Management Eco Mode SmartPower TrueVision SmartErgoBase,,170°,,2.0,PC Mac,B,Yes,160°,Yes,4.61 kg,Yes,Yes,16.7 Million Colours,Yes,Yes,110 V AC 220 V AC,,100 mW,,60 Hz,100 mW,,,100 x 100,,BSMI CE Mark cETLus FCC Class B GOST SEMKO TUV Ergo TUV/GS,,,,,,,,,,,Yes,25%,,,,,Landscape/Portrait,,,,,,,,
"VG248QE, ASUNOT702, ASUSTeK COMPUTER, LCD Monitor, JR Linton",,,Asus,,,Black,,,,,Yes,,,,,,,ASUS Computer International,VG248QE,1920 x 1080,1,,,,VG248QE,VG248QE Widescreen LCD Monitor,LCD Monitor,1 ms,Full HD,"61 cm (24"")",,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U3014, Dell, LCD Monitor, JR Linton",16:10,LED,Dell,350 cd/m²,Card Reader USB Hub,,"2,000,000:1",61 mm,201.42 mm,Yes,Yes,,CECP TCO Certified Displays EPEAT Gold ENERGY STAR,Yes,449.3 mm,572.77 mm,3 Year,"Dell, Inc",U3014,2560 x 1600,1,120 W,UltraSharp U3014 Widescreen LCD Monitor Power Cable DVI-D Cable (Dual Link) DisplayPort Cable (Mini DP to DP) USB3.0 upstream Cable Cable Tie Drivers and Documentation media Factory Color Calibration Report Quick Setup Guide Safety Information,UltraSharp,U3014,UltraSharp U3014 Widescreen LCD Monitor,LCD Monitor,6 ms,WQXGA,"76.2 cm (30"")",Yes,,10.84 kg,689.6 mm,689.61 mm,Yes,Cable Management Security Lock,Yes,178°,Wall Mountable,,PC,,,178°,Yes,,Yes,,1.07 Billion Colors,Yes,,110 V AC 220 V AC,,,Advanced High Performance In-plane Switching (AH-IPS) Technology,60 Hz,500 mW,,,,Anti-glare,,,,,,,,,,,USB 3.0,Yes,,113 kHz,,,,,,,25%,,,,,
"190P7EG/10, Philips, LCD Monitor, JR Linton",,,Philips,300 cd/m²,USB Hub,Grey,"1,300:1",66 mm,215.90 mm,,Yes,,,,348 mm,414.02 mm,,Philips Electronics,190P7EG/10,1280 x 1024,1,,Brilliance 190P7EG LCD MonitorAC power cordDVI-D cableUSB cableVGA cableUser manual,Brilliance,190P7EG,Brilliance 190P7EG LCD Monitor,LCD Monitor,8 ms,SXGA,"48.3 cm (19"")",Yes,,,426.7 mm,426.72 mm,,,,178°,,,PC,,,178°,,8.21 kg,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,75 Hz,,,,,Anti-glare,,,,,,,,,,,,,,,,,,,,Kensington lock compatible,,,,,,
"FWD-46B2, SONCAS019, Sony, LCD Monitor, JR Linton",,LED,Sony,500 cd/m²,Speaker,,"4,000:1",85.7 mm,,,Yes,,,,609.6 mm,,,Sony Corporation,FWD46B2,1920 x 1080,1,130 W,,,FWD46B2,"46"" Pro Display w/ LED Backlight 500 CD/M2",LCD Monitor,,Full HD,"116.8 cm (46"")",,Yes,,1054.1 mm,,,Screen Saver,Yes,178°,,2.0,,,Yes,178°,Yes,,,,,,,110 V AC 220 V AC,,,,,,,,400 x 400,,,Yes,Yes,,,Yes,,,,,,,,,,,,Landscape/Portrait,,,,,,,,
"LS27C570HS/EN, Samsung, LCD Monitor, JR Linton",,LED,Samsung,300 cd/m²,,High Glossy Black,"1,000:1",103 mm,200 mm,No,No,,,,389 mm,480.40 mm,,Samsung,LS27C570HS/EN,1920 x 1080,1,20 W,,,S27C570H,S27C570H Widescreen LCD Monitor,LCD Monitor,5 ms,,"68.6 cm (27"")",No,Yes,4.85 kg,642 mm,642 mm,Yes,Eco Saving MagicTune MagicBright3 MultiScreen Magic Upscale,Yes,178°,,,Mac PC,570,No,178°,,5.30 kg,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,,300 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"288P6LJEB/00, 3089024, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,300 cd/m²,Speaker USB Hub,Textured Black,"50,000,000:1",49 mm,273 mm,Yes,Yes,,RoHS TCO Certified Displays 6.0 WEEE ENERGY STAR 6.0 TCO Certified Edge EPEAT Gold,Yes,395 mm,573 mm,,Philips Electronics,288P6LJEB/00,3840 x 2160,1,50.50 W,,Brilliance,288P6LJEB,Brilliance 4K Ultra HD LED Backlit Monitor,LCD Monitor,1 ms,Ultra HD,"71.1 cm (28"")",Yes,Yes,5.24 kg,659 mm,659 mm,Yes,SmartControl Mobile High-Definition Link (MHL) Multiview Picture in Picture Security Lock Picture by Picture SmartImage SmartErgoBase Eco Mode,Yes,170°,,2.0,Mac PC,P,Yes,160°,Yes,8.04 kg,Yes,Yes,1.07 Billion Colors,Yes,Yes,110 V AC 220 V AC,150 mm,,,60 Hz,500 mW,65°,-5°to20°,100 x 100,,BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS,,,,,,,,,,USB 3.0,Yes,,,,,,,,,65%,,,,,
"RX-W22, AGRXW22, AG Neovo, LCD Monitor, JR Linton",,,AG Neovo,300 cd/m²,,,"1,000:1",155 mm,,,Yes,,RoHS WEEE,Yes,392 mm,,,AG Neovo Technology Corporation,RX-W22,1680 x 1050,1,,RX-W22 Widescreen LCD MonitorQuick GuideCD ROM (user manual and drivers)Power CordPower Adaptor15-Pin D-Sub Cable24-Pin DVI-D CableCVBS BNC Connector Cable,,RX-W22,RX-W22 Widescreen LCD Monitor,LCD Monitor,3 ms,WSXGA+,"55.9 cm (22"")",,Yes,6.90 kg,512 mm,,,,,170°,Wall Mountable,,PC,RX,,160°,,,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plug & PlayKensington Security Socket,,,,,,
"U-23, 53385, AG Neovo, LCD Monitor, JR Linton",,LED,AG Neovo,250 cd/m²,Speaker,,"1,000,000:1",174 mm,,,Yes,,ENERGY STAR RoHS WEEE REACH TCO Certified Displays 5.2,Yes,403 mm,,3 Year,AG Neovo Technology Corporation,U-23,1920 x 1080,1,30 W,CD ROM (user manual and drivers)Power Cord15-Pin D-Sub CableAudio Cable,,U-23,U-23 Widescreen LCD Monitor,LCD Monitor,3 ms,Full HD,"58.4 cm (23"")",Yes,Yes,5.80 kg,572 mm,,Yes,,Yes,170°,Wall Mountable Arm-mountable,2.0,,U,Yes,160°,Yes,,,,16.7 Million Colours,,Yes,220 V AC 110 V AC,,500 mW,,75 Hz,500 mW,,,100 x 100,Anti-scratch,CBFCCCE,,,,,,,,,,,,,,,,,,,,,,,,,
"60003430, NECX551SPG, NEC Display Solutions, LCD Monitor, JR Linton",16:9,Edge LED,NEC Display,600 cd/m²,,Black,"4,000:1",48.3 mm,,Yes,Yes,,RoHS ENERGY STAR 5.1,Yes,726.3 mm,,3 Year,NEC Display Solutions,60003430,1920 x 1080,1,250 W,,MultiSync,X551S PG,MultiSync X551S PG (Protective Glass),LCD Monitor,8 ms,Full HD,"139.7 cm (55"")",,Yes,33 kg,1254 mm,,,TileMatrix Support Screen Saver Ambient Light Sensor,Yes,178°,,,PC,,,178°,Yes,,,,,Yes,,,,,Super Patterned Vertical Alignment (S-PVA) Technology,60 Hz,1 W,,,300 x 300,Anti-reflective,UL/C-ULCSACETUV GSC-tickFCC Class APSBVCCI,,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,,,
"BDL3210Q/00, Philips, LCD Monitor, JR Linton",16:9,Edge LED,Philips,350 cd/m²,Speaker USB Hub,,"1,200:1",56.8 mm,,,,,RoHS,Yes,462.7 mm,,3 Year,Philips Electronics,BDL3210Q/00,1366 x 768,1,100 W,"LED Display BDL3210Q 80cm (31.5"") Edge LED HD ReadyRemote ControlBatteriesAC Power CordVGA CableUser Manual on CD-ROMQuick Start Guide",,BDL3210Q,"LED Display BDL3210Q 80cm (31.5"") Edge LED HD Ready",LCD Monitor,8 ms,WXGA,"80 cm (31.5"")",Yes,Yes,8.05 kg,745.2 mm,,,3D Comb Filter,Yes,178°,,2.0,PC,,Yes,178°,Yes,,,,16.7 Million Colours,,,,,,,60 Hz,500 mW,,,200 x 100,,CEFCC Class BCCCUL/cULC-Tick,Yes,Yes,,,,,,,,USB 2.0,,,,,,,Landscape,,,,,,,,
"F3J72AT#ABU, 943ASGK, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,Microphone Port Replicator USB Hub,Black,"5,000,000:1",51 mm,242.40 mm,Yes,,,REACH WEEE TCO Certified Displays China Energy Label (CEL) CECP TCO Certified Edge ENERGY STAR,Yes,329 mm,469.90 mm,3 Year,Hewlett-Packard,F3J72AT#ABU,1920 x 1080,1,60 W,Business S231d Widescreen LCD Monitor USB Cable DC Power Cable VGA Cable DisplayPort Cable DC Jack Dongle Cable and Rubber Ring Webcam Rubber Cover Printed Documentation and CD HP Display Assistant Software Additional Signal Cables,Business,S231d,Business S231d Widescreen LCD Monitor,LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",Yes,Yes,,544 mm,544 mm,Yes,Security Lock,,178°,,,,,No,178°,,6.12 kg,No,Yes,,Yes,Yes,220 V AC 110 V AC,,,In-plane Switching (IPS) Technology,,2.20 W,360°,-5°to30°,,Anti-glare,CB CE TUV-S EAC CUL FCC CSA NOM S-mark VCCI PSB ISC CCC BSMI C-Tick E-standby KC,,,Yes,,Yes,,,,,USB 3.0,,,,,,,,,,,,,,,
