1920 x 1200 graphic mode,<page title>,aspect ratio,backlight,barcode,brightness,case colour,certifications,contrast ratio,digital in,dimensions,displayport in,environmental,hd support,hdmi ports,headphone ports,height adjustable,in the box,pixel pitch,plug and play,power consumption,power supply,resolution native,response time,scan frequency,screen dimensions,screen type,security locking mechanics,speakers,swivel,tilt forwardbackward,usb ports,user controls,vga in,view angle,voltagefrequency,wall mount,warranty,antiglare antistatic,audio features,audio line in ports,audio line out ports,digital out,language selection,model name,pixel clock speed,product type,resolution maximum,rj45 ports,scan frequency horizontal,scan frequency vertical,serial ports,synch input,display type,1920 x 1080 graphic mode,monitor,power adaptor type,remote control,svideo in,video component in,video composite in,power management features,product family,video component out,video composite out,description,audio capabilities,network interface,pivot,scart ports,backlight technology,brand name,builtin devices,colour,dvi,hdmi,horizontal viewing angle,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,maximum response time,number of screens,product model,product name,screen mode,screen size,vertical viewing angle,vga,audiovisual port,lifetime,system requirements,webcam,ac power,bnc port,1024 x 768 graphic mode,1280 x 768 graphic mode,640 x 350 graphic mode,640 x 480 graphic mode,720 x 400 text graphic mode,800 x 600 graphic mode,factory presets,user programmable modes,video bandwidth,operating systems supported,power adaptor output voltage,1680 x 1050 graphic mode,dc power,microphone in port,adjustable display angle,colour support,depth,green compliance,green compliance certificateauthority,hdcp support,height,input voltage,marketing information,operating power consumption,package contents,platform support,standby power consumption,vesa mount compatible,vesa mount standard,weight approximate,width,mount type,offmode power consumption,product series,svideo,1440 x 900 graphic mode,1280 x 1024 graphic mode,1400 x 900 graphic mode,1152 x 864 mac graphic mode
,Cleverboxes - 240P4QPYES/00 | Philips 240P4QPYES/00 (24 inch) LCD Monitor with PowerSensor LED Backlight 1920x1200 (Silver),16:10,LED,,300cd/m2,Silver,,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",1 x DVI-D,55.5cm (W) x 24.4cm (D) x 55.0cm (H) - Weight 6.97kg,1 x DisplayPort 1.2,Operating Temperature 0 to 40°C - Humidity 20 to 80%,,,1 x Headphone Port,Yes,,0.270 x 0.270mm,,17W (Max) / 0.2W (Standby),,1920 x 1200 Pixels,14ms,,24in (Diagonal),IPS LED,,2 x 1.5W,±65°,-5 to +20°,4 x USB 2.0,,1 x 15-pin D-Sub,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",,,,1 x 3.5mm PC audio input,,,,,,Monitor,,,30KHz to 83KHz,56Hz to 76Hz,,"Separate sync, Sync on green",,,,,,,,,,,,,"SmartImage is an exclusive leading edge Philips technology that analyses the content displayed on your screen and optimises your display performance. This user-friendly interface allows you to select various modes, like Office, Photo, Movie, Game, Economy etc., to fit the application in use. Based on the selection, SmartImage dynamically optimises the contrast, colour saturation and sharpness of images and videos for ultimate display performance. The Economy mode option offers you major power savings. All in real time at the touch of a single button! Thanks to its advanced SmartErgoBase, the Philips monitor can be lowered down almost to desk level for a comfortable viewing angle. Low bezel-to-table height is the perfect solution if you use bifocals, trifocals or progressive lens glasses for your computing work. Additionally, it allows users of different heights to use the monitor at their preferred angle and height settings, helping them to reduce fatigue and strain. USB Hub allows user to conveniently connect their plug and play multimedia devices such as USB memory devices, camera, portable HDD, Web camera, PDA, Printer and many other devices which have USB connection available. The conveniently located USB 2.0 Hub on the monitor allows USB 2.0 signals to pass through to the computer.",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VE247T | Asus VE247T (23.6 inch) LED Monitor 10000000:1 300 cd/m2 1920 x 1080 2ms VGA DVI (Black),16:9,,,300cd/m2,Black,Energy Star 5.0 • CEL • UL/cUL • CB • CE • EuP • FCC • CCC • BSMI • Gost-R • C-Tick • VCCI • PSB • J-MOSS • RoHS • WEEE • Windows Vista & Windows 7 WHQL,"10,000,000:1 (Dynamic)",,56.94cm (W) x 20.1cm (D) x 40.97cm (H) - Weight 7.1kg,,,,,,,Asus VE247T (23.6 inch) LED Monitor • DVI cable • VGA cable • Audio cable • Power cord • Quick start guide • Warranty Card,0.272mm,,,,1920 x 1080 Pixels,2ms,,23.6in,LED 16.7 Million Colour,Kensington Lock,2 x 1.0W,,+20° to -5°,,SPLENDID Video Preset Mode Selection • Auto. Adjustment • Brightness Adjustment • Volume Adjustment,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),,"Yes , Supported - 100mm x 100mm",3-year system warranty • 3-year panel warranty,,,1 x 3.5mm Mini-Jack,,1 x DVI-D,,VE247T,,Display,,,30KHz to 83KHz (Digital) 30KHz to 83KHz (Analogue),50Hz to 76Hz (Digital) 50Hz to 76Hz (Analogue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - E960SRDA | AOC e960Srda 19 inch LED Monitor 1000:1 250cd/m2 1280x1024 5ms DVI (Black),5:4,,4038986191845,250cd/m2,Black,,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",1 x DVI-D,40.92cm (W) x 21cm (D) x 40.51cm (H) - Weight 4.2kg,,,,,,,,0.294 x 0.294mm,,23W (Max) /,,,5ms,,19in Display Area - 37.6 x 30.1cm,16.7 Million Colour,Kensington Security Port,Yes,,-5 to +15°,,,1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),90 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",3 Years,,,,,,,e950Srda,,Display,1280 x 1024 Pixels SXGA,,30KHz (Analogue) 80KHz,50Hz to 76Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - X-17P BLACK | AG Neovo X-17P (17 inch) LCD Monitor 1000:1 250cd/m2 (1280x1024) 3ms VGA/DVI/S-Video/CVBS (Black),,,4710739592115,250cd/m2,Black,"CB, FCC, CE, WEEE, RoHS, REACH, GOST-R","1,000:1 (Static)",1 x DVI-D,40.9cm (W) x 17.5cm (D) x 39.8cm (H) - Weight 6.6kg,,Operating Temperature 0 to 40°C - Humidity 10 to 90%,,,,,"X-17P LCD Monitor, CD ROM (user manual and drivers), Power cord, Power adaptor, 15-Pin D-Sub cable, Audio cable",0.264mm,"DCC 2B, DCC/CI",19W (Max) /,External,,3ms,,17in,TFT LCD 16.7 million Colour,,2 x 1.5W,,0 to +20°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",3 year limited warranty.,,,1 x RCA (L/R) • 1 x Stereo Mini Jack,,,,X-17P,,Monitor,1280 x 1024 Pixels SXGA,,24KHz to 82KHz,56Hz to 85Hz,,,LCD Display,,,,,1 x Mini DIN,,1 x CVBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12V DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 272P4QPJKEB/00 | Philips (27 inch) LCD Monitor with Webcam Multiview LED Backlight 2560x1440 (Black),16:9,LED,,300cd/m2,Black,,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",1 x DVI-D,63.9cm (W) x 24.2cm (D) x 58.0cm (H) - Weight 8.5kg,1 x DisplayPort,,,2 x HDMI,1 x Headphone Port,,,0.233 x 0.233mm,,39W (Max) / 0.3W (Standby),,2560 x 1440 Pixels,12ms,,27in (Diagonal),PLS 16.7 Million Colour,,2 x 2W,±65°,-5 to +20°,3 x USB 2.0,,,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",,,,1 x 3.5mm PC audio input,,,,,,Monitor,,,30KHz to 90KHz,56Hz to 75Hz,,"Separate sync, Sync on green",,,,,,,,,,,,,"PowerSensor is a built-in 'people sensor' that transmits and receives harmless infrared signals to determine if the user is present and then automatically reduces monitor brightness when then user steps away from the desk, cutting energy costs by up to 80 percent and prolonging monitor life. Embedded webcam and microphone enables you to view and communicate with your colleagues and clients. This simple solution allows you to collaborate and share, saving precious time and travel-related costs. With the ultra high resolution Philips MultiView display you can now experience a world of connectivity in comfort whether at the office or at home. MultiView enables active dual connect and view so that you can work with multiple devices like a PC and Notebook side-by-side simultaneously, making complex multi-tasking work a breeze. Watching live football feeds from your set-top box on the right-hand side, while browsing the Internet from your notebook on the left is now easy. You may want to keep an eye on the live news feed with audio in the small window, while working on your latest blog. With a plethora of connectivity, these Philips displays come equipped with multi connections like Dual link DVI, Display Port and universal HDMI connector, enabling you to enjoy high-resolution uncompressed video and audio content. The USB 3.0 option ensures that you can have super-speed data transfers while having global connectivity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - GML2246 | MAG GML2246 (21.5 inch) LED Backlit LCD Monitor 50000:1 250cd/m2 1920x1080 5ms (Black),16:9,LED,,250cd/m2,Black,,"1,000:1 (Static) , 50,000:1 (Dynamic)",1 x DVI,,,,,,,,,,,23W (Max),,1920 x 1080 Pixels,5ms,,22in Viewable screen size - 21.5in,LED Backlight LCD 16.7 Million Colour,,,,,,,1,170° (Horizontal - Max) x 160° (Vertical - Max),,"Yes , Supported",,,,,,,,,,,,,,,,,LED Backlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VW22AT | Asus VW22AT (22 inch) LED Monitor 50000000:1 250cd/m2 1680 x 1050 5ms VGA DVI (Black),,,4716659092056,250cd/m2,Black,"Energy Star • BSMI • CB • CCC • CE • C-Tick • ErP • FCC • Gost-R • J-MOSS • RoHS • TCO5.2 • TUV-Ergo • TUV-GS • UL/cUL • VCCI • WEEE • WHQL (Windows 8, Windows 7)","50,000,000:1 (Dynamic)",1 x DVI-D,51.395cm (W) x 6.334cm (D) x 34.079cm (H) - Weight 3.9kg,,,,,,,Asus VW22AT (22 inch) LED Monitor • DVI cable • VGA cable • Audio cable • Power cord • Quick start guide • Warranty Card,0.282mm,,,,1680 x 1050 Pixels,5ms,,22in,LED 16.7 million Colour,Kensington Lock,2 x 1.0W,,+20° to -5°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA 100 x 100mm",3-year system warranty • 3-year panel warranty,,,1 x 3.5mm Mini-Jack,,,,VW22AT,,Display,,,31KHz to 83KHz (Digital) 31KHz to 83KHz (Analogue),56Hz to 76Hz (Digital) 56Hz to 76Hz (Analogue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - HX193DPB | HannsG HX193DPB (19 inch) LED Backlight LCD Monitor 1000:1 250cd/m2 1280 x 1024 5ms VGA DVI (Black),5:4,LED,4716329058863,250cd/m2,Black,CE • CB • GOST • Nemko GS • TCO 5.2 • EPA 5.2 • FCC • UL • 3C,"1,000:1 (Static)",1 x DVI-D,42.2cm (W) x 6.59cm (D) x 38.76cm (H) - Weight 4.81kg,,Operating Temperature 5 to 35°C - Humidity 20 to 85%,,,,,HannsG HX193DPB (19 inch) LED Backlight LCD Monitor,0.294 x 0.294mm,,,,1280 x 1024 Pixels,5ms,,19in,LED Backlight LCD,Kensington Lock,2 x 2W,,,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",,,,1 x Audio Line In,,,EN • TC • DE • FR • ES • IT • PT • NL • SC • JS • KR • RU,,,Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 60002794 | NEC Displays MultiSync LCD175M 17 inch TFT LCD Monitor 1000:1 250 cd/m² 1280 x 1024 5ms D-SUB/DVI-D (Silver/White),,,5028695107458,250cd/m2,Silver/White,,"1,000:1 (Static)",1 x DVI-D,36.8cm (W) x 23.0cm (D) x 35.8cm (H) - Weight 5.2kg,,Operating Temperature 5 to 35°C - Humidity 10 to 80%,,,,,NEC Displays LCD175M 17 inch TFT LCD Monitor • Signal Cable VGA - VGA Audio Cable • CD-ROM • Power Cable • Sales Office List • User Manual,0.264mm,,19W (Max) / 0.4W (Standby),,1280 x 1024 Pixels,5ms,31.5 to 81.1KHz (Horizontal) x 56 to 75Hz (Vertical),,16.7 million Colours,Kensington Lock Compliant,2 x 1W,,,,,1 x Mini 15-pin D-sub,160° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC,"Yes , VESA Compliant - 100mm x 100mm",3 Year Warranty (Including Backlight),,,,,,,,,,,,,,,,,,17in,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - BDL-K1392V160-UK | Fujitsu B22W-6 22 inch LED Display proGREEN (Black),16:10,,,250cd/m2,Black,,"1,000:1 (Static) , 2,000,000:1 (Dynamic)",1 x DVI (with HDCP),50.8cm (W) x 18.0cm (D) x 37.0cm (H) - Weight 5.7kg,,Operating Temperature 5 to 35°C,,,,,,0.282mm,,,,1680 x 1050 Pixels,5ms,,22in,16.7 Million Colour,,2 x 1.5W,340°,-5 to +35°,,,1 x 15-pin D-Sub,,100 to 240VAC / 50 to 60Hz,,3 Years,,,,,,Arabic • Czech • Danish • Dutch • English • Finnish • French • German • Italian • Norwegian • Polish • Portuguese • Russian • Spanish • Swedish • Turkish • Japanese,B22W-6,,Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 227E4LHAB/00 | Philips Asus 227E4LHAB/00 (21.5 inch) LCD Monitor 1000:1 250 cd/m2 1920 x 1080 5ms VGA HDMI (Black),16:9,W-LED System,871258164752 0,250cd/m2,Black,BSMI • CE Mark • FCC Class B • GOST • PSB • SASO • SEMKO • TCO 5.2 • TUV/ISO9241-307 • UL/cUL • WEEE,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",,51cm (W) x 3.7cm (D) x 31.4cm (H) - Weight 1.83kg,,Operating Temperature 0 to 40°C - Humidity 20 to 80%,Yes,1 x HDMI,,,Asus 227E4LHAB/00 (21.5 inch) LCD Monitor,0.248 x 0.248mm,DDC/CI • Mac OS X • sRGB • Windows 7/Vista/XP,0.5W (Standby) / 0.5W (Saving),,1920 x 1080 Pixels,5ms,,21.5in,TFT LCD 16.7 Million Colour,Kensington Lock,2 x 2W Integrated,,-5 to +20°,,,1 x 15-pin D-sub,176° (Horizontal - Max) x 170° (Vertical - Max),100 to 240VAC / 50 to 60Hz,,,,,,,,,227E4LHAB/00,,Display,,,30KHz to 83KHz (Digital),56Hz to 75Hz (Digital),,"Separate sync, Sync on green",LCD Monitor,,,,,,,,,,,,"The Full HD screen has the widescreen resolution of 1920 x 1080p. This is the highest resolution of HD sources for the best possible picture quality. It is fully future-proof as it supports 1080p signals from all sources, including the most recent sources such as Bluray and advanced HD game consoles. The signal processing is extensively upgraded to support this much higher signal quality and resolution. It produces brilliant flicker-free progressive scan pictures with superb brightness and colours. TrueVision is a proprietary Philips technology that uses an advanced algorithm for testing and aligning the monitor display, which gives you the ultimate display performance 4 times more stringent than Windows sRGB requirements. Only Philips ensures each and every monitor that leaves the factory is fine tuned with this process so you can get consistent colour and picture quality.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 60003430 | NEC Displays MultiSync X551S 55 inch S-PVA with Edge LED Backlights Display 4000:1 600cd/m2 1920x1080 8ms HDMI/DisplayPort/DVI-D/VGA (Black) + Integrated Protective Glass,16:9,,5028695109322,600cd/m2,Black,CE; TÜV GS; C-tick; Energy Star 5.0; FCC Class A; UL/C-UL or CSA; PSB; VCCI; RoHS,"4,000:1 (Static)",1 x DVI-D (with HDCP),125.40cm (W) x 4.33cm (D) x 72.63cm (H) - Weight 23.90kg,1 x DisplayPort,Operating Temperature 5 to 40°C - Humidity 20 to 80%,Yes,1 x HDMI,,,Display • Power Cable • VGA cable • slot cover for STv2 • Free LAN control software (download) • Remote Control (IR),,VESA DDC2Bi,200W (Max) / 0.5W (Standby),,1920 x 1080 Pixels 1080p,8ms,,55in Display Area - 120.96 x 68.04cm,S-PVA LCD,,2 x 5W,,,,,1 x 15-pin D-Sub,178° (Horizontal - Max) x 178° (Vertical - Max),,"Yes , VESA Compliant - 300mm x 300mm",3 years warranty including backlight,,,1 x 3.5mm Mini-Jack,1 x 3.5mm Mini Jack,1 x DVI-D (Loop-out),,X551S,,Display,,1 x RJ-45,31.5KHz to 91.1KHz,50Hz to 85Hz,1 x 9-pin RS-232 (input) • 1 x 9-pin RS-232 (output),,,60Hz,,,Included,1 x S-Video,,1 x BNC,VESA DPMS,MultiSync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - C185K | Edge10 C185K (18.5 inch) LED Professional CCTV Monitor 1000:1 250cd/m2 1366x768 5ms (Black Bezel),,LED,4712302921353,250cd/m2,Black Bezel,,"1,000:1 (Static)",,46.48cm (W) x 4.41cm (D) x 28.54cm (H) - Weight 5.8kg,,Operating Temperature 5 to 40°C - Humidity 10 to 85%,,1 x HDMI,,,,0.3mm,,,,1366 x 768 Pixels WXGA,5ms,,18.5in Display Area - 40.9 x 23.0cm,Active Matrix TFT 16.7 Million Colour,Kensington Lock,2 x 2W Integrated,,,,,1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",2 years,,,,,,,C185K,,Display,,,30KHz to 80KHz,60Hz to 75Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 x BNC (In), 1 x BNC (Out)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60Hz,Cleverboxes - 60003414 | NEC Displays MultiSync EA244WMi (24 inch) IPS LED Backlit LCD Monitor 1000:1 350cd/m2 1920x1200 5ms DisplayPort/HDMI/DVI-D (Black),16:10,W-LED,5028695109605,350cd/m2,Black,Energy Star 6.0; EPEAT Gold; CE; TCO 6.0; TCO Certified Edge Displays 1.2.; TÜV Ergonomics; TÜV GS; GEEA/Energy Label; FCC Class B; PCT/Gost; UL/C-UL or CSA; ISO 9241-307 (pixel failure class I); MPR III; RoHS,"1,000:1 (Static) , 25,000:1 (Dynamic)",1 x DVI-D (with HDCP),55.62cm (W) x 23.0cm (D) x 40.89cm (H) - Weight 7.60kg,1 x DisplayPort,Operating Temperature 5 to 35°C - Humidity 20 to 80%,,1 x HDMI,1 x Headphone Port,Yes,Monitor • Power Cable • Control Sync Cable • USB Cable • Audio Cable • CD-ROM • Sales Office List • User Manual • Signal Cable: VGA - VGA • DVI-D - DVI-D,0.270mm,VESA DDCi; VESA DDC2B,21W (Max) / 0.47W (Standby),Internal,1920 x 1200 Pixels WUXGA,5ms,,24in (Diagonal),IPS TFT 16.77 million Colour,Kensington Lock Slot,2 x 1.0W,±170°,-5 to +30°,"1 x USB 2.0 (4 down, 1 up)",Audio Volume / Lock-Out; Auto Adjust; Brightness; Colour Temperature Control; Contrast; Control Sync; DV Mode; EcoMode ; Fine Adjust (analog); Human Sensing; Intelligent Power Management ; Language Select; LED Brightness; Monitor Information; NTAA (Non-Touch-Auto-Adjustment); On-Screen-Display (OSD) lock-out; One Touch Recovery; Power-Off Timer; sRGB,1 x Mini 15-pin D-sub,178° (Horizontal - Max) x 178° (Vertical - Max),,"Yes , VESA Compliant - 100mm x 100mm",3 Years Including Backlight,,,,,,,EA244WMi,,Monitor,1920 x 1200 Pixels WUXGA,,31.5KHz to 77KHz,56Hz to 60Hz,,,,,,,,,,,,MultiSync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VA2246M-LED | Viewsonic  VA2246m-LED(22 inch) LED Display 1000:1 250cd/m2 1920x1080 5ms (Black),,,0766907722529,250cd/m2,Black,"CE, CB, WEEE, RoHS, REACH SVHC List, ENERGY STAR, Windows 8, Window7, UkrSEPRO, ErP, CU, CCC, CEL Level 1, BSMI, PSB, C-tick","1,000:1 (Static) , 10,000,000:1 (Dynamic)",1 x DVI-D,50.9cm (W) x 19.7cm (D) x 36.6cm (H),,Operating Temperature 0 to 40°C - Humidity 10 to 90%,,,,,Power Cable • D-Sub • Audio Cable • Quick Start Guide • ViewSonic CD Wizard • Base Instruction Guide,,,22W (Max),,,5ms,,22in,,,2 x 2W,,-5 to +18°,,,,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA 100 x 100mm",,Anti-Glare • Hard Coating 3H,,1 x Audio Line In,,,,VA2246m-LED,,Monitor,1920 x 1080 Pixels,,24KHz to 82KHz,50Hz to 75Hz,,,,,,,,,,,,,,,"A superior dynamic contrast ratio of 10,000,000:1 better defines the relationship between the darkest and brightest colours, ensuring all displayed images are rich and detailed. Combined with an extremely fast 5ms response time, every motion is naturally and accurately reproduced without any blurs. The VA2246m-LED is environmentally sound, complete with an energy-saving mercury-free LED backlight and Eco-mode. Its ENERGY STAR certification means you save up to 40% in energy costs when compared to regular 22 monitors. ViewSonic's proprietary Eco-mode function gives you the choice to optimize (75%) or conserve (50%) energy, thus reducing display brightness and conserving energy by up to 50%. Especially in low ambient light, Eco-mode adjusts brightness and improves visibility while reducing eye fatigue and prolonging the display's lamp life. Windows 8 Certified, the VA2246m-LED provides the most updated Windows 8 experience without any compatibility issues. Experience the all-new Windows 8 operating system with ViewSonic's VA2246m-LED display. Designed for use in various settings, the VA2246m-LED's robust design makes it safe and secure wherever it is installed. That's because it comes with a Kensington security lock slot and is VESA wall mount compliant - making it the perfect monitor for all office and public settings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - B2480HS-W1 | Iiyama ProLite B2480HS (23.6 inch) LED Backlit LCD Monitor 1000:1 300cd/m2 (1920x1080) 2ms D-Sub/DVI-D/HDMI (White),16:9,LED,,300cd/m2,White,"CE, CU, TUV-GS, TCO","1,000:1 (Static) , 5,000,000:1 (Dynamic)",1 x DVI-D,57.15cm (W) x 24.45cm (D) x 42.7cm (H) - Weight 6.1kg,,Operating Temperature 5 to 35°C - Humidity 10 to 80%,Yes,1 x HDMI,,Yes,"Iiyama ProLite B2480HS Monitor (White), Power cable, D-Sub cable, DVI-D cable, Audio cable, Stand, Screw, Quick start guide, Safety guide",0.27 x 0.27mm,VESA DDC2B,22W (Max) / 0.5W (Saving),Internal,1920 x 1080 Pixels 1080p,2ms,,23.6in Display Area - 52.13 x 29.32cm,TFT LCD TN Panel 16.7 million Colour,Kensington Lock Slot,2 x 2W Stereo,320°,"Up 22°, Down 5°",,"Luminance (contrast, brightness, ECO, i-style Colour, ACR), image setup (clock, phase, H. position, V. position, aspect), colour (gamma, colour temperature, sRGB), OSD setup (H. position, V. position, OSD time out, language), others (reset, signal select, HDMI audio, OD, information), volume, auto adjust and 5 front controls (Power, Menu, +/ Volume, -/ ECO, Auto)",1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",Two years on-site (plus 1 free year extra - registration required).,,,1 x 3.5mm Mini-Jack,,,"9 languages (EN, DE, FR, ES, IT, PT, Chinese, RU, JP)",B2480HS,,Display,,,24KHz to 80KHz,56Hz to 75Hz,,Separate sync,LCD Display,,,,,,,,"VESA DPMS, Energy Star",ProLite,,,"HDMI stands for High-Definition Multimedia Interface. Much smaller and more convenient than DVI, HDMI also has the significant advantage over DVI that it supports audio as well as video signals. A Height Adjustable Stand allows you to set the perfect position of the screen ensuring ergonomic posture and optimal viewing comfort which benefits not only your health but also productivity. Screen rotation means you can change the position of the screen from landscape into portrait. This feature can be very handy while working with long spreadsheets or texts.",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Microsoft Windows 95, 98, Me, 2000, XP, Vista, 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 24EN43VS-B | LG Electronics LG EN43VS Series 24EN43VS (24 inch) Full HD LED Monitor 5M:1 200cd/m2 1920x1080 5ms HDMI/DVI-D,16:9,LED,8806084141101,200cd/m2,,,"5,000,000:1 (Dynamic)",1 x DVI-D,56.70cm (W) x 18.10cm (D) x 41.80cm (H) - Weight 3.60kg,,,Yes,1 x HDMI,1 x Headphone Port,,,,DDC/CI,25W (Max) / 0.32W (Standby),,1920 x 1080 Pixels 1080p,5ms,,24in,TN 16.7 Million Colour,,,,-5 to +20°,,,1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC,"Yes , VESA Compliant - 100mm x 100mm",,Anti-Glare • Hard Coating 3H,,,,,,24EN43VS,,Display,,,30KHz to 83KHz,56Hz to 75Hz,,,,,,,,,,,,EN43VS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VS197D | Asus VS197D (18.5 inch) Widescreen LED Backlight LCD Monitor - 50000000:1 250 cd/m2 1366 x 768 5ms VGA (Black),16:9,LED,4719543380901,250cd/m2,Black,Energy Star 5.0 • UL/cUL • CB • CE • EuP • FCC • CCC • BSMI • Gost-R • C-Tick • VCCI • PSB • EK • J-MOSS • RoHS • WEEE • Windows Vista and Windows 7 WHQL,"50,000,000:1 (Dynamic)",,44.7cm (W) x 18.5cm (D) x 34.6cm (H) - Weight 4.05kg,,,,,,,Asus VS197D (18.5 inch) Widescreen LED Backlight LCD Monitor • VGA cable • Power cord • Quick start guide • Warranty Card,0.3mm,,,,1366 x 768 Pixels,5ms,,18.5in,Widescreen 16.7 Million Colour,Kensington Lock,,,+20° to -5°,,SPLENDID Video Preset Mode Selection • Auto. Adjustment • Brightness Adjustment • Contrast Adjustment,1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),,"Yes , Supported - 75mm x 75mm",3-year system warranty • 3-year panel warranty,,,,,,,VS197D,,Display,,,24KHz to 83KHz (Analogue),50Hz to 75Hz (Analogue),,,LED Backlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
