<page title>,brand,category,ean,feature,group,hardwareplatform,label,manufacturer,model,mpn,operatingsystem,order,part number,publisher,quantity,studio,title,total items,trait,upc,color,aspectratio,itempart number,languages,size,sku,supplement,warranty,elements,legaldisclaimer,reviews,department,products,format,highlight,included,binding,catalognumberlist,eanlist,isautographed,ismemorabilia,itemdimensions,listprice,numberofitems,packagedimensions,packagequantity,partnumber,platform,productgroup,producttypename,upclist,addition,ingredients,plus,characteristic,releasedate,additional,benefits,manufacturerpartswarrantydescription,extra,reports,properties,attributes,item,benefit,special,addon,featured,extras,product,quality,listed
Qnix Qx2710 Evolution Ii 27 Led Monitor - Yikus.com,: QNIX,: MONITOR,: 0887810001416,": 2560×1440 High Resolution WQHD Panel / 43W Low Power Consumption. : Beautiful Images With 50,000 Levels Contrast Ration / 8ms Respond Time : Matte Type Screen / Piano-black High Glossy Slim Bezel / TILT Stand / Dual DVI-D : 5W+5W Built-in Speaker / Space-efficiency Using Walls(100X100 VESA Holes) : 178 Wide Viewing Angle / LED Backlight / Bypass Board",: PC Accessory,,: QNIX,: QNIX,: QX2710 LED Evolution Ll,: QX2710 LED Evolution Ll,,: Electronics,: QX2710 LED Evolution Ll,: QNIX,: 1,: QNIX,: QNIX QX2710 Evolution II 27″ LED Monitor,,,: 887810001416,,,,,,,,,,: Brand New Sealed In Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,": Beautiful images with 50,000 levels contrast ration / 8ms Respond time : 2560×1440 High Resolution WQHD Panel / 43W Low power consumption. : Matte type screen / Piano-black high glossy slim bezel / TILT stand / Dual DVI-D : 178 wide viewing angle / LED backlight / Bypass board",,,,,,,,,,,,
Yiynova Msp19u+ Tablet Monitor Vesa Stand Mac & Windows Solution  - Yikus.com,: The Panda City,: MONITOR,: 0728028236781,": Warranty: 1 Year With The Panda City (Warranty Will Be Voided If The Prodcuts Are Used Outside USA) ; Support OS:Windows And Mac (Tested In 10.4x To 10.8x) : Device: External AC 100/240V Power, 1 VGA Input, 1 VGA Output, 1 USB, 1 Pen W/Kit : LCD:16.7M Colors,1440×900 Res,0.28×0.28 Mm Pixel Pitch,5ms Response,1000:1,dynamic 50000:1 Contract : Tablet:resolution(4000 LPI),Tracking Speed(130 PPS),Pen Pressure Sensitive(2048 Levels),mini-USB : Active Display/drawing Area (H X V): 408.24 X 255.15 Mm (19″ Diagonal), 16:10 TFT Wide Screen. Mac Solution.",: PC Accessory,,: YIYNOVA,: YIYNOVA,: MSP19U,: MSP19U,,: Personal Computers,: MSP19U,: YIYNOVA,: 1,: YIYNOVA,": Yiynova MSP19U+ Tablet Monitor,VESA Stand(Mac & Windows Solution)",,,: 728028236781,: Black,: 16:10,,,,,,,,": (MSP19U+)In The LCD Industry Standard, This Brand New Tablet May Hold Two Or Less Stuck Pixels. For Dark/stuck Pixel Policy, Please Reference Our Storefront In Detail. 1 Year Of Store Warranty.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,": Active display/drawing area (H x V): 408.24 x 255.15 mm (19″ diagonal), 16:10 TF : Device: External AC 100/240V Power, 1 VGA Input, 1 VGA Output, 1 USB, 1 Pen w/Ki : Tablet:resolution(4000 LPI),Tracking speed(130 PPS),Pen pressure sensitive(2048 : LCD:16.7M Colors,1440×900 Res,0.28×0.28 mm Pixel pitch,5ms Response,1000:1,dynam",,
Lenovo D221 Black 22 Widescreen Screen 1680 X 1050 Resolution  - Yikus.com,: D221,: COMPUTER DRIVE OR STORAGE,: 0794504972726,": Screen Size – 22″ WideScreen || Max Resolution – 1680 X 1050 : Ports – VGA – 1 || DVI – 1 : Display Type – WideScreen LCD || Case Color – Black : Make / Model – Lenovo D221 : What’s In The Box – Lenovo D221 Monitor With Stand, Power Cord, And VGA Cable",: PC Accessory,,: Lenovo,: Lenovo,,: D221,,: Electronics,: D221,: Lenovo,: 1,: Lenovo,: Lenovo D221 Black 22″ WideScreen Screen 1680 X 1050 Resolution Refurbished LCD Flat Panel Monitor,,,: 794504972726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,: Ports – VGA – 1 || DVI – 1 : Display Type – WideScreen LCD || Case Color – Black : Screen Size – 22″ WideScreen || Max Resolution – 1680 x 1050 : Make / Model – Lenovo D221,,,,,,,,,,,,,,
Samsung S23a350h 23 Inch Class Led Monitor Black - Yikus.com,: Samsung,: MONITOR,: 0729507816425,: Perfect From Every Angle With MagicAngle : Ultra-Slim Design : Breakthrough Picture Quality With LED Technology : HDMI Connectivity : Save Up To 40% Energy,: Personal Computer,,: Samsung IT,: Samsung IT,: LS23A350HS/ZA,: S23A350H,,: Personal Computers,: S23A350H,: Samsung IT,: 1,: Samsung IT,: Samsung S23A350H 23-Inch Class LED Monitor – Black,: 1,,: 729507816425,: Black,: 16:9,,,,,,: 1 Year,,": Refurbished, Never Used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctl Lp2361 24' Led Lcd Monitor 16:9 2 Ms. 24in Ws Led 1920x1080  - Yikus.com,: CTL,: COMPUTER ADD ON,,,: PC Accessory,,: CTL CORP,: CTL CORP,,: ITE-KW8422-INGM|1,,: Electronics,: ITE-KW8422-INGM|1,: CTL CORP,: 1,: CTL CORP,: CTL LP2361 24′ LED LCD Monitor – 16:9 – 2 Ms. 24IN WS LED 1920X1080 1000:1 LP2361 HDMI DVI 2MS 3YR WARR LCD. 1920 X 1080 – 16.7 Million Colors – 300 Nit – 1000:1 – Speakers – DVI – HDMI – VGA,,,,,,,,,: KW8422-INGM|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilliput 668gl 70np/h/y 7 On Camera Field Hd Monitor Dslr  - Yikus.com,: LILLIPUT,: MONITOR,: 6951697014778,": Besides, It Provides BNC Twist-on Plugs To Ensure Fixed Connection To Any Input Sources. : This Monitor Is Universal And Can Be Installed, Used In All Cars, Ships And Anywhere In The World! : Battery Life: 2.5 Hours (Turn On On/off Button Before Battery Charging) : It Features HDMI High Definition Multimedia Interface With Wide Viewing Angles, Multi-size Display And More. : This Is The Newest 2010 Model Of 7 Inches DAYLIGHT Widescreen 16:9 HDMI YPbPr High Quality TFT LCD Car Monitor With An Extra High Brightness Of 450cd/m2 Instead Of The Normal 250cd/m2. Its Screen Disp",: Photography,,: Lilliput,: Lilliput,: 668GL-70NP/H/Y,: 668GL-70NP/H/Y,,: Electronics,: 668GL-70NP/H/Y,: Lilliput,: 1,: Lilliput,: Lilliput 668GL 70NP/H/Y 7″ On-camera Field HD Monitor For DSLR With HDMI Ypbpr And Composite Input,,,,: BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,": This monitor is universal and can be installed, used in all cars, ships and anyw : Besides, it provides BNC twist-on plugs to ensure fixed connection to any input : This is the newest 2010 model of 7 inches DAYLIGHT widescreen 16:9 HDMI YPbPr Hi : It features HDMI High Definition Multimedia Interface with wide viewing angles,",
Lg E2441v Bn 24 Class Widescreen Led Monitor - Yikus.com,: LG,: MONITOR,: 0719192188501,": Dimensions (WHD): 22.4″ X 16.5″ X 7″ In. : RGB, HDMI, DVI, And D-Sub Inputs : Full HD 1080p Resolution (1920×1080) : 5,000,000:1 Contrast Ratio",: PC Accessory,: PC,: LG Electronics,: LG Electronics,: E2441V-BN,: E2441V-BN,: Windows XP Professional Edition,: Electronics,: E2441V-BN,: LG Electronics,: 1,: LG Electronics,: LG E2441V-BN 24″ Class Widescreen LED Monitor,,,: 719192188501,,,,:,,: 000000148458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell E1913 19in Ws Mntr Vga/dvi E Series Low Mount - Yikus.com,: Dell,: COMPUTER COMPONENT,: 0030272863102,": Dimensions (WxDxH): 17.5 In X 6.5 In X 14.7 In – With Stand| Weight: 5.6 Lbs| Interfaces: DVI-D ( HDCP )| Display Position Adjustments: Swivel, Tilt| Features: Security Lock Slot (cable Lock Sold Sepa : EPEAT Compliant: EPEAT Gold| ENERGY STAR Qualified: Yes : Display Type: LED-backlit LCD Monitor / TFT Active Matrix| Diagonal Size: 19| Viewable Size: 19| Panel Type: TN| Aspect Ratio: Widescreen – 16:10| Native Resolution: 1400 X 900 At 60 Hz| Pixel Pitch:",: PC Accessory,,: Dell Computers,: Dell Computers,: E1913,: E1913,,: Electronics,: E1913,: Dell Computers,,: Dell Computers,: Dell E1913 19IN WS MNTR VGA/DVI E SERIES LOW MOUNT,,,: 030272863102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,: EPEAT Compliant: EPEAT Gold| ENERGY STAR Qualified: Yes : Dimensions (WxDxH): 17.5 in x 6.5 in x 14.7 in – with stand| Weight: 5.6 lbs| In : Display Type: LED-backlit LCD monitor / TFT active matrix| Diagonal Size: 19| Vi,,,,,,,,
Lg Electronics Display Stand Monitors St4210k - Yikus.com,: LG,: PRINTER,: 0778889463871,: Monitor Supported: Up To 42″ : Recommended Use: LCD Monitor : Compatibility: LG M4213CCBA LCD Widescreen HD Capable Monitor : Form Factor: Desk Mountable,: Home Theater,,: LG,: LG,: ST4210K,: ST4210K,: N/A,: Electronics,: ST4210K,: LG,: 1,: LG,: LG Electronics Display Stand For Monitors (ST4210K),: 1,,: 719192171923,: Black,,,,,,,,,": ****Since Items Are Brand New And We Report The Enduser Customer To Company, In Most Cases, We Are Not Able To Accept Returns Unless A Technical Issue Occurs. In That Rare Case The Company Deducts Onl",,,,: CD-ROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elo 1537l Open Frame Touchscreen Lcd Monitor 15 Inch Surface  - Yikus.com,: ELO,: MONITOR,: 7411493182594,": Touchscreen Sealed Against Dirt, Dust And Liquids : ?Designed For Touch? From The Ground Up : Entry-level Monitor With Elo Reliability And Quality At An Economical Price Point : The 1537l Intellitouch Usb/ser Open-frame W/o Pwr.",: Personal Computer,,: Elo,: Elo,: E512043,: 7411493182594,,: Personal Computers,: 7411493182594,: Elo,: 1,: Elo,": Elo 1537L Open-Frame Touchscreen LCD Monitor – 15-Inch – Surface Acoustic Wave – 1024 X 768 – 4:3 – Steel, Black",: 1,,,: Steel,: 1.33:1,,:,: 15.9in L X 13.9in W X 6.1in H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nec P462 Avt 46 Inch Screen Spva Monitor - Yikus.com,: NEC,: MONITOR,: 0805736038736,": CONTRAST RATIO:3500:1 : INPUT:DVI-D,D-SUB,ANALOG BNC,composite ,S-VIDEO,HDMI,COMPONENT,display Port : Display Area: 46″ : RESOLUTION: 1920X1080 : DISPLAY TYPE: SPVA",: Personal Computer,,: NEC,: NEC,: P462-AVT,: P462-AVT,,: Personal Computers,: P462-AVT,: NEC,: 1,: NEC,: NEC P462-AVT 46-Inch Screen SPVA Monitor,: 1,,: 805736038736,: Black,: 1.78:1,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Professional P2314h 23 Inch Widescreen Flat Panel Monitor  - Yikus.com,: Dell,: PERSONAL COMPUTER,: 0884116066484,": 1920×1080 @ 60Hz Resolution | LED Backlight Technology | Adjustable Height, Tilt, Swivel & Pivot Stand With Cable Management : Connectivitiy: 1 DVI-D With HDCP, 1 VGA, 1 DisplayPort (verison 1.2a), 4x USB 2.0 Ports *3 Downstream Ports, 1 Upstream Port : Height-adjustable Stand, Pivot,tilt,swivel And Built In Cable-management And Built-in Cable Management Stand : Backed By A 3-Year Limited Hardware Warranty*, Dell Monitors Is Built For Long-term Reliability. It Has Undergone Continuous Process Quality Monitoring And Rigorous Testing To Help Ensure Stringent St : Dell Professional Series 23-Inch Widescreen LED Technology Monitor W/USB 2.0 Hub",: Personal Computer,: PC,: Dell Computers,: Dell Computers,: 861-10353,: 861-10353,,: Personal Computers,: 861-10353,: Dell Computers,: 1,: Dell Computers,": Dell Professional P2314H 23-inch Widescreen Flat Panel Monitor With LED W/Built-In USB 2.0 HUB & Height Adjustable Stand, Tilt & Swivel, Stand.",: 1,,: 884116066484,,: 16:9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,": Height-adjustable stand, pivot,tilt,swivel and built in cable-management and bui : Connectivitiy: 1 DVI-D with HDCP, 1 VGA, 1 DisplayPort (verison 1.2a), 4x USB 2 : 1920×1080 @ 60Hz Resolution | LED Backlight Technology | Adjustable Height, Tilt : Dell Professional Series 23-Inch Widescreen LED Technology Monitor W/USB 2.0 Hub",,,,,,,,,,,,,,
Elo Intellitouch E603162 17 Inch Screen Lcd Monitor - Yikus.com,: ELO,: PRINTER,: 7411493185014,": The Display Is Factory-sealed Against Dirt, Dust, And Liquids : LCD Touchscreen Monitor : Provides A Truly Economical Solution, With Elo?s Renowned Quality. : Cost-effective Touch Solution For System Integrators : 17-Inch – 5-wire Resistive",: Personal Computer,,: Elo,: Elo,: E603162,: 7411493185014,: Linux,: Personal Computers,: 7411493185014,: Elo,: 1,: Elo,: Elo Intellitouch E603162 17-Inch Screen LCD Monitor,: 1,,,: Dark Gray,: 1.66:1,,:,,,,,,,,: Elo 1715L LCD Desktop Touchmonitor – Computer Moni,,: CD-ROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer H236hl Bid 23 Inch Widescreen Lcd Monitor - Yikus.com,: Acer,: MONITOR,,": With VGA, DVI & HDMI Inputs So You Can Easily Power And Extend The Enjoyment From Your Smartphone Or Tablet On Full HD Display. : IPS Provides Advanced In Plane Switching Technology For Premium Color Performance At Any Viewing Angle. : This 23-Inch LCD Provides Excellent Detail With A Stunning 1920 X 1080 Resolution, Making It Perfect For HD Productive And Multimedia Applications.",: Personal Computer,: Consumer Electronics,: Acer,: Acer,: H236HL Bid,: UM.VH6AA.003,,: Personal Computers,: UM.VH6AA.003,: Acer,: 1,: Acer,: Acer H236HL Bid 23-Inch Widescreen LCD Monitor,: 1,,: 887899490491,: Black,: 1.78:1,,:,,,": With VGA, DVI & HDMI inputs so you can easily power and extend the enjoyment fro : IPS provides advanced in plane switching technology for premium color performanc : This 23-Inch LCD provides excellent detail with a stunning 1920 x 1080 resolutio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg Ips231p Bn 23 Inch Widescreen Led Lcd Pivoting Monitor  - Yikus.com,: LG,: MONITOR,: 0719192188617,: Interface: Analog / Digital(HDCP) : Max Resolution: 1920 X 1080 : Contrast Ratio: 5000000:1(DFC) : Display Area: 23″ : Display Type: Widescreen LCD With LED Backlight,: Personal Computer,,: LG Electronics,: LG Electronics,: IPS231B-BN,: IPS231B-BN,: N/A,: Personal Computers,: IPS231B-BN,: LG Electronics,: 1,: LG Electronics,: LG IPS231P-BN 23-Inch Widescreen LED LCD Pivoting Monitor With IPS Panel,: 1,,: 719192188617,,: 1.78:1,,,,,: Display Area: 23″ : Max Resolution: 1920 x 1080 : Display Type: Widescreen LCD with LED Backlight : Contrast Ratio: 5000000:1(DFC),,,,,: Monitor / Display / Projector,,: CD-ROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo 14 Thinkvision Lt1421 Wide Lcd Flat Panel - Yikus.com,: Lenovo,: MONITOR,: 0886605943153,": Display Resolution Of 1366 X 768 Matching Mainstream Notebook Resolution : Light Weight (monitor: 0.84kg/1.8lbs; With Screen Cover: 1.02kg/2.25lbs) : Brightness Adjustment Button For 16 Level Brightness, USB 2.0 Connection, USB Powered : 14-inch Viewable Image Size : Photo Frame Tilt Stand Adjustments For Viewing Comfort (12 Degree~40 Degree)",: Personal Computer,,: Lenovo,: Lenovo,: LT1421,: 886605837759,: N/A,: Electronics,: 886605837759,: Lenovo,: 1,: Lenovo,: Lenovo 14″ ThinkVision LT1421 Wide LCD Flat Panel,: 1,,: 886605837759,: Black,: 16:9,,:,: 15.2in L X 10.5in W X 2.5in H,,,,,,,,,: CD-ROM,,,,,,,,,,,,,,,,,,,,,,,,,,: 14-inch viewable image size : Light weight (monitor: 0.84kg/1.8lbs; with Screen Cover: 1.02kg/2.25lbs) : Display resolution of 1366 x 768 matching mainstream Notebook resolution : Photo frame tilt stand adjustments for viewing comfort (12 degree~40 degree),,,,,,,,,,,,
Eizo Flexscan Ev2416wfs Bk Led Monitor 24 1920 X 1200 Tn 250  - Yikus.com,: Eizo,: MONITOR,: 0690592036930,": Product Line: FlexScan| Product Name: 24 FlexScan EV2416W WideScreen LED| Marketing Information: Slim Bezels Give The EV2416W An Attractive New Design, But Youll Be Even More Impressed By Its Visual E : Number Of Screens: 1| Screen Size: 24| Screen Mode: WUXGA| Response Time: 5 Ms| Aspect Ratio: 1610| Horizontal Viewing Angle: 170°| Vertical Viewing Angle: 160°| Adjustable Display Angle: Yes| Adjus : Marketing Information: A New Thin Bezel Design Saves Space On The Desktop And Minimizes Eye Movement Between Screens In A Multi-monitor Environment.| Marketing Information: Adjustable Stand| Marketing : Brightness: 250 Nit| Number Of Speakers: 2| Speakers: Yes| DVI: Yes| USB: Yes| USB Standard: USB 2.0| VGA: Yes| DisplayPort: Yes| Built-in Devices: USB Hub| Operating Power Consumption: 45 W| Standby",: PC Accessory,,: EIZO,: EIZO,: EV2416WFS-BK,: EV2416WFS-BK,,: Personal Computers,: EV2416WFS-BK,: EIZO,: 1,: EIZO,": EIZO FlexScan EV2416WFS-BK – LED Monitor – 24″ – 1920 X 1200 – TN – 250 Cd/m2 – 1000:1 – 5 Ms – DVI-D, VGA, DisplayPort – Speakers – Black",,,: 690592036930,,: 16:10,,,: 24in L X 6.5in W X 18in H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,: Marketing Information: A new thin bezel design saves space on the desktop and mi : Brightness: 250 Nit| Number of Speakers: 2| Speakers: Yes| DVI: Yes| USB: Yes| U : Product Line: FlexScan| Product Name: 24 FlexScan EV2416W WideScreen LED| Market : Number of Screens: 1| Screen Size: 24| Screen Mode: WUXGA| Response Time: 5 ms|,,,,,,,,
Smart Buy 23in Wled Lcd Vga/dvi/dp Blk La2306 - Yikus.com,: HP,: MONITOR,: 0885631717288,": Contrast Ratio: 1,000:1 : Aspect Ratio: Not Available : Widescreen: Yes : Monitor Type: LED : Screen Size: 23″",: CE,,: Hp,: Hp,: XN375A8#ABA,: XN375A8#ABA,,: Personal Computers,: XN375A8#ABA,: Hp,: 1,: Hp,: Smart Buy 23IN Wled LCD VGA/dvi/dp Blk LA2306,: 1,,: 885631717288,: Black,: 16:9,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nec Display Solutions As221wm Bk 22 Inch 5ms 250 Cd/m2 1000:1  - Yikus.com,: Nec Computers,: MONITOR,: 0999992658729,": Input Signal Video Analog RGB 0.7 Vp-p/75 Ohms Sync Separate Sync: TTL Level (Positive/Negative) : Viewable Image Size 22″ Widescreen Pixel Pitch .282mm Pixels Per Inch 90 Brightness 250 Cd/m2 Contrast Ratio 1000:1 : Input Connectors DVI-D And VGA 15-pin D-Sub Native Resolution 1680 X 1050 Warranty 3 Years Parts And Labor, Including Backlight : Synchronization Range Horizontal 31.5 – 82.3 KHz Vertical 56 – 75 Hz : Viewing Angle 88/88/88/88(CR>5) Response Time 5ms",: Personal Computer,: Pc,: Nec Computers,: Nec Computers,: AS221WM-BK,: 60002791,: Windows,: Electronics,: 60002791,: Nec Computers,: 1,: Nec Computers,: NEC Display Solutions AS221WM-BK 22-Inch 5ms 250 Cd/m2 1000:1 Widescreen LCD Monitor (Black),: 1,,: 999992658729,: Black,,,:,,,,,,,,,,: CD-ROM,,,,,,,,,,,,,,: Windows,,,,: Input Signal Video Analog RGB 0.7 Vp-p/75 Ohms Sync Separate sync: TTL Level (Po : Viewing Angle 88/88/88/88(CR>5) Response Time 5ms : Synchronization Range Horizontal 31.5 – 82.3 kHz Vertical 56 – 75 Hz : Viewable Image Size 22″ widescreen Pixel Pitch .282mm Pixels Per Inch 90 Brightn,,,,,,,,,,,,,,,,,,,,
Lenovo Li2721sw 27 Inch Led Lit Monitor 18200587 - Yikus.com,: Lenovo,: MONITOR,: 0886843910146,: True Ultra-Slim With Smart Metal Stand : IPS Perfect Picture Viewing Angle 3.5x Wider Than Standard LED Monitors : Stylish Design Maximizes Viewing Surface With An Ultra-slim Bezel,: Personal Computer,,: Lenovo,: Lenovo,: 18200587,: 18200587,,: Personal Computers,: 18200587,: Lenovo,: 1,: Lenovo,: Lenovo LI2721sW 27-Inch LED-Lit Monitor (18200587),: 1,,: 886843910610,: Brushed Aluminum/Black,: 1.78:1,,:,,,,: 1 Year Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer X223wbd 22 Wide 1680 X 1050 Resolution Lcd Blk - Yikus.com,: Acer,: MONITOR,: 0099802102340,": Black Finish : Pixel Pitch 0.282 Mm : Input Signal-1xVGA, 1 X DVI (W/HDCP) : 22 ” Wide LCD Monitor : 1680 X 1050 Maximum Resolution With 60 Hz Refresh Rate",: Personal Computer,: PC,: Acer,: Acer,: ET.EX3WP.001,: X223WBD,: Windows XP Professional Edition,: Personal Computers,: X223WBD,: Acer,: 1,: Acer,: Acer X223WbD 22″ Wide 1680 X 1050 Resolution LCD-blk,: 1,,: 099802102340,,,,:,,,,,,: I Am Not Responsible For This Item After It Has Reached Its Destination.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq Va Led Monitor Gw2450 24 Inch Screen Led Lit Monitor - Yikus.com,: BenQ,: MONITOR,: 0840046025892,: Full HD 1080p 16:9 Visual Perfection : D-sub / DVI-D Inputs : 5000:1 Ultra High Native Contrast Ratio For Better Image Depth And Definition : Windows 8 And Windows 7 Compatible : Brilliant Image Quality With VA LED Panel Technology,: Personal Computer,: PC,: BenQ,: BenQ,: GW2450,: 9H.L8PLB.QPL,: Windows 7,: Accessory,: 9H.L8PLB.QPL,: BenQ,: 1,: BenQ,: BenQ VA LED Monitor GW2450 24-Inch Screen LED-Lit Monitor,: 1,,: 840046025892,: Black,: 1.78:1,,:,,,,: 3 Years Parts And Labor,,:,,,,,,,,,,,,,,,,,,: Windows 7,,,,,,,: Brilliant Image Quality with VA LED Panel Technology : Full HD 1080p 16:9 Visual Perfection : D-sub / DVI-D Inputs : 5000:1 Ultra High Native Contrast Ratio for better image depth and definition,: 2013-10-07,,,,,,,,,,,,,,,,
Lg Electronics N/a M4210lcba 42 Inch Screen Lcd Monitor - Yikus.com,: LG,: MONITOR,: 0719192187474,": Display Type: Widescreen LCD Display : Stand, Mount, And Speakers Must Be Purchased Separately. : Max Resolution: 1920 X 1080 : Display Area: 42″ : Contrast Ratio: 1300:1, 3000:1 (DCR)",: Personal Computer,,: LG Electronics,: LG Electronics,: M4210LCBA,: M4210LCBA,: N/A,: Personal Computers,: M4210LCBA,: LG Electronics,: 1,: LG Electronics,: LG Electronics N/A M4210LCBA 42-Inch Screen LCD Monitor,: 1,,: 719192187474,: Black Matte,: 1.78:1,,:,,,,,,": Equipment Is New And In Box From The Manufacturer. Seller Assumes No Responsibility In Manufacturer Defects. Returns, Exchanges, And/or Warranty Claims Shall Be Done Through LG Electronics Or Its Auth",,: Monitor / Display / Projector,,: CD-ROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,": Display Area: 42″ : Display Type: Widescreen LCD Display : Stand, Mount, and Speakers must be purchased separately. : Contrast Ratio: 1300:1, 3000:1 (DCR)",,,,
Md46b 46 1920 X 1080 5000:1 Slim Light Led Lcd Display Built  - Yikus.com,: Samsung,: MONITOR,: 0729507818764,": Widescreen: Not Available : Monitor Type: LED : Contrast Ratio: 5,000:1 : Screen Size: 46″ : Aspect Ratio: 16:9",: PC Accessory,: Consumer Electronics,: Samsung,: Samsung,: MD46B,: LH46MDBPLGA/ZA,: N/A,: Personal Computers,: LH46MDBPLGA/ZA,: Samsung,: 1,: Samsung,: MD46B 46″ 1920 X 1080 5000:1 Slim And Light LED LCD Display With Built-in MagicInfo Lite,: 1,,: 729507818764,,,,:,,: 993782,,,,,,,,: CD-ROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq Xl2420tx Professional Gaming Monitor - Yikus.com,: BenQ,: MONITOR,: 0840046025168,": Download Special Gaming Presets, Used By HeatoN And SpawN, On Gaming.BenQ So You Can See What The Pros See : Developed With Special Collaboration Of Renowned Counter-Strike Legends : Black EQualizer Brightens Dark Scenes Without Over-exposing Bright Areas To Preserve Vital Details : Use The Scroll Button On The S Switch To Change Your Custom OSD Settings : Play Like A Pro With The Exclusive FPS Mode",: Personal Computer,,: BenQ,: BenQ,: XL2420TX,: XL2420TX,,: Personal Computers,: XL2420TX,: BenQ,: 1,: BenQ,: BenQ XL2420TX Professional Gaming Monitor,: 1,,: 840046025168,: Black,: 16:9,,:,,,,: 1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung B350 Series T27b350nd 27 Inch Screen Led Lit Monitor  - Yikus.com,: Samsung,: MONITOR,: 0745449871407,": 1920 X 1080 Resolution : Built-in ATSC/Clear QAM DTV, : Dts 2.0+ Digital Out : 27″ Wide LED TN : 5Wx2 Speakers",: Personal Computer,: Consumer Electronics,: ????,: ????,: T27B350ND,: LT27B350ND,: Windows,: Personal Computers,: LT27B350ND,: ????,: 1,: ????,: Samsung B350 Series T27B350ND 27-Inch Screen LED-Lit Monitor,: 1,,: 778889499931,: Rose Black,: 16:9,,,,,,: 1 Year Parts/labor/backlight,,,,: Electronics,,: CD-ROM,,,,,,,,,,,,,,: Windows,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Lt1712p 5047hc2 17 Inch Screen Lcd Monitor - Yikus.com,: Lenovo,: MONITOR,: 0887263055400,": The Think Vision LT1712p Provides Great Ownership Experience At An Affordable Price. It Prides In The Highest Standards For Environmental Safety And Energy, Meeting Energy Star 6.0, TUV Green Mark, EP : 17-Inch Square LCD Panel – 1280 X 1024 Resolution – 5:4 Aspect Ratio – VGA And DVI Connections – Support Lenovo Tiny PC And 3rd Party Thin Client Via Optional L Bracket – Arsenic Free Glass – The Elec : The LT1712p’s Stand Also Is Able To Support Lenovo’s M92p Tiny With Its Tiny Support Bracket. Users Looking For A Single Solution Suitable For A Variety Of Business Environments Will Value This Versat",: Personal Computer,,: Lenovo,: Lenovo,: 5047HC2,: 5047HC2,,: Personal Computers,: 5047HC2,: Lenovo,: 1,: Lenovo,: Lenovo LT1712p 5047HC2 17-Inch Screen LCD Monitor,: 1,,: 887263055400,,: Unknown,,:,: 17.8in L X 16.5in W X 5.8in H,,,: 30 Days And Manufacturer,,,,,: The LT1712p’s stand also is able to support Lenovo’s M92p Tiny with its Tiny sup : 17-Inch Square LCD panel – 1280 x 1024 resolution – 5:4 aspect ratio – VGA and D : The Think Vision LT1712p provides great ownership experience at an affordable pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
