<page title>,brand name,contrast ratio,diagonal screen size,dimensions,ecolabel,hd compatible,horizontal viewable angle,integrated speakers,item,manufacturer,manufacturer,maximum resolution,model name,monitor brightness,monitor color,native resolution,pixel pitch,signal input type,tv tuner,typical response time,viewable image size,wall mountable,warranty length,aspect ratio,backlight technology,brightness,depth,display orientation,height,input voltage,number of screens,platform supported,product line,product name,product type,screen size,vesa mount compatible,vesa mount standard,vga,weight,width,postconsumer recycled content,screen type,total recycled content,touchscreen type,builtin devices,color,color supported,depth with stand,dvi,height with stand,mount type,response time,screen mode,speakers,standard refresh rate,vertical viewing angle,viewing angle,weight with stand approximate,width with stand,features,offmode power consumption,operating power consumption,standby power consumption,touchscreen,usb,adjustable display angle,adjustable display height,adjustable display pivot,assembly required,country of origin,displayport,product series,quantity,recycled,certifications standards,hdcp supported,hdmi,multitouch screen,number of speakers,headphone jack,screen surface,panel technology,usb standard,webcam,antiglare,network rj45,compatibility,be comfortable,customizable color,full hd resolution,stay versatile,superb performance,ultrawide viewing angle,versatile connections,work with ease stay entertained for hours,component video,composite video,svideo,tilt angle
Asus PA249Q 24 LED LCD Monitor 1610 6 ms by Office Depot,Asus,"80,000,000:1",,,ENERGY STAR; China Energy Label (CEL); EPEAT Gold; ErP; J-Moss (Japanese RoHS); RoHS; TCO Certified Displays 6.0; WEEE,,,,382267,ASUS Computer International,RG1261,1920 x 1200,PA249Q,,,,,,,,,,3-year limited,16:10,LED,350 Nit,"2.4""",,"14.3""",110 V AC; 220 V AC,1.0,PC; Mac,,PA249Q Widescreen LCD Monitor,LCD Monitor,"24""",Yes,100 x 100,Yes,14.55 lb,"21.9""",,,,,USB Hub,Black,1073.7 Million Colors (10-bit),"9.25""",Yes,"16.39""",Wall Mountable,6 ms,WUXGA,,76 Hz,178°,178°,,"21.94""",Splendid Video Intelligence Technology; Picture in Picture; Picture by Picture; Security Lock,,72 W,1 W,,Yes,Yes,Yes,Yes,,,Yes,PA,,,BSMI; CB; CCC; CE; C-tick; FCC; Gost-R; ISO-9241-307; PSE; TUV-ERGO; TUV-GS; UL/cUL; VCCI; WHQL; NOM,Yes,Yes,,,Yes,,Advanced High Performance In-plane Switching (AH-IPS) Technology,USB 3.0,,,,,,,,,,,,,,,,
Acer T232HL bmidz 23 Touch Screen LED Monitor Black by Office Depot,Acer,"1000:1 (typical); 100,000,000:1 (dynamic)",23 inches,"17.9""H x 21.5""W x 1.9""D",ENERGY STAR,yes,178 degrees,Yes,570854,"Acer, Inc.",T232HL BMIDZ,1920 x 1080,T232HL bmidz,250 cd/m2,Black,"1,000:1",0.265 mm,DVI-D (digital); HDMI; VGA 15-pin D-sub; 3-port USB hub,No,5 ms (gray-to-gray),23 inches,yes,3-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,IPS LCD,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,
Dell E2414H 24 Widescreen HD LED Monitor Black by Office Depot,Dell,1000:1,24 inches,"16.47""H x 22.44""W x 6.46""D",ENERGY STAR; EPEAT Gold,yes,170 degrees,no,614935,"Dell, Inc.",V2MFT,1920 x 1080,E2414H,250 cd/m2,Black,1920 x 1080,0.277 x 0.277 mm,DVI-D (digital) with HDCP; VGA 15-pin D-sub,No,5 ms,24 inches,no,3-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,TN (TFT active matrix LCD),0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
Asus VS207T P 195 LED LCD Monitor 169 5 ms by Office Depot,Asus,"80,000,000:1",,,EPEAT Gold; ENERGY STAR; ErP; RoHS; TCO Certified Displays 6.0; WEEE,,,,416117,ASUS Computer International,QY7873,1600 x 900,VS207T-P,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"7.3""",,"14""",,1.0,PC,,VS207T-P Widescreen LCD Monitor,LCD Monitor,"19.5""",Yes,75 x 75,Yes,5.71 lb,"18.4""",,,,,,Black,16.7 Million Colors,,Yes,,Wall Mountable,5 ms,HD+,Yes,75 Hz,160°,170°,,,Splendid Video Intelligence Technology; Security Lock,500 mW,25 W,500 mW,,,Yes,,,,,,VS,,,BSMI; CB; CE; FCC; Gost-R; UL/cUL; VCCI; WHQL,Yes,,,2.0,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkVision LS2323 23 LED LCD Monitor 169 5 ms by Office Depot,Lenovo,"1,000:1",,,EPEAT Gold; TCO Displays 5.0; ENERGY STAR; RoHS,,,,623969,Lenovo Group Limited,PY3972,1920 x 1080,LS2323,,,,,,,,,,3-year limited,16:9,LED,250 Nit,,,,110 V AC; 220 V AC,1.0,PC,ThinkVision,LS2323 Wide Flat Panel Monitor,LCD Monitor,"23""",Yes,100 x 100,Yes,,,,,,,,Raven Black,16.7 Million Colors,"7.67""",Yes,"15.90""",Wall Mountable; Desk Mountable,5 ms,Full HD,,,160°,170°,8.20 lb,"21.57""",Security Lock,,30 W,500 mW,,,Yes,,,,,,,1.0,,FCC Class B Certified; EPA 5.1; VESA DDC/CI; VESA DPMS-compliant; ISO 9241-307,Yes,,,,,,,,,,,,,,,,,,,,,,,
Asus VW22AT CSM 22 LED LCD Monitor 1610 5 ms by Office Depot,Asus,"50,000,000:1",,,ErP; J-Moss (Japanese RoHS); RoHS; TCO Certified Displays 5.2; WEEE; ENERGY STAR,,,,376552,ASUS Computer International,RV5294,1680 x 1050,VW22AT-CSM,,,,,,,,,,3-year limited,16:10,LED,250 Nit,"2.5""",,"13.4""",220 V AC; 110 V AC,1.0,PC,,VW22AT-CSM Widescreen LCD Monitor,LCD Monitor,"22""",Yes,100 x 100,Yes,8.60 lb,"20.2""",,,,,Speaker,Black,16.7 Million Colors,"8.28""",Yes,"15.99""",Wall Mountable,5 ms,WSXGA+,Yes,76 Hz,160°,170°,,"20.23""",Splendid Video Intelligence Technology; Security Lock; SmartContrast,300 mW,33 W,500 mW,,,Yes,,,,,,,,,BSMI; CB; CCC; CE; C-tick; FCC; Gost-R; TUV-ERGO; TUV-GS; UL/cUL; VCCI; WHQL,Yes,,,2.0,,,,,,,,,,,,,,,,,,,,
Acer B276HL 27 LED LCD Monitor 169 6 ms by Office Depot,Acer,"100,000,000:1",,,TCO Certified Displays 6.0; EPEAT Gold,,,,695692,"Acer, Inc",RJ3703,1920 x 1080,B276HL,,,,,,,,,,,16:9,LED,300 Nit,"8.7""",,"16.1""",,1.0,,,B276HL Widescreen LCD Monitor,LCD Monitor,"27""",,,Yes,10.70 lb,"25.2""",,,,,USB Hub; Speaker,Dark Gray,16.7 Million Colors,,Yes,,,6 ms,Full HD,Yes,60 Hz,178°,178°,16.50 lb,,,,,,,Yes,Yes,Yes,Yes,,,Yes,B,,,,,,,2.0,,Anti-glare,Vertical Alignment (VA),USB 3.0,,,,,,,,,,,,,,,,
HP Essential P191 185 LED LCD Monitor 169 5 ms by Office Depot,HP,"1,000:1",,,ENERGY STAR; EPEAT Gold; TCO Certified Displays,,,,779762,Hewlett-Packard,QW9401,1366 x 768,P191,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.9""",,"10.9""",110 V AC; 220 V AC,1.0,,Essential,ProDisplay P191 18.5-inch LED Backlit Monitor,LCD Monitor,"18.5""",Yes,100 x 100,Yes,7.10 lb,"17.7""",,,,,,Black,,"5.62""",,"13.43""",,5 ms,WXGA,,,160°,170°,,"17.69""",Security Lock,,20 W,500 mW,,,Yes,,,,,,,,,,,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
Asus VS197T P 185 LED LCD Monitor 169 5 ms by Office Depot,Asus,"50,000,000:1",,,EPEAT Gold; ErP; J-Moss (Japanese RoHS); RoHS; WEEE,,,,623962,ASUS Computer International,QV8888,1366 x 768,VS197T-P,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"7.3""",,"13.6""",,1.0,PC,,VS197T-P Widescreen LCD Monitor,LCD Monitor,"18.5""",Yes,75 x 75,Yes,6.06 lb,"17.6""",,,,,Speaker,Black,16.7 Million Colors,,Yes,,Wall Mountable,5 ms,WXGA,Yes,75 Hz,160°,170°,,,Security Lock; Splendid Video Intelligence Technology; Smart View,500 mW,21 W,500 mW,,,Yes,,,,,,VS,1.0,,BSMI; CB; CCC; CE; C-tick; FCC; Gost-R; PSB; UL; cUL; VCCI; WHQL,Yes,,,2.0,,,,,,,,,,,,,,,,,,,,
HP Business LV1911 185 LED LCD Monitor 169 5 ms by Office Depot,HP,600:1,,,ENERGY STAR; EPEAT Silver; RoHS,,,,616142,Hewlett-Packard,NB1945,1366 x 768,LV1911,,,,,,,,,,3-year limited,16:9,LED,200 Nit,"1.9""",,"11.1""",110 V AC; 220 V AC,1.0,PC,Business,Business LV1911 Widescreen LCD Monitor,LCD Monitor,"18.5""",Yes,75 x 75,Yes,5.95 lb,"17.6""",,,,,,Black,16.7 Million Colors,"6.70""",,"13.37""",Wall Mountable; Arm-mountable,5 ms,WXGA,No,60 Hz,50°,90°,,"17.56""",Security Lock,,37 W,500 mW,,,Yes,No,No,,,,Value,,,UL; cUL; CE; FCC Class B; NOM; ICES; Tick; BSMI; CCC; TUV/S; ISC; PSB; China Energy Label Grade 2; WHQL,,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
Dell S2240M 215 Widescreen LED Backlit Monitor Black by Office Depot,Dell,"1,000:1 (static), 8 million:1 (dynamic contrast ratio)",21.5 inches,"14.97""H x 19.65""W x 6.92""D",EPEAT Silver,yes,178 degrees,no,897833,"Dell, Inc.",CFGKT,1920 x 1080,S2240M,250 cd/m2,Black,1920 x 1080,0.248 mm,"VGA, DVI (HDCP)",No,7 ms,21.5 inches,no,1-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,in-plane switching,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,Set your preferred viewing angle with extensive tilt adjustability. Tilt the S2240M panel up to 4° forward or 21° backward.,"Dell Display Manager helps keep you productive with fast access to software such as Auto Mode, which enables you to select your preferred color mode for each application.","Images come alive with Full HD resolution (1920 x 1080 max.) on this glossy 21.5"" screen in a 16:9 widescreen format.",Easily connect to your laptop or desktop with VGA and DVI-D (HDCP) connectivity.,"Images come alive with color-boosting Image Enhance, ultrawide viewing and Full HD resolution (1920 x 1080 max.) in a 16:9 widescreen format.",The stellar view pulls you in from nearly any perspective with an ultrawide 178°/178° viewing angle.,Easily connect to your laptop or desktop with VGA and DVI-D (HDCP) connectivity.,"Be comfortable: Set your preferred viewing angle with extensive tilt adjustability. Tilt the S2240M panel up to 4° forward or 21° backward.
Stay versatile: Easily connect to your laptop or desktop with VGA and DVI-D (HDCP) connectivity.",,,,
AOC E2752SHE 27 Widescreen HD LED Monitor by Office Depot,AOC,"20,000,000:1",27 inches,"15.6""H x 25.4""W x 0.9""D",EPEAT Silver,yes,170 degrees,no,446267,EPI,E2752SHE,1920 x 1080,E2752SHE,300 cd/m2,Black,1920 x 1080,0.311 x 0.311 mm,HDMI,No,2 ms,27 inches,yes,3-yr limited,16:9,,,,,,,,,,,,,,,,,,50%,flat panel LCD,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,
Planar EP5550 55 Edge LED LCD Monitor 169 650 ms by Office Depot,Planar,"4,000:1",,,,,,,372997,"Planar Systems, Inc",QX6223,1920 x 1080,EP5550,,,,,,,,,,3-year limited,16:9,Edge LED,700 Nit,,Landscape/Portrait,,110 V AC; 220 V AC,1.0,,,EP5550 Widescreen LCD Monitor,LCD Monitor,"55""",Yes,400 x 400,Yes,68 lb,,,,,,Speaker,Black,,,Yes,,Wall Mountable,6.50 ms,Full HD,Yes,60 Hz,178°,178°,,,Digital Signage Ready; On/Off Scheduling; Picture in Picture; Ambient Light Sensor,,225 W,500 mW,,,,,,,,Yes,,,,FCC Class A; EN60950; CE,,Yes,,2.0,,,,,,,Yes,,,,,,,,,,Yes,Yes,Yes,
Asus VH238H 23 LED LCD Monitor 169 2 ms by Office Depot,Asus,"50,000,000:1",,,ENERGY STAR; WEEE; RoHS,,,,855373,ASUS Computer International,DY4066,1920 x 1080,VH238H,,,,,,,,,,3-year limited,16:9,LED,250 Nit,,,,,1.0,PC,,VH238H Widescreen LCD Monitor,LCD Monitor,"23""",Yes,100 x 100,Yes,9.48 lb,,,,,,Speaker,Black,16.7 Million Colors,"8.66""",Yes,"16.35""",Wall Mountable,2 ms,Full HD,Yes,75 Hz,160°,170°,,"21.66""",,500 mW,25 W,500 mW,,,Yes,,,,,,VH,,,UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; PSB; J-MOSS,Yes,Yes,,2.0,Yes,,,,,,,,,,,,,,,,,,,
Acer V176L 17 LED LCD Monitor 54 5 ms by Office Depot,Acer,"100,000,000:1",,,EPEAT Gold; TCO Certified Displays 6.0,,,,630784,"Acer, Inc",RX0026,1280 x 1024,V176L,,,,,,,,,,,5:4,LED,250 Nit,"2.2""",,"12.2""",110 V AC; 220 V AC,1.0,,,V176L LCD Monitor,LCD Monitor,"17""",,,Yes,4.85 lb,"14.5""",,,,,,Black,16.7 Million Colors,"7.52""",,"15.53""",,5 ms,SXGA,,75 Hz,160°,170°,5.73 lb,"14.53""",,350 mW,13 W,450 mW,,,Yes,No,No,,,,V,,,,,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Acer V196HQL 185 LED LCD Monitor 169 5 ms by Office Depot,Acer,"100,000,000:1",,,MPR II; EPEAT Gold; ENERGY STAR,,,,121186,"Acer, Inc",RA7826,1366 x 768,V196HQL,,,,,,,,,,,16:9,LED,200 Nit,"2""",,"10.5""",110 V AC; 220 V AC,1.0,,,V196HQL Widescreen LCD Monitor,LCD Monitor,"18.5""",,,Yes,4.39 lb,"17.4""",,,,,,Black,16.7 Million Colors,"7.52""",,"13.90""",,5 ms,WXGA,,60 Hz,65°,90°,5.47 lb,"17.38""",,350 mW,11.90 W,450 mW,,,Yes,No,No,,,,V,,,,,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Dell UltraSharp U2412M 24 LED Monitor Black by Office Depot,Dell,1000:1 (typical),24 inches,"15.7""H x 21.9""W x 7.1""D",EPEAT Gold,yes,178 degrees,no,549457,"Dell, Inc.",M2GCR,1920 x 1200,UltraSharp U2412M,300 cd/m2,black,1920 x 1200,0.269 mm,DVI; VGA 15-pin D-sub; DisplayPort,No,8 ms,24 inches,yes,3-yr limited,16:10,,,,,,,,,,,,,,,,,,0%,IPS,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
Dell UltraSharp U3014 30 LED Monitor Black by Office Depot,Dell,"1000:1 (static, typical); 2 million:1 (dynamic)",30 inches,"19""-22.55""H x 27.15""W x 7.93""D",EPEAT Gold,yes,178 degrees,no,837290,"Dell, Inc.",YW27W,2560 x 1600,UltraSharp U3014,350 cd/m2,Black,2560 x 1600,0.25 mm,DVI-D (digital) with HDCP; HDMI; mini-DisplayPort; 4 USB 3.0,No,6 ms (gray-to-gray),30 inches,yes,3-yr limited,16:10,,,,,,,,,,,,,,,,,,25%,in-plane switching (IPS),25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
Asus VS229H P 215 LED LCD Monitor 169 14 ms by Office Depot,Asus,"50,000,000:1",,,ENERGY STAR; RoHS; WEEE,,,,842809,ASUS Computer International,LE4606,1920 x 1080,VS229H-P,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"7.9""",,"15.2""",,1.0,PC,,VS229H-P Widescreen LCD Monitor,LCD Monitor,"21.5""",Yes,100 x 100,Yes,6.83 lb,"20.3""",,,,,,Black,16.7 Million Colors,,Yes,,Wall Mountable,14 ms,Full HD,,75 Hz,178°,178°,,,,500 mW,36 W,500 mW,,,Yes,,,,,,VS,,,UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; WHQL; PSB; China Energy Label Level 1,Yes,Yes,,,Yes,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
HP Business P17A 17 LED LCD Monitor 54 5 ms by Office Depot,HP,"1,000:1",,,TCO Certified Displays; WEEE; REACH; ENERGY STAR; EPEAT Gold; TÜV; RoHS; EuP; China Energy Label (CEL),,,,377983,Hewlett-Packard,TY2548,1280 x 1024,P17A,,,,,,,,,,3-year limited,5:4,LED,250 Nit,"2.2""",,"12.5""",110 V AC; 220 V AC,1.0,,Business,ProDisplay P17A 17-inch 5:4 LED Backlit Monitor (ENERGY STAR),LCD Monitor,"17""",,,Yes,,"14.9""",,,,,,Black,16.7 Million Colors,"8.12""",,"15.24""",,5 ms,SXGA,,60 Hz,160°,170°,8.20 lb,"14.85""",Security Lock,,20 W,500 mW,,,Yes,,,,,,,,,FCC Class B; VCCI; BSMI; CNS 13438 Class B; CCIB; cUL; GS; EN55022 Class B; CCEE; FCC Part 15; EN55024 Class B; UL 60950-1; IEC 60950-1; EN 60950-1; ISO 9241-307; KCC; CISPR; GEEA; CSA C22.2 No. 60950-1; KC,,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,-5°to25°
HP Pavilion 25xi 25 LED LCD Monitor 169 7 ms by Office Depot,HP,"1,000:1",,,ErP; China Energy Label (CEL); CECP,,,,379522,Hewlett-Packard,RQ7236,1920 x 1080,25xi,,,,,,,,,,,16:9,LED,250 Nit,"7.6""",,"16.9""",,1.0,PC,Pavilion,Pavilion 25xi Widescreen LCD Monitor,LCD Monitor,"25""",,,Yes,9.70 lb,"22.8""",,,,,,Iridium Silver; Jack Black,,,Yes,,,7 ms,Full HD,,76 Hz,178°,178°,,,Noise Reduction; BrightView Technology; Security Lock,,30 W,500 mW,,,Yes,,,,,,,,,CB; CE; FCC; ES 5.2; CSA; C-UL; C-ETL; UL; ETL-NRTL; ICES; S-Mark; VCC; CCC; BSMI; Bauart; ISO9241-307; GOST 25861; HRN N N0.201; GOST R 50377-1992; EEI Certificate; IS 1121; SASO; SABS; IEC 60950-1; NOM-019-SCFI-1998; KC Mark; KCC Mark; PSB mark; ISC mark; C-tick,Yes,Yes,,,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Dell S2740L 27 Widescreen LED Backlit Monitor Black by Office Depot,Dell,"1000:1 (static), 8 million:1 (dynamic contrast ratio)",27 inches,"18.06""H x 25.27""W x 8.5""D",EPEAT Silver,yes,178 degrees,no,897887,"Dell, Inc.",KY79N,1920 x 1080,S2740L,270 cd/m2,Black,1920 x 1080,0.311 mm,DVI-D (digital) with HDCP; HDMI; VGA 15-pin D-sub,No,7 ms,27 inches,yes,1-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,in-plane switching,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,Set your preferred viewing angle with extensive tilt adjustability. Tilt the S2740L panel up to 4° forward or 21° backward.,"Dell Display Manager helps keep you productive with fast access to software such as Auto Mode, which enables you to select your preferred color mode for each application.",Watch images come alive in cinematic quality with Full HD resolution (1920 x 1080 max.) in a 16:9 widescreen format.,Connect to your laptop or desktop with VGA and DVI-D (HDCP). The HDMI port lets you explore high-velocity HD entertainment options. Connect to multiple devices with two USB ports.,"Images come alive with color-boosting Image Enhance, ultra-wide viewing and Full HD resolution (1920 x 1080 max.) in a 16:9 widescreen format.",Get immersed from nearly any perspective with an ultra-wide 178°/178° viewing angle.,Connect to a laptop or desktop with VGA and DVI-D (HDCP). Explore HD viewing options with HDMI. Connect to devices with two USB ports.,"Be comfortable: Set your preferred viewing angle with extensive tilt adjustability. Tilt the S2740L panel up to 4° forward or 21° backward.
Stay versatile: Connect to your laptop or desktop with VGA and DVI-D (HDCP). The HDMI port lets you explore high-velocity HD entertainment options. Connect to multiple devices with two USB ports.
Organize your screen: Tile your applications with Easy Arrange software so you can see them all clearly at a single glance. Even select your preferred desktop design layout.",,,,
LG 19EN33S B 185 LED LCD Monitor 169 350 ms by Office Depot,LG,700:1,,,,,,,479207,LG Electronics,11071329,1366 x 768,19EN33S-B,,,,,,,,,,3-year limited,16:9,LED,200 Nit,"1.4""",,"10.8""",,1.0,,,"19"" Class (18.5"" Measured Diagonally) LED Back-lit Commercial Desktop Monitor",LCD Monitor,"18.5""",Yes,75 x 75,Yes,4.20 lb,"17.4""",,,,,,Glossy Black,16.7 Million Colors,"6.60""",,"13.70""",Desk Mountable,3.50 ms,HD,,,65°,90°,4.60 lb,"17.40""",Intelligent Auto,300 mW,18 W,300 mW,,,Yes,,,,,,,,,,,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
LG 38WR50 38 LED LCD Monitor 164 6 ms by Office Depot,LG,"1,400:1",,,ENERGY STAR 5.1; ErP,,,,119116,LG Electronics,S8620947,1920 x 502,38WR50,,,,,,,,,,,16:4,LED,500 Nit,"2.3""",Landscape,"11.1""",110 V AC; 220 V AC,1.0,PC,,38WR50 Widescreen LCD Monitor,LCD Monitor,"38""",Yes,400 x 200,Yes,11.29 lb,"38.3""",,,,,,,,,Yes,,,6 ms,Full HD,,,178°,178°,,,Digital Signage Ready; Picture in Picture; Picture by Picture; Temperature Sensor; Sleep Timer,500 mW,90 W,,,Yes,,,,,,Yes,,,,Security:; UL; cUL; CB Scheme; TUVEMC:; FCC; CE; C-Tick,Yes,Yes,,2.0,,,In-plane Switching (IPS) Technology,,,,Yes,,,,,,,,,,,,,
Samsung S23C570H 23 LED LCD Monitor 169 5 ms by Office Depot,Samsung,"1,000:1",,,,,,,894953,Samsung,RL7432,1920 x 1080,S23C570H,,,,,,,,,,1-year limited,16:9,LED,,,,,,1.0,,,S23C570H Widescreen LCD Monitor,LCD Monitor,"23""",,,Yes,,,,,,,,,,,,,,5 ms,Full HD,,,,,,,,,,,,,Yes,,,,,,570,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
Viewsonic VA2037a LED 20 LED LCD Monitor 169 5 ms by Office Depot,Viewsonic,"1,000:1",,,,,,,257663,Viewsonic Corporation,RR5228,1600 x 900,VA2037a-LED,,,,,,,,,,,16:9,LED,250 Nit,"2""",,"11.7""",,1.0,PC; Mac,,VA2037a-LED Widescreen LCD Monitor,LCD Monitor,"20""",Yes,100 x 100,Yes,5.95 lb,"18.6""",,,,,,Black,,"7.08""",,"14""",Wall Mountable,5 ms,HD+,,,160°,170°,6.39 lb,"18.61""",Security Lock; Eco Mode,,18 W,,,,Yes,,,,,,,,,,,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
Planar PT1510MX Touch Screen LCD Monitor by Office Depot,Planar,500:1,,,RoHS; China RoHS,,,,190780,"Planar Systems, Inc",K37958,1024 x 768,PT1510MX,,,,,,,,,,3-year limited,4:3,,250 Nit,"2.2""",,"12.3""",110 V AC; 220 V AC,,,,PT1510MX Touch Screen LCD Monitor,LCD Touchscreen Monitor,"15""",,,Yes,17.90 lb,"15.9""",,,,5-wire Resistive,,Black,16.7 Million Colors,,,,Wall Mountable,8 ms,XGA,Yes,75 Hz,125°,140°,,,,,,,Yes,Yes,,,,,,,PT,,,,,,,,,,,,,,,Operating System:; Windows Vista; Windows XP; XP Embedded; Windows 2000,,,,,,,,,,,,
Planar PLL2210MW 22 LED LCD Monitor 169 5 ms by Office Depot,Planar,"1,000:1",,,RoHS,,,,881743,"Planar Systems, Inc",LA4420,1920 x 1080,PLL2210MW,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.9""",,"12.6""",110 V AC; 220 V AC,1.0,PC; Mac,,PLL2210MW Widescreen LCD Monitor,LCD Monitor,"22""",Yes,100 x 100,Yes,7 lb,"19.9""",,,,,Speaker,Black,16.7 Million Colors,"7""",Yes,"15.35""",,5 ms,Full HD,Yes,60 Hz,160°,170°,,"19.94""",,,25 W,500 mW,,,Yes,,,,,,,,,cTUVus; CE; FCC-B,Yes,,,,Yes,Anti-glare,,,,,,,,,,,,,,,,,,
Asus VE198T 19 LED LCD Monitor 1610 5 ms by Office Depot,Asus,"10,000,000:1",,,RoHS; ENERGY STAR,,,,861988,ASUS Computer International,KG5869,1440 x 900,VE198T,,,,,,,,,,,16:10,LED,250 Nit,,,,,1.0,,,VE198T Widescreen LCD Monitor,LCD Monitor,"19""",Yes,100 x 100,Yes,7.05 lb,,,,,,Speaker,Black,16.7 Million Colors,"7.17""",Yes,"14.41""",Wall Mountable,5 ms,WSXGA,Yes,75 Hz,160°,170°,,"17.52""",,1 W,25 W,,,,Yes,,,,,,VE,,,UL/cUL; CB; CE; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; WHQL,Yes,,,2.0,,,,,,,,,,,,,,,,,,,,
Dell UltraSharp U2713H 27 LED Monitor by Office Depot,Dell,"1000:1 (static, typical); 2 million:1 (dynamic)",27 inches,"16.67""-21.2""H x 25.17""W x 7.89""D",EPEAT Gold,yes,178 degrees,no,898004,"Dell, Inc.",104P6,2560 x 1440,UltraSharp U2713H,350 cd/m2,Black,2560 x 1440,0.231 mm,DVI-D (digital) with HDCP; HDMI; DisplayPort; mini-DisplayPort; USB upstream; USB downstream,No,6 ms (gray-to-gray),27 inches,yes,3-yr limited,16:9,,,,,,,,,,,,,,,,,,25%,in-plane switching (IPS),25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
Samsung SyncMaster S22A650S 22 LED LCD Monitor 169 8 ms by Office Depot,Samsung,"5,000:1",,,TCO Certified Displays 5.2; EPEAT Gold; ENERGY STAR,,,,615404,Samsung,NY6148,1920 x 1080,S22A650S,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.6""",,"12.4""",,1.0,PC; Mac,SyncMaster,"21.5"" LED Monitor S22A650S",LCD Monitor,"22""",Yes,100 x 100,Yes,,"20.2""",,,,,,,16.7 Million Colors,"8.50""",Yes,"14.33""",Wall Mountable,8 ms,Full HD,,,178°,178°,,"20.16""",MagicBright; Eco Saving; MagicColor; Off Timer; Cable Management; Light Sensor,,29 W,500 mW,,,Yes,Yes,Yes,,,Yes,SA650,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung S24C200BL 236 LED LCD Monitor 169 5 ms by Office Depot,Samsung,"1,000:1",,,Eco-label; EPEAT Gold; ENERGY STAR 6.0; TCO Certified Displays 6.0; RoHS,,,,801353,Samsung,QV9017,1920 x 1080,S24C200BL,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"3""",,"13""",110 V AC; 220 V AC,1.0,PC,,"23.6"" S24C200BL Series 2 LED Business Monitor",LCD Monitor,"23.6""",Yes,100 x 100,Yes,8.27 lb,"21.8""",,,,,,Matte Black,16.7 Million Colors,"7.28""",Yes,"16.23""",Wall Mountable,5 ms,Full HD,No,,160°,170°,9.04 lb,"21.83""",MagicAngle; Eco Saving; MagicBright 3; Off Timer; MagicTune; MultiScreen,,30 W,100 mW,,,Yes,,,,Mexico,No,200,,,"NOM: NOM-019-SCFI-1993; TUV: EN60950-1; UL: UL 60950-1; CSA: CSA C22.2 No. 60950-1; NEMKO: EN60950-1; KC: K60950-1; CCC: GB 4943-2001; PSB: IEC60950-1; GOST: IEC60950-1, EN55022; SIQ: IEC60950-1, EN55022; PCBC: IEC60590-1, EN55022; IRAM:IEC60950-1; SASO: IEC60950-1EMC:; FCC: FCC Part 15, Subpart B class A; CE: EN55022, EN55024; VCCI: V-3 (CISPR22); KCC: KN22, KN24; C-Tick: AS/NZS3548 (CISPR22); CCC: GB 9254-2008, GB 17625.1-2003",,No,,,,,,,,,,,,,,,,,,,,,,
