<page title>,ac power in,altezza,altezza con supporto,altoparlante cuffia spinotto di uscita,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,certificazione energy star,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,connessione cuffia,consumi,consumi modalità spento,consumi modalità standby,dimensione visibile diagonale,dimensione visibile orizzontale,dimensione visibile verticale,dimensioni schermo,dot pitch,dot rate video,formato,fotocamera integrata,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,girevole,hdcp,inclinazione,inclinazione regolabile,interruttore integrato,larghezza,larghezza con supporto,lettore di schede integrato,luminosità schermo,mobile highdefinition link mhl,modalità video supportate,montabile a parete,numero di altoparlanti,peso,peso incluso imballo,plug play,porta dvi,potenza in uscita rms,profondità,profondità con supporto,quantità porte hdmi,quantità porte usb 20,quantità porte usb 30,quantità porte vga dsub,rapporto di contrasto,rapporto di contrasto dinamico,regolazione altezza,risoluzione,risoluzioni grafiche supportate,rotazione,sintonizzatore tv integrato,source datasheet,subwoofer incorporato,tecnologia display,tempo di risposta,thin client installato,tipologia di retroilluminazione,tipologia display,tipologia hd,uscita audio,voltaggio di ingresso,bluetooth,collegamento ethernet lan,connessione wlan,dcin jack,full hd,microfono incorporato,microfono spinotto dingresso,retroilluminazione a led,tipi schede di memoria,conformità epeat,on screen display osd,quantità porte dvid,altezza imballo,angolo di rotazione,area di visualizzazione effettiva,compatibilità elettromagnetica,guida rapida,indicatore led alimentazione,ingresso audio,intervallo temperatura di funzionamento,larghezza imballo,led standby,manuale dellutente,peso prodotto con supporto,pivot angle,profondità imballo,range di umidità di funzionamento,intervallo di scansione verticale,numero di lingue osd,range di scansione orizzontale,display surface,quantità displayports,colore piedi,guida utente su cdrom,sicurezza,colori display,dimensioni lxpxa con base,tipo di display,tipologia touch screen,alimentazione,altoparlanti,angolo di inclinazione,angolo di visione orizzontale,angolo di visione verticale,caratteristiche,certificato energy star,colore,connettori di ingresso,consumo energetico in standby,descrizione prodotto,dettagli dimensioni e peso,dimensioni lxpxh,interfacce,interfaccia di montaggio schermo piatto,luminosità,lunghezza diagonale,pixel pitch,potenza assorbita in esercizio,potenza di uscita canale,rapporto daspetto,regolazione posizione display,risoluzione nativa,standard ambientali,standard di conformità,supporto colore,tecnologia retroilluminazione,tipo,tipo di dispositivo,tipo di schermo,tipo schermo,indicatori led,mtbf,compatibilità sistema operativo mac,ingresso audio per pc,schermo srgb,sistema operativo windows supportato,lingue osd,controllo del volume,funzione risparmio,lunghezza cavo,numero di prodotti inclusi,pictureinpicture,posizionamento supportato,intervallo di temperatura,consumo energetico annuo,protezione per i bambini,consumo energetico max,quantità porte thunderbolt,composite sync,sync hv separato,syncongreen sog,dimensioni lxpxa,number of simultaneous touchpoints windows 7,tipo alimentazione,cavo alimentazione incluso,quantità,consumi modalità risparmio energetico,hdmi,risoluzione massima,regolazioni formato schermo,tecnologia touchscreen,comandi regolazioni,copertura schermo,tensione richiesta,velocità refresh orizzontale,velocità refresh verticale,adattatore acdc,caratteristiche sicurezza,porta rs232,tipo di prodotto,umidità,sistema operativo linux supportato,telecomando,interfaccia comune,conforme agli standard,megapixel,dimensioni imballo lxpxa,webcam girevole,common interface plus ci,porta usb
LG LED 24 24MB65PY-W IPS 16:10 VGA DVI DP Sp USB MONITOR LED,Si,37 cm,"39,5 cm",,Si,178°,178°,Si,"AC, Audio (3.5mm), DVI, VGA","TCO, UL(cUL), TUV-GS, TUV-Ergo, FCCB, CE, EPA 6.0, ISO13406-2",,Non specificato,Bianco,"16,77M",100 x 100 mm,No,,,"0,3W","0,3W",,,,"60,96 cm (24"")","0,27 x 0,27 mm",,16:10,No,50/60 Hz,,,,Si,-5 - 35°,Si,Si,"55,8 cm","55,8 cm",,250 cd/m²,,1080p,Si,2.0,"4,8 kg","7,62 kg",Si,No,2W,"5,8 cm","23,9 cm",,2.0,,1.0,1000:1,5000000:1,8 cm,1920 x 1200 Pixels,1920 x 1200 (WUXGA),Si,No,,No,IPS,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,Oro,Si,1.0,"19,1 cm",,,,,Si,,,"63,3 cm",Si,,"5,4 kg",0 - 90°,"44,4 cm",,56 - 75 Hz,,30 - 83 kHz,Matt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 22 B2280WSD-W1 5ms.VGA.DVI MONITOR LED,,423.5 mm,,,Si,178 °,170 °,Kensington,,,Si,Non specificato,Bianco,16.77 M,100 x 100 mm,,,21 W,,,,473.7 mm,296.1 mm,"558.8 mm (22 "")",0.282 x 0.282 mm,,16:10,N,50/60 Hz,,,,N,-5 - 22 °,,,512.5 mm,,,250 cd/m²,,,Si,2.0,5.5 kg,,,,2 W,244.5 mm,,,,,1.0,1000:1,5000000:1,130 mm,1680 x 1050 Pixels,,Si,N,.,,TN+Film,5 ms,N,,LCD,HD-Ready,,100 - 240 V,,,,,,,,,,,,1.0,,-160 - 160 °,,,,,,,,,,,0 - 90 °,,,55 - 75 Hz,,24 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC LED 18.5 e950Swdak MONITOR LED,,,,,,170 °,160 °,,"AC, Audio (3.5mm), DVI, VGA","Energy Star 5.0, Win7",Si,,Nero,16.77 M,,N,,,,,,,,"469.9 mm (18.5 "") 47 cm",,,16:9,N,50/60 Hz,,,,,,,,,,,250 cd/m²,,,Si,,,,,,,,,,,,1.0,1000:1,20000000:1,N,1366 x 768 Pixels,1366 х 768,,,.,N,,5 ms,,W-LED,LED,N,,90 - 240 V,,,,,,,,,,,,1.0,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,
LG LED 27 27EB22PY-W IPS MONITOR LED,Si,387.2 mm,410 mm,,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), DVI, VGA","RoHS, TÜV-GS, TÜV-Ergo, DIN-ISO9241-307, TCO6.0, UL, CSA, SEMKO, NEMKO, CE",Si,Non specificato,Bianco,16.77 M,"100 x 100, 200 x 100 mm",N,,27 W,0.3 W,0.3 W,,597.73 mm,336.62 mm,"685.8 mm (27 "") 68.58 cm",0.311 x 0.311 mm,135 MHz,16:9,N,47-63 Hz,30 - 83 kHz,56 - 75 Hz,Si,Si,-5 - 22 °,Si,Si,644 mm,644 mm,N,250 cd/m²,,,Si,2.0,5.9 kg,8.95 kg,Si,,2 W,63.5 mm,259 mm,,2.0,,1.0,1000:1,5000000:1,Si,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,N,.,N,IPS,5 ms,N,W-LED,LED,Full HD,,,N,N,N,,,N,,,N,Oro,Si,1.0,467 mm,0 - 355 °,,,Si,,,,721 mm,,Si,6.5 kg,,216 mm,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000 h,,Si,Si,,,,,1.8 m,,,Orizzontale/Verticale,,,,,,Si,Si,Si,,,,,,,,,"4:3, 16:9",,,,,,,,,,,,,,,,,,,,
LG LED 22 22MB35PU-W 16:9 5ms VGA DVI Sp USB MONITOR LED,,"46,39 cm",,,Si,170°,160°,Kensington,"Audio (3.5mm), DVI, VGA",,,Non specificato,Bianco,"16,77M",100 x 100 mm,No,,24W,"0,3W","0,3W",,,,"54,6 cm 54,61 cm (21.5"")","0,248 x 0,248 mm",,16:9,No,47-63 Hz,,,,Si,20 - 5°,Si,Si,"50,92 cm",,,250 cd/m²,,,Si,2.0,"3,6 kg",,Si,Si,2W,"22,42 cm",,,2.0,,1.0,1000:1,5000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,No,,,TN,5 ms,No,W-LED,LCD,Full HD,,90 - 264V,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,56 - 75 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,"DEU, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SER, UKR",,,,,,,,,,,,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC LED 23.8 i2470Swq IPS MONITOR LED,,,,,Si,178 °,178 °,Kensington,,,Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,,,,,,,"604.5 mm (23.8 "")",,,,N,,,,,Si,,,,,,,250 cd/m²,,,Si,,,,,Si,,,,2.0,,,1.0,,20000000:1,N,1920 x 1080 Pixels,,,,.,,IPS,6 ms,,,LED,Full HD,,,,,,,,,,,,Oro,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC 24 e2460Pq/BK MONITOR LED,Si,,"39,36 cm",,Si,170°,160°,Kensington,"AC, Audio (3.5mm), DVI, VGA","CE, CU, Energy Star 6.0, EPEAT Gold, EuP, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety",Si,Non specificato,Nero,"16,77M",100 x 100 mm,No,,22W,"0,5W","0,5W",,"53,136 cm","29,889 cm","60,96 cm (24"") 61 cm","0,276 x 0,276 mm",,16:9,,50/60 Hz,30 - 83 kHz,50 - 76 Hz,Si,Si,-5 - 22°,Si,Si,"56,54 cm","56,54 cm",,250 cd/m²,,1080p,Si,,,"8,23 kg",Si,Si,,,"23,45 cm",,,,1.0,1000:1,50000000:1,13 cm,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,,,,TN,2 ms,No,W-LED,LED,Full HD,,100 - 240V,No,No,No,,,,,,,Oro,Si,1.0,"42,1 cm",,,,,Si,,,"69,3 cm",Si,,"6,38 kg",,"18,7 cm",,,,,,1.0,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC MONITOR LED 21.5 AOC i2269Vwm IPS,,,,,Si,178 °,178 °,Kensington,,,Si,Non specificato,Nero,16.77 M,75 x 75 mm,N,,,,0.5 W,,,,"54.6 cm 546.1 mm (21.5 "")",0.248 x 0.248 mm,,16:9,N,50/60 Hz,,,,Si,,,,,,,250 cd/m²,,,Si,,,,,,,,,2.0,,,2.0,1000:1,50000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,IPS,5 ms,N,,LED,Full HD,,90 - 240 V,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,55 - 75 Hz,,30 - 83 kHz,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC 23.8 i2473Pwy IPS MONITOR LED,,"18,26 cm",,1,Si,178°,178°,Kensington,,,Si,Non specificato,Nero,"16,77M",No,No,,25W,,"0,5W",,,,"60,45 cm (23.8"") 60,5 cm","0,2745 x 0,2745 mm",,16:9,No,50/60 Hz,30 - 83 kHz,50 - 76 Hz,,Si,,,,"54,71 cm",,,250 cd/m²,Si,,No,2.0,"4,12 kg","6,46 kg",,No,14W,"40,86 cm",,1.0,,,1.0,1000:1,50000000:1,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,,5 ms,No,,LED,Full HD,,100 - 240V,,,,Si,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC 24 p2460Pxq PLS MONITOR LED,,"55,34 cm",,,Si,178°,178°,Kensington,"Audio (3.5mm), DisplayPort, DVI, VGA",CE EuP RoHS TUV-GS TCO 6.0 CU ISO9241-307,Si,Non specificato,Nero,"16,77M",,No,,24W,"0,5W",1W,,"51,84 cm","32,4 cm","60,96 cm (24"") 61 cm","0,269 x 0,269 mm",,16:10,,50/60 Hz,30 - 83 kHz,50 - 76 Hz,Si,Si,-6.5 - 23°,Si,,"55,84 cm",,,250 cd/m²,,,,2.0,"6,65 kg","8,58 kg",Si,Si,4W,"24,46 cm",,,,,1.0,1000:1,20000000:1,13 cm,1920 x 1200 Pixels,1920 x 1200 (WUXGA),Si,,,,PLS,5 ms,,W-LED,LED,,,100 - 240V,,,,Si,,,,,,Oro,Si,1.0,"45,5 cm",,,,,,,,68 cm,,,,,"18,6 cm",,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HannsG 21.5 HE225DPB MONITOR LED,Si,367.4 mm,,,Si,170 °,160 °,Kensington,"AC, Audio (3.5mm), DVI, VGA","FCC, UL/CUL, CE, CB, GOST, 3C",Si,,Nero,16.77 M,100 x 100 mm,,,24 W,0.5 W,0.5 W,,,,"54.6 cm 546.1 mm (21.5 "")",0.248 x 0.248 mm,,16:9,N,50/60 Hz,,,,Si,-5 - 17 °,,Si,512.8 mm,,,250 cd/m²,,1080p,Si,2.0,3.12 kg,,,,3 W,185 mm,,,,,1.0,1000:1,40000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,,,TN+Film,5 ms,,,LED,Full HD,,100 - 240 V,,,,,,,,,,,Si,1.0,,,,,Si,,,,,,Si,,,,20 - 85 %,56 - 75 Hz,12.0,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,Si,"DEU, DUT, ENG, ESP, FRE, ITA, JPN, KOR, POR, RUS, SCR",,,1.5 m,,,,5 - 35 °C,,,,,,,Si,571 x 118 x 416 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HannsG 23.6 HS241HPB IPS MONITOR LED,Si,"39,9 cm",,,Si,178°,178°,Kensington,"AC, Audio (3.5mm), VGA","FCC, UL/CUL, CE, CB, 3C, TCO6.0, GS",Si,Non specificato,Nero,"16,77M",100 x 100 mm,No,,,"0,5W","0,5W",,,,"59,94 cm (23.6"") 60 cm","0,271 x 0,271 mm",,16:9,No,50/60 Hz,,,,Si,-5 - 15°,Si,,"56,1 cm",,,250 cd/m²,,1080p,Si,2.0,"4,5 kg","5,4 kg",,Si,3W,22 cm,,1.0,,,1.0,1000:1,80000000:1,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,,Si,1.0,,,,,Si,,,5 - 35 °C,,,Si,,,,20 - 85%,56 - 75 Hz,12.0,30 - 83 kHz,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,"DEU, DUT, ENG, ESP, FRE, ITA, KOR, POR, RUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 30 PL XB3070WQS-B 11ms VGA DP DVI HDMI Speaker MONI...,,23 cm,,1,Si,178°,178°,Kensington,"AC, AUX, DisplayPort, DVI",,,,Nero,"16,77M",100 x 100 mm,No,,73W,,"0,5W",,"64,13 cm","40,08 cm","76,2 cm (30"")","0,251 x 0,251 mm",,16:10,No,50/60 Hz,24 - 80 kHz,55 - 75 Hz,Si,Si,0 - 17°,Si,,"69,25 cm",,,350 cd/m²,,,Si,2.0,"7,4 kg",,,,6W,"47,7 cm",,1.0,,,1.0,1000:1,5000000:1,"10,7 cm",2560 x 1600 Pixels,2560 x 1600 (WQXGA),,No,,,AH-IPS,5 ms,,,LED,,,100 - 240V,,,,,,,,,,,Si,1.0,,-90 - 45°,,,Si,,,,,,,,,,,,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC LED 23.6 i2476Vwm5ms VGA HDMI Speaker MONITOR LED,,"42,78 cm",,,No,178°,178°,Kensington,,"CE, cTUVus, Energy Star 6.0, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÜV-Bauart",Si,,"Nero, Argento","16,77M",100 x 100 mm,No,,26W,"0,5W","0,5W",,"52,128 cm","29,322 cm","59,9 cm 59,94 cm (23.6"")","0,2715 x 0,2715 mm",,16:9,No,50/60 Hz,30 - 83 kHz,50 - 76 Hz,,Si,-4 - 21.5°,Si,,"55,81 cm",,No,250 cd/m²,Si,,Si,,38400g,"5,33 kg",,No,,"18,34 cm",,1.0,,,1.0,1000:1,50000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,IPS,5 ms,No,,LED,Full HD,,110 - 240V,,,,,,,,,,Argento,Si,,,,,,,,,,,,,,,,,50 - 76 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG LED 22 22MB65PM-W 16:10 5ms VGA DVI Speaker MONITOR LED,,,"37,9 cm",,Si,170°,160°,,"AC, Audio (3.5mm), DVI, VGA",,Si,Non specificato,Bianco,"16,77M",,,,21W,"0,3W","0,4W",,"47,386 cm","29,616 cm","55,88 cm 55,88 cm (22"")","0,282 x 0,282 mm",,16:10,No,47-63 Hz,30 - 83 kHz,56 - 75 Hz,,Si,,,,,"50,6 cm",,250 cd/m²,,,Si,2.0,,,,Si,2W,,"23,9 cm",,,,1.0,1000:1,5000000:1,Si,1680 x 1050 Pixels,,Si,No,,,TN,5 ms,No,,LED,Full HD,,90 - 264V,,,,,,,,,,,Si,1.0,,,,,,,,,,,Si,"4,7 kg",,,,,14.0,,,,Bianco,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 24 24MB65PY-B IPS MONITOR LED,Si,37 cm,"39,5 cm",,Si,178°,178°,Si,"AC, Audio (3.5mm), DVI, USB, VGA","TCO, UL(cUL), TUV-GS, TUV-Ergo, FCCB, CE, EPA 6.0, ISO13406-2",,Non specificato,Nero,"16,77M",100 x 100 mm,No,,,"0,3W","0,3W",,,,"60,96 cm (24"")","0,27 x 0,27 mm",,16:10,No,50/60 Hz,,,,Si,-5 - 35°,Si,Si,"55,8 cm","55,8 cm",,250 cd/m²,,1080p,Si,2.0,"4,8 kg","7,62 kg",Si,No,2W,"5,8 cm","23,9 cm",,2.0,,1.0,1000:1,5000000:1,8 cm,1920 x 1200 Pixels,1920 x 1200 (WUXGA),Si,No,,No,IPS,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,Oro,Si,1.0,"19,1 cm",,,,,Si,,,"63,3 cm",Si,,"5,4 kg",0 - 90°,"44,4 cm",,56 - 75 Hz,,30 - 83 kHz,Matt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 27 VS278H 1ms VGA HDMI Speaker MONITOR LED,,"39,323 cm","47,011 cm",1,Si,170°,160°,Kensington,,"Energy Star®, BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, PSB, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)",Si,,Nero,"16,77M",100 x 100 mm,,,45W,,,,,,"68,58 cm (27"")",,,"4:3, 16:9",No,50/60 Hz,30 - 83 kHz,50 - 76 Hz,,Si,20 - -5°,Si,,"64,886 cm","64,886 cm",,300 cd/m²,,,Si,2.0,,"7,2 kg",,No,4W,5 cm,"22,5 cm",3.0,,,1.0,,80000000:1,,1920 x 1080 Pixels,,,No,,,,1 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,,,,"54,1 cm",,,,,,,,"72,5 cm",,,,,"17,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,"0,5W",,,,,,,,,,,,,,,,,,,,,,,
ASUS MONITOR LED 24 ASUS VE248H,,409.7 mm,,1,Si,170 °,160 °,Kensington,,"CEL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, WEEE, Windows Vista & Windows 7 WHQL, RoHS",Si,,Nero,16.77 M,100 x 100 mm,N,3.5 mm,35 W,,,610 mm,,,"609.6 mm (24 "")",0.277 x 0.277 mm,,16:9,N,,30 - 83 kHz,50 - 76 Hz,,Si,-5 - 20 °,,,569.4 mm,,,250 cd/m²,,,Si,,4.4 kg,7.1 kg,,,2 W,201 mm,,1.0,,,1.0,1000:1,10000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,2 ms,N,,,Full HD,,,,,,,,,Si,,,,,1.0,480 mm,,,,,,,,638 mm,,,,,175 mm,,50 - 76 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 W,,,,,,,,,,,,,,,,,,,,638 x 175 x 480 mm,,,
Asus LED 23.6 VS247HR MONITOR LED,,,410.6 mm,1,,170 °,160 °,Kensington,,"Energy Star®, BSMI, CB, CCC, CE, C-Tick, CU, EK,, ErP, FCC, J-MOSS, PSB, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 7, Windows Vista)",Si,Non specificato,Nero,16.77 M,100 x 100 mm,,,22.7 W,,0.5 W,,,,"599.4 mm (23.6 "")",,,16:9,,50/60 Hz,,,,Si,,,,,561.8 mm,,250 cd/m²,,,Si,,,6.6 kg,,Si,,,200 mm,1.0,,,1.0,,50000000:1,,1920 x 1080 Pixels,,,,.,,,2 ms,,,LED,Full HD,,100 - 240 V,,,,,,,,,,,,1.0,469 mm,,,,,,,,618 mm,,,4.2 kg,,130 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC LED 23.8 i2470Pwqu IPS MONITOR LED,,509.9 mm,,,Si,178 °,178 °,Kensington,,,Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,55 W,,0.5 W,,,,"604.5 mm (23.8 "")",0.2745 x 0.2745 mm,,16:9,N,50/60 Hz,,,Si,Si,-5 - 25 °,Si,,557.3 mm,,,250 cd/m²,,,Si,,6 kg,,Si,Si,,244.6 mm,,,,,,1000:1,20000000:1,130 mm,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,N,.,,,5 ms,N,,LED,Full HD,,100 - 240 V,,,,,,,,,,Oro,Si,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 23.6 VS247H-P MONITOR LED,Si,,410.6 mm,,,170 °,160 °,Kensington,"AC, DVI, VGA","UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, EK, J-MOSS,RoHS, WEEE",Si,,Nero,16.77 M,100 x 100 mm,N,,33 W,0.5 W,,,,,"599.4 mm (23.6 "")",0.272 x 0.272 mm,,16:9,N,,30 - 80 kHz,55 - 75 Hz,,Si,20 - -5 °,,,,561.8 mm,,300 cd/m²,,1080p,Si,,,6.8 kg,,Si,,,200 mm,1.0,,,1.0,,50000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,2 ms,N,,LED,Full HD,,,,N,,,,,,,,,,1.0,469 mm,,,,Si,,,,618 mm,,,4.4 kg,,130 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,0.5 W,Si,,,,,,,,,,,,,,,,,,,618 x 130 x 469 mm,,,
IIyama MONITOR LED 22 IIyama PL P2252HS-B1,,,382.5 mm,1,Si,170 °,160 °,Si,"AC, Audio (3.5mm), DVI, VGA",,Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,3.5 mm,18 W,,0.5 W,,476.64 mm,268.11 mm,"546.1 mm (21.5 "")",0.248 x 0.248 mm,,16:9,N,50/60 Hz,24 - 80 kHz,55 - 75 Hz,,Si,0 - 20 °,Si,,,516.5 mm,,225 cd/m²,,1080p,Si,2.0,,,Si,,2 W,,195 mm,1.0,,,1.0,1000:1,5000000:1,,1920 x 1080 Pixels,"1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)",,N,.,N,TN+Film,5 ms,N,,LCD,Full HD,,100 - 240 V,N,,,,,,,,,,Si,1.0,,,,,Si,,,,,,Si,4.5 kg,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 27 GB2773HS-GB2 Gaming 1ms DP DVI HDMI Speaker MON...,,"41,55 cm",,,Si,170°,160°,Kensington,,,Si,Non specificato,Nero,"16,77M",100 x 100 mm,,,38W,,"0,5W",,"59,79 cm","33,63 cm","68,6 cm 68,58 cm (27"")","0,311 x 0,311 mm",,16:9,No,50/60 Hz,,,Si,Si,,Si,,"64,7 cm",,,300 cd/m²,,,Si,2.0,"7,3 kg",,,Si,"2,5W",23 cm,,1.0,,,,1000:1,5000000:1,"10,7 cm",1920 x 1200 Pixels,,,No,,,TN,1 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,,,1.0,,-45 - 45°,,,,,,,,,,,,,,55 - 145 Hz,,30 - 160 kHz,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC LED 21.5 AOC e2262Vwh MONITOR LED,Si,,385.3 mm,,N,170 °,160 °,,AC,"CCC, CEL-1 ,China Rohs, FCC, CE/CB, cTUVus, TUV-S, TUV-Bauart, Windows 7, ISO9241-307, EPA, C-Tick , CKT, EU RoHS Doc, KCC, BSMI",Si,Non specificato,Nero,16.77 M,,,,18 W,,0.5 W,,,,"546.1 mm (21.5 "") 54.69 cm",0.248 x 0.248 mm,,16:9,N,,,,,Si,-5 - 20 °,,Si,512.3 mm,512.3 mm,,250 cd/m²,,1080p,,,3.25 kg,,,,,,196 mm,1.0,,,1.0,,20000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,2 ms,N,,LED,Full HD,,,,,,,,,,,,,Si,,,,,,,,,,,,Si,4.9 kg,,,,55 - 75 Hz,16.0,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orizzontale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
