<page title>,brightness,colour,compliant standards,device type,dimensions wxdxh,product description,weight,aspect ratio,colour support,contrast ratio,display position adjustments,environmental standards,input connectors,manufacturer warranty,native resolution,panel type,pixel pitch,response time,builtin devices,localisation,screen coating,speakers,microsoft certification,height rack units,kvm switch,designed for,manufacturer selling program,bundled with,3d capable,energy class,energy consumption per year,diagonal size,diagonal size cm,display format,features,hdcp compatible,hdmi ports qty,image aspect ratio,lcd backlight technology,pc interface,power,power consumption operational,product type,remote control,resolution,speaker system,targeting,technology,tv tuner,video interface,video wall components qty,character resolution,digital tv tuner,usb port
OHC24 Shop : Monitor > Monitor search help > AOC E2470SWDA 59.9CM 23.6IN LED 1000:1 250CD/QM 5MS,250 cd/m2,,"TUV GS, GOST, FCC, RoHS, ISO 9241-307, EuP, NRTL","LED-backlit LCD monitor - 23.6""",,"AOC E2470SWDA - LED monitor - 23.6""",,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,FullHD 1920 x 1080 at 60 Hz,,0.276 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > EIZO EV2316WFS3 >  23"" Wide >  Lautsprecher >  TN >  5ms >  21488",250 cd/m2,Grey,"FCC Class B certified, TUV GS, C-Tick, DVI DMPM, VESA DPMS, CB, ICES-003 Class B, CCC, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, WEEE, GOST-R, EPA 5.1, TCO Displays 6.0, VCCI Class B","LED-backlit LCD monitor - 23""",55.25 cm x 23.3 cm x 36.8 cm - with stand,"EIZO FlexScan EV2316WFS3 - LED monitor - 23""",6.4 kg,Widescreen - 16:9,16.8 million colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",5 years warranty,1920 x 1080,TN,0.2655 mm,5 ms (black-to-white),"USB Hub, presence sensor",,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > AOC i2476Vw/24"" IPS LED Monitor > 1920 x 1080 >  5ms >  DVI / I2476VW",250 cd/m2,Black,"Plug and Play, GOST, RoHS, ISO 9241-307, TCO '06, cTUVus, TUV Bauart, EuP","LED-backlit LCD monitor - 23.6""",55.81 cm x 18.34 cm x 42.78 cm - with stand,"AOC i2476Vw - Value Series - LED monitor - 23.6""",3.84 kg,Widescreen,16.7 million colours,1000:1 / 50000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,IPS,0.2715 mm,6 ms (grey-to-grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > AOC E2460PDAS 61CM 24""W LED 61 cm (24 "")/ 1.920",250 cd/m2,Silver,"TUV GS, GOST, FCC, RoHS, TCO Displays 5.0, ISO 9241-307, cTUVus, TUV Bauart, EuP","LED-backlit LCD monitor - 24""",56.54 cm x 24.458 cm x 39.36 cm,"AOC Professional E2460PDAS - LED monitor - 24""",,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,,0.276 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama T1634MC-B3X 39.5CM 15.6IN LED 39.6 cm,270 cd/m2,Black,"VCCI, DDC-2B, VESA DPMS, IP54, TUV Bauart","LED-backlit LCD monitor - 15.6"" - Multi-Touch",38.1 cm x 20.2 cm x 28.55 cm,"Iiyama ProLite T1634MC-B3X - LED monitor - 15.6""",4.3 kg,Widescreen - 16:9,16.7 million colours,500:1,Tilt,,"DVI-D, VGA",,1366 x 768,TN,0.252 mm,8 ms,Touch-screen,,7H Hard Coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Samsung - S22C200B LS22C20KBSZ/EN,250 cd/m2,Matte black,"CSA, UL, TUV, VCCI, C-Tick, GOST, EN55022, NEMKO, NOM, PCBC, SASO, SIQ, EN55024, CSA 22.2 No. 60950, CCC, PSB, AS/NZS 3548, IRAM, UL 60950-1, IEC 60950-1, EN 60950-1, KCC, FCC Part 15 B Class A, GB 4943, VCCI V-3, KC, GB 9254-2008, NOM-019-SCFI-1993 IRAM, GB 17625.1-2003 EMC, KN22, KN24, K60950-1","LED-backlit LCD monitor - 21.5""",50.43 cm x 18.5 cm x 38.53 cm - with stand,"Samsung S22C200B - LED monitor - 21.5""",3.5 kg,Widescreen - 16:9,16.7 million colours,1000:1,Tilt,ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1080,TN,0.24825 mm,5 ms,,,,,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Epson A61B134EAW,690 cd/m2,,"FCC Class A certified, CSA, UL, TUV, EN 60950, VCCI-I",Customer display,26 cm x 11 cm x 50.3 cm,Epson DMD210BA - customer display,1.1 kg,,,,,,,,,,,,,,,,,,,"TM H5000II, H5000IIP, U590, U590P",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 226V4LAB >  22"" Wide >  Lautsprecher >",250 cd/m2,"Textured black, glossy black","Plug and Play, FCC Class B certified, UL, BSMI, GOST, cUL, SASO, SEMKO, PSB, DDC/CI, RoHS, Lead-Free, ISO 9241-307, WEEE","LED-backlit LCD monitor - 21.5""",51.4 cm x 21.3 cm x 38.8 cm - with stand,"Philips V-line 226V4LAB - LED monitor - 21.5""",3.34 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 10000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA",2 years warranty,FullHD 1920 x 1080 at 60 Hz,,0.248 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo - 1215L IntelliTouch E991639,184 cd/m2,Dark grey,"UL, TUV GS, VCCI, cUL, C-Tick Class B, IC, FCC, RoHS","LCD monitor - 12.1""",30.1 cm x 16.8 cm x 28.6 cm,"Elo 1215L IntelliTouch - LCD monitor - 12.1""",3.6 kg,4:3,16.2 million colours,500:1,,,VGA,3 years warranty,800 x 600 at 75 Hz,,,35 ms,Touch-screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > LG - 27MB65PY-B,250 cd/m2,Black with hairline finish,"Plug and Play, FCC Class B certified, UL, TUV GS, cUL, ISO 13406-2, TUV Ergo, DDC/CI, TCO Displays 6.0","LED-backlit LCD monitor - 27""",64.5 cm x 6.35 cm x 38.6 cm - without stand,"LG 27MB65PY-B - LED monitor - 27""",5.9 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1080,IPS,0.311 mm,5 ms (grey-to-grey),,,"Anti-glare, 3H Hard Coating",Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > BenQ BL2405HT 60.96cm (24"") LED Monitor 9H.LAXLB.HBE",250 cd/m2,Black,"TUV GS, ISO 9241-307, TCO Displays 5.2","LED-backlit LCD monitor - 24""",57.9 cm x 21.3 cm x 50.2 cm - with stand,"BenQ BL2405HT - LED monitor - 24""",5.1 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 12000000:1 (dynamic),"Height, pivot (rotation), tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA",3 years warranty,FullHD 1920 x 1080,TN,0.276 mm,2 ms (gray-to-gray),Stereo speakers,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > AOC E2250SD 55.9CM 22IN WLED 55.9 cm (22"")/ 1.680 x1.050/",250 cd/m2,Black,"TUV GS, GOST, RoHS, TCO '06","LED-backlit LCD monitor - 22""",50.87 cm x 19 cm x 40.85 cm - with stand,"AOC Value e2250Sd - LED monitor - 22""",3.76 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1680 x 1050 at 60 Hz,,0.282 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > EIZO 21107,400 cd/m2,Black,"FCC Class A certified, CSA, UL, C-Tick, VESA DPMS, VCCI Class A ITE, CB, ICES-003 Class A, RoHS, WEEE","LCD monitor - 19""",40.5 cm x 6.2 cm x 33.4 cm - without stand,"EIZO DuraVision FDS1901 - LCD monitor - 19""",5.2 kg,4:3,16.7 million colours,1000:1,"Height, swivel, tilt",,"VGA , RGB",2 years warranty,1280 x 1024,TN,0.294 mm,5 ms,Stereo speakers,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - B1980SD-B1,250 cd/m2,Black,"TUV GS, VESA DPMS, TCO Displays 5.0, VCCI Class B","LED-backlit LCD monitor - 19""",41.1 cm x 24.45 cm x 42.65 cm,"Iiyama ProLite B1980SD-B1 - LED monitor - 19""",5.1 kg,5:4,16.7 million colours,1000:1 / 5000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",,1280 x 1024,TN,0.294 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > LevelOne 15IN LCD KVM RACK CONSOLE 38.1 cm (15 "") KVM-0115US",250 cd/m2,,FCC,"KVM console - 15""",44.8 cm x 48.2 cm x 4.4 cm,"LevelOne ViewCon KVM-0115 - KVM console - 15""",11.8 kg,,16.2 million colours,400:1,,,VGA,,1024 x 768,,0.297 mm,11 ms,"Keyboard, touchpad",United States,,,,1U,PS/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions 2400LM Touchdisplay Medical E100905,250 cd/m2,White,"UL, VCCI, cUL, EN 61000-3-3, CB, C-Tick Class B, CCC, FCC, RoHS, EN 60950-1, WEEE, EN 55011, EN 60601-1-2, EN 60601-1","LCD monitor - colour - 24""",59.24 cm x 23.3 cm x 44.95 cm - with stand,"Elo TouchSystems 2400LM - LCD monitor - colour - 24""",12.6 kg,Widescreen - 16:10,16.7 million colours,1000:1,,,"DVI-D, VGA",3 years warranty,1920 x 1200 at 60 Hz,,0.27 mm,5 ms,Touch-screen,Europe,Anti-glare,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > NEC EA244UHD-WH LED 60.5CM 23.8IN 3840 X 2160/ Farbe: 60003684,350 cd/m2,White,"FCC Class B certified, MPR II, CSA, UL, TUV GS, DDC-2Bi, MPR III, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0, EAC","LED-backlit LCD monitor - 24""",55.82 cm x 21.8 cm x 38.67 cm,"NEC MultiSync EA244UHD - LED monitor - 24""",7 kg,Widescreen - 16:9,1.07 billion colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"2xHDMI, 2xDVI-D, 2xDisplayPort",3 years warranty,3840 x 2160,IPS,0.14 mm,5 ms,USB Hub,,,Integrated,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama PL T1731SR-W1,200 cd/m2,White,"Plug and Play, FCC Class B certified, UL, TUV, VCCI Class B ITE, cUL","LCD monitor - 17""",38.7 cm x 34.2 cm x 20.2 cm,"Iiyama ProLite T1731SR-W1 - LCD monitor - 17""",5.7 kg,5:4,16.7 million colours,900:1,Tilt,,"DVI-D, VGA",,1280 x 1024,TN,0.264 mm,5 ms,"Touch-screen , stereo speakers",,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > AOC D2367PH 58.42CM 23"" WLED 58.4 cm (23 "")/ 1.920",250 cd/m2,,"GOST, FCC, RoHS, TCO Displays 5.0, ISO 9241-307, TUV Bauart, EuP, NRTL","LED-backlit LCD monitor - 23""",53.14 cm x 12.06 cm x 39.44 cm,"AOC Style D2367PH - 3D LED monitor - 23""",3.75 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 50000000:1 (dynamic),"Swivel, tilt",ENERGY STAR Qualified,"2xHDMI, VGA",3 years warranty,1920 x 1080 at 60 Hz,IPS,0.265 mm,6 ms (grey-to-grey); 6 ms (black-to-white),,,,Integrated,,,,,,,Yes ( 3D glasses (2pcs) included ),,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama PL E2273HDS-B1,250 cd/m2,Black,"Plug and Play, FCC Class B certified, VCCI Class B ITE, DDC-2B, VESA DPMS, CB, PSE Mark, TUV Bauart, TCO Displays 5.2","LED-backlit LCD monitor - 22""",56.1 cm x 17.8 cm x 39 cm,"Iiyama ProLite E2273HDS-1 - LED monitor - 22""",3.3 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",,FullHD 1920 x 1080,,0.248 mm,2 ms,Stereo speakers,Germany,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo - 1930L IntelliTouch Zero-Bezel/iTouch Plus E001110,225 cd/m2,Black,"UL, VCCI, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, E-Standby, China RoHS, RCM","LED-backlit LCD monitor - 19""",42 cm x 4.2 cm x 34.8 cm,"Elo Open-Frame Touchmonitors 1930L IntelliTouch Zero-Bezel/iTouch - LED monitor - 19""",4 kg,5:4,16.7 million colours,1000:1,,,"DVI-D, VGA",3 years warranty,1280 x 1024 at 75 Hz,,,5 ms,Touch-screen,Worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Samsung Monitor S24C350H LS24C350HS/EN,250 cd/m2,Gloss black,"DDC-2B, ISO 9241-307","LED-backlit LCD monitor - 24""",56.78 cm x 23 cm x 43.65 cm - with stand,"Samsung S24C350H - LED monitor - 24""",3.45 kg,Widescreen - 16:9,16.7 million colours,1000:1,Tilt,"ENERGY STAR Qualified , EPEAT Gold","HDMI, VGA",2 years warranty,1920 x 1080,TN,0.277 mm,5 ms,,,,,,,,,,,,Class B,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > V7 - L21500WDS L21500WDS-9E,200 cd/m2,Glossy black,"FCC, RoHS, WEEE","LED-backlit LCD monitor - 22""",52.4 cm x 18 cm x 36.6 cm - with stand,"V7 L21500WDS - LED monitor - 22""",3.29 kg,Widescreen - 16:9,16.7 million colours,1000000:1 (dynamic),Tilt,,"DVI, VGA",3 years warranty,1920 x 1080,,,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Acer Prosumer Series - CB270HU UM.HB0EE.003,350 cd/m2,Black glossy with silver ring on footstand,"TUV GS, DDC-2B, FCC Part 15 B, EMC, DDC/CI, RoHS, WEEE, Directive 2009/125/EC, TCO Displays 6.0, EN 60950-1:2006+A11:2009+A1:2010+A12:2011, EN55024:2010, EN61000-3-3:2008, EMC 2004/108/EC, LVD 2006/95/EC, EN 55022:2006+A1:2007 Class B, ISO9241-307, EN 61000-3-2:2006+A1:2009+A2:2009 Class D, EN50581:2012","LED-backlit LCD monitor - 27""",- with stand,"Acer Prosumer Series CB270HU - LED monitor - 27""",8.63 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 100000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI, DisplayPort",3 years warranty,QHD 2560 x 1440 at 60 Hz,IPS,0.233 mm,6 ms,USB Hub,Swiss / Switzerland,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > EIZO 21046,280 cd/m2,Black,"TCO '03, FCC Class B certified, TUV, TUV GS, C-Tick, TUV S, CB, ICES-003 Class B, CCC, TUV Ergo, RoHS, ISO 9241-307, WEEE, GOST-R, cTUVus, VCCI Class B","LCD monitor - 22""",51.1 cm x 24.05 cm x 34.75 cm - with stand,"EIZO FlexScan SX2262W - LCD monitor - 22""",9.6 kg,Widescreen - 16:10,1.07 billion colours,1000:1,"Height, pivot (rotation), swivel, tilt",,"2xDVI-I, DisplayPort",5 years warranty,1920 x 1200,S-PVA,0.247 mm,12 ms (On/Off); 6 ms (grey-to-grey),USB Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips Monitor 24"" 240B4LPYCB LED 240B4LPYCB/00",250 cd/m2,Textured black with black stand,"Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Displays 6.0","LED-backlit LCD monitor - 24""",55.5 cm x 22.7 cm x 54.3 cm - with stand,"Philips Brilliance B-line 240B4LPYCB - LED monitor - 24""",5.83 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",3 years warranty,1920 x 1200 at 60 Hz,TN,0.27 mm,5 ms,USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 24"" LED IPS Monitor >  1920x1080 >  5ms > 2 x 244E5QHAD/00",250 cd/m2,Glossy cherry black,"Plug and Play, FCC Class B certified, TUV, BSMI, GOST, SASO, SEMKO, DDC/CI, RoHS, Lead-Free, ISO 9241-307, WEEE, TCO Displays 6.0, cETLus","LED-backlit LCD monitor - 23.8""",55.7 cm x 21.3 cm x 42.8 cm - with stand,"Philips E-line 244E5QHAD - LED monitor - 23.8""",3.8 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"2xHDMI, VGA",3 years warranty,FullHD 1920 x 1080 at 60 Hz,AH-IPS,0.2745 mm,5 ms (grey-to-grey),,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > BenQ BL912 48.26cm (19"") Monitor 1280x1024 >  9H.LAPLB.QPE",250 cd/m2,Black,"TUV GS, GS, ISO 9241-307, TCO Displays 6.0","LED-backlit LCD monitor - 19""",41.6 cm x 17.8 cm x 42.45 cm - with stand,"BenQ BL912 - LED monitor - 19""",3.5 kg,5:4,16.7 million colours,1000:1 / 12000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1280 x 1024,TN,0.294 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > AOC Value - p2370Sh P2370SH,250 cd/m2,Black,"Plug and Play, TUV GS, FCC, RoHS, ISO 9241-307, Ukrain Safety","LED-backlit LCD monitor - 23""",54.67 cm x 22.1 cm x 39.33 cm,"AOC Value p2370Sh - LED monitor - 23""",3.8 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,Plane to Line Switching (PLS),0.265 mm,5 ms (grey-to-grey),,,,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard EliteDisplay E241i 24IN LED F0W81AT#UUZ,250 cd/m2,Meteorite,"UL, TUV GS, VCCI, C-Tick, NOM, TUV Ergo, PSB, TCO Certified Edge, E-Standby, TCO Displays","LED-backlit LCD monitor - 24""",55.6 cm x 5.5 cm x 36.26 cm - without stand,"HP EliteDisplay E241i - LED monitor - 24""",4.11 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 5000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",,1920 x 1200 at 60 Hz,IPS,0.27 mm,8 ms (grey-to-grey),USB Hub,"German, French, Italian / Switzerland",Anti-glare,,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 241B4LPYCS/24"" LED 1920x1080 5ms 241B4LPYCS/00",250 cd/m2,"Black, silver","FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, TCO Displays 5.0","LED-backlit LCD monitor - 24""",56.5 cm x 22.7 cm x 40.3 cm - with stand,"Philips Brilliance B-line 241B4LPYCS - LED monitor - 24""",6.3 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,,0.276 mm,,Stereo speakers,,,Integrated,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > AG Neovo X-15W 15IN 38CM ANA/DIG WHITE NeoV P1X15HV0EA1-A3,320 cd/m2,White,"CB, CCC, FCC, RoHS, WEEE, GOST-R, REACH, TUV Bauart","LCD monitor - 15""",38 cm x 15.5 cm x 35.9 cm,"Neovo X15w - LCD monitor - 15""",4.8 kg,,16.7 million colours,3000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA , S-Video, composite video",3 years warranty,1024 x 768,,0.297 mm,4 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Epson DM-D210BF (EDG) TM ATTACHMENT WITH DP-505 FOR A61B134EGG,700 cd/m2,,"FCC Class A certified, CSA, UL, TUV, EN 60950, VCCI Class A ITE",Customer display,,Epson DMD210 - customer display - with DP-505,,,,,,,,,,,,,,,,,,,,,,DP-505,,,,,,,,,,,,,,,,,,,,,,,,2 lines x 20 characters,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - T1634MC-B2,,Black,"VCCI, DDC-2B, VESA DPMS, IP54, TUV Bauart","LED-backlit LCD monitor - 15.6""",38.1 cm x 20.2 cm x 28.55 cm - with stand,"Iiyama ProLite T1634MC-B2 - LED monitor - 15.6""",4.3 kg,Widescreen - 16:9,16.7 million colours,500:1,Tilt,,"DVI-D, VGA",,1366 x 768,TN,0.252 mm,8 ms,Touch-screen,,7H Hard Coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > BenQ BL2411PT 60 > 96CM 24IN LED 61 cm (24 "")/ 1.920 9H.L99LA.TBE",300 cd/m2,Black,"TUV GS, EN 60950, TUV Ergo, ISO 9241-307, TCO Displays 6.0","LED-backlit LCD monitor - 24""",44.4 cm x 23.6 cm x 55.5 cm - with stand,"BenQ BL2411PT - LED monitor - 24""",6.7 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",3 years warranty,1920 x 1200,IPS,0.27 mm,5 ms (grey-to-grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > EIZO S1932SEGY,250 cd/m2,Grey,"Plug and Play, TCO '03, FCC Class B certified, CSA, UL, TUV, TUV GS, C-Tick, VCCI Class B ITE, DDC-2B, DVI DMPM, ISO 13406-2, TUV S, VESA DPMS, CB, ICES-003 Class B, TUV Ergo, RoHS, WEEE","LCD monitor - 19""",40.5 cm x 24.7 cm x 34.8 cm,"EIZO FlexScan S1932SE-GY - LCD monitor - 19""",8.8 kg,,16.7 million colours,2500:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",5 years warranty,1280 x 1024,PVA,0.294 mm,8 ms,Stereo speakers,German,,Integrated,Certified for Windows Vista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Dell - E1715S 855-BBBK,250 cd/m2,Black,"CEL, TCO Displays","LED-backlit LCD monitor - 17""",37.45 cm x 16.55 cm x 38.95 cm - with stand,"Dell E1715S - E Series - LED monitor - 17""",,5:4,16.7 million colours,1000:1,Tilt,ENERGY STAR Qualified,"VGA, DisplayPort",3 years warranty,1280 x 1024 at 60 Hz,TN,0.264 mm,5 ms (black-to-white),,Switzerland,"Anti-glare, 3H Hard Coating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > ASUS - PA249Q 90LM0030-B01370,350 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, cUL, NOM, WHQL, CB, CCC, TUV Ergo, FCC, RoHS, ISO 9241-307, WEEE, PSE Mark, GOST-R, J-MOSS, ErP Ready, TCO Displays 6.0","LED-backlit LCD monitor - 24.1""",55.72 cm x 23.5 cm x 41.63 cm - with stand,"ASUS PA249Q - LED monitor - 24.1""",,Widescreen - 16:10,1.07 billion colours,1000:1 / 80000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","HDMI, DVI-D, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1200,AH-IPS,0.27 mm,6 ms (grey-to-grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Epson A61B133EBG,700 cd/m2,Dark grey,"FCC Class A certified, UL, TUV, EN 60950, VCCI Class A ITE",Customer display,,Epson DMD110BB - customer display,,,,,,,,,,,,,,,,,,,,TM U950P,,,,,,,,,,,,,,,,,,,,,,,,,,2 lines x 20 characters,,
OHC24 Shop : Monitor > Monitor search help > 3M C4667PW MULTITOUCH DESKTOP 46IN CAPACITIVE    98000341077,700 cd/m2,,"FCC Class B certified, TUV, RoHS","LCD monitor - 46"" - Multi-Touch",,"3M Multi-touch Display C4667PW - LCD monitor - 46""",25.9 kg,Widescreen,1.07 billion colours,4000:1,,,"HDMI, DVI-D, VGA, DisplayPort",,1920 x 1080 at 60 Hz,S-PVA,0.177 mm,6.5 ms (grey-to-grey),Touch-screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - TF2234MC-B1X,225 cd/m2,Black,"VCCI, VESA DPMS, IP54, TUV Bauart","LED-backlit LCD monitor - 21.5"" - Multi-Touch",51.75 cm x 4.6 cm x 31.35 cm,"Iiyama ProLite TF2234MC-B1X - LED monitor - 21.5""",4.4 kg,Widescreen - 16:9,16.7 million colours,1000:1,,,"DVI-D, VGA",,FullHD 1920 x 1080,IPS,0.247 mm,8 ms,Touch-screen,,7H Hard Coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
