<page title>,aspect ratio,builtin speakers,contrast ratio,display colors,dvi,hdmi,ips,led,manufacturer,part,recommended resolution,refresh rate,screen size,viewing angle,widescreen,brightness,response time,vga,displayport,model,component,dvid duallink,svideo,minidisplay port
"Acer V226WLbmd 60Hz 22.0"" Monitor (UM.EV6AA.001) - PCPartPicker Canada",16:10,Yes,"ACM 100,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Acer,UM.EV6AA.001,1680 x 1050,60Hz,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,V226WLbmd,,,,
"HP D7P92A8#ABA 60Hz 27.0"" Monitor (D7P92A8#ABA) - PCPartPicker Canada",16:9,Yes,"5,000,000:1",,1.0,1.0,Yes,Yes,HP,D7P92A8#ABA,2560 x 1440,60Hz,"27""",,Yes,350 cd/m²,8 ms,1.0,1.0,,,,,
"LG E2211PB-BN 22.0"" Monitor (E2211PB-BN) - PCPartPicker Canada",16:9,Yes,"5,000,000:1",,1.0,,No,Yes,LG,E2211PB-BN,1920 x 1080,,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Gateway FHX2303LAbd 60Hz 23.0"" Monitor (UM.VW3AA.A01) - PCPartPicker Canada",16:9,No,"100,000,000:1 (600:1)",16700000.0,1.0,,No,Yes,Gateway,UM.VW3AA.A01,1920 x 1080,60Hz,"23""",110° H x 70° V,Yes,200 cd/m²,5 ms,1.0,,FHX2303LAbd,,,,
"Asus SD222-YA 60Hz 21.5"" Monitor (SD222-YA) - PCPartPicker Canada",16:9,Yes,1000:1,,,,No,Yes,Asus,SD222-YA,1920 x 1080,60Hz,"21.5""",178° H x 178° V,Yes,250 cd/m²,,1.0,,,,,,
"Dell E2015HV 60Hz 19.5"" Monitor (E2015HV) - PCPartPicker Canada",16:9,No,600:1,16700000.0,,,No,Yes,Dell,E2015HV,1600 x 900,60Hz,"19.5""",,Yes,200 cd/m²,5 ms,1.0,,,,,,
"ViewSonic VA2248m-LED 22.0"" Monitor (VA2248m-LED) - PCPartPicker Canada",16:9,Yes,"DC 10,000,000:1 (1,000:1)",,1.0,,No,Yes,ViewSonic,VA2248m-LED,1920 x 1080,,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"HP E4U30AA#ABA 60Hz 19.0"" Monitor (E4U30AA#ABA) - PCPartPicker Canada",5:4,Yes,"3,000,000:1",16700000.0,1.0,,Yes,Yes,HP,E4U30AA#ABA,1280 x 1024,60Hz,"19""",178° H x 178° V,No,250 cd/m²,8 ms,1.0,1.0,,,,,
"Asus VS207D-P 19.5"" Monitor (VS207D-P) - PCPartPicker Canada",16:9,No,"80,000,000:1",16700000.0,,,No,Yes,Asus,VS207D-P,1600 x 900,,"19.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Asus PB298Q 60Hz 29.0"" Monitor (PB298Q) - PCPartPicker Canada",21:9,Yes,"80,000,000:1",16700000.0,1.0,1.0,Yes,Yes,Asus,PB298Q,2560 x 1080,60Hz,"29""",178° H x 178° V,Yes,300 cd/m²,5 ms,,1.0,,,,,
"Acer S231HLBbid 60Hz 23.0"" Monitor (UM.VS1AA.B01) - PCPartPicker Canada",16:9,No,"100,000,000:1 (1,000:1)",16700000.0,1.0,1.0,No,Yes,Acer,UM.VS1AA.B01,1920 x 1080,60Hz,"23""",176° H x 170° V,Yes,250 cd/m²,5 ms,1.0,,S231HLBbid,,,,
"HP D7P94A4#ABA 60Hz 30.0"" Monitor (D7P94A4#ABA) - PCPartPicker Canada",16:10,Yes,1000:1,,,,Yes,Yes,HP,D7P94A4#ABA,2560 x 1600,60Hz,"30""",,Yes,350 cd/m²,8 ms,1.0,,,,,,
"Asus MX299Q 29.0"" Monitor (MX299Q) - PCPartPicker Canada",21:9,Yes,"80,000,000:1",16700000.0,1.0,1.0,Yes,Yes,Asus,MX299Q,2560 x 1080,,"29""",178° H x 178° V,Yes,300 cd/m²,5 ms,,1.0,,,,,
"Samsung S24C650PL 60Hz 23.6"" Monitor (S24C650PL) - PCPartPicker Canada",16:9,Yes,1000:1 / Mega Infinity,16700000.0,,1.0,No,Yes,Samsung,S24C650PL,1920 x 1080,60Hz,"23.6""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,1.0,,,,,
"Acer UM.HB6AA.001 60Hz 27.0"" Monitor (UM.HB6AA.001) - PCPartPicker Canada",16:9,Yes,"100,000,000:1",16700000.0,1.0,,Yes,Yes,Acer,UM.HB6AA.001,1920 x 1080,60Hz,"27""",,Yes,300 cd/m²,6 ms,1.0,1.0,,,,,
"LG 29UM65-P 60Hz 29.0"" Monitor (29UM65-P) - PCPartPicker Canada",21:9,Yes,,,1.0,2.0,Yes,Yes,LG,29UM65-P,2560 x 1080,60Hz,"29""",178° H x 178° V,Yes,300 cd/m²,5 ms,,1.0,,,,,
"NEC P232W-BK 23.0"" Monitor (P232W-BK) - PCPartPicker Canada",16:9,No,1000:1,1070000000.0,1.0,1.0,Yes,Yes,NEC,P232W-BK,1920 x 1080,,"23""",178° H x 178° V,Yes,250 cd/m²,8 ms,1.0,1.0,,,,,
"ViewSonic VA2251M-LED 22.0"" Monitor (VA2251M-LED) - PCPartPicker Canada",16:9,Yes,"DC 10,000,000:1",,1.0,,No,Yes,ViewSonic,VA2251M-LED,1920 x 1080,,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"NEC PA272W-SV 85Hz 27.0"" Monitor (PA272W-SV) - PCPartPicker Canada",16:9,Yes,1000:1,1070000000.0,1.0,1.0,Yes,Yes,NEC,PA272W-SV,2560 x 1440,85Hz,"27""",178° H x 178° V,Yes,340 cd/m²,6 ms,,1.0,,,,,1.0
"ViewSonic VP2765-LED 27.0"" Monitor (VP2765-LED) - PCPartPicker Canada",16:9,No,"DC 20,000,000:1 (3,000:1)",,1.0,,No,Yes,ViewSonic,VP2765-LED,1920 x 1080,,"27""",178° H x 178° V,Yes,300 cd/m²,5 ms,1.0,1.0,,,,,
"Eizo S1921XSH-BK 19.0"" Monitor (S1921XSH-BK) - PCPartPicker Canada",5:4,No,1000:1,16770000.0,1.0,,No,No,Eizo,S1921XSH-BK,1280 x 1024,,"19""",178° H x 178° V,No,250 cd/m²,20 ms,1.0,,,,,,
"Eizo CG276-BK 60Hz 27.0"" Monitor (CG276-BK) - PCPartPicker Canada",16:9,Yes,1000:1,,1.0,1.0,Yes,No,Eizo,CG276-BK,2560 x 1440,60Hz,"27""",178° H x 178° V,Yes,350 cd/m²,6 ms,,1.0,,,,,
"Samsung S22C300H 21.5"" Monitor (S22C300H) - PCPartPicker Canada",16:9,No,Mega Infinite DCR (1000:1),16700000.0,,1.0,No,Yes,Samsung,S22C300H,1920 x 1080,,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"HP E271i 60Hz 27.0"" Monitor (D7Z72A8#ABA) - PCPartPicker Canada",16:9,No,"DC 5,000,000:1 (1000:1)",16700000.0,1.0,,Yes,Yes,HP,D7Z72A8#ABA,1920 x 1080,60Hz,"27""",178° H x 178° V,Yes,250 cd/m²,7 ms,1.0,1.0,E271i,,,,
"ViewSonic VX2452mh 60Hz 23.6"" Monitor (VX2452MH) - PCPartPicker Canada",16:9,Yes,"DC 50,000,000:1 (1,000:1)",,1.0,1.0,No,Yes,ViewSonic,VX2452MH,1920 x 1080,60Hz,"23.6""",170° H x 160° V,Yes,300 cd/m²,2 ms,1.0,,VX2452mh,,,,
"Hannspree HL161ABB 15.6"" Monitor (HL161ABB) - PCPartPicker Canada",16:9,No,500:1,,,,No,Yes,Hannspree,HL161ABB,1366 x 768,,"15.6""",160° H x 160° V,Yes,200 cd/m²,16 ms,1.0,,,,,,
"NEC LCD2090UXi-1 20.1"" Monitor (LCD2090UXi-1) - PCPartPicker Canada",4:3,No,700:1,16700000.0,1.0,,Yes,No,NEC,LCD2090UXi-1,1600 x 1200,,"20.1""",178° H x 178° V,No,280 cd/m²,16 ms,1.0,,,,,,
"CTL MTLP2701 27.0"" Monitor (MTLP2701) - PCPartPicker Canada",16:9,Yes,1000:1,16700000.0,1.0,1.0,No,Yes,CTL,MTLP2701,1920 x 1080,,"27""",160° H x 160° V,Yes,300 cd/m²,2 ms,1.0,,,,,,
"Acer S240HL Abid 60Hz 24.0"" Monitor (ET.FS0HP.A01) - PCPartPicker Canada",16:9,No,"ACM 100,000,000:1",,1.0,1.0,No,Yes,Acer,ET.FS0HP.A01,1920 x 1080,60Hz,"24""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,S240HL Abid,,,,
"Acer B233HL Jbmdh 60Hz 23.0"" Monitor (ET.VB3HP.006) - PCPartPicker Canada",16:9,Yes,"ACM 100,000,000:1 (1,000:1)",16700000.0,1.0,1.0,No,Yes,Acer,ET.VB3HP.006,1920 x 1080,60Hz,"23""",170° H x 160° V,Yes,250 cd/m²,5 ms,,,B233HL Jbmdh,,,,
"Samsung S19C200BR 19.0"" Monitor (S19C200BR) - PCPartPicker Canada",5:4,No,1000:1,16700000.0,1.0,,No,Yes,Samsung,S19C200BR,1280 x 1024,,"19""",170° H x 160° V,No,250 cd/m²,5 ms,1.0,,,,,,
"Lenovo L1900p 19.0"" Monitor (4431HE1) - PCPartPicker Canada",5:4,No,800:1,16700000.0,1.0,,No,No,Lenovo,4431HE1,1280 x 1024,,"19""",170° H x 170° V,No,250 cd/m²,5 ms,1.0,,L1900p,,,,
"Lenovo LT2452p 24.0"" Monitor (4420MB2) - PCPartPicker Canada",16:10,No,1000:1,16000000.0,1.0,,Yes,Yes,Lenovo,4420MB2,1920 x 1200,,"24""",178° H x 178° V,Yes,300 cd/m²,7 ms,1.0,1.0,LT2452p,,,,
"Acer G247HL bid 60Hz 24.0"" Monitor (UM.FG7AA.001) - PCPartPicker Canada",16:9,No,"ACM 100,000,000:1 (3000:1)",16700000.0,1.0,1.0,No,Yes,Acer,UM.FG7AA.001,1920 x 1080,60Hz,"24""",178° H x 178° V,Yes,250 cd/m²,6 ms,1.0,,G247HL bid,,,,
"Dell U2713H 60Hz 27.0"" Monitor (U2713H) - PCPartPicker Canada",16:9,No,"DC 2,000,000:1 (1000:1)",1070000000.0,1.0,1.0,Yes,Yes,Dell,U2713H,2560 x 1440,60Hz,"27""",178° H x 178° V,Yes,350 cd/m²,6 ms,,1.0,,,,,1.0
"BenQ XL2420TX 120Hz 24.0"" Monitor (XL2420TX) - PCPartPicker Canada",16:9,No,DC 12M:1 (1000:1),16700000.0,1.0,2.0,No,Yes,BenQ,XL2420TX,1920 x 1080,120Hz,"24""",170° H x 160° V,Yes,350 cd/m²,5 ms,1.0,1.0,,,,,
"3M M2167PW 21.5"" Monitor (98-0003-3729-9) - PCPartPicker Canada",16:9,Yes,5000:1,16700000.0,,1.0,No,Yes,3M,98-0003-3729-9,1920 x 1080,,"21.5""",178° H x 178° V,Yes,250 cd/m²,16 ms,1.0,1.0,M2167PW,,,,
"Philips 220S4LSB 60Hz 22.0"" Monitor (220S4LSB) - PCPartPicker Canada",16:10,No,1000:1,16700000.0,1.0,,No,Yes,Philips,220S4LSB,1680 x 1050,60Hz,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"AOC e2752She 60Hz 27.0"" Monitor (e2752She) - PCPartPicker Canada",16:9,No,"20,000,000:1 (dynamic)",16700000.0,,2.0,No,Yes,AOC,e2752She,1920 x 1080,60Hz,"27""",170° H x 160° V,Yes,300 cd/m²,2 ms,1.0,,,,,,
"ViewSonic TD2220 22.0"" Monitor (TD2220) - PCPartPicker Canada",16:9,Yes,1000:1,,1.0,,No,Yes,ViewSonic,TD2220,1920 x 1080,,"22""",170° H x 160° V,Yes,200 cd/m²,5 ms,1.0,,,,,,
"Planar PLL2210MW 22.0"" Monitor (997-6404-00) - PCPartPicker Canada",16:9,Yes,1000:1,16700000.0,1.0,,No,Yes,Planar,997-6404-00,1920 x 1080,,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,PLL2210MW,,,,
"HP A9S75A8#ABA 19.0"" Monitor (A9S75A8#ABA) - PCPartPicker Canada",5:4,No,DC 1000000:1 (1000:1),,1.0,,No,Yes,HP,A9S75A8#ABA,1280 x 1024,,"19""",170° H x 160° V,No,250 cd/m²,5 ms,1.0,1.0,,,,,
"Planar PXL2760MW 60Hz 27.0"" Monitor (997-7020-00) - PCPartPicker Canada",16:9,Yes,1200:1,16700000.0,,1.0,No,Yes,Planar,997-7020-00,1920 x 1080,60Hz,"27""",170° H x 160° V,Yes,300 cd/m²,,1.0,1.0,PXL2760MW,,,,
"ViewSonic VG2039m-LED 60Hz 20.0"" Monitor (VG2039m-LED) - PCPartPicker Canada",16:9,Yes,1000:1,,,,No,Yes,ViewSonic,VG2039m-LED,1600 x 900,60Hz,"20""",,Yes,250 cd/m²,5 ms,1.0,,,,,,
"DoubleSight DS-309W 30.0"" Monitor (DS-309W) - PCPartPicker Canada",16:10,Yes,1000:1,,,1.0,Yes,No,DoubleSight,DS-309W,2560 x 1600,,"30""",178° H x 178° V,Yes,370 cd/m²,7 ms,1.0,1.0,,,1.0,,
"Acer UM.BV6AA.003 75Hz 17.0"" Monitor (UM.BV6AA.003) - PCPartPicker Canada",5:4,No,"100,000,000:1",16700000.0,,,No,Yes,Acer,UM.BV6AA.003,1280 x 1024,75Hz,"17""",,No,250 cd/m²,5 ms,1.0,,,,,,
"Acer V206HQLAbd 60Hz 19.5"" Monitor (UM.IV6AA.A02) - PCPartPicker Canada",16:9,No,"100,000,000:1",16700000.0,1.0,,No,Yes,Acer,UM.IV6AA.A02,1600 x 900,60Hz,"19.5""",90° H x 65° V,Yes,200 cd/m²,5 ms,1.0,,V206HQLAbd,,,,
"NEC E243WMi-BK 60Hz 23.8"" Monitor (E243WMi-BK) - PCPartPicker Canada",16:9,Yes,1000:1,16700000.0,1.0,,Yes,Yes,NEC,E243WMi-BK,1920 x 1080,60Hz,"23.8""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,1.0,,,,,
"ViewSonic VA2703 27.0"" Monitor (VA2703) - PCPartPicker Canada",16:9,No,1200:1,,1.0,,No,No,ViewSonic,VA2703,1920 x 1080,,"27""",170° H x 160° V,Yes,300 cd/m²,3 ms,1.0,,,,,,
"Acer V206HQLAbmd 60Hz 19.5"" Monitor (UM.IV6AA.A01) - PCPartPicker Canada",16:9,Yes,"DC 100,000,000:1 (600:1)",16700000.0,1.0,,No,Yes,Acer,UM.IV6AA.A01,1600 x 900,60Hz,"19.5""",,Yes,200 cd/m²,5 ms,1.0,,V206HQLAbmd,,,,
"ViewSonic VX2370Smh-LED 23.0"" Monitor (VX2370Smh-LED) - PCPartPicker Canada",16:9,Yes,"30,000,000:1",,1.0,1.0,Yes,Yes,ViewSonic,VX2370Smh-LED,1920 x 1080,,"23""",178° H x 178° V,Yes,250 cd/m²,7 ms,1.0,,,,,,
"LG 24M34D-B 60Hz 23.6"" Monitor (24M34D-B) - PCPartPicker Canada",16:9,No,"DFC 5,000,000:1 (1000:1)",,1.0,,No,Yes,LG,24M34D-B,1920 x 1080,60Hz,"23.6""",170° H x 160° V,Yes,200 cd/m²,5 ms,1.0,,,,,,
"NEC AS191WM-BK 19.0"" Monitor (AS191WM-BK) - PCPartPicker Canada",16:10,No,1000:1,,1.0,,No,No,NEC,AS191WM-BK,1440 x 900,,"19""",176° H x 176° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Hannspree HL203DPB 20.0"" Monitor (HL203DPB) - PCPartPicker Canada",16:9,Yes,"Active contrast: 30,000,000:1",16700000.0,1.0,,No,Yes,Hannspree,HL203DPB,1600 x 900,,"20""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"LG 23ET63B-W 60Hz 23.0"" Monitor (23ET63B-W) - PCPartPicker Canada",16:9,No,"1,000:1 (Typ) 5M:1 (DFC)",16700000.0,,1.0,Yes,Yes,LG,23ET63B-W,1920 x 1080,60Hz,"23""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"LG 24MB35PY-B 60Hz 23.8"" Monitor (24MB35PY-B) - PCPartPicker Canada",16:9,Yes,"DFC 5,000,000:1 (1000:1)",,1.0,,Yes,Yes,LG,24MB35PY-B,1920 x 1080,60Hz,"23.8""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,1.0,,,,,
"LG N1742LP-BF 17.0"" Monitor (N1742LP-BF) - PCPartPicker Canada",5:4,Yes,"DFC 8,000:1",16700000.0,,,No,No,LG,N1742LP-BF,1280 x 1024,,"17""",170° H x 160° V,No,250 cd/m²,5 ms,1.0,,,,,,
"NEC AS222WM-BK 60Hz 21.5"" Monitor (AS222WM-BK) - PCPartPicker Canada",16:9,Yes,1000:1,,1.0,,No,Yes,NEC,AS222WM-BK,1920 x 1080,60Hz,"21.5""",176° H x 170° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Lenovo LI2221s 60Hz 21.5"" Monitor (18200525) - PCPartPicker Canada",16:9,No,"10,000,000:1 (1000:1)",,1.0,,Yes,Yes,Lenovo,18200525,1920 x 1080,60Hz,"21.5""",178° H x 178° V,Yes,250 cd/m²,14 ms,1.0,,LI2221s,,,,
"LG 19EN33S-B 18.5"" Monitor (19EN33S-B) - PCPartPicker Canada",16:9,No,"5,000,000:1",,,,No,Yes,LG,19EN33S-B,1366 x 768,,"18.5""",90° H x 65° V,Yes,200 cd/m²,,1.0,,,,,,
"Samsung S23C200B 23.0"" Monitor (S23C200B) - PCPartPicker Canada",16:9,No,1000:1,,1.0,,No,Yes,Samsung,S23C200B,1920 x 1080,,"23""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"LG 22EB23PY-B 22.0"" Monitor (22EB23PY-B) - PCPartPicker Canada",16:10,Yes,Mega CR (DFC),,1.0,,No,Yes,LG,22EB23PY-B,1680 x 1050,,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,1.0,,,,,
"Lenovo LI2321S 60Hz 23.0"" Monitor (18200556) - PCPartPicker Canada",16:9,No,"10,000,000:1 (1000:1)",,1.0,1.0,Yes,Yes,Lenovo,18200556,1920 x 1080,60Hz,"23""",178° H x 178° V,Yes,250 cd/m²,14 ms,1.0,,LI2321S,,,,
"Philips 227E4LSB 60Hz 21.5"" Monitor (227E4LSB) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,Yes,Philips,227E4LSB,1920 x 1080,60Hz,"21.5""",176° H x 170° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Samsung S22B300B 60Hz 21.5"" Monitor (S22B300B) - PCPartPicker Canada",16:9,No,Mega Infinity DCR (1000:1),16700000.0,1.0,,No,Yes,Samsung,S22B300B,1920 x 1080,60Hz,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"AOC E970SWN 60Hz 18.5"" Monitor (E970SWN) - PCPartPicker Canada",16:9,No,700:1,16700000.0,,,No,Yes,AOC,E970SWN,1366 x 768,60Hz,"18.5""",,Yes,200 cd/m²,5 ms,1.0,,,,,,
"NEC P242W-BK 60Hz 24.0"" Monitor (P242W-BK) - PCPartPicker Canada",16:10,No,1000:1,,1.0,1.0,Yes,Yes,NEC,P242W-BK,1920 x 1200,60Hz,"24""",178° H x 178° V,Yes,350 cd/m²,8 ms,1.0,1.0,,,,,
"Samsung C27A650X 27.0"" Monitor (C27A650X) - PCPartPicker Canada",16:9,No,3000:1 / Mega DCR,,,1.0,No,Yes,Samsung,C27A650X,1920 x 1080,,"27""",178° H x 178° V,Yes,300 cd/m²,8 ms,1.0,,,,,,
"HP LE2002xi 60Hz 20.0"" Monitor (QC841A8#ABA) - PCPartPicker Canada",16:9,No,"DC 3,000,000:1 (1000:1)",16700000.0,1.0,,No,No,HP,QC841A8#ABA,1600 x 900,60Hz,"20""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,LE2002xi,,,,
"Acer XB270H Abprz 144Hz 27.0"" Monitor (UM.HB0AA.A01) - PCPartPicker Canada",16:9,No,"1,000:1",16700000.0,,1.0,No,Yes,Acer,UM.HB0AA.A01,1920 x 1080,144Hz,"27""",170° H x 160° V,Yes,300 cd/m²,1 ms,,1.0,XB270H Abprz,,,,
"ViewSonic VA2703-LED 27.0"" Monitor (VA2703-LED) - PCPartPicker Canada",16:9,No,1200:1,,1.0,,No,Yes,ViewSonic,VA2703-LED,1920 x 1080,,"27""",170° H x 160° V,Yes,300 cd/m²,,1.0,,,,,,
"NEC PA272W-BK-SV 85Hz 27.0"" Monitor (PA272W-BK-SV) - PCPartPicker Canada",16:9,No,1000:1,1070000000.0,1.0,1.0,Yes,Yes,NEC,PA272W-BK-SV,2560 x 1440,85Hz,"27""",178° H x 178° V,Yes,340 cd/m²,6 ms,,1.0,,,,,
"Planar 997-7145-00 60Hz 27.0"" Monitor (997-7145-00) - PCPartPicker Canada",16:9,Yes,1000:1,16700000.0,1.0,1.0,Yes,Yes,Planar,997-7145-00,2560 x 1440,60Hz,"27""",,Yes,,,1.0,1.0,,,,,
"Asus VG278HE 144Hz 27.0"" Monitor (VG278HE) - PCPartPicker Canada",16:9,Yes,"50,000,000:1",16700000.0,,1.0,No,Yes,Asus,VG278HE,1920 x 1080,144Hz,"27""",170° H x 160° V,Yes,300 cd/m²,2 ms,1.0,,,,1.0,,
"NEC PA302W-BK-SV 30.0"" Monitor (PA302W-BK-SV) - PCPartPicker Canada",16:10,No,1000:1,,1.0,1.0,Yes,Yes,NEC,PA302W-BK-SV,2560 x 1600,,"30""",178° H x 178° V,Yes,340 cd/m²,6 ms,,2.0,,,,,
"V7 D185W1-8N 60Hz 18.5"" Monitor (D185W1-8N) - PCPartPicker Canada",16:9,No,1000:1,,,,No,Yes,V7,D185W1-8N,1366 x 768,60Hz,"18.5""",,Yes,200 cd/m²,5 ms,1.0,,,,,,
"Lenovo 60A6MAR2US 60Hz 24.0"" Monitor (60A6MAR2US) - PCPartPicker Canada",16:10,No,1000:1,16700000.0,,,Yes,Yes,Lenovo,60A6MAR2US,1920 x 1200,60Hz,"24""",178° H x 178° V,Yes,300 cd/m²,7 ms,1.0,,,,1.0,,
"Hannspree HL248DPB 23.6"" Monitor (HL248DPB) - PCPartPicker Canada",16:9,Yes,"X-Contrast 30,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Hannspree,HL248DPB,1920 x 1080,,"23.6""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Lenovo LT2223p 60Hz 21.5"" Monitor (60A1MAR2US) - PCPartPicker Canada",16:9,No,2000000:1 (1000:1),16700000.0,,1.0,No,Yes,Lenovo,60A1MAR2US,1920 x 1080,60Hz,"21.5""",,Yes,250 cd/m²,5 ms,1.0,1.0,LT2223p,,,,
"HP E221 60Hz 21.5"" Monitor (C9V76A8#ABA) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,Yes,HP,C9V76A8#ABA,1920 x 1080,60Hz,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,1.0,E221,,,,
"ViewSonic VX2858Sml 60Hz 28.0"" Monitor (VX2858Sml) - PCPartPicker Canada",16:9,Yes,3000:1,16700000.0,,2.0,No,Yes,ViewSonic,VX2858Sml,1920 x 1080,60Hz,"28""",176° H x 176° V,Yes,300 cd/m²,6 ms,1.0,,,,,,
"NEC EA244UHD-BK 60Hz 24.0"" Monitor (EA244UHD-BK) - PCPartPicker Canada",16:9,Yes,"1,000:1",1070000000.0,2.0,1.0,Yes,Yes,NEC,EA244UHD-BK,3840 x 2160,60Hz,"24""",178° H x 178° V,Yes,350 cd/m²,6 ms,,2.0,,,,,
"HP C9E54AA#ABA 60Hz 18.5"" Monitor (C9E54AA#ABA) - PCPartPicker Canada",16:9,No,1000:1,,,,No,Yes,HP,C9E54AA#ABA,1366 x 768,60Hz,"18.5""",,Yes,250 cd/m²,5 ms,1.0,,,,,,
"LG E2411PB-BN 24.0"" Monitor (E2411PB-BN) - PCPartPicker Canada",16:9,Yes,"1000:1, 5M:1(DFC)",,1.0,,No,Yes,LG,E2411PB-BN,1920 x 1080,,"24""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"HP C9E49AA#ABA 21.5"" Monitor (C9E49AA#ABA) - PCPartPicker Canada",16:9,Yes,1000:1,,,,No,Yes,HP,C9E49AA#ABA,1920 x 1080,,"21.5""",,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Acer G246HLAbd 60Hz 24.0"" Monitor (UM.FG6AA.A01) - PCPartPicker Canada",16:9,No,"ACM 100,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Acer,UM.FG6AA.A01,1920 x 1080,60Hz,"24""",,Yes,250 cd/m²,5 ms,1.0,,G246HLAbd,,,,
"Acer V196L bd 75Hz 19.0"" Monitor (UM.CV6AA.006) - PCPartPicker Canada",5:4,No,"100,000,000:1",16700000.0,1.0,,No,Yes,Acer,UM.CV6AA.006,1280 x 1024,75Hz,"19""",170° H x 160° V,No,250 cd/m²,5 ms,1.0,,V196L bd,,,,
"Acer V196WLb 60Hz 19.0"" Monitor (UM.CV6AA.001) - PCPartPicker Canada",16:10,No,"ACM 100,000,000:1 (1000:1)",16700000.0,,,No,Yes,Acer,UM.CV6AA.001,1440 x 900,60Hz,"19""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,V196WLb,,,,
"Acer V196WLbm 60Hz 19.0"" Monitor (UM.CV6AA.003) - PCPartPicker Canada",16:10,Yes,"100,000,000:1",16700000.0,,,No,Yes,Acer,UM.CV6AA.003,1440 x 900,60Hz,"19""",170° H x 155° V,Yes,250 cd/m²,5 ms,1.0,,V196WLbm,,,,
"Acer V196WLbd 60Hz 19.0"" Monitor (UM.CV6AA.002) - PCPartPicker Canada",16:10,No,"ACM 100,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Acer,UM.CV6AA.002,1440 x 900,60Hz,"19""",,Yes,250 cd/m²,5 ms,1.0,,V196WLbd,,,,
"Samsung S27D360H 60Hz 27.0"" Monitor (S27D360H) - PCPartPicker Canada",16:9,No,DCR Mega Infinity (1000:1),16700000.0,,1.0,No,Yes,Samsung,S27D360H,1920 x 1080,60Hz,"27""",178° H x 178° V,Yes,300 cd/m²,5 ms,1.0,,,,,,
"Hannspree HL273HPB 60Hz 27.0"" Monitor (HL273HPB) - PCPartPicker Canada",16:9,Yes,"50,000,000:1",16700000.0,1.0,1.0,No,Yes,Hannspree,HL273HPB,1920 x 1080,60Hz,"27""",160° H x 160° V,Yes,250 cd/m²,2 ms,1.0,,,,,,
"LG 19MB35D-B 60Hz 19.0"" Monitor (19MB35D-B) - PCPartPicker Canada",5:4,No,"DCR 5,000,000:1 (1000:1)",16700000.0,1.0,,Yes,Yes,LG,19MB35D-B,1280 x 1024,60Hz,"19""",178° H x 178° V,No,250 cd/m²,5 ms,1.0,,,,,,
"Acer G276HLDbd 60Hz 27.0"" Monitor (UM.HG6AA.D03) - PCPartPicker Canada",16:9,No,"ACM 100,000,000:1 (3000:1)",16700000.0,1.0,,No,Yes,Acer,UM.HG6AA.D03,1920 x 1080,60Hz,"27""",,Yes,300 cd/m²,6 ms,1.0,,G276HLDbd,,,,
"Acer G276HLDbmid 60Hz 27.0"" Monitor (UM.HG6AA.D02) - PCPartPicker Canada",16:9,Yes,"ACM 100,000,000:1 (3000:1)",16700000.0,1.0,1.0,No,Yes,Acer,UM.HG6AA.D02,1920 x 1080,60Hz,"27""",,Yes,300 cd/m²,6 ms,1.0,,G276HLDbmid,,,,
