<page title>,ac power in,aspect ratio,audio input,builtin camera,builtin speakers,cables included,certification,colour of product,contrast ratio dynamic,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display technology,dvi port,energy efficiency class,energy star certified,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,manual,pivot,pixel pitch,plug and play,power consumption standby,power consumption typical,power cord included,power led,response time,standby led,supported graphics resolutions,supported video modes,thin client installed,tilt angle,tv tuner integrated,vesa mounting interfaces compatibility,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,3d compatibility,cable lock slot,contrast ratio typical,headphone out,microphone in,package weight,rs232 ports,source datasheet,displayports quantity,dvid ports quantity,hdmi ports quantity,tilt adjustment,ac adapter included,audio output,dcin jack,mac operating systems supported,on screen display osd,packaging depth,packaging height,packaging width,quick start guide,windows operating systems supported,power consumption max,power consumption off,power consumption powersave,digital horizontal frequency,digital vertical frequency,bluetooth,epeat compliance,ethernet lan,horizontal scan range,onoff switch,quantity,screen format adjustments,swivelling,vertical scan range,wifi,hdmi,led indicators,linux operating systems supported,mean time between failures mtbf,number of products included,operating relative humidity hh,operating temperature tt,placement supported,storage relative humidity hh,storage temperature tt,viewable size horizontal,viewable size vertical,svideo inputs quantity,video dot rate,on screen display osd languages,power requirements,builtin subwoofer,headphone connectivity,number of loudspeakers,number of osd languages,pivot angle,rms rated power,separate hv sync,swivel angle range,usb 20 ports quantity,dvii ports quantity,viewable size diagonal,safety,backlight type,compliance industry standards,display srgb,feet colour,nonoperating altitude,operating altitude,pictureinpicture,usb 30 ports quantity,display viewable area hxv,pc audio in,syncongreen sog,dimensions w x d x h with stand,effective viewing area,package dimensions wxdxh,picture enhancement,volume control,maximum resolution,screen saving functions,display surface,composite video in,product type,bezel width side,analog signal format system,dimensions wxdxh,builtin microphone,card reader integrated,compatible memory cards,composite sync,mobile highdefinition link mhl,relative humidity,common interface ci,component video ypbprycbcr in,handheld remote control,common interface plus ci
ASUS VS207NE - MediaShopUK,,16:9,,,,,"Energy Star®, CB, CCC, CE, CEL level 1, C-Tick, ErP, FCC, Gost-R, RoHS, UL/cUL, VCCI, WEEE, WHQL",Black Black,80000000:1,355.5 mm,,LED,200 cd/m²,"495.3 mm (19.5 "")",49.5 cm,16.77 M,1600 x 900 pixels,,Yes,,Yes,,Yes,185 mm,,,,,,,0.27 x 0.27 mm,,0.5 W,16.4 W,,,5 ms,,1600 x 900,,,,,75 x 75 mm,1.0,90 °,65 °,Yes,2.59 kg,,468 mm,,,Kensington Kensington,,,,3.99 kg 3.99 kg,,,,1.0,,,,,,,,412 mm 412 mm,115 mm 115 mm,530 mm 530 mm,,,,0.5 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer V 176Lb - MediaShopUK,,5:4,,No No No,No No No,,,Black Black,100000000:1,55 mm,191 mm,LCD,250 cd/m²,"431.8 mm (17 "")",43.2 cm,16.77 M,1280 x 1024 pixels,,No,Unspecified,,,No,308.7 mm,,394.5 mm,,,,,,,0.45 W,13 W,,,5 ms,,,,No,,No No,100 x 100 mm,1.0,170 °,160 °,Yes,2.2 kg,2.6 kg,369 mm,369 mm,,,,,,,,. .,,,,,,,,,,,,,,,,0.35 W,,,,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Z22i - MediaShopUK,Yes,16:9,,No No No,No No No,"AC, DisplayPort, USB, VGA AC, DisplayPort, USB, VGA",,Black Black,5000000:1,51 mm,237 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,IPS,Yes,Unspecified,Yes,Full HD,Yes,309 mm,,460 mm,50/60 Hz,90 - 264 V,Yes Yes,,0.248 x 0.248 mm,Yes Yes,0.5 W,26 W,,Yes Yes,8 ms,Yes Yes,1920 x 1080 (HD 1080),1080p,No,-5 - 30 °,No No,,1.0,178 °,178 °,,5.82 kg,,509 mm,509 mm,No,Yes Yes,1000:1,,,,,. .,1.0,1.0,,Yes,,,,,Yes Yes,,,,Yes Yes,Yes Yes,31 W,,,,,,,No,,Yes Yes,,,Yes,,No,,Yes Yes,Yes Yes,,,20 - 80 %,5 - 35 °C,,,,,,,,,,,,,,,,,0 - 360 °,3.0,,,,,,,,,,,,,,,,,,,,,,Matt,,,,,,,,,,,,,,,
Packard Bell Maestro 236DBD - MediaShopUK,,16:9,,No No,,,,Black,100000000:1,,,LED,250 cd/m²,"584.2 mm (23 "")",58 cm,,1920 x 1080 pixels,LCD,,,,Full HD,Yes,,No,,60 Hz,110 - 220 V,,,,,45 W,110 W,,,,,,,,,No,No,1.0,178 °,178 °,No,,,,,,,,,,,,,,,,,,,,,,,,,,,220 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq XL2411T 24 LED - MediaShopUK,,16:9,,No No No,No No No,,,Black Black,12000000:1,223 mm,,LED,350 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,TN+Film,,,,No,Yes,431 mm,Yes,,,,,,0.276 x 0.276 mm,,22 W,,,,5 ms,,1920 x 1080 (HD 1080),,No,,No No,100 x 100 mm,1.0,160 °,170 °,Yes,6 kg,,570 mm,,Yes,Yes Yes,1000:1,,,,,,,,1.0,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VG27AH - MediaShopUK,Yes,16:9,,No No,Yes Yes,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA","cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, J-MOSS, PSE, RoHS, WEEE, Windows 7 WHQL",Black Black,80000000:1,,249.6 mm,LED,250 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,IPS,,,Yes,Full HD,,,Yes,438.7 mm,,,Yes Yes,,0.311 x 0.311 mm,,1 W,65 W,,Yes Yes,5 ms,Yes Yes,1920 x 1080 (HD 1080),,No,-5 - 15 °,No,100 x 100 mm,1.0,178 °,178 °,Yes,,8.3 kg,,643 mm,Yes,Kensington Kensington,,1,,12.1 kg,,. .,,1.0,2.0,,,,,,Yes Yes,282 mm,542 mm,711 mm,,Yes Yes,,1 W,,24 - 83 kHz,50 - 75 Hz,,,,,Yes Yes,,,,,,Yes Yes,,,,1 pcs 1 pcs,,,Horizontal Horizontal,,,,,,,,,,3.5 mm,2 2,,,6 W 6 W,,,,,,,,,,,,,,,,Yes,,,,,,Digital Digital,1920 x 1080 pixels 1920 x 1080 pixels,,,,,,,,,,,,,,,,,
LG 22EA63V - MediaShopUK,Yes,16:9,,No No,No No,"AC, VGA AC, VGA","CE, TÜV-Typ, EPA, FCC-B, UL, cUL",Black Black,10000000:1,74 mm,178 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,IPS,,Unspecified,Yes,Full HD,Yes,307 mm,No,380 mm,47-63 Hz,100 - 240 V,Yes Yes,No,0.248 x 0.248 mm,Yes Yes,0.3 W,26 W,,,5 ms,,1920 x 1080 (HD 1080),1080p,No,-5 - 20 °,No,75 x 75 mm,1.0,178 °,178 °,Yes,2.5 kg,2.7 kg,500 mm,500 mm,No,No No,1000:1,1,,3.92 kg,,. .,,1.0,1.0,Yes,,,,,Yes Yes,125 mm,394 mm,601 mm,,,,0.3 W,,30 - 83 kHz,56 - 75 Hz,No,,No,,Yes Yes,,"4:3, 16:9 4:3, 16:9",No,,No,,,,,,,,,,,475.97 mm,267.73 mm,,,"CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE, UKR CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE, UKR",,,3.5 mm,,15 15,,,Yes,,,,,,W-LED,,,,,,,,,,Yes,,,,,,,,,,,10.8 mm,,,No No,No No,No No,Yes,,,,,,
Philips 224E5QHAB - MediaShopUK,Yes,16:9,,No No,Yes Yes,,"RoHS, Lead-free, Mercury Free","Black, Cherry Black, Cherry",20000000:1,47 mm,213 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,,,306 mm,,394 mm,,,,,0.248 x 0.248 mm,Yes Yes,0.5 W,20.4 W,,,5 ms,,,,No,,,100 x 100 mm,1.0,178 °,178 °,Yes,2.82 kg,3.14 kg,500 mm,500 mm,,,1000:1,1,,5.01 kg,,. .,,,1.0,,,,,,Yes Yes,106 mm,466 mm,562 mm,,,,0.3 W,,,,,Silver,,30 - 83 kHz,Yes Yes,,,,56 - 75 Hz,,,"Operation, Stand-by Operation, Stand-by",,30.000 h 30.000 h,,20 - 80 %,0 - 40 °C,,,-20 - 60 °C,476.1 mm,276.8 mm,,,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",,,,2 2,,,10 W 10 W,Yes,,,,,,W-LED,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,
ASUS VB178TL - MediaShopUK,,5:4,,No No,Yes Yes,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA","BSMI, CB, CCC, CE, CEL, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL, NOM",Black Black,50000000:1,,214 mm,LCD,250 cd/m²,"431.8 mm (17 "")",43.2 cm,16.77 M,1280 x 1024 pixels,,Yes,Unspecified,Yes,,Yes,,Yes,377 mm,,,Yes Yes,Yes,0.264 x 0.264 mm,,,25 W,,Yes Yes,5 ms,Yes Yes,1280 x 1024 (SXGA),,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,,5.4 kg,462 mm,462 mm,No,Kensington Kensington,1000:1,,,7 kg,,. .,,1.0,,Yes,Yes Yes,,,,,210 mm,382 mm,559 mm,Yes Yes,,,1 W,1 W,30 - 83 kHz,55 - 75 Hz,,,,30 - 83 kHz,,,,Yes,55 - 75 Hz,,,Yes Yes,,,,,,,,,,,,,,,,3.5 mm,2 2,,,2 W 2 W,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
NEC E224WI-BK - MediaShopUK,,16:9,,No No,,DVI DVI,"TCO, RoHS",Black Black,,58.5 mm,213.9 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",,16.77 M,1920 x 1080 pixels,,Yes,Unspecified,Yes,Full HD,Yes,301.1 mm,,474.5 mm,,,Yes Yes,Yes,0.25 x 0.25 mm,Yes Yes,,26 W,,,6 ms,,1920 x 1080 (HD 1080),1080p,,,,100 x 100 mm,1.0,178 °,178 °,Yes,3.9 kg,5.9 kg,507.4 mm,507.4 mm,,,,,,,,. .,,1.0,,Yes,,,,,Yes Yes,,,,,,,,0.4 W,,,,Silver,,31.5 - 81.1 kHz,,,,Yes,56 - 76 Hz,,,,,,,20 - 80 %,5 - 35 °C,,10 - 85 %,-10 - 60 °C,,,,,,,,,,,,,,,,,,,W-LED,,,,0 - 12192 m,0 - 2000 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VW22AT - MediaShopUK,Yes,16:10,,No No,Yes Yes,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA","BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL (Windows 7)",Black Black,50000000:1,63.34 mm,210.32 mm,LED,250 cd/m²,"558.8 mm (22 "")",55.9 cm,16.77 M,1680 x 1050 pixels,,,Unspecified,Yes,No,Yes,340.79 mm,No,406.23 mm,50/60 Hz,100 - 240 V,,,0.282 x 0.282 mm,,,33 W,,Yes Yes,5 ms,Yes Yes,1680 x 1050 (WSXGA+),,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,3.9 kg,,513.95 mm,513.95 mm,No,Kensington Kensington,,,,5.4 kg,,. .,,1.0,,,,,,,Yes Yes,146 mm,452 mm,588 mm,Yes Yes,Yes Yes,,0.3 W,0.5 W,24 - 83 kHz,50 - 75 Hz,,,,31 - 83 kHz,Yes Yes,,,,56 - 76 Hz,,,,,,1 pcs 1 pcs,,,Horizontal Horizontal,,,,,,,,,,,2 2,,,2 W 2 W,,,,,,,,,,,,,,,,Yes,,,,,,Digital Digital,1680 x 1050 pixels 1680 x 1050 pixels,Yes Yes,,,,,,,,,,,,,,,,
AOC q2963Pm - MediaShopUK,Yes,21:9,,No No,Yes Yes,,TCO 6.0,Black Black,50000000:1,211.99 mm,,LED,250 cd/m²,"736.6 mm (29 "")",73.7 cm,16.77 M,2560 x 1080 pixels,,,Unspecified,Yes,,Yes,387.91 mm,No,,50/60 Hz,90 - 240 V,,No,0.876 x 0.876 mm,Yes Yes,0.5 W,30 W,,,5 ms,,2560 x 1080,,No,-5 - 20 °,No,100 x 100 mm,1.0,178 °,178 °,Yes,6.9 kg,9.79 kg,713.57 mm,,No,Kensington Kensington,1000:1,,No,,,. .,2.0,1.0,1.0,Yes,,,,,Yes Yes,,,,,,,0.5 W,,30 - 83 kHz,55 - 75 Hz,No,,No,,Yes Yes,,,No,,No,,,,,,,,,,,694.6 mm,308.9 mm,,146 MHz 146 MHz,,,,,1 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No No,No No,No No,,,,,,,
ASUS MX279H LED display - MediaShopUK,,16:9,,No No No,Yes Yes Yes,"AC, Audio (3.5mm), VGA AC, Audio (3.5mm), VGA","BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSE, RoHS, UL/cUL, VCCI, WEEE,","Black, Silver Black, Silver",80000000:1,225.2 mm,,LED,250 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,IPS,No,Unspecified,Yes,Full HD,Yes,441.3 mm,No,,50/60 Hz,100 - 240 V,,,0.311 x 0.311 mm,,,37 W,,Yes Yes,5 ms,,1920 x 1080 (HD 1080),,No,20 - -5 °,No No,No,1.0,178 °,178 °,No,5.2 kg,,622.6 mm,,No,Kensington Kensington,1000:1,,,8 kg 8 kg,,,,,2.0,,,,,,,114 mm 114 mm,537 mm 537 mm,700 mm 700 mm,Yes Yes,"Windows 7 Home Premium, Windows 8 Windows 7 Home Premium, Windows 8",,0.5 W,0.5 W,30 - 80 kHz,56 - 76 Hz,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,2 2 2,,,6 W 6 W 6 W,,,,,,,,,Yes,,,,,,,Yes,,,,,,Digital Digital,,,,,,,,,,,,,,,,,,
Philips 190SL1SB - MediaShopUK,,16:10,,No No,No No,,"BSMI, CE Mark, FCC Class B, GOST, SEMKO, TCO 5.2, TUV/GS, TUV Ergo, UL/cUL, WEEE",Black Black,20000000:1,68 mm,183 mm,LED,250 cd/m²,"482.6 mm (19 "")",48.3 cm,16.77 M,1440 x 900 pixels,,,,Yes,No,Yes,305 mm,No,372 mm,50/60 Hz,100 - 240 V,,,0.283 x 0.283 mm,Yes Yes,0.3 W,11.4 W,,,5 ms,,1440 x 900 (WXGA+),,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,3.04 kg,3.31 kg,436 mm,436 mm,No,Kensington Kensington,1000:1,,,,,. .,,1.0,,Yes,,,,,Yes Yes,,,,,,,,7.7 W,,,,Silver,,30 - 83 kHz,,,,,56 - 75 Hz,,,,,30000 h 30000 h,,,0 - 40 °C,,,-20 - 60 °C,408.24 mm,255.15 mm,,,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",,,,,9 9,,,Yes,,,,,,,,Yes,,,,,,,,Yes,,,488 x 420 x 141 mm,,,,,,,,,,,,,,,,20-80 %,,,,
LG 22EA53VQ-P LED display - MediaShopUK,,"4:3, 16:9",,No No No,No No No,"AC, VGA AC, VGA","TCO6.0, CE, TÜV, FCC, UL, cUL, RoHS",Black Black,5000000:1,55 mm,181 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.61 cm,16.77 M,1920 x 1080 pixels,IPS,Yes,Unspecified,Yes,Full HD,Yes,312 mm,No,385 mm,,100 - 240 V,Yes Yes,,0.248 x 0.248 mm,Yes Yes,0.3 W,,,Yes Yes,5 ms,Yes Yes,1920 x 1080 (HD 1080),1080p,No,-5 - 20 °,No No,75 x 75 mm,1.0,178 °,178 °,Yes,2.58 kg,2.8 kg,508 mm,508 mm,No,Kensington Kensington,1000:1,1,,3.8 kg 3.8 kg,,. .,,1.0,1.0,Yes,,,Yes,,Yes Yes,116 mm 116 mm,381 mm 381 mm,577 mm 577 mm,,Windows 8 Windows 8,25 W,0.3 W,,30 - 83 kHz,56 - 75 Hz,,,,,Yes Yes,,,,,,,Yes Yes,,50000 h 50000 h,,10 - 80 %,10 - 35 °C,,5 - 90 %,-20 - 60 °C,,,,,"DEU, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SER, UKR DEU, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SER, UKR",,,3.5 mm,,17 17,,,Yes,,,,,,W-LED,,,,,,,,475.97 x 267.73 mm 475.97 x 267.73 mm,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,
Viewsonic LED LCD VX2370SMH-LED LED display - MediaShopUK,Yes,16:9,Yes,,Yes Yes Yes,"AC, HDMI, VGA AC, HDMI, VGA","CE,CB, BSMI, SASO, C-tick, e-standby, KC, UL/cUL,FCC-B (including ICES003), NOM, GOST-R/Hygienic, UkrSEPRO, Erp, CCC, China Energy, SVHC",Black Black,30000000:1,179.5 mm,,LCD,250 cd/m²,"584.2 mm (23 "")",,16.77 M,1920 x 1080 pixels,IPS,,Unspecified,,Full HD,Yes,409 mm,,,50/60 Hz,100 - 240 V,Yes Yes,,,Yes Yes,,27 W,,Yes Yes,7 ms,Yes Yes,1920 x 1080 (HD 1080),,No,-5 - 20 °,No No,,1.0,178 °,178 °,,3.9 kg,,532.6 mm,,No,,1000:1,,,6.1 kg,,. .,,1.0,1.0,,,Yes,,Yes Yes,Yes Yes,177 mm,476 mm,587 mm,Yes Yes,Yes Yes,,,,,,No,Silver,,24 - 83 kHz,Yes Yes,,,,50 - 76 Hz,No,Yes Yes,Yes Yes,Yes Yes,,1 pcs 1 pcs,10 - 80 %,10 - 40 °C,,5 - 90 %,-20 - 60 °C,,,,,,,,,2 2 2,,,3 W 3 W 3 W,Yes,,,,,"RoHS, WEEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edge10 EF185a - MediaShopUK,,16:9,,No No,Yes Yes,VGA VGA,,Black Black,10000:1,53 mm,180 mm,LED,250 cd/m²,"469.9 mm (18.5 "")",47 cm,16.77 M,1366 x 768 pixels,,Yes,Unspecified,,HD-ready,,302 mm,No,370 mm,50/60 Hz,100 - 240 V,,,0.3 x 0.3 mm,,1 W,19 W,Yes Yes,,5 ms,,1366 x 768,,No,-5 - 15 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,3.18 kg,,438 mm,438 mm,No,Kensington Kensington,1000:1,,,,,,,1.0,,Yes,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,5 - 90 %,0 - 40 °C,,,,,,,,,,,,2 2,,,4 W 4 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanns.G HL205DPB LED display - MediaShopUK,,16:9,,No No,Yes Yes,"AC, Audio (3.5mm), VGA AC, Audio (3.5mm), VGA","TCO6.0, GS, CB",Black Black,80000000:1,169.3 mm,,LED,250 cd/m²,"495.3 mm (19.5 "")",49.53 cm,16.77 M,1600 x 900 pixels,,Yes,Unspecified,Yes,,Yes,340.7 mm,,,50/60 Hz,100 - 240 V,Yes Yes,,0.27 x 0.27 mm,,0.5 W,,Yes Yes,Yes Yes,5 ms,,1600 x 900,,,5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,2.7 kg,,457.3 mm,,No,,1000:1,,,,,,,1.0,,Yes,,,,,Yes Yes,112 mm,380 mm,506 mm,Yes Yes,,,0.5 W,,30 - 82 kHz,55 - 76 Hz,,,,,,,,,,,,,,,,20 - 85 %,0 - 40 °C,,,,,,,,"DEU, DUT, ENG, ESP, ITA, JPN, KOR, POR, RUS, SCR DEU, DUT, ENG, ESP, ITA, JPN, KOR, POR, RUS, SCR",,,,2 2,12 12,,2 W 2 W,,,,,,,W-LED,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Benq GW2460HM - MediaShopUK,,16:9,Yes,No No No,Yes Yes Yes,,,Black Black,20000000:1,194 mm,54 mm,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,PVA,Yes,Unspecified,Yes,Full HD,Yes,565 mm,No,565 mm,,90 - 264 V,,,0.276 x 0.276 mm,,,,,,4 ms,,1920 x 1080 (HD 1080),,No,-5 - 20 °,No No,100 x 100 mm,1.0,178 °,178 °,Yes,3.6 kg,5 kg,434 mm,334 mm,No,Kensington Kensington,3000:1,,,,,,,,1.0,Yes,,,,,Yes Yes,,,,,"Windows Vista Home Premium, Windows Vista Home Premium x64 Windows Vista Home Premium, Windows Vista Home Premium x64",22 W,,0.3 W,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,2 2 2,17 17,,2 W 2 W 2 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS 22T1EH - MediaShopUK,,16:9,,No No,Yes Yes,,RoHS,Black Black,10000000:1,191.2 mm,,LED,250 cd/m²,"546.1 mm (21.5 "")",,,1920 x 1080 pixels,,No,Unspecified,Yes,Full HD,Yes,438.5 mm,No,,50/60 Hz,100 - 240 V,,,0.248 x 0.248 mm,,0.5 W,,,,5 ms,Yes Yes,1920 x 1080 (HD 1080),,No,-5 - 15 °,Yes,,1.0,170 °,160 °,Yes,6.1 kg,,540.6 mm,,No,Kensington Kensington,1000:1,,Yes,,,. .,,,1.0,,,,,,,,,,,,60 W,,,31 - 83 kHz,56 - 76 Hz,,,,31 - 83 kHz,,,,,56 - 76 Hz,,Yes Yes,,,,,,,,,,,,1.0,,,,,3.5 mm,2 2,,,14 W 14 W,,,,,,,,,,,,,,,,,,,,,,Digital Digital,,,,1.0,,,"PAL, SECAM",,,,,Yes,,,Yes,1.0,Yes Yes,
Philips 223V5LHSB - MediaShopUK,Yes,16:9,,No No,No No,,"RoHS, BSMI, CE, FCC B, GOST, PSB, SASO, SEMKO, TCO, TUV/ISO9241-307, cETLus, WEEE",Black Black,10000000:1,50 mm,213 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,No,Unspecified,Yes,Full HD,Yes,316 mm,No,376 mm,50/60 Hz,100 - 240 V,,No,0.248 x 0.248 mm,Yes Yes,0.5 W,15.85 W,,Yes Yes,5 ms,Yes Yes,1920 x 1080 (HD 1080),,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,2.35 kg,2.61 kg,503 mm,503 mm,No,Kensington Kensington,1000:1,,,3.87 kg,,. .,,,1.0,Yes,,,,Yes Yes,Yes Yes,107 mm,414 mm,555 mm,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",,0.5 W,,30 - 83 kHz,56 - 76 Hz,No,Silver,No,,Yes Yes,,"4:3, 16:9, Auto 4:3, 16:9, Auto",No,,No,,Yes Yes,,30000 h 30000 h,,20 - 80 %,0 - 40 °C,,,-20 - 60 °C,476.64 mm,268.11 mm,,,"CZE, DEU, DUT, ENG, ESP, FIN, FRE, HUN, ITA, JPN, KOR, POL, POR, SWE, TUR, UKR CZE, DEU, DUT, ENG, ESP, FIN, FRE, HUN, ITA, JPN, KOR, POL, POR, SWE, TUR, UKR",,,,,19 19,,,Yes,,,,546 mm,,,,Yes,,0 - 12192 m,0 - 3658 m,No No,,,,Yes,503 x 213 x 376 mm,476.64 x 268.11 mm 476.64 x 268.11 mm,555 x 107 x 414 mm,,,,,,,,,,,,No No,No No,,,,,,,
Edge10 ET185a - MediaShopUK,,16:9,,No No,Yes Yes,VGA VGA,,Black Black,10000:1,53 mm,180 mm,LED,250 cd/m²,"469.9 mm (18.5 "")",47 cm,16.77 M,1366 x 768 pixels,,Yes,Unspecified,,HD-ready,,302 mm,No,370 mm,50/60 Hz,100 - 240 V,,,0.3 x 0.3 mm,,1 W,19 W,Yes Yes,,5 ms,,1366 x 768,,No,-5 - 15 °,No,100 x 100 mm,1.0,160 °,160 °,Yes,4.08 kg,5.1 kg,438 mm,438 mm,No,Kensington Kensington,1000:1,,,,,,,1.0,,Yes,,,,,Yes Yes,,,,,,,,,,,,,,30 - 80 kHz,,,,,60 - 75 Hz,,,,,,,,,,,,409.8 mm,230.4 mm,,,,,,,2 2,,,4 W 4 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VE228TLB - MediaShopUK,,16:9,,No No,Yes Yes,,"Energy Star®, BSMI, CB, CE, CEL level 2, C-Tick, FCC, Gost-R, ISO-9241-307, TCO5.2, UL/cUL, VCCI, Hygenic",Black Black,80000000:1,,213.93 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",,,1920 x 1080 pixels,,,,Yes,Full HD,Yes,,Yes,364.07 mm,,,,,,,0.5 W,35 W,,,5 ms,,,,,,No,100 x 100 mm,1.0,170 °,160 °,Yes,,4.8 kg,,512.84 mm,,Kensington Kensington,,1,,7 kg,,. .,,1.0,,,,,,,,54.90 mm,308.51 mm,512.84 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 2,,,2 W 2 W,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
