authors,title,venue,year
l liu c pu w tang d buttler j biggs t zhou p benninghoff w han f yu,cq a personalized update monitoring toolkit,sigmod conference,1998.0
h yu a vahdat,efficient numerical error bounding for replicated network services,vldb,2000.0
l fegaras,query unnesting in objectoriented databases,sigmod conference,1998.0
g pardon g alonso,cheetah a lightweight transaction server for plugandplay internet data management,vldb,2000.0
j rao k ross,reusing invariants a new strategy for correlated queries,sigmod conference,1998.0
k yagoub d florescu v issarny p valduriez,caching strategies for dataintensive web sites,vldb,2000.0
l wu c faloutsos k sycara t payne,falcon feedback adaptive loop for contentbased retrieval,vldb,2000.0
s berchtold c bhm h kriegel,the pyramidtechnique towards breaking the curse of dimensionality,sigmod conference,1998.0
b jnsson m franklin d srivastava,interaction of query evaluation and buffer management for information retrieval,sigmod conference,1998.0
s lee t ling h li,hierarchical compact cube for rangemax queries,vldb,2000.0
b yi c faloutsos,fast time sequence indexing for arbitrary lp norms,vldb,2000.0
c li r yerneni v vassalos h garciamolina y papakonstantinou j ullman m valiveti,capability based mediation in tsimmis,sigmod conference,1998.0
j chen l wong l zhang,a protein patent query system powered by kleisli,sigmod conference,1998.0
h lu h liu,decision tables scalable classification exploring rdbms capabilities,vldb,2000.0
r pottinger a levy,a scalable algorithm for answering queries using views,vldb,2000.0
t shintani m kitsuregawa,parallel mining algorithms for generalized association rules with classification hierarchy,sigmod conference,1998.0
s tsur j ullman s abiteboul c clifton r motwani s nestorov a rosenthal,query flocks a generalization of associationrule mining,sigmod conference,1998.0
j goldstein r ramakrishnan,contrast plots and psphere trees space vs time in nearest neighbour searches,vldb,2000.0
m carey s kirsch m roth b linden n adiba m blow d florescu d li i oprencak r panwar r qi d rieber j shafer b sterling t urhan b vickery d wineman k yee,the propel distributed services platform,vldb,2001.0
o zaane j han z li s chee j chiang,multimediaminer a system prototype for multimedia data mining,sigmod conference,1998.0
m toyama,supersql an extended sql for database publishing and presentation,sigmod conference,1998.0
s narayanan s subramanian,tavant system architecture for sellside channel management,vldb,2001.0
m abrol n latarche u mahadevan j mao r mukherjee p raghavan m tourn j wang g zhang,navigating largescale semistructured data in business portals,vldb,2001.0
p baumann a dehmel p furtado r ritsch n widmann,the multidimensional database system rasdaman,sigmod conference,1998.0
a datta k dutta h thomas d vandermeer k ramamritham d fishman,a comparative study of alternative middle tier caching solutions to support dynamic web content acceleration,vldb,2001.0
j park y kwon k kim s lee b park s cha,xmas an extensible mainmemory storage system for highperformance applications,sigmod conference,1998.0
w may,lopix a system for xml data integration and manipulation,vldb,2001.0
w cohen,providing databaselike access to the web using queries based on textual similarity,sigmod conference,1998.0
n anciaux c bobineau l bouganim p pucheral p valduriez,picodbms validation and experience,vldb,2001.0
z lacroix a sahuguet r chandrasekar,useroriented smartcache for the web what you seek is what you get,sigmod conference,1998.0
j catozzi s rabinovici,operating system extensions for the teradata parallel vldb,vldb,2001.0
s chaudhuri v narasayya,microsoft index tuning wizard for sql server 70,sigmod conference,1998.0
b kiepuszewski r mhlberger m orlowska,flowback providing backward recovery for workflow systems,sigmod conference,1998.0
a morishima s koizumi h kitagawa s takano,enabling endusers to construct dataintensive websites from xml repositories an examplebased approach,vldb,2001.0
r baumgartner s flesca g gottlob,supervised wrapper generation with lixto,vldb,2001.0
t griffin r hull,a framework for implementing hypothetical queries,sigmod conference,1997.0
j ambite c knoblock m kolahdouzan m muslea c shahabi s thakkar,the worlinfo assistant spatiotemporal information integration on the web,vldb,2001.0
s brin r motwani j ullman s tsur,dynamic itemset counting and implication rules for market basket data,sigmod conference,1997.0
y zhao p deshpande j naughton,an arraybased algorithm for simultaneous multidimensional aggregates,sigmod conference,1997.0
g sindoni l tininini a ambrosetti c bedeschi s francisci o gargano r molinaro m paolucci p patteri p ticca,sitin a reallife spatiotemporal information system,vldb,2001.0
s acharya m franklin s zdonik,balancing push and pull for data broadcast,sigmod conference,1997.0
h kosch l bszrmnyi a bachlechner c hanin c hofbauer m lang c riedler r tusch,smooth a distributed multimedia database system,vldb,2001.0
m kornacker c mohan j hellerstein,concurrency and recovery in generalized search trees,sigmod conference,1997.0
j pereira f fabret h jacobsen f llirbat d shasha,webfilter a highthroughput xmlbased publish and subscribe system,vldb,2001.0
k yagoub d florescu v issarny p valduriez,building and customizing dataintensive web sites using weave,vldb,2000.0
n roussopoulos y kotidis m roussopoulos,cubetree organization of and bulk updates on the data cube,sigmod conference,1997.0
a zhou h lu s zheng y liang l zhang w ji z tian,vxmlr a visual xmlrelational database system,vldb,2001.0
s ceri p fraternali s paraboschi,the idea web lab,sigmod conference,1998.0
t sthr e rahm,warlock a data allocation tool for parallel warehouses,vldb,2001.0
s berchtold c bhm b braunmller d keim h kriegel,fast parallel similarity search in multimedia databases,sigmod conference,1997.0
y tao d papadias,mv3rtree a spatiotemporal access method for timestamp and interval queries,vldb,2001.0
p spiro,ubiquitous selftuning scalable servers,sigmod conference,1998.0
c yu b ooi k tan h jagadish,indexing the distance an efficient method to knn processing,vldb,2001.0
c eaton,managing large systems with db2 udb,sigmod conference,1998.0
l shou j chionh z huang y ruan k tan,walking through a very large virtual environment in realtime,vldb,2001.0
b reinwald h pirahesh,sql open heterogeneous data access,sigmod conference,1998.0
a labrinidis n roussopoulos,update propagation strategies for improving the quality of data on the web,vldb,2001.0
j blakeley m pizzo,microsoft universal data access platform,sigmod conference,1998.0
,java and relational databases sqlj tutorial,,1998.0
g sathe s sarawagi,intelligent rollups in multidimensional olap data,vldb,2001.0
,sap r3 a database application system tutorial,,1998.0
y cui j widom,lineage tracing for general data warehouse transformations,vldb,2001.0
s bratsberg r humborstad,online scaling in a highly available database,vldb,2001.0
j mylopoulos,panel on next generation database systems wont work without semantics,sigmod conference,1998.0
t anderson y breitbart h korth a wool,replication consistency and practicality are these mutually exclusive,sigmod conference,1998.0
c jensen d lomet,transaction timestamping in temporal databases,vldb,2001.0
g mecca p atzeni a masci p merialdo g sindoni,the araneus webbase management system,sigmod conference,1998.0
l duranti,the longterm preservation of authentic electronic records,vldb,2001.0
b zden e gabber b hillyer w ng e shriver d dewitt b gordon j gray j wilkes,storage service providers a solution for storage management panel,vldb,2001.0
s kennamer,microsoftcom a highscale data management and transaction processing solution,sigmod conference,1998.0
p marrn g lausen,on processing xml in ldap,vldb,2001.0
e lassettre,olympic records for data at the 1998 nagano games,sigmod conference,1998.0
a kemper c wiesner,hyperqueries dynamic distributed query processing on the internet,vldb,2001.0
j chong,real business processing meets the web,sigmod conference,1998.0
a bonifati f casati u dayal m shan,warehousing workflow data challenges and opportunities,vldb,2001.0
r anderson g arun r frank,oracle rdbs record caching model,sigmod conference,1998.0
k ng h liu h kwah,a data mining application customes retention at the port of singapore authority psa,sigmod conference,1998.0
n huyn,scientific olap for the biotech domain,vldb,2001.0
a chan,transactional publish subscribe the proactive multicast of database changes,sigmod conference,1998.0
a bouguettaya a elmagarmid b medjahed m ouzzani,ontologybased support for digital government,vldb,2001.0
m gentili,italian electronic identity card principle and architecture,vldb,2001.0
s ramakrishnan v dayal,the pointcast network,sigmod conference,1998.0
,biodiversity informatics the challenge of rapid development large databases and complex data keynote,,2000.0
r jr w bohrer r brice a cichocki j fowler a helal v kashyap t ksiezyk g martin m nodine m rashid m rusinkiewicz r shea c unnikrishnan a unruh d woelk,infosleuth semantic integration of information in open and dynamic environments experience paper,sigmod conference,1997.0
a netz s chaudhuri j bernhardt u fayyad,integration of data mining with database technology,vldb,2000.0
j hellerstein p haas h wang,online aggregation,sigmod conference,1997.0
m carey d kossmann,on saying enough already in sql,sigmod conference,1997.0
a kemper d kossmann c wiesner,generalised hash teams for join and groupby,vldb,1999.0
m carey,toto were not in kansas anymore on transitioning from research to the real invited industrial talk,vldb,2000.0
l gravano k chang h garciamolina a paepcke,starts stanford proposal for internet metasearching experience paper,sigmod conference,1997.0
e han g karypis v kumar,scalable parallel data mining for association rules,sigmod conference,1997.0
c blecken,media360 workflowimplementing a workflow engine inside a database,vldb,2000.0
a arpacidusseau r arpacidusseau d culler j hellerstein d patterson,highperformance sorting on networks of workstations,sigmod conference,1997.0
f casati m shan,process automation as the foundation for ebusiness,vldb,2000.0
j schnase,research directions in biodiversity informatics,vldb,2000.0
n koudas k sevcik,size separation spatial join,sigmod conference,1997.0
u maheshwari b liskov,partitioned garbage collection of large object store,sigmod conference,1997.0
g bowker,work and information practices in the sciences of biodiversity,vldb,2000.0
m zaharioudakis m carey,highly concurrent cache consistency for indices in clientserver database systems,sigmod conference,1997.0
d liles,the zero latency enterprise,vldb,2000.0
p oneil d quass,improved query performance with variant indexes,sigmod conference,1997.0
m brodie,panel future directions of database research the vldb broadening strategy part 2,vldb,2000.0
a deshpande,linking business to deliver value a data management challenge,vldb,2000.0
i mumick d quass b mumick,maintenance of data cubes and summary tables in a warehouse,sigmod conference,1997.0
c ho r agrawal n megiddo r srikant,range queries in olap data cubes,sigmod conference,1997.0
,highperformance and scalability through application tierinmemory data management,vldb,2000.0
k ramamritham y atfi c batini m eitan v gregg d phatak,social educational and governmental change enabled through information technology,vldb,2000.0
j doppelhammer t hppler a kemper d kossmann,database performance in the real world tpcd and sap r3 experience paper,sigmod conference,1997.0
t tsuei a packer k ko,database buffer size investigation for oltp workloads experience paper,sigmod conference,1997.0
m carey j kiernan j shanmugasundaram e shekita s subramanian,xperanto middleware for publishing objectrelational data as xml documents,vldb,2000.0
b adelberg h garciamolina j widom,the strip rule system for efficiently maintaining derived data,sigmod conference,1997.0
h schek,panel future directions of database research the vldb broadening strategy part 1,vldb,2000.0
p bernstein l haas m jarke e rahm g wiederhold,panel is generic metadata management feasible,vldb,2000.0
m carey d dewitt j naughton m asgarian p brown j gehrke d shah,the bucky objectrelational benchmark experience paper,sigmod conference,1997.0
j pereira f fabret f llirbat r preotiucpietro k ross d shasha,publishsubscribe on the web at extreme speed,vldb,2000.0
r miller y yang,association rules over interval data,sigmod conference,1997.0
s jajodia p samarati v subrahmanian e bertino,a unified framework for enforcing multiple access control policies,sigmod conference,1997.0
c shahabi a faisal f kashani j faruque,insite a tool for interpreting users interaction with a web space,vldb,2000.0
b ludscher a gupta m martone,modelbased information integration in a neuroscience mediator system,vldb,2000.0
r kramer,databases on the web technologies for federation architectures and case studies tutorial,sigmod conference,1997.0
a adi d botzer o etzion t yatzkarhaham,push technology personalization through event correlation,vldb,2000.0
i cruz m averbuch w lucas m radzyminski k zhang,delaunay a database visualization system,sigmod conference,1997.0
s chakrabarti s srivastava m subramanyam m tiwari,memex a browsing assistant for collaborative archiving and mining of surf trails,vldb,2000.0
m livny r ramakrishnan k beyer g chen d donjerkovic s lawande j myllymaki r wenger,devise integrated querying and visual exploration of large datasets demo abstract,sigmod conference,1997.0
d beneventano s bergamaschi s castano a corni r guidetti g malvezzi m melchiori m vincini,information integration the momis project demonstration,vldb,2000.0
j han k koperski n stefanovic,geominer a system prototype for spatial data mining,sigmod conference,1997.0
d rafiei a mendelzon,similaritybased queries for time series data,sigmod conference,1997.0
f caruso m cochinwala u ganapathy g lalk p missier,telcordias database reconciliation and data quality analysis tool,vldb,2000.0
s chawathe h garciamolina,meaningful change detection in structured data,sigmod conference,1997.0
a helal h li,rainbow distributed database system for classroom education and experimental research,vldb,2000.0
m diligenti f coetzee s lawrence c giles m gori,focused crawling using context graphs,vldb,2000.0
s brin r motwani c silverstein,beyond market baskets generalizing association rules to correlations,sigmod conference,1997.0
n rishe j yuan r athauda s chen x lu x ma a vaschillo a shaposhnikov d vasilevsky,semantic access semantic interface for querying databases,vldb,2000.0
f korn h jagadish c faloutsos,efficiently supporting ad hoc queries in large datasets of time sequences,sigmod conference,1997.0
m livny r ramakrishnan k beyer g chen d donjerkovic s lawande j myllymaki r wenger,devise integrated querying and visualization of large datasets,sigmod conference,1997.0
t pedersen c jensen c dyreson,the treescape system reuse of precomputed aggregates over irregular olap hierarchies,vldb,2000.0
j gu t pedersen a shoshani,olap powerful and easytouse federations of olap and object databases,vldb,2000.0
j patel j yu n kabra k tufte b nag j burger n hall k ramasamy r lueder c ellmann j kupsch s guo d dewitt j naughton,building a scaleable geospatial dbms technology implementation and evaluation,sigmod conference,1997.0
m gebhardt m jarke s jacobs,a toolkit for negotiation support interfaces to multidimensional data,sigmod conference,1997.0
w labio j yang y cui h garciamolina j widom,performance issues in incremental warehouse maintenance,vldb,2000.0
m jarke t list j kller,the challenge of process data warehousing,vldb,2000.0
t bozkaya z zsoyoglu,distancebased indexing for highdimensional metric spaces,sigmod conference,1997.0
a hinneburg c aggarwal d keim,what is the nearest neighbor in high dimensional spaces,vldb,2000.0
d agrawal a abbadi a singh t yurek,efficient view maintenance at data warehouses,sigmod conference,1997.0
y sakurai m yoshikawa s uemura h kojima,the atree an index structure for highdimensional spaces using relative approximation,vldb,2000.0
f llirbat f fabret e simon,eliminating costly redundant computations from sql trigger executions,sigmod conference,1997.0
l jiang b salzberg d lomet m garca,the bttree a branched and temporal access method,vldb,2000.0
y ioannidis m livny a ailamaki a narayanan a therber,zoo a desktop emperiment management environment,sigmod conference,1997.0
w cowley d plexousakis,temporal integrity constraints with indeterminacy,vldb,2000.0
d wodtke j weienfels g weikum a dittrich p muth,the mentor workbench for enterprisewide workflow management,sigmod conference,1997.0
u gntzer w balke w kieling,optimizing multifeature queries for image databases,vldb,2000.0
s chakravarthy,sentinel an objectoriented dbms with eventbased rules,sigmod conference,1997.0
h kriegel m ptke t seidl,managing intervals efficiently in objectrelational databases,vldb,2000.0
p seshadri m paskin,predator an ordbms with enhanced data types,sigmod conference,1997.0
j blakeley,data access for the masses through ole db,sigmod conference,1996.0
d pfoser c jensen y theodoridis,novel approaches in query processing for moving object trajectories,vldb,2000.0
b zden r rastogi p shenoy a silberschatz,faulttolerant architectures for continuous media servers,sigmod conference,1996.0
p indyk n koudas s muthukrishnan,identifying representative trends in massive time series data sets using sketches,vldb,2000.0
w oconnell i ieong d schrader c watson g au a biliris s choo p colin g linderman e panagos j wang t walters,a contentbased multimedia server for massively parallel architectures,sigmod conference,1996.0
k ramasamy j patel j naughton r kaushik,set containment joins the good the bad and the ugly,vldb,2000.0
d simmen e shekita t malkemus,fundamental techniques for order optimization,sigmod conference,1996.0
s manegold p boncz m kersten,what happens during a join dissecting cpu and memory optimization effects,vldb,2000.0
a tomasic r amouroux p bonnet o kapitskaia h naacke l raschid,the distributed information search component disco and the world wide web,sigmod conference,1997.0
s ameryahia t johnson,optimizing queries on compressed bitmaps,vldb,2000.0
y diao h lu s chen z tian,toward learning based web query processing,vldb,2000.0
r jr w bohrer r brice a cichocki j fowler a helal v kashyap t ksiezyk g martin m nodine m rashid m rusinkiewicz r shea c unnikrishnan a unruh d woelk,the infosleuth project,sigmod conference,1997.0
s sarawagi,useradaptive exploration of multidimensional data,vldb,2000.0
m genesereth a keller o duschka,infomaster an information integration system,sigmod conference,1997.0
j srinivasan s das c freiwald e chong m jagannath a yalamanchi r krishnan a tran s defazio j banerjee,oracle8i indexorganized table and its application to new domains,vldb,2000.0
f gingras l lakshmanan i subramanian d papoulis n shiri,languages for multidatabase interoperability,sigmod conference,1997.0
s berchtold h kriegel,s3 similarity search in cad database systems,sigmod conference,1997.0
t sthr h mrtens e rahm,multidimensional database allocation for parallel data warehouses,vldb,2000.0
j wang d shasha g chang l relihan k zhang g patel,structural matching and discovery in document databases,sigmod conference,1997.0
f ramsak v markl r fenk m zirkel k elhardt r bayer,integrating the ubtree into a database system kernel,vldb,2000.0
s ceri r cochrane j widom,practical applications of triggers and constraints success and lingering issues 10year award,vldb,2000.0
w labio y zhuge j wiener h gupta h garciamolina j widom,the whips prototype for data warehouse creation and maintenance,sigmod conference,1997.0
a mendelzon a vaisman,temporal queries in olap,vldb,2000.0
m fernandez d florescu j kang a levy d suciu,strudel a website management system,sigmod conference,1997.0
j cho h garciamolina,the evolution of the web and implications for an incremental crawler,vldb,2000.0
s chaudhuri,query optimization at the crossroads panel,sigmod conference,1997.0
a balmin t papadimitriou y papakonstantinou,hypothetical queries in an olap environment,vldb,2000.0
n goyal c hoch r krishnamurthy b meckler m suckow m zloof,picture programming project,sigmod conference,1997.0
,objectrelational database systems principles products and challenges tutorial,,1997.0
h wang c zaniolo,using sql to build new aggregates and extenders for object relational systems,vldb,2000.0
,data warehousing and olap for decision support tutorial,,1997.0
v ganti m lee r ramakrishnan,icicles selftuning samples for approximate query answering,vldb,2000.0
c olston j widom,offering a precisionperformance tradeoff for aggregation queries over replicated data,vldb,2000.0
p atzeni r torlone,mdm a multipledatamodel tool for the management of heterogeneous database schemes,sigmod conference,1997.0
j hammer h garciamolina s nestorov r yerneni m breunig v vassalos,templatebased wrappers in the tsimmis system,sigmod conference,1997.0
s grumbach p rigaux l segoufin,manipulating interpolated data is easier than you thought,vldb,2000.0
r miller l haas m hernndez,schema mapping as query discovery,vldb,2000.0
w li k candan k hirata y hara,semcog an objectbased image retrieval system and its visual query interface,sigmod conference,1997.0
s bressan c goh k fynn m jakobisiak k hussein h kon t lee s madnick t pena j qu a shum m siegel,the context interchange mediator prototype,sigmod conference,1997.0
k chakrabarti s mehrotra,local dimensionality reduction a new approach to indexing high dimensional spaces,vldb,2000.0
d quass j widom,online warehouse view maintenance,sigmod conference,1997.0
t johnson l lakshmanan r ng,the 3w model and algebra for unified data mining,vldb,2000.0
k wang y he j han,mining frequent itemsets using support constraints,vldb,2000.0
l colby a kawaguchi d lieuwen i mumick k ross,supporting multiple view maintenance policies,sigmod conference,1997.0
s chaudhuri g weikum,rethinking database system architecture towards a selftuning riscstyle database system,vldb,2000.0
n katayama s satoh,the srtree an index structure for highdimensional nearest neighbor queries,sigmod conference,1997.0
n shivakumar h garciamolina,waveindices indexing evolving databases,sigmod conference,1997.0
c bobineau l bouganim p pucheral p valduriez,picodmbs scaling down database techniques for the smartcard,vldb,2000.0
r taylor,concurrency in the data warehouse,vldb,2000.0
r gupta j haritsa k ramamritham,revisiting commit processing in distributed database systems,sigmod conference,1997.0
,ordering information conference organizers program committees additional reviewers additional demonstrations reviewers sponsors vldb endowment preface foreword,,2000.0
,lessons from wall street case studies in configuration tuning and distribution tutorial,,1997.0
i motakis c zaniolo,temporal aggregation in active database rules,sigmod conference,1997.0
e schaefer j becker a boehmer m jarke,controlling data warehouses with knowledge networks,vldb,2000.0
s ramaswamy,epiphany epicenter technology overview,vldb,2000.0
b george j haritsa,secure transaction processing in firm realtime database systems,sigmod conference,1997.0
l lakshmanan f sadri s subramanian,on efficiently implementing schemasql on an sql database system,vldb,1999.0
j gray p helland p oneil d shasha,the dangers of replication and a solution,sigmod conference,1996.0
m franklin b jnsson d kossmann,performance tradeoffs for clientserver query processing,sigmod conference,1996.0
a deutsch l popa v tannen,physical data independence constraints and optimization with universal plans,vldb,1999.0
m jaedicke b mitschang,userdefined table operators enhancing extensibility for ordbms,vldb,1999.0
b hillyer a silberschatz,random io scheduling in online tertiary storage systems,sigmod conference,1996.0
k mogi m kitsuregawa,hot mirroring a study to hide parity upgrade penalty and degradations during rebuilds for raid5,sigmod conference,1996.0
s lee t ling,unrolling cycles to decide trigger termination,vldb,1999.0
c zou b salzberg,online reorganization of sparselypopulated btrees,sigmod conference,1996.0
a gionis p indyk r motwani,similarity search in high dimensions via hashing,vldb,1999.0
a hinneburg d keim,optimal gridclustering towards breaking the curse of dimensionality in highdimensional clustering,vldb,1999.0
t zhang r ramakrishnan m livny,birch an efficient data clustering method for very large databases,sigmod conference,1996.0
m carey d chamberlin s narayanan b vance d doole s rielau r swagerman n mattos,oo what have they done to db2,vldb,1999.0
s adali k candan y papakonstantinou v subrahmanian,query caching and optimization in distributed mediator systems,sigmod conference,1996.0
k achyutuni e omiecinski s navathe,two techniques for online index modification in shared nothing parallel databases,sigmod conference,1996.0
h jagadish l lakshmanan d srivastava,what can hierarchies do for data warehouses,vldb,1999.0
j shanmugasundaram k tufte c zhang g he d dewitt j naughton,relational databases for querying xml documents limitations and opportunities,vldb,1999.0
b vance d maier,rapid bushy joinorder optimization with cartesian products,sigmod conference,1996.0
t johnson,performance measurements of compressed bitmap indices,vldb,1999.0
o objectivity,objectivity industrial exhibit,vldb,1998.0
p selfridge d srivastava l wilson,idea interactive data exploration and analysis,sigmod conference,1996.0
s chaudhuri l gravano,optimizing queries over multimedia repositories,sigmod conference,1996.0
l haas d kossmann i ursu,loading a cache with query results,vldb,1999.0
j mchugh j widom,query optimization for xml,vldb,1999.0
p goel b iyer,sql query optimization reordering for a general class of queries,sigmod conference,1996.0
d donjerkovic r ramakrishnan,probabilistic optimization of top n queries,vldb,1999.0
a biliris t funkhouser w oconnell e panagos,bess storage support for interactive visualization systems,sigmod conference,1996.0
h jagadish o kapitskaia r ng d srivastava,multidimensional substring selectivity estimation,vldb,1999.0
p hung h yeung k karlapalem,capbasedams a capabilitybased and eventdriven activity management system,sigmod conference,1996.0
f naumann u leser j freytag,qualitydriven integration of heterogenous information systems,vldb,1999.0
t fukuda y morimoto s morishita t tokuyama,data mining using twodimensional optimized accociation rules scheme algorithms and visualization,sigmod conference,1996.0
r srikant r agrawal,mining quantitative association rules in large relational tables,sigmod conference,1996.0
v josifovski t risch,integrating heterogenous overlapping databases through objectoriented transformations,vldb,1999.0
m brodie s chaudhuri,issues in network management in the next millennium,vldb,1999.0
d keim,databases and visualization,sigmod conference,1996.0
j hamilton,networked data management design points,vldb,1999.0
j han,data mining techniques,sigmod conference,1996.0
m lefler m stokrp c wong,dbsim a simulation tool for predicting database performance,sigmod conference,1996.0
c pound,in cyber space no one can hear you scream,vldb,1999.0
j han y fu w wang j chiang o zaane k koperski,dbminer interactive mining of multiplelevel knowledge in relational databases,sigmod conference,1996.0
m garofalakis r rastogi k shim,spirit sequential pattern mining with regular expression constraints,vldb,1999.0
r hull g zhou,a framework for supporting data integration using the materialized and virtual approaches,sigmod conference,1996.0
a blum,microsoft english query 75 automatic extraction of semantics from relational databases and olap cubes,vldb,1999.0
s chawathe a rajaraman h garciamolina j widom,change detection in hierarchically structured information,sigmod conference,1996.0
d campbell,the new locking logging and recovery architecture of microsoft sql server 70,vldb,1999.0
g graefe,the value of mergejoin and hashjoin in sql server,vldb,1999.0
p buneman s davidson g hillebrand d suciu,a query language and optimization techniques for unstructured data,sigmod conference,1996.0
j darmont m schneider,voodb a generic discreteevent random simulation model to evaluate the performances of oodbs,vldb,1999.0
t nguyen v srinivasan,accessing relational databases from the world wide web,sigmod conference,1996.0
k brown m carey m livny,goaloriented buffer management revisited,sigmod conference,1996.0
a sahuguet f azavant,building lightweight wrappers for legacy web datasources using w4f,vldb,1999.0
s acharya p gibbons v poosala,aqua a fast decision support systems using approximate query answers,vldb,1999.0
v christophides s cluet g moerkotte,evaluating queries with generalized path expressions,sigmod conference,1996.0
c mohan,repeating history beyond aries,vldb,1999.0
p seshadri j hellerstein h pirahesh t leung r ramakrishnan d srivastava p stuckey s sudarshan,costbased optimization for magic algebra and implementation,sigmod conference,1996.0
k tan c goh b ooi,online feedback for nested aggregate queries with multithreading,vldb,1999.0
l colby t griffin l libkin i mumick h trickey,algorithms for deferred view maintenance,sigmod conference,1996.0
k nrvg,the persistent cache improving oid indexing in temporal objectoriented database systems,vldb,1999.0
l libkin r machlin l wong,a query language for multidimensional arrays design implementation and optimization techniques,sigmod conference,1996.0
h jagadish n koudas s muthukrishnan,mining deviants in a time series database,vldb,1999.0
r agarwal,a super scalar sort algorithm for risc processors,sigmod conference,1996.0
y ioannidis v poosala,histogrambased approximation of setvalued queryanswers,vldb,1999.0
s ganguly p gibbons y matias a silberschatz,bifocal sampling for skewresistant join size estimation,sigmod conference,1996.0
h jagadish j madar r ng,semantic compression and pattern extraction with fascicles,vldb,1999.0
p krishnan j vitter b iyer,estimating alphanumeric selectivity in the presence of wildcards,sigmod conference,1996.0
a shatdal j naughton,adaptive parallel aggregation algorithms,sigmod conference,1995.0
t pedersen c jensen c dyreson,extending practical preaggregation in online analytical processing,vldb,1999.0
j li d rotem j srivastava,aggregation algorithms for very large compressed data warehouses,vldb,1999.0
m freeston,a general solution of the ndimensional btree problem,sigmod conference,1995.0
r kumar p raghavan s rajagopalan a tomkins,extracting largescale knowledge bases from the web,vldb,1999.0
a adya r gruber b liskov u maheshwari,efficient optimistic concurrency control using loosely synchronized clocks,sigmod conference,1995.0
s ceri p fraternali s paraboschi,datadriven onetoone web site generation for dataintensive applications,vldb,1999.0
h berenson p bernstein j gray j melton e oneil p oneil,a critique of ansi sql isolation levels,sigmod conference,1995.0
m roth m arya l haas m carey w cody r fagin p schwarz j ii e wimmers,the garlic project,sigmod conference,1996.0
a datta k ramamritham h thomas,curio a novel solution for efficient storage and indexing in data warehouses,vldb,1999.0
t zurek m sinnwell,datawarehousing has more colours than just black white,vldb,1999.0
e rundensteiner h kuno y ra v crestanataube m jones p marrn,the multiview project objectoriented view technology and applications,sigmod conference,1996.0
t fukuda y morimoto s morishita t tokuyama,sonar system for optimized numeric associationrules,sigmod conference,1996.0
m kornacker,highperformance extensible indexing,vldb,1999.0
a dogac u halici e kilic g zhan f ozcan s nural c dengi s mancuhan i arpinar p koksal c evrendilek,metu interoperable database system,sigmod conference,1996.0
c chan y ioannidis,hierarchical prefix cubes for rangesum queries,vldb,1999.0
s choo w oconnell g linderman h chen k ganapathi a biliris e panagos d schrader,prospector a contentbased multimedia server for massively parallel architectures,sigmod conference,1996.0
a knig g weikum,combining histograms and parametric curve fitting for feedbackdriven query resultsize estimation,vldb,1999.0
d quass j widom r goldman k haas q luo j mchugh s nestorov a rajaraman h rivero s abiteboul j ullman j wiener,lore a lightweight object repository for semistructured data,sigmod conference,1996.0
s chaudhuri l gravano,evaluating topk selection queries,vldb,1999.0
k bhm k aberer,hyperstorm administering structured documents using objectoriented database technology,sigmod conference,1996.0
s chakrabarti m berg b dom,distributed hypertext resource discovery through examples,vldb,1999.0
p piatko r yangarber d lin d shasha,thinksheet a tool for tailoring complex documents,sigmod conference,1996.0
k wang s zhou s liew,building hierarchical classifiers using class proximity,vldb,1999.0
f cario w oconnell j burgess j saltz,active storage hierarchy database systems and applications socratic exegesis,vldb,1999.0
,state of the art in workflow management research and products,,1996.0
,repository system engineering,,1996.0
m roth f ozcan l haas,cost models do matter providing cost information for diverse data sources in a federated system,vldb,1999.0
u nink t hrder n ritter,generating calllevel interfaces for advanced database application programming,vldb,1999.0
,the ins and outs and everthing in between of data warehousing,,1996.0
w chen j chow y fuh j grandbois m jou n mattos b tran y wang,high level indexing of userdefined types,vldb,1999.0
n goyal c hoch r krishnamurthy b meckler m suckow,is gui programming a database research problem,sigmod conference,1996.0
k ross d srivastava s sudarshan,materialized view maintenance and integrity constraint checking trading space for time,sigmod conference,1996.0
e knorr r ng,finding intensional knowledge of distancebased outliers,vldb,1999.0
c jermaine a datta e omiecinski,a novel index supporting high volume data warehouse insertion,vldb,1999.0
c morpain m cart j ferri j pons,maintaining database consistency in presence of value dependencies in multidatabase systems,sigmod conference,1996.0
m cherniack s zdonik,rule languages and internal algebras for rulebased optimizers,sigmod conference,1996.0
m tamura m kitsuregawa,dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems,vldb,1999.0
r bamford r ahad a pruscino,a scalable and highly available networked database architecture,vldb,1999.0
j hellerstein j naughton,query execution techniques for caching expensive methods,sigmod conference,1996.0
j cook a klauser a wolf b zorn,semiautomatic selfadaptive control of garbage collection rates in object databases,sigmod conference,1996.0
p bernstein s pal d shutt,contextbased prefetch for implementing objects on relations,vldb,1999.0
m mcauliffe m carey m solomon,towards effective and efficient free space management,sigmod conference,1996.0
c goh b ooi d sim k tan,ghost fine granularity buffering of indexes,vldb,1999.0
a ailamaki d dewitt m hill d wood,dbmss on a modern processor where does time go,vldb,1999.0
k tajima,static detection of security flaws in objectoriented databases,sigmod conference,1996.0
c dyreson m bhlen c jensen,capturing and querying multiple aspects of semistructured data,vldb,1999.0
