author_1,author_2,author_3,author_4,title,venue,year
gholamhosein sheikholeslami,surojit chatterjee,aidong zhang,,wavecluster a waveletbased clustering approach for spatial data in very large databases,the vldb journal mdash the international journal on very large data bases,2000.0
peter muth,patrick oneil,achim pick,gerhard weikum,the lham logstructured history data access method,the vldb journal mdash the international journal on very large data bases,2000.0
binto george,jayant r haritsa,,,secure buffering in firm realtime database systems,the vldb journal mdash the international journal on very large data bases,2000.0
edwin m knorr,raymond t ng,vladimir tucakov,,distancebased outliers algorithms and applications,the vldb journal mdash the international journal on very large data bases,2000.0
david gibson,jon kleinberg,prabhakar raghavan,,clustering categorical data an approach based on dynamical systems,the vldb journal mdash the international journal on very large data bases,2000.0
zachary g ives,a y halevy,d s weld,,an xml query engine for networkbound data,the vldb journal mdash the international journal on very large data bases,2002.0
cy chan,p felber,m garofalakis,r rastogi,efficient filtering of xml documents with xpath expressions,the vldb journal mdash the international journal on very large data bases,2002.0
r braumandl,j claussen,a kemper,d kossmann,functionaljoin processing,the vldb journal mdash the international journal on very large data bases,2000.0
o shmueli,j widom,,,foreword by the vldb 98 pc chairmen,the vldb journal mdash the international journal on very large data bases,2000.0
h v jagadish,s alkhalifa,a chapman,l v s lakshmanan,timber a native xml database,the vldb journal mdash the international journal on very large data bases,2002.0
t fiebig,s helmer,cc kanne,g moerkotte,anatomy of a native xml base management system,the vldb journal mdash the international journal on very large data bases,2002.0
s ameryahia,s cho,l v s lakshmanan,d srivastava,tree pattern query minimization,the vldb journal mdash the international journal on very large data bases,2002.0
sy chien,v j tsotras,c zaniolo,,efficient schemes for managing multiversionxml documents,the vldb journal mdash the international journal on very large data bases,2002.0
domenico beneventano,sonia bergamaschi,claudio sartori,,description logics for semantic query optimization in objectoriented database systems,acm transactions on database systems tods,2003.0
richard m karp,scott shenker,christos h papadimitriou,,a simple algorithm for finding frequent elements in streams and bags,acm transactions on database systems tods,2003.0
sergey melnik,hector garciamolina,,,adaptive algorithms for set containment joins,acm transactions on database systems tods,2003.0
alon y halevy,,,,guest editorial,the vldb journal mdash the international journal on very large data bases,2002.0
christophe bobineau,luc bouganim,philippe pucheral,patrick valduriez,picodmbs scaling down database techniques for the smartcard,very large data bases,2000.0
nicolas anciaux,christophe bobineau,luc bouganim,philippe pucheral,picodbms validation and experience,very large data bases,2001.0
dimitris margaritis,christos faloutsos,sebastian thrun,,netcube a scalable tool for fast data mining and compression,very large data bases,2001.0
david w adler,,,,db2 spatial extender spatial data within the rdbms,very large data bases,2001.0
kjetil n248rv229g,,,,the persistent cache improving oid indexing in temporal objectoriented database systems,very large data bases,1999.0
haifeng yu,amin vahdat,,,efficient numerical error bounding for replicated network services,very large data bases,2000.0
soumen chakrabarti,sandeep srivastava,mallela subramanyam,mitul tiwari,memex a browsing assistant for collaborative archiving and mining of surf trails,very large data bases,2000.0
khaled yagoub,daniela florescu,val233rie issarny,patrick valduriez,building and customizing dataintensive web sites using weave,very large data bases,2000.0
stefan de223loch,theo h228rder,nelson mattos,bernhard mitschang,advanced data processing in krisys modeling concept implementation technique and clientserver issues,the vldb journal mdash the international journal on very large data bases,1998.0
naci s ishakbeyoglu,z meral ozsoyoglu,,,maintenance of implication integrity constraints under updates to constraints,the vldb journal mdash the international journal on very large data bases,1998.0
peter scheuermann,gerhard weikum,peter zabback,,data partitioning and load balancing in parallel disk systems,the vldb journal mdash the international journal on very large data bases,1998.0
ashish mehta,james geller,yehoshua perl,erich neuhold,the oodb pathmethod generator pmg using access weights and precomputed access relevance,the vldb journal mdash the international journal on very large data bases,1998.0
eric n hanson,icheng chen,roxana dastur,kurt engel,a flexible and recoverable clientserver database event notification system,the vldb journal mdash the international journal on very large data bases,1998.0
jia liang han,,,,optimizing relational queries in connection hypergraphs nested querie view and binding propagations,the vldb journal mdash the international journal on very large data bases,1998.0
navin kabra,david j dewitt,,,opt an objectoriented implementation for extensible database query optimization,the vldb journal mdash the international journal on very large data bases,1999.0
yuehmin huang,jenwen ding,shiaoli tsao,,constant time permutation an efficient block allocation strategy for variablebitrate continuous media data,the vldb journal mdash the international journal on very large data bases,1999.0
theo h228rder,g252nter sauter,joachim thomas,,the intrinsic problems of structural heterogeneity and an approach to their solution,the vldb journal mdash the international journal on very large data bases,1999.0
zhe li,kenneth a ross,,,fast joins using join indices,the vldb journal mdash the international journal on very large data bases,1999.0
kelvin k w law,john c s lui,leana golubchik,,efficient support for interactive service in multiresolution vod systems,the vldb journal mdash the international journal on very large data bases,1999.0
goksel aslan,dennis mcleod,,,semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution,the vldb journal mdash the international journal on very large data bases,1999.0
peter a boncz,martin l kersten,,,mil primitives for querying a fragmented world,the vldb journal mdash the international journal on very large data bases,1999.0
natalija krivokapi263,alfons kemper,ehud gudes,,deadlock detection in distributed database systems a new algorithm and a comparative performance analysis,the vldb journal mdash the international journal on very large data bases,1999.0
changzhou wang,x sean wang,,,indexing very highdimensional sparse and quasisparse vectors for similarity searches,the vldb journal mdash the international journal on very large data bases,2001.0
chiang lee,chisheng shih,yawhuei chen,,a graphtheoretic model for optimizing queries involving methods,the vldb journal mdash the international journal on very large data bases,2001.0
carlo combi,giuseppe pozzi,,,hmap a temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,the vldb journal mdash the international journal on very large data bases,2001.0
wensyan li,ksel231uk candan,kyoji hirata,yoshinori hara,supporting efficient multimedia database exploration,the vldb journal mdash the international journal on very large data bases,2001.0
kianlee tan,cheng hian goh,beng chin ooi,,progressive evaluation of nested aggregate queries,the vldb journal mdash the international journal on very large data bases,2000.0
anne h h ngu,quan z sheng,du q huynh,ron lei,combining multivisual features for efficient indexing in a large image database,the vldb journal mdash the international journal on very large data bases,2001.0
stefan manegold,peter a boncz,martin l kersten,,optimizing database architecture for the new bottleneck memory access,the vldb journal mdash the international journal on very large data bases,2000.0
vijayshankar raman,bhaskaran raman,joseph m hellerstein,,online dynamic reordering,the vldb journal mdash the international journal on very large data bases,2000.0
j claussen,a kemper,d kossmann,c wiesner,exploiting early sorting and early partitioning for decision support query processing,the vldb journal mdash the international journal on very large data bases,2000.0
h v jagadish,olga kapitskaia,raymond t ng,divesh srivastava,onedimensional and multidimensional substring selectivity estimation,the vldb journal mdash the international journal on very large data bases,2000.0
malcolm p atkinson,,,,guest editorial,the vldb journal mdash the international journal on very large data bases,2000.0
philip a bernstein,shankar pal,david shutt,,contextbased prefetch an optimization for implementing objects on relations,the vldb journal mdash the international journal on very large data bases,2000.0
k sel231uk candan,eric lemar,v s subrahmanian,,view management in multimedia databases,the vldb journal mdash the international journal on very large data bases,2000.0
ada waichee fu,polly meishuen chan,yinling cheung,yiu sang moon,dynamic vptree indexing for nnearest neighbor search given pairwise distances,the vldb journal mdash the international journal on very large data bases,2000.0
peter buneman,mary fernandez,dan suciu,,unql a query language and algebra for semistructured data based on structural recursion,the vldb journal mdash the international journal on very large data bases,2000.0
i mirbel,b pernici,t sellis,s tserkezoglou,checking the temporal integrity of interactive multimedia documents,the vldb journal mdash the international journal on very large data bases,2000.0
mary fern225ndez,daniela florescu,alon levy,dan suciu,declarative specification of web sites with s,the vldb journal mdash the international journal on very large data bases,2000.0
bettina berendt,myra spiliopoulou,,,analysis of navigation behaviour in web sites integrating multiple information systems,the vldb journal mdash the international journal on very large data bases,2000.0
guozhu dong,jiawei han,joyce m w lam,jian pei,mining multidimensional constrained gradients in data cubes,very large data bases,2001.0
rakesh agrawal,amit somani,yirong xu,,storage and querying of ecommerce data,very large data bases,2001.0
anna c gilbert,yannis kotidis,s muthukrishnan,martin strauss,surfing wavelets on streams onepass summaries for approximate aggregate queries,very large data bases,2001.0
demet aksoy,michael j franklin,stanley b zdonik,,data staging for ondemand broadcast,very large data bases,2001.0
mitch cherniack,michael j franklin,stanley b zdonik,,data management for pervasive computing,very large data bases,2001.0
henk ernst blok,menzo windhouwer,roelof van zwol,milan petkovic,flexible and scalable digital library search,very large data bases,2001.0
cui yu,beng chin ooi,kianlee tan,h v jagadish,indexing the distance an efficient method to knn processing,very large data bases,2001.0
shu lin,m tamer 214zsu,vincent oria,raymond t ng,an extendible hash for multiprecision similarity querying of image databases,very large data bases,2001.0
william oconnell,andrew witkowski,goetz graefe,,collaborative analytical processing dream or reality panel abstract,very large data bases,2001.0
yannis kotidis,,,,a data warehousing architecture for enabling service provisioning process,very large data bases,2001.0
craig j bunker,latha s colby,richard l cole,william j mckenna,aggregate maintenance for data warehousing in informix red brick vista,very large data bases,2001.0
stephen dill,ravi kumar,kevin s mccurley,sridhar rajagopalan,selfsimilarity in the web,very large data bases,2001.0
robert baumgartner,sergio flesca,georg gottlob,,supervised wrapper generation with lixto,very large data bases,2001.0
tolga urhan,michael j franklin,,,dynamic pipeline scheduling for improving interactive query performance,very large data bases,2001.0
atsuyuki morishima,seiichi koizumi,hiroyuki kitagawa,satoshi takano,enabling endusers to construct dataintensive websites from xml repositories an examplebased approach,very large data bases,2001.0
jos233 luis ambite,craig a knoblock,mohammad r kolahdouzan,maria muslea,the worlinfo assistant spatiotemporal information integration on the web,very large data bases,2001.0
sophie cluet,pierangelo veltri,dan vodislav,,views in a large scale xml repository,very large data bases,2001.0
m w bright,a r hurson,s pakzad,,automated resolution of semantic heterogeneity in multidatabases,acm transactions on database systems tods,1994.0
beverly yang,hector garciamolina,,,comparing hybrid peertopeer systems,very large data bases,2001.0
edward sciore,michael siegel,arnon rosenthal,,using semantic values to facilitate interoperability among heterogeneous information systems,acm transactions on database systems tods,1994.0
daniela grigori,fabio casati,umeshwar dayal,mingchien shan,improving business process quality through exception understandin predictio and prevention,very large data bases,2001.0
james clifford,albert croker,alexander tuzhilin,,on completeness of historical relational query languages,acm transactions on database systems tods,1994.0
jayant madhavan,philip a bernstein,erhard rahm,,generic schema matching with cupid,very large data bases,2001.0
arnon rosenthal,david reiner,,,tools and transformationsrigorous and otherwisefor practical database design,acm transactions on database systems tods,1994.0
jochen van den bercken,bernhard seeger,,,an evaluation of generic bulk loading techniques,very large data bases,2001.0
michael stonebraker,,,,in memory of bob kooi 19511993,acm sigmod record,1994.0
klemens b246hm,michael mlivoncic,hansj246rg schek,roger weber,fast evaluation techniques for complex similarity queries,very large data bases,2001.0
won kim,,,,observations on the odmg93 proposal for an objectoriented database language,acm sigmod record,1994.0
robert baumgartner,sergio flesca,georg gottlob,,visual web information extraction with lixto,very large data bases,2001.0
v s subrahmanian,,,,amalgamating knowledge bases,acm transactions on database systems tods,1994.0
jo227o pereira,fran231oise fabret,hansarno jacobsen,fran231ois llirbat,webfilter a highthroughput xmlbased publish and subscribe system,very large data bases,2001.0
tak w yan,h233ctor garc237amolina,,,index structures for selective dissemination of information under the boolean model,acm transactions on database systems tods,1994.0
athman bouguettaya,ahmed k elmagarmid,brahim medjahed,m ouzzani,ontologybased support for digital government,very large data bases,2001.0
brian cooper,neal sample,michael j franklin,gisli r hjaltason,a fast index for semistructured data,very large data bases,2001.0
michael j carey,steve kirsch,mary roth,bert van der linden,the propel distributed services platform,very large data bases,2001.0
luis gravano,panagiotis g ipeirotis,h v jagadish,nick koudas,approximate string joins in a database almost for free,very large data bases,2001.0
am233lie marian,serge abiteboul,gregory cobena,laurent mignet,changecentric management of versions in an xml warehouse,very large data bases,2001.0
martin s olivier,sebastiaan h von solms,,,a taxonomy for secure objectoriented databases,acm transactions on database systems tods,1994.0
aoying zhou,hongjun lu,shihui zheng,yuqi liang,vxmlr a visual xmlrelational database system,very large data bases,2001.0
patrick tendick,norman matloff,,,a modified random perturbation method for database security,acm transactions on database systems tods,1994.0
jayavel shanmugasundaram,jerry kiernan,eugene j shekita,catalina fan,querying xml views of relational data,very large data bases,2001.0
alfons kemper,christian wiesner,,,hyperqueries dynamic distributed query processing on the internet,very large data bases,2001.0
kenneth salem,h233ctor garc237amolina,jeannie shands,,altruistic locking,acm transactions on database systems tods,1994.0
thomas st246hr,erhard rahm,,,warlock a data allocation tool for parallel warehouses,very large data bases,2001.0
ioana stanoi,mirek riedewald,divyakant agrawal,amr el abbadi,discovery of influence sets in frequently updated databases,very large data bases,2001.0
john catozzi,sorana rabinovici,,,operating system extensions for the teradata parallel vldb,very large data bases,2001.0
leonidas fegaras,ramez elmasri,,,query engines for webaccessible xml data,very large data bases,2001.0
angela bonifati,fabio casati,umeshwar dayal,mingchien shan,warehousing workflow data challenges and opportunities,very large data bases,2001.0
umeshwar dayal,meichun hsu,rivka ladin,,business process coordination state of the ar trend and open issues,very large data bases,2001.0
amihood amir,reuven kashi,nathan s netanyahu,,analyzing quantitative databases image is everything,very large data bases,2001.0
srinivasa narayanan,subbu n subramanian,,,tavant system architecture for sellside channel management,very large data bases,2001.0
kianlee tan,pinkwang eng,beng chin ooi,,efficient progressive skyline computation,very large data bases,2001.0
rada chirkova,alon y halevy,dan suciu,,a formal perspective on the view selection problem,very large data bases,2001.0
svein erik bratsberg,rune humborstad,,,online scaling in a highly available database,very large data bases,2001.0
seokju chun,chinwan chung,juhong lee,seoklyong lee,dynamic update cube for rangesum queries,very large data bases,2001.0
rie sawai,masahiko tsukamoto,yinhuei loh,tsutomu terada,functional properties of information filtering,very large data bases,2001.0
michael stillger,guy m lohman,volker markl,mokhtar kandil,leo db2s learning optimizer,very large data bases,2001.0
banu 214zden,eran gabber,bruce hillyer,wee teck ng,storage service providers a solution for storage management panel,very large data bases,2001.0
phillip b gibbons,,,,distinct sampling for highlyaccurate answers to distinct values queries and event reports,very large data bases,2001.0
shalom tsur,serge abiteboul,rakesh agrawal,umeshwar dayal,are web services the next revolution in ecommerce panel,very large data bases,2001.0
harald kosch,l225szl243 b246sz246rm233nyi,alexander bachlechner,christian hanin,smooth a distributed multimedia database system,very large data bases,2001.0
man abrol,neil latarche,uma mahadevan,jianchang mao,navigating largescale semistructured data in business portals,very large data bases,2001.0
minos n garofalakis,phillip b gibbon,,,approximate query processing taming the terabytes,very large data bases,2001.0
mihnea andrei,patrick valduriez,,,useroptimizer communication using abstract plans in sybase ase,very large data bases,2001.0
alexandros nanopoulos,yannis theodoridis,yannis manolopoulos,,c2p clustering based on closest pairs,very large data bases,2001.0
c mohan,,,,caching technologies for web applications,very large data bases,2001.0
seema sundara,ying hu,timothy chorma,nipun agarwal,developing an indexing scheme for xml document collection using the oracle8i extensibility framework,very large data bases,2001.0
alexandros labrinidis,nick roussopoulos,,,update propagation strategies for improving the quality of data on the web,very large data bases,2001.0
yufei tao,dimitris papadias,,,mv3rtree a spatiotemporal access method for timestamp and interval queries,very large data bases,2001.0
anindya datta,kaushik dutta,helen m thomas,debra e vandermeer,a comparative study of alternative middle tier caching solutions to support dynamic web content acceleration,very large data bases,2001.0
apostol natsev,yuanchi chang,john r smith,chungsheng li,supporting incremental join queries on ranked inputs,very large data bases,2001.0
gayatri sathe,sunita sarawagi,,,intelligent rollups in multidimensional olap data,very large data bases,2001.0
anastassia ailamaki,david j dewitt,mark d hill,marios skounakis,weaving relations for cache performance,very large data bases,2001.0
ioana manolescu,daniela florescu,donald kossmann,,answering xml queries on heterogeneous data sources,very large data bases,2001.0
oded shmueli,,,,architectures for internal web services deployment,very large data bases,2001.0
guy pardon,gustavo alonso,,,cheetah a lightweight transaction server for plugandplay internet data management,very large data bases,2000.0
richard taylor,,,,concurrency in the data warehouse,very large data bases,2000.0
c mohan,ron barber,s watts,a somani,evolution of groupware for business applications a database perspective on lotus dominonotes,very large data bases,2000.0
meridith a lane,james l edwards,ebbe nielsen,,biodiversity informatics the challenge of rapid developmen large database and complex data keynote,very large data bases,2000.0
bettina kemme,gustavo alonso,,,dont be laz be consistent postgres a new way to implement database replication,very large data bases,2000.0
michelangelo diligenti,frans coetzee,steve lawrence,c lee giles,focused crawling using context graphs,very large data bases,2000.0
sveinolaf hvasshovd,svein erik bratsberg,216ystein torbj248rnsen,,an ultra highly available dbms,very large data bases,2000.0
kaushik chakrabarti,sharad mehrotra,,,local dimensionality reduction a new approach to indexing high dimensional spaces,very large data bases,2000.0
sin yeung lee,tok wang ling,huagang li,,hierarchical compact cube for rangemax queries,very large data bases,2000.0
philip a bernstein,laura m haas,matthias jarke,erhard rahm,panel is generic metadata management feasible,very large data bases,2000.0
anand deshpande,,,,linking business to deliver value a data management challenge,very large data bases,2000.0
julie basu,jos233 alberto fern225ndez,olga peschansky,,building scalable internet applications with oracle8i server,very large data bases,2000.0
bertram lud228scher,amarnath gupta,maryann e martone,,modelbased information integration in a neuroscience mediator system,very large data bases,2000.0
theodore johnson,laks v s lakshmanan,raymond t ng,,the 3w model and algebra for unified data mining,very large data bases,2000.0
michael j carey,jerry kiernan,jayavel shanmugasundaram,eugene j shekita,xperanto middleware for publishing objectrelational data as xml documents,very large data bases,2000.0
hansj246rg schek,,,,panel future directions of database research the vldb broadening strateg part 1,very large data bases,2000.0
ulrich g252ntzer,wolftilo balke,werner kie223ling,,optimizing multifeature queries for image databases,very large data bases,2000.0
stefano ceri,roberta cochrane,jennifer widom,,practical applications of triggers and constraints success and lingering issues 10year award,very large data bases,2000.0
ziv baryossef,alexander berg,steve chien,jittat fakcharoenphol,approximating aggregate queries about web pages via random walks,very large data bases,2000.0
sihem ameryahia,theodore johnson,,,optimizing queries on compressed bitmaps,very large data bases,2000.0
geoffrey c bowker,,,,work and information practices in the sciences of biodiversity,very large data bases,2000.0
frank ramsak,volker markl,robert fenk,martin zirkel,integrating the ubtree into a database system kernel,very large data bases,2000.0
abdelsalam helal,hua li,,,rainbow distributed database system for classroom education and experimental research,very large data bases,2000.0
francesco caruso,munir cochinwala,uma ganapathy,gail lalk,telcordias database reconciliation and data quality analysis tool,very large data bases,2000.0
karthikeyan ramasamy,jignesh m patel,jeffrey f naughton,raghav kaushik,set containment joins the goo the bad and the ugly,very large data bases,2000.0
stefan manegold,peter a boncz,martin l kersten,,what happens during a join dissecting cpu and memory optimization effects,very large data bases,2000.0
krithi ramamritham,yeha el atfi,carlo batini,michael eitan,socia educationa and governmental change enabled through information technology,very large data bases,2000.0
sunil choenni,,,,design and implementation of a geneticbased algorithm for data mining,very large data bases,2000.0
st233phane grumbach,philippe rigaux,luc segoufin,,manipulating interpolated data is easier than you thought,very large data bases,2000.0
alberto o mendelzon,alejandro a vaisman,,,temporal queries in olap,very large data bases,2000.0
chris olston,jennifer widom,,,offering a precisionperformance tradeoff for aggregation queries over replicated data,very large data bases,2000.0
jagannathan srinivasan,souripriya das,chuck freiwald,eugene inseok chong,oracle8i indexorganized table and its application to new domains,very large data bases,2000.0
andrey balmin,thanos papadimitriou,yannis papakonstantinou,,hypothetical queries in an olap environment,very large data bases,2000.0
gladys a cotter,barbara t bauldock,,,biodiversity informatics infrastructure an information commons for the biodiversity community,very large data bases,2000.0
kaushik dutta,anindya datta,debra e vandermeer,krithi ramamritham,demonstration enabling scalable online personalization on the web,very large data bases,2000.0
venkatesh ganti,mongli lee,raghu ramakrishnan,,icicles selftuning samples for approximate query answering,very large data bases,2000.0
sridhar ramaswamy,,,,epiphany epicenter technology overview,very large data bases,2000.0
yossi matias,jeffrey scott vitter,min wang,,dynamic maintenance of waveletbased histograms,very large data bases,2000.0
domenico beneventano,sonia bergamaschi,silvana castano,alberto corni,information integration the momis project demonstration,very large data bases,2000.0
junyan ding,luis gravano,narayanan shivakumar,,computing geographical scopes of web resources,very large data bases,2000.0
yasushi sakurai,masatoshi yoshikawa,ryoji kataoka,shunsuke uemura,similarity search for adaptive ellipsoid queries using spatial transformation,very large data bases,2001.0
liangzhao zeng,boualem benatallah,phuong nguyen,anne h h ngu,agflow agentbased crossenterprise workflow management system,very large data bases,2001.0
ilaria bartolini,paolo ciaccia,florian waas,,feedbackbypass a new approach to interactive similarity query processing,very large data bases,2001.0
sriram raghavan,hector garciamolina,,,crawling the hidden web,very large data bases,2001.0
khaled yagoub,daniela florescu,val233rie issarny,patrick valduriez,caching strategies for dataintensive web sites,very large data bases,2000.0
dieter pfoser,christian s jensen,yannis theodoridis,,novel approaches in query processing for moving object trajectories,very large data bases,2000.0
kevin chenchuan chang,hector garciamolina,,,approximate query translation across heterogeneous information sources,very large data bases,2000.0
linan jiang,betty salzberg,david b lomet,manuel barrena garc237a,the bttree a branched and temporal access method,very large data bases,2000.0
leonard brown,le gruenwald,,,a prototype contentbased retrieval system that uses virtual images to save space,very large data bases,2001.0
philip wadler,,,,et t xml the downfall of the relational empire abstract,very large data bases,2001.0
ashraf aboulnaga,alaa r alameldeen,jeffrey f naughton,,estimating the selectivity of xml path expressions for internet scale applications,very large data bases,2001.0
quanzhong li,bongki moon,,,indexing and querying xml data for regular path expressions,very large data bases,2001.0
christian s jensen,david b lomet,,,transaction timestamping in temporal databases,very large data bases,2001.0
tamer kahveci,ambuj k singh,,,efficient index structures for string databases,very large data bases,2001.0
yingwei cui,jennifer widom,,,lineage tracing for general data warehouse transformations,very large data bases,2001.0
ela hunt,malcolm p atkinson,robert w irving,,a database index to large biological sequences,very large data bases,2001.0
helena galhardas,daniela florescu,dennis shasha,eric simon,declarative data cleaning languag mode and algorithms,very large data bases,2001.0
reza sadri,carlo zaniolo,amir m zarkesh,jafar adibi,a sequential pattern query language for supporting instant data mining for eservices,very large data bases,2001.0
surajit chaudhuri,kyuseok shim,,,storage and retrieval of xml data using relational databases,very large data bases,2001.0
vijayshankar raman,joseph m hellerstein,,,potters wheel an interactive data cleaning system,very large data bases,2001.0
wolfgang may,,,,lopix a system for xml data integration and manipulation,very large data bases,2001.0
giuseppe sindoni,leonardo tininini,amedea ambrosetti,cristina bedeschi,sitin a reallife spatiotemporal information system,very large data bases,2001.0
wensyan li,k sel231uk candan,wangpin hsiung,oliver po,cache portal technology for accelerating databasedriven ecommerce web sites,very large data bases,2001.0
qiong luo,jeffrey f naughton,,,formbased proxy caching for databasebacked web sites,very large data bases,2001.0
christine collet,thierry coupaye,t svensen,,naos efficient and modular reactive capabilities in an objectoriented database system,very large data bases,1994.0
bruce e martin,r g g cattell,,,relating distributed objects,very large data bases,1994.0
ibrahim kamel,christos faloutsos,,,hilbert rtree an improved rtree using fractals,very large data bases,1994.0
elena baralis,jennifer widom,,,an algebraic approach to rule analysis in expert database systems,very large data bases,1994.0
ling tony chen,doron rotem,sidhar seshadri,,declustering databases on heterogeneous disk systems,very large data bases,1995.0
rainer gallersd246rfer,matthias nicola,,,improving performance in replicated databases through relaxed coherency,very large data bases,1995.0
kurt p brown,manish mehta,michael j carey,miron livny,towards automated performance tuning for complex workloads,very large data bases,1994.0
sergey brin,,,,near neighbor search in large metric spaces,very large data bases,1995.0
b sreenath,s seshadri,,,the hcctree an efficient index structure for object oriented databases,very large data bases,1994.0
theodore johnson,dennis shasha,,,2q a low overhead high performance buffer management replacement algorithm,very large data bases,1994.0
stefano spaccapietra,,,,user interfaces who cares,very large data bases,1994.0
sharma chakravarthy,v krishnaprasad,eman anwar,sk kim,composite events for active databases semantic contexts and detection,very large data bases,1994.0
philip a bernstein,,,,pc database systems present and future,very large data bases,1994.0
h v jagadish,daniel f lieuwen,rajeev rastogi,abraham silberschatz,dali a high performance main memory storage manager,very large data bases,1994.0
alain pirotte,esteban zim225nyi,david massart,tatiana yakusheva,materialization a powerful and ubiquitous abstraction pattern,very large data bases,1994.0
maria zemankova,yannis e ioannidis,,,scientific databases state of the art and future directions,very large data bases,1994.0
marek rusinkiewicz,wolfgang klas,thomas tesch,j252rgen w228sch,towards a cooperative transaction model the cooperative activity model,very large data bases,1995.0
kazutoshi sumiya,kouichi yasutake,hirohiko tanaka,norio sanada,a product specification database for visual prototyping,very large data bases,1995.0
gilles fecteau,,,,managing a db2 parallel edition database,very large data bases,1995.0
hongjun lu,kianlee tan,son dao,,the fittest survives an adaptive approach to query optimization,very large data bases,1995.0
a prasad sistla,clement t yu,chengwen liu,king liu,similarity based retrieval of pictures using indices on spatial relationships,very large data bases,1995.0
joseph m hellerstein,jeffrey f naughton,avi pfeffer,,generalized search trees for database systems,very large data bases,1995.0
steven milliner,athman bouguettaya,mike p papazoglou,,a scalable architecture for autonomous heterogeneous database interactions,very large data bases,1995.0
waqar hasan,rajeev motwani,,,coloring away communication in parallel query optimization,very large data bases,1995.0
jiawei han,yongjian fu,,,discovery of multiplelevel association rules from large databases,very large data bases,1995.0
rudolf bayer,,,,document management as a database problem,very large data bases,1995.0
paul brown,michael stonebraker,,,bigsur a system for the management of earth science data,very large data bases,1995.0
azer bestavros,spyridon braoudakis,,,valuecognizant speculative concurrency control,very large data bases,1995.0
kazimierz subieta,yahiko kambayashi,jacek leszczylowski,,procedures in objectoriented query languages,very large data bases,1995.0
n bassiliades,ioannis p vlahavas,,,a nonuniform data fragmentation strategy for parallel mainmenory database systems,very large data bases,1995.0
sveinolaf hvasshovd,216ystein torbj248rnsen,svein erik bratsberg,per holager,the clustra telecom database high availabilit high throughpu and realtime response,very large data bases,1995.0
erik g hoel,hanan samet,,,benchmarking spatial join operations with spatial output,very large data bases,1995.0
rakesh agrawal,kingip lin,harpreet s sawhney,kyuseok shim,fast similarity search in the presence of nois scalin and translation in timeseries databases,very large data bases,1995.0
gary hallmark,,,,the oracle warehouse,very large data bases,1995.0
rakesh agrawal,giuseppe psaila,edward l wimmers,mohamed za239t,querying shapes of histories,very large data bases,1995.0
kunlung wu,philip s yu,jenyao chung,james z teng,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,very large data bases,1995.0
sunita sarawagi,,,,query processing in tertiary memory databases,very large data bases,1995.0
peter buneman,susan b davidson,kyle hart,g christian overton,a data transformation system for biological data sources,very large data bases,1995.0
bruce g lindsay,,,,db2 common server technolog progres directions,very large data bases,1995.0
erhard rahm,robert marek,,,dynamic multiresource load balancing in parallel database systems,very large data bases,1995.0
brajesh goyal,jayant r haritsa,s seshadri,v srinivasan,index concurrency control in firm realtime database systems,very large data bases,1995.0
david konopnicki,oded shmueli,,,w3qs a query system for the worldwide web,very large data bases,1995.0
frank moser,achim kraiss,wolfgang klas,,lmrp a buffer management strategy for interactive continuous data flows in a multimedia dbms,very large data bases,1995.0
ashish gupta,venky harinarayan,dallan quass,,aggregatequery processing in data warehousing environments,very large data bases,1995.0
jack a orenstein,d n kamber,,,accessing a relational database through an objectoriented database interface,very large data bases,1995.0
yun wang,,,,db2 query parallelism staging and implementation,very large data bases,1995.0
tak w yan,hector garciamolina,,,duplicate removal in information system dissemination,very large data bases,1995.0
weipeng p yan,per197ke larson,,,eager aggregation and lazy aggregation,very large data bases,1995.0
eben m haber,yannis e ioannidis,miron livny,,opossum desktop schema management through customizable visualization,very large data bases,1995.0
peter j haas,jeffrey f naughton,s seshadri,lynne stokes,samplingbased estimation of the number of distinct values of an attribute,very large data bases,1995.0
roger s barga,calton pu,,,a practical and modular implementation of extended transaction models,very large data bases,1995.0
john catozzi,sorana rabinovici,,,os support for vldbs unix enhancements for the teradata data base,very large data bases,1995.0
ashoka savasere,edward omiecinski,shamkant b navathe,,an efficient algorithm for mining association rules in large databases,very large data bases,1995.0
manish mehta,david j dewitt,,,managing intraoperator parallelism in parallel database systems,very large data bases,1995.0
laurent amsaleg,michael j franklin,olivier gruber,,efficient incremental garbage collection for clientserver object database systems,very large data bases,1995.0
andreas meier,,,,providing database migration tools a practicioners approach,very large data bases,1995.0
andr233 eickler,carsten andreas gerlhof,donald kossmann,,a performance evaluation of oid mapping techniques,very large data bases,1995.0
paul ammann,sushil jajodia,indrakshi ray,,using formal methods to reason about semanticsbased decompositions of transactions,very large data bases,1995.0
michael steinbrunn,klaus peithner,guido moerkotte,alfons kemper,bypassing joins in disjunctive queries,very large data bases,1995.0
alberto belussi,christos faloutsos,,,estimating the selectivity of spatial queries using the correlation fractal dimension,very large data bases,1995.0
georges gardarin,jeanrobert gruser,zhaohui tang,,a cost model for clustered objectoriented databases,very large data bases,1995.0
