author_1,author_2,author_3,author_4,title,venue,year
raymond t ng,edwin m knorr,,,finding intensional knowledge of distancebased outliers,vldb,1999.0
michael j carey,markos zaharioudakis,,,highly concurrent cache consistency for indices in clientserver database systems,sigmod conference,1997.0
sebastiaan h von solms,martin s olivier,,,a taxonomy for secure objectoriented databases,acm trans database syst,1994.0
rajeev rastogi,s seshadri,minos n garofalakis,aristides gionis,xtract a system for extracting document type descriptors from xml documents,sigmod conference,2000.0
haixun wang,chang luo,carlo zaniolo,,atlas a small but complete sql extension for data mining and data streams,vldb,2003.0
kenneth a ross,franoise fabret,franois llirbat,joo pereira,filtering algorithms and implementation for very fast publishsubscribe,sigmod conference,2001.0
david maier,leonidas fegaras,,,towards an effective calculus for object query languages,sigmod conference,1995.0
jim melton,charles e campbell,andrew eisenberg,,xml schema,sigmod record,2003.0
shourya roy,mahesh v soundalgekar,soumen chakrabarti,,fast and accurate text classification via multiple linear discriminant projections pp,vldb j,2003.0
rudolf bayer,,,,document management as a database problem,vldb,1995.0
yossi matias,phillip b gibbons,viswanath poosala,,fast incremental maintenance of approximate histograms,vldb,1997.0
sihem ameryahia,divesh srivastava,laks v s lakshmanan,sungran cho,minimization of tree pattern queries,sigmod conference,2001.0
gabriella pasi,amihai motro,patrick bosc,,report on the fourth international conference on flexible query answering systems,sigmod record,2001.0
kimberly m james,isabel f cruz,,,a usercentered interface for querying distributed multimedia databases,sigmod conference,1999.0
alfons kemper,reinhard braumandl,jens clauen,,evaluating functional joins along nested reference sets in objectrelational and objectoriented databases,vldb,1998.0
pedro celis,,,,the query optimizer in tandems new serverware sql product,vldb,1996.0
stephen dill,andrew tomkins,ravi kumar,sridhar rajagopalan,selfsimilarity in the web,vldb,2001.0
richard t snodgrass,,,,developments at acm tods,sigmod record,2003.0
stefano de francisci,rossella molinaro,orietta gargano,mario paolucci,sitin a reallife spatiotemporal information system,vldb,2001.0
valeria de antonellis,barbara pernici,maria grazia fugini,silvana castano,conceptual schema analysis techniques and applications,acm trans database syst,1998.0
sridhar ramaswamy,sameer mahajan,abraham silberschatz,,on the discovery of interesting patterns in association rules,vldb,1998.0
bruce g lindsay,,,,db2 common server technolog progres directions,vldb,1995.0
mingchien shan,fabio casati,,,models and languages for describing and discovering eservices,sigmod conference,2001.0
dan suciu,,,,distributed query evaluation on semistructured data,acm trans database syst,2002.0
susan malaika,,,,database management systems and the internet,vldb,1996.0
ashraf aboulnaga,jeffrey f naughton,alaa r alameldeen,,estimating the selectivity of xml path expressions for internet scale applications,vldb,2001.0
tova milo,roger weber,ioana manolescu,omar benjelloun,active xml peertopeer data and web services integration,vldb,2002.0
shamkant b navathe,erich j neuhold,gio wiederhold,anant jhingran,a 2020 vision of the vldb2020,vldb,2000.0
berthier a ribeironeto,alberto h f laender,altigran soares da silva,juliana s teixeira,a brief survey of web data extraction tools,sigmod record,2002.0
arie segev,,,,editors notes,sigmod record,1994.0
antony l hosking,jiawan chen,,,pm3 an orthogonal persistent systems programming language desig implementatio performance,vldb,1999.0
joseph m hellerstein,jeffrey f naughton,,,query execution techniques for caching expensive methods,sigmod conference,1996.0
peter j haas,joseph m hellerstein,,,online query processing,sigmod conference,2001.0
dennis shasha,,,,lessons from wall street case studies in configuratio tunin and distribution tutorial,sigmod conference,1997.0
weidong chen,,,,declarative updates of relational databases,acm trans database syst,1995.0
ravishankar ramamurthy,qi su,david j dewitt,,a case for fractured mirrors,vldb,2002.0
r f churchhouse,w a gray,n b idris,,providing dynamic security control in a federated database,vldb,1994.0
vassilis christophides,dimitris plexousakis,panos constantopoulos,,semantic web workshop model architectures and management,sigmod record,2001.0
joachim w schmidt,florian matthes,,,persistent threads,vldb,1994.0
binto george,jayant r haritsa,,,secure transaction processing in firm realtime database systems,sigmod conference,1997.0
peter dadam,christian kalus,,,flexible relations operational support of variant relational structures,vldb,1995.0
carl staelin,paul m aoki,witold litwin,michael stonebraker,mariposa a widearea distributed database system,vldb j,1996.0
martin r frank,natalya fridman noy,steffen staab,,report on the semantic web workshop at www 2002,sigmod record,2002.0
richard t snodgrass,,,,overview of the special section on temporal database infrastructure,sigmod record,1994.0
martin grohe,peter buneman,christoph koch,,path queries on compressed xml,vldb,2003.0
bernhard seeger,bjrn blohsfeld,dieter korus,,a comparison of selectivity estimators for range queries on metric attributes,sigmod conference,1999.0
dennis shasha,jim gray,patrick e oneil,pat helland,the dangers of replication and a solution,sigmod conference,1996.0
denis lee,wayne niblack,james l hafner,dragutin petkovic,the query by image content qbic system,sigmod conference,1995.0
dimitrios gunopulos,themistoklis palpanas,dimitris papadopoulos,vana kalogeraki,distributed deviation detection in sensor networks,sigmod record,2003.0
serge abiteboul,richard hull,,,response to a close look at the ifo data model,sigmod record,1995.0
dan suciu,,,,query decomposition and view maintenance for query languages for unstructured data,vldb,1996.0
philip wadler,,,,et t xml the downfall of the relational empire abstract,vldb,2001.0
lars arge,jeffrey scott vitter,torsten suel,sridhar ramaswamy,scalable sweepingbased spatial join,vldb,1998.0
kunikazu yoda,hirofumi matsuzawa,takeshi tokuyama,yasuhiko morimoto,algorithms for mining association rules for binary segmentations of huge categorical databases,vldb,1998.0
yongjin choi,chinwan chung,,,selectivity estimation for spatiotemporal queries to moving objects,sigmod conference,2002.0
anna c gilbert,martin strauss,yannis kotidis,s muthukrishnan,surfing wavelets on streams onepass summaries for approximate aggregate queries,vldb,2001.0
ben shneiderman,richard beigel,egemen tanin,,incremental data structures and algorithms for dynamic query interfaces,sigmod record,1996.0
norio katayama,shinichi satoh,,,the srtree an index structure for highdimensional nearest neighbor queries,sigmod conference,1997.0
michael stonebraker,jean t anderson,,,sequoia 2000 metadata schema for satellite images,sigmod record,1994.0
sanjeev khanna,peter buneman,wang chiew tan,keishi tajima,archiving scientific data,sigmod conference,2002.0
arvind arasu,hector garciamolina,,,extracting structured data from web pages,sigmod conference,2003.0
eric hughes,leonard j seligman,arnon rosenthal,scott renner,a consumer viewpoint on mediator languages a proposal for a standard,sigmod record,1997.0
yannis kotidis,,,,a data warehousing architecture for enabling service provisioning process,vldb,2001.0
antonio massari,panos k chrysanthis,lorenzo saladini,stefano pavani,qbi query by icons,sigmod conference,1995.0
sriram raghavan,hector garciamolina,,,crawling the hidden web,vldb,2001.0
mario a nascimento,,,,peertopeer harnessing the power of disruptive technologies,sigmod record,2003.0
yawhuei chen,chisheng shih,chiang lee,,a graphtheoretic model for optimizing queries involving methods,vldb j,2001.0
james clifford,ramez elmasri,michael d soo,wolfgang kfer,a tsql2 tutorial,sigmod record,1994.0
shalom tsur,rajeev motwani,sergey brin,jeffrey d ullman,dynamic itemset counting and implication rules for market basket data,sigmod conference,1997.0
hans fritschi,arne koschel,gnter von bltzingsloewen,stella gatziu,unbundling active functionality,sigmod record,1998.0
flip korn,yunyue zhu,s muthukrishnan,,checks and balances monitoring data quality problems in network traffic databases,vldb,2003.0
yannis kotidis,nick roussopoulos,,,the cubetree storage organization,vldb,1998.0
sheunglun hung,shanhoi ng,,,multigranularity locking in multiple job classes transaction processing system,sigmod record,1995.0
vivek r narasayya,gautam das,surajit chaudhuri,,a robus optimizationbased approach for approximate answering of aggregate queries,sigmod conference,2001.0
sihem ameryahia,divesh srivastava,sungran cho,laks v s lakshmanan,optimizing the secure evaluation of twig queries,vldb,2002.0
john gaffney,,,,illustras web datablade module,sigmod record,1996.0
raghu ramakrishnan,miron livny,praveen seshadri,,sequence query processing,sigmod conference,1994.0
kenneth r jacobs,,,,innovation in database management computer science vs engineering,vldb,1997.0
sridhar ramaswamy,paris c kanellakis,,,oodb indexing by classdivision,sigmod conference,1995.0
michael j carey,,,,tot were not in kansas anymore on transitioning from research to the real invited industrial talk,vldb,2000.0
costas vassilakis,,,,an optimisation scheme for coalescevalid time selection operator sequences,sigmod record,2000.0
surajit chaudhuri,sanjay agrawal,vivek r narasayya,,automated selection of materialized views and indexes in sql databases,vldb,2000.0
vassilis j tsotras,carlo zaniolo,shuyao chien,,efficient management of multiversion documents by object referencing,vldb,2001.0
tamer kahveci,ambuj k singh,,,efficient index structures for string databases,vldb,2001.0
jiawei han,,,,data mining techniques,sigmod conference,1996.0
julia e hodges,shekar ramanathan,,,extraction of objectoriented structures from existing relational databases,sigmod record,1997.0
benjamin w wah,yixin chen,jianyong wang,guozhu dong,multidimensional regression analysis of timeseries data streams,vldb,2002.0
,,,,proceedings of the 2000 acm sigmod international conference on management of dat may 161 200 dalla texa usa,sigmod conference,2000.0
yannis e ioannidis,,,,dynamic information visualization,sigmod record,1996.0
reagan moore,arun jagatheesan,paul watson,norman w paton,grid data management systems services,vldb,2003.0
dongwon lee,wesley w chu,,,comparative analysis of six xml schema languages,sigmod record,2000.0
ralf hartmut gting,,,,graphdb modeling and querying graphs in databases,vldb,1994.0
jim gray,goetz graefe,,,the fiveminute rule ten years late and other computer storage rules of thumb,sigmod record,1997.0
tirthankar lahiri,n macnaughton,sashikanth chandrasekaran,wilson chan,cache fusion extending shareddisk clusters with shared caches,vldb,2001.0
rudolf legat,arne koschel,andree keitel,ralf kramer,wwwudk a webbased environmental metainformation system,sigmod record,1997.0
gottfried vossen,jens lechtenbrger,,,on the computation of relational view complements,acm trans database syst,2003.0
robert w irving,malcolm p atkinson,ela hunt,,database indexing for large dna and protein sequence collections,vldb j,2002.0
alin deutsch,val tannen,,,mars a system for publishing xml from mixed and redundant storage,vldb,2003.0
s sudarshan,p p s narayan,rama kanneganti,h v jagadish,incremental organization for data recording and warehousing,vldb,1997.0
murali mani,,,,understanding the semantics of sensor data,sigmod record,2003.0
ibrahim korpeoglu,hseyin zgr tan,,,power efficient data gathering and aggregation in wireless sensor networks,sigmod record,2003.0
joachim hammer,,,,treasurers message,sigmod record,2003.0
ralf schneider,thomas brinkhoff,bernhard seeger,hanspeter kriegel,multistep processing of spatial joins,sigmod conference,1994.0
quan z sheng,anne h h ngu,ron lei,du q huynh,combining multivisual features for efficient indexing in a large image database,vldb j,2001.0
eric freeman,david gelernter,,,lifestreams a storage model for personal data,sigmod record,1996.0
chen li,,,,computing complete answers to queries in the presence of limited access patterns,vldb j,2003.0
alexandra poulovassilis,mark levene,,,report on the web dynamics workshop at www 2002,sigmod record,2002.0
yue huang,yandong cai,yongjian fu,nick cercone,dblearn a system prototype for knowledge discovery in relational databases,sigmod conference,1994.0
david konopnicki,oded shmueli,,,information gathering in the worldwide web the w3ql query language and the w3qs system,acm trans database syst,1998.0
chenyi xia,wynne hsu,keng lik teo,mongli lee,advanced database technologies in a diabetic healthcare system,vldb,2002.0
csar a galindolegaria,florian waas,,,countin enumeratin and sampling of execution plans in a costbased query optimizer,sigmod conference,2000.0
jan flokstra,annita n wilschut,peter m g apers,,parallel evaluation of multijoin queries,sigmod conference,1995.0
erik riedel,gregory r ganger,david nagle,christos faloutsos,data mining on an oltp system nearly for free,sigmod conference,2000.0
srinath srinivasa,sujit kumar,,,a platform based on the multidimensional data model for analysis of biomolecular structures,vldb,2003.0
klaus r dittrich,ruxandra domenig,,,an overview and classification of mediated query systems,sigmod record,1999.0
kaushik chakrabarti,sharad mehrotra,,,local dimensionality reduction a new approach to indexing high dimensional spaces,vldb,2000.0
ibrahim cingil,,,,supporting global user profiles through trusted authorities,sigmod record,2002.0
,,,,mqseries and cics link for lotus notes,sigmod record,1996.0
runping qi,kuan yee,brian sterling,nicolas adiba,the propel distributed services platform,vldb,2001.0
kinji ono,jihad boulos,,,cost estimation of userdefined methods in objectrelational database systems,sigmod record,1999.0
peter z revesz,,,,safe query languages for constraint databases,acm trans database syst,1998.0
theodore johnson,charles d cranor,oliver spatscheck,vladislav shkapenyuk,gigascope a stream database for network applications,sigmod conference,2003.0
martin theobald,sergej sizov,jens graupmann,,from focused crawling to expert information an application framework for web exploration and portal generation,vldb,2003.0
jia liang han,,,,optimizing relational queries in connection hypergraphs nested querie view and binding propagations,vldb j,1998.0
tolga urhan,michael j franklin,laurent amsaleg,,cost based query scrambling for initial delays,sigmod conference,1998.0
ethan l miller,theodore johnson,,,performance measurements of tertiary storage devices,vldb,1998.0
tianqiu wang,yannis papakonstantinou,nick koudas,vagelis hristidis,a system for keyword proximity search on xml databases,vldb,2003.0
giansalvatore mecca,valter crescenzi,paolo merialdo,,roadrunner towards automatic data extraction from large web sites,vldb,2001.0
rafael camps,,,,from ternary relationship to relational tables a case against common beliefs,sigmod record,2002.0
shivnath babu,rajeev rastogi,minos n garofalakis,,spartan a modelbased semantic compression system for massive data tables,sigmod conference,2001.0
a prasad sistla,ouri wolfson,yixiu huang,,data replication for mobile computers,sigmod conference,1994.0
sophie cluet,fanny wattez,vronique benzaken,guy ferran,benchmarking queries over trees learning the hard truth the hard way,sigmod conference,2000.0
wolfgang wonner,gerhard weikum,michael gillmann,,workflow management with service quality guarantees,sigmod conference,2002.0
luciana duranti,,,,the longterm preservation of authentic electronic records,vldb,2001.0
robert s epstein,,,,keynote address,sigmod conference,1995.0
stuart e madnick,,,,from vldb to vmldb very many large data bases dealing with largescale semantic heterogenity,vldb,1995.0
mehul a shah,wei hong,sirish chandrasekaran,samuel madden,telegraphcq continuous dataflow processing,sigmod conference,2003.0
curtis e dyreson,torben bach pedersen,christian s jensen,,the treescape system reuse of precomputed aggregates over irregular olap hierarchies,vldb,2000.0
richard t snodgrass,dengfeng gao,,,temporal slicing in the evaluation of xml queries,vldb,2003.0
daniela florescu,alberto o mendelzon,alon y levy,,database techniques for the worldwide web a survey,sigmod record,1998.0
frans coetzee,steve lawrence,michelangelo diligenti,marco gori,focused crawling using context graphs,vldb,2000.0
sharad mehrotra,kaushik chakrabarti,,,efficient concurrency control in multidimensional access methods,sigmod conference,1999.0
stefan deloch,joachim thomas,nelson mendona mattos,,design and implementation of advanced knowledge processing in the kdms krisys demonstration description,sigmod conference,1995.0
matthew huras,leslie cranston,bishwaranjan bhattacharjee,sriram padmanabhan,efficient query processing for multidimensionally clustered tables in db2,vldb,2003.0
victor vianu,,,,a web odyssey from codd to xml,sigmod record,2003.0
hanspeter kriegel,raymond t ng,markus m breunig,jrg sander,lof identifying densitybased local outliers,sigmod conference,2000.0
chris olston,jennifer widom,,,besteffort cache synchronization with source cooperation,sigmod conference,2002.0
jaejun hwang,mauricio a hernndez,salvatore j stolfo,hasanat m dewan,predictive dynamic load balancing of parallel and distributed rule and query processing,sigmod conference,1994.0
divyakant agrawal,amr el abbadi,hailing yu,,tabular placement of relational data on memsbased storage devices,vldb,2003.0
christoph koch,,,,efficient processing of expressive nodeselecting queries on xml data in secondary storage a tree automatabased approach,vldb,2003.0
xiaolei qian,,,,opportunities at arp ns and elsewhere,sigmod record,1995.0
takeshi tokuyama,takeshi fukuda,yasuhiko morimoto,shinichi morishita,sonar system for optimized numeric associationrules,sigmod conference,1996.0
anne h h ngu,athman bouguettaya,brahim medjahed,ahmed k elmagarmid,businesstobusiness interactions issues and enabling technologies,vldb j,2003.0
vagelis hristidis,yannis papakonstantinou,,,discover keyword search in relational databases,vldb,2002.0
richard jeffers,divyakant agrawal,amr el abbadi,lijing lin,ordered shared locks for realtime databases,vldb j,1995.0
,,,,proceedings of the 2002 acm sigmod international conference on management of dat madiso wisconsi june 3 2002,sigmod conference,2002.0
perke larson,jingren zhou,jonathan goldstein,,transparent midtier database caching in sql server,sigmod conference,2003.0
etzard stolte,thomas r gross,gustavo alonso,christoph von praun,scientific data repositories designing for a moving target,sigmod conference,2003.0
piero fraternali,stefano paraboschi,stefano ceri,,the idea web lab,sigmod conference,1998.0
anthony tomasic,eric simon,,,improving access to environmental data using context information,sigmod record,1997.0
h stephen auyeung,c p chou,yuhming shyy,,versant replication supporting faulttolerant object databases,sigmod conference,1995.0
stanley b zdonik,demet aksoy,michael j franklin,,data staging for ondemand broadcast,vldb,2001.0
praveen seshadri,,,,predator a resource for database research,sigmod record,1998.0
kazuhiko mogi,masaru kitsuregawa,,,hot block clustering for disk arrays with dynamic striping,vldb,1995.0
jeffrey f naughton,janet l wiener,,,oodb bulk loading revisited the partitionedlist approach,vldb,1995.0
wolf siberski,wolfgang nejdl,michael sintek,,design issues and challenges for rdf and schemabased peertopeer systems,sigmod record,2003.0
ada waichee fu,yinling cheung,yiu sang moon,polly meishuen chan,dynamic vptree indexing for nnearest neighbor search given pairwise distances,vldb j,2000.0
yuguo liu,yiming li,pradip kanjamala,rui chen,the mlpqgis constraint database system,sigmod conference,2000.0
laks v s lakshmanan,xiaodong zhou,raymond t ng,theodore johnson,the generalized mdl approach for summarization,vldb,2002.0
k seluk candan,wangpin hsiung,oliver po,divyakant agrawal,view invalidation for dynamic content caching in multitiered architectures,vldb,2002.0
shetal shah,krithi ramamritham,prashant j shenoy,,maintaining coherency of dynamic data in cooperating repositories,vldb,2002.0
richard t snodgrass,,,,tods perceptions and misconceptions,sigmod record,2002.0
balakrishna r iyer,jeffrey scott vitter,p krishnan,,estimating alphanumeric selectivity in the presence of wildcards,sigmod conference,1996.0
vijay kumar,,,,sensor the atomic computing particle,sigmod record,2003.0
surajit chaudhuri,kyuseok shim,,,optimization of queries with userdefined predicates,vldb,1996.0
anastassia ailamaki,andrew therber,yannis e ioannidis,anand narayanan,zoo a desktop emperiment management environment,sigmod conference,1997.0
kaippallimalil j jacob,dennis shasha,,,fintime a financial time series benchmark,sigmod record,1999.0
leonid libkin,timothy griffin,,,incremental maintenance of views with duplicates,sigmod conference,1995.0
hartmut wedekind,,,,are the terms version and variant orthogonal to one another a critical assessment of the step standardization,sigmod record,1994.0
rachel pottinger,alon y halevy,philip a bernstein,,a vision of management of complex models,sigmod record,2000.0
roger h l chiang,eepeng lim,chua eng huang cecil,,instancebased attribute identification in database integration,vldb j,2003.0
william j mciver jr,roger king,,,selfadaptiv online reclustering of complex object data,sigmod conference,1994.0
mitch cherniack,kenneth a ross,gottfried vossen,,reminiscences on influential papers,sigmod record,2003.0
,,,,calls for papers and announcements,sigmod record,1995.0
christos faloutsos,volker gaede,,,analysis of ndimensional quadtrees using the hausdorff fractal dimension,vldb,1996.0
a r dasgupta,,,,large databases for remote sensing and gis,vldb,1996.0
barbara t bauldock,gladys a cotter,,,biodiversity informatics infrastructure an information commons for the biodiversity community,vldb,2000.0
till westmann,sven helmer,guido moerkotte,donald kossmann,the implementation and performance of compressed databases,sigmod record,2000.0
christos h papadimitriou,anant jhingran,yannis e ioannidis,kenneth a ross,reminiscences on influential papers,sigmod record,2000.0
thomas seidl,marco ptke,hanspeter kriegel,,managing intervals efficiently in objectrelational databases,vldb,2000.0
benny souder,bob jenkins,lip boon doo,peter lim,oracles symmetric replication technology and implications for application design,sigmod conference,1994.0
seth j white,david j dewitt,,,quickstore a high performance mapped object store,vldb j,1995.0
hartmut liefke,dan suciu,,,xmill an efficient compressor for xml data,sigmod conference,2000.0
nick roussopoulos,christos faloutsos,timos k sellis,,multidimensional access methods trees have grown everywhere,vldb,1997.0
nicolas bruno,surajit chaudhuri,,,exploiting statistics on query expressions for optimization,sigmod conference,2002.0
sudarshan s chawathe,mingsyan chen,philip s yu,,on index selection schemes for nested object hierarchies,vldb,1994.0
mark g l m van doorn,arjen p de vries,henk m blanken,peter m g apers,the mirror mmdbms architecture,vldb,1999.0
mingchien shan,fabio casati,umeshwar dayal,,vldb workshop on technologies in eservices tes,sigmod record,2000.0
thodoros topaloglou,adel shrufi,vinay k chaudhri,dimitris plexousakis,building knowledge base management systems,vldb j,1996.0
wei fan,wenke lee,,,mining system audit data opportunities and challenges,sigmod record,2001.0
weiyi meng,naphtali rishe,clement t yu,kinglup liu,determining text databases to search in the internet,vldb,1998.0
rajeev rastogi,minos n garofalakis,chee yong chan,,retree an efficient index structure for regular expressions,vldb,2002.0
george m bryan,j geyer,wayne e moore,b j curry,the medusa project autonomous data management in a sharednothing parallel database machine,sigmod conference,1994.0
kevin s beyer,roberta cochrane,kenneth salem,bruce g lindsay,how to roll a join asynchronous incremental view maintenance,sigmod conference,2000.0
stefano ceri,elena baralis,stefano paraboschi,,modularization techniques for active rules design,acm trans database syst,1996.0
fabrizio ferrandina,guy ferran,thorsten meyer,roberto zicari,schema and database evolution in the o2 object database system,vldb,1995.0
alfons kemper,christian wiesner,,,hyperqueries dynamic distributed query processing on the internet,vldb,2001.0
jason mchugh,jennifer widom,,,query optimization for xml,vldb,1999.0
donald r deutsch,,,,objects and sql strange relations panel,sigmod conference,1995.0
karl aberer,xiaoya yang,klemens bhm,erich j neuhold,structured document storage and refined declarative and navigational access mechanisms in hyperstorm,vldb j,1997.0
demet aksoy,mehmet altinel,stanley b zdonik,thomas baby,dbistoolkit adaptable middleware for large scale data delivery,sigmod conference,1999.0
amr el abbadi,yileh wu,divyakant agrawal,,using the golden rule of sampling for query estimation,sigmod conference,2001.0
joel h saltz,john burgess,felipe cario,william oconnell,active storage hierarch database systems and applications socratic exegesis,vldb,1999.0
deokhwan kim,juhong lee,chinwan chung,,multidimensional selectivity estimation using compressed histogram information,sigmod conference,1999.0
linas bukauskas,curtis e dyreson,michael h bhlen,,the jungle database search engine,sigmod conference,1999.0
arun hampapur,,,,semantic video indexing approach and issue,sigmod record,1999.0
anastasio molano,alberto pan,paula montoto,juan raposo,the denodo data integration platform,vldb,2002.0
yolle s maarek,david carmel,aya soffer,,xml and information retrieval a sigir 2000 workshop,sigmod record,2001.0
alfons kemper,ehud gudes,natalija krivokapic,,deadlock detection in distributed database systems a new algorithm and a comparative performance analysis,vldb j,1999.0
c mohan,,,,application servers and associated technologies,vldb,2002.0
luis gravano,junyan ding,narayanan shivakumar,,computing geographical scopes of web resources,vldb,2000.0
ray suorsa,john nauman,,,developing a high traffi readonly web site,sigmod conference,1998.0
hector garciamolina,murty valiveti,chen li,ramana yerneni,capability based mediation in tsimmis,sigmod conference,1998.0
mitch cherniack,stanley b zdonik,,,rule languages and internal algebras for rulebased optimizers,sigmod conference,1996.0
andrew eisenberg,jim melton,,,sqlxml is making good progress,sigmod record,2002.0
anand deshpande,jos a blakeley,,,tutorial data access,sigmod conference,2000.0
michel tourn,man abrol,john wang,grace zhang,navigating largescale semistructured data in business portals,vldb,2001.0
michael eitan,valerie gregg,carlo batini,d b phatak,socia educationa and governmental change enabled through information technology,vldb,2000.0
fabrizio ferrandina,thorsten meyer,roberto zicari,,implementing lazy database updates for an object database system,vldb,1994.0
christian convey,sangdon lee,ugur etintemel,daniel j abadi,aurora a new model and architecture for data stream management,vldb j,2003.0
janeike michels,peter m schwarz,krishna g kulkarni,vanja josifovski,sqlmed a status report,sigmod record,2002.0
h v jagadish,,,,acmsigmod digital review,sigmod record,2000.0
michael j carey,,,,parallel database systems in the 1990s,sigmod conference,1994.0
joseph m hellerstein,vijayshankar raman,,,partial results for online query processing,sigmod conference,2002.0
jan van den bussche,marc andries,jan paredaens,luca cabibbo,applying an update method to a set of receivers,acm trans database syst,2001.0
alexander brodsky,yoram kornatzky,,,the lyric language querying constraint objects,sigmod conference,1995.0
elena ferrari,pierangela samarati,claudio bettini,elisa bertino,an access control model supporting periodicity constraints and temporal reasoning,acm trans database syst,1998.0
florian krebs,christian bhm,bernhard braunmller,hanspeter kriegel,epsilon grid order an algorithm for the similarity join on massive highdimensional data,sigmod conference,2001.0
shankar pal,thomas bergstraesser,philip a bernstein,david shutt,versions and workspaces in microsoft repository,sigmod conference,1999.0
brad adelberg,ben kao,hector garciamolina,,overview of the stanford realtime information processor strip,sigmod record,1996.0
ystein torbjrnsen,svein erik bratsberg,,,tutorial designing an ultra highly available dbms,sigmod conference,2000.0
yannis sismanis,yannis kotidis,nick roussopoulos,,the active multisync controller of the cubetree storage organization,sigmod conference,1999.0
laura m haas,lingling yan,ronald fagin,rene j miller,datadriven understanding and refinement of schema mappings,sigmod conference,2001.0
miron livny,michael j carey,hweehwa pang,,managing memory for realtime queries,sigmod conference,1994.0
dimitrios georgakopoulos,mingchien shan,fabio casati,,eservices guest editorial,vldb j,2001.0
joel l wolf,cecilia magdalena procopiuc,jong soo park,charu c aggarwal,fast algorithms for projected clustering,sigmod conference,1999.0
kothuri venkata ravi kanth,siva ravada,daniel abugov,,quadtree and rtree indexes in oracle spatial a comparison using gis data,sigmod conference,2002.0
piero fraternali,stefano paraboschi,stefano ceri,,design principles for dataintensive web sites,sigmod record,1999.0
asuman dogac,,,,guest editors introduction,sigmod record,1998.0
marianne winslett,kenneth smith,xiaolei qian,,formal query languages for secure relational databases,acm trans database syst,1994.0
val tannen,arnaud sahuguet,alin deutsch,lucian popa,a chase too far,sigmod conference,2000.0
rafael alonso,,,,trade press news,sigmod record,1994.0
csar a galindolegaria,michael j franklin,leonard j seligman,guy m lohman,sigmod 2001 industry sessions,sigmod record,2001.0
,,,,author index,vldb,2000.0
krishnamurty muralidhar,rathindra sarathy,,,security of random data perturbation methods,acm trans database syst,1999.0
marek rusinkiewicz,tomasz ksiezyk,richard s brice,ray shea,the infosleuth project,sigmod conference,1997.0
p p s narayan,s sudarshan,s gogate,j miller,datablitz storage manager main memory database performance for critical applications,sigmod conference,1999.0
jens clauen,christian wiesner,donald kossmann,alfons kemper,exploiting early sorting and early partitioning for decisionsupport query processing,vldb j,2000.0
suresh kumar,engkee kwang,divyakant agrawal,,caprera an activity framework for transaction processing on widearea networks,vldb,1997.0
clement t yu,hai he,zonghuan wu,weiyi meng,wiseintegrator an automatic integrator of web search interfaces for ecommerce,vldb,2003.0
hanan samet,gsli r hjaltason,,,distance browsing in spatial databases,acm trans database syst,1999.0
r g g cattell,,,,odmg93 a standard for objectoriented dbmss,sigmod conference,1994.0
marianne winslett,,,,gio wiederhold speaks out on moving into academia in midcaree how to be an effective consultan why you should be a program manager as a funding agenc the need for ontology algebra and simulation and more,sigmod record,2001.0
guy m lohman,daniel c zilio,sam lightstone,,toward autonomic computing with db2 universal database,sigmod record,2002.0
xueqing gong,kun yue,aoying zhou,zhimao guo,trex dtdconforming xml to xml transformations,sigmod conference,2003.0
stephen kelley,frdic vincent,nick roussopoulos,,nearest neighbor queries,sigmod conference,1995.0
volker markl,mokhtar kandil,guy m lohman,michael stillger,leo db2s learning optimizer,vldb,2001.0
manfred a jeusfeld,franz baader,werner nutt,,intelligent access to heterogeneous information sources report on the 4th workshop on knowledge representation meets databases,sigmod record,1997.0
antoni oliv,ernest teniente,,,updating knowledge bases while maintaining their consistency,vldb j,1995.0
weimin du,mingchien shan,umeshwar dayal,,reducing multidatabase query response time by tree balancing,sigmod conference,1995.0
david hanley,robert l grossman,xiao qin,,ptool a light weight persistent object manager,sigmod conference,1995.0
s muthukrishnan,h v jagadish,kenneth c sevcik,torsten suel,optimal histograms with quality guarantees,vldb,1998.0
michael d soo,richard t snodgrass,michael h bhlen,,coalescing in temporal databases,vldb,1996.0
abraham silberschatz,rajeev rastogi,banu zden,prashant j shenoy,faulttolerant architectures for continuous media servers,sigmod conference,1996.0
gsli r hjaltason,hanan samet,,,speeding up construction of pmr quadtreebased spatial indexes,vldb j,2002.0
jennifer widom,,,,editors notes,sigmod record,1996.0
jianwen su,guozhu dong,,,incremental maintenance of recursive views using relational calculussql,sigmod record,2000.0
sam lightstone,guy m lohman,,,smart making db2 more autonomic,vldb,2002.0
gerhard kstler,werner kieling,,,preference sql desig implementatio experiences,vldb,2002.0
mark girolami,fabio crestani,,,report on the 24th european colloquium on information retrieval research,sigmod record,2002.0
beng chin ooi,kianlee tan,cheng hian goh,,online feedback for nested aggregate queries with multithreading,vldb,1999.0
aoying zhou,wenyun ji,shihui zheng,hongjun lu,vxmlr a visual xmlrelational database system,vldb,2001.0
carlo zaniolo,vassilis j tsotras,shuyao chien,,xml document versioning,sigmod record,2001.0
michael j franklin,stanley b zdonik,,,data in your face push technology in perspective,sigmod conference,1998.0
s sudarshan,rajeev rastogi,s seshadri,mohana krishna lakhamraju,online reorganization in object databases,sigmod conference,2000.0
