actor_1,actor_2,actor_3,color,content_rating,director,original_language,production_countries,title,vote_average,year
deray davis,cl bennett,conrad coates,color,pg13,ian iqbal rashid,english,canada,how she move,3.0,2007.0
paul walker,chazz palminteri,ivana milicevic,color,r,wayne kramer,english,germany,running scared,7.0,2006.0
aidan quinn,jeremy northam,paul freeman,color,pg,rowdy herrington,english,usa,bobby jones stroke of genius,7.0,2004.0
victor wong,paul freeman,clyde kusatsu,color,pg13,jim goddard,english,uk,shanghai surprise,3.0,1986.0
rufus sewell,eddie marsan,jake wood,color,pg13,neil burger,english,usa,the illusionist,8.0,2006.0
tippi hedren,melanie griffith,zakes mokae,color,pg,noel marshall,english,usa,roar,6.0,1981.0
brenda fricker,david murray,gerard mcsorley,color,r,joel schumacher,english,ireland,veronica guerin,7.0,2003.0
josh hutcherson,brady corbet,carlos bardem,color,r,andrea di stefano,english,france,escobar paradise lost,7.0,2014.0
janeane garofalo,curtis armstrong,chris andrew ciulla,color,r,richard kelly,english,france,southland tales,6.0,2006.0
rob paulsen,jess harnell,mary mouser,color,pg,guillaume ivernel,french,france,dragon hunters,7.0,2008.0
george peppard,janmichael vincent,paul winfield,color,pg,jack smight,english,usa,damnation alley,5.0,1977.0
julianna guill,rick gomez,tim williams,color,pg13,todd lincoln,english,usa,the apparition,4.0,2012.0
macaulay culkin,jamie lee curtis,griffin dunne,color,pg13,howard zieff,english,usa,my girl,7.0,1991.0
robert downey jr,ty burrell,matt servitto,color,r,steven shainberg,english,usa,fur an imaginary portrait of diane arbus,6.0,2006.0
hal holbrook,tamara tunie,james karen,color,r,oliver stone,english,usa,wall street,7.0,1987.0
alan rickman,kate winslet,tom wilkinson,color,pg,ang lee,english,usa,sense and sensibility,8.0,1995.0
anne hathaway,julie walters,laurence fox,color,pg,julian jarrold,english,uk,becoming jane,7.0,2007.0
danny strong,matt long,samm levine,color,pg13,joe nussbaum,english,usa,sydney white,6.0,2007.0
frances fisher,kim dickens,ron eldard,color,r,vadim perelman,english,usa,house of sand and fog,8.0,2003.0
robin williams,josh charles,kurtwood smith,color,pg,peter weir,english,usa,dead poets society,8.0,1989.0
lauren holly,mike starr,teri garr,color,pg13,peter farrelly,english,usa,dumb dumber,7.0,1994.0
bruno kirby,gretchen palmer,harley jane kozak,color,r,rob reiner,english,usa,when harry met sally,8.0,1989.0
charlotte rampling,james mason,jack warden,color,r,sidney lumet,english,usa,the verdict,8.0,1982.0
ethan suplee,rachel blanchard,paulo costanzo,color,r,todd phillips,english,usa,road trip,6.0,2000.0
paul walker,ron lester,mark walters,color,r,brian robbins,english,usa,varsity blues,6.0,1999.0
brnice bejo,ed lauter,beth grant,black and white,pg13,michel hazanavicius,english,france,the artist,8.0,2011.0
gary oldman,atticus shaffer,rachel brosnahan,color,pg13,david s goyer,english,usa,the unborn,5.0,2009.0
bruce willis,bill murray,bob balaban,color,pg13,wes anderson,english,usa,moonrise kingdom,8.0,2012.0
matt bomer,jordana brewster,lew temple,color,r,jonathan liebesman,english,usa,the texas chainsaw massacre the beginning,6.0,2006.0
clive russell,vincent walsh,finn ireland,color,pg13,cyrus nowrasteh,english,usa,the young messiah,5.0,2016.0
jennifer esposito,kenan thompson,james brolin,color,pg,perry andelin blake,english,usa,the master of disguise,3.0,2002.0
ivana baquero,maribel verd,sergi lpez,color,r,guillermo del toro,spanish,spain,pans labyrinth,8.0,2006.0
leslie bibb,angus t jones,paul sorvino,color,pg,john whitesell,english,usa,see spot run,5.0,2001.0
monique,snoop dogg,angell conwell,black and white,r,john singleton,english,usa,baby boy,6.0,2001.0
leighton meester,danneel ackles,frances fisher,color,pg13,christian e christiansen,english,usa,the roommate,5.0,2011.0
brittany daniel,erik per sullivan,fred ward,color,pg13,dennie gordon,english,usa,joe dirt,6.0,2001.0
bolo yeung,alonna shaw,kamel krifa,color,r,sheldon lettich,english,usa,double impact,6.0,1991.0
bill bailey,joe cornish,billie whitelaw,color,r,edgar wright,english,uk,hot fuzz,8.0,2007.0
jada pinkett smith,debi mazar,debra messing,color,pg13,diane english,english,usa,the women,5.0,2008.0
scarlett johansson,kevin dunn,christopher evan welch,color,pg13,woody allen,english,spain,vicky cristina barcelona,7.0,2008.0
alyson hannigan,amanda detmer,tsianina joelson,color,pg13,robert iscove,english,usa,boys and girls,5.0,2000.0
patrick fugit,cole hauser,marc donato,color,pg13,peter kosminsky,english,usa,white oleander,7.0,2002.0
jk simmons,amy sedaris,cynthia stevenson,color,r,karyn kusama,english,usa,jennifers body,5.0,2009.0
will ferrell,jamie lee curtis,tracey walter,color,pg13,nick gomez,english,usa,drowning mona,6.0,2000.0
mike starr,don pardo,julie kavner,color,pg,woody allen,english,usa,radio days,8.0,1987.0
robert pattinson,lena olin,ruby jerins,color,pg13,allen coulter,english,usa,remember me,7.0,2010.0
dylan baker,alexandra holden,trent ford,color,pg13,clare kilner,english,usa,how to deal,6.0,2003.0
jon lovitz,alyson hannigan,tony jay,color,pg13,richard benjamin,english,usa,my stepmother is an alien,5.0,1988.0
denzel washington,tom hanks,jason robards,color,pg13,jonathan demme,english,usa,philadelphia,8.0,1993.0
gretchen mol,craig bierko,brad william henke,color,r,josef rusnak,english,germany,the thirteenth floor,7.0,1999.0
farrah fawcett,vincent pastore,jenifer lewis,color,pg13,lance rivera,english,usa,the cookout,4.0,2004.0
martin landau,karl malden,brian keith,color,pg,ronald neame,english,usa,meteor,5.0,1979.0
lochlyn munro,marian seldes,huey lewis,color,r,bruce paltrow,english,usa,duets,6.0,2000.0
woody allen,debra messing,treat williams,color,pg13,woody allen,english,usa,hollywood ending,7.0,2002.0
natasha lyonne,lin shaye,shannon tweed,color,r,adam rifkin,english,usa,detroit rock city,7.0,1999.0
christopher lambert,jon polito,celia imrie,color,r,russell mulcahy,english,uk,highlander,7.0,1986.0
alison lohman,omar benson miller,robin weigert,color,r,susanne bier,english,usa,things we lost in the fire,7.0,2007.0
charles napier,annabeth gish,hill harper,color,pg13,kenneth johnson,english,usa,steel,3.0,1997.0
jeremy renner,dagmara dominczyk,angela sarafyan,color,r,james gray,english,usa,the immigrant,7.0,2013.0
vanessa redgrave,natasha richardson,lynn redgrave,color,pg13,james ivory,english,uk,the white countess,7.0,2005.0
rosario dawson,spencer wilding,tuppence middleton,color,r,danny boyle,english,uk,trance,7.0,2013.0
monique,snoop dogg,tom arnold,color,r,jessy terrero,english,usa,soul plane,4.0,2004.0
viggo mortensen,jodie whittaker,steven mackintosh,color,r,vicente amorim,english,uk,good,6.0,2008.0
paz de la huerta,emily alyn lind,olly alexander,color,not rated,gaspar no,english,france,enter the void,7.0,2009.0
taylor negron,justin kirk,ivan sergei,color,pg13,amy heckerling,english,usa,vamps,5.0,2012.0
caryhiroyuki tagawa,sarah roemer,joan allen,color,g,lasse hallstrm,english,usa,hachi a dogs tale,8.0,2009.0
orlando bloom,tanya van graan,conrad kemp,color,r,jrme salle,english,france,zulu,7.0,2013.0
barry corbin,tim blake nelson,miranda otto,color,r,tommy lee jones,english,usa,the homesman,7.0,2014.0
vivica a fox,jenifer lewis,kevin pollak,color,pg13,jesse vaughan,english,usa,juwanna mann,4.0,2002.0
david alpay,mariejose croze,charles aznavour,color,r,atom egoyan,english,canada,ararat,7.0,2002.0
bruce dern,jake lloyd,william shockley,color,pg,william bindley,english,usa,madison,6.0,2001.0
mekhi phifer,ll cool j,fisher stevens,color,r,wayne beach,english,usa,slow burn,6.0,2005.0
carole bouquet,ryko hirosue,michel muller,color,r,grard krawczyk,french,france,wasabi,7.0,2001.0
dustin milligan,gregg henry,tania saulnier,color,r,james gunn,english,canada,slither,6.0,2006.0
judge reinhold,ronny cox,james russo,color,r,martin brest,english,usa,beverly hills cop,7.0,1984.0
macaulay culkin,devin ratray,catherine ohara,color,pg,chris columbus,english,usa,home alone,8.0,1990.0
tom selleck,ted danson,steve guttenberg,color,pg,leonard nimoy,english,usa,3 men and a baby,6.0,1987.0
bill murray,sydney pollack,teri garr,color,pg,sydney pollack,english,usa,tootsie,7.0,1982.0
tom cruise,tom skerritt,adrian pasdar,color,pg,tony scott,english,usa,top gun,7.0,1986.0
chen chang,peipei cheng,sihung lung,color,pg13,ang lee,mandarin,taiwan,crouching tiger hidden dragon,8.0,2000.0
kevin spacey,peter gallagher,ara celi,color,r,sam mendes,english,usa,american beauty,8.0,1999.0
colin firth,jennifer ehle,derek jacobi,color,r,tom hooper,english,uk,the kings speech,8.0,2010.0
kelly preston,tony jay,hugh obrian,color,pg,ivan reitman,english,usa,twins,6.0,1988.0
kristen stewart,eddie redmayne,william hurt,color,pg13,udayan prasad,english,usa,the yellow handkerchief,7.0,2008.0
oprah winfrey,rae dawn chong,dana ivey,color,pg13,steven spielberg,english,usa,the color purple,8.0,1985.0
nicole dionne,jiwon ha,kyunggu sol,color,r,jk youn,korean,south korea,tidal wave,6.0,2009.0
benedict cumberbatch,rory kinnear,allen leech,color,pg13,morten tyldum,english,uk,the imitation game,8.0,2014.0
eileen brennan,albert brooks,alan oppenheimer,color,r,howard zieff,english,usa,private benjamin,6.0,1980.0
sissy spacek,beverly dangelo,levon helm,color,pg,michael apted,english,usa,coal miners daughter,8.0,1980.0
chlo grace moretz,zachary gordon,rachael harris,color,pg,thor freudenthal,english,usa,diary of a wimpy kid,6.0,2010.0
javier botet,megan charpentier,isabelle nlisse,color,pg13,andrs muschietti,english,canada,mama,6.0,2013.0
beverly dangelo,randy quaid,jane krakowski,color,r,harold ramis,english,usa,national lampoons vacation,7.0,1983.0
jackson nicoll,georgina cates,grasie mercedes,color,r,jeff tremaine,english,usa,bad grandpa,7.0,2013.0
roger allam,sylvia syms,alex jennings,color,pg13,stephen frears,english,uk,the queen,7.0,2006.0
catherine ohara,jeffrey jones,glenn shadix,color,pg,tim burton,english,usa,beetlejuice,8.0,1988.0
michael jai white,tasha smith,lamman rucker,color,pg13,tyler perry,english,usa,why did i get married,6.0,2007.0
christian bale,kirsten dunst,eric stoltz,color,pg,gillian armstrong,english,usa,little women,7.0,1994.0
daniel radcliffe,roger allam,jessica raine,color,pg13,james watkins,english,uk,the woman in black,6.0,2012.0
madeline carroll,tessa thompson,brian geraghty,color,pg13,simon west,english,usa,when a stranger calls,5.0,2006.0
frankie muniz,donald faison,lee majors,color,pg,shawn levy,english,usa,big fat liar,5.0,2002.0
robert de niro,meryl streep,john savage,color,r,michael cimino,english,uk,the deer hunter,8.0,1978.0
robert de niro,kirsten dunst,john michael higgins,color,r,barry levinson,english,usa,wag the dog,7.0,1997.0
clayton snyder,adam lamberg,alex borstein,color,pg,jim fall,english,usa,the lizzie mcguire movie,5.0,2003.0
dwayne johnson,harold perrineau,nadine velazquez,color,pg13,ric roman waugh,english,usa,snitch,6.0,2013.0
adam scott,conchata ferrell,allison tolman,color,pg13,michael dougherty,english,usa,krampus,6.0,2015.0
jordana brewster,salma hayek,clea duvall,color,r,robert rodriguez,english,usa,the faculty,6.0,1998.0
raeven kelly,virginia capers,dororthy thorton,color,r,brian gibson,english,usa,whats love got to do with it,7.0,1993.0
robert de niro,sylvester stallone,janeane garofalo,color,r,james mangold,english,usa,cop land,7.0,1997.0
chris evans,joanna garcia swisher,mia kirshner,color,r,joel gallen,english,usa,not another teen movie,6.0,2001.0
jake gyllenhaal,anna kendrick,america ferrera,color,r,david ayer,english,usa,end of watch,8.0,2012.0
paul walker,leslie bibb,william petersen,color,pg13,rob cohen,english,usa,the skulls,6.0,2000.0
eddie redmayne,emily watson,simon mcburney,color,pg13,james marsh,english,uk,the theory of everything,8.0,2014.0
greg grunberg,regina hall,blair underwood,color,pg13,john whitesell,english,usa,malibus most wanted,5.0,2003.0
natalie portman,james frain,stockard channing,color,pg13,matt williams,english,usa,where the heart is,7.0,2000.0
claude rains,jos ferrer,jack hawkins,color,pg,david lean,english,uk,lawrence of arabia,8.0,1962.0
scout taylorcompton,tyler mane,margot kidder,color,r,rob zombie,english,usa,halloween ii,5.0,2009.0
michiel huisman,kevin rankin,gaby hoffmann,color,r,jeanmarc valle,english,usa,wild,7.0,2014.0
tony goldwyn,monica potter,martha macisaac,color,r,dennis iliadis,english,usa,the last house on the left,7.0,2009.0
jack davenport,debra messing,holland taylor,color,pg13,clare kilner,english,usa,the wedding date,6.0,2005.0
jamie lee curtis,thomas ian nicholas,bianca kajlich,color,r,rick rosenthal,english,usa,halloween resurrection,4.0,2002.0
robin wright,carol kane,andr the giant,color,pg,rob reiner,english,usa,the princess bride,8.0,1987.0
denzel washington,jurnee smollettbell,john heard,color,pg13,denzel washington,english,usa,the great debaters,8.0,2007.0
ryan gosling,albert brooks,russ tamblyn,color,r,nicolas winding refn,english,usa,drive,8.0,2011.0
adam garcia,carol kane,glenne headly,color,pg,sara sugarman,english,germany,confessions of a teenage drama queen,5.0,2004.0
liam aiken,tim daly,kali rocha,color,r,nicholas hytner,english,usa,the object of my affection,6.0,1998.0
jeremy renner,harold perrineau,catherine mccormack,color,r,juan carlos fresnadillo,english,uk,28 weeks later,7.0,2007.0
jessie t usher,matthew daddario,serdarius blain,color,pg,thomas carter,english,usa,when the game stands tall,7.0,2014.0
cicely tyson,luke benward,eva marie saint,color,pg,wayne wang,english,usa,because of winndixie,6.0,2005.0
alfre woodard,sanaa lathan,omar epps,color,pg13,gina princebythewood,english,usa,love basketball,7.0,2000.0
minnie driver,michael cudlitz,mitchell ryan,color,r,george armitage,english,usa,grosse pointe blank,7.0,1997.0
bradley cooper,katy mixon,beth grant,color,pg13,phil traill,english,usa,all about steve,5.0,2009.0
kim director,erica leerhsen,kurt loder,color,r,joe berlinger,english,usa,book of shadows blair witch 2,4.0,2000.0
christine taylor,rachel true,brenda strong,color,r,andrew fleming,english,usa,the craft,6.0,1996.0
scarlett johansson,mark gatiss,penelope wilton,color,r,woody allen,english,uk,match point,8.0,2005.0
sierra mccormick,hutch dano,jason spevack,color,g,elizabeth allen rosenbaum,english,usa,ramona and beezus,7.0,2010.0
anthony hopkins,peter vaughan,ben chaplin,color,pg,james ivory,english,uk,the remains of the day,8.0,1993.0
don cheadle,nicole ari parker,nina hartley,color,r,paul thomas anderson,english,usa,boogie nights,8.0,1997.0
kieran culkin,rosanna arquette,joss ackland,color,r,robert harmon,english,usa,nowhere to run,6.0,1993.0
alison lohman,danny pino,tim mcgraw,color,pg,michael mayer,english,usa,flicka,6.0,2006.0
jeff kober,daniella alonso,jacob vargas,color,r,martin weisz,english,usa,the hills have eyes ii,5.0,2007.0
loretta devine,joey lawrence,jacinda barrett,color,r,john ottman,english,usa,urban legends final cut,4.0,2000.0
william hurt,sissy spacek,jonathan jackson,color,pg,jay russell,english,usa,tuck everlasting,7.0,2002.0
kelly carlson,firass dirani,drew powell,color,pg13,john bonito,english,usa,the marine,5.0,2006.0
nia long,will forte,keeganmichael key,color,r,peter atencio,english,usa,keanu,6.0,2016.0
leighton meester,cinda mccain,tim mcgraw,color,pg13,shana feste,english,official site,country strong,6.0,2010.0
bruce greenwood,ethan embry,katharine isabelle,color,r,david nutter,english,australia,disturbing behavior,6.0,1998.0
ryan gosling,ben mendelsohn,angelo anthony pizza,color,r,derek cianfrance,english,usa,the place beyond the pines,7.0,2012.0
luke bracey,akie kotabe,will patton,color,r,roger donaldson,english,usa,the november man,6.0,2014.0
jason priestley,patrick bergin,genevive bujold,color,r,stephan elliott,english,canada,eye of the beholder,5.0,1999.0
jeremy renner,christian camargo,brian geraghty,color,r,kathryn bigelow,english,usa,the hurt locker,8.0,2008.0
heather locklear,george c scott,david keith,color,r,mark l lester,english,usa,firestarter,6.0,1984.0
brad pitt,sam shepard,ben mendelsohn,color,r,andrew dominik,english,usa,killing them softly,6.0,2012.0
philip seymour hoffman,nina hoss,homayoun ershadi,color,r,anton corbijn,english,uk,a most wanted man,7.0,2014.0
rip torn,harland williams,eddie kaye thomas,color,r,tom green,english,usa,freddy got fingered,4.0,2001.0
yuri lowenthal,cam clarke,phil vischer,color,g,mike nawrocki,english,usa,the pirates who dont do anything a veggietales movie,6.0,2008.0
bono,the edge,larry mullen jr,color,g,catherine owens,english,usa,u2 3d,8.0,2007.0
christopher lambert,adrian paul,adam copeland,color,r,douglas aarniokoski,english,usa,highlander endgame,5.0,2000.0
cicely tyson,faizon love,bobbe j thompson,color,r,bryan barber,english,usa,idlewild,6.0,2006.0
anne hathaway,jim sturgess,rafe spall,color,pg13,lone scherfig,english,usa,one day,7.0,2011.0
daniel stern,jimmy fallon,alia shawkat,color,pg13,drew barrymore,english,usa,whip it,7.0,2009.0
vin diesel,tom noonan,kevin gage,color,r,brian koppelman,english,usa,knockaround guys,6.0,2001.0
louis lombardi,brian van holt,leland orser,color,r,james foley,english,usa,confidence,7.0,2003.0
jeff bridges,bradley whitford,albert brooks,color,pg13,albert brooks,english,usa,the muse,6.0,1999.0
kevin mcnally,keith allen,sandra nelson,black and white,pg13,irwin winkler,english,usa,delovely,7.0,2004.0
woody allen,larry david,mia farrow,color,pg,woody allen,english,usa,new york stories,6.0,1989.0
trevor morgan,kyla pratt,shirley douglas,color,g,steve gomer,english,canada,barneys great adventure,3.0,1998.0
rick yune,rza,daniel wu,color,r,rza,english,usa,the man with the iron fists,5.0,2012.0
catherine ohara,jake busey,shelley duvall,color,pg13,dean parisot,english,usa,home fries,5.0,1998.0
bruce greenwood,chris klein,elaine hendrix,color,pg13,mark piznarski,english,usa,here on earth,5.0,2000.0
robert de niro,bob hoskins,jim broadbent,color,r,terry gilliam,english,uk,brazil,8.0,1985.0
oliver james,rebecca de mornay,jason ritter,color,pg,sean mcnamara,english,usa,raise your voice,6.0,2004.0
philip seymour hoffman,jeff bridges,steve buscemi,color,r,joel coen,english,usa,the big lebowski,8.0,1998.0
justin timberlake,michael raymondjames,s epatha merkerson,black and white,r,craig brewer,english,usa,black snake moan,7.0,2006.0
khandi alexander,dash mihok,michael michele,color,r,ron shelton,english,usa,dark blue,7.0,2002.0
angelina jolie pitt,archie panjabi,dan futterman,color,r,michael winterbottom,english,usa,a mighty heart,7.0,2007.0
james franco,jodi lyn okeefe,marla sokoloff,color,pg13,david raynr,english,usa,whatever it takes,6.0,2000.0
vivica a fox,lin shaye,bob gunton,color,r,mort nathan,english,usa,boat trip,5.0,2002.0
colin firth,tom wilkinson,rupert everett,color,pg,oliver parker,english,uk,the importance of being earnest,7.0,2002.0
jennifer jason leigh,campbell scott,estelle parsons,color,unrated,dan curtis,english,usa,the love letter,7.0,1998.0
logan lerman,neil flynn,tim blake nelson,color,pg,wil shriner,english,usa,hoot,6.0,2006.0
elizabeth berrington,anna madeley,eric godon,color,r,martin mcdonagh,english,uk,in bruges,8.0,2008.0
tyler james williams,s epatha merkerson,diahann carroll,color,pg13,tina gordon chism,english,usa,peeples,5.0,2013.0
emma stone,bradley cooper,josh gad,color,pg13,peter cattaneo,english,usa,the rocker,6.0,2008.0
jk simmons,zach gilford,bobby coleman,color,pg13,vicky jenson,english,usa,post grad,5.0,2009.0
matt damon,hal holbrook,terry kinney,color,r,gus van sant,english,usa,promised land,7.0,2012.0
larry david,michael mckean,conleth hill,color,pg13,woody allen,english,usa,whatever works,7.0,2009.0
matthew settle,susan ward,aj buckley,black and white,pg13,mary lambert,english,usa,the in crowd,5.0,2000.0
levon helm,dwight yoakam,guillermo arriaga,color,r,tommy lee jones,english,france,three burials,8.0,2005.0
robin williams,mark margolis,michael jeter,color,pg13,peter kassovitz,english,france,jakob the liar,6.0,1999.0
robert downey jr,corbin bernsen,larry miller,color,r,shane black,english,usa,kiss kiss bang bang,8.0,2005.0
vivica a fox,fred willard,elden henson,color,r,rodman flender,english,usa,idle hands,6.0,1999.0
naomi watts,robert forster,laura harring,color,r,david lynch,english,france,mulholland drive,8.0,2001.0
olivier martinez,agnes bruckner,chris geere,color,pg13,katja von garnier,english,usa,blood and chocolate,6.0,2007.0
anthony hopkins,naomi watts,ewen bremner,color,r,woody allen,english,usa,you will meet a tall dark stranger,6.0,2010.0
andrew garfield,charlie rowe,charlotte rampling,color,r,mark romanek,english,uk,never let me go,7.0,2010.0
thomas kretschmann,eduardo noriega,mac mcdonald,color,r,brad anderson,english,spain,transsiberian,7.0,2008.0
curtis armstrong,pamela reed,mike muscat,color,r,michael chapman,english,usa,the clan of the cave bear,5.0,1986.0
meat loaf,elizabeth perkins,noah emmerich,color,pg13,antonio banderas,english,usa,crazy in alabama,6.0,1999.0
naomi watts,siobhan fallon hogan,brady corbet,color,r,michael haneke,english,usa,funny games,6.0,2007.0
bob hoskins,elaine cassidy,gerard mcsorley,color,pg13,atom egoyan,english,canada,felicias journey,7.0,1999.0
brigitte helm,gustav frhlich,rudolf kleinrogge,black and white,not rated,fritz lang,german,germany,metropolis,8.0,1927.0
david belle,cyril raffaelli,dany verissimopetit,color,r,pierre morel,french,france,district b13,7.0,2004.0
steve buscemi,bill cobbs,treat williams,color,r,gary fleder,english,usa,things to do in denver when youre dead,7.0,1995.0
qi shu,chen chang,satoshi tsumabuki,color,not rated,hsiaohsien hou,mandarin,taiwan,the assassin,6.0,2015.0
dean stockwell,scott glenn,leon,color,r,gregor jordan,english,uk,buffalo soldiers,7.0,2001.0
konstantin lavronenko,vladimir garin,nataliya vdovina,color,unrated,andrey zvyagintsev,russian,russia,the return,8.0,2003.0
nirut sirichanya,petchtai wongkamlao,sarunyu wongkrachang,color,r,tony jaa,thai,thailand,ongbak 2,6.0,2008.0
michael fassbender,jj feild,dave legeno,color,r,neil marshall,english,uk,centurion,6.0,2010.0
christopher heyerdahl,gina bellman,conrad dunn,color,r,russell mulcahy,english,canada,silent trigger,6.0,1996.0
bradley cooper,brooke shields,leslie bibb,color,r,ryhei kitamura,english,usa,the midnight meat train,6.0,2008.0
jennifer hudson,wendy crewson,aubrey poo,color,r,darrell roodt,english,south africa,winnie mandela,6.0,2011.0
channing tatum,al pacino,tracy morgan,color,r,dito montiel,english,usa,the son of no one,5.0,2011.0
eddie izzard,udo kier,edward fox,color,pg13,stefan ruzowitzky,english,germany,all the queens men,4.0,2001.0
stephen graham,gael le cornec,keith allen,color,r,jake paltrow,english,usa,the good night,6.0,2007.0
anna friel,hans matheson,franco nero,color,r,juraj jakubisko,english,slovakia,bathory countess of blood,6.0,2008.0
liam neeson,steve buscemi,loretta devine,color,not rated,anthony silverston,english,south africa,khumba,6.0,2013.0
birgitte hjort srensen,robert forster,melanie griffith,color,r,gabe ibez,english,bulgaria,automata,6.0,2014.0
bruce payne,lucy gaskell,steven elder,color,not rated,gerry lively,english,germany,dungeons dragons wrath of the dragon god,5.0,2005.0
samantha morton,dexter fletcher,linus roache,color,pg13,julien temple,english,uk,pandaemonium,7.0,2000.0
bill murray,chris elliott,willie garson,color,pg,harold ramis,english,usa,groundhog day,8.0,1993.0
matt bomer,channing tatum,kevin nash,color,r,gregory jacobs,english,usa,magic mike xxl,6.0,2015.0
leonardo dicaprio,harold perrineau,brian dennehy,color,pg13,baz luhrmann,english,usa,romeo juliet,7.0,1996.0
kristin scott thomas,aidan quinn,arben bajraktaraj,color,pg13,gilles paquetbrenner,french,france,sarahs key,8.0,2010.0
sharon leal,david rasche,bart shatto,color,r,peter cousens,english,usa,freedom,6.0,2014.0
clint eastwood,morgan freeman,frances fisher,color,r,clint eastwood,english,usa,unforgiven,8.0,1992.0
bryce dallas howard,jeremy davies,jeanmarc barr,color,not rated,lars von trier,english,denmark,manderlay,7.0,2005.0
anil kapoor,saurabh shukla,ayush mahesh khedekar,color,r,danny boyle,english,uk,slumdog millionaire,8.0,2008.0
fred gwynne,lois smith,anne archer,color,r,adrian lyne,english,usa,fatal attraction,7.0,1987.0
julia roberts,hector elizondo,jason alexander,color,r,garry marshall,english,usa,pretty woman,7.0,1990.0
paul hogan,linda kozlowski,john meillon,color,pg,john cornell,english,australia,crocodile dundee ii,6.0,1988.0
mara valverde,chris marquette,chad bishop,color,r,vidhu vinod chopra,english,usa,broken horses,6.0,2015.0
tom cruise,tom berenger,stephen baldwin,color,r,oliver stone,english,usa,born on the fourth of july,7.0,1989.0
doug e doug,leon,malik yoba,black and white,pg,jon turteltaub,english,usa,cool runnings,7.0,1993.0
jensen ackles,jaime king,edi gathegi,color,r,patrick lussier,english,usa,my bloody valentine,6.0,2009.0
chris brown,laz alonso,harry lennix,color,pg13,sylvain white,english,usa,stomp the yard,5.0,2007.0
caroline munro,desmond llewelyn,barbara bach,color,pg,lewis gilbert,english,uk,the spy who loved me,7.0,1977.0
alicia witt,loretta devine,julian richings,color,r,jamie blanks,english,usa,urban legend,6.0,1998.0
eddie cibrian,phylicia rashad,jamie kennedy,color,pg13,tyler perry,english,usa,good deeds,5.0,2012.0
seymour cassel,klaus maria brandauer,susan hogan,color,pg,randal kleiser,english,usa,white fang,7.0,1991.0
will ferrell,elaine hendrix,molly shannon,color,pg13,bruce mcculloch,english,usa,superstar,5.0,1999.0
meryl streep,jim broadbent,olivia colman,color,pg13,phyllida lloyd,english,uk,the iron lady,6.0,2011.0
phil vischer,mike nawrocki,shelby vischer,color,g,mike nawrocki,english,usa,jonah a veggietales movie,7.0,2002.0
janet jackson,khandi alexander,maya angelou,color,r,john singleton,english,usa,poetic justice,6.0,1993.0
mike epps,roger guenveur smith,gino salvano,color,r,kevin bray,english,usa,all about the benjamins,6.0,2002.0
john witherspoon,w earl brown,allen payne,color,r,wes craven,english,usa,vampire in brooklyn,4.0,1995.0
linda blair,richard burton,ned beatty,color,r,john boorman,english,usa,exorcist ii the heretic,4.0,1977.0
sissy spacek,james darcy,vernon dobtcheff,color,pg13,courtney solomon,english,uk,an american haunting,5.0,2005.0
carmen electra,tyler labine,molly shannon,color,pg13,david zucker,english,usa,my bosss daughter,5.0,2003.0
chris hemsworth,milla jovovich,marley shelton,color,r,david twohy,english,usa,a perfect getaway,6.0,2009.0
america ferrera,lance gross,lupe ontiveros,color,pg13,rick famuyiwa,english,usa,our family wedding,5.0,2010.0
alyson hannigan,linda cardellini,poppy montgomery,color,r,alan cohn,english,usa,dead man on campus,6.0,1998.0
lily tomlin,joan plowright,paolo seganti,color,pg,franco zeffirelli,english,italy,tea with mussolini,7.0,1999.0
joe mantegna,bethany joy lenz,kari wuhrer,color,r,tom holland,english,usa,thinner,6.0,1996.0
robert de niro,liza minnelli,mary kay place,color,pg,martin scorsese,english,usa,new york new york,7.0,1977.0
alfre woodard,delroy lindo,isaiah washington,color,pg13,spike lee,english,usa,crooklyn,7.0,1994.0
steve buscemi,eliza coupe,wendell pierce,color,r,chris rock,english,usa,i think i love my wife,6.0,2007.0
peter mensah,kane hodder,lexa doig,color,r,james isaac,english,usa,jason x,4.0,2001.0
anthony hopkins,nick cannon,brian geraghty,color,r,emilio estevez,english,usa,bobby,7.0,2006.0
monica potter,ivana milicevic,china chow,color,pg13,mark waters,english,usa,head over heels,5.0,2001.0
thomas mcdonell,jackson nicoll,osric chau,color,pg13,josh schwartz,english,usa,fun size,5.0,2012.0
emmanuelle seigner,mathieu amalric,isaach de bankol,color,pg13,julian schnabel,french,france,the diving bell and the butterfly,8.0,2007.0
kate winslet,noah emmerich,jane adams,color,r,todd field,english,usa,little children,8.0,2006.0
norman reedus,sharon lawrence,noam jenkins,color,r,davis guggenheim,english,usa,gossip,6.0,2000.0
viggo mortensen,julie kavner,tovah feldshuh,color,r,tony goldwyn,english,usa,a walk on the moon,7.0,1999.0
derek luke,terry pheto,bonnie henna,color,pg13,phillip noyce,english,france,catch a fire,7.0,2006.0
melissa sagemiller,angela featherstone,candace kroslak,color,pg13,stephen carpenter,english,usa,soul survivors,4.0,2001.0
seth gilliam,todd boyce,nigel whitmey,color,pg13,james ivory,english,france,jefferson in paris,6.0,1995.0
colin firth,kristin scott thomas,kris marshall,color,pg13,stephan elliott,english,uk,easy virtue,7.0,2008.0
christopher lee,joseph cotten,behrouz vossoughi,color,pg,james fargo,english,iran,caravans,6.0,1978.0
