<page title>,brand,date added,manuf no,our price,part no,rating,rrp,ship weight,usually ships,you save,ac power supply,ae lock,af assist beam,af lock,af modes,af system points,batteries,battery life,builtin flash range,closest focusing distance,continuous shooting,dimensions wxhxd,drive modes,exposure compensation,external flash,flash exposure compensation,flash exposure lock,iso sensitivity,metering modes,modes,modes in movie,movie length,movies,operating environment,redeye reduction,slow sync speed,still image type,type,weight,zoom,focal length,image stabilisation,,battery batteries,battery life shots per charge,charging time,exposure control,exposure metering,exposure modes,incamera image editing,power sources,scene modes,battery charger,exposure bracketing,flash sync speed,focus modes,image sensor type,lens mount,metering range,shooting modes,continuous shooting options,selftimer,shutter,shutter speed,top continuous shooting speed at full resolution,aeb,af microadjustment,af point selection,af working range,aspect ratio,battery grip,battery indicator,body materials,brightness adjustment,builtin flash coverage,builtin flash gn iso 100 meters,builtin flash recycle time,case,coating,colour filter type,coverage,coverage verticalhorizontal,custom functions,depth of field preview,dioptre correction,display formats,display options,effective pixels,external flash compatibility,external flash control,eyepiece shutter,eyepoint,file numbering,firmware update,flash,flash exposure bracketing,focusing,focusing screen,folders,frame rate,highlight alert,histogram,hotshoe pc terminal,image eraseprotection,image size,intelligent orientation sensor,lcd panel illumination,lenses,lowpass filter,magnification,manual focus,menu categories,menu languages,metadata tag,metering,mirror,movie size,movie type,other,playback zoom,power saving,power supply battery chargers,predictive af,rawjpeg simultaneous recording,remote controller switch,second curtain synchronisation,selected af point display,sensor cleaning,slide show,sound memo,speed,total pixels,viewfinder,viewfinder information,viewing angle horizontallyvertically,water dust resistance,weight body only,wireless file transmitter,xsync,exposure lock,f,file size kb,large l1,medium 1 m1,medium 2 m2,medium m,small s,current displayed product preselected for you,afarea mode,autofocus system,builtin flash,bulb shutter setting,card slot,date time and daylight savings time settings,dustreduction system,exposure metering system,fastest shutter speed,file format,file system,flash compensation,flash control,flash mode,flashready indicator,focus lock,frame advance rate,guide number,image area pixels,image sensor format,metering method,movie,movie audio recording device,movie audio recording format,movie file format,movie metering,movie metering method,movie video compression,picture angle,picture control,remote control modes,sensor size,shutter release modes,shutter type,slowest shutter speed,storage media,supported languages,world time setting,compensation,iso equivalent,media,metering system,mode,recording,ac adapter,accessory shoe,active dlighting,advanced scene modes,approx dimensions,approx weight,autoarea af mode,autofocus sensitivity,compatible lenses,dlighting bracketing,dynamic af mode,exposure meter coupling,flash sync modes,focus point,gps,high iso noise reduction,highest expanded iso sensitivity,highest standard iso sensitivity,image comment,interface,lens aperture,lens compatibility at a glance,lens servo,live view afarea mode,live view lens servo,live view scene auto selector,live view shooting,long exposure noise reduction,lowest standard iso sensitivity,maximum autofocus areaspoints,mirror lock up,monitor adjustments,monitor angle of view,monitor resolution,monitor size,monitor type,movie audio,movie maximum recording time,my menu,nikon creative lighting system cls,playback functions,recent settings,reflex mirror,singlepoint af mode,supplied accessories,supplied software,total custom settings,tripod socket,viewfinder diopter adjustment,viewfinder eyepoint,viewfinder frame coverage,viewfinder magnification,white balance,white balance bracketing,wifi functionality,large l,medium 1m1,medium 2m2,effective pixel,total pixel,afassist lamp,angle of view coverage,bracket,capacity 2gb,color filter,color space,compression,continuous,editing,filed of view,focusing point,format,macintosh,movie editing,multimotion recording,quality,raw format,remote controller,resolution,sensor type,size,smart filter,smart mode,sound,sync speed,synchro flash attachment,user display,windows,wireless
Nikon Coolpix AW120 Digital Camera - Blue (09N-AW120-BLU) | Camerafarm Australia,Nikon Web Site,2/4/2014,09N-AW120-BLU,424.75,316100.0,Not Rated,$449.00,"2 KG
Details","Order In
More info",$24.25,,,,,,,,,,,,,,2 EV in steps of 1/3,,,,,,,,,,,,,,,,,,,,,,,Programmed auto exposure Exposure compensation (-2.0 to +2.0 EV in steps of 1/3 EV),Matrix Center-weighted (digital zoom less than 2x) Spot (digital zoom 2X or more),Auto Easy Auto Scene Smart Portrait,Crop D-Lighting Filter Effects Glamour Retouch Quick Retouch Red eye correction Red eye reduction Skin Softening Small Picture,,Back Light Beach Black and White Copy Close Up Dusk/Dawn Fireworks Show Food Landscape Museum Night Landscape Night Portrait Panorama Assist Party/Indoor Pet Portrait Portrait Scene Auto Selector Snow Sports Sunset Underwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympus OM-D E-M5 Digital Camera - Silver (OM-D E-M5 Silver) | Camerafarm Australia,Olympus,30/7/2012,OM-D E-M5 Silver,1214.85,201141.0,Not Rated,"$1,299.00","2 KG
Details","1-3 Days
More info",$84.15,,,,,,,,,,,,"121 mm (W) x 89.6mm (H) x 41.9mm (D) (CIPA guideline compliant, excluding protrusions)",,,,,,,(1) Digital ESP metering (324-area multi pattern metering) (2) Center weighted average metering (3) Spot metering (approx. 1% of the viewfinder screen. Highlight / shadow bias spot metering are available),,,,,,,,,,"425g with BLN-1 battery and memory card, 373g body only",,,Built-in,,,,,,,,,,"Portrait, e-Portrait, Landscape, Landscape + Portrait, Sport, Night, Night + Portrait, Children, High Key, Low Key, DIS mode, Macro, Nature Macro, Candle, Sunset, Documents, Panorama, Fireworks, Beach & Snow, Fisheye Effect, Wide-Angle, Macro, 3D",BCS-1,"2, 3 or 5 frames in 0.3/0.7/1.0EV steps selectable, 7 frames in 0.3/0.7EV steps selectable","1/250 sec or less depending on flash models or flash mode. FL-LM2: 1/250 sec., FL-50R: 1/180 sec., Exept FL-50R: 1/200 sec., Super FP: 1/125-1/4000 sec.",Single AF (S-AF) / Continuous AF (C-AF) / Manual Focus (MF) / S-AF + MF / AF tracking (C-AF + TR),LiveMOS,Micro Four Thirds,"EV 0 - 20 (Digital ESP metering, Centre weighted average metering, Spot metering)",(1) iAuto (2) P: Programme AE (Programme shift can be performed) (3) A: Aperture priority AE (4) S: Shutter priority AE (5) M: Manual (6) Scene select AE (7) Art Filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix P600 Digital Camera - Red (VNA481AA) | Camerafarm Australia,Nikon Web Site,2/4/2014,VNA481AA,566.65,316104.0,Not Rated,$599.00,"2 KG
Details","Order In
More info",$32.35,,,,,,,,,,,,,,2 EV in steps of 1/3,,,,,,,,,,,,,,,,,,,,,,,Programmed auto exposure with flexible program aperture-priority auto exposure bracketing manual shutter priority auto Exposure compensation (-2.0 to +2.0 EV in steps of 1/3 EV),Matrix Center-weighted Spot,Aperture-Priority Auto (A) Auto Custom User Manual (M) Programmed Auto (P) Scene Scene Auto Selector Special Effects Shutter-Priority Auto (S),Crop D-Lighting Filter Effects Glamour Retouch Quick Retouch Skin Softening Small Picture,,Back Light Beach Black and White Copy Close Up Dusk/Dawn Fireworks Show Food Landscape Museum Night Landscape Night Portrait Panorama Assist Party/Indoor Pet Portrait Portrait Scene Auto Selector Snow Sports Sunset,,,,,,,,,Best Shot Selector Continuous H Continuous H 60 Continuous H 120 Continuous L Multi-shot 16 Pre-shooting cache Single,Can be selected from 10 or 2 seconds duration,Mechanical and CMOS electronic shutter,1/4000-1 sec. 1/4000-15 sec. (when ISO is set to 100 in M mode) When aperture is set to f/7.6 (wide-angle end),Up to 7 shots at approx. 7 frames per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix AW120 Digital Camera - Camo (AW120-Camo) | Camerafarm Australia,Nikon Web Site,2/4/2014,AW120-Camo,424.75,316101.0,Not Rated,$449.00,"2 KG
Details","Order In
More info",$24.25,,,,,,,,,,,,,,2 EV in steps of 1/3,,,,,,,,,,,,,,,,,,,,,,,Programmed auto exposure Exposure compensation (-2.0 to +2.0 EV in steps of 1/3 EV),Matrix Center-weighted (digital zoom less than 2x) Spot (digital zoom 2X or more),Auto Easy Auto Scene Smart Portrait,Crop D-Lighting Filter Effects Glamour Retouch Quick Retouch Red eye correction Red eye reduction Skin Softening Small Picture,,Back Light Beach Black and White Copy Close Up Dusk/Dawn Fireworks Show Food Landscape Museum Night Landscape Night Portrait Panorama Assist Party/Indoor Pet Portrait Portrait Scene Auto Selector Snow Sports Sunset Underwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix S6800 Digital Camera - Red (VNA521AA) | Camerafarm Australia,,,,,,,,,,,,,,,,,,,,,,,,2 EV in steps of 1/3,,,,,,,,,,,,,,,,,,,,Rechargeable Li-ion Battery EN-EL19,"Still pictures*: Approx. 170 shots Movies (actual battery life for recording)*: Approx. 35 min (1080/30p) *Based on Camera and Imaging Products Association (CIPA) standards for measuring the life of camera batteries. Measured at 23(-/+2)C (73(-/+4)F); zoom adjusted with each shot, flash fired with every other shot, image quality set to Normal, image size set to 4608 x 3456 (16M). Battery life may vary depending on shooting interval and length of time menus and images are displayed.",Approx 1 hr 50 min (when using Charging AC Adapter EH71P and when no charge remains) (Approx.),Programmed auto exposure Exposure compensation (-2.0 to +2.0 EV in steps of 1/3 EV),Matrix Center-weighted (digital zoom less than 2x) Spot (digital zoom 2X or more),Programmed Auto Scene Auto Selector,Copy Crop D-Lighting Glamour Retouch Paint Print Order Protect Quick Effects Quick Retouch Red eye correction Rotate Image Slide Show Small Picture Voice Memo,One Rechargeable Li-ion Battery EN-EL19 (supplied) AC Adapter EH-62G (available separately) AC Adapter EH-71P and plug adapter (supplied),Back Light Beach Black and White Copy Close Up Dusk/Dawn Easy Panorama Fireworks Show Food Landscape Museum Night Landscape Night Portrait Party/Indoor Portrait Snow Sports Sunset,,,,,,,,,Best Shot Selector Continuous H Continuous H 60 Continuous H 120 Continuous L Multi-shot 16 Pre-shooting cache Single,Can be selected from 10 or 2 seconds duration,Mechanical and CMOS electronic shutter,1/2000-1 sec. 1/4000 sec. (maximum speed during high-speed continuous shooting) 4 sec. (when scene mode is set to Fireworks show),Up to 7 shots at approx. 9.4 frames per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon 70DB EOS 70D Digital SLR Camera - 20.90MP (Black) | Camerafarm Australia,Canon Web Site,12/8/2013,70DB,1349.05,225770.0,Not Rated,"$1,579.00","2 KG
Details","Order In
More info",$229.95,,"Auto: In One-shot AF mode with evaluative metering exposure is locked when focus is achieved.
Manual: By AE lock button in creative zone modes.",Intermittent firing of built-in flash or emitted by optional dedicated Speedlite,Locked when shutter button is pressed half way in One Shot AF mode or AF-ON button is pressed.,"AI Focus
One Shot
AI Servo","Peripheral Cross type AF points will not function as a cross type AF points with the following lenses: EF 35-80mm f4-5.6 (II/III/USM), EF35-105mm f4.5-5.6 (USM). EF 80-200mm f4.5-5.6 (II) 19 cross-type AF points (extra sensitivity at f/2.8 at centre)","Rechargeable Li-ion Battery LP-E6 (supplied), built in for date & settings","Based on the CIPA Standard and using the batteries and memory card format supplied with the camera, except where indicated Approx. 920 (at 23C, AE 50%, FE 50%)
Approx. 850 (at 0C, AE 50%, FE 50%)",,,"Large/Fine(Quality 8) resolution
Based on Canon's testing conditions, JPEG, ISO 100, Standard Picture Style. Varies depending on the subject, memory card brand and capacity, image recording quality, ISO speed, drive mode, Picture Style, Custom functions etc.
Maximum fps and buffer capacity may be reduced depending on the cameras settings and light level",139.0 x 104.3 x 78.5mm,,+/-5 EV in 1/3 or 1/2 stop increments (can be combined with AEB).,,+/- 3EV in 1/2 or 1/3 increments,Yes,"Auto (100-12800), 100-12800 (in 1/3-stop or whole stop increments)
ISO can be expanded to H: 25600
During Movie shooting: Auto (100-6400), 100-6400 (in 1/3-stop or whole stop increments) ISO can be expanded to H: 12800","TTL full aperture metering with 63 zone Dual Layer SPC
(1) Evaluative metering (linked to all AF points)
(2) Partial metering (approx. 7.7% of viewfinder at centre)
(3) Spot metering (approx. 3.0% viewfinder at centre)
(4) Centre weighted average metering","Auto, Manual flash, Integrated Speedlite Transmitter",,"Max duration 29min 59sec, Max file size 4GB (If file size exceeds 4GB a new file will be created automatically)",,"0 40 C, 85% or less humidity",Yes - with red-eye reduction lamp,,"JPEG: Fine, Normal (Exif 2.21 [Exif Print] compliant) / Design rule for Camera File system (2.0),
RAW: RAW, M-RAW, S-RAW (14bit, Canon original RAW 2nd edition),
Digital Print Order Format [DPOF] Version 1.1 compliant","Pentaprism Electronically-controlled focal-plane shutter Vari angle 7.7cm (3.0"") 3:2 Clear View II TFT, approx. 1040K dots Electronic viewfinder with image sensor 22.5mm x 15.0mm CMOS TTL-CT-SIR with a CMOS sensor",,,,,,,,,,,,,,,,,,,,,EV 1-20 (at 23C with 50mm f/1.4 lens ISO100),,,,,,,"2, 3, 5 or 7 Shots +/-3 EV 1/3 or 1/2 stop increments","C.Fn II-13
+/- 20 steps (wide and tele setting for Zooms)
Adjust all lenses by same amount
Adjust up to 40 lenses individually
Adjustments remembered for lens by serial number","Automatic selection: 19 point AF
Manual selection: Single point AF
Manual selection: Zone AF
AF points can be selected separately for vertical and horizontal shooting",EV -0.5 - 18 (at 23C & ISO100),3:2,BG-E14,6 levels + percentage,Aluminium and polycarbonate resin with glass and conductive fibre,Adjustable to one of seven levels,up to 17mm focal length (35mm equivalent: 28mm),12.0,Approx. 3 seconds,Leather case EH21-L,"Anti-reflection, Solid Structure and Anti smudge",Primary Colour,Approx. 100% Approx. 100% (horizontally and vertically),Approx. 98%,23 Custom Functions,"Yes, with Depth of Field preview button.",-3 to +1 m-1 (dioptre),"(1) Single image with information (2 levels)
(2) Single image
(3) 4 image index
(4) 9 image index
(5) Jump Display","(1) Quick Control Screen
(2) Camera settings
(3) Electronic Level Grid overlay (x3), Histogram, Multi aspect ratios",Approx. 20.20 megapixels,"E-TTL II with EX series Speedlites, wireless multi-flash support",via camera menu screen,On strap,Approx. 22mm (from eyepiece lens centre),"(1) Consecutive numbering
(2) Auto reset
(3) Manual reset",Update possible by the user.,"Canon Speedlites (90EX, 220EX, 270EX, 270EX II, 320EX, 420EX, 430EX, 430EX II, 550EX, 580EX, 580EX II, 600EX, 600EX-RT, Macro-Ring-Lite, MR-14EX, Macro Twin Lite MT-24EX, Speedlite Transmitter ST-E2, Speedlite Transmitter ST-E3-RT)","Yes, with compatible External Flash","Manual Focus (Magnify the image 5x or 10x at any point on screen)
Autofocus: Dual Pixel CMOS AF (Face detection and Tracking AF, FlexiZone-Multi, FlexiZone-Single), Phase detection AF (Quick mode)",Fixed (Transmissive LCD screen),New folders can be manually created and selected,30 fps,Yes,"Brightness: Yes
RGB: Yes",Yes/ No,"Erase: Single image, All images in folder, Checkmarked images, unprotected images
Protection: Erase protection of one image at a time","JPEG 3:2: (L) 5472x3648, (M) 3468x2432, (S1) 2736x1824, (S2) 1920x1280, (S3) 720x480
JPEG 4:3: (L) 4864x3648, (M) 3248x2432, (S1) 2432x1824, (S2) 1696x1280, (S3) 640x480
JPEG 16:9: (L) 5472x3072, (M) 3468x2048, (S1) 2736x1536, (S2) 1920x1080, (S3) 720x408
JPEG 1:1: (L) 3648x3648, (M) 2432x2432, (S1) 1824x1824, (S2) 1280x1280, (S3) 480x480
RAW: (RAW) 5472x3648, (M-RAW) 4104x2736, (S-RAW) 2736x1824",Yes,Yes / Yes,All EF and EF-S lenses,Built-in/Fixed with fluorine coating,"Approx. 0.95x with 50mm lens at infinity, -1m-1 dpt",Selected on lens,"(1) Shooting menu (x6)
(2) Playback menu (x3)
(3) Setup menu (x4)
(4) Custom Functions menu
(5) My Menu","25 Languages
English, German, French, Dutch, Danish, Portuguese, Finnish, Italian, Norwegian, Swedish, Spanish, Greek, Russian, Polish, Czech, Hungarian, Romanian, Ukrainian, Turkish, Arabic, Thai, Simplified Chinese, Traditional Chinese, Korean and Japanese","User copyright information (can be set in camera)
Image rating (0-5 stars)","Real-time evaluative metering with image sensor.
Evaluative metering, partial metering, spot metering, center-weighted average metering.","Quick-return half mirror (Transmission: reflection ratio of 40:60, no mirror cut-off with EF 600mm f/4 IS USM or shorter)","1920 x 1080 (29.97, 25, 23.976 fps) intra or inter frame
1280 x 720 (59.94, 50 fps) intra or inter frame
640 x 480 (29.97, 25 fps) inter frame","MOV (Video: H.264 Intra frame / inter frame, Sound: Linear PCM, recording level can be manually adjusted by user)","Hand Strap E2, GP-E2",1.5x - 10x,"Power turns off after 1, 2, 4, 8, 15 or 30mins.","AC Adapter Kit ACK-E6, Battery charger LC-E6, Car Battery charger CBC-E6","with EF300mm f/2.8L IS USM at 50kph Yes, up to 8m","Yes, any combination of RAW + JPEG, M-RAW + JPEG, S-RAW + JPEG possible.","Remote Switch RS-60E3, Remote Controller RC-6",Yes,Indicated by a transmissive LCD in viewfinder and on top LCD panel and Quick Control screen,EOS integrated cleaning system,"Image selection: All images, by Date, Folder, Movies, Stills
Playback time: 1/2/3/5/10/20 seconds
Repeat: On/Off
Background music: On/Off
Transition effect: Off, Slide in 1, Slide in 2, Fade 1, Fade 2, Fade 3",No,"30-1/8000 sec (1/2 or 1/3 stop increments), Bulb (Total shutter speed range. Available range varies by shooting mode)",Approx. 20.90 megapixels,"Eyecup Eb, E-series Dioptric Adjustment Lens, Eyepiece Extender EP-EX15II, Angle Finder C","AF information: AF points, focus confirmation, AF area selection mode
Exposure information: Shutter speed, aperture value, ISO speed (always displayed), AE lock, exposure level/compensation, spot metering circle, exposure warning, AEB.
Flash information: Flash ready, high-speed sync, FE lock, flash exposure compensation, red-eye reduction light.
Image information: Card information, maximum burst (2 digit display), Highlight tone priority (D+).
Composition information: Grid, Electronic level (2 methods)
Other information: Battery check, Alert symbol",Approx 170,Yes (equal to EOS-1N),"Approx. 755g (CIPA testing standard, including battery and memory card)",Built in,1/250sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon D7000 Digital SLR Camera - 16.2MP Black (791123) | Camerafarm Australia,Nikon Web Site,17/11/2010,791123,2089.95,159105.0,Not Rated,"$2,699.00","3 KG
Details","1-3 Days
More info",$609.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"With 8 GB SanDisk Extreme SDHC memory card, JPEG (image quality: NORMAL, image size: L) images.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympus XZ-10 Digital Camera - Brown (XZ-10 Brown) | Camerafarm Australia,Olympus,8/3/2013,XZ-10 Brown,332.75,217661.0,Not Rated,$349.00,"2 KG
Details","Order In
More info",$16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix P530 Digital Camera - Black (VNA640AA) | Camerafarm Australia,Nikon Web Site,2/4/2014,VNA640AA,472.05,316108.0,Not Rated,$499.00,"2 KG
Details","Order In
More info",$26.95,,,,,,,,,,,,,,2 EV in steps of 1/3,,,,,,,,,,,,,,,,,,,,,,,Programmed auto exposure with flexible program aperture-priority auto exposure bracketing manual shutter priority auto Exposure compensation (-2.0 to +2.0 EV in steps of 1/3 EV),Matrix Center-weighted Spot,Aperture-Priority Auto (A) Auto Custom User Manual (M) Programmed Auto (P) Scene Scene Auto Selector Special Effects Shutter-Priority Auto (S),Crop D-Lighting Filter Effects Glamour Retouch Quick Retouch Skin Softening Small Picture,,Back Light Beach Black and White Copy Close Up Dusk/Dawn Fireworks Show Food Landscape Museum Night Landscape Night Portrait Panorama Assist Party/Indoor Pet Portrait Portrait Scene Auto Selector Snow Sports Sunset,,Yes,,,,,,,Best Shot Selector Continuous H Continuous H 60 Continuous H 120 Continuous L Multi-shot 16 Pre-shooting cache Single,Can be selected from 10 or 2 seconds duration,Mechanical and CMOS electronic shutter,1/4000-1 sec. 1/4000-15 sec. (when ISO is set to 100 in M mode) When the aperture value is set to f/6.6-f/8.3 (wide-angle end),Up to 7 shots at approx. 7 frames per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon IXUS155R Digital Camera - Red | Camerafarm Australia,Canon Web Site,27/2/2014,IXUS155R,143.05,314269.0,Not Rated,$199.00,"2 KG
Details","1-3 Days
More info",$55.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix S3600 Digital Camera - Red (VNA552AA) | Camerafarm Australia,Nikon Web Site,28/4/2014,VNA552AA,122.05,316976.0,Not Rated,$149.00,"2 KG
Details","1-3 Days
More info",$26.95,,,,,,,,,,,,,,2 EV in steps of 1/3,,,,,,,,,,,,,,,,,,,,Rechargeable Li-ion Battery EN-EL19,"Still pictures*: Approx. 230 shots Movies (actual battery life for recording)*: Approx. 45 min *Based on Camera and Imaging Products Association (CIPA) standards for measuring the life of camera batteries. Measured at 23(-/+2)C (73(-/+4)F); zoom adjusted with each shot, flash fired with every other shot, image quality set to Normal, image size set to 5152 3864 (20.1MP). Battery life may vary depending on shooting interval and length of time menus and images are displayed.",2 hours and 50 minutes (when using Charging AC Adapter EH-70P and when no charge remains) (Approx.),Programmed auto exposure Exposure compensation (-2.0 to +2.0 EV in steps of 1/3 EV),Matrix Center-weighted (digital zoom less than 2x) Spot (digital zoom 2X or more),Auto Scene Scene Auto Selector Smart Portrait,Copy Crop D-Lighting Filter Effects Glamour Retouch Print Order Protect Quick Retouch Red eye correction Rotate Image Slide Show Small Picture Voice Memo,One Rechargeable Li-ion Battery EN-EL19 (supplied) AC Adapter EH-62G (available separately),Back Light Beach Black and White Copy Close Up Dusk/Dawn Fireworks Show Food Landscape Museum Night Landscape Night Portrait Panorama Assist Party/Indoor Pet Portrait Portrait Snow Sports Sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix S2800 Digital Camera - Purple (VNA574AA) | Camerafarm Australia,Nikon Web Site,28/4/2014,VNA574AA,122.05,316974.0,Not Rated,$129.00,"2 KG
Details","1-3 Days
More info",$6.95,,,,,,,,,,,,,,2 EV in steps of 1/3,,,,,,,,,,,,,,,,,,,,,,,Programmed auto exposure Exposure compensation (-2.0 to +2.0 EV in steps of 1/3 EV),Matrix Centre-weighted (digital zoom less than 2x) Spot (digital zoom 2X or more),Auto Scene Scene Auto Selector Smart Portrait Special Effects,Crop D-Lighting Filter Effects Glamour Retouch Quick Retouch Red eye correction Small Pic,,Back Light Beach Black and White Copy Close Up Dusk/Dawn Fireworks Show Food Landscape Museum Night Landscape Night Portrait Panorama Assist Party/Indoor Portrait Snow Sports Sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon 600DTKIS EOS 600D Digital SLR Camera - 18.0MP Black | Camerafarm Australia,Canon Web Site,15/3/2011,600DTKIS,876.65,166400.0,Not Rated,"$1,099.00","2.5 KG
Details","Same Day
More info",$222.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
