<page title>,image stabilizer,light sensitivity,max image resolution,optical sensor,resolution,shutter speed,still image format,3d support,digital zoom,focus adjustment,lens aperture,max focal length,min focal length,optical zoom,colour,internal memory,storage media
Fujifilm FinePix AV150  New Zealand Prices - PriceMe,Without Image Stabilizer,ISO 3200,4288x3216,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/2.9-5.2,96mm,32mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Samsung WB1100F  New Zealand Prices - PriceMe,Optical,"80 - 3,200 ISO",3648x2736,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,,,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3- 5.9,875mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon D7100 + Nikon AF-S 18-55/3.5-5.6 VR  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",6000x4000,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, NEF (RAW)",,,,,,,,,,
Pentax K-30  New Zealand Prices - PriceMe,Built-in,"100 - 12,800 ISO",4928x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/6000s,"JPEG, RAW",,,,,,,,,,
Pentax Q10 + 5-15/2.8-4.5  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,,,,,,,,,,,
Canon EOS 6D + 24-70/4 L IS  New Zealand Prices - PriceMe,,"100 - 25,600 ISO",5472x3648,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Panasonic Lumix DMC-G5  New Zealand Prices - PriceMe,Lens based only,"160 - 12,800 ISO",4608x3456,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
Pentax X-5  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.1-5.9,,,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Panasonic Lumix DMC-GX1 + 14-42/3.5-5.6 OIS PZ X  New Zealand Prices - PriceMe,,"160 - 12,800 ISO",4592x3448,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
Panasonic Lumix DMC-GF6 + 14-42/3.5-5.6  New Zealand Prices - PriceMe,,"160 - 25,600 ISO",4592x3448,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,,,,,,,,,,,
Nikon 1 J2 + 10-30/3.5-5.6 VR  New Zealand Prices - PriceMe,,"100 - 3,200 ISO",3872x2592,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/16000s,"JPEG, NEF (RAW)",,,,,,,,,,
Canon EOS 700D + 18-55/3.5-5.6 + 75-300/4.5-5.6  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Panasonic Lumix DMC-GX1 + 14-42/3.5-5.6 + 45-150/4.0-5.6  New Zealand Prices - PriceMe,Lens based only,"160 - 12,800 ISO",4592x3448,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
Samsung WB350F  New Zealand Prices - PriceMe,Optical,"80 - 3,200 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.8-5.9,483mm,23mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon D810  New Zealand Prices - PriceMe,Lens based only,"64 - 12,800 ISO",7360x4912,CMOS,,30-1/8000s,"JPEG, NEF (RAW), RAW, TIFF",,,,,,,,,,
Nikon D4  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",4928x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, NEF (RAW), TIFF",,,,,,,,,,
Canon PowerShot A495  New Zealand Prices - PriceMe,Without Image Stabilizer,"ISO 100, ISO 1600, ISO 200, ISO 400, ISO 80, ISO 800, Auto ISO",3648x2736,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.0-5.8,122mm,37mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Pentax 645Z  New Zealand Prices - PriceMe,,,7360x4912,CMOS,,30-1/4000s,"JPEG, RAW, TIFF",,,,,,,,,,
Fujifilm X-Pro1 + 18/2 XF R  New Zealand Prices - PriceMe,,"200 - 6,400 ISO",4896x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",,,,,,,,,,
Nikon D5200 + 18-55/3.5-5.6 VR + 70-300/4.5-5.6  New Zealand Prices - PriceMe,Lens based only,"100 - 6,400 ISO",6000x4000,CMOS,,30-1/4000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Canon EOS 70D + 18-55/3.5-5.6 + 55-250/4.0-5.6  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",5472x3648,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Nikon D7000 + 18-55/3.5-5.6 VR + 55-200/4.0-5.6 VR  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",4928x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Canon IXUS 255 HS  New Zealand Prices - PriceMe,,"80 - 6,400 ISO",4000x3000,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3- 6.9,240mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Panasonic Lumix DMC-SZ1  New Zealand Prices - PriceMe,Optical,"100 - 6,400 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.1,250mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Canon PowerShot S200  New Zealand Prices - PriceMe,Optical,"80 - 6,400 ISO",3648x2736,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2-5.9,120mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Canon EOS 70D + 18-135/3.5-5.6  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",5472x3648,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Canon PowerShot A2600  New Zealand Prices - PriceMe,,100 ISO,4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.8-6.9,140mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony Cybershot DSC-S2000  New Zealand Prices - PriceMe,Without Image Stabilizer,"ISO 3200, Auto ISO",3648x2736,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.1-5.6,105mm,36mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon D3100  New Zealand Prices - PriceMe,With Image Stabilizer,"100 - 12,800 ISO",4608x3072,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, NEF (RAW)",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.5-5.6,,,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Canon EOS 100D + 40/2.8 STM  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Canon EOS 7D + 15-85/3.5-5.6 IS  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Fujifilm FinePix F40 FD  New Zealand Prices - PriceMe,Without Image Stabilizer,"100 - 2,000 ISO",3296x2472,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",3-1/2000s,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.8-5.1,108mm,36mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sigma DP2 Merrill  New Zealand Prices - PriceMe,No,"100 - 6,400 ISO",4752x3168,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,"Multi Media Card (MMC), Secure Digital (SD), Secure Digital HC (SDHC), Secure Digital XC (SDXC)"
Sony Alpha SLT-A37 + 18-135/3.5-5.6  New Zealand Prices - PriceMe,,"100 - 16,000 ISO",4912x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Canon PowerShot A3400 IS  New Zealand Prices - PriceMe,Optical,"100 - 1,600 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.8-6.9,140mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Panasonic Lumix DMC-TZ55  New Zealand Prices - PriceMe,Optical,"100 - 6,400 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.3-6.4,480mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon 1 J3  New Zealand Prices - PriceMe,,"160 - 6,400 ISO",4608x3072,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/16000s,"JPEG, NEF (RAW)",,,,,,,,,,
Fujifilm FinePix F70 EXR  New Zealand Prices - PriceMe,With Image Stabilizer,"ISO 100 , ISO 1600 , ISO 200 , ISO 3200 , ISO 400 , ISO 800 , ISO 6400 , Auto ISO , ISO 12800",3616x2712,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",4-1/2000s,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.3-5.6,50.0mm,5.0mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Fujifilm X-Q1  New Zealand Prices - PriceMe,Optical,100 ISO,4000x3000,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/1.8-4.9,100mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Pentax K-x + 18-55/3.5-5.6 + 50-200/4.0-5.6  New Zealand Prices - PriceMe,,"200 - 6,400 ISO",4288x2848,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/6000s,"JPEG, RAW",,,,,,,,,,
Nikon 1 J1 + 10-30/3.5-5.6 VR  New Zealand Prices - PriceMe,,"100 - 3,200 ISO",3872x2592,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/16000s,"JPEG, NEF (RAW), RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Nikon D3100 + 18-55/3.5-5.6 + 55-200/4.0-5.6  New Zealand Prices - PriceMe,,"100 - 3,200 ISO",4608x3072,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, NEF (RAW), RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Canon EOS 60D + 18-200/3.5-5.6 IS  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Casio Exilim EX-ZR1200  New Zealand Prices - PriceMe,,Auto/ISO80/ISO100/ISO200/ISO400 /ISO800/ISO1600/ISO3200,4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",1/4 -1/2000s,"JPEG, RAW",No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.0-5.9,53mm,4.24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,48.9MB,"SD Memory Card, SDHC Memory Card, SDXC Memory Card compatible"
Fujifilm Finepix J15 FD  New Zealand Prices - PriceMe,,"64 - 1,600 ISO",3264x2448,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,113mm,38mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Olympus OM-D E-M10 + 14-150mm  New Zealand Prices - PriceMe,Built-in,"100 - 25,600 ISO",4608x3456,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
Sony Cybershot DSC-WX30  New Zealand Prices - PriceMe,Optical & ISO anti-shake,"100 - 3,200 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.6-8,125mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,32MB,Memory Stick Duo (MS Duo)Memory Stick Pro (MS Pro)Memory Stick Pro Duo (MS Pro Duo)Secure Digital (SD)Secure Digital HC (SDHC)Secure Digital XC (SDXC)
Pentax K-5 II + 18-55/3.5-5.6 WR  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",4928x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Canon EOS 7D + 28-135/3.5-5.6 IS USM  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Nikon D3200 + Tamron 18-270/3.5-6.3 Di II VC PZD  New Zealand Prices - PriceMe,Lens based only,"100 - 6,400 ISO",6016x4000,CMOS,,30-1/4000s,"JPEG, NEF (RAW)",,,,,,,,,,
Fujifilm Finepix HS20 EXR  New Zealand Prices - PriceMe,With Image Stabilizer,ISO 12800,4608x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,RAW,,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/2.8-5.6,126mm,4.2mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Leica V-LUX 3  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",4000x3000,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.8-5.2,600mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony NEX-3 + 16/2.8 + 18-55/3.5-5.6 OSS  New Zealand Prices - PriceMe,,"200 - 12,800 ISO",4592x3056,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Panasonic Lumix DMC-GH1 + 14-140/4.0-5.8 OIS  New Zealand Prices - PriceMe,,"100 - 3,200 ISO",4000x3000,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
Olympus OM-D E-M10 + 14-42 + 40-150mm  New Zealand Prices - PriceMe,Built-in,"100 - 25,600 ISO",4608x3456,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
Sony Cybershot DSC-W710  New Zealand Prices - PriceMe,,100 - 800 ISO,4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.2-6.5,140mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,Memory Stick Duo (MS Duo)Memory Stick Micro (MS Micro)Memory Stick Pro (MS Pro)Memory Stick Pro Duo (MS Pro Duo)microSD/TransFlashmicroSDHCSecure Digital (SD)Secure Digital HC (SDHC)
Sony Alpha A580  New Zealand Prices - PriceMe,With Image Stabilizer,ISO 12800,4912x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,RAW,,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Nikon D5100  New Zealand Prices - PriceMe,Without Image Stabilizer,ISO 25600,4928x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,RAW,,,,,,,,,,
