3d,<page title>,af illuminator,aperture,battery,body type,brand,category,connector type,continuous shooting speed,depth,digital video format,digital zoom,display form factor,ean,exposure compensation,exposure modes,flash modes,flash range,flash type,focal length,gps,height,image format,image processor,image resolutions,image stabilizer,included accessories,installed memory,light sensitivity iso,max shutter speed,memory type,metering modes,microphone,min shutter speed,optical zoom,product name,product rating,recording functions,red eye reduction,resolution,screen resolution,screen size,screen type,self timer delay,sensor size,sensor type,special effects,touchscreen,user reviews,video resolution,weight,white balance,white balance presets,width,ae bracketing,autofocus,camera type,flash sync speed,focal length multiplier,image ratio,lens mount,lowest recommended price,manual focus,number of focus points,orientation sensor,remote control,sensor format,upc,viewfinder coverage,viewfinder magnification,viewfinder type,focal length equivalent to 35mm,live view,environmentally sealed,wireless,lowest price,isbn,isbn13
,"Canon EOS M body digital camera prices, Shopping comparison for Canon EOS M body, Buy online in India - ShopMania",Yes,F/3.5-5.6,,Mirrorless,Canon,Digital Cameras Digital Cameras,USB / mini HDMI,4.0,,MOV / MPEG-4 / H.264,,Fixed,"4547410118032, 4960999907079, 0689466659207, 8714574590493, 8714574590936, 8714574590707, 4960999906720","-/+ 3 EV range, in 1/2 or 1/3 EV steps",Aperture Priority / Program / Shutter Priority,Auto / Off / On,,,18 - 55 mm,,,DCF / DPOF / JPEG / RAW,Digic 5,480x480 / 640x480 / 720x400 / 720x480 / 1280x1280 / 1696x1280 / 1728x1728 / 1920x1080 / 1920x1280 / 2304x1728 / 2304x2304 / 2592x1456 / 2592x1728 / 3072x2304 / 3456x1944 / 3456x2304 / 3456x3456 / 4608x3456 / 5184x2912 / 5184x3456,,AV cable / Body cap / Charger / USB cable,,100 / 200 / 400 / 800 / 1600 / 3200,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Partial / Spot,Yes,60s (more than 91%),,Canon EOS M body Canon EOS M body,4 out of 5 4 out of 5,"Face Detection
/ HDR",,18 MP (more than 90%),1040000 (more than 94%),"3"" (more than 62%)",Clear View II LCD,2s / 10s,22.3x14.9mm,CMOS,,Yes,Write a review Write a review,,298 g,,Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent / Shade,,"-/+ 2 EV (3 frames in 1/3, 1/2 EV steps)","Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single",Body,1/200,1.6x,,Canon EF-M,,Yes,31.0,Yes,,APS-C,689466659207,,,,,Yes,,,,1285459237.0,9781285459233.0
,"Vivitar T027 digital camera prices, Shopping comparison for Vivitar T 027, Buy online in India - ShopMania",,F/3.0,,,Vivitar,Digital Cameras Digital Cameras,,,,AVI,,,"0681066477878, 0681066980453, 0681066372364, 0876544694469, 0876544693936","-/+ 3 EV range, in 1/3 EV steps",,Auto / Fill-in / Off / Red Eye Reduction,,,,,,JPEG,,640x480 / 2048x1536 / 2592x1944 / 3264x2448 / 4000x3000,,,,,,,,Yes,,,Vivitar T027 Vivitar T027,0 out of 5 0 out of 5,,,12.1 MP (more than 57%),,"2.7""",LCD,2s / 5s / 10s,,,,,Write a review Write a review,,,,Cloudy / Daylight / Sunny / Incandescent,,,,,,,,,,,,,,,"681066477878, 681066980453, 681066372364, 876544694469, 876544693936",,,,,,,,,,
,"Sony DSC-QX10 digital camera prices, Shopping comparison for Sony DSC QX 10, Buy online in India - ShopMania",Yes,F/3.3-5.9,Li-Ion,Compact,Sony,Digital Cameras,USB / micro USB,,30 mm,MP4 / MPEG-4,,,"0027242872004, 4905524951233, 4905524951240","-/+ 2 EV range, in 1/3 EV steps",Intelligent Auto / Macro / Program / Scene,,,,,Yes,62 mm,DCF / DPOF / JPEG / DCF 2.0,Bionz,1920x1080 / 2592x1944 / 2720x1528 / 3648x3648 / 4864x3648 / 4896x2752,Optical,Carrying strap,,Auto / 20 / 25 / 100 / 150 / 250 / 1600 / 3200 / 12800,1/1600,Memory Stick / Memory Stick Micro / SDXC / micro SD,Multi,Yes,4s,10x (more than 83%),Sony DSC-QX10,0 out of 5,"Face Detection
/ HDR",,18 MP (more than 90%),,"1""",,2s,1/2.3,BSI CMOS,,Yes,Write a review,,105 g,,"Artificial
/ Cloudy / Daylight / Sunny / Shade",62 mm,,"Contrast Detect
/ Face Detection
/ Multi-area
/ Touch",,,,4:3 / 16:9,,"Rs.11,987 - Naaptol.com Cameras Show all prices »",,,Yes,Yes,,027242872004,,,,25 - 250 mm,,,Yes,,,
,"Argus DC-1500 digital camera prices, Shopping comparison for Argus DC 1500, Buy online in India - ShopMania",,,Li-Ion,,Argus,Digital Cameras,USB,,,AVI,8x,,,,Auto / Scene,,,,,,,JPEG,,,,,,Auto,,,,,,,Argus DC-1500,0 out of 5,,Yes,5 MP,,"2.7""",,,,CMOS,,,Write a review,,,,Cloudy / Daylight / Sunny / Fluorescent / Tungsten,,,,,,,,,"Rs.2,800.42 - http://www.tinydeal.com/ Show all prices »",,,,,,,,,,36 - 108 mm,,,,,,
,"Canon IXUS 155 digital camera prices, Shopping comparison for Canon IXUS 155, Buy online in India - ShopMania",,F/3.0 / F/3.0-6.9,Li-Ion,Compact,Canon,Digital Cameras,Composite / USB / mini HDMI,0.8,,MOV / H.264,4x,,"8714574615578, 8714574615615, 8714574615653, 8714574618364, 8714574615691","-/+ 2 EV range, in 1/3 EV steps",Macro / Movie / Scene,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,4 m,,4.3 - 43 mm,Yes,,DPOF / JPEG,Digic 4,,Optical,,,Auto / 20 / 25 / 100 / 200 / 400 / 640 / 800 / 1600 / 2000,1/2000,SD / SDHC / SDXC,Multi / Spot,Yes,1s,10x (more than 83%),Canon IXUS 155,0 out of 5,Face Detection,Yes,20 MP (more than 95%),230000,"2.7""",LCD,2s / 10s,1/2.3,CCD,Miniature / Monochrome / Vivid,,Write a review,,142 g,,"Artificial
/ Cloudy / Daylight / Sunny / Fluorescent",,,,,,,,,"Rs.5,489 - Shopclues.com Show all prices »",,,,,,,,,,24 - 240 mm,,,,,,
,"Nikon COOLPIX A digital camera prices, Shopping comparison for Nikon A, Buy online in India - ShopMania",,F/2.8,Li-Ion,Compact,Nikon,Digital Cameras,HDMI / USB / mini HDMI,4.0,"40,3",AVC / MOV / MPEG-4 / H.264,,,"0018208264230, 0018208264247, 0018208935239, 0018208935192, 0018208935208, 0689466662979, 0689466662986, 0845251052572","-/+ 5 EV range, in 1/3 EV steps",Aperture Priority / Beach & Snow / Candle / Children / High key / Landscape / Low key / Manual / Night Portrait / Portrait / Program / Sport / Sunset,Auto / Manual / Off / On,11.50 m,,18.5 mm,Yes,"64,3",DCF / DPOF / JPEG / NEF / RAW / DCF 2.0,Expeed C2,4928x3264,,Charger / USB cable,,Auto / 25 / 50 / 64 / 100 / 200 / 400 / 800 / 1600 / 2000 / 6400 / 25600,1/2000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,30s (more than 65%),1x,Nikon COOLPIX A,0 out of 5,,,16 MP (more than 78%),921000 (more than 84%),"3"" (more than 62%)",LCD,2s / 5s / 10s / 20s,23.6x15.7mm,CMOS,,,Write a review,,299 g,,Cloudy / Daylight / Sunny / Flash / Incandescent,11 mm,,"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Tracking",,,,,,"Rs.49,620 - Indiatimes.com Show all prices »",Yes,,,Yes,,"018208264230, 018208264247, 018208935239, 018208935192, 018208935208, 689466662979, 689466662986, 845251052572",,,,,,,,,,
,"Sony NEX-5R kit 16-50mm digital camera prices, Shopping comparison for Sony NEX 5R kit 16 50mm, Buy online in India - ShopMania",Yes,F/3.5-5.6,Li-Ion,Mirrorless,Sony,Digital Cameras,USB / mini HDMI,10.0,,AVC / AVCHD / MP4 / H.264,8x,Folding,"0018545629594, 0027242856790, 4905524900637, 0639767679626, 0639767673013, 0846431085083, 0027242856783, 0689466655483, 0689466655469, 0689466655476","-/+ 3 EV range, in 1/3 EV steps",Aperture Priority / Intelligent Auto / Program / Scene / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,12 m,,16 - 50 mm,,,DCF / DPOF / JPEG / RAW,Bionz,2448x1376 / 2448x1624 / 3568x2000 / 3568x2368 / 4912x2760 / 4912x3264,,Charger / USB cable,,100 / 200 / 400 / 800 / 1600 / 3200 / 12800 / 25600,1/4000,Memory Stick PRO Duo / Memory Stick PRO-HG Duo / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,30s (more than 65%),3.1x,Sony NEX-5R kit 16-50mm,0 out of 5,"Face Detection
/ HDR
/ Panorama
/ Smile Detection
/ Sweep Panorama",,16.1 MP (more than 84%),920000 (more than 80%),"3"" (more than 62%)",LCD,2s / 10s,23.4x15.6mm,CMOS,,Yes,Write a review,1440x1080 / 1920x1080,276 g,,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Shade / Tungsten",,,"Continuous
/ Contrast Detect
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single",Kit,1/160,1.5x,3:2 / 16:9,Sony E,"Rs.38,990 - Homeshop18.com Show all prices »",Yes,25.0,Yes,,APS-C,"018545629594, 027242856790, 639767679626, 639767673013, 846431085083, 027242856783, 689466655483, 689466655469, 689466655476",,,,,,,Yes,,,
Yes,"Olympus SH-25MR digital camera prices, Shopping comparison for Olympus SH 25MR, Buy online in India - ShopMania",Yes,F/3.0-5.9,Li-Ion,Compact,Olympus,Digital Cameras,Composite / HDMI / USB / micro HDMI,10.0,,MJPEG,4x,,"4545350039257, 4545350039271","-/+ 2 EV range, in 1/3 EV steps",Program / Scene,Auto / Fill-in / Manual / Off / Red Eye Reduction,9.40 m,,4.2 - 52.5 mm,Yes,,DCF / DPOF / JPEG,TruePic V,640x480 / 1280x960 / 1600x1200 / 1920x1080 / 2048x1536 / 2560x1920 / 3264x2448 / 4608x2592 / 4608x3456,,AV cable / Carrying strap / Power adapter / USB cable,59 MB,80 / 3200 / 6400,1/2000,SD / SDHC / SDXC,Spot,Yes,1/4,12.5x (more than 91%),Olympus SH-25MR,4 out of 5,"Face Detection
/ HDR
/ Panorama
/ Sweep Panorama",,16 MP (more than 78%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 12s,1/2.3,CMOS,Fisheye / Soft Focus,Yes,Write a review,1280x720,208 g,,"Artificial
/ Cloudy / Fluorescent / Indoor / Sunlight / Sunny
/ Tungsten",,,,,,,,,,,,,,,,,,,24 - 300 mm,,,,"Rs.20,286 Show all prices »",,
Yes,"Sony DSC-HX200V digital camera prices, Shopping comparison for Sony DSC HX 200V, Buy online in India - ShopMania",Yes,F/2.8-5.6,Li-Ion,Compact,Sony,Digital Cameras,HDMI / USB / mini HDMI,10.0,94 mm,AVCHD / MPEG / MPEG-4,2x,Folding,"4905524831634, 0610696370488, 0610696370495, 0610696370471, 4905524831658, 0661799742566, 0876544937290, 0876544937313, 0661799742559, 0876544937269, 0661799742542, 0876544937306, 0876544937252, 0661799742573, 0876544937276, 0027242843905, 0845251034578, 0845251034561","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Beach / Custom / Food / High Sensitivity / Intelligent Auto / Program / Scene / Shutter Priority / Snow / Soft Skin / Sunset / 3D,Auto / Off / On / Rear Curtain / Red Eye Reduction / Slow Speed Sync,12.40 m,Built-in,4.8 - 144 mm,Yes,86 mm,DCF / DPOF / JPEG,Bionz,640x480 / 1920x1080 / 2048x1536 / 2592x1944 / 3072x2304 / 3264x2448 / 3424x1920 / 3456x2304 / 3456x2592 / 3648x2432 / 3648x2736 / 4000x2248 / 4000x3000 / 4320x2432 / 4320x3240 / 4608x2592 / 4608x3456 / 4896x2752 / 4896x3672 / 4912x1080 / 10480x4096,Optical,AV cable / Carrying strap / Lens cap / USB cable,105 MB,Auto / 100 / 125 / 200 / 250 / 320 / 400 / 500 / 640 / 800 / 1000 / 1250 / 1600 / 2000 / 2500 / 3200 / 4000 / 5000 / 8000 / 12800,1/4000,Memory Stick / Memory Stick Duo / Memory Stick Micro / Memory Stick PRO Duo / Memory Stick PRO-HG Duo / SD / SDHC / SDXC / micro SD / micro SDHC / Memory Stick Micro M2,Center-weighted / Multi / Spot,Yes,30s (more than 65%),30x (more than 98%),Sony DSC-HX200V,4 out of 5,"Face Detection
/ HDR
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,18.2 MP (more than 94%),921600 (more than 90%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,BSI CMOS,Monochrome / Saturation / Soft,,Write a review,320x240 / 1280x720 / 1440x1080 / 1920x1080,583 g,Custom / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent / Outdoor / Sunny
/ Tungsten",122 mm,,"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Selective Single-point
/ Single
/ Tracking",,,,4:3 / 16:9,,,Yes,,Yes,,,"610696370488, 610696370495, 610696370471, 661799742566, 876544937290, 876544937313, 661799742559, 876544937269, 661799742542, 876544937306, 876544937252, 661799742573, 876544937276, 027242843905, 845251034578, 845251034561",,,Electronic / Optical,27 - 810 mm,Yes,,,"Rs.24,947 Show all prices »",,
,"Olympus MJU 7040 digital camera prices, Shopping comparison for Olympus MJU 7040, Buy online in India - ShopMania",,F/3.0-5.9,Li-Ion,Compact,Olympus,Digital Cameras Digital Cameras,Composite / HDMI / USB / micro HDMI,0.7,26 mm,MJPEG / MPEG / MPEG-4 / H.264,7x,Fixed,"0876544664042, 0876544543491, 0050332172654, 0050332172661, 0050332172678, 0876544543514, 0876544664035, 0876544664059, 0876544543484, 0876544543545, 0876544543507, 0876544543477, 0876544543521, 4545350026967","-/+ 2 EV range, in 1/3 EV steps",Auto / Intelligent Auto / Manual / Program / Scene,Auto / Fill-in / Manual / Off / On / Red Eye Reduction,5.70 m,Built-in,,Yes,56 mm,DCF / DPOF / JPEG,TruePic III,640x480 / 1280x960 / 1600x1200 / 1920x1080 / 2048x1536 / 2560x1920 / 3264x2448 / 4288x2416 / 4288x3216,Digital,AV cable / Charger / Hand strap / USB cable,2 GB,Auto / 64 / 100 / 200 / 400 / 800 / 1250 / 1600,1/2000,SD / SDHC,Multi / Spot,Yes,4s,7x (more than 79%),Olympus MJU 7040 Olympus MJU 7040,4 out of 5 4 out of 5,"Face Detection
/ Panorama
/ Sweep Panorama",Yes,14 MP (more than 67%),230000,"3"" (more than 62%)",LCD,2s / 10s / 12s,1/2.33,CCD,Black & White / Contrast / Fisheye / Saturation / Sepia,,Write a review Write a review,320x240 / 640x480 / 1280x720,144 g,Automatic / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Indoor / Overcast / Sunlight / Tungsten",95 mm,,"Contrast Detect
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,4:3 / 16:9,,,,,,Yes,,"876544664042, 876544543491, 050332172654, 050332172661, 050332172678, 876544543514, 876544664035, 876544664059, 876544543484, 876544543545, 876544543507, 876544543477, 876544543521",,,,28 - 196 mm,Yes,,,,,
,"Olympus SZ-16 iHS digital camera prices, Shopping comparison for Olympus SZ 16 iHS, Buy online in India - ShopMania",Yes,F/3.0-6.9,Li-Ion,,Olympus,Digital Cameras,Composite / USB / micro HDMI,30.0,,MJPEG / MPEG-4 / H.264,4x,Fixed,"0689466651966, 0845251052237, 0689466651898, 4545350043131, 0845251052251, 0689466651935, 0689466651942, 4545350043124, 0050332184923, 0845251052244, 0050332184930, 4545350043148, 0689466651959","-/+ 2 EV range, in 1/3 EV steps",Macro,Auto / Fill-in / Manual / Off / On / Red Eye Reduction,13.20 m,,4.5 - 108 mm,,,DCF / DPOF / JPEG,TruePic V,640x480 / 2048x1536 / 3264x2448,Mechanical,Carrying strap / Charger / Stylus / USB cable,43 MB,25 / 80 / 100 / 200 / 400 / 800 / 1600,1/1700,SDXC,Multi / Spot,Yes,4s,24x (more than 96%),Olympus SZ-16 iHS,0 out of 5,"Face Detection
/ HDR
/ Panorama
/ Sweep Panorama",Yes,16 MP (more than 78%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 12s,1/2.3,CCD,,,Write a review,320x180 / 320x240 / 640x480,226 g,,"Artificial
/ Cloudy / Sunlight",,,"Contrast Detect
/ Face Detection
/ Multi-area
/ Single
/ Tracking",,,,,,"Rs.21,708 - Grabmore India Show all prices »",,,Yes,,,"689466651966, 845251052237, 689466651898, 845251052251, 689466651935, 689466651942, 050332184923, 845251052244, 050332184930, 689466651959",,,,25 - 600 mm,Yes,,,,,
Yes,"Panasonic DMC-SZ7 digital camera prices, Shopping comparison for Panasonic DMC SZ 7, Buy online in India - ShopMania",Yes,F/3.1-5.9,Li-Ion,Compact,Panasonic,Digital Cameras Digital Cameras,Composite / USB / mini HDMI / mini USB,10.0,,AVCHD / MPEG / MPEG-4 / H.264,4x,Fixed,"5025232662746, 5025232662715, 5025232662722, 0661799604291, 0661799604277, 0876544946971, 0661799604284","-/+ 2 EV range, in 1/3 EV steps",Intelligent Auto / Program / Scene,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,5.60 m,Built-in,4.5 - 45 mm,,,DCF / DPOF / JPEG / MPO,,640x480 / 1920x1080 / 2048x1536 / 2560x1920 / 3232x3232 / 3648x2736 / 3744x3744 / 4320x2432 / 4320x2880 / 4320x3240,Optical,Carrying strap / Power adapter / USB cable,70 MB,Auto / 100 / 200 / 400 / 800 / 1600 / 3200,1/1600,SD / SDHC / SDXC,Multi,Yes,8s,10x (more than 83%),Panasonic DMC-SZ7 Panasonic DMC-SZ7,4 out of 5 4 out of 5,"Face Detection
/ HDR
/ Panorama
/ Sweep Panorama",Yes,14.1 MP (more than 73%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2.33,CMOS,Black & White / Monochrome / Retro / Sepia / Soft Focus / Vivid,,Write a review Write a review,1280x720 / 1920x1080,133 g,Automatic,Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent / Shade / Tungsten,,,"Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Single
/ Tracking",,,,1:1 / 3:2 / 4:3 / 16:9,,,,23.0,Yes,,,"661799604291, 661799604277, 876544946971, 661799604284",100%,,,25 - 250 mm,Yes,,,,,
,"Olympus T-10 digital camera prices, Shopping comparison for Olympus T 10, Buy online in India - ShopMania",,F/3.1-5.9,NiMH,Compact,Olympus,Digital Cameras,USB,,28 mm,AVI / MJPEG / WAV,4x,Fixed,0050332176256,"-/+ 2 EV range, in 1/3 EV steps",Intelligent Auto / Program / Scene,Auto / Manual / Off / On / Red Eye Reduction,4.20 m,Built-in,6.3 - 18.9 mm,,61 mm,DCF / DPOF / JPEG,TruePic III+,640x480 / 1280x960 / 1600x1200 / 1920x1080 / 2048x1536 / 2560x1920 / 3264x2448 / 3648x2736,Digital,Hand strap / USB cable,18 MB,Auto / 100 / 200 / 400 / 800 / 1600,1/2000,MultiMediaCard / SD / SDHC,Spot,Yes,4s,3x,Olympus T-10,0 out of 5,"Face Detection
/ Panorama",Yes,10 MP,,"2.4""",LCD,2s / 12s,1/2.3,CCD,Fisheye,,Write a review,320x240 / 640x480,170 g,Automatic / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Fluorescent / Indoor / Sunlight / Sunny
/ Tungsten",97 mm,,,,,,,,"Rs.2,699 - Homeshop18.com Show all prices »",,,,,,050332176256,,,,36 - 108 mm,,,,,,
,"Canon PowerShort SX230 HS digital camera prices, Shopping comparison for Canon PowerShort SX 230 HS, Buy online in India - ShopMania",Yes,F/3.1-5.9,Li-Ion,Compact,Canon,Digital Cameras Digital Cameras,Composite / USB / mini HDMI,6.0,33 2,MOV / MPEG / QuickTime / H.264,4x,Fixed,"8714574565651, 8714574565835, 8714574565743, 0876544737012, 0610563301034, 0610563300990, 0876544736985, 0610563301027, 0837654976609, 0876544736992, 0837654974216, 0610563301072, 0013803135169, 0837654976593, 0846431033800, 8714574565750, 0837654976616, 0610563301041, 0662425800438, 0610563301010, 0013803133929, 0610563301065, 0610563301058, 0662425800469, 0846431033770, 0876544737005, 0876544737029, 0662425800445, 0876544737036, 0662425800421, 0662425800476, 0876544737043","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Manual / Program / Scene / Shutter Priority,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3.50 m,Built-in,5 - 70 mm,Yes,62 mm,DCF / DPOF / JPEG,Digic 4,480x480 / 640x360 / 640x424 / 640x480 / 1200x1200 / 1600x1064 / 1600x1200 / 1920x1080 / 2112x2112 / 2816x1584 / 2816x1880 / 2816x2112 / 2992x2992 / 3456x2592 / 4000x2248 / 4000x2664 / 4000x3000,Optical,Charger,,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,1/3200,MultiMediaCard / MultiMediaCard Plus / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,15s (more than 51%),14x (more than 91%),Canon PowerShort SX230 HS Canon PowerShort SX230 HS,4 out of 5 4 out of 5,"Blink Detection
/ Face Detection
/ Smile Detection",Yes,12.1 MP (more than 57%),461000 (more than 77%),"3"" (more than 62%)",PureColor II TG LCD,Custom / 2s / 10s,1/2.3,BSI CMOS,"Black & White / Color Accent / Color Swap / Contrast / Custom Effect / Darker Skin Tone / Fisheye / Foliage
/ Lighter Skin Tone / Monochrome / Neutral / Positive Film / Retro / Sepia / Vivid",Yes,Write a review Write a review,320x240 / 640x424 / 1280x720 / 1920x1080,223 g,Automatic / Custom / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Fluorescent / Incandescent / Tungsten / Underwater",106 mm,,"Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,1:1 / 3:2 / 4:3 / 16:9,,,Yes,9.0,Yes,,,"876544737012, 610563301034, 610563300990, 876544736985, 610563301027, 837654976609, 876544736992, 837654974216, 610563301072, 013803135169, 837654976593, 846431033800, 837654976616, 610563301041, 662425800438, 610563301010, 013803133929, 610563301065, 610563301058, 662425800469, 846431033770, 876544737005, 876544737029, 662425800445, 876544737036, 662425800421, 662425800476, 876544737043",100%,,Optical,28 - 392 mm,Yes,,,,,
,"Fujifilm SL300 digital camera prices, Shopping comparison for Fujifilm SL 300, Buy online in India - ShopMania",Yes,F/3.1-5.9,Li-Ion,Compact,Fujifilm,Digital Cameras,Composite / HDMI / USB / mini HDMI,8.0,,AVI / MJPEG / MPEG / H.264,6.7x,Fixed,"4547410197471, 0876544934558, 0074101014495, 0876544539937, 0876544540025, 0616932797354","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Custom / Program / Scene / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,7 m,Built-in / External,4.3 - 129 mm,,,DCF / DPOF / JPEG,,640x480 / 1920x1080 / 2048x1360 / 2048x1536 / 3072x1728 / 3072x2048 / 3072x2304 / 4288x2416 / 4288x2864 / 4288x3216,Optical,Charger / Lens cap,,Auto / 64 / 100 / 200 / 300 / 400 / 800 / 1600 / 3200 / 6400,1/2000,SD / SDHC / SDXC,Average / Center-weighted / Multi / Spot,Yes,8s,30x (more than 98%),Fujifilm SL300,4 out of 5,"Blink Detection
/ Face Detection
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,14 MP (more than 67%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,CCD,Neutral / Vivid,,Write a review,320x240 / 1280x720,510 g,Automatic,"Daylight / Sunny / Fine / Flash / Fluorescent / Incandescent / Indoor / Shade / Sunny
/ Tungsten",,,"Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Single
/ Tracking",,,,3:2 / 4:3 / 16:9,,"Rs.12,665 - Homeshop18.com Show all prices »",,,,,,"876544934558, 074101014495, 876544539937, 876544540025, 616932797354",97%,,Electronic,24 - 720 mm,Yes,,,,,
