<page title>,camera body only,camera type,depth,effective megapixels,environmental protection,flash,gps enabled,height,image sensor,image stabilization,interface connection,lcd screen size,lens mount,maximum video capture resolution,memory card support,total pixels,url,warranty information,weight,width,wifi,brand name,builtin flash,camera modes,exposure control,maximum diopter adjustment,minimum diopter adjustment,number of batteries support,parent retsku,pictbridge,product model,viewfinder type,digital zoom,focal length,focal length 35mm equivalent,optical zoom,analog video out,autofocus points,battery builtin,battery include,battery model supported,battery rechargeable,gps,hd movie mode,iso sensitivity,language support,longest shutter speed,maximum frame rate,parent product type,product line,self timer,shortest shutter speed,white balance modes,installed memory,max aperture,green compliance,lens construction,normalizeddigital zoom,normalizedheight,normalizedoptical zoom,normalizedweight,product series,wide angle,software included,you are reviewing,product type,maximum image resolution,bulb setting,continuous shooting speed,exposure settings,focus features,frequency band,general features,image format,image sensor quantity,image sensor size,included components,iso equivalencies,max focal length,max horizontal image resolution,max vertical image resolution,max zoom,maximum shutter speed,metering characteristics,min aperture,min focal length,min focus distance,minimum shutter speed,normalizedinstalled memory,normalizednumber of image sensor pixels,number of resolution modes,number of scene modes,power source,video capture format,white balance,exposure compensation range,color,removable flash memory included,focal length conversion factor slr,shutter lag
"Nikon Coolpix AW120 Black Digital Camera (16 MP, 5x Opt, SD/SDHC/SDXC Card Slot, 329 MB) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1 in,16000000 pixels,Water Proof|Shock Proof|Freeze Proof,Built-in Flash,Yes,2.6 in,CMOS,Sensor Shift,Video - Out (Unspecified)|USB|HDMI,3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),16760000,http://www.nikonusa.com/en/Nikon-Products/Product/Compact-Digital-Cameras/26467/COOLPIX-AW120.html,1 year(s),7.5 oz,4.4 in,Yes,,,,,,,,,,,,4 X,4.3 mm to 21.5 mm,24 mm to 120 mm,5 X,,,,,,,,,,,,,,,,,,329 MB,2.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ricoh MX-1 12 Megapixel Compact Camera - Silver (3"" LCD - 4x Optical Zoom - Optical, Electronic IS - 4000 X 3000 Image - 1920 X 1080 Video - HDMI - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,2.0 in,12 Megapixel,,Auto Flash|Flash OFF|Flash ON|Slow Sync|Rear Curtain Sync|Red-eye Reduction,,2.4 in,CMOS,Optical|Electronic,,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Eye-Fi Card,12800000,http://www.pentaximaging.com,1 Year,12.80 oz,4.8 in,,Pentax,Yes,,Program AEShutter Priority AEAperture Priority AEManual,No,No,1.0,,,MX-1,No,2x,6 mm to 24 mm,28 mm to 112 mm 28 mm to 112 mm,4 X,Yes,25.0,No,Yes,D-Li106,Yes,No,Yes,Auto,Russian,30 Second,60 fps,Digital Camera,,,1/8000 Second,AutoDaylightShadeCloudyFluorescent Light (Daylight Color)Fluorescent Light (Daylight White)Fluorescent Light (Cool White)Fluorescent Light (Warm White)TungstenFlashManual WB,,,,11 Elements in 8 Groups,2.0,60.96,4.0,12.8,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot 135 16 Megapixel Compact Camera - Purple (2.7"" LCD - 8x Optical Zoom - Electronic IS - 4608 X 3456 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,0.9 in,16 Megapixel,,Red-eye Fix|Auto Flash|Flash ON|Flash OFF|Slow Sync,,2.1 in,CCD,Electronic,,2.7 in,,1280 x 720,Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card,16600000,http://www.usa.canon.com,1 Year,3.95 oz,3.8 in,,,,,,,,,,,,,4x,5 mm to 40 mm,28 mm to 224 mm,8 X,,,,,,,,,,,,,,,,,,,,REACH|WEEE|RoHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuji Blowers FinePix HS35EXR 16 Megapixel Bridge Camera - Black (3"" LCD - 30x Optical Zoom - Optical IS - 1920 X 1080 Video - HDMI - HD Movie Mode) Price Comparison at Buy.net",,Bridge Camera,5.0 in,16 Megapixel,,,,3.8 in,EXR CMOS,Optical,,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC UHS-I)|Secure Digital Extended Capacity (SDXC UHS-I)|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),,http://www.fujifilm.com,1 Year,1.40 lbs,5.1 in,,Fujifilm,Yes,Shooting Modes:AutoMacroMiniature EffectPanoramaScene Auto SelectorToy Camera Effect,Aperture Priority AEManualProgramAEShutter Priority AE,,,1.0,,,HS35EXR,Electronic,2x,4.20 mm to 126 mm,24 mm to 720 mm 24 mm to 720 mm,30 X,Yes,,No,Yes,NP-W126,Yes,,Yes,High ISO Auto,,,30 fps,Digital Camera,FinePix,,,,,,,15 Elements in 11 Groups,2.0,96.52,30.0,22.4,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,
"Samsung WB30F Cobalt Black Digital Camera (16.2 MP, 10x Opt, Micro SD/Micro SDHC/Micor SDXC Card Slot) Price Comparison at Buy.net",Body Only,Compact Camera,0.7 in,16.2 Megapixel,,Auto Flash|Flash OFF|Flash ON|Slow Sync|Red-eye Fix|Red-eye Reduction,,2.3 in,CCD,Optical,USB|Video - Out (Unspecified)|HDMI,3 in,,1920 x 810,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|microSD Extended Capacity (microSDXC)|microSDHC Card|microSD Card,16600000,http://www.samsungusa.com,1 Year,4.64 oz,3.9 in,,,,,,,,,,,,,5x,4.30 mm to 43 mm,24 mm to 240 mm,10 X,,,,,,,,,,,,,,,,,,9.5 MB,3.1 1/f,WEEE|RoHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix P600 Red Digital Camera (16.1 MP, 60x Opt, SD/SDHC/SDXC Card Slot, 56 MB) Price Comparison at Buy.net",,Point & Shoot Digital Camera,4.2 in,16100000 pixels,,Accessory Shoe|Built-in Flash,,3.4 in,CMOS,Sensor Shift,Video - Out (Unspecified)|USB|HDMI,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,16760000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Compact-Digital-Cameras/26463/COOLPIX-P600.html,1 year(s),19.9 oz,5 in,Yes,,,,,,,,,,,,4 X,4.3 mm to 258 mm,24 mm to 1440 mm,60 X,,,,,,,,,,,,,,,,,,56 MB,3.3 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix S230 10 Megapixel Compact Camera - Jet Black (3"" Touchscreen LCD - 3x Optical Zoom - 3648 X 2736 Image - 640 X 480 Video - PictBridge) Price Comparison at Buy.net",,Compact Camera,0.8 in,10 Megapixel,,Built-in Flash,,2.2 in,CCD,Electronic,1 x USB|1 x Audio/Video Out|1 x DC Power In,3 in,Fixed,640 x 480,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|MultiMediaCard (MMC),10300000,http://www.nikon.com,1 Year Limited,4.10 oz,3.6 in,,,,,,,,,,,,,4x,6.30 mm to 18.90 mm,,3 X,,,,,,,,,,,,,,,,,,44 MB,3.1 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot SX700 Red Digital Camera (16.1 MP, 30x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1.37 in,16100000 pixels,,Built-in Flash|Accessory Shoe,,2.59 in,CMOS,Optical,"Video - Out (Unspecified)|HDMI|Audio - Line Out (1/8"" Mini)",3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,16800000 pixels,http://www.usa.canon.com/cusa/support/consumer/digital_cameras/other_powershot/powershot_sx700_hs?color=Red,1 year(s),8.64 oz,4.44 in,Yes,,,,,,,,,,,,4 X,4.5 mm - 135 mm,25 mm to 750 mm,30 X,,,,,,,,,,,,,,,,,,,3.2 1/f,REACH|RoHS|WEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pentax K-3 Silver SLR Digital Camera (23.35 MP, SD/SDHC/SDXC Card Slot, 4 GB) Price Comparison at Buy.net",Body Only,Digital SLR Camera,3.19 in,23350000 pixels,,Built-in Flash|Accessory Shoe,,3.94 in,CMOS,,"USB|Video - Out (Unspecified)|HDMI|Audio - Line Out (1/8"" Mini)",3.2 in,Pentax KAF2,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,24710000 pixels,http://www.pentaxwebstore.com/product/45034,1 year(s),28.22 oz,5.19 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon EOS 60D 18 Megapixel Digital SLR Camera Body With Lens Kit - 18 Mm - 55 Mm - Black (3"" LCD - 3.1x Optical Zoom - 4272 X 2848 Image - 1920 X 1080 Video - HDMI - PictBridge - HD Movie Mode) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,3.1 in,18 Megapixel,,Auto Flash|Flash ON|Flash OFF|Red-eye Reduction,,4.2 in,CMOS,No,,3 in,Canon EF/EF-S,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Eye-Fi Card,19000000,http://www.usa.canon.com,,1.49 lbs,5.7 in,,Canon,Yes,Shooting Modes:StandardPortraitLandscapeNeutralFaithfulMonochromeUser Def. 1-3,Program AEAperture PriorityShutter PriorityManual,1,-3,1.0,,Yes,60D,SLR,No,18 mm to 55 mm (Lens 1),,3.1 X,,9.0,No,Yes,LP-E6,Yes,No,Yes,ISO 6400,Japanese,60 Second,30 fps,,EOS,,1/8000 Second,AutoDaylightShadeCloudyTungsten LightWhite Fluorescent LightFlashCustomColor Temperature Setting,,,,11 Elements in 9 Groups,,106.68,3.1,23.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympus STYLUS XZ-2 IHS Black Digital Camera (12 MP, 4x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Compact Camera,1.9 in,12 Megapixel,,Auto Flash|Flash OFF|Flash ON|Slow Sync|Red-eye Reduction|Wireless Flash,,2.6 in,CMOS,Optical|Electronic,A/V (RCA Composite)|HDMI|USB,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC UHS-I)|Secure Digital High Capacity (SDHC UHS-I)|Eye-Fi Card|Flash Air,12800000,http://www.olympusamerica.com,1 Year,12.20 oz,4.4 in,,,,,,,,,,,,,4x,6 mm to 24 mm,28 mm to 112 mm,4 X,,,,,,,,,,,,,,,,,,39 MB,1.8 1/f,WEEE|RoHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm FinePix XP200 16.4 Megapixel Compact Camera - Blue (3"" LCD - 5x Optical Zoom - Optical IS - 4608 X 3456 Image - 1920 X 1080 Video - HDMI - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,,16.4 Megapixel,Water Proof|Shock Proof|Dust Proof|Freeze Proof,,,,,Optical,,3 in,,,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC UHS-I)|Secure Digital High Capacity (SDHC UHS-I),,,,,,,Fujifilm,Yes,Shooting Modes:SR AutoAutoPro Low-LightHDRNatural Light & with FlashNatural LightPortraitLandscapeAdvanced FilterMotion Panorama 360SportNightNight (Tripod)SunsetSnowBeachUnder WaterUnder Water (Macro)PartyFlowerTextIndividual Shutter 3D,Program AE,No,No,1.0,,Yes,XP200,No,,,28 mm to 140 mm,,,,No,Yes,NP-50,Yes,No,Yes,ISO 6400,,4 Second,360 fps,,FinePix,10 Second,1/2000 Second,Automatic Scene RecognitionFineShadeFluorescent Light (Daylight)Fluorescent Light (Warm White)Fluorescent Light (Cool White)Incandescent Light,,,,13 Elements in 11 Groups,2.0,71.12,5.0,7.48,XP,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hunter Boots X550 Black Digital Camera (16.07 MP, 15x Opt, SD/SDHC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,2.6 in,16070000 pixels,,Built-in Flash|Accessory Shoe,,2.9 in,CCD,Optical,USB,2.7 in,,640 x 480 (VGA),Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card,16560000 pixels,http://www.general-imaging.com/x550/,90 day(s),15 oz,4 in,,,,,,,,,,,,,6 X,4.9 mm to 73.5 mm,27 mm to 405 mm,15 X,,,,,,,,,,,,,,,,,,13 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon EOS 60D Black Digital SLR Digital Camera Body Only (18 MP, SD Card Slot) Price Comparison at Buy.net",Body Only,Digital SLR Camera,3.1 in,18 Megapixel,,Auto Flash|Flash OFF,,4.2 in,CMOS,,,3 in,Canon EF/EF-S,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),19000000,http://www.usa.canon.com,1 Year Limited,1.49 lbs,5.7 in,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Electric Power Pro Series X2600 Black Digital Camera Kit W/ 4.7-122.2 Mm Lens (16.08 MP, 26x Opt, SD/SDHC Card Slot) Price Comparison at Buy.net",Body Only,Point & Shoot Digital Camera,2.9 in,16080000 pixels,,Built-in Flash|Accessory Shoe,,3.1 in,CCD,Optical,HDMI|USB,3 in,,1280 x 720,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card,16440000 pixels,http://www.general-imaging.com/X2600/,1 year(s),1.08 lbs,4.6 in,,,,,,,,,,,,,5 X,4.7 mm to 122.2 mm,26 mm to 676 mm,26 X,,,,,,,,,,,,,,,,,,28 MB,3.2 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon 1 J2 Orange Digital Camera Kit W/ 10-30 Mm + 30-110 Mm Lens (10.1 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Mirrorless Camera,1.2 in,10.1 Megapixel,,Auto Flash|Flash OFF|Flash ON|Slow Sync|Red-eye Reduction|Rear Curtain Sync|Flash Exposure Compensation,,2.4 in,CMOS,Optical,,3 in,Nikon 1-mount,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,12000000,http://www.nikon.com,1 Year,8.40 oz,4.2 in,,,,,,,,,,,,,No,10 mm to 30 mm (Lens 1) - 30 mm to 110 mm (Lens 2),27 mm to 81 mm (Lens 1) - 81 mm to 297 mm (Lens 2),3 X (Lens 1) - 3.6 X (Lens 2),,,,,,,,,,,,,,,,,,,,WEEE|RoHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm FinePix T550 White Digital Camera (16 MP, 12x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1 in,16000000 pixels,,Built-in Flash|Accessory Shoe,,2.2 in,CCD,Optical,USB,3 in,Fujifilm X,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),,http://www.fujifilmusa.com/products/digital_cameras/t/finepix_t550/,1 year(s),4.3 oz,3.9 in,,,,,,,,,,,,,2 X,4.3 mm to 51.6 mm,24 mm to 288 mm,12 X,,,,,,,,,,,,,,,,,,,3.4 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix AW120 Orange Digital Camera (16 MP, 5x Opt, SD/SDHC/SDXC Card Slot, 329 MB) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1 in,16000000 pixels,Water Proof|Shock Proof,Built-in Flash,Yes,2.6 in,CMOS,,USB|Video - Out (Unspecified)|HDMI,3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,16760000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Compact-Digital-CamACeras/COOLPIX-AW120.html,1 year(s),7.5 oz,4.4 in,Yes,,,,,,,,,,,,4 X,4.3 mm to 21.5 mm,24 mm to 120 mm,5 X,,,,,,,,,,,,,,,,,,329 MB,2.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot SX200 IS 12.1 Megapixel Compact Camera - Black (3"" LCD - 12x Optical Zoom - 4000 X 3000 Image - 1280 X 720 Video - HDMI - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,1.5 in,12.1 Megapixel,,Auto Flash|Flash OFF|Flash ON|Red-eye Reduction,,2.4 in,CCD,Optical,1 x USB|1 x HDMI|1 x Audio/Video Out|1 x DC Power In,3 in,Fixed,1280 x 720,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|MultiMediaCard (MMC)|MMCplus|HC MMCplus,12400000,http://www.usa.canon.com,1 Year Limited,7.76 oz,4.1 in,,,,,,,,,,,,,4x,5 mm to 60 mm,,12 X,,,,,,,,,,,,,,,,,,,3.4 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon D7100 24 Megapixel Digital SLR Camera With 18-140mm VR Lens Kit - Black Price Comparison at Buy.net,,,,,,,,,,,,,,,,,,,,,,Nikon,Yes,Scene Modes: Portrait Landscape Child Sports Close Up Night Portrait Night Landscape Party / Indoor Beach / Snow Sunset Dusk / Dawn Pet Portrait Candlelight Blossom Autumn Colors Food,Program AE Shutter Priority AE Aperture Priority AE Manual,1,-2,1.0,,Yes,D7100,SLR,,,,,,51.0,No,Yes,EN-EL15,Yes,,Yes,ISO 25600,Vietnamese,30 Second,60 fps,Digital Camera,,20 Second,1/8000 Second,Auto (2 Types) Incandescent Fluorescent (7 Types) Direct Sunlight Flash Cloudy Shade Manual Choose Color Temperature (2500 K - 10000 K) All with Fine-Tuning,,,Yes,17 Elements in 12 Groups,,,,,,Yes,View NX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Cyber-shot DSC-H300 Black Digital Camera (20.1 MP, 35x Opt, SD/SDHC/SDXC/MS Duo/MS PRO Duo/MS PRO-HG Duo Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,122.3 mm,20100000 pixels,,Built-in Flash|Accessory Shoe,,95 mm,CCD,Optical,USB|A/V (RCA Composite),3 in,,1280 x 720,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Memory Stick PRO-HG Duo|Memory Stick PRO Duo|Memory Stick PRO,20400000 pixels,http://store.sony.com/sony-high-zoom-point-and-shoot-camera-zid27-DSCH300/B/cat-27-catid-All-Cyber-shot-Cameras,1 year(s),495 g,129.6 mm,,,,,,,,,,,,,2 X,,25 mm to 875 mm,35 X,,,,,,,,,,,,,,,,,,,3 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon D90 12.3 Megapixel Digital SLR Camera Body Only (3"" LCD - 4288 X 2848 Image - 1280 X 720 Video - HDMI - HD Movie Mode) Price Comparison at Buy.net",Body Only,Digital SLR Camera,,12.3 Megapixel,,Red-eye Reduction|Flash OFF|Auto Flash,,,,Optical,1 x USB|1 x Audio/Video Out|1 x HDMI|1 x DC Power In,3 in,Nikon F,1280 x 720,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card,,,,,,,Nikon,,Shooting Modes:PortraitLandscapeClose-upSportsNight PortraitContinuous Shooting:4.5 frames per second,,,,1.0,,,D90,SLR,,,,,,11.0,No,Yes,,Yes,,Yes,,,30 Second,24 fps,,,,1/4000 Second,,,,,Not Applicable,,104.14,,21.92,,No,Software Suite,,,4288 x 2848,,,,,"Sensitivity:200 in steps of 1/3, 1/2, 1 EV3200 in steps of 1/3, 1/2, 1 EVLo-1 (ISO 100 equivalent)Hi-1 (ISO 6400 equivalent)Supported Languages:Chinese (Simplified and Traditional)DutchEnglishFinnishFrenchGermanItalianJapaneseKoreanPolishPortugueseRussianSpanishSwedish",,,,,,,,,,,,,,,,,,12.9,,,,,,,,,1.5,
"Samsung WB2200F Black Digital Camera (16.4 MP, 60x Opt, SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,4.1 in,16400000 pixels,,Built-in Flash|Accessory Shoe,,4.8 in,CMOS,Optical,"USB|Video - Out (Unspecified)|HDMI|Audio - Line Out (1/8"" Mini)",3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),,http://www.samsung.com/us/photography/digital-cameras/EC-WB2200BPBUS,1 year(s),1.4 lbs,4.7 in,Yes,,,,,,,,,,,,2 X,3.58 mm to 214.8 mm,20 mm to 1200 mm,60 X,,,,,,,,,,,,,,,,,,17 MB,2.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot SX170 IS Red Digital Camera (16 Megapixel - 3"" LCD - 16x Optical Zoom - Optical IS - 4608 X 3456 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,1.7 in,16 Megapixel,,Auto Flash|Flash OFF|Flash ON|Slow Sync,,2.8 in,CCD,Optical,,3 in,,1280 x 720,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Eye-Fi Card,16600000,http://www.usa.canon.com,1 Year,8.04 oz,4.3 in,,,,,,,,,,,,,4x,5 mm to 80 mm,28 mm to 448 mm,16 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympus Stylus Tough TG-850 Black Digital Camera (16 MP, 5x Opt, SD/SDHC/SDXC Card Slot, 37 MB) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1.1 in,16000000 pixels,Water Proof|Shock Proof|Freeze Proof|Dust Proof|Crush Proof,Built-in Flash,,2.5 in,CMOS,Sensor Shift,USB|HDMI|A/V (RCA Composite),3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),,http://www.getolympus.com/us/en/digitalcameras/point-shoot/tg-850.html,1 year(s),7.7 oz,4.3 in,,,,,,,,,,,,,4 X,3.74 mm to 18.7 mm,21 mm to 105 mm,5 X,,,,,,,,,,,,,,,,,,37 MB,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Polaroid IS326 16 Megapixel Compact Camera - Red (2.4"" LCD - 3x Optical Zoom - Electronic IS - 1280 X 720 Video - HD Movie Mode) Price Comparison at Buy.net",Body Only,Compact Camera,,16 Megapixel,,Built-in Flash,,,CMOS,Electronic,USB,2.4 in,,1280 x 720,Secure Digital (SD) Card,,http://www.polaroid.com/us/,1 year(s),,,,,,,,,,,,,,,4x,6.20 mm to 12.40 mm,,3 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix L830 Black Digital Camera (16 MP, 34x Opt, SD/SDHC/SDXC Card Slot, 59 MB) Price Comparison at Buy.net",,Point & Shoot Digital Camera,3.6 in,16000000 pixels,,Built-in Flash,,3 in,CMOS,Sensor Shift,USB|Video - Out (Unspecified)|HDMI,3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,16790000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Compact-Digital-Cameras/26439/COOLPIX-L830.html,1 year(s),18 oz,4.4 in,,,,,,,,,,,,,4 X,4 mm to 136 mm,22.5 mm to 765 mm,34 X,,,,,,,,,,,,,,,,,,59 MB,3.5 1/f,WEEE|RoHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony A5000 Silver Digital Camera Kit W/ 16-50 Mm Lens (20.1 MP, 3x Opt, SD/SDHC/SDXC/MS Pro Duo/MS PRO-HG Duo Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Mirrorless Interchangeable Lens Camera,1.44 in,20100000 pixels,Water Resistant,Built-in Flash,,2.5 in,CMOS,Optical,USB|HDMI,3 in,Sony E,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Memory Stick PRO-HG Duo|Memory Stick PRO Duo,20400000 pixels,http://store.sony.com/a5000-mirrorless-camera-w-16-50mm-lens-zid27-ILCE5000L//cat-27-catid-All-Alpha-a5000-Cameras,1 year(s),7.4 oz,4.38 in,Yes,,,,,,,,,,,,4 X,,24 mm to 77 mm,3 X,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuji Blowers FinePix HS50EXR 16 Megapixel Bridge Camera - Black (3"" LCD - 42x Optical Zoom - Optical IS - 4608 X 3456 Image - 1920 X 1080 Video - HDMI - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Bridge Camera,5.7 in,16 Megapixel,,Suppressed Flash|Auto Flash|Flash ON|Flash OFF|Slow Sync|Red-eye Reduction,,4.0 in,EXR CMOS II,Optical,,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC UHS-I)|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC UHS-I),,http://www.fujifilm.com,1 Year,1.67 lbs,5.3 in,,Fujifilm,Yes,Shooting Modes:Portrait EnhancerPortraitLandscapeSportNightNight (Tripod)FireworksSunsetSnowBeachPartyFlowerText,Aperture Priority AEProgram AEShutter Priority AEManual,,,1.0,,Yes,HS50EXR,Electronic,20x,4.40 mm to 185 mm,24 mm to 1000 mm 24 mm to 1000 mm,42 X,,,No,Yes,NP-W126,Yes,No,Yes,ISO 12800,,30 Second,480 fps,Digital Camera,FinePix,,1/4000 Second,ShadeFineFluorescent Light (Daylight)Fluorescent Light (Warm White)Fluorescent Light (Cool White)Incandescent LightCustom,,,,17 Elements in 12 Groups,20.0,101.6,42.0,26.72,S,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,
