<page title>,aperture range,audio formats,auto focus,camera resolution,digital zoom,focal length,image format,image stablizer,iso rating,lens type,manual focus,maximum shutter speed,minimum shutter speed,optical zoom,other focus features,self timer,video format,white balancing,color filter,conitnous shots,delete function,dust reduction,face detection,hdmi,image ratio wh,macro mode,max resolution,microphone,operating system,pictbridge,processor,sensor size,sensor type,shooting modes,tv out,usb cable,video resolution,built in flash,external flash,flash modes,metering,sync terminal,view finder,red eye reduction,supported languages,wifi,battery type,dimensions,flash range,memory card type,power supply,type,upgradable memory,weight,picture angle,internal memory
"Canon EOS 1200D (AF 18-200 mm XR) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Single, Continuous, Face Detection, Live View, TTL secondary image-registration, phase detection",18 MP,,,JPEG ( Fine & Normal Quality ),No,100 - 6400,Canon EF/EF-S,Yes,1/4000 sec,30 sec,1.5x - 10x,,"Yes, 10 sec (2 sec with mirror lock-up)","H.264, MOV, MPEG-4 AVC / H.264","White Balance Presets (6), Auto, Preset (Daylight, Shade, Cloudy, Tungsten light, White fluorescent light, Flash), Custom White Balance correction and White balance bracketing possible",,"Yes, 3 fps",,"Yes, Dust Delete Data appending, Clean manually",Yes,,,,5184 x 3456 Pixels,,,,DIGIC 4,APS-C (22.3 x 14.9 mm),CMOS,"Auto, Standard, Portrait, Landscape, Neutral, Faithful, Monochrome, User Defined, Ambience-based shots, Light/scene-based shots",,,,"Yes, Retractable, auto pop-up flash","Yes, Hot-shoe, E-TTL II, EX-series Speedlite","Auto, On, Off, Red-eye","Yes, Multi-Pattern, Center-Weighted, Spot",Yes,,,25,,,,,,,,,,,
"Sony CyberShot DSC RX100 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/1.8 (W) - F/4.9 (T),"Dolby Digital (2ch), MPEG-4 AAC-LC 2ch","Yes, TTL Contrast Detection",20.2 MP,14x,10.4 - 37.1 mm (35 mm Equivalent to 30 - 108 mm),"JPEG, RAW (ARW 2.3)",,125 - 12800,Carl Zeiss Vario Sonnar T,Yes,1/2000 sec,30 sec,3.6x,,"Yes, 2 and 10 sec","AVCHD Ver 2.0, MPEG-4 AVC / H.264","Auto, Daylight, Cloudy, Fluorescent, Incandescent, Flash",,"Yes, 10 fps",Yes,,Yes,,"16:9, 4:3","Yes, iAuto AF: 5 cm (W) 55 cm (T), Program AF: 5 cm (W) 55 cm (T)",4896 x 3672 Pixels,,"Windows 7, Windows XP Vista",,,13.2 x 8.8 mm,Exmor R CMOS,"Superior Auto, Intelligent Auto, Program Auto, Movie Mode, Panorama, Scene Selection, Picture Effect, Manual Exposure",,,1920 x 1080 pixels,,,,,,,Yes,19,,,101.6 (W) x 58.1 (H) x 35.9 (D) mm,,SD / SDHC / SDXC / Stick Duo / Stick PRO Duo / Stick PRO Duo High Speed / Stick PRO HG Duo / Stick micro / Stick micro (Mark 2) / microSD / microSDHC,,Point & Shoot,Yes,"213 g (Body Only), 240 g (with Battery and Memory Stick)",,
"Nikon D3300 (AF-S 18-55 mm VR) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",25.0 MP,,18 - 55 mm (35 mm Equivalent to 27 - 82.5 mm),"JPEG ( Fine, Normal & Basic Quality )",No,100 - 25600,Nikon F mount (with AF contacts),Yes,1/4000 sec,30 Sec,,"Focal Length Multiplier (1.5x), No. Of Focus Points (11), Focussing Screen ( Type B BriteView Clear Matte Mark VII screen )","Yes, 2, 5, 10, 20 sec",MOV,"White Balance Presets (12), Custom White Balance, Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual, all except preset manual with fine-tuning.",,"Yes, 5 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required )",Yes,"Yes, Mini HDMI",,,6000 x 4000 Pixels,"Yes, Mono",,"Yes, DCF 2.0, DPOF, Exif 2.3, PictBridge",Expeed 4,APS-C (23.5 x 15.6 mm),CMOS,,"Yes, Analog Video Output (NTSC, PAL)",Yes,,"Yes, Auto, portrait, child, close up, night portrait, super vivid, pop, photo illustration, color sketch, toy camera effect: Auto flash with auto pop-up P, S, A, M: Manual pop-up with button release","Yes, Hot-shoe, Wireless","Auto, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill-flash, red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain with slow sync, rear-curtain sync, off","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/200 sec",,Yes,34,Yes,,,12.0 m,,,,,,,
"Canon EOS 600D (EF-S 18-135 mm IS) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),Linear PCM,"Yes, Phase Detect, Contrast Detect, Multi-Area, Selective Single Point, Single, Continuous, Face Detection, Live View.",18.0 MP,3x 10x,18 - 135 mm (35 mm Equivalent to 27 - 216 mm),JPEG,No,100 - 12800,Canon EF/EF-S,Yes,1/4000 sec,30 sec,,"Focal Length Multiplier (1.6x), No. Of Focus Points (9), Filter Diameter (67 mm)","Yes, 2 or 10 sec","MPEG-4, H.264, MOV","Auto, Preset (Daylight, Shade, Cloudy, Tungsten light, White fluorescent light, Flash), Custom White balance correction and white balance bracketing features provided",,"Yes, 4 fps",Yes,"Yes, Auto, Manual, Dust Delete Data appending",Yes,"Yes, Mini HDMI, Type-C",,,5184 x 3456 Pixels,"Yes, Built-in monaural microphone",,"Yes, PictBridge-compatible printers, DPOF Version 1.1",DIGIC 4,22.3 x 14.9 mm,CMOS,"Auto, Standard, Portrait, Landscape, Neutral, Faithful, Monochrome, User Def. 1 - 3","Yes, Analog Video Output (NTSC, PAL)",Yes,,"Yes, Retractable, auto pop-up flash","Yes, Hot-shoe, Wireless plus Sync connector","Auto, On, Off, Red-eye","Yes, Multi-Segment, Center-Weighted, Spot, Partial","Yes, 1/200 sec","Yes, Optical Pentamirror Viewfinder, Coverage (95%), Magnification (0.85x), Live View, Fully Articulated LCD, Eye Point (19 mm), Built-in dioptric adjustment, Fixed & Precision Matte Focussing Screen, Quick-return type Mirror",,25,Yes,,,,,,,,,17 mm Ultra Wide-angle,
"Sony FDR AX100 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.8 (W) - F4.5 (T),"MPEG-4 Linear PCM 2ch, Dolby Digital 5.1ch, Dolby Digital 5.1Creator, Dolby Digital 2ch Stereo, Dolby Digital Stereo Creator","Yes, Contrast AF",20.9 MP,160x,,JPEG,"Yes, Optical SteadyShot image stabilization w/ Active mode (Wide to Tele)",,Carl Zeiss Vario Sonnar T,Yes,,,12x,"Filter Diameter (62 mm), Magnified display for precise manual focus; Peaking Display, Tracking Focus",Yes,MPEG4-AVC/H264,"Auto, Onepush, Outdoor, Indoor, WB Temp","Yes, Primary (RGB) Color filter",,,,"Yes, Priority Setting (for Face Detection) : Auto/OFF","Yes, Micro HDMI",,,5024 x 2824 Pixels,"Yes, Built-in Zoom Microphone; Monoroal Speaker",WINDOWS: Play Memories Home: Windows XP SP3(32-bit version)/Windows Vista SP2/Windows 7 SP1/Windows 8/Windows 8.1; Image Data Converter: Windows XP SP3(32-bit version)/Windows Vista SP2/Windows 7 SP1/Windows 8; Remote Camera Control: Windows XP SP3(32-bit version)/Windows Vista SP2/Windows 7 SP1/Windows 8/Windows 8.1 MAC: Play Memories Home: Mac OS X v10.6 v10.9; Remote Camera Control: Mac OS X v10.6 v10.9,,BIONZ X Image Processor,13.2 x 8.8 mm,Back-Illuminated Exmor R CMOS Sensor,"Intelligent Auto (Portrait, Baby, Walk, Tripod, Backlight, Landscape, Spotlight, Twilight, Macro, Low light, Auto Wind Noise Reduction)","Yes, Composite Video Out (NTSC)",Yes,3840 x 2160 pixels at 30 fps,,,,"Yes, Multi-segment, Spot",,,Yes,4,Yes,,,,SDXC Memory Card(Class 10) [XAVC S]; Memory Stick PRO Duo (Mark 2);Memory Stick XC-HG Duo; Memory Stick PRO Duo (Mark 2); SD/SDHC/SDXC Memory Card(Class 4 or Higher),,,Yes,,,
"Nikon D5200 (AF-S 18-55 mm VR) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",24.7 MP,,,"JPEG, NEF (RAW), NEF (RAW) JPEG, EXIF 2.3, DCF 2.0, DPOF ( Fine, Normal, & Basic Quality )",No,100 - 25600,Nikon F mount (with AF contacts),Yes,1/4000 sec,30 sec,3x,"Focal Length Multiplier (1.5x), No. Of Focus Points (39), Eye Point (17.9 mm)","Yes, 2, 5, 10 or 20 sec","MOV, MPEG-4 / H.264","Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual, all except preset manual with fine-tuning","Yes, Primary (RGB) Color Filter","Yes, 3 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required)",Yes,"Yes, HDMI Mini Type C",,,6000 x 4000 Pixels,"Yes, Built-in Stereo",,"Yes, PictBridge 1.0",Expeed 3,23.5 x 15.6 mm,CMOS,"Auto, Portrait, Child, Close Up, Night Portrait, Party / Indoor, Pet Portrait","Yes, Analog Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,"Yes, Pop-Up","Yes, Hot-Shoe","Auto, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill-flash, red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain with slow sync, rear-curtain sync, off","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/200 sec",,Yes,26,Yes,,,,,,,,,,
"Canon EOS 6D (24-105mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/4 - F/22,,,20.2 MP,,,,,50 - 102400,,,1/4000 sec,30 sec,,,"Yes, 2 or 10 sec",,,,,,,Yes,,,,,,,,,,,,,,1920 x 1080 pixels at 25 fps,,,,"Yes, Multi, Center-weighted, Spot, Partial",,,,,,,,,,,,,,,
"Sony Cybershot DSC W800 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.2 (W) - F6.4 (T),,"Yes, Contrast Detect (Center), Multi-Area, Center, Tracking, Single, Face Detection",20 MP,10x,26-130 mm,JPEG,"Yes, Optical SteadyShot, Image Stabilization with Intelligent Active Mode",100 - 3200,,No,1/1500 sec,2 Sec,5x,5 cm Normal Focus Range,"Yes, 2 or 10 sec, Portrait 1/2",AVI MPEG4,8 White Balance Presets,,,,,Yes,,,,,,,,,,,,,,,,,,"Yes, Multi, Center-Weighted, Spot",,,,,,,,,,,,,,,
"Sony Alpha SLT A58M (18-135 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),,"Yes, TTL Phase-Detection system, Single, Continuous, Automatic",20.1 MP,,18 - 135 mm,"JPEG (DCF Ver. 2.0, Exif Ver. 2.3, MPF baseline compliant), RAW (Sony ARW 2.3 format), RAW & JPEG","Yes, Electronic (Movies) & Image Sensor-shift mechanism (Pictures)",100 - 16000,"Sony A-mount lenses, operation with Minolta/Konica Minolta lens",,1/4000 sec,30 sec,,"CCD Line Sensors, Sensitivity Range (EV -1 to 18), AF Illuminator (built -in, Flash type (Approx. 1m - 5m)), Focus areas selection (wide area / 15-point local frame selection /Zone/Spot/Local selectable), predictive focus for moving subjects, focus lock, Eye-start AF",No,"AVCHD Ver. 2.0 compliant, MP4","Auto WB, Daylight, Shade, Cloudy, Incandescent, Fluorescent, Flash, C.Tem , C.Filter , Custom",,"Yes, Tele zoom continuous Advance Priority AE : 8 fps, Hi: Maximum 5 fps, Lo: Maximum 2.5 fps",Yes,"Yes, Charge protection coating on image sensor and image sensor shift mechanism",,,,,,,,,,,,,,,,"Yes, Built-in Auto Pop-up",,"Flash off, Autoflash, Fill-flash, Slow Sync., Red-eye reduction (on/off selectable), Rear Sync., Wireless, Hi-speed Sync","Yes, 1200 Zone Evaluative Metering","Yes, 1/160 sec",,Yes,,,,,,,,,,,,
"Canon EOS 70D (EF-S 18-135 mm IS) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.5 - F/5.6,Linear PCM,"Yes, TTL Secondary Image-registration, Phase-difference Detection",20.2 MP,,18 - 135 mm,"JPEG, RAW (14-bit Canon Original), RAW JPEG, DCF 2.0",,100 - 12800,Canon EF Mount,Yes,1/8000 sec,30 sec,,,Yes,"MOV, MPEG-4 AVC / H.264","Auto, Preset (Daylight, Shade, Cloudy, Tungsten Light, White Fluorescent Light, Flash), Custom, Color Temperature Setting (2500 10000 K)",,"Yes, 7 fps (High-speed Continuous Shooting), 3 fps (Low-speed Continuous Shooting), 3 fps (Silent Continuous Shooting), 40 Shots (JPEG Large/Fine), 15 Shots (RAW), 8 Shots (RAW Large/Fine)",,"Yes, Auto, Manual, Dust Delete Data Appending",Yes,"Yes, Type C Mini HDMI (Auto Switching of Resolution), CEC-compatible",3:2,No,5472 x 3648 Pixels,"Yes, Built-in Stereo",,Yes,,22.5 x 15.0 mm,CMOS,,"Yes, Analog Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,,,,,,,,25,,,,,,,,,,,
"Sony Alpha SLT A58K (18-55 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.5 - F/5.6,"Dolby Digital (AC-3), MPEG-4 AAC-LC, 2ch","Yes, TTL Phase-detection System",20.1 MP,,18 - 55 mm,"JPEG, DCF 2.0, EXIF 2.3, MPF, RAW (Sony ARW 2.3), RAW JPEG",,100 - 16000,"Sony A-mount Lens, Minolta / Konica Lens",Yes,1/4000 sec,30 sec,3x,,"Yes, 2 and 10 sec","AVCHD,MP4, MPEG-4 AVC / H.264","Auto, Daylight, Shade, Cloudy, Incandescent, Fluorescent, Flash, Color Temperature, Color Filter, Custom","Yes, Primary (RGB) Color Filter","Yes, 5 fps (H), 2.5 fps (L)",Yes,"Yes, Charge Protection Coating on Image Sensor and Image Sensor-shift Mechanism",Yes,,"16:9, 3:2",Yes,5456 x 3632 Pixels,,"Windows XP SP3, Windows Vista SP2, Windows 7 SP1, Windows 8, Mac OS X v10.5 10.8",,,23.2 x 15.4 mm,Exmor APS HD CMOS,"Portrait, Landscape, Macro, Sports Action, Sunset, Night Portrait, Night Scene, Hand-held Twilight",,,1920 x 1080 pixels at 25 fps,,,,,"Yes, 1/160 sec",,Yes,17,,,128.6 (W) x 95.5 (H) x 77.7 (D) mm,,,,SLR,,"492 g (Body Only), 573 g (with Battery and Memory Card)",,
"Panasonic HC V750 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F1.8 (W) - F3.6 (T),"AAC, Dolby Digital 2ch, Dolby Digital 5.1",Yes,12.76 MP,60x 1500x,4.0 - 81.6 mm (35 mm Equivalent to 29.5 - 612 mm),JPEG (DCF/Exif2.2),"Yes, Hybrid Optical Image Stabilizer, with Active Mode, OIS Lock, Level Shot Function",,Panasonic Lens,Yes,1/8000 sec,25 Sec,20x,Filter Diameter (49 mm),,,"Auto, Indoor1, Indoor2, Sunny, Cloudy, White set",,,,,,"Yes, Mini HDMI",,,6548 x 3672 Pixels,"Yes, 5.1ch Surround, Zoom, Focus and Stereo Microphone, Dynamic Type Speaker",,,Crystal Engine Pro Plus Image Processor,1/2.3 inch,BSI CMOS,"Creative Control (Miniature Effect, Silent Movie, 8mm Movie, Time Lapse Rec)","Yes, Analog Video Output (NTSC, PAL)",Yes,,,,,,,,,,Yes,,,,,,,,,,
"Fujifilm FinePix SL1000 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/2.9 (W) - F/6.5 (T),Linear PCM,"Yes, TTL Contrast AF",16.2 MP,2x,4.3 - 215 mm (35 mm Equivalent to 24 - 1200 mm),"JPEG, RAW, DCF, RAW JPEG, DPOF, EXIF 2.3",,100 - 12800,Super EBC Fujinon Lens,,1/1700 sec,1/4 sec,50x,,"Yes, 2 and 10 sec","MOV, H.264","Automatic, Preset (Fine, Shade, Fluorescent Light (Daylight), Fluorescent Light (Warm White), Fluorescent Light (Cool White), Incandescent Light, Custom)","Yes, Primary (RGB) Color Filter","Yes, 10 fps (H), 5.0 fps (M), 3.0 fps (L)",Yes,,Yes,,"16:9, 3:2, 4:3, 1:1","Yes, 7 cm 300 cm (W), 350 cm 500 cm (T)",4608 x 3456 Pixels,,"Windows 8, Windows 7 (SP 1), Windows Vista (SP 2), Windows XP (SP 3)",,,1/2.3 inch,CMOS,"Portrait, Landscape, Sport, Night, Night (Tripod), Fireworks, Sunset, Snow, Beach, Party, Flower, Text, Superior Auto, Auto, Program, Small, Medium, Custom, Panorama",,,1920 x 1080 pixels at 60 fps,Yes,Yes,"Red-eye Removal OFF (Auto, Forced Flash, Suppressed Flash, Slow Sync), Red-eye Removal ON (Red-eye Reduction Auto, Red-eye Reduction and Forced Flash, Suppressed Flash, Red-eye Reduction and Slow Sync",,,,Yes,35,,,122.7 (W) x 88.6 (H) x 122.6 (D) mm,"0.45 - 8.0 m (W), 3.5 - 4.0 m (T)",,,Advance Point and shoot,,"619 g (without Battery and Memory Card), 659 g (with Battery and Memory Card)",24 mm Wide-angle,
"Panasonic Lumix DMC XS1 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/2.8 (W) - F/6.9 (T),,,16.1 MP,4x,4.3 - 21.5 mm (35 mm Equivalent to 24 - 120 mm),"JPEG (DCF, EXIF 2.3)",,100 - 6400,Lumix DC Vario,,1/1600 sec,8 sec,5x,,,QuickTime Motion JPEG,"Auto, Daylight, Cloudy, Shade, Incandescent, White Set",,,,,,,,,,,,,,,,"Intelligent Auto, Normal Picture, Creative Control (XS1), Panorama Shot, SCN",,,1280 x 720 pixels,,,,,,,,,,,93.8 (W) x 53.5 (H) x 17.6 (D) mm,,,,Point & Shoot,,103 g (with Battery and SD Memory Card),,
"Fujifilm FinePix S3300 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.1 (W) F5.9 (T),"WAV, Monaural Sound","Yes, TTL contrast AF, AF assist illuminator available",14 MP,6.7x,"f=4.3 mm - 111.8 mm, equivalent to 24 - 624 mm on a 35 mm camera",JPEG,,64 - 6400,Fujinon,,1/2000 sec,1/4 sec,26x,,"Yes, 2 and 10 sec",AVI (Motion JPEG ),"Automatic scene recognition, Preset: Fine, Shade, Fluorescent light (Daylight), Fluorescent light (Warm White), Fluorescent light (Cool White), Incandescent light, Custom","Yes, Primary (RGB) Color Filter","Yes, Max. 1.2 frames / sec",,,Yes,,,Yes,,,,,,,,"Zoom Bracketing, Natural Light & with Flash, Natural Light, Portrait, Baby, Smile, Landscape, Sport, Night, Night (Tripod), Fireworks, Sunset, Snow, Beach, Party, Flower, Text, MODE DIAL: SR AUTO, AUTO, P, S, A, M, Custom, Movie, Panorama, SP",,,,,,,,,,Yes,35,,,,,,,,,,,
"Nikon D7100 (AF-S 18-105 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F5.6 (W) - F8.0 (T),Linear PCM,"Yes, TTL Auto Focus",25 MP,,18 - 105 mm (35 mm Equivalent to 27 - 157.5 mm),"JPEG, DCF 2.0, EXIF 2.3, DPOF",No,100 - 25600,Nikon F mount (with AF coupling and AF contacts),Yes,1/8000 sec,30 sec,,"Focal Length Multiplier (1.5x), No. of Focus Points (51)","Yes, 2 s, 5 s, 10 s, 20 s","MPEG-4, AVC / H.264","Auto (2 Types), Incandescent, Fluorescent (7 Types), Direct Sunlight, Flash, Cloudy, Shade, Preset Manual (upto 6 Values can be Stored, Spot Measurement Available During Live View), Choose Color Temperature (2500 K 10000 K), Fine-tuning","Yes, Primary (RGB) Color Filter","Yes, 6 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required)",Yes,"Yes, Type C, Mini HDMI",,No,,"Yes, Stereo",,"Yes, PictBridge 1.0",,,,"Auto, Programmed Auto with Flexible Program (P), Shutter-priority (S), Aperture-priority (A), Manual (M)","Yes, Audio Output",Yes,1920 x 1080 pixels at 30 fps,"Yes, Auto, portrait, child, close up, night portrait, party/indoor, pet portrait, color sketch: Auto flash with auto pop-up P, S, A, M, food: Manual pop-up with button release","Yes, Hot-shoe, Wireless","Auto, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill-flash, red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain with slow sync, rear-curtain sync, off; Auto FP High-Speed Sync supported","Yes, Multi-Pattern, Center-Weighted, Average, Spot","Yes, 1/250 sec",,Yes,30,Yes,,,12.00 m (at ISO 100),,,,,,"80 mm, 170 Degrees Wide Viewing Angle",
"Nikon D800 (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, Phase Detect, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",37 MP,,,"NEF (RAW), JPEG, NEF (RAW) JPEG, DCF 2.0, DPOF, EXIF 2.3 ( Fine, Normal & Basic Quality )",No,100 - 25600,Nikon F mount (with AF coupling and AF contacts),Yes,1/8000 sec,30 sec,,"Focal Length Multiplier (1x), No. of Focus Points (51)","Yes, 2 s, 5 s, 10 s, 20 s","MOV, H.264, MPEG-4","Custom White Balance (5), White Balance Presets (12), Auto, Incandescent, Fluorescent, Direct Sunlight, Flash, Cloudy, Shade, Preset Manual can be stored), Color Temperature (2500 K 10000 K), All with Fine-tuning",,"Yes, 1-4 fps (Continuous Low-speed Mode), 4 fps (Continuous high-speed)",,"Yes, Image sensor cleaning, Image Dust Off reference data (requires optional Capture NX 2 software)",Yes,"Yes, Type C Mini HDMI",,Yes,7360 x 4912 Pixels,"Yes, Built-in Monaural",,"Yes, PictBridge 1.0",Expeed 3,Full frame (35.9 x 24 mm),CMOS,,"Yes, Audio Output",Yes,1920 x 1080 pixels at 30 fps,"Yes, Manual pop-up with button release and a Guide Number of 12/39, 12/39 with manual flash (m/ft, ISO 100, 20 C/68 F)","Yes, Hot-shoe, Wireless plus sync connector","Auto, On, Off, Red-eye, Slow sync, Rear curtain, High-speed sync","Yes, Multi-Pattern, Center-Weighted, Average, Spot","Yes, 1/250 sec",,Yes,23,,,,12 m,,,,,,,
"Fujifilm FinePix S2980 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.1 (W) - F/5.6 (T),,"Yes, TTL Contrast AF",14 MP,6.7x,5 - 90 mm (35 mm Equivalent to 28 - 504 mm),"JPEG, EXIF 2.3, DCF, DPOF",,64 - 6400,Fujinon,,1/2000 sec,8 sec,18x,,"Yes, 2 and 10 sec",AVI (Motion JPEG ),"Automatic Scene Recognition, Preset: Fine, Shade, Fluorescent Light (Daylight), Fluorescent Light (Warm White), Fluorescent Light (Cool White), Incandescent Light, Custom","Yes, Primary (RGB) Color Filter",,Yes,,Yes,,,"Yes, 5 cm 3.0 m (W), 1.8 m 3.0 m (T)",,,,,,,,"Mode Dial: SR Auto, Auto, Program, Shutter Priority, Aperture Priority, Manual, Custom, Movie, Panorama, SP, SP: Natural Light with Flash, Natural Light, Zoom Bracketing",,,,,,,,,,Yes,35,,,,,,,,,,,
"Canon EOS 700D (18-135 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.5 - F/5.6,Linear PCM,"Yes, TTL",18 MP,,18 - 135 mm,"JPEG, RAW, DCF 2.0, RAW JPEG, DPOF 1.1, EXIF 2.3",,100 - 12800,Canon EF Lens (Including EF-S Lens),Yes,1/4000 sec,30 sec,10x,,"Yes, 2 and 10 sec","MOV, H.264 / MPEG-4 AVC","Auto, Daylight, Shade, Cloudy, Tungsten, White Fluorescent Light, Flash, Custom","Yes, Primary (RGB) Color Filter","Yes, 5 fps",Yes,,Yes,"Yes, Mini HDMI Output","16:9, 3:2, 4:3, 1:1",No,5184 x 3456 Pixels,"Yes, Stereo","Windows 8, Windows 7, Windows Vista, Windows XP Professional / Home Edition",Yes,,22.3 x 14.9 mm,CMOS,"Scene Intelligent Auto, No Flash, Creative Auto, Portrait, Landscape, Close-up, Sports, Night Portrait, Handheld Night Scene, HDR Backlight Control, Program AE, Shutter Priority AE, Aperture Priority AE, Manual (Stills and Movie)","Yes, Audio / Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,,,,,"Yes, 1/200 sec",,Yes,25,,,,,,,,,,,
"Nikon CoolPix P520 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3 - F/5.9,"WAV, AAC","Yes, Contrast Detect AF",18.1 MP,2x,4.3 - 180 mm (35 mm Equivalent to 24 - 1000 mm),"JPEG, MPO, DCF, EXIF 2.3, DPOF, MPF",,80 - 3200,NIKKOR Lens,Yes,1/4000 sec,1 sec,42x,,"Yes, 2 and 10 sec","MOV, H.264 / MPEG-4 AVC","Auto 1, Auto 2, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,"Yes, 7 Shots at 7 fps",Yes,,,,"4:3, 16:9, 1:1","Yes, 1 cm",4896 x 3672 Pixels,,,,,1/2.3 inch,CMOS,"Auto, Scene (Scene Auto Selector, Portrait, Sports, Night Portrait, Party / Indoor, Beach, Snow, Sunset, Dusk / Dawn, Close-up, Food, Museum, Fireworks Show, Black and White Copy, Panorama, Pet Portrait, 3D Photography), Night Landscape, Landscape, Backlighting, Special Effects, User Settings, Program, Smart, Manual",,,1920 x 1080 pixels at 30 fps,,,,,,,,32,,,,,,,,,,,
"Canon EOS 60D (18-135 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Single, Continuous, Face Detection, Live View.",19 MP,1.5x 10x,18 - 135 mm (35 mm Equivalent to 28.8 - 216 mm),"JPEG ( Fine, Normal Quality )",No,100 - 12800,Canon EF / EF-S Lens Mount,Yes,1/8000 sec,30 sec,,"Focal Length Multiplier (1.6x), No. Of Focus Points (9), Focus Modes ( One-Shot AF, AI Servo AF, AI Focus AF, Manual focusing ), AF Assist Beam","Yes, 2 or 10 sec",MPEG-4 AVC / H. 264,"White Balance Presets (6), Custom White Balance, Auto, Preset (Daylight, Shade, Cloudy, Tungsten light, White fluorescent light, Flash), Custom, Colour temperature setting",,"Yes, 5.3 fps",Yes,"Yes, Auto, Manual, Dust Delete Data appending",Yes,"Yes, Mini HDMI",,,5184 x 3456 Pixels,"Yes, Mono",,Yes,DIGIC 4,APS-C (22.3 x 14.9 mm),CMOS,,"Yes, Analog Video Output (NTSC, PAL)",Yes,,"Yes, Retractable, auto pop-up flash","Yes, Hot-shoe, Wireless plus sync connector","Auto, On, Off, Red-eye","Yes, Multi-Pattern, Center-Weighted, Spot, Partial","Yes, 1/250 sec","Yes, Fully Articulated LCD, Magnification (0.95x), Coverage (96%), Optical Pentamirror Viewfinder Type, Live View, Eye Point (22 mm), Built-in Dioptric Adjustment, Interchangeable Focussing Screen, Reflex Mirror ( Quick Return )",,25,Yes,,,13.0 m,,,,,,,
