3d mode,<page title>,age filter code,age range maximum,age range minimum,alaska hawaii 1 day upcharge or override,alaska hawaii 2 day upcharge or override,alaska hawaii ground upcharge or override,alaska hawaii upcharge or override,anti shake mode,aperture,assembled dimension width,assembled dimension width uom,bpp bucket,bpp eligible,bubble control,builtin memory,camera color,camera pixel count,camera style,can be giftwrapped,chamber in,channel availability,choke,color,compatible battery,continuous advance fps,corp national status,customer purchase limit,date 1st available online,depth inches,digital zoom,effective megapixel count,electronic flash,exposure modes,fits,flash,focus modes,freight class,fulfillment option,gauge,hazmat warning,hdmi mini,height inches,image format,interest,keyfeatures,lcd display size inches,lcd viewer,length in,lens,lower 48 1 day upcharge or override,lower 48 ground upcharge or override,lower 48 upcharge or override,lower48 2 day upcharge or override,manufacturer age range,manufacturer part number,manufacturers age range maximum,manufacturers age range minimum,megapixels,model,movie mode,notify me when available,optical zoom,outlet,payrunnercarteligible,play_type,power supply type,preschool,product demo url,registerable,removable memory type,scene modes,self timer,sensitivity,sensor,shutter speed,sku,skuprice,sound,specification,still image resolution max,still picture capture,storage media type,style,taxable,trackinglinkbaseurl,trackinglinkuri,tru age range,tru skn,type,usb port,video movie capture,voltage,weight pounds,white balance,width inches,camera type,interchangeable lens camera format,display screen,focus mode,internal memory,memory type,pictbridge,pixel count,resolution,select camera style,select media,standard warranty,compatible with macintosh,compatible with windows pc,manufacturers warranty hardware,optical viewfinder,screen size,analog audio video mini,card slot,digital slr,filterwide angle capability,hdmi,image stabilization,kit,lens mount,batteries,batteries required,battery quantity 1,battery type 1,etoys shoprunner eligible,faos shoprunner eligible,iship eligible,payrunnerpdeligible,primary_category,skills,trus shoprunner eligible,upceanisbn,accessory shoe,battery charger,viewfinder,microphone,speakers,text attribute 1,text attribute 2,text attribute 3,text attribute 4,text attribute 5,waterresistant,promo financing available,lcd size in,touch screen,ac adapter,batteries needed,35mm equivalent zoom ratio,exposure compensation,external flash,flash modes,macro focus,maximum aperture,records video,sgpmoviemode,sgpopticalzoom,sgpresolution,still image file formats,wifi mode,country of origin,countryornowool,focus distance,metering,print modes,storage media,tru age filter,video output,touch panel lcd,aspect ratio,boy girl,brand name,camera resolution,dimensions,effective resolution,image formats,interfacesports,lens type,manufacturer,manufacturer website address,product type,total resolution,viewfinder type,finish,weight,image stabilizer,shooting modes,shutter speed range,charger,face detection,espn shoprunner eligible,fog shoprunner eligible,team shoprunner eligible,tsa shoprunner eligible,hd video,wifi networking,hdmi version,price range,aperture range,battery life,battery type,depth,focal length,height,interface,width,waterproof,body only,safety warnings,remote control,aa batteries,copyright,display resolution,display screen type,product details,toddler,brand,select,batteries included,content complete,manual controls,35mm digital slr lenses fits,fits camera made by,lens coverage,lens series,battery,camera flash,dimensions wxdxh,display,expansion slots,exposure metering,focus adjustment,integrated memory,lens aperture,lens system,light sensitivity,maximum shutter speed,memory,min focus range,minimum shutter speed,optical sensor resolution,optical zoom measurement,product description,red eye reduction,sensor resolution,supported battery,supported flash memory,technology,timer,unique features,imaginarium,product dimensions,product weight,lamp life,lamp power,laptop accessory type
Stills only,(not Provided) | Nikon Coolpix S3300 Digital Camera - Black Reviews - Buzzillions.com,"050,060 050 070 050,060,070,080 040,050 080",120 60 168 84 300,84 36 144 60 180,99.99,79.99,59.44 40.9 70.77 77.86 73.6 69.99,F,Yes,f/3.3-6.5 f/3.5-5.9,0,IN,3781960,Yes,New,26MB 42MB,Pink Purple Red,16 Megapixel,Point & Shoot with Zoom Lens,Yes,3.0,Online Only,"Fixed Choke, Improved Cylinder Fully Rifled Rem Choke 2",Black White Blue,EN-EL19 EN-EL12,1.3 6.9,X A,4,26-JUN-11 13-MAY-12 27-JUL-11 25-MAY-10 10-MAY-11 27-JUN-11 27-SEP-12 28-JUL-11 29-AUG-11 30-AUG-11,0.8 1.3,4,16,Built-in,Program Auto,Nikon,Built-in,Auto Center AF Face Priority Focus lock Manual Subject tracking,ANY TRU_SHPG,"SP SP,ISP",12 20,N,Side Output,2.3 2.5,JPEG,Outdoors,"12 Ga. 3"" Chamber 21"" Cantilever Barrel Matte Finish Polished Blue Finish",2.7 3.0,2.7 Inch 3 Inch,18.5 20 21 23 28,Zoom Lens,39.99,18 24 24.96 12 15.99 31.12,F,29.99,7 years and up 5 years and up 5 - 7 years 12 years and up 15 years and up 5 - 12 years 5 - 15 years 3 - 12 years,CPS3300SLVTRU 98201 26611 26601 26311 26301 26201 24311 24301 23581 23461 23312 23311 22031 22021,84 300 180 144,84 60 36 180 144,16,Wingmaster&reg; Standard Contour Special Purpose Deer Special Purpose Premier Deer Express&reg; Deer Express Deer Cantilever w/Scope Cantilever,MPEG4 MOV AVI Motion JPEG 960 x 540 320 x 240 1920 x 1080 1280 x 720 640 x 480,Yes,6x 6 18x 18,Yes,Yes,Outdoor,Camera Batteries,Yes,http://www.youtube.com/watch?v=_6zaK3pzVys,Yes,Secure Digital SDXC SDHC,Party/Indoor Pet Portrait Scene Auto Selector Sports Sunset Landscape Food Fireworks Dusk/Dawn Copy Close-up Night Landscape Beach/Snow Back Light 3D Photo Museum Night portrait Panorama Assist,10 Seconds 2 Seconds,ISO 125-3200 ISO 80-3200,CCD CMOS,1/2000-1 sec.,182155 211170 211178 211179 211180 211186 211187 211188 211189 211191 211192 211193 211194 238935 238936 238951 250793 211195,109.9900 114.9900 129.9900 139.9900 159.9900 175.9900 189.9900 199.9900 349.9900 44.9900 59.9900 74.9900 99.9900,Yes,Description,4608 x 3456,Yes,SD - SDHC - SDXC,018208263158 22031 23241 23251 23311 23312 23461 23581 24301 24311 26201 26211 26301 26311 26681 26691 26770 26851,Y,http://www.beachaudio.com http://www.gandermountain.com http://www.meijer.com,/catalog/ /modperl/track.cgi?VPWRREV_401175+/modperl/product/details.cgi?r=view&i=401175&aID=503AH /modperl/track.cgi?VPWRREV_401216+/modperl/product/details.cgi?r=view&i=401216&aID=503AH /modperl/track.cgi?VPWRREV_402873+/modperl/product/details.cgi?r=view&i=402873&aID=503AH /modperl/track.cgi?VPWRREV_402876+/modperl/product/details.cgi?r=view&i=402876&aID=510J1I /modperl/track.cgi?VPWRREV_402877+/modperl/product/details.cgi?r=view&i=402877&aID=510J1I /modperl/track.cgi?VPWRREV_402879+/modperl/product/details.cgi?r=view&i=402879&aID=510J1I /modperl/track.cgi?VPWRREV_402880+/modperl/product/details.cgi?r=view&i=402880&aID=510J1I /modperl/track.cgi?VPWRREV_402884+/modperl/product/details.cgi?r=view&i=402884&aID=510J1I /modperl/track.cgi?VPWRREV_402885+/modperl/product/details.cgi?r=view&i=402885&aID=503AH /modperl/track.cgi?VPWRREV_402888+/modperl/product/details.cgi?r=view&i=402888&aID=510J1I /modperl/track.cgi?VPWRREV_402890+/modperl/product/details.cgi?r=view&i=402890&aID=510J1I /product_info.php?products_id=156015&src=pwr,12 - 14 years 15 years and up 3 - 5 years 5 - 10 years 5 - 7 years 7 years and up,173269 183382 183390 183420 183428 183536 217104 741364 741429 742061 742069 752238 769272 769780 840450,2 - 7 x 32 scope Cantilever Scope Mount Rifle Sight Ventilated Rib,Mini-B,1280x720 1920x1080,3.7 V DC,0.47,Flash Fluorescent Incandescent Manual Auto Cloudy Daylight,3.8 4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fujifilm FinePix S8400 Digital Camera - Black Reviews | Buzzillions.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 Megapixels,,,,,,,,,,,,,,,,,,304546,349.9900,,Description,,,,16324446,Y,http://www.meijer.com,/catalog/,,,,,,,,,,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stills only,(not Provided) | Panasonic 14.1 MP Lumix Digital Camera Reviews - Buzzillions.com,,,,,,,,Yes,f/3.3-5.9,,,,,,18MB,Silver Blue Red Black,14 Megapixel,Point & Shoot with Zoom Lens,,,,,Black Red,ProMaster DMW-BCG10 DMW-BCG10 XtraPower,,,,,1.31,4 4x,14.1,Built-in,Aperture-Priority AE Manual Program AE Shutter-Priority AE,,Built-in with Red Eye Reducer Off Auto On Forced Flash,Normal Quick AF Touch AF/AE Tracking AF Zoom Macro Macro Continuous AF AF (Auto Focus) Illuminator,,,,,Yes,2.27,JPEG,,,3.0,2.7 Inch 3 Inch,,Zoom Lens,,,,,,,,,14,0088517003320,1920 x 1080 320x240 640 x 480,,16 16x 4x,,,,,,,,SDHC SDXC Secure Digital,Baby Candle Dusk/Dawn Fireworks Flash Burst Food Handheld Night Scene High Sensitivity Night Scenery Night portrait Panorama Assist Party Pet Portrait Scenery Self-Portrait Soft Skin Sports Starry Sky Sunset Transform,10 Seconds 2 Seconds,ISO 1600-6400,CCD,60-1/4000,214729,399.9900,Yes,Description,4320x3240,Yes,SD - SDHC - SDXC,PANDMCZS10BLACK,Y,http://www.meijer.com,/catalog/,,,,USB 2.0,1280x720 1920x1080,,0.48,,4.13,,,"3""",Auto,18 MB,Secure Digital (SD) Card,Compatible,,14.1 Megapixel,,,1 Year Limited,,,,,,,SDHC Secure Digital SDXC,,,,Power O.I.S.,,,,,,,,,,,,,,,,,,Built-in Stereo,Built-in Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodak EasyShare M340 10.2MP Digital Camera Reviews | Buzzillions.com,,,,,,,,,,,,3781960,,,,Silver,,,,,Online Only,,Silver,,,A,,15-JUL-09,,5x,,Built-in,,,,,TRU_SHPG,SP,,N,,,,,,,3 Inch,,Zoom Lens,,,,,,M340RED,,,10.2,,,,5x 3x,,,,,,,Yes,,,,,,,168716 SILVER,124.9900,Yes,Description,,Yes,Secure Digital (SD) SD Secure Digital or MMC Multimedia Card,KodakM340,Y,http://www.beachaudio.com http://www.meijer.com,/catalog/ /product_info.php?products_id=261731&src=pwr,,492089,,,VGA - Up to 640x480,,,,,,,"2.7""",Auto-focus,16MB,Secure Digital (SD) Card,Compatible,,10.2Megapixel,,,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,041778773208,,,,,,Kodaks exclusive Smart Capture feature automatically identifies the scene and adjusts camera settings for a great picture in just about any environmen,Upload and share your pictures and videos to YouTube and Kodak Gallery via the Share button and Kodak EasyShare software.,Dont miss a shot with the security of in-camera charging and the power of the included Kodak Li-Ion rechargeable digital camera battery.,"Advanced video features include audio capture, playback, on-camera editing, and prints from video (1, 4, 9 and 16-up). Take stunning HD pictures and v",Combine up to three shots into one large picture with on-camera panorama stitch mode. Has 16MB internal flash memory and supports Secure Digital High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nikon 14.1MP Coolpix S80 Blue Reviews | Buzzillions.com,,,,,,,,Yes,f/3.6-4.8,,,,,,79MB,Gold Red Blue Silver Black,14 Megapixel,Point & Shoot with Zoom Lens,,,,,Black Blue Red,EN-EL10 XtraPower EN-EL10,,,,,0.7,4 4x,14.1,Built-in,,,,Subject tracking Manual Face Priority Center AF Auto,,,,,Yes,2.5,JPEG,,Model A22002-P,3.5,3.5 Inch,,Zoom Lens,,,,,,,,,14,,1280 x 720 Quicktime MOV 320 x 240 640 x 480,,5x 5,,,,,,,,Secure Digital SDXC SDHC,,,ISO 80-6400,,1/1500-2,,,Yes,Description,4352 x 3264,Yes,SD - SDHC - SDXC,,,http://www.consumersmarine.com http://www.beachaudio.com http://www.gandermountain.com,/product_info.php?products_id=145872&src=pwr /modperl/track.cgi?VPWRREV_350787+/modperl/product/details.cgi?r=view&i=350787&aID=506H3 /modperl/track.cgi?CPWRREV_350787+/modperl/product/details.cgi?r=view&i=350787&aID=700K1,,,,Mini-B,1920x1080,11.1 V DC 14.8 V DC,0.3,,3.9,Point & Shoot with Zoom Lens,,"3.5""",Auto,79 MB,Secure Digital (SD) Card,,,14.1 Megapixel,,,1 Year Limited 1 Year,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium Ion (Li-Ion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000 Hour High Brightness Mode,120 W,Battery
,"Panasonic Lumix DMC-FH2K 14.1MP Digital Camera, 28mm Wide Angle LEICA DC Lens, 2.7 inch LCD Display, HD Movie Recording, SD/SDHC/SDXC, Black Reviews | Buzzillions.com",,,,,,,,Yes,,,,,,,,Black Blue Pink Red,14 Megapixel,Point & Shoot with Zoom Lens,,,,,,,,,,,,4x,,Built-in,,,,,,,,,,,,,,,2.7 Inch,,Zoom Lens,,,,,,,,,14,,,,4x,,,,,,,,,,,,,,,,,Description,,Yes,SD - SDHC - SDXC,,,,,,,,,1280x720,,,,,,,"2.7""",Auto,70 MB,Secure Digital (SD) Card,,,14.1 Megapixel,,,1 Year Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Ready,Panasonic Lumix DMC-GH2 Digital Camera W/14-42mm Lens (Silver) Reviews | Buzzillions.com,,,,,,,,Yes,,,,,,,,,16 Megapixel,Interchangeable Lens DSLR's,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,Yes,Description,,Yes,SD - SDHC - SDXC,,,,,,,,,1920x1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stills only,(not Provided) | Olympus 16.0 MP Digital Camera Reviews - Buzzillions.com,,,,,,,,Yes,,,,,,,,Black Silver / Gray,16 Megapixel,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens,,,,,,,,,16,,,,20x,,,,,,,,,,,,CCD,,,,,Description,,Yes,SD - SDHC - SDXC,,,,,,,,,1280x720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canon EOS Rebel T4i Digital SLR Camera Body - U.S.A.Warranty Reviews | Buzzillions.com,,,,,,,,,,,,,,,,,,,,,,,Black,LP-E8 LP-E8 XtraPower (6) AA Batteries,5.0,,,,3.1,,18.0,Built-in,Manual Program AE Aperture-Priority AE Shutter-Priority AE,,"Built-In, Auto pop-up flash Accepts External Flash",Predictive Focus AI Focus AF Manual Focus One-Shot AF,,,,,Side Output,3.9,JPEG RAW,,,3.0,3 Inch,,Not Included,,,,,,,,,18,Canon T4i,Quicktime MOV 640 x 480 1920 x 1080 1280 x 720,,,,,,,,,,SDHC Secure Digital SDXC,,2 Seconds 10 Seconds,,CMOS,,253346 Black,949.9900,Yes,Description,"5,184 x 3,456",Yes,SD - SDHC - SDXC,CANT4IBODY,Y,http://www.meijer.com,/catalog/,,,,Mini-B,1920x1080,,1.1,Daylight Tungsten Fluorescent Custom Flash Shade Color Temperature Setting Cloudy Auto,5.2,DSLR Cameras,APS-C,,,,,,,,,,,,,,Optical,,,,Body Only,,,,,Canon EF-S Canon EF,,,,,,,,,,,,,Yes,,Eye-level Pentamirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eye-Fi Compatible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stills only,(not Provided) | Sony Cyber-shot DSC-HX200V Digital Camera Reviews - Buzzillions.com,,,,,,,,Yes,f/2.8-5.6,,,,,,,Black,18 Megapixel,Point & Shoot with Zoom Lens,,,,,,NP-FH50,10,,,,3.75,,18.2,Built-in,,,Off Auto On Slow Synchro Rear Slow Synchro,Tracking AF Multi Manual Flexible Spot AF Center AF Face Tracking Focus,,,,,Yes,3.5,,,,3.0,3 Inch,,Zoom Lens,,,,,,,,,18,,,,30x,,,,,,,,Memory Stick Duo Secure Digital SDXC SDHC,Landscape High Sensitivity Handheld Twilight Gourmet Anti-motion blur Fireworks Soft Skin Night portrait Pet Beach/Snow Night Scenery Soft Snap Backlight Correction HDR Advanced Sports Shooting,2 Seconds 10 Seconds,ISO 100-12800,CMOS,,,,Yes,Description,"4,896×3,672",Yes,Memory Stick Pro Duo / SDHC / SDXC,,,,,,,,Mini-B,1920x1080,,1.3,White Balance Shift Onepush Fluorescent Incandescent Flash Auto Daylight Cloudy,4.9,,,,,,,,,,,,,,,,Optical,,,,,,,,,,,,,,,,,,,,,,,,Optical (0.2 type),Stereo,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nikon Coolpix S31 Digital Camera, White Reviews | Buzzillions.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,2.7 Inch,,Zoom Lens,,,,,,,,,10.0,,,,3x,,,,,,,,,,,,CCD,,280888,119.9900,Yes,Description,,Yes,SD - SDHC - SDXC,018208264056,Y,http://www.meijer.com,/catalog/,,,,,1280x720,,,,,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Casio EX-TR-100 TRYX 12 Megapixel Digital Camera - Black Reviews | Buzzillions.com,,,,,,,,,,,,,,,34.8MB,White Black,12 Megapixel,Point & Shoot with Zoom Lens,,,,,Black White,,,,,,0.58,4.0 4x,12.1,Built-in,,,,Auto Infinity Mode Macro Pan Focus,,,,,Yes,2.3,JPEG,,,3.0,3 Inch,,Zoom Lens Fixed Focal Length Lens,,,,,,,,,12.0,10216888,1920 x 1080 1280 x 720 Quicktime MOV 432 x 320,,2x,,,,,,,,Secure Digital Eye-Fi Wireless Card compatible SDHC,,2 Seconds 10 Seconds Yes,ISO 100-3200,,1/10 - 1/16000 seconds,,,Yes,Description,4000x3000,Yes,SD - SDHC - SDXC,,,,,,,,USB 2.0 High Speed Mini-B,1920x1080,,0.3,Manual Overcast Fluorescent Tungsten Bulb Shade Daylight Auto,4.8,,,,,,,,,,,,,,,,,,,Eye-Fi Wireless Card compatible Secure Digital SDHC,,,,,,,,,,,,,,,,,,,,,,Mono Built-in,Mono Built-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(not Provided) | Leica X2 Compact Digital Camera with ELMARIT 24mm f/2.8 ASPH Lens, Black Reviews - Buzzillions.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,2.7 Inch,,Fixed Focal Length Lens,,,,,,,,,16,18450,,,,,,,,,,,,,,,CMOS,,,,,Description,,Yes,SD - SDHC - SDXC,,,,,,,,,,,,,,Point & Shoot with Fixed Lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Samsung NX210 20.3MP Camera (Black) Reviews | Buzzillions.com,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch,,,,,,,,,,,20,Samsung NX210,,,,,,,,,,,,,Yes,,CMOS,,,,Yes,Description,,Yes,SD - SDHC - SDXC,,,,,,,,,1920x1080,,,,,Compact System / Mirrorless Cameras,APS-C,,,,,Compatible,,,,,,Yes,Yes,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Pentax K-30 Digital SLR Camera with 18-55 DA Lens, 16.3MP, 1080p HD Video, 3.0"" LCD, Blue Reviews | Buzzillions.com",,,,,,,,Yes,,,,,,,,Blue White,16 Megapixel,DSLR Cameras,,,,,Blue,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens,,,,,,,,,16,,,,3x,,,,,,,,,,,,CMOS,,256361 Blue,1099.9900,Yes,Description,,Yes,SD - SDHC - SDXC,K30LENSBWB,Y,http://www.meijer.com,/catalog/,,,,,1920x1080,,,,,DSLR Cameras,,,,,,Compatible,,,,,,Yes,Yes,1 Year,Optical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fujifilm FinePix XP100 Digital Camera (Black) Reviews | Buzzillions.com,,,,,,,,Yes,,,,,,,,Blue Black Orange Green,14 Megapixel,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,2.7 Inch,,Zoom Lens,,,,,,,,,14,,,,5x,,,,,,,,,,,,CMOS,,,,Yes,Description,,Yes,SD - SDHC - SDXC,,,,,,,,,1920x1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Samsung Camera | Samsung ST700 Digital Camera (Black) Reviews - Buzzillions.com,,,,,,,,Yes,,,,,,,,,16 Megapixel,Point & Shoot with Zoom Lens,,,,,Black,,,,,,0.78,,16.1,Built-in,,,Slow Synchro Off Fill Built-in with Red Eye Reducer Auto,,,,,,Version 1.4,2.17,,,,3.0,3 Inch,,Zoom Lens,,,,,,,,,16,0004470101553,640 x 480 320 x 240 1280 x 720,,5x 5,,,,,,,,microSD microSDHC,,,ISO 80-3200,CCD,,,,Yes,Description,4608x3456,Yes,Micro SDHC,,,,,,,,USB 2.0,1280x720,,0.27,,3.88,,,,,,,,,,,,,,,1 Year,,,,microSDHC microSD,,,,Dual Image Stabilization,,,,,,,,,,,,,,,,,,Mono Built-in,Mono Built-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stills only,Sony Cyber-shot DSC-WX9 16.2MP Digital Camera Reviews | Buzzillions.com,,,,,,,,Yes,,,,,,,,Black,16 Megapixel,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens,,,,,,,,,16,0002724226520,,,5x,,,,,,,,,,,,CMOS,,240554,199.9900,Yes,Description,,Yes,Memory Stick Pro Duo / SDHC / SDXC,027242265202,Y,http://www.meijer.com,/catalog/,,,,,1920x1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canon PowerShot ELPH Digital Camera In Silver Reviews | Buzzillions.com,,,,,,,,Yes,f/2.8-5.5,,,,,,,Silver,,,,,,,Silver,NB-5L XtraPower NB-5L,1.3,,,,1.04,4x 4X 4,8,Built-in,,,Built-in,Auto,,,,,,2.22,JPEG,,,2.5,2.5 Inch,,Zoom Lens,,,,,,,,,8.0,2047B001,AVI MPEG,,4x 4 4X,,,,,,,,SDHC Secure Digital MultiMedia Card,Vivid Nature Automatic Indoor Portrait Night Scene Underwater Fireworks Beach Macro Snow Landscape,Yes,,,,62253,289.9900,Yes,Description,3264 x 2448 3264 x 1832 (Widescreen),Yes,Secure Digital (SD),CANPSSD850IS,Y,http://www.beachaudio.com http://www.meijer.com,/product_info.php?products_id=113745&src=pwr /catalog/,,,,USB 2.0,VGA - Up to 640x480,,.37,Presets Custom Automatic,3.56,,,2.5 Inch,Yes,,Secure Digital Memory,Compatible,8 Megapixel,8.0 MegaPixel,Point & Shoot with Zoom Lens,"Multimedia Cards,Secure Digital Cards(SD),Secure D",,Yes,Yes,1 Year,,,Yes,,,,,Optical Image Stabilization,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nikon Coolpix S31 Digital Camera, White Reviews | Buzzillions.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,2.7 Inch,,Zoom Lens,,,,,,,,,10 Megapixels,,,,3x,,,,,,,,,,,,CCD,,280888,119.9900,Yes,Description,,Yes,SD - SDHC - SDXC,018208264056,Y,http://www.meijer.com,/catalog/,,,,,1280x720,,,,,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
