<page title>,camera type,color,display size,flash type,megapixels,optical sensor size,optical sensor type,returns policy,shooting modes,warranty labor,warranty parts,35mm equivalent focal length max,35mm equivalent focal length min,optical viewfinder type,contents,portsconnectors,power notes,actual weight,memory notes,physical dimensions,warranty details,audio input type,battery technology,digital video format,display form factor,display technology,flash memory form factor,light sensitivity,red eye reduction,shutter speed,still image format,video input type,battery run time max,digital zoom,optical zoom,focal length max,focal length min,special effects,compatibility notes,lens aperture,storage capacity,weight
Buy Canon EOS 70D DSLR Camera with 18-135mm Lens Cameras - Digital - SLR 8469B016 today at PC Connection,SLR camera,Black,3 in,Pop-up flash,20.2 megapixel(s),15.0 x 22.5mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Close-up Sports Backlight correction HDR Handheld night shot Night Portrait Portrait Landscape,1 Year,1 Year,216 mm,28.8 mm,Eye-Level Penta Prism,"camera, 18-135mm lens, eyecup Eb, battery pack, battery charger, wide strap, USB interface cable, CD, documentation","(1) 3.5mm microphone
(1) HDMI mini
(1) USB 2.0",Battery: LP-E6 Lithium-Ion,1.70 lb(s),,"4.1""h x 5.5""w x 3.1""d",,,Lithium ion,,,LCD,,,,,,,,,20.9 megapixel(s),135 mm,18 mm,,"Canon's innovative Dual Pixel CMOS AF enables you to shoot video like a camcorder with smooth, fast, and accurate autofocus; lets you enjoy instant and precise autofocus even when shooting stills from a variety of angles with the freedom provided by the Vari-angle LCD; and provides amazing autofocus power with 103? compatible Canon EF lenses when shooting photos or video.
Built-in wireless technology allows you to wirelessly transfer your images to social networking sites through Canon Image Gateway share your images with wireless-enabled Canon cameras, or upload virtually anywhere on your iOS or Android smartphone with the free download of the EOS Remote app. Use your smartphone for remote camera control and operation (with the EOS Remote app), or even print your images on a wireless PictBridge certified printer.
20.2 Megapixel CMOS (APS-C) sensor, 14-bit A/D conversion, ISO 100-12800 (expandable to H: 25600) for shooting from bright to dim light and high performance DIGIC 5+ Image Processor for exceptional image quality and processing speed.
High speed continuous shooting up to 7.0 fps allows you to capture quick action.
EOS Full HD Movie mode with Movie Servo AF for improved continuous focus tracking of moving subjects, manual exposure control and multiple frame rates (1080: 30p (29.97) / 24p (23.976) / 25p, 720: 60p (59.94) / 50p, 480: 30p (29.97) / 25p), built-in stereo microphone, manual audio level adjustment with attenuator function to reduce audio clipping, and Video Snapshot with editing for expanded movie shooting options.
Vari-angle Touch Screen 3.0-inch Clear View LCD monitor II (approximately 1, 040, 000 dots) with smudge-resistant coating features multi-touch operation and Touch AF for an easy and intuitive experience, flexible positioning, and clear viewing even when outdoors in sunlight.
19-point all cross-type AF system (including a high-precision f/2.8 dual cross-type AF center point) with a wide area array for exceptional autofocus performance and greater compositional freedom when shooting with the viewfinder.
Intelligent Viewfinder with superimposed LCD display provides approximately 98% field of view, and Multi-Aspect ratio in Live View broadens your choices in composition.
Expand your creativity with advanced in-camera imaging features like High Dynamic Range, Multiple Exposure, Handheld Night Scene and HDR Backlight Control, along with seven Creative Filters that can be displayed in real time during Live View shooting.
Scene Intelligent Auto Mode delivers expertly optimized photos and offers improved scene detection for amazing results when shooting at night.",,,
Buy Sony Alpha NEX-5T Camera with 16-50mm Lens Cameras - Digital - SLR NEX5TL/B today at PC Connection,Mirrorless system,Black,3 in,Detachable flash,16.1 megapixel(s),15.6 x 23.5mm,Exmor APS HD CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Sports Anti-motion blur Sunset Night view Portrait Handheld twilight Landscape Macro Night Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Sony Cyber-shot RX1R Digital Camera, 24.3MP, Black Cameras - Digital - Point & Shoot DSCRX1R/B today at PC Connection",Compact,Black,3 in,Pop-up flash,24.3 megapixel(s),23.9 x 35.8mm,Exmor CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Landscape Sunset Handheld twilight Night Portrait Sports Night scene Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Sony Cyber-Shot WX80 Digital Camera, 16.2MP, 16x Zoom, Red Cameras - Digital - Point & Shoot DSCWX80/R today at PC Connection",Compact,Red,2.7 in,Built-in flash,16.2 megapixel(s),"1/2.3""",Exmor R CMOS,"Due to manufacturer restrictions, all sales on this item are final.",High Sensitivity Night Portrait Pet Anti-motion blur Landscape Beach Fireworks Show Soft skin Softsnap Backlight correction HDR Handheld twilight Night scene Gourmet Snow,90 Days,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon Powershot S120 Camera, 12.1MP, Black Cameras - Digital - Point & Shoot 8407B001 today at PC Connection",Compact,Black,3 in,Pop-up flash,12.1 megapixel(s),"1/1.7""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Super vivid Fisheye effect Toy camera effect Handheld starlight Miniature effect Portrait Soft focus Poster effect Smart shutter Snow High dynamic Underwater,1 Year,1 Year,120 mm,24 mm,,"camera, battery, battery charger, wrist strap, documentation","(1) USB 2.0
(1) HDMI Mini",Battery: NB-6LH Lithium-Ion,7.70 oz,,"2.3""h x 3.9""w x 1.1""d",,,Lithium ion,,,LCD,SDHC Card SD Card SDXC Card,,,15 - 1/2500,,,,4 X,5 X,26 mm,5.2 mm,,"Built in Wi-Fi allows you to wirelessly transfer your images with ease to social networking sites through CANON iMAGE GATEWAY, to a PC, or upload virtually anywhere on your iOS or Android device with the free download of the Canon CameraWindow app.
12.1 Megapixel High-Sensitivity CMOS sensor combined with a DIGIC 6 Image Processor creates the Canon HS SYSTEM for exceptional low-light performance with an ISO range of ISO 80-12800 for enhanced image quality in extreme lighting conditions.
Capture stunning 1080p/60p Full HD video in stereo sound with a dedicated movie button; video functions include Touch AF while recording, zoom while shooting, and convenient playback on an HDTV via the HDMI output.
A bright f/1.8 lens allows for capturing low-light conditions or using shallow depth-of-field for dramatic, soft backgrounds, along with 5x Optical Zoom and a 24mm Wide-Angle lens that helps ensure you capture everything in your frame.
High Speed AF greatly improves focus speed. Paired with continuous shooting speeds of up to 9.4 fps and the removal of buffer time, you can get your best shot in full resolution.
Capacitive 3.0"" touch panel LCD with a screen resolution of 922, 000 dots for a sharp, clear display and easy operation helps make shooting and sharing easy and intuitive.
Shoot breathtaking images and video of the stars with new star shooting modes designed to better capture the brilliance and wonder of the night sky.
New Background Defocus mode adds a blurred background while keeping the subject in focus.
Intelligent IS automatically chooses from six different modes to optimize image stabilization for shake-free images in a wide variety of conditions.
HDR scene mode combines multiple shots into one picture, capturing a greater dynamic range between the lightest and darkest areas of an image to provide greater detail. New artistic sub-modes such as Art Bold and Art Vivid unlock new opportunities for creativity.",,,
Buy Canon EOS Rebel SL1 Digital SLR Camera Cameras - Digital - SLR 8575B001 today at PC Connection,SLR camera,,3 in,Pop-up flash,18 megapixel(s),14.9 x 22.3mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Backlight correction HDR Sports Night Portrait Landscape Handheld night shot Food Close-up Children Candle Portrait,1 Year,1 Year,,,Fixed eye-level pentamirror,"Camera, battery pack, camera cover, strap, interface cable, documentation","(1) USB 2.0
(1) HDMI mini
(1) AV out",Battery: LP-E12 Rechargeable Lithium-Ion,13.10 oz,,"3.6""h x 4.6""w x 2.7""d",,,,,,,,,,,,,,,,,,,"World's smallest and lightest digital SLR camera featuring a newly-developed 18.0 Megapixel CMOS (APS-C) sensor, ISO 100-12800 (expandable to H: 25600) for stills and ISO 100-6400 (expandable to H: 12800) for videos for shooting from bright to dim light, and high performance DIGIC 5 Image Processor for exceptional image quality and speed.
High-speed continuous shooting up to 4.0 fps allows you to capture the action.
EOS Full HD Movie mode with Movie Servo AF for continuous focus tracking of moving subjects, manual exposure control and multiple frame rates (1080: 30p (29.97) / 24p (23.976) / 25p, 720: 60p (59.94) / 50p, 480: 30p (29.97) / 25p), built-in monaural microphone, manual audio level adjustment, and Video Snapshot with editing for expanded movie shooting options.
Touch Screen Wide 3.0-inch Clear View LCD monitor II (approximately 1, 040, 000 dots) with smudge-resistant coating features multi-touch operation with direct access to functions for setting changes and Touch AF for an easy, intuitive experience and clear viewing when outdoors; an Optical Viewfinder with approx. 0.87x magnification makes subjects easier to see.
9-point AF system (including a high-precision cross-type f/2.8 center point) for exceptional autofocus performance when shooting with the viewfinder; new Hybrid CMOS AF II, which combines the advantages of high-speed phase-detection AF and high-precision contrast AF, provides a widened AF area for increased autofocus speed and accuracy when shooting photos and movies in Live View.
Scene Intelligent Auto Mode delivers expertly optimized photos and offers improved scene detection for amazing results when shooting at night, ideal even for users without advanced photography knowledge or experience.
Expand your creativity with advanced imaging features like Effect Shot mode, Background Simulation and advanced Creative Filters that can be displayed in real time during Live View shooting.
New Special Scene Modes including Kids, Food and Candlelight give you advanced presets to ensure the best possible photos under difficult shooting conditions.
Compatibility with SD/SDHC/SDXC memory cards, including Ultra High Speed (UHS-I) cards.
Compatible with the full line of Canon EF and EF-S lenses.",,,
"Buy Pentax WG-4 Digital Camera, 16MP, 4X Zoom, Silver Cameras - Digital - Point & Shoot 8572 today at PC Connection",Compact,Silver,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Digital IS Surf & Snow Night scene Children Underwater Pet Flower Sports Portrait Night Portrait Food Landscape Fireworks Show Macro Underwater movie Report Handheld night shot Dynamic Range (HDR) Digital microscope,Call for Warranty,Call for Warranty,100.00 mm,25.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot ELPH 150 IS Digital Camera, 20MP, 10x Zoom, Blue Cameras - Digital - Point & Shoot 9365B001 today at PC Connection",Point & Shoot camera,Blue,2.7 in,Built-in flash,20 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Low light Fireworks Show Snow Auto mode Super vivid Fisheye effect Poster effect Miniature effect Toy camera effect,1 Year,1 Year,240 mm,24 mm,,"camera, battery pack, battery charger, wrist strap, documentation",,Battery: NB-11LH Lithium-Ion,5.00 oz,,"2.2""h x 3.8""w x 0.9""d",,,Lithium ion,,Built-in,LCD,SDXC Card SDHC Card SD Card,,,15 - 1/2000,,,,,10 X,43 mm,4.3 mm,,"10x Optical Zoom helps ensure outstanding optical performance and versatility.
20.0 Megapixel sensor combined with the DIGIC 4+ Image Processor for outstanding performance.
Shoot 720p HD video with a dedicated movie button.
Smart AUTO intelligently selects the proper camera settings based on 32 predefined shooting situations.
Intelligent IS automatically chooses from eight different modes to optimize image stabilization for the shooting condition.
Scene Modes such as Fisheye Effect, Toy Camera Effect and Monochrome provide creative freedom to capture your photos.
ECO Mode helps reduce power consumption for longer battery life.
Help Button provides simple explanations and easy control of your settings.",,,
"Buy Samsung NX20 Mirrorless Wi-Fi Digital Camera, 20.3MP, with 18 Cameras - Digital - Point & Shoot EV-NX20ZZBSBUS today at PC Connection",Mirrorless system,Black,3 in,Pop-up flash,20.3 megapixel(s),15.7 x 23.5mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Dawn Text 3D image Beauty mode Sunset Close-up Sports Portrait Panorama assist Landscape Children Fireworks Show Beach/snow Back light,1 Year,1 Year,28 mm,,,"Camera Body, Lens, Software, Body Cap, USB Cable, Battery, Battery Cradle/AC Power Cable, Documentation",(1) USB 2.0 Hi-Speed,,,"Media: SD, SDHC, SDXC (guarantee up to 128GB)",,,,Lithium ion,AVC MPEG-4 H.264,Built-in,LCD,SDXC Card SDHC Card SD Card,Auto mode,,,JPEG RAW,Digital camera,,,,,,,,,,
"Buy Nikon COOLPIX L30 Digital Camera, 20.1MP, Red Cameras - Digital - Point & Shoot 26438 today at PC Connection",Compact,Red,3 in,Built-in flash,20.1 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Black and white copy Pet portrait Sunset Party/Indoor Portrait Back light Night landscape Night Portrait Sports Smart portrait Museum Snow Food Landscape Dawn/Dusk Fireworks Show Beach Close-up,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot ELPH 340 HS, Black Cameras - Digital - Point & Shoot 9344B001 today at PC Connection",Point & Shoot camera,Black,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Toy camera effect Fisheye effect Poster effect Miniature effect Snow Super vivid Smart shutter Low light Portrait Creative shot Auto mode Handheld night shot,1 Year,1 Year,300 mm,25 mm,,"camera, battery pack, battery charger, wrist strap, documentation","(1) Micro HDMI
(1) USB 2.0",NB-11LH Lithium Ion Battery,5.20 oz,,"2.3""h x 3.9""w x 0.9""d",,,Lithium ion,,,LCD,SDXC Card SDHC Card SD Card,,,1 - 1/2000 15 - 1/2000,,,,4 X,12 X,54 mm,4.5 mm,Vivid Sepia Neutral Black & White,"12x Optical Zoom helps ensure outstanding optical performance and versatility.
Built-in Wi-Fi allows wireless transferring of images and video to compatible mobile devices, select social networking sites and your Wi-Fi enabled computer, and lets you remotely shoot using your smartphone or tablet.
For easier Wi-Fi connectivity, built-in NFC (Near Field Communication) allows quick and simple pairing to a compatible Android device.
Creative Shot mode uses composition, color and lighting from your original image to create unique images with an artistic flair.
16.0 Megapixel High-Sensitivity CMOS sensor combined with the DIGIC 4+ Image Processor creates the Canon HS SYSTEM, which helps provide excellent low-light performance.
Capture stunning 1080p Full HD video with a dedicated movie button.
The convenient Mobile Device Connect Button allows you to connect to your compatible Android or iOS device for quick and easy sharing.
Hybrid Auto records quick video clips before each still and compiles them together to make a short highlight reel.
Smart AUTO intelligently selects the proper camera settings based on 32 predefined shooting situations.",,,
Buy Panasonic DMC-TS25W Time Lapse Capture Camera - White Cameras - Digital - Point & Shoot DMC-TS25W today at PC Connection,Compact,White,2.7 in,Built-in flash,16.1 megapixel(s),"1/2.33""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Scenery Behind glass Food Sunset Pet Starry sky Night scene Night Portrait Baby2 Soft skin High Sensitivity Baby1,1 Year,1 Year,100.00 mm,25.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Sony DSC-WX300 Camera - White Cameras - Digital - Point & Shoot DSCWX300/W today at PC Connection,Compact,White,3 in,Built-in flash,18.2 megapixel(s),"1/2.3""",Exmor R CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Snow Pet Beach Night scene Anti-motion blur Backlight correction HDR Night Portrait Softsnap Landscape High Sensitivity Soft skin Handheld twilight Gourmet Fireworks Show,90 Days,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Sony Alpha A5000 Mirrorless Digital Camera with 16-50mm Lens, Cameras - Digital - SLR ILCE5000L/B today at PC Connection",Mirrorless system,Black,3 in,Pop-up flash,20.1 megapixel(s),15.6 x 23.5mm,Exmor APS HD CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Anti-motion blur Handheld twilight Sunset Night scene Landscape Portrait Sports Macro Night Portrait,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot N100 Digital Camera, White Cameras - Digital - Point & Shoot 9169B001 today at PC Connection",Point & Shoot camera,White,3 in,Pop-up flash,12.1 megapixel(s),"1/1.7""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Miniature effect Toy camera effect Portrait Backlit softness Multi-firework Poster effect Fisheye effect Super vivid Auto mode Snow Handheld night shot,1 Year,1 Year,120 mm,24 mm,,"Camera, battery pack, battery charger, wrist strap, documentation","(1) HDMI Micro
(1) USB 2.0",NB-12L Lithium Ion Battery,10.20 oz,,"2.7""h x 4.1""w x 1.4""d",,,Lithium ion,,,LCD,SD Card SDHC Card SDXC Card,,,1 - 1/2000,,,,4 X,,26 mm,5.2 mm,Vivid Black & White Neutral Sepia,"Dual Capture uses a rear-facing secondary camera to capture your expression while shooting and then creates a picture-in-picture effect.
Story Highlights automatically selects and compiles images into an exciting highlight reel within the camera without the use of software.
Built-in Wi-Fi allows wireless transferring of images and video to compatible mobile devices, select social networking sites and your Wi-Fi enabled computer, and lets you remotely shoot using your smartphone or tablet.
For easier Wi-Fi connectivity, built-in NFC (Near Field Communication) allows quick and simple pairing to a compatible Android device.
The convenient Mobile Device Connect Button allows you to connect to your compatible Android or iOS device for quick and easy sharing.
5x Optical Zoom, bright f/1.8 and 24mm Wide-Angle lens with Optical Image Stabilizer for excellent image quality.
12.1 Megapixel High-Sensitivity CMOS sensor combined with the DIGIC 6 Image Processor creates the Canon HS SYSTEM, which helps provide excellent low-light performance.
Creative Shot mode uses composition, color and lighting from your original image to create unique images with an artistic flair.
Hybrid Auto records quick video clips before each still and compiles them together to make a short highlight reel.
3.0-inch tilt, capacitive touch panel LCD helps provide flexibility.
Capture stunning 1080p Full HD video with a dedicated movie button.",F/1.8,,
Buy Canon EOS 5D Mark III Digital Camera (Body Only) Cameras - Digital - SLR 5260B002 today at PC Connection,SLR camera,Black,3.2 in,,22.3 megapixel(s),24 x 36mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,Eye-Level Penta Prism,"Camera Body, Eye Cup, Neck Strap, Camera Cover, Stereo Video Cable, USB Cable, Battery Charger, Battery Pack, Software, Documentation",,,33.50 oz,,"4.6""h x 6""w x 3""d",,Microphone,Lithium ion,,Built-in,LCD,CompactFlash Card Type I SD Card SDHC Card CompactFlash Card Type II SDXC Card,Auto mode,,,JPEG,Digital camera,,,,,,,,,,
Buy Sony DSC-WX300 Camera - Red Cameras - Digital - Point & Shoot DSCWX300/R today at PC Connection,Compact,Red,3 in,Built-in flash,18.2 megapixel(s),"1/2.3""",Exmor R CMOS,"Due to manufacturer restrictions, all sales on this item are final.",High Sensitivity Gourmet Backlight correction HDR Handheld twilight Anti-motion blur Softsnap Night scene Beach Landscape Pet Snow Soft skin Fireworks Show Night Portrait,90 Days,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.900 oz
Buy Nikon WR-A10 Wireless Remote Adapter Cameras - Digital - Point & Shoot 27103 today at PC Connection,,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Pentax K-50 Digital SLR Camera, White (Body Only) Cameras - Digital - SLR 10928 today at PC Connection",SLR camera,White,3 in,Pop-up flash,16.3 megapixel(s),15.7 x 23.7mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Candle Landscape Forest Macro Food Stage Night snapshot Children Night scene HDR Portrait Blue sky Pet Backlight silhouette Sunset Night scene Moving object Surf & Snow Museum Night Portrait,Call for Warranty,Call for Warranty,,,Eye-Level Penta Prism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm FinePix SL1000 Digital Camera, 16MP, 50x Zoom, Black Cameras - Digital - Point & Shoot 16304630 today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Samsung Galaxy Camera 2, 16.3MP, 21x Zoom, Black Cameras - Digital - Point & Shoot EK-GC200ZKAXAR today at PC Connection",Point & Shoot camera,Black,4.8 in,Pop-up flash,16.3 megapixel(s),"1/2.3""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Dawn Beauty face Food Auto mode Night Best face Burst/Continuous Landscape Waterfall Silhouette Action freeze Fireworks Show Macro Snow Sunset,1 Year,1 Year,483 mm,23 mm,,"camera, battery, hand strap, USB power adapter, USB cable, documentation","(1) HDMI
(1) USB 2.0",,10.00 oz,8GB RAM,"2.8""h x 5.2""w x 0.8""d",,,Lithium ion,,Built-in,LCD,,,,1/2000 - 16,,,,,21 X,86.1 mm,4.1 mm,Cartoon Sepia Grayscale,"Android Jelly Bean (v4.3):
Do more than ever with the Android-powered GALAXY Camera 2, now upgraded with the latest version of Jelly Bean: 4.3. Powered by a 1.6GHz quad-core processor—and featuring numerous camera and social networking apps—it does what conventional cameras and smartphones cannot. Like capturing brilliant images, even in low-lit settings, and saving photos to your PC and smartphone without having to use an SD card. Plus you can edit right on the display, and wirelessly upload to Facebook and Instagram.
4.8” HD Super Clear Touch Display:
Now you don’t have to wait until you get back home to properly review and edit your photos. The GALAXY Camera 2’s 121.2mm (4.8"") HD Super Clear Touch Display is what a camera display was meant to be, with an ultra sharp 308 pixels per inch and the full spectrum of glorious colors. And with the new White Magic Technology, you can even double the brightness without worrying about battery consumption. And why not view your HD movies at a golden 16:9 ratio- Perfect.
21x Optical Super Long Zoom:
Save the digital zoom for editing afterwards. GALAXY Camera 2’s 21x Super Long Zoom is 100 percent optical. With the intuitive Pinch Zoom, you can zoom in and out by simply pinching two fingers on the screen. Both the 21x Super Long Zoom and Pinch Zoom help get you as close as possible to your subject while maintaining the same crystal-clear image sharpness you experience with subjects nearer to the camera.
Smart Mode:
top being jealous of the pros with their big cameras, and start taking great shots. Like the perfect trails of light at night on a busy intersection full of red taillights. Or instantly capture a high-speed scene with Action Freeze. A quick tap of Smart Mode, and you’re set with various special modes. Just choose the one you want and shoot perfection.
Smart Mode Suggest:
Stop worrying about settings, and start taking professional-quality artistic shots. A quick tap of the Smart Mode button gives you access to a wide range of special modes. Use Drama Shot to merge continuous shots of moving objects into a single composed image, or Action Freeze to instantly capture high-speed action. Using Light Trace, unleash your inner Picasso and have your subject draw with a handheld light to capture prolonged exposure effects. Multi Exposure shot lets you blend two shots into a single beautifully composed image. You can also record sound to your photo to relive the moment exactly how it happened with Sound & Shot. Just choose the mode you want and go.
Photo Beam:
When a friend wants a copy of that really great shot you took of her, now you can share it right away. Samsung Photo Beam lets you send photos to anybody with just the touch of your camera. Simply tap your SMART CAMERA on any NFC-compatible smartphone to automatically share whichever image you’re currently viewing. It’s that simple.
AutoShare:
Save every photo you take with your smartphone. After you set it up, Samsung AutoShare will automatically send every snap instantly to your smartphone or tablet via Wi-Fi that is powered by NFC technology. Using your smartphone, AutoShare also GPS-tags your photos. Sharing your treasured memories couldn’t be any faster—or easier.
Remote View Finder:
Control your camera by using your smartphone as the viewfinder. The NFC-enabled Remote Viewfinder lets you preview photos, adjust camera settings, zoom in and out, and frame each scene—all from your phone wirelessly. Available for select smartphones, this feature also GPS-tags your photos using your smartphone.
Mobile Link:
Now you can select and send photos or albums directly to a smartphone or tablet with Samsung Mobile Link. No Wi-Fi hotspot is required; the wireless connection is enabled by NFC technology. You don't even have to send the photos as a text message or an email. With Mobile Link, you can control the album on your phone and the changes will be saved to your camera, too.
Group Share:
From family brunches to nights out with friends, you can take the shots that all your friends and family members want copies of with your Samsung SMART CAMERA. Use Group Share to send images to up to four people simultaneously. Since Group Share eliminates the frustration of having to repeat the sharing process over and over again, you have more time for taking share-worthy snaps.
Wi-Fi Social Sharing:
Show off a fabulous selfie with the rest of the world in no time flat. As long as you have a Wi-Fi connection, you can post images and videos directly to Facebook, YouTube, and now Flickr. Tag and add comments, too. You can also upload photos right to your blog, or email them to your family. Feel free to keep shooting, because your SMART CAMERA also comes with 2GB of free Dropbox web storage or 50GB if you have a GALAXY smartphone.
PC Auto Backup:
Wirelessly transfer photos and movies to your PC or Mac. Simply select PC Auto Backup and you're all set. All your photos and videos are wirelessly transferred and safely stored on your computer. Feel free to delete photos from your camera knowing there's a duplicate set on your computer.
Samsung Link:
Effortlessly save every moment you’ve captured. Samsung Link instantly and wirelessly streams your photos your PC or favorite web storage service such as Dropbox. No more waiting to go home to manually upload images. With one touch, you can show off photos and videos on your Smart TV or send them to any compatible smartphone. Sharing has never been this easy.
Selfie Alarm:
You are the star of your selfie. So why use a smartphone camera when you can snap a high-resolution 20MP self-portrait with the GALAXY Camera 2 instead- It’s easier than you’d expect, thanks to the Selfie Alarm feature. Simply hold up the camera and face it, and Selfie Alarm automatically shoots five images in a row. Choose your fave of the batch and make it your Facebook profile picture.
Story Album:
Timeless memories: now available in real time. The GALAXY Camera 2’s Story Album function lets you create, display and print photo albums of family gatherings, vacations, sporting events or any other experience that’s worth sharing. Story Album organizes photos into timelines, and reframes and resizes them to create digital photo books that you can display on your camera’s screen—or send anywhere for recipients to view on their own devices.",,8 GB,
Buy Nikon Nikon 1 V2 Digital Camera w  10-100mm VR (White)27663 Cameras - Digital - SLR 27663 today at PC Connection,Mirrorless system,White,3 in,Pop-up flash,14.2 megapixel(s),13.2 x 8.8mm,High Speed AF CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Night landscape Landscape Close-up Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot SX600 HS, 16MP, 18x Zoom, White Cameras - Digital - Point & Shoot 9341B001 today at PC Connection",Point & Shoot camera,White,3 in,Pop-up flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Toy camera effect Fisheye effect Super vivid Miniature effect Low light Snow Handheld night shot Auto mode Poster effect Portrait Smart shutter Creative shot,1 Year,1 Year,450 mm,25 mm,,"camera, battery pack, battery charger, wrist strap, documentation",,Battery: NB-6LH Lithium-Ion,5.80 oz,,"2.4""h x 4.1""w x 1""d",,,Lithium ion,,Built-in,LCD,SDXC Card SDHC Card SD Card,,,1 - 1/2000 15 - 1/2000,,,,4 X,18 X,81 mm,4.5 mm,Neutral Black & White Vivid Sepia,"18x Optical Zoom (25-450mm) helps ensure outstanding optical performance and versatility.
Built-in Wi-Fi allows wireless transferring of images and video to compatible mobile devices, select social networking sites and your Wi-Fi enabled computer, and lets you remotely shoot using your smartphone or tablet.
For easier Wi-Fi connectivity, built-in NFC (Near Field Communication) allows quick and simple pairing to a compatible Android device.
Creative Shot mode uses composition, color and lighting from your original image to create unique images with an artistic flair.
16.0 Megapixel High-Sensitivity CMOS sensor combined with the DIGIC 4+ Image Processor creates the Canon HS SYSTEM, which helps provide excellent low-light performance.
Capture stunning 1080p Full HD video with a dedicated movie button.
The convenient Mobile Device Connect Button allows you to connect to your compatible Android or iOS device for quick and easy sharing.
Hybrid Auto records quick video clips before each still and compiles them together to make a short highlight reel.
Smart AUTO intelligently selects the proper camera settings based on 32 predefined shooting situations.",,,
Buy Canon EOS Rebel T5 Camera with 18-55mm IS II Lens Kit Cameras - Digital - SLR BD-75-300-KLS today at PC Connection,,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot ELPH 150 IS, 20MP, 10x Zoom, Red Cameras - Digital - Point & Shoot 9362B001 today at PC Connection",Point & Shoot camera,Red,2.7 in,Built-in flash,20 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Snow Poster effect Super vivid Toy camera effect Miniature effect Fisheye effect Portrait Auto mode Low light,1 Year,1 Year,240 mm,24 mm,,"camera, battery pack, battery charger, wrist strap, documentation",,Battery: NB-11LH Lithium-Ion,4.40 oz,,"2.2""h x 3.8""w x 0.9""d",,,Lithium ion,,Built-in,LCD,SDXC Card SDHC Card SD Card,,,1 - 1/2000,,,,4 X,10 X,43 mm,4.3 mm,,"10x Optical Zoom helps ensure outstanding optical performance and versatility.
20.0 Megapixel sensor combined with the DIGIC 4+ Image Processor for outstanding performance.
Shoot 720p HD video with a dedicated movie button.
Smart AUTO intelligently selects the proper camera settings based on 32 predefined shooting situations.
Intelligent IS automatically chooses from eight different modes to optimize image stabilization for the shooting condition.
Scene Modes such as Fisheye Effect, Toy Camera Effect and Monochrome provide creative freedom to capture your photos.
ECO Mode helps reduce power consumption for longer battery life.
Help Button provides simple explanations and easy control of your settings.",,,
