<page title>,camera type,deal first added on,ean13,last updated,lcd screen size,manufacturer,megapixels,optical zoom,product name,product number mpn,retail price,upc,dimensions,ean14,weight,manufactured in,megapixel range,redeye reduction,feature
Nikon Coolpix L30 20.1MP Digital Camera on sale for $86.95,Point-and-Shoot,6-May-2014,0018208264384,10-October-2014,,Nikon,,,Nikon Coolpix L30 20.1MP Digital Camera with 5x Zoom and 720p HD Video (Red),,$119.95,018208264384,,,,,,,
Gripster + 8GB Bundle For Canon PowerShot on sale for $29.90,,26-September-2010,0628586165489,09-October-2014,,ButterflyPhoto,,,Gripster + 8GB Bundle For Canon PowerShot SX130 IS Digital Camera Includes Gripster + 8GB High Speed SD Memory card + USB 2.0 High Speed Card Reader + Clear LCD Screen Protectors,,,628586165489,,,,,,,
Sony Alpha NEX-5K 14.2MP Digital Camera on sale for $1148.19,,2-June-2011,0610074543022,09-October-2014,,Sony,,,Sony Alpha NEX-5K 14.2MP Digital Camera with Interchangeable 18-55mm & 16mm F2.8 Lens,NEX-5K/B,,027242266377,,,,,,,
Samsung WB250F 14.2MP CMOS Smart WiFi on sale for $144.95,Point-and-Shoot,24-November-2013,0887276009735,09-October-2014,,Samsung,,,"Samsung WB250F 14.2MP CMOS Smart WiFi Digital Camera with 18x Zoom, 1080p HD Video (White)",EC-WB250FFPWUS,$249.99,887276009728,,,,,,,
Olympus XZ-1 10 MP Digital Camera on sale for $228.99,Point-and-Shoot,27-October-2012,0050332175877,09-October-2014,,Olympus,,,Olympus XZ-1 10 MP Digital Camera with f1.8 Lens and 3-inch OLED Monitor (White),228005,$399.99,050332175877,,,,,,,
Fujifilm X-E1 16.3MP Compact System on sale for $659.00,SLR,28-March-2014,0074101017366,09-October-2014,,Fuji Photo Film,,,Fujifilm X-E1 16.3MP Compact System Digital Camera with 18-55mm Lens (Black),X-E1 Kit w/18-5,$799.95,074101017366,,,,Made in Japan,,,
Canon EOS 5D Mark III 22.3 MP Full Frame on sale for $4299.95,,3-October-2012,0662425822003,09-October-2014,,BVI,,,Canon EOS 5D Mark III 22.3 MP Full Frame CMOS Digital SLR Camera with EF 24-105mm f/4 L IS USM Lens With 16GB Cf Card Accessory Kit !,Canon 5D Mark I,,662425822003,,,,,,,
Canon PowerShot A630 8MP Digital Camera on sale for $495.98,,31-August-2006,0013803072419,09-October-2014,,Canon,,,Canon PowerShot A630 8MP Digital Camera with 4x Optical Zoom,1288B001,$299.99,013803072419,4.3 x 2.6 x 1.9 in.,00013803072419,1 lbs.,,8.0 - 8.9 Megapixels,,
Samsung Galaxy Camera on sale for $379.00,Point-and-Shoot,6-December-2013,0887276847795,09-October-2014,,Samsung,,,"Samsung Galaxy Camera with Android Jelly Bean v4.2 OS, 16.3MP CMOS with 21x Optical Zoom and 4.8"" Touch Screen LCD (WiFi - White)",EK-GC110ZWAXAR,$449.99,887276847795,,,,,,,
Accessory Kit For Canon PowerShot S95 on sale for $32.90,,26-September-2010,0628586183353,09-October-2014,,ButterflyPhoto,,,Accessory Kit For Canon PowerShot S95 Digital Camera Includes Gripster Tripod + USB 2.0 High Speed Card Reader + Replacement NB-6L (1200 mAH) Battery + Ac/Dc Rapid Travel Battery Charger + Deluxe Hard Case + LCD Screen Protectors,,,628586183353,,,,,,,
Kodak EasyShare C533 5MP Digital Camera on sale for $55.49,,27-February-2006,0041771090241,09-October-2014,,Kodak,,,Kodak EasyShare C533 5MP Digital Camera with 3x Optical Zoom,1090240,$179.95,041771090241,4.5 x 1 x 3 in.,00041771090241,1 lbs.,,,,
Pentax K-01 16MP APS-C CMOS Compact on sale for $722.69,,9-December-2012,0662425828012,09-October-2014,,BVI,,,Pentax K-01 16MP APS-C CMOS Compact System Camera With 40mm Lens (Yellow) + Extended Life Battery + 8GB SDHC Class 10 Memory Card + USB Card Reader + Memory Card Wallet + Deluxe Case w/Strap + Shock Proof Deluxe Case + Mini HDMI to HDMI Cable + 3 Piece Pr,K-01 w/ 40mm Ye,$899.99,662425828012,,,,,,,
Kodak Easyshare Z700 4MP Digital Camera on sale for $399.37,,10-March-2005,0041778047613,09-October-2014,,Kodak,,,Kodak Easyshare Z700 4MP Digital Camera with 5x Optical Zoom,8047615,,041778047613,,,2 lbs.,,4.0 - 4.9 Megapixels,,
Canon PowerShot SD1100IS 8MP Digital on sale for $551.49,,3-March-2008,0013803090161,09-October-2014,,Canon,,,Canon PowerShot SD1100IS 8MP Digital Camera with 3x Optical Image Stabilized Zoom (Gold),2510B001,$349.95,013803090161,3.4 x 0.9 x 2.2 in.,00013803090161,1 lbs.,,8.0 - 8.9 Megapixels,,Image Stabilization
Nikon Coolpix S1200pj 14.1MP Digital on sale for $119.95,Point-and-Shoot,2-February-2012,0018208262786,09-October-2014,,Nikon,,,Nikon Coolpix S1200pj 14.1MP Digital Camera with Built-in Projector,,$429.00,018208262786,,,,,,,
Sony Cyber-shot DSCH50 9.1 MP Digital on sale for $494.99,,28-July-2008,0027242728981,09-October-2014,,Sony,,,Sony Cyber-shot DSCH50 9.1 MP Digital Camera with 15x Optical Zoom with Super Steady Shot,DSC-H50/B,$499.99,027242728981,3.18 x 3.37 x 4.56 in.,00027242728981,3 lbs.,,,,
Sony DSC-W830/B 20.1MP Digital Camera on sale for $89.99,Point-and-Shoot,6-May-2014,0027242876972,10-October-2014,,Sony,,,Sony DSC-W830/B 20.1MP Digital Camera (Black),DSCW830/B,$139.99,027242876972,,,,,,,
Sony Alpha a6000 24.3MP Camera on sale for $544.36,,6-May-2014,0027242882140,10-October-2014,,Sony,,,"Sony Alpha a6000 24.3MP Camera (Silver, Body Only)",ILCE6000/S,$649.99,027242882140,,,,,,,
Nikon Coolpix P520 18.1MP CMOS Digital on sale for $283.81,Point-and-Shoot,29-July-2013,0018208263981,09-October-2014,,Nikon,,,Nikon Coolpix P520 18.1MP CMOS Digital Camera with 42x Zoom and 1080p Video (Red),,$449.95,018208263981,,,,,,,
Canon PowerShot ELPH 110 HS 16.1MP on sale for $126.00,Point-and-Shoot,30-May-2012,0013803145632,09-October-2014,,Canon,,,Canon PowerShot ELPH 110 HS 16.1MP Digital Camera with 5x IS Zoom and 1080p Video (Silver),6036B001,$249.00,013803145632,,,,,,,
Sony Cybershot DSC-WX300 18MP Digital on sale for $199.99,Point-and-Shoot,25-June-2013,0027242862333,09-October-2014,,Sony,,,Sony Cybershot DSC-WX300 18MP Digital Camera with 20x Zoom (Black),DSC-WX300/B,$329.99,027242862333,,,,,,,
Canon PowerShot SX700 HS Digital Camera on sale for $276.83,Point-and-Shoot,6-May-2014,0013803239423,10-October-2014,,CANU9,,,Canon PowerShot SX700 HS Digital Camera (Red),9339B001,$349.00,013803239423,,,,,,,
Sony Alpha a7S Full-Frame 12.2MP Digital on sale for $2199.99,SLR,6-August-2014,0027242881730,10-October-2014,,Sony,,,Sony Alpha a7S Full-Frame 12.2MP Digital Camera with 4K Ultra HD Video (Body Only),ILCE7S/B,$2499.99,027242881730,,,,,,,
Canon PowerShot SD960IS Digital Elph 12.1 on sale for $274.39,Point-and-Shoot,2-September-2009,0013803109023,09-October-2014,2.8 inches,Canon,12.1 MP,4 x,Canon PowerShot SD960IS Digital Elph 12.1 MP with 4x Wide Angle Optical IS Zoom (Light Blue),SD960IS Light B,$429.99,013803109023,,00013803109023,,,,Yes,
Nikon Coolpix S9700 16MP Wi-Fi Digital on sale for $219.00,Point-and-Shoot,21-March-2014,0018208264698,09-October-2014,,Nikon,,,"Nikon Coolpix S9700 16MP Wi-Fi Digital Camera with 30x Zoom, GPS, and Full HD 1080p Video (Black)",,$349.95,018208264698,,,,,,,
Fujifilm X-S1 XS1 Digital Camera on sale for $369.99,,3-December-2013,0017236332720,09-October-2014,,Fuji Photo Film,,,Fujifilm X-S1 XS1 Digital Camera (Black) and Ultra-Smooth 26x Manual Zoom (24-624mm) - 16199188,,$899.99,017236332720,,,,,,,
Nikon Coolpix S6 6MP Digital Camera on sale for $286.99,,21-February-2006,0018208255474,09-October-2014,,Nikon,,,Nikon Coolpix S6 6MP Digital Camera with 3x Optical Zoom and Wifi Capable,25547,$449.95,018208255474,4.5 x 1 x 3 in.,00018208255474,1 lbs.,,,,
Canon Powershot SX10IS 10MP Digital on sale for $544.99,,15-October-2008,0013803100785,09-October-2014,,Canon,,,Canon Powershot SX10IS 10MP Digital Camera with 20x Wide Angle Optical Image Stabilized Zoom,SX10IS,$588.00,013803100785,4.9 x 3.5 x 3.4 in.,00013803100785,2 lbs.,,10.0 - 10.9 Megapixels,,"Wide Angle, Image Stabilization"
Point n Shoot Accessory KIT for Canon on sale for $75.89,,16-May-2011,0846840011505,09-October-2014,,Digital,,,Point n Shoot Accessory KIT for Canon PowerShot A3000IS including Extended Life Battery + Battery Charger + 16GB SD Memory Card + Card Reader + Carrying Case + Starter Kit,,,846840011505,,,,,,,
Nikon D5100 16.2MP DSLR Camera on sale for $389.99,SLR,9-April-2011,0018208254781,09-October-2014,,Nikon,16.2 MP,,Nikon D5100 16.2MP DSLR Camera with 18-55mm f/3.5-5.6 AF-S DX VR Nikkor Zoom Lens,D5100 18-55mm K,$899.00,018208254781,,,,,,,
Panasonic Lumix DMC-G2 12.1MP Live MOS on sale for $819.57,,10-June-2010,0885170005273,09-October-2014,3 inches,Panasonic,12.1 MP,3 x,Panasonic Lumix DMC-G2 12.1MP Live MOS Interchangeable Lens Camera with Touchscreen and 14-42mm G VARIO f/3.5-5.6 MEGA OIS Lens,DMC-G2K-K,$799.95,885170005273,,00885170005273,,,,,
Fujifilm X-E2 16.3 MP Compact System on sale for $793.82,,11-December-2013,0074101023435,09-October-2014,,Fuji Photo Film,,,"Fujifilm X-E2 16.3 MP Compact System Digital Camera (Body Only, Black)",Fujifilm X-E2 B,$999.95,074101023435,,,,,,,
Panasonic Lumix DMC-GF3XK 12.1 MP Micro on sale for $625.89,,20-July-2012,0885170061750,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-GF3XK 12.1 MP Micro Four Thirds Compact System Camera with 3-Inch Touch-Screen LCD and LUMIX G X Vario PZ 14-42mm/F3.5-5.6 Lens (Black),DMC-GF3XK,$899.00,885170061750,,,,,,,
Panasonic Lumix DMC-ZS7 12.1MP Digital on sale for $599.00,,23-June-2010,0885170004054,09-October-2014,3 inches,Panasonic,12.1 MP,12 x,"Panasonic Lumix DMC-ZS7 12.1MP Digital Camera with 12x O.I.S. Zoom, HD Video (Silver)",DMC-ZS7S,$399.95,885170004054,,00885170004054,,,,Yes,
Fujifilm X-Pro 1 16MP Digital Camera on sale for $899.00,,16-March-2012,0074101013702,10-October-2014,,FUJI9,,,Fujifilm X-Pro 1 16MP Digital Camera with APS-C X-Trans CMOS Sensor (Body Only),X-Pro 1 Camera,$1699.95,074101013702,,,,Made in Japan,,,
Nikon Coolpix L820 16 MP CMOS Digital on sale for $139.95,Point-and-Shoot,29-July-2013,0018208264025,09-October-2014,,Nikon,,,Nikon Coolpix L820 16 MP CMOS Digital Camera with 30x Zoom and 1080p Video (Black),,$279.95,018208264025,,,,,,,
Samsung EC-SH100 Wi-Fi Digital Camera on sale for $69.47,Point-and-Shoot,26-July-2011,0044701015574,09-October-2014,3 inches,Samsung,14 MP,5 x,"Samsung EC-SH100 Wi-Fi Digital Camera with 14 MP, 5x Optical Zoom and Touchscreen (Black)",EC-SH100ZBPBUS,$199.00,044701015574,,,,,,Yes,
Panasonic Lumix DMC-ZS10 14.1MP Digital on sale for $259.99,Point-and-Shoot,5-May-2011,0885170033214,09-October-2014,3 inches,Panasonic,14.1 MP,16 x,Panasonic Lumix DMC-ZS10 14.1MP Digital Camera with 16x IS Zoom and Built-In GPS,DMC-ZS10K,$399.00,885170033214,,,,Made in Japan,,Yes,
Panasonic Leica DMC-FZ7S 6MP Digital on sale for $429.94,,20-February-2006,0037988985470,09-October-2014,,Panasonic,,,Panasonic Leica DMC-FZ7S 6MP Digital Camera with 12x Optical Image Stabilized Zoom (Silver),DMC-FZ7S,$449.95,037988985470,7.48 x 5.79 x 5.55 in.,00037988985470,2 lbs.,,,,Image Stabilization
Canon PowerShot SD850 IS Digital Elph on sale for $346.98,,11-November-2007,0013803079302,09-October-2014,,Canon,,,"Canon PowerShot SD850 IS Digital Elph Camera (8MP, 4x Optical Image Stabilized Zoom)",2047B001,$399.99,013803079302,3.6 x 1.04 x 2.22 in.,00013803079302,2 lbs.,,8.0 - 8.9 Megapixels,,Image Stabilization
Canon Powershot G10 14.7MP Digital Camera on sale for $299.90,,15-October-2008,0013803100075,09-October-2014,,Canon,,,Canon Powershot G10 14.7MP Digital Camera with 5x Wide Angle Optical Image Stabilized Zoom,,$954.90,013803100075,4.3 x 3.1 x 1.8 in.,00013803100075,2 lbs.,,"7.0 - 7.9 Megapixels, 14.0 - 14.9 Megapixels",,"Wide Angle, Image Stabilization"
Nikon 1 J1 10.1MP Digital Camera Bundle on sale for $395.00,,,,,,Nikon,,,"Nikon 1 J1 10.1MP Digital Camera Bundle w/ 10-30mm, 30-110mm Lenses, Case, 4GB",,$699.99,018208275472,,,,,,,
Panasonic Lumix DMC-LX5 10.1MP Digital on sale for $299.99,Point-and-Shoot,22-September-2010,0885170016170,09-October-2014,,Panasonic,10.1 MP,3.8 x,Panasonic Lumix DMC-LX5 10.1MP Digital Camera with 3.8x IS Zoom (Black),DMC-LX5K,$499.95,885170016170,,00885170016170,,,,,
Panasonic Lumix DMC-ZS40 Digital Camera on sale for $410.59,Point-and-Shoot,28-March-2014,0885170180963,09-October-2014,,Panasonic,,,"Panasonic Lumix DMC-ZS40 Digital Camera with 30x Zoom, Wi-Fi, GPS (DMC-ZS40K, Black)",DMC-ZS40K,$449.99,885170180963,,,,,,,
Panasonic DMC-LX2K 10.2MP Digital Camera on sale for $594.95,,1-August-2006,5025232408573 0037988985821,09-October-2014,,Panasonic,,,Panasonic DMC-LX2K 10.2MP Digital Camera with 4x Optical Image Stabilized Zoom (Black),DMC-LX2K,$499.95,700417102747 037988985821,2 x 5 x 3 in.,00037988985821,2 lbs.,,10.0 - 10.9 Megapixels,,Image Stabilization
Panasonic Lumix DMC-G1 12.1MP SLR Camera on sale for $429.99,SLR,10-June-2010,0037988988327,09-October-2014,3 inches,Panasonic,12 MP,3.2 x,Panasonic Lumix DMC-G1 12.1MP SLR Camera with Lumix G Vario 14-45mm f/3.5-5.6 ASPH Mega OIS Lens (Black),DMC-G1 Black,$799.99,037988988334,,00037988988334,,,,Yes,
Samsung WB150F Smart Wi-Fi Digital Camera on sale for $139.00,Point-and-Shoot,3-May-2012,0044701016410,09-October-2014,,Samsung,,,Samsung WB150F Smart Wi-Fi Digital Camera with 18x Zoom (White),EC-WB150FBPWUS,,044701016410,,,,,,,
Canon PowerShot A3100IS 12.1MP Digital on sale for $119.43,Point-and-Shoot,6-November-2010,0013803120127,09-October-2014,2.7 inches,Canon,12.1 MP,4 x,Canon PowerShot A3100IS 12.1MP Digital Camera with 4x IS Zoom (Red),A3100IS Red,$219.95,013803120127,,00013803120127,,,,Yes,
Panasonic Lumix DMC-FZ30K 8MP Digital on sale for $684.89,,27-July-2005,0037988985203,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-FZ30K 8MP Digital Camera with 12x Image Stabilized Optical Zoom,DMC-FZ30K,$519.99,037988985203,8 x 7.5 x 6.5 in.,00037988985203,3 lbs.,,"6.0 Megapixels +, 8.0 - 8.9 Megapixels",,Image Stabilization
Panasonic Lumix DMC-FZ7 6MP Digital on sale for $405.99,,20-February-2006,0037988985487,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-FZ7 6MP Digital Camera with 12x Optical Image Stabilized Zoom (Black),DMC-FZ7K,$449.95,037988985487,7.4 x 5.8 x 5.6 in.,00037988985487,2 lbs.,,,,Image Stabilization
Canon PowerShot A720IS 8MP Digital Camera on sale for $549.99,,26-November-2007,0013803084092,09-October-2014,,Canon,,,Canon PowerShot A720IS 8MP Digital Camera with 6x Optical Image Stabilized Zoom,2092B001,$574.00,013803084092,3.8 x 2.6 x 1.6 in.,00013803084092,2 lbs.,,8.0 - 8.9 Megapixels,,Image Stabilization
Panasonic Lumix DMC-SZ3 16.1MP Compact,,12-May-2014,0885170117723,10-October-2014,,Panasonic,,,Panasonic Lumix DMC-SZ3 16.1MP Compact Digital Camera with 10x Zoom (Violet),DMC-SZ3V,$149.99,885170117723,,,,,,,
Panasonic Lumix DMC-LX7K 10.1 MP Digital on sale for $347.99,Point-and-Shoot,31-August-2012,0885170087361,12-October-2014,,Panasonic,,,Panasonic Lumix DMC-LX7K 10.1 MP Digital Camera with 7.5x Zoom (Black),DMC-LX7K,$499.99,885170087361,,,,,,,
Nikon D600 24.3MP CMOS FX-Format Digital on sale for $1469.20,SLR,27-December-2012,0018208254880,09-October-2014,,Nikon,,,Nikon D600 24.3MP CMOS FX-Format Digital SLR Camera (Body Only),,$2099.95,018208254880,,,,,,,
Panasonic Lumix DMC-ZS30 18MP Digital on sale for $708.79,Point-and-Shoot,29-July-2013,0885170117471,09-October-2014,,Panasonic,,,"Panasonic Lumix DMC-ZS30 18MP Digital Camera with 20x Zoom (DMC-ZS30S, Silver)",DMC-ZS30KS,$399.99,885170117471,,,,,,,
OLYMPUS D-590 Zoom Digital Camera 225520 on sale for $100.00,,,0050332150720,,,Olympus,,,OLYMPUS D-590 Zoom Digital Camera,225520,$349.99,050332150720,,00050332150720,1.5 lbs.,,4.0 - 4.9 Megapixels,,
Canon Powershot SX40 HS 12.1MP Digital on sale for $184.29,Point-and-Shoot,27-October-2011,0013803134551,09-October-2014,,Canon,12.1 MP,35 x,Canon Powershot SX40 HS 12.1MP Digital Camera with 35x Zoom,SX40 HS,$429.00,013803134551,,,,,,,
Panasonic Lumix DMC-FS5K 10MP Digital on sale for $299.95,,28-July-2008,0037988987238,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-FS5K 10MP Digital Camera with 4x Wide Angle MEGA Optical Image Stabilized Zoom (Black),DMC-FS5P-K,$229.95,037988987238,2.03 x 0.94 x 3.72 in.,00037988987238,2 lbs.,,10.0 - 10.9 Megapixels,,"Wide Angle, Image Stabilization"
Fujifilm X-E2 16.3 MP Compact System on sale for $1080.71,SLR,11-December-2013,0074101023466,10-October-2014,,Fuji Photo Film,,,Fujifilm X-E2 16.3 MP Compact System Digital Camera with 18-55mm Lens (Black),Fujifilm X-E2 K,$1399.95,074101023466,,,,,,,
Canon PowerShot A430 4MP Digital Camera on sale for $295.98,,22-February-2006,0013803060768,09-October-2014,,Canon,,,Canon PowerShot A430 4MP Digital Camera with 4x Optical Zoom,0933B001,$249.99,013803060768,5.1 x 2 x 1.6 in.,00013803060768,2 lbs.,,,,
Canon PowerShot SX170 IS 16MP Digital on sale for $149.00,Point-and-Shoot,24-November-2013,0013803229110,10-October-2014,,Canon,,,Canon PowerShot SX170 IS 16MP Digital Camera with 16x Zoom and 720p HD Video (Red),SX170 Red,$179.99,013803229110,,,,,,,
CANON EOS 20D SLR Digital Camera Body on sale for $1309.99,SLR,,,,,Canon,,,CANON EOS 20D SLR Digital Camera Body,9442A002AA,$2199.95,013803044430,9 x 7.9 x 6.5 in.,00013803044430,1 lbs.,,6.0 Megapixels +,,
Fujifilm X-T1 16MP Compact System Camera on sale for $1529.00,,29-January-2014,0074101024524,10-October-2014,,Fuji Photo Film,,,Fujifilm X-T1 16MP Compact System Camera with XF 18-55mm f2.8-4.0 Lens,X-T1 Kit with X,$1699.95,074101024524,,,,,,,
Pentax K-r Digital SLR Camera on sale for $824.95,,19-September-2011,0017532476708,09-October-2014,,Pentax,12.4 MP,,"Pentax K-r Digital SLR Camera with 18-55mm Lens (Black) + SSE Accessory Package Including 8GB SDHC Memory Card, Jump Start Guide To SLR, Carrying Case, Full Size Tripod And SSE Cleaning Cloth",,,017532476708,,,,,,,
Sony Cybershot DSC-T70 8.1MP Digital on sale for $259.00,,6-April-2008,0027242713284,09-October-2014,,Sony,,,Sony Cybershot DSC-T70 8.1MP Digital Camera with 3x Optical Zoom with Super Steady Shot Image Stabilization (Black),DSCT70/B,$349.99,027242713284 272427132842,3.56 x 2.25 x 0.81 in.,00027242713284,1 lbs.,,8.0 - 8.9 Megapixels,,
Canon PowerShot A570IS 7.1MP Digital on sale for $329.99,,10-April-2007,0013803078442,09-October-2014,,Canon,,,Canon PowerShot A570IS 7.1MP Digital Camera with 4x Optical Image Stabilized Zoom,A570 IS,$279.99,013803078442,,00013803078442,2 lbs.,,7.0 - 7.9 Megapixels,,Image Stabilization
Panasonic Lumix DMC-ZS7 12.1 MP Digital on sale for $684.89,Point-and-Shoot,22-March-2010,0885170004061,09-October-2014,,Panasonic,12.1 MP,12 x,"Panasonic Lumix DMC-ZS7 12.1 MP Digital Camera with 12x O.I.S Zoom, HD Video (Black)",DMC-ZS7K,$399.95,885170004061,,00885170004061,,,,,
Panasonic DMC-FX07A 7.2MP Digital Camera on sale for $519.90,,1-August-2006,0037988986033,09-October-2014,,Panasonic,,,Panasonic DMC-FX07A 7.2MP Digital Camera with 3.6x Optical Image Stabilized Zoom (Blue),DMC-FX07N,$349.99,037988986033,,00037988986033,2 lbs.,,7.0 - 7.9 Megapixels,,Image Stabilization
Panasonic Lumix DMC-FH5 16.1MP Digital on sale for $104.99,,11-August-2012,0885170032682,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-FH5 16.1MP Digital Camera with 4x Optical IS Zoom,DMC-FH5P-K,$169.00,885170032682,,,,Made in USA,,,
Canon - EOS 20D Digital SLR Camera Outfit on sale for $2495.89,SLR,,0750845820713,,,Canon,,,Canon - EOS 20D Digital SLR Camera Outfit w/Canon 17-85mm IS USM Lens,9442A036AA,$2999.99,750845820713,9 x 9 x 9 in.,00750845820713 07508458207130,5.75 lbs.,,,,
Sony Alpha a6000 24.3MP Camera on sale for $542.13,SLR,6-May-2014,0027242878815,10-October-2014,,Sony,,,"Sony Alpha a6000 24.3MP Camera (Black, Body Only)",ILCE6000/B,$649.99,027242878815,,,,,,,
Canon PowerShot A640 10MP Digital Camera on sale for $638.99,,31-August-2006,0013803072396,09-October-2014,,Canon,,,Canon PowerShot A640 10MP Digital Camera with 4x Optical Zoom,1287B001,$499.99,013803072396,4.3 x 2.6 x 1.9 in.,00013803072396,1 lbs.,,10.0 - 10.9 Megapixels,,
Fujifilm FinePix HS10 10MP CMOS Digital on sale for $399.99,,8-October-2010,0074101003789,09-October-2014,3 inches,Fuji Photo Film,10 MP,30 x,Fujifilm FinePix HS10 10MP CMOS Digital Camera with 30x Wide Angle Zoom,,$499.95,074101003789,,00074101003789,,Made in USA,,Yes,
Kodak EasyShare M590 Slim Digital Camera on sale for $164.98,,22-September-2010,0041778613009,09-October-2014,,Kodak,14 MP,5 x,Kodak EasyShare M590 Slim Digital Camera with 5x IS Zoom (Blue),8613002,$199.95,041778613009,,00041778613009,,,,,
Olympus D545 4MP Digital Camera on sale for $199.89,,10-March-2005,0050332153394,09-October-2014,,Olympus,,,Olympus D545 4MP Digital Camera with 3x Optical Zoom,225615,$229.99,050332153394,,00050332153394,2 lbs.,,4.0 - 4.9 Megapixels,,
Sony Cybershot DSCW30 6MP Digital Camera on sale for $349.95,,22-February-2006,0027242682221,09-October-2014,,Sony,,,Sony Cybershot DSCW30 6MP Digital Camera with 3x Optical Zoom,DSCW30,$329.99,027242682221,3.5 x 2.5 x 1 in.,00027242693258 00027242682221,1 lbs.,,,,
Sony Alpha DSLRA300K 10.2MP Digital SLR on sale for $979.99,SLR,11-August-2008,0027242727038,09-October-2014,,Sony,,,Sony Alpha DSLRA300K 10.2MP Digital SLR Camera with Super SteadyShot Image Stabilization with DT 18-70mm f/3.5-5.6 Zoom Lens,B00138MVBY,$799.99,027242727038,,00027242727038,4 lbs.,,10.0 - 10.9 Megapixels,,
"Nikon 1 AW1 14.2MP Waterproof, Shockproof on sale for $634.95",SLR,27-June-2014,0018208276691,09-October-2014,,Nikon,,,"Nikon 1 AW1 14.2MP Waterproof, Shockproof Digital Camera System with AW 11-27.5mm f/3.5-5.6 Lens (White)",,$799.95,018208276691,,,,,,,
Nikon Coolpix AW120 16.1MP Waterproof on sale for $209.95,Point-and-Shoot,27-June-2014,0018208264674,09-October-2014,,Nikon,,,"Nikon Coolpix AW120 16.1MP Waterproof Digital Camera with Wi-Fi, GPS and 1080p Video (Orange)",,$349.95,018208264674,,,,,,,
Sony Cyber-shot DSC-H55 14.1MP Digital on sale for $194.94,Point-and-Shoot,25-March-2010,0027242778375,09-October-2014,,Sony,14.1 MP,10 x,Sony Cyber-shot DSC-H55 14.1MP Digital Camera with 10x Wide Angle IS Zoom G Lens (Black),DSC-H55/B,$249.99,027242778375,,00027242778375,,,,,
Nikon Coolpix L830 16MP CMOS Digital on sale for $149.95,Point-and-Shoot,6-May-2014,0018208264391,09-October-2014,,Nikon,,,Nikon Coolpix L830 16MP CMOS Digital Camera with 34x Zoom and Full 1080p HD Video (Black),,$299.95,018208264391,,,,,,,
Panasonic Lumix DMC-LZ10K 10MP Digital on sale for $169.00,,15-October-2008,0037988987351,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-LZ10K 10MP Digital Camera with 5x Wide Angle MEGA Optical Image Stabilized Zoom (Black),DMC-LZ10K,$249.95,037988987351,,00037988987351,1 lbs.,,10.0 - 10.9 Megapixels,,"Wide Angle, Image Stabilization"
Panasonic Lumix DMC-G10 12.1MP Live MOS on sale for $759.99,,8-December-2010,0085170005307,09-October-2014,3 inches,Panasonic,12.1 MP,3 x,Panasonic Lumix DMC-G10 12.1MP Live MOS Interchangeable Lens Camera with 14-42mm Lumix G Vario f/3.5-5.6 Lens,DMC-G10K-K,$599.00,885170005303,,,,,,Yes,
Fujifilm FinePix F200EXR 12MP Super CCD on sale for $169.49,,26-August-2009,0074101488005,09-October-2014,3 inches,Fuji Photo Film,12 MP,5 x,Fujifilm FinePix F200EXR 12MP Super CCD Digital Camera with 5x Wide Angle Dual Image Stabilized Optical Zoom,FinePix F200EXR,$449.99,074101488005,,00074101488005,,,,Yes,
Nikon Coolpix S100 16MP CMOS Digital on sale for $124.74,Point-and-Shoot,3-July-2012,0018208262809,09-October-2014,,Nikon,,,Nikon Coolpix S100 16MP CMOS Digital Camera with 5x Zoom (Black),,$299.00,018208262809,,,,,,,
Sony MVCFD200 FD Mavica 2MP Digital Still on sale for $299.99,"Ultra Compact, SLR",15-January-2004,0027242602335,09-October-2014,,Sony,,,Sony MVCFD200 FD Mavica 2MP Digital Still Camera w/ 3x Optical Zoom,MVC-FD200,$1149.99,027242602335,3.1 x 5.6 x 4.1 in.,00027242602335,5 lbs.,,"> 2 Megapixels, 2.0 - 2.9 Megapixels",,
Wide Angle Lens + 2x Telephoto Lens + on sale for $30.25,,2-April-2012,0721405369164,09-October-2014,,ZEEMO,,,"Wide Angle Lens + 2x Telephoto Lens + Multicoated UV Filter + Lenspen + Rubber Lens Hood For Nikon D3000, D3100, D5000, D5100, D7000 DSLR Cameras Attach To Nikon 18-55mm f/3.5-5.6G VR AF-S DX Nikkor Lens And Nikon 55-200mm ED AF-S DX Lens",WIDE-TELE,$79.99,721405369164,,,,,,,
Sony Cybershot DSCW55 7.2MP Digital on sale for $219.99,,22-March-2007,0027242710207,09-October-2014,,Sony,,,Sony Cybershot DSCW55 7.2MP Digital Camera with 3x Optical Zoom (Pink),DSCW55/P,$311.34,272427102074 027242710207,4 x 2.5 x 1 in.,00027242710207,1 lbs.,,7.0 - 7.9 Megapixels,,
Panasonic Lumix DMC-FP1 12.1MP Digital on sale for $89.95,,1-December-2010,0885170000292,09-October-2014,2.7 inches,Panasonic,12.1 MP,4 x,Panasonic Lumix DMC-FP1 12.1MP Digital Camera with 4x IS Zoom (Black),DMC-FP1K,$149.95,885170000292,,,,,,Yes,
