<page title>,an,battery model,cant find a,card format,colour,connectivity,exposure control,exposure modes,face detection technology,file formats,flash metering,flash type,focal length tele,focal length wide,image stabilisation,iso max,iso min,max aperture tele,max aperture wide,megapixels,minimum focus distance,movie mode,needs additional,optical zoom x,pictbridge,please add,requires,resolution,screen resolution pixels,screen size inches,sensor size,sensor type,shutter speed max,shutter speed min,size,the description needs,the information is,viewfinder type,weight g,hd movie mode,manufacturers link
Sony CyberShot W830 Digital Camera - Pink (DSCW830P.CEH) - Wex Photographic,image is incorrect,NP-BN,related accessory,"SD, SDHC, SDXC",Pink,Hi-Speed USB,"Â± 2.0EV, 1 / 3EV step",,Yes,"JPEG, MP4",,Built-in,200.0,25.0,Yes,3200,80,6.3,3.3,20.1,5cm,720p,specifications,8.0,Yes,more image angles,compatibility information,,230400,2.7,1/2.3 inch,CCD,1/1600 sec,1 sec,93.1 x 52.5 x 22.5 mm,further detail,incorrect,LCD,,720p,Click here
Sony Cyber-Shot RX1R Digital Camera - Black (DSCRX1RDI.YG) - Wex Photographic,image is incorrect,NP-BX1,related accessory,"MS Duo, SDXC Dual Slot",Black,,,,,"RAW, JPEG",,Built-in,35.0,35.0,,102400,50,2.0,2.0,24.3,,1080p,specifications,0.0,,more image angles,compatibility information,6000 x 4000,1229000,3.0,,CMOS,30 sec,1/4000 sec,113.3 x 65.4 x 69.6 mm,further detail,incorrect,Xtra Fine LCD Screen,482.0,,Click here
Samsung WB35F Digital Smart Camera - Black (EC-WB35FZBPBGB) - Wex Photographic,image is incorrect,EA-SLB10A,related accessory,"microSD, microSDHC, microSDXC",Black,"Hi-Speed USB (USB2.0), WiFi, NFC",Â±2.0EV 1/3EV step,20 Scene Modes,Yes,"JPEG, MP4",,Built in,288.0,24.0,Yes,3200,80,6.3,3.1,16.2,5 cm,720p,specifications,12.0,,more image angles,compatibility information,4608 x 3456,230000,2.7,1/1.23 Inch,CCD,1/2000 sec,1/8 sec,101 x 61 x 28 mm,further detail,incorrect,,142.0,720p,
Panasonic LUMIX DMC-FZ200 Black Digital Camera (DMC-FZ200EB9) - Wex Photographic,image is incorrect,,related accessory,"70MB Internal, SD/SDHC/SDXC",Black,"USB 2.0, HDMI mini",,17 Scene Modes,Yes,"RAW, JPEG, MPO, MPEG-4, AVCHD","Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off, Flash Synchro",Built-in (pop-up),600.0,25.0,Yes,6400,100,2.8,2.8,12.1,1 cm,1080p,specifications,24.0,Yes,more image angles,compatibility information,4000 x 3000,460000,3.0,1/2.3 inch,CMOS,1/4000 sec,60 sec,125 x 87 x 110 mm,further detail,incorrect,TFT LCD,540.0,,Click here
Canon IXUS 150 Digital Camera - Grey (9145B007AA) - Wex Photographic,image is incorrect,NB-11L,related accessory,"SD, SDHC, SDXC",Grey,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,13 Scene Modes,Yes,"JPEG, MOV",,Built-in,224.0,28.0,Yes,1600,100,6.9,3.2,16.0,1 cm,720p,specifications,8.0,Yes,more image angles,compatibility information,4608 x 3456,230000,2.7,,CCD,1/2000 sec,15 sec,95 x 54 x 22 mm,further detail,incorrect,2.7 Inch TFT,130.0,720p,Click here
Samsung WB1100F Digital Smart Camera (EC-WB1100BPBGB) - Wex Photographic,image is incorrect,SLB-10A Lithium-Ion,related accessory,"SD, SDHC, SDXC",Black,"Hi-Speed USB (USB2.0), Wi-Fi & NFC",Â±2.0EV 1/3EV step,19 Scene Modes,Yes,"JPEG, MP4",Built-in,Built-in (pop-up),875.0,25.0,Yes,3200,80,5.9,3.0,16.2,10 cm,720p,specifications,35.0,,more image angles,compatibility information,4611 x 3456,460000,3.0,1/1.23 Inch,CCD,1/2000 sec,1/8 sec,124 x 86 x 97 mm,further detail,incorrect,3 Inch LCD,462.0,720p,
Sony CyberShot W830 Digital Camera - Purple (DSCW830V.CEH) - Wex Photographic,image is incorrect,NP-BN,related accessory,"SD, SDHC, SDXC",Purple,Hi-Speed USB,"Â± 2.0EV, 1 / 3EV step",,Yes,"JPEG, MP4",,Built-in,200.0,25.0,Yes,3200,80,6.3,3.3,20.1,5cm,720p,specifications,8.0,Yes,more image angles,compatibility information,,230400,2.7,1/2.3 inch,CCD,1/1600 sec,1 sec,93.1 x 52.5 x 22.5 mm,further detail,incorrect,LCD,,720p,Click here
Fuji FinePix S9200 Digital Camera - Black (P10NC12610A) - Wex Photographic,image is incorrect,4 x AA Alkaline Batteries or 4 x AA Ni-MH Batteries EN-MH2 or 4 x AA Lithium Batteries,related accessory,"SD, SDHC, SDXC",Black,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,"Programmed AE, Shutter Priority AE, Aperture Priority AE, Manual Exposure, 14 Scene Modes",Yes,"JPEG, MOV","Auto, Forced Flash, Suppressed Flash, Slow Synchro",Built-in (pop-up),1200.0,24.0,Yes,12800,100,6.5,2.9,16.2,7 cm,1080p,specifications,50.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/1.23 Inch,CMOS,1/1700 sec,8 sec,122 Ã 86 Ã 116 mm,further detail,incorrect,0.2 Inch Electronic Viewfinder,670.0,1080p,
Canon PowerShot SX700 HS Digital Camera - Red (9339B014AA) - Wex Photographic,image is incorrect,NB-6LH,related accessory,"SD, SDHC and SDXC",Red,"Hi-Speed USB, HDMI Mini Connector, Wi-Fi",,,,"JPEG, MP4",,Built-in,750.0,25.0,,3200,100,6.9,3.2,16.1,1cm,1080p,specifications,30.0,,more image angles,compatibility information,4608 x 3456,922000,3.0,1/2.3 inch,CMOS,1/3200 sec,15 sec,112.7 x 65.8 x 34.8 mm,further detail,incorrect,PureColor II G (TFT),269.0,,
Samsung WB50F Digital Smart Camera - White (EC-WB50FZBPWGB) - Wex Photographic,image is incorrect,EA-SLB10A,related accessory,"microSD, microSDHC, microSDXC",White,"Hi-Speed USB (USB2.0), Wi-Fi & NFC",Â±2.0EV 1/3EV step,20 Scenes Modes,Yes,"JPEG, MP4",,Built in,288.0,24.0,Yes,3200,80,6.3,3.1,16.2,5 cm,720p,specifications,12.0,,more image angles,compatibility information,4609 x 3456,460000,3.0,1/1.23 Inch,CCD,1/2000 sec,1/8 sec,101 x 68 x 27.1 mm,further detail,incorrect,3 Inch LCD,157.0,720p,
Nikon Coolpix S32 Digital Camera - Pink (VNA582E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"SD, SDHC, SDXC",Pink,"Hi-Speed USB 2.0, HDMI",,,,JPEG,,Built in,90.0,30.0,Yes,1600,125,5.9,3.3,13.2,5cm,1080p Full HD,specifications,3.0,,more image angles,compatibility information,4160 x 3120,230000,2.7,1/3.1 inch,CMOS,1/2000 sec,1 sec,107.6 x 66.1 x 66.1 mm,further detail,incorrect,2.7 Inch TFT,175.0,1080p,Click here
Olympus Stylus Tough TG-850 Digital Camera - Silver (V104150SE000) - Wex Photographic,image is incorrect,LI-50B,related accessory,"SD, SDHC, SDXC",Silver,Hi-Speed USB 2.0,Â±2.0EV 1/3EV step,18 Scene Modes,Yes,,,Built-in,105.0,21.0,Yes,6400,125,5.7,3.5,16.0,1cm,1080p Full HD,specifications,5.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/ 2.3 inch,CMOS,,4 sec,109 x 64 x 27 mm,further detail,incorrect,3 Inch LCD,218.0,1080p,Click here
Sony Cyber-shot WX350 Digital Camera - Black (DSCWX350B.CEH) - Wex Photographic,image is incorrect,NP-BX1,related accessory,"SD, SDHC, SDXC, Memory Stick Pro Duo",Black,Multi/Micro USB Terminal;Hi-Speed USB (USB2.0);Micro HDMI,"+/- 2.0 EV, 1/3 EV step",,,"AVCHD, JPEG, MP4","Auto, Flash On, Slow Synchro, Flash Off, Advanced Flash",Built-in,86.0,4.3,,12800,80,6.5,3.5,18.2,,1080p,specifications,20.0,,more image angles,compatibility information,4896 x 3264,460800,3.0,1/2.3 inch,CMOS,1/1600 sec,4 sec,96 x 54.9 x 25.7 mm,further detail,incorrect,,164.0,,Click here
Canon IXUS 265 HS Digital Camera - Purple (9351B007AA) - Wex Photographic,image is incorrect,NB-11LH,related accessory,"SD, SDHC, SDXC",Purple,"Hi-Speed USB, HDMI Micro Connector, Wi-Fi","+/- 2.0EV, 1/3EV step",32 Scene Modes,Yes,"JPEG, MP4","Auto, Manual Flash On / Off, Slow Synchro",Built-in,300.0,25.0,Yes,3200,100,7.0,3.6,16.0,1cm,1080p,specifications,12.0,Yes,more image angles,compatibility information,4608 x 3456,461000,3.0,1/2.3 inch,CMOS,1/2000 sec,15 sec,99.7 x 57.6 x 22.4 mm,further detail,incorrect,LCD,147.0,,Click here
Sony CyberShot W830 Digital Camera - Silver (DSCW830S.CEH) - Wex Photographic,image is incorrect,NP-BN,related accessory,"SD, SDHC, SDXC",Silver,Hi-Speed USB,"Â± 2.0EV, 1 / 3EV step",,Yes,"JPEG, MP4",,Built-in,200.0,25.0,Yes,3200,80,6.3,3.3,20.1,5cm,720p,specifications,8.0,Yes,more image angles,compatibility information,,230400,2.7,1/2.3 inch,CCD,1/1600 sec,1 sec,93.1 x 52.5 x 22.5 mm,further detail,incorrect,LCD,,720p,Click here
Sony Cyber-shot HX400 Digital Camera (DSCHX400VB.CEH) - Wex Photographic,image is incorrect,NP-BX1,related accessory,"SDHC, SDXC",Black,"Multi (AV/USB), Hi-Speed USB (USB2.0), Wi-Fi, Micro HDMI",,,,"JPEG, AVCHD,",Flash Off / Autoflash / Fill-flash / Slow Sync. / Advanced Flash / Rear Sync. / Wireless,Built-in,500.0,25.0,,3200,80,6.3,2.8,20.4,1cm,1080p,specifications,50.0,,more image angles,compatibility information,,921600,3.0,1/2.3 inch,CMOS,1/4000 sec,30 sec,129.6 x 93.2 x 103.2 mm,further detail,incorrect,LCD Monitor,633.0,,Click here
Panasonic LUMIX DMC-FZ72 Digital Camera Lens Kit - Black (DMC-FZ72LENSKIT) - Wex Photographic,image is incorrect,,related accessory,"Internal Memeory: 200MB, SD, SDHC, SDXC",Black,"miniHDMI, AV Output (PAL / NTSC), USB (AV/USB Multi)",,,,"JPEG, RAW, MPO, AVCHD, MP4",,Built-in,1200.0,20.0,,6400,100,5.9,2.8,16.1,1 cm,1080i,specifications,60.0,,more image angles,compatibility information,4608 x 3456,460000,3.0,1/2.3 inch,MOS,1/2000 sec,60 sec,130.2 x 97 x 118.2 mm,further detail,incorrect,TFT Screen LCD Display,6.6,,Click here
Sony Cyber-Shot HX300 Digital Camera - Black (DSCHX300B.CEH) - Wex Photographic,image is incorrect,NP-BX1,related accessory,"SD, SDHC, SDXC, microSD, microSDHC",Black,"Multi/Micro USB Terminal, USB 2.0 Hi-Speed USB, Micro HDMI","? 2.0EV, 1/3EV step",15 Scene Modes,Yes,JPEG,Auto / Flash On / Slow Synchro / Rear Slow Synchro / Flash Off / Advanced Flash,Built-in,1200.0,24.0,Yes,12800,80,3.3,2.8,20.4,1 cm,1080p,specifications,50.0,Yes,more image angles,compatibility information,,921000,3.0,1/2.3 inch,CMOS,1/4000 sec,1 sec,130 x 93 x 103 mm,further detail,incorrect,Tilt LCD Screen,623.0,,Click here
Sony Cyber-shot WX350 Digital Camera - White (DSCWX350W.CEH) - Wex Photographic,image is incorrect,NP-BX1,related accessory,"SD, SDHC, SDXC, Memory Stick Pro Duo",White,Multi/Micro USB Terminal;Hi-Speed USB (USB2.0);Micro HDMI,"+/- 2.0 EV, 1/3 EV step",,,"AVCHD, JPEG, MP4","Auto, Flash On, Slow Synchro, Flash Off, Advanced Flash",Built-in,86.0,4.3,,12800,80,6.5,3.5,18.2,,1080p,specifications,20.0,,more image angles,compatibility information,4896 x 3264,460800,3.0,1/2.3 inch,CMOS,1/1600 sec,4 sec,96 x 54.9 x 25.7 mm,further detail,incorrect,,164.0,,Click here
Nikon Coolpix S6700 Digital Camera - Black (VNA660E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"25MB Internal, SD, SDHC, SDXC",Black,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,18 Scene Modes,Yes,"JPEG, AVI, WAV",,Built in,250.0,25.0,Yes,3200,80,6.5,3.5,20.1,5 cm,720p,specifications,10.0,,more image angles,compatibility information,5152 x 3864,230000,3.0,1/1.23 Inch,CCD,1/2000 sec,4 sec,95 x 58 x 51 mm,further detail,incorrect,3 Inch LCD,137.0,720p,Click here
Panasonic LUMIX DMC-LF1 Digital Camera - Black (DMC-LF1EB-K ) - Wex Photographic,image is incorrect,,related accessory,"SD, SDHC, SDXC",Black,"USB 2.0, Mini HDMI","2.0EV, 1/3EV step",15 Scene Modes,Yes,"JPEG (DCF/Exif2.3), RAW, MPO","Auto, On, Off, Red-Eye, Slow Sync",Built-in,200.0,28.0,Yes,12800,80,5.9,2.0,12.1,3 cm,1080i,specifications,7.1,Yes,more image angles,compatibility information,4000 x 3000,920000,3.0,1/1.7 inch,MOS,1/4000 sec,60 sec,103 x 62 x 28 mm,further detail,incorrect,LCD,170.0,,Click here
Canon PowerShot SX600 HS Digital Camera - Black (9340B012AA) - Wex Photographic,image is incorrect,NB-6LH,related accessory,"SD, SDHC, SDXC",Black,"Hi-Speed USB, HDMI Micor Connector, Wi-Fi","+/- 2.0EV, 1/3EV step",32 Scene Modes,Yes,"JPEG, MP4","Auto, Manual Flash On / Off, Slow Synchro",Built-in,450.0,25.0,Yes,3200,100,6.9,3.8,16.0,5cm,1080p HD,specifications,18.0,Yes,more image angles,compatibility information,4608 x 3456,461000,3.0,1/2.3 inch,CMOS,1/2000 sec,15 sec,103.8 x 61.0 x 26.0 mm,further detail,incorrect,LCD,188.0,,Click here
Nikon Coolpix S32 Digital Camera - Yellow (VNA583E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"SD, SDHC, SDXC",Yellow,"Hi-Speed USB 2.0, HDMI",,,,JPEG,,Built in,90.0,30.0,Yes,1600,125,5.9,3.3,13.2,5cm,1080p Full HD,specifications,3.0,,more image angles,compatibility information,4160 x 3120,230000,2.7,1/3.1 inch,CMOS,1/2000 sec,1 sec,107.6 x 66.1 x 66.1 mm,further detail,incorrect,2.7 Inch TFT,175.0,1080p,Click here
Sony Cyber-shot H400 Digital Camera (DSCH400B.CEH) - Wex Photographic,image is incorrect,NP-BX1,related accessory,"55MB Internal, SD, SDHC, SDXC, Pro Duo",Black,"Multi (AV/USB), Hi-Speed USB (USB2.0)",+/- 2.0 EV (1/3 EV steps),,,JPEG,"Auto , Flash On , Slow Synchro , Flash Off , Advanced Flash",Built-in,277.0,4.4,,3200,80,6.5,3.4,20.1,,720p,specifications,63.0,,more image angles,compatibility information,5152 x 3864,460800,3.0,1/2.3 inch,CMOS,1/2000 sec,30 sec,129.6 x 95.0 x 122.3 mm,further detail,incorrect,,655.0,,Click here
Ricoh GR Digital Camera and Accessory Bundle - Wex Photographic,image is incorrect,DB-65,related accessory,"Internal memory (approx. 54 MB), SD/SDHC, SDXC memory card, Eye-Fi card",Black,"High-Speed USB, HDMI, Video output","4.0EV, 1/3EV step",8 Scene Modes,Yes,"JPEG, RAW, MPEG-4","Auto, Flash On, Slow Synchro, Manual, AUTO Red-Eye Flash, Flash On Red-Eye, Slow Synchro Red-Eye",Built-in,28.0,28.0,No,25600,100,16.0,2.8,16.2,10 cm,1080p,specifications,0.0,Yes,more image angles,compatibility information,4928 x 3264,1230000,3.0,,CMOS,1/4000 sec,30 sec,117 x 61 x 347 mm,further detail,incorrect,TFT LCD,245.0,,Click here
Canon PowerShot SX600 HS Digital Camera - Red (9342B012AA) - Wex Photographic,image is incorrect,NB-6LH,related accessory,"SD, SDHC, SDXC",Red,"Hi-Speed USB, HDMI Micor Connector, Wi-Fi","+/- 2.0EV, 1/3EV step",32 Scene Modes,Yes,"JPEG, MP4","Auto, Manual Flash On / Off, Slow Synchro",Built-in,450.0,25.0,Yes,3200,100,6.9,3.8,16.0,5cm,1080p HD,specifications,18.0,Yes,more image angles,compatibility information,4608 x 3456,461000,3.0,1/2.3 inch,CMOS,1/2000 sec,15 sec,103.8 x 61.0 x 26.0 mm,further detail,incorrect,LCD,188.0,,Click here
Sony Cyber-Shot QX100 Lens Style Digital Camera - Black (DSCQX100B.CE7) - Wex Photographic,image is incorrect,NP-BN,related accessory,"Memory Stick Micro, Memory Stick Micro (mark 2), microSD Memory Card, microSDHC Memory Card, microSDXC Memory Card",Black,"Multi/Micro USB Terminal, Hi-Speed USB,",,,Yes,"JPEG, MP4",,,100.0,28.0,,25600,160,4.9,1.8,20.2,5 cm,1080,specifications,3.6,No,more image angles,compatibility information,5472Ã3648,0,0.0,13.2 x 8.8 mm,CMOS,1/2000 sec,4 sec,62.5 x 62.5 x 55.5 mm,further detail,incorrect,,179.0,,Click here
Panasonic LUMIX DMC-LX100 Digital Camera - Silver (DMC-LX100EBS) - Wex Photographic,image is incorrect,,related accessory,"SD, SDHC, SDXC",Silver,"USB 2.0, microHDMI",+/- 3.0EV 1/3 Step,,Yes,,,Built-in,75.0,24.0,Yes,25600,100,2.8,1.7,12.8,3cm,4K,specifications,3.1,,more image angles,compatibility information,,0,3.0,17.3 x 13 mm,CMOS,1/16000 sec,60 sec,116 x 74 x 66 mm,further detail,incorrect,Electronic Viewfinder,553.0,,
Canon PowerShot SX700 HS Digital Camera - Black (9338B014AA) - Wex Photographic,image is incorrect,NB-6LH,related accessory,"SD, SDHC and SDXC",Black,"Hi-Speed USB, HDMI Mini Connector, Wi-Fi",,,,"JPEG, MP4",,Built-in,750.0,25.0,,3200,100,6.9,3.2,16.1,1cm,1080p,specifications,30.0,,more image angles,compatibility information,4608 x 3456,922000,3.0,1/2.3 inch,CMOS,1/3200 sec,15 sec,112.7 x 65.8 x 34.8 mm,further detail,incorrect,PureColor II G (TFT),269.0,,
Sony Cyber-Shot RX10 Digital Camera (DSCRX10.CEH) - Wex Photographic,image is incorrect,NP-FW50,related accessory,"SD, SDHC, SDXC, Memory Stick",Black,"USB 2.0, micro-HDMI, NFC",+/- 3.0EV,,Yes,"JPEG, RAW, MPEG-4, AVCHD",,,200.0,24.0,Yes,12800,125,2.8,2.8,20.2,,1080p,specifications,8.3,Yes,more image angles,compatibility information,5472 x 3648,1290000,3.0,13.2 x 8.8 mm,BSI-CMOS,1/3200 sec,30 sec,129 x 88 x 102 mm,further detail,incorrect,3.0 inch WhiteMagic LCD,813.0,,
Panasonic LUMIX DMC-LZ40 Digital Camera (DMC-LZ40EB) - Wex Photographic,image is incorrect,DMW-BCM13,related accessory,"SD, SDHC, SDXC",Black,"AV Output (PAL / NTSC), USB (AV/USB Multi)","1/3 EV step, +/-3 EV",28 Scene Modes,Yes,"JPEG, QuickTime Motion JPEG","Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off/0.6 - 10.8m (Wide / ISO Auto), 1.6 - 4.9m (Tele / ISO Auto)",Built-in,924.0,22.0,Yes,6400,100,6.5,3.0,20.0,1cm,720p,specifications,42.0,Yes,more image angles,compatibility information,5152 x 3864,460000,3.0,1/2.3 inch,CCD,1/1500 sec,60 sec,126.4 x 86.6 x 94.2 mm,further detail,incorrect,LCD,498.0,,Click here
Panasonic LUMIX DMC-TZ55 Digital Camera - Red (DMC-TZ55EB-R) - Wex Photographic,image is incorrect,DMW-BCM13,related accessory,"SD, SDHC, SDXC",Red,"microHDMI, AV Output (PAL / NTSC), USB (AV/USB Multi)","1/3 EV step, +/-2 EV",,Yes,"JPEG, MP4","Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off/0.6 - 6.0m (Wide / ISO Auto), 1.0 - 3.1m (Tele / ISO Auto)",Built-in,480.0,24.0,Yes,6400,100,6.4,3.3,16.0,3cm,1080p,specifications,20.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/2.33 inch,MOS,1/2000 sec,30 sec,106.8 x 62.2 x 32.4 mm,further detail,incorrect,LCD,224.0,,Click here
Canon PowerShot G16 Digital Camera - Black (8406B012AA) - Wex Photographic,image is incorrect,NB-10L,related accessory,"SD, SDHC, SDXC",Black,"Hi-Speed USB, HDMI Mini Connector, Wi-Fi",+/- 3.0EV,58 Scene Modes,Yes,"JPEG, RAW, RAW + JPEG, MP4, MPEG2 AAC-LC",,Built-in pop-up,140.0,28.0,Yes,12800,80,2.8,1.8,12.1,1cm,1080p,specifications,5.0,Yes,more image angles,compatibility information,4000 x 3000,922000,3.0,1/1.7 inch,CMOS,1/4000 sec,250 sec,108.8 x 75.9 x 40.3 mm,further detail,incorrect,PureColour II G LCD,356.0,,Click here
Fuji FinePix XP70 Digital Camera - Blue (P10NC12630A) - Wex Photographic,image is incorrect,Li-ion battery NP-45S,related accessory,"SD, SDHC, SDXC",Blue,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,13 Scene Modes,Yes,"JPEG, MOV","Auto, Forced Flash, Suppressed Flash, Slow Synchro",Built in,140.0,28.0,Yes,6400,100,4.9,3.9,16.4,9 cm,1080p Full HD,specifications,5.0,Yes,more image angles,compatibility information,4608 x 3456,460000,2.7,,CMOS,1/2000,4,104 x 67 x 26 mm,further detail,incorrect,,179.0,1080p,
Canon IXUS 265 HS Digital Camera - Black (9345B007AA) - Wex Photographic,image is incorrect,NB-11LH,related accessory,"SD, SDHC, SDXC",Black,"Hi-Speed USB, HDMI Micro Connector, Wi-Fi","+/- 2.0EV, 1/3EV step",32 Scene Modes,Yes,"JPEG, MP4","Auto, Manual Flash On / Off, Slow Synchro",Built-in,300.0,25.0,Yes,3200,100,7.0,3.6,16.0,1cm,1080p,specifications,12.0,Yes,more image angles,compatibility information,4608 x 3456,461000,3.0,1/2.3 inch,CMOS,,15 sec,99.7 x 57.6 x 22.4 mm,further detail,incorrect,LCD,147.0,,Click here
Sony Cyber-Shot RX100 II Digital Camera - Black (DSCRX100M2CDN.YG) - Wex Photographic,image is incorrect,NP-BX1,related accessory,"SD, SDHC, SDXC, Memory Stick Duo, Pro Duo, Pro-HG Duo",Black,"HDMI terminal, BRAVIA PhotoTV HD, âBRAVIA Linkâ, USB, Stereo microphone, mono speaker",,,,"RAW, JPEG","Auto, On, Off, Slow Sync",Built-in,100.0,28.0,,12800,160,4.9,1.8,20.2,,1080p,specifications,3.6,,more image angles,compatibility information,5472 x 3648,1229000,3.0,,CMOS,1/2000 sec,30 sec,101.6 x 58.1 x 35.9 mm,further detail,incorrect,Tiltable White Magic Display LCD Screen,254.0,,Click here
Fuji FinePix S1 Digital Camera (P10NC12730A) - Wex Photographic,image is incorrect,NP-85,related accessory,"SD, SDHC, SDXC",Black,"Hi-Speed USB (USB2.0), HDMI Mini Connector",Â±2.0EV 1/3EV step,"Programmed AE, Shutter Priority AE, Aperture Priority AE, Manual exposure, 12 Scene Modes",Yes,"JPEG, RAW, RAW+JPEG, MOV","Forced, Suppressed, Slow Synchro","Built-in (pop-up), Hot Shoe",1200.0,24.0,Yes,12800,100,5.6,2.8,16.4,5 cm,1080p,specifications,50.0,Yes,more image angles,compatibility information,4608 Ã 3456,920000,3.0,1/2.3 inch CCD,CMOS,1/2000 sec,30 sec,133 x 90.9 x 110.3 mm,further detail,incorrect,0.2 Inch Electronic Viewfinder,680.0,1080p,Click here
Samsung WB350F Digital Smart Camera - Black (EC-WB350FBPBGB) - Wex Photographic,image is incorrect,SLB-10A Lithium-Ion,related accessory,"microSD, microSDHC, microSDXC",Black,"Hi-Speed USB (USB2.0), Wi-Fi & NFC",Â±2.0EV 1/3EV step,20 Scene Modes,Yes,"JPEG, MP4",,Built-in,483.0,23.0,Yes,3200,80,5.9,2.8,16.3,10 cm,1080p,specifications,21.0,,more image angles,compatibility information,4608 x 3456,460000,3.0,1/1.23 Inch,CMOS,1/2000 sec,1/8 sec,114 x 65 x 25 mm,further detail,incorrect,3 Inch LCD,276.0,1080p,
Nikon Coolpix P600 Digital Camera - Black (VNA480E1) - Wex Photographic,image is incorrect,EN-EL23,related accessory,"SD, SDHC, SDXC",Black,"USB, Micro HDMI","+/- 2.0EV, 1/3EV step",29 Scene Modes,Yes,"JPEG, WAV, MOV",TTL auto flash with monitor preflashes,Built-in,1440.0,24.0,Yes,12800,100,6.5,3.3,16.1,1cm,1080p,specifications,60.0,Yes,more image angles,compatibility information,4608 x 3456,921000,3.0,1/2.3 inch,CMOS,1/4000 sec,15 sec,25.0 x 85.0 x 106.5 mm,further detail,incorrect,TFT LCD,565.0,1080p,Click here
Polaroid Z340 Instant Camera (Z340) - Wex Photographic,image is incorrect,,related accessory,"Internal memory, SD",Black,,,,,,,,0.0,0.0,,6400,100,0.0,0.0,14.0,,,specifications,0.0,,more image angles,compatibility information,,0,2.7,,,,,,further detail,incorrect,,,,Click here
Canon PowerShot SX510 HS Digital Camera - Black (8409B012AA) - Wex Photographic,image is incorrect,NB-6LH,related accessory,"SD, SDHC, SDXC",Black,"Hi-Speed USB, HDMI Mini Connector, Wi-Fi",+/- 2.0EV,21 Scene Modes,Yes,"JPEG, MOV",,Built-in pop-up,720.0,24.0,Yes,3200,80,5.8,3.4,12.1,0cm,1080p,specifications,30.0,Yes,more image angles,compatibility information,4000 x 3000,461000,3.0,1/2.3 inch,CMOS,1/1600 sec,15 sec,104.0 x 69.5 x 80.2 mm,further detail,incorrect,TFT LCD,349.0,,Click here
Sony Cyber-shot HX60 Digital Camera (DSCHX60CASDN.YG) - Wex Photographic,image is incorrect,NP-BX1,related accessory,"Memory Stick Duo, SD, SDHC, SDXC",Black,Multi/Micro USB Terminal;Hi-Speed USB (USB2.0);Micro HDMI;Multi Interface Shoe,,,,"JPEG, AVCHD","Flash Off , Autoflash , Fill-flash , Slow Sync. , Advanced Flash ,Rear Sync. , Wireless",Built-in,129.0,4.3,,12800,80,6.3,3.5,20.4,5cm,,specifications,30.0,,more image angles,compatibility information,5184 x 3456,9216000,3.0,1/2.3 inch,CMOS,1/1600 sec,30 sec,108.1 x 63.6 x 38.3 mm,further detail,incorrect,LCD Monitor,272.0,1080p,Click here
Panasonic LUMIX DMC-SZ8 Digital Camera - Black (DMC-SZ8EB) - Wex Photographic,image is incorrect,DWM-BCL7,related accessory,"SD, SDHC, SDXC",Black,"AV Output (PAL / NTSC), USB (AV/USB Multi)","1/3 EV step, +/-2 EV",30 Scene Modes,Yes,"JPEG, QuickTime Motion JPEG","Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off/0.6 - 5.2m (Wide / ISO Auto), 1.5 - 2.6m (Tele / ISO Auto)",Built-in,288.0,24.0,Yes,6400,100,6.3,3.1,16.0,,720p,specifications,12.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/2.33 inch,CCD,1/2000 sec,60 sec,99.8 x 60.4 x 26.5 mm,further detail,incorrect,LCD,144.0,,Click here
Panasonic LUMIX DMC-TZ55 Digital Camera - Black (DMC-TZ55EB-K) - Wex Photographic,image is incorrect,DMW-BCM13,related accessory,"SD, SDHC, SDXC",Black,"microHDMI, AV Output (PAL / NTSC), USB (AV/USB Multi)","1/3 EV step, +/-2 EV",,Yes,"JPEG, MP4","Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off/0.6 - 6.0m (Wide / ISO Auto), 1.0 - 3.1m (Tele / ISO Auto)",Built-in,480.0,24.0,Yes,6400,100,6.4,3.3,16.0,3cm,1080p,specifications,20.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/2.33 inch,MOS,1/2000 sec,30 sec,106.8 x 62.2 x 32.4 mm,further detail,incorrect,LCD,224.0,,Click here
