<page title>,ac power adapter,additional zoom,approx resolution,aspect ratio,battery,builtin flash,builtin memory,burst rate,camera type,canon pixma pro1 pro10 or pro100 printer,colour,connectivity,digital point and shoot camera,digital zoom,display screen type,effective pixels,exposure modes,external flash connection,file formats,flash modes,focus range,image stabilization,iso sensitivity,lens,memory card type,metering method,operatingstorage temperature,optical zoom,remote control,screen size,self timer,sensor typesize,shutter,viewfinder type,warranty,white balance modes,1 star,2 star,3 star,4 star,5 star,dustproof,shockproof,waterproofing,aperture,dimensions,exposure compensation,exposure control,flash,lcd monitor,shooting modes,shutter speed,weight,dimensions wxhxd,angle of view,aperture max min,audio recording,autofocus,camera mount type,diaphragm blades,dimensions dxl,file size,filter thread,focal length,format compatibility,groupselements,maximum closeup magnification,minimum focus distance,tripod collar,video recording,video resolution,maximum aperture
"SONY DSC-HX300B BLACK 20.4MP 50X 3"" CMOS DSCHX300B",ACUB10,None,20MP,"4:3, 16:9",NP-BX1,Yes,N/A,Up to 10 fps at 20.4 MP for up to 10 frames,Super Zoom,,Black,"AV Output, HDMI D, USB 2.0",,N/A,LCD Rear Screen Tilt,20.4MP,"Modes: Aperture Priority, Auto, Manual, Programmed Auto, Shutter Priority
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",None,JPEG,"Advanced Flash
Auto
Auto/Red-eye Reduction
Flash On
Off
Rear Curtain/Slow Sync
Red-eye Reduction
Slow Sync","Wide: 0.39"" (1 cm) - Infinity
Telephoto: 94.49"" (240 cm) - Infinity",Yes,80-12800,"15 elements in 10 groups
3 Aspheric, 2 ED
EFL: 4.3-215 mm (35 mm equivalent: 24-1200 mm)
Aperture: f/2.8 (W) - 6.3 (T)","Memory Stick Duo, Memory Stick Pro Duo, Memory Stick PRO HG-Duo, SD/SDHC","Center-weighted, Multi, Spot",N/A,50x,N/A,"3.0""","2 Sec, 10 Sec","1/2.3"" CMOS",30-1/4000 sec,"Optical, LCD Display",1 year warranty,"Auto, Cloudy, Daylight, Flash, Fluorescent (Day White), Fluorescent (Natural White), Fluorescent (White), Incandescent",(0),(0),(0),(0),(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONY DSCQX30 SMARTPHONE ATTACHABLE CAMERA DSCQX30,DC 5.0V (Not included),NA,20.4MP,"4:3, 16:9, 3:2, 1:1",NP-BN,No,No,NA,Small & Easy,.,Black,"Multi USB, Wi-Fi, NFC",.,2x,NA,20MP,"iAuto, Program Auto, Aperture Priority, Shutter Priority",NA,"Still Image: JPEG, Movie: MP4",NA,"W: 5cm (0.16 ft.) to Infinity, T: 200cm (6.56 ft.) to Infinity",Yes,80-12800,Sony G,"Memory Stick Micro, Memory Stick Micro Mark 2, microSD / microSDHC / microSDXC Memory Card",Multi Pattern,0 to +40 degrees C. (32 to 104 degrees F) / -20 to +60 degrees C (-4 to 140 degrees F),30x,via NFC,NA,"2 sec., 10 sec.","1/2.3"" Exmor R CMOS Sensor",30-1/1600 sec.,Segment LCD,,"Auto, Daylight, Cloudy, Fluorescent, Flash, Incandescent",,,,,,No,No,No,,,,,,,,,193g (6.8oz.),68.4 x 65.1 x 57.6mm (2 3/4 x 2 5/8 x 2 3/8 in.),,,,,,,,,,,,,,,,,,
"NIKON COOLPIX S32 BLUE 13MP 3X 2.7"" WATERPROOF 32191",EH-70P (Included); EH-62G (Sold Separately),None,13MP,NA,EN-EL12,Yes,25MB,4.7 fps,Waterproof,.,Blue,Micro USB; HDMI micro Connector (D),.,4x,LCD,13.2MP,Programmed auto,No,"JPEG, MOV",TTL Auto,"W: 30cm to infinity, T: 50cm to infinity, Macro: 5cm to infinity",Yes,125-1600,4.1-12.3mm (35mm equivalent: 30-90mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",-10 to 40C (14 to 104F),3x,No,"2.7""","10 sec., Smile","1/3.1"" CMOS",4 sec - 1/2000 sec,LCD,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, White Balance Preset",,,,,,No,Yes,Yes,,,,,,,,,175g (6.2 oz.),107.6 x 66.1 x 40.4mm (4.3 x 2.7 x 1.6 in.),,,,,,,,,,,,,,,,,,
LEICA X2 SILVER DIGITAL COMPACT CAMERA 18452,N/A,None,16MP,3:2,BP-DC8,Yes,110MB,"Up to 5 fps
Up to 3 fps",Advanced,.,Silver,"HDMI A, USB 2.0",.,None,LCD Rear Screen,16.1MP,"Modes: Aperture Priority, Manual, Program, Shutter Priority
Compensation: -3 EV to +3 EV (in .33 EV steps)",Hot Shoe,"DNG, JPEG","1st Curtain Sync
Auto
Auto/Red-eye Reduction
Fill-in
Red-eye Reduction
Second-curtain Sync
Slow Sync",Normal: 0.98' (30 cm) - Infinity,None,100-12500,"Leica Elmarit, 8 elements in 6 groups
1 Aspheric
EFL: 24 mm (35 mm equivalent: 35 mm)
Aperture: f/2.8 to f/16",SD/SDHC/SDXC,"Center-weighted, Multi, Spot",N/A,None,N/A,"2.7""",N/A,"23.6 x 15.8"" CMOS",30-1/2000 sec,LCD Display,2 year warranty,"Auto, Cloudy, Daylight, Flash, Halogen, Manual, Shade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG WB250F BLACK 14.2MP 18X 3"" CMOS EC-WB250FBPBCA",N/A,None,14MP,"1:1, 3:2, 4:3, 16:9",SLB-10A,Yes,25MB,N/A,Wi-Fi,.,Black,"AV Output, USB 2.0",.,N/A,LCD Rear Screen,14.2MP,"Modes: Aperture Priority, Manual, Programmed Auto, Shutter Priority
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",N/A,JPEG,"Auto
Auto/Red-eye Reduction
Fill-in
Off
Red-eye Reduction
Slow Sync","Wide: 31.50"" (80 cm) - Infinity
Telephoto: 137.80"" (350 cm) - Infinity
Wide Macro: 1.97"" (5.0 cm) - 31.50"" (80 cm)
Tele Macro: 70.87"" (180 cm) - 137.80"" (350 cm)
Macro: 1.97"" (5.0 cm) - Infinity
Macro: 70.87"" (180 cm) - Infinity
Manual: 1.97"" (5.0 cm) - Infinity
Manual: 70.87"" (180 cm) - Infinity",Yes,80-3200,"EFL: 4.0-72 mm (35 mm equivalent: 24-432 mm)
Aperture: f/3.2 (W) - 5.8 (T)",SD/SDHC/SDXC,"Center-weighted, Face Detection, Multi, Spot",N/A,18x,N/A,"3.0""",N/A,"1/2.33"" CMOS",16-1/2000 sec,LCD Display,1 year warranty,"Auto, Cloudy, Custom, Daylight, Fluorescent, Fluorescent H, Kelvin, Tungsten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FUJIFILM XP70 YEL 16.4MP 5X 2.7"" WIFI 600013368",AC-5VT,,16MP,"1:1, 3:2, 4:3, 16:9",NP-45S,Yes,99MB,Up to 10 fps,Waterproof,.,Yellow,"HDMI Micro D, USB 2.0, Micro USB",.,2x,LCD Rear Screen,16.4MP,Programmed AE,NA,"JPEG, MOV","Auto, Forced Flash, Suppressed Flash, Slow Synchro.; Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro.","Normal: Wide : approx. 60cm to infinity / 2.0 ft. to infinity, Telephoto : approx. 1.0m to infinity / 3.3. ft to infinity; Macro: Wide : approx. 9cm - 80cm / 3.5 in. - 2.6 ft., Telephoto : approx. 40cm - 80cm / 1.3 ft. - 2.6 ft.",,100-6400,13 elements in 11 groups (includes 4 aspherical elements),SD / SDHC / SDXC,TTL 256-zone metering,-10 to 40 degrees C (14 to 104 degrees F),5x,No,"2.7""","2 Sec, 10 Sec, Group","1/2.3"" CMOS",4-1/2000 sec,LCD Display,,"Auto, Fine, Shade, Fluorescent, Incandescent, Underwater",(0),(1),(0),(0),(0),Yes,1.5m (5 ft.),10m (33 ft.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SONY DSC-W800B BLACK 20.1MP 5X WIDE ANGLE 2.7"" DSCW800B",AC-UB10C,NA,20MP,"4:3, 16:9",NP-BN,Yes,No,1 fps,Small & Easy,,Black,"AV Output, USB 2.0",,10x,LCD Rear Screen,20.1MP,"iAuto, Program Auto",No,"JPEG, AVI","Auto, Flash On, Slow Synchro, Flash Off, Advanced Flash","W: 5cm (0.16 ft.) to Infinity, T: 60cm (1.96 ft.) to Infinity",Yes,100-3200,Sony,"Memory Stick Duo, Memory Stick Pro Duo, Memory Stick PRO HG-Duo, Memory Stick Micro, Memory Stick Micro (Mark2), Memory Stick XC-HG Duo, SD, SDHC, SDXC, microSD, microSDHC, microSDXC","Multi Pattern, Center Weighted, Spot",NA,5x,NA,"2.7""","Off, 2 Sec, 10 Sec, portrait1, portrait2","1/2.3"" Super HAD CCD",2 - 1/1500 sec.,LCD Display,,"Auto, Daylight, Cloudy,Fluorescent, Incandescent, Flash",,,,,,No,No,No,,,,,,,,,125g (4.7 oz.),50 x 22 x 54 mm (2 x 7/8 x 2 1/4 in.),,,,,,,,,,,,,,,,,,
SAMSUNG GALAXY 2 CAMERA WHITE SF2 EK-GC200ZWAXAC,NA,None,16MP,NA,NA,Yes,8 GB,NA,Wi-Fi,.,White,USB 2.0,.,NA,HD Super Clear LCD,16.3MP,+-2EV (1/3EV steps),NA,,"Auto, Auto & Red-eye reduction, Fill-in flash, Slow sync, Flash Off, Red-eye fix",10 cm to Infinity,Yes,ISO,f = 4.1 - 86.1 mm (35 mm film equivalent: 23 - 483 mm); 2.8 (W) - 5.9 (T),Micro SD/SDHC/SDXC,NA,NA,21x,NA,"4.8""",NA,"1/2.3"" CMOS",16-1/2000 s,LCD Display,,"Auto WB, Daylight, Cloudy, Fluorescent_H, Fluorescent_L, Tungsten, Custom Set, Colour Temperature",,,,,,No,No,No,,,,,,,,,285g,71.2 x 132.5 x 19.3 mm,,,,,,,,,,,,,,,,,,
LEICA D-LUX 6 COMPACT DIGITAL CAMERA 18461,N/A,None,10MP,"1:1, 3:2, 4:3, 16:9",Rechargeable Lithium Ion Battery Pack,Yes,70MB,"Up to 11 fps at 10 MP for up to 12 frames
Up to 5 fps at 10 MP for up to 100 frames
Up to 40 fps at 5 MP for up to 40 frames
Up to 60 fps at 2.5 MP for up to 60 frames",Advanced,.,Black,"AV Output, HDMI C, USB 2.0",.,4x,LCD Rear Screen,10.1MP,"Modes: Aperture Priority, Auto, Manual, Programmed Auto, Shutter Priority
Compensation: -3 EV to +3 EV (in 1/3 EV steps)",Hot Shoe,"JPEG, MPO, RAW","Auto
Auto/Red-eye Reduction
Forced On
Off
Slow Sync./Red-eye Reduction","Normal: 19.69"" (50 cm) - Infinity
Wide Macro: 0.39"" (1 cm) - Infinity
Tele Macro: 11.81"" (30 cm) - Infinity",N/A,80-12800,"11 elements in 10 groups
5 Aspheric
EFL: 4.7-17.7 mm (35 mm equivalent: 24-90 mm)
Aperture: f/1.4 (W) - 2.3 (T)",SD/SDHC/SDXC,"Center-weighted, Multi, Spot","0 to 40C (32 to 104F)
Humidity: 10-80%",3.8x,N/A,"3.0""","2 Sec, 10 Sec","1/1.7"" CMOS",250-1/4000 sec,LCD Display,2 year warranty,"Auto, Cloudy, Custom, Daylight, Flash, Incandescent, Manual, Shade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PANASONIC DMC-FZ200 BLACK 12MP 24X F2.8 3"" DMCFZ200K",110-240V AC,48x,12MP,"1:1, 3:2, 4:3, 16:9",Rechargeable Lithium Ion Battery Pack,Yes,70MB,"Up to 12 fps at 12.1 MP for up to 12 frames
Up to 5.5 fps at 12.1 MP for up to 12 frames
Up to 2 fps at 12.1 MP for up to 12 frames
Up to 60 fps at 2.5 MP
Up to 40 fps at 5 MP",Super Zoom,.,Black,"2.5mm Sub-mini, HDMI C, USB 2.0",.,N/A,LCD Rear Screen,12.1MP,"Modes: Aperture Priority, Manual, Programmed Auto, Shutter Priority
Compensation: -3 EV to +3 EV (in 1/3 EV steps)",Hot Shoe,"JPEG, MPO, RAW","Auto
Auto/Red-eye Reduction
Forced On
Off
Second-curtain Sync
Slow Sync
Slow Sync./Red-eye Reduction","Wide: 11.81"" (30 cm) - Infinity
Telephoto: 78.74"" (200 cm) - Infinity
Wide: 0.39"" (1 cm) - Infinity
Telephoto: 39.37"" (100 cm) - Infinity",Yes,100-6400,"Leica DC Vario-Elmarit, 14 elements in 11 groups
5 Aspheric, 3 ED
EFL: 4.5-108 mm (35 mm equivalent: 25-600 mm)
Aperture: f/2.8 (W) - 2.8 (T) to f/8.0",SD/SDHC/SDXC,"Center-weighted, Multi, Spot",N/A,24x,None,"3.0""","2 Sec, 10 Sec","1/2.3"" MOS",60-1/4000 sec,"Electronic, LCD Display",1 year warranty,"Auto, Cloudy, Daylight, Flash, Fluorescent (Natural White), Fluorescent (White), Incandescent, Shade",(0),(0),(0),(0),(4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEICA V-LUX 4 COMPACT DIGITAL CAMERA 18191,N/A,None,12MP,"1:1, 3:2, 4:3, 16:9",BP-DC12,Yes,70MB,"Up to 12 fps at 12 MP for up to 12 frames
Up to 5.5 fps at 12 MP for up to 100 frames
Up to 40 fps at 5 MP for up to 40 frames
Up to 60 fps at 2.5 MP for up to 60 frames",Advanced,.,Black,"AV Output, HDMI C, USB 2.0",.,4x,LCD Rear Screen Pivoting,12.1MP,"Modes: Aperture Priority, Manual, Programmed Auto, Shutter Priority
Compensation: -3 EV to +3 EV (in 1/3 EV steps)",N/A,"JPEG, MPO, RAW","Auto
Auto/Red-eye Reduction
Flash On
Off
Slow Sync","Wide: 0.98' (30 cm) - Infinity
Telephoto: 6.56' (2 m) - Infinity
Wide Macro: 0.39"" (1 cm) - Infinity
Tele Macro: 3.28' (1 m) - Infinity",Yes,100-6400,"Leica DC Vario-Elmarit, 14 elements in 11 groups
5 Aspheric
EFL: 4.5-108 mm (35 mm equivalent: 25-600 mm)
Aperture: f/2.8 (W) - 2.8 (T)",SD/SDHC/SDXC,"Center-weighted, Multi, Spot","0 to 40C (32 to 104F)
Humidity: 10-80%",24x,N/A,"3.0""","2 Sec, 10 Sec","1/2.3"" CMOS",60-1/4000 sec,"Electronic, LCD Display",2 year warranty,"Auto, Cloudy, Daylight, Incandescent, Manual, Shade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX S9700 RED 16MP 30X 3"" 32179",EH-71P (Included); EH-62F (Sold Separately),None,16MP,NA,EN-EL12,Yes,329MB,6.9 fps,Super Zoom,.,Red,"Micro USB; HDMI micro Connector (D), Wi-Fi",.,4x,OLED,16.0MP,"Programmed auto exposure, Aperture-priority auto, Manual, Shutter priority auto",No,JPEG; MOV,TTL Auto,"W: 50cm to infinity, T: 2m to infinity, Macro mode: 1cm",Yes,125-6400,4.5-135.0mm (35mm equivalent: 25-750mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",0 to 40C (32 to 104F),30x,via Wi-Fi,"3.0""","2 Sec, 10 Sec","1/2.3"" CMOS",8 sec - 1/4000 sec,OLED,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, White Balance Preset",,,,,,No,No,No,,,,,,,,,232 g (8.2 oz.),109.6 x 63.5 x 34.5 mm (4.3 x 2.5 x 1.4 in.),,,,,,,,,,,,,,,,,,
"NIKON COOLPIX P530 BLACK 16MP 42X WIDE ANGLE 3"" 32018",EH-70P (Included); EH-62A (Sold Separately),None,16MP,NA,EN-EL5,Yes,56MB,7 fps,Super Zoom,.,Black,"Micro USB; HDMI mini Connector (C), Wi-Fi Adapter WU-1a",.,4x,LCD,16.1MP,"Programmed auto exposure, Aperture-priority auto, Exposure bracketing, Manual, Shutter priority auto",No,"JPEG, MOV",TTL Auto,"W: 50cm to infinity, T: 2m to infinity, Macro mode: 1cm",Yes,100-12800,4.3-180mm (35mm: 24-1000mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",0 to 40C (32 to 104F),42x,via Wi-Fi Adapter WU-1a (Sold Separately),"3.0""","2 Sec, 10 Sec","1/2.3"" CMOS",15 sec - 1/4000 sec,LCD,,"Auto, Color Temperature, Cloudy, Daylight, Flash, Fluorescent, Incandescent, White Balance Preset",,,,,,No,No,No,,,,,,,,,494 g (17.5 oz.),122.8 x 84.1 x 98.2 mm (4.9 x 3.4 x 3.9 in.),,,,,,,,,,,,,,,,,,
LEICA X2 BLACK DIGITAL COMPACT CAMERA 18450,N/A,None,16MP,(3:2),BP-DC8,Yes,110MB,"Up to 5 fps
Up to 3 fps",Advanced,.,Black,"HDMI A, USB 2.0",.,None,LCD Rear Screen,16.1MP,"Aperture Priority, Manual, Program, Shutter Priority
Compensation: -3 EV to +3 EV (in .33 EV steps)",Hot Shoe,"DNG, JPEG","1st Curtain Sync, Auto, Auto/Red-eye Reduction, Fill-in, Red-eye Reduction, Second-curtain Sync, Slow Sync","Normal: 0.98"" (30 cm) - Infinity",Yes,100-12500,"Leica Elmarit, 8 elements in 6 groups
1 Aspheric
EFL: 24 mm (35 mm equivalent: 35 mm)
Aperture: f/2.8 to f/16",SD/SDHC/SDXC,"Center-weighted, Multi, Spot",N/A,None,N/A,"2.7""",N/A,"23.6 x 15.8"" CMOS",30-1/2000 sec,LCD Display,2 year warranty,"Auto, Cloudy, Daylight, Flash, Halogen, Manual, Shade",,,,,,N/A,Not stated by Manufacturer,Not stated by Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SONY DSC-RX1 24MP FULLFRAME CMOS 35MM 3"" DSCRX1",ACUD11,None,24MP,"3:2, 16:9",NP-BX1,Yes,N/A,Up to 5 fps at 24.3 MP,Advanced,.,Black,"1/8"" Microphone, HDMI D, Micro-USB, USB 2.0",.,N/A,LCD Rear Screen,24.3MP,"Modes: Aperture Priority, Manual, Programmed Auto, Shutter Priority
Compensation: -3 EV to +3 EV (in 1/3 EV steps)","Hot Shoe, Wireless","JPEG, RAW","Auto
Fill-in
Off
Second-curtain Sync
Slow Sync","Normal: 9.45"" (24 cm) - Infinity
Macro: 5.51"" (14 cm) - 11.42"" (29 cm)",Yes,50-25600,"8 elements in 7 groups
3 Aspheric
EFL: 35 mm
Aperture: f/2.0 (W) - 22 (T)","Memory Stick Duo, Memory Stick Pro Duo, Memory Stick PRO HG-Duo, SD/SDHC/SDXC","Center-weighted, Multi, Spot",N/A,2x,N/A,"3.0""","2 Sec, 10 Sec",35.8x23.9mm CMOS,30-1/4000 sec,LCD Display,1 year warranty,"Auto, Cloudy, Custom, Daylight, Flash, Fluorescent (Day White), Fluorescent (White), Incandescent, Shade",(0),(0),(0),(0),(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PANASONIC DMC-FZ1000 BLACK 20MP 16X 4K 3"" DMCFZ1000",110 - 240V AC,Intelligent Zoom: 32x,20 MP,"4:3, 3:2, 16:9, 1:1","Li-ion Battery Pack (7.2V, 1200mAh, 8.7 Wh)",Yes,No,Up to 12 fps Burst Shooting,Super Zoom,.,Black,"microHDMI, AV Output (PAL / NTSC), USB (AV/USB Multi)",.,4x,TFT Screen LCD Display,20.1 MP,"Program AE, Aperture Priority AE, Shutter Priority AE, Manual",Yes,"JPEG, RAW, AVCHD, MP4","Auto*, Auto/Red-eye Reduction*, Forced On, Forced On/Red-eye Reduction, Slow Sync., Slow Sync./Red-eye Reduction, Forced Off * For iA, iA+ mode only./Flash Synchro: 1st / 2nd Slow Sync./Synchronization for flash dimming and exposure compensation/0.3 - 13.5m (Wide / ISO Auto), 1.0 - 9.5m (Tele / ISO Auto)",Normal: Wide 30 cm - infinity / Tele 100 cm - infinity/AF Macro / MF / Intelligent Auto / Motion Picture: Wide 3 cm - infinity / Tele 100 cm - infinity,Yes,80-25600,LEICA DC VARIO-ELMARIT/15 elements in 11 groups/(5 Aspherical Lenses / 8 Aspherical Surfaces / 4 ED Lenses),SD/SDHC/SDXC,"Center -weighted, Intelligent Multiple, Spot",NA,16x,No,"3.0""","2 Sec, 10 Sec","1"" High Sensitivity MOS Sensor","60-1/16,000 sec",LCD Display,,"Auto, Daylight, Cloudy, Shade, Incandescent, Flash, White Set, Colour Temperature",(0),(0),(0),(0),(1),No,No,No,,,,,,,,,780 g (1.72 lb) without Battery and SD Memory Card,136.8 x 98.5 x 130.7 mm (5.39 x 3.88 x 5.15 inch),,,,,,,,,,,,,,,,,,
"SONY DSC-HX50VB BLACK 20MP 30X 3""CMOS WIFI DSCHX50VB",ACUB10,None,20MP,"4:3, 16:9",NP-BX1,Yes,N/A,Up to 10 fps at 20.4 MP for up to 10 frames,Wi-Fi,.,Black,"AV Output, HDMI D, USB 2.0",.,2x,LCD Rear Screen,20.4MP,"Modes: Aperture Priority, Auto, Manual, Programmed Auto, Shutter Priority
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",Hot Shoe,JPEG,"Advanced Flash
Auto
Flash On
Off
Rear Curtain/Slow Sync
Slow Sync","Wide: 1.97"" (5 cm) - Infinity
Telephoto: 78.74"" (200 cm) - Infinity",Yes,80-12800,"11 elements in 10 groups
5 Aspheric
EFL: 4.3-129 mm (35 mm equivalent: 24-720 mm)
Aperture: f/3.5 (W) - 6.3 (T)","Memory Stick Duo, Memory Stick Pro Duo, Memory Stick PRO HG-Duo, SD/SDHC/SDXC","Center-weighted, Multi, Spot",N/A,30x,N/A,"3.0""","2 Sec, 10 Sec","1/2.3"" CMOS",30-1/4000 sec,LCD Display,1 year warranty,"Auto, Cloudy, Daylight, Flash, Fluorescent (Day White), Fluorescent (Natural White), Fluorescent (White), Incandescent",(0),(0),(0),(0),(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OLYMPUS TG-850IHS BLACK 16MP 5X 3"" CMOS V104150BU000",NA,2x Super Resolution Zoom,16MP,NA,LI-50B,Yes,37MB,Up to 7 fps,Waterproof,.,Black,"USB Connector, DC Jack, AV Output, HDMI Type D",.,4x,LCD Rear Screen,16.0MP,"Intelligent Auto, Program Auto, Super Macro, Scene Modes (18), Art Filters (11), Panorama, Hand-Held Starlight, e-Portrait",No,Still: JPEG; Video: MOV/H.264,"Auto, Red Eye Reduction, Fill-in, Off, LED",NA,Yes,125-6400,3.74 - 18.7mm (35mm equivalent: 21 - 105mm),"SD, SDHC, SDXC",NA,NA,5x,NA,"3.0""","2 sec, 12 sec, Custom","1/2.3"" BSI CMOS",4-1/2000 sec,LCD Display,,NA,,,,,,Yes,2.1 m (7 ft .),10 m (33 ft.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX P340 BLACK 12MP 5X 3"" 32019",EH-71P (Included); EH-62F (Sold Separately),None,12MP,NA,EN-EL12,Yes,56MB,10 fps,Wi-Fi,.,Black,"Micro USB; HDMI micro Connector (D), Wi-Fi",.,4x,LCD,12.2MP,"Programmed auto exposure, Aperture-priority auto, Exposure bracketing, Manual, Shutter priority auto",No,"JPEG, RAW, MOV",TTL Auto,"W: 30cm to infinity, T: 50cm to infinity, Macro mode: 2cm to infinity",Yes,80-25600,5.1-25.5mm (35mm equivalent: 24-120mm),SD/SDHC/SDXC,"Center-weighted, Matrix, Spot",0 to 40C (32 to 104F),5x,via Wi-Fi,"3.0""","2 Sec, 10 Sec","1/1.7"" CMOS",60 sec - 1/4000 sec,LCD,,"Auto, Color Temperature, Cloudy, Daylight, Flash, Fluorescent, Incandescent, White Balance Preset",,,,,,No,No,No,,,,,,,,,194g (6.9 oz.),103.0 x 58.3 x 32.0mm (4.1 x 2.3 x 1.3 in.),,,,,,,,,,,,,,,,,,
"SONY DSCHX400VB BLACK 20.4MP 50X WIDE ANGLE 3"" DSCHX400VB",AC-UB10C / UB10D,None,20MP,"1:1, 3:2, 4:3, 16:9",NP-BX1,Yes,No,10fps,Super Zoom,.,Black,"AV Output, Micro HDMI, USB 2.0, Wi-Fi, NFC",.,2x,LCD Rear Screen,20.4MP,"iAuto, Program Auto, Aperture Priority, Shutter Priority, Manual",Yes,JPEG,"Flash Off, Autoflash. Fill-flash, Slow Sync., Advanced Flash, Rear Sync., Wireless (with optional flash)","W: 1cm (0.03 ft.) to Infinity, T: 240cm (7.87 ft.) to Infinity",Yes,80-12800,NA,"Memory Stick Pro Duo, Memory Stick PRO HG-Duo, SD/SDHC/SDXC","Centre-weighted, Multi Pattern, Spot",NA,50x,Yes,"3.0""","Off, 2 Sec, 10 Sec, portrait1, portrait2","1/2.3"" CMOS",30-1/4000 sec,Optical,,"Auto, Daylight, Cloudy, Incandescent, Fluorescent, Flash, C.Temp, Fliter, Custom",,,,,,No,No,No,,,,,,,,,633g (1 lb 6.3oz),"129.6 x 93.2 x 103.2mm (5 1/8 x 3 3/4 x 4 1/8"")",,,,,,,,,,,,,,,,,,
SONY DSC-QX10 BLACK 18MP SMARTPHONE CAMERA DSCQX10,DC 5.0V,N/A,18.9MP,"4:3, 16:9",NP-BN,N/A,N/A,N/A,Small & Easy,.,Black,"Multi/Micro USB, Hi-Speed USB 2.0",.,N/A,N/A,18MP,"Superior Auto, Intelligent Auto, Program Auto, Movie Mode; Compensation: +/- 2.0 EV, 1/3 EV steps",N/A,"Still Image: JPEG, Movie: MP4",N/A,5cm (0.16') to Infinity,Yes,100-12800,Sony G,"Memory Stick Micro, microSD Memory Card, microSDHC Memory Card",Multi Pattern,0-40C / 32-104 F,10x (Movie),N/A,N/A,"2 sec., 10 sec.","1/2.3"" CMOS",4 - 1/1600 sec.,N/A,,"Auto, Daylight, Shade, Cloudy, Fluorescent, Incandescent",,,,,,No,No,No,,,,,,,,,165g (5.8oz),62.4 x 61.8 x 30.0mm (2 1/2 x 2 1/2 x 1 3/16 in.),,,,,,,,,,,,,,,,,,
"PANASONIC DMC-FZ70 16MP CMOS 60X WIDE ANGLE 3"" DMCFZ70K",110 - 240V AC (Optional),"Extra Optical Zoom (EZ): 75.8x (4:3 / 10M), 108x (4:3 / 5M), 135x (4:3 / under 3M) Intelligent Zoom: 120x",16MP,"4:3, 3:2, 16:9, 1:1","Li-ion Battery Pack (7.2V, 895 mAh, 6.5 Wh) (Included)",Yes,200 MB,Up to 9 fps at 16 MP for up to 3 framesUp to 5 fps at 16 MPUp to 2 fps at 16 MPUp to 10 fps at 3 MP,Super Zoom,.,Black,"mini HDMI, AV Output, USB (AV / USB Multi)",.,Max. 5x,TFT Screen LCD Display,16.1MP,"Program AE, Aperture Priority AE, Shutter Priority AE, Manual",None,"JPEG, RAW, DPOF, MPO, AVCHD, MP4","Auto, Auto / Red-eye Reduction, Forced On, Slow Sync. / Red-eye Reduction, Forced OffFlash Synchro: 1st / 2nd Slow Sync.",Normal: Wide 30 cm - infinity / Tele 150 cm - infinity; AF Macro / MF / Intelligent Auto / Motion Picture: Wide 1 cm - infinity / Tele 150 cm - infinity,Yes,100-6400,LUMIX DC VARIO 14 elements in 12 groups(6 Aspherical Lenses / 9 Aspherical Surfaces / 3 ED Lenses),SD/SDHC/SDXC,"Center -weighted, Intelligent Multiple, Spot",0 to 40 degrees C (32 to 104 degrees F),60x,N/A,"3.0""","2 Sec, 10 Sec","1/2.3"" High Sensitivity MOS Sensor","Still: 60 - 1/2,000 sec; Video: 1/8 - 1/20,000",LCD Display,1 year warranty,"Auto, Daylight, Cloudy, Shade, Incandescent, Flash, White Set 1, White Set 2, Colour Temperature",,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
