<page title>,additional features,brand,connectivity system req,dimension,display,flash,general features,images video,lens,media software,optical sensor resolution in megapixel,other features,other sellers,pixels,power source,see full specifications,sensor,sensor type,shopping experience,shutter speed,site usability,zoom,aperture range,audio video interface ntscpal,bangalore,bluetooth,color,continuous shots,digital zoom,external memory,face detection,gps,hdmi,image format,image stabilizer,iso rating,metering,optical sensor resolution in megapixel,optical zoom,red eye reduction,screen size,self timer,shooting modes,usb,video display resolution,video format,auto focus,built in flash,display type,flash modes,flash range,focal length,image display resolution,lens type,maximum shutter speed,memory card type,microphone,minimum shutter speed,sensor size,sensor type,white balancing,color filter,gadgetsguru,macro mode exposure mode,supplied battery,sync terminal,announced,brand,dimensions,status,viewfinder,weight,ac adaptor,dust reduction,other resolution,other zoom type,amazon,manual focus,audio formats,delete function,exposure compensation,inbuilt memory,supported aspect ratio,supported languages,upgradeable memory,usb charge,additional display features,flipkart,external flash,infibeam,pictbridge,picture angle,kaunsa,ebay,snapdeal,indiatimes,shopclues,wifi,maniacstore,seventymm,bitfang,naaptol
"Nikon Coolpix S1100PJ Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Nikon,"USB
USB 2.0 Hi-Speed
HDMI
No
Bluetooth
No
GPS
No","Dimensions
3.97 x 2.47 x 0.95 Inches
Weight
155 gms","Display Type
TFT LCD Touchscreen
Screen Size
3 Inches
Image Display Resolution
460000 dots
Video Display Resolution
1280 x 720 pixels (HD) @ 30 fps","Flash Modes
Auto, Fill-in, Slow Sync Flash
Flash Range
Wide : 0.3 - 3.5m, Telephoto : 0.5 - 2.5m
Built in Flash
Yes","Brand
Nikon
Status
Available","Image Format
JPEG
Audio Formats
AAC, WAV
Video Format
MOV, WAV","Lens Type
Nikkor ED Lens
Auto Focus
Contrast Detection AF
Focal Length
5 - 25 mm","Upgradeable Memory
Yes
Inbuilt Memory
79 MB
Memory Card Type
SD, SDHC, SDXC",14.1 MP,"ISO Rating
Auto (Auto Gain ISO 80-800), Fixed Range Auto (ISO 80-200 / ISO 80-400), Manual Selection (ISO 80 / 100 / 200 / 400 / 800 / 1600 / 3200)
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Auto, Movie, Scene Auto Selelctor, Scene, Smart Portrait, Subject Tracking
Metering
Spot
Red Eye Reduction
Yes
Continuous Shots
Up to 4 Shots at 0.9 fps
White Balancing
Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Manual
Supported Languages
24 Languages
PictBridge
Yes
Additional Features
Monitor Frame Coverage, PictBridge, Projector",,"Optical Sensor Resolution (in MegaPixel)
14.1 MP","Supplied Battery
Li-ion Battery",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.3 Inches",CCD Sensor,,"Maximum Shutter Speed
1/1500 sec
Minimum Shutter Speed
4 sec",,"Optical Zoom
5x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony A7R Price in India with Offers & Full Specifications | PriceDekho.com,"External Memory
Yes",Sony,"USB
USB 2.0 Hi-Speed
HDMI
Yes","Weight
407 gms","Screen Size
3 Inches
Video Display Resolution
1920 x 1080 pixels (Full HD) @ 30 fps","Built in Flash
Yes","Brand
Sony",,,,36.8 MP,"Face Detection
Yes
Metering
Multi",,"Optical Sensor Resolution (in MegaPixel)
36.8 MP","Supplied Battery
Li-ion Battery",»,"Sensor Type
CMOS Sensor",CMOS Sensor,,,,"Optical Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot A2300 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Canon,"USB
USB Hi-Speed
HDMI
No
Bluetooth
No
GPS
No","Dimensions
108.7 x 62.3 x 30.6 mm
Weight
109 gms","Display Type
TFT
Screen Size
2.7 Inches
Image Display Resolution
230000 dots
Video Display Resolution
1280 x 720 pixels (HD) @ 25 fps
Supported Aspect Ratio
04:03
Additional Display Features
Wide Viewing Angle","Flash Modes
Auto, Slow Sync Flash
Flash Range
Wide : 0.5 - 3.0m, Telephoto : 1.0 - 2.0m
Built in Flash
Yes
External Flash
Yes","Brand
Canon
Status
Available","Image Format
JPEG (EXIF 2.3, DCF, DPOF 1.1)
Video Format
H.264, MOV","Focal Length
5 - 25 mm (35 mm Equivalent to 28 - 140 mm)
Color Filter
Primary (RGB) Color Filter
Manual Focus
Yes","Upgradeable Memory
Yes
Memory Card Type
SD, SDHC, SDXC",16 MP,"ISO Rating
Auto / 100 / 200 / 400 / 800 / 1600
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Auto, Digital Is, Discreet, Face Self-Timer, Fireworks, Fish-Eye Effect, Iframe Movie, Live View Control, Long Shutter, Low Light, Miniature Effect, Monochrome, Portrait, Poster Effect, Program, Snow, Super Vivid, Toy Camera Effect
Image Stabilizer
Yes
Metering
Center-Weighted Average, Evaluative, Spot
Macro Mode (Exposure Mode)
3 - 60 cm
Red Eye Reduction
Yes
Picture Angle
28 mm Wide Angle
Continuous Shots
Up to 0.8 fps (Program Mode), 2.8 fps (Low Light Mode)
White Balancing
Auto, Cloudy, Custom, Day Light, Fluorescent, Fluorescent-H, Tungsten
Microphone
Monaural Microphone
PictBridge
Yes
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
1 - 1/2000 sec Shutter Speed, 1 Double sided Aspherical UA Lens), 1 hr 40 mins Continuous Shooting Movie Recording, 1/2000 sec Slow Sync Speed, 100 % LCD Frame Coverage, 2 EV in increments of 1/3 EV Exposure Compensation, 210 Number of Shots, 2x - 10x Playback Zoom, 5 Levels Brightness Adjustment, 50 mins Actual Usage Movie Recording Time, AE Lock, AF Assist Beam, AF Frame: Face AiAF, AF Lock, Analog Audio Output (Monaural), Autofocus Control System: Continuous, Canon High Power Flash HF-DC2, Center, Circular Aperture Type, DIGIC 4 Imaging Processor, External Flash: Canon High Power Flash HF-DC1, Histogram, Humidity: 10 - 90%, Lens Construction: 6 Elements in 5 Groups (1 Double-sided Aspherical Lens, Movie Miniature Effect: 640 x 480, Operating Temperature: 0 - 40C, Red-Eye Correction, Servo AF, Tracking AF",(7 ),"Optical Sensor Resolution (in MegaPixel)
16 MP","Supplied Battery
Rechargeable Li-ion Battery
AC Adaptor
Power Adaptor CA-DC 10 (Included with AC Adaptor Kit ACK-DC90)",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.3 Inches",CCD Sensor,(4.2 ) (3.6 ) (0 ) (2 ) (3.2 ) (2.2 ) (5 ),"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
15 sec",(5 ) (4.8 ) (3.4 ) (0 ) (3 ) (3.4 ) (3 ),"Optical Zoom
5x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Cyber-shot DSC-W710 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black
External Memory
Yes",Sony,"USB
USB Hi-Speed
HDMI
No
GPS
No","Dimensions
3.82 x 2.17 x 0.79 Inches
Weight
114 gms","Display Type
Clear Photo TFT LCD
Screen Size
2.7 Inches
Image Display Resolution
230400 dots
Video Display Resolution
1920 x 1080 pixels (Full HD)
Supported Aspect Ratio
16:9, 4:3","Flash Modes
Auto, Long, Slow Sync Flash
Flash Range
Wide : 0.5 - 2.7m, Telephoto : 0.5 - 1.2m
Built in Flash
Yes","Brand
Sony","Image Format
JPEG (DCF, DPOF)
Video Format
AVI Motion JPEG","Lens Type
Sony Lens
Auto Focus
Center Weighted AF
Focal Length
5 - 25 mm (35 mm Equivalent to 28 - 140 mm)
Color Filter
Primary (RGB) Color Filter","Inbuilt Memory
20 MB
Memory Card Type
SD, SDHC, Stick Duo, Stick PRO Duo, Stick PRO Duo (High Speed), Stick PRO HG Duo, Stick micro, Stick micro (Mark 2), microSD, microSDHC",16.1 MP,"ISO Rating
Auto / 100 / 200 / 400 / 800 / 1600 / 3200
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Easy Shooting, Intelligent Auto, Movie, Panorama, Picture Effect, Program Auto, Scene Election
Delete Function
Yes
Metering
Center-Weighted, Multi, Spot
Exposure Compensation
2.0 EV in increments of 1/3 EV
Macro Mode (Exposure Mode)
10 cm (W), 100 cm (T)
Red Eye Reduction
Yes
Continuous Shots
Up to 100 Shots at 1 fps
White Balancing
Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent
Supported Languages
19 Languages
Aperture Range
f/3.2 (W) - f/6.5 (T)
Microphone
Monaural Microphone
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
16.4 MP Gross Pixels, 5 Steps LCD Brightness Setting, 8 Faces Detection, Auto Focus Illuminator Auto / Off, Auto Macro, Beach, Center-Weighted AF, Exposure Compensation: 2.0 EV in increment of 1/3 EV, Flash Range: ISO 3200: 5.5 m (W) / 2.5 m (T), Flexible Spot AF (Face Tracking Focus), Flexible Spot AF (Tracking Focus), Focus Mode (Multi-Point AF, Focus Range (Program Auto): 10 cm (W) - 100 cm (T), Gourmet, Grid Line, Landscape, Movie 16:9: 35 mm Equivalent Focal Length 30.5 - 152.5 mm Conversion, Movie 4:3: 35 mm Equivalent Focal Length 28 - 140 mm Conversion, Night, Night Portrait, Partial Color, Pet, Picture Effect (Toy Camera, Pop Color, Retouch Red-eye Correction, Retouch Trimming, Retouch Unsharp Masking, Scene Selection (High Sensitivity, Smile Shutter, Snow, Soft High-key), Soft Skin), Soft Snap, Still Image 16:9: 35 mm Equivalent Focal Length 30 - 150 mm Conversion",(5 ),"Optical Sensor Resolution (in MegaPixel)
16.1 MP","Supplied Battery
DC Output 5v Battery
AC Adaptor
AC Adaptor (Input : 100 - 240v AC), 50-60Hz",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.3 Inches",CCD Sensor,(4.2 ) (3.2 ) (5 ) (3.6 ) (4.6 ),"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
2 sec",(4.8 ) (4.6 ) (3.2 ) (5 ) (3.4 ),"Optical Zoom
5x
Digital Zoom
Still Image: 20x / 10M, 6.3x / 5M, 8.8x / VGA, 36x / 2M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony SLT A99V DSLR (Body Only) Price in India with Offers & Full Specifications | PriceDekho.com,"Color
Black
External Memory
Yes",Sony,"USB
USB 2.0
HDMI
Yes
GPS","Weight
733 gms","Screen Size
3 Inches
Video Display Resolution
1920 x 1080 pixels (Full HD) @ 30 fps
ViewFinder
Electronic View Finder Color, Xtra Fine",Built in Flash,"Brand
Sony","Image Format
JPEG (DCF 2.0, EXIF 2.3, MPF Baseline Compliant, RAW (Sony ARW 2.3))",,,24.3 MP,"Image Stabilizer
Sensor Shift Type
Metering
1200 Zone Evaluative",,"Optical Sensor Resolution (in MegaPixel)
24.3 MP","Supplied Battery
NP-FM500H Battery",»,"Sensor Type
CMOS Sensor",CMOS Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon D610 DSLR Body Black Price in India with Offers & Full Specifications | PriceDekho.com,"External Memory
Yes
Color
Black",Nikon,"USB
USB Hi-Speed
HDMI
Yes; HDMI Mini Connector (Type C)","Dimensions
5.55 x 4.45 x 3.23 Inches
Weight
760 gms (Body Only), 850 gms (with Battery & Memory Card)","Display Type
TFT LCD
Screen Size
3.2 Inches
Image Display Resolution
921000 dots
ViewFinder
Eye-level Pentaprism Single-lens Reflex View Finder","Flash Modes
Auto, Auto with Red-eye Reduction, Forced On, Slow Sync with Red-eye Reduction, Forced Off
Built in Flash
Yes
External Flash
Yes","Brand
Nikon
Announced
2013, October
Status
Available","Image Format
JPEG (DCF 2.0, EXIF 2.3, DPOF)
Audio Formats
Linear PCM
Video Format
AVC, H.264, MOV, MPEG-4","Lens Type
Nikkor Lens
Auto Focus
TTL Phase Detection
Manual Focus
Yes","Upgradeable Memory
Yes
Memory Card Type
SD, SDHC, SDXC",24.3 MP,"ISO Rating
ISO 100-6400
Self Timer
2, 5, 10 & 20 sec
Shooting Modes
Auto, Child, Close-Up, Manual, Night Portrait, Party, Indoor, Pet Portrait: Auto Flash With Auto Pop-Up, Portrait, Shutter Priority
Metering
3D Color Matrix II, Color Matrix II, Spot
Exposure Compensation
-5 - +5 EV in Increments of 1/3 or 1/2 EV in P, S, A, & M Modes
Red Eye Reduction
Yes
Continuous Shots
Up to 1 - 5 fps (Continuous Low-Speed), 6 fps (Continuous High-Speed) or 3 fps (Quiet Continuous Shutter-Release)
White Balancing
Auto, Cloudy, Color Temperature, Direct Sunlight, Flash, Fluorescent, Incandescent, Manual, Shade
Supported Languages
26 Languages
Microphone
Built-In Microphone
Sync Terminal
Yes
PictBridge
Yes
Dust Reduction
Image Sensor Cleaning, Image Dust Off Reference Data",(5 ),"Optical Sensor Resolution (in MegaPixel)
24.3 MP","Supplied Battery
Li-ion Battery (EN-EL15)
AC Adaptor
AC Adaptor EH-5B",»,"Sensor Type
CMOS Sensor
Sensor Size
35.9 x 24.0 mm",CMOS Sensor,(3.2 ) (2.2 ) (3.2 ) (2 ) (4.6 ),"Maximum Shutter Speed
1/4000 sec
Minimum Shutter Speed
30 sec",(3.2 ) (3 ) (3.4 ) (3 ) (4.6 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung NX mini Smart Camera With 9-27 mm Lens White Price in India with Offers & Full Specifications | PriceDekho.com,"Color
Black",Samsung,"USB
USB 1.1","Weight
195 gms","Display Type
TFT LCD
Screen Size
3 Inches
Video Display Resolution
1920 x 1080 pixels (Full HD) @ 30 fps",,"Brand
Samsung
Announced
2014, August
Status
Available",,,,20.5 MP,,,"Optical Sensor Resolution (in MegaPixel)
20.5 MP",,»,"Sensor Type
BSI CMOS Sensor",BSI CMOS Sensor,,"Maximum Shutter Speed
30 sec
Minimum Shutter Speed
30 sec",,"Optical Zoom
3x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic Lumix DMC-LZ20 Point & Shoot Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,Panasonic,"Bluetooth
No","Weight
390 gms","Display Type
TFT LCD
Screen Size
3 Inches
Image Display Resolution
460000 dots
Video Display Resolution
1280 x 720 pixels (HD) @ 30 fps","Flash Modes
Auto, Forced, Slow Sync Flash
Flash Range
(ISO Auto) : Wide : 0.6 - 6.8m, Telephoto : 0.6 - 3.6m
Built in Flash
Yes","Brand
Panasonic","Image Format
JPEG
Video Format
Quick Time Motion JPEG","Auto Focus
Contrast Detection AF
Focal Length
4.5 - 94.5 mm (35 mm Equivalent to 25 - 525 mm)
Color Filter
Primary (RGB) Color Filter","Memory Card Type
SD, SDHC, SDXC",16.1 MP,"ISO Rating
Auto / 100 / 200 / 400 / 800 / 1600, High Sensitivity Mode (ISO 1600-6400)
Self Timer
2 sec, 10 sec
Shooting Modes
Intelligent Auto, Manual, Motion Picture, Portrait, Program, Scenery, SCN, Sports
Macro Mode (Exposure Mode)
2 cm
Red Eye Reduction
Yes
Picture Angle
25 mm Ultra Wide Angle
Continuous Shots
Up to 1.2 fps (Full Resolution Image)
White Balancing
Auto, Cloudy, Daylight, Incandescent, Shade, White Set
Supported Languages
16 Languages
Aperture Range
f/3.1 (W) - f/5.8 (T)
Microphone
Monaural Microphone
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
16.4 Total MP, 3 Aspherical Lenses, 320 x 240 at fps), 37.8x (4:3 / 5 M), 48.5x (4:3 / Under 3 M), 5 Aspherical Surfaces, AF Macro, AF Macro / Intelligent Auto / Motion Picture: 2 cm - 60 cm, AF Metering (Face / AF Tracking / 1 Area / 9 Area / Spot), AF Tracking), Aperture: 2 Step (F3.1 / F8.9 (W) / F5.8 / F16.7 (T)), Auto (AE) Bracketing: 3 EV in increments of 1/3 - 3 EV (3 Frames), Baby (Birthday Only), Color Mode / Color Effect, Continuous AF (Only for Motion Picture), Exposure (Program, Exposure Compensation: 3 EV in increments of 1/3 EV, Extra Optical Zoom (EZ): 26.5x (4:3 / 10 M), Focus (Normal, Food, High Sensitivity), Image Quality (Fine, Lens Construction: 12 Elements in 9 Groups, Macro Zoom, Manual), Min Focusing Area: 30 cm (W) - 200 cm (T), Motion Picture Recording (640 x 480 at 30 fps, Night Portrait, Night Scenery, On and Off AF Assist Lamp, Standard), Still Image Scene Mode (Panorama Shot, Sunset, Video Recording Focal Length: 28 - 567 mm (35 mm Equivalent)",(11 ),"Optical Sensor Resolution (in MegaPixel)
16.1 MP","Supplied Battery
AA Battery",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.33 Inches",CCD Sensor,(0 ) (0 ) (5 ) (4.2 ) (3.2 ) (3.2 ) (3.4 ) (4.6 ) (0 ) (0 ) (0 ),"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
15 sec",(4.6 ) (0 ) (0 ) (0 ) (5 ) (4.8 ) (3.2 ) (0 ) (3.4 ) (3.2 ) (0 ),"Optical Zoom
21x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Alpha A7 Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black
External Memory
Yes",Sony,"HDMI
Yes","Weight
474 gms","Screen Size
3 Inches","Built in Flash
Yes","Brand
Sony",,,,24.3 MP,"Face Detection
Yes
Metering
Multi",,"Optical Sensor Resolution (in MegaPixel)
24.3 MP",,»,"Sensor Type
CMOS Sensor",CMOS Sensor,,,,"Optical Zoom
2x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic Lumix DMC FZ47 Price in India with Offers & Full Specifications | PriceDekho.com,,Panasonic,"USB
Yes
HDMI
Yes; HDMI Mini Connector
Bluetooth
No","Weight
498 gms","Screen Size
3 Inches
Image Display Resolution
460000 dots
Video Display Resolution
1920 x 1080 pixels (Full HD)","Flash Modes
Auto, Forced, Slow Sync, Sync Flash
Flash Range
(ISO Auto) : Wide : 0.3 - 9.5m, Telephoto : 1.0 - 5.1m
Built in Flash
Yes","Brand
Panasonic","Image Format
JPEG (DCF, EXIF 2.3, MPO)
Video Format
AVCHD, MP4","Lens Type
Leica DC Vario-Elmarit
Auto Focus
Sonic Speed AF
Focal Length
4.5 - 108 mm (35 mm Equivalent to 25 - 600 mm)
Color Filter
Primary (RGB) Color Filter
Manual Focus
Yes","Upgradeable Memory
Yes",12.1 MP,"ISO Rating
Auto / 100 / 200 / 400 / 800 / 1600, High Sensitivity Mode (ISO 1600-6400)
Self Timer
2 sec, 10 sec
Face Detection
Yes
Image Stabilizer
Optical (Power O.I.S.)
Metering
Center-Weighted, Intelligent Multiple, Spot
Macro Mode (Exposure Mode)
Yes
Red Eye Reduction
Yes
Picture Angle
25 mm Ultra Wide Angle
Continuous Shots
Up to 3.7 fps
White Balancing
Auto, Cloudy, Color Temperature, Daylight, Flash, Incandescent, Shade, White Set-1, White Set-2
Microphone
Stereo Microphone
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)",(9 ),"Optical Sensor Resolution (in MegaPixel)
12.1 MP","Supplied Battery
Li-ion Battery",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.33 Inches",CCD Sensor,(4.2 ) (3.2 ) (0 ) (2 ) (3 ) (2.2 ) (5 ) (4.6 ) (0 ),"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
60 sec",(0 ) (4.8 ) (3.4 ) (3 ) (3 ) (3 ) (5 ) (4.2 ) (0 ),"Optical Zoom
24x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix S6400 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,Nikon,"USB
USB Hi-Speed
HDMI
Yes; HDMI Mini Connector (Type C)
Bluetooth
No","Weight
150 gms","Display Type
TFT LCD Touchscreen
Screen Size
3 Inches
Image Display Resolution
460000 dots
Video Display Resolution
1920 x 1080 pixels (Full HD)
Additional Display Features
Anti-reflection Coating","Flash Modes
Auto, Fill-in, Slow Sync Flash
Flash Range
Wide : 0.5 - 6.2m, Telephoto : 1.2 - 2.9m
Built in Flash
Yes","Brand
Nikon
Status
Available","Image Format
JPEG (MPO, EXIF 2.3, DPOF, DFC, MPF)
Audio Formats
AAC, WAV
Video Format
AVC, H.264, MOV, MPEG-4","Lens Type
Nikkor Lens
Auto Focus
Contrast Detection AF
Focal Length
4.5 - 54 mm (35 mm Equipment to 25 - 300 mm)
Manual Focus
Yes","Upgradeable Memory
Yes
Memory Card Type
SD, SDHC, SDXC",16 MP,"ISO Rating
Auto / ISO (125-1600) / ISO 3200
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Auto, Smart Portrait, Special Effects
Metering
256-Segment Matrix, Center-Weighted, Spot
Macro Mode (Exposure Mode)
10 cm
Red Eye Reduction
Yes
Picture Angle
25 mm Wide Angle
Continuous Shots
Up to 10 fps (Continuous H), 19 Images at 2 fps (Continuous L), 5 Images at 18 fps (Pre-shooting Cache)
White Balancing
Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Manual (Custom)
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
12.2 m Macro Mode, 16.79 Million Total Pixels, 8 Elements in 8 Groups Lens Construction (1 ED Lens Elements), Anti-reflection Coating and 5-level Brightness Adjustment, Approx: 96% Horizontal and Vertical Frame Coverage (Playback Mode), Approx: 96% Horizontal and Vertical Frame Coverage (Shooting Mode), Audio: AAC Stereo)), Auto (9-area Automatic Selection), Beach, Center, Close-up, Compact Digital Camera, DPOF and MPF Complaint), Dusk / Dawn, Exif 2.3, File Formats (Still Picture: JPEG 3D Images: MPO Sound Files (Voice Memo): WAV Movies: MOV (Video: H.264 / MPEG-4 AVC, File System (DCF, Fireworks Show, Focus-area Selection (Face Priority, Food, Landscape, Lens Shift Vibration Reduction, Manual (Focus Area Selected Touch Panel), Monitor (7.5 cm, Motion Detection (Still Pictures) Reduction, Museum, Night Landscape, Night Portrait, Party / Indoor, Portrait, Scene (Scene Auto Selector, Shooting Modes (Auto, Snow, Sports, Subject Tracking, Sunset, Target Finding AF), Wide Screen",,"Optical Sensor Resolution (in MegaPixel)
16 MP","Supplied Battery
Rechargeable Li-ion Battery (EN-EL19)
AC Adaptor
AC Adaptor EH-62G (Optional)",»,"Sensor Type
CMOS Sensor
Sensor Size
1/2.3 Inches",CMOS Sensor,,"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
1 sec",,"Optical Zoom
12x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma SD15 SLR Price in India with Offers & Full Specifications | PriceDekho.com,,,"USB
Yes","Weight
680 gms","Screen Size
3 Inches","Built in Flash
Yes",,"Image Format
JPEG (EXIF 2.21, DCF 2.0)","Auto Focus
Yes",,12.3 MP,"Red Eye Reduction
Yes
Audio Video Interface (NTSC/PAL)
Yes",,"Optical Sensor Resolution (in MegaPixel)
12.3 MP","Supplied Battery
Li-ion Battery (BP-21)",»,"Sensor Type
CMOS Sensor",CMOS Sensor,,"Maximum Shutter Speed
1/4000 - 30 sec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony SLT A77V SLR Body Price in India with Offers & Full Specifications | PriceDekho.com,"External Memory
Yes",Sony,"USB
USB 2.0 Hi-Speed
HDMI
Yes; HDMI Mini Connector
Bluetooth
No","Weight
653 gms","Display Type
TFT XtraFine LCD TruBlack Technology
Screen Size
3 Inches
Image Display Resolution
921600 dots
Video Display Resolution
1920 x 1080 pixels (Full HD)
ViewFinder
Electronic View Finder","Flash Modes
Auto (Flash-Off), Fill-in, High-speed Sync, Rear Sync, Slow Sync Flash
Built in Flash
Yes
External Flash
Yes","Brand
Sony","Image Format
JPEG (DCF 2.0, EXIF 2.3, RAW (ARW 2.3), MPO)
Audio Formats
AAC-LC
Video Format
MPEG-4","Auto Focus
TTL Phase Detection
Color Filter
Primary (RGB) Color Filter
Manual Focus
Yes","Upgradeable Memory
Yes
Memory Card Type
Memory Stick PRO-HG Duo, Memory Stick Pro Duo, SD, SDHC, SDXC",24.3 MP,"ISO Rating
ISO 100-16000
Self Timer
2 sec, 10 sec
Face Detection
Yes
Delete Function
Yes
Metering
1200 Zone Evaluative
Red Eye Reduction
Yes
Continuous Shots
Up to 12 fps (Tele-zoom Continuous Advance Priority AE Mode), 8 fps (Continuous Mode)
White Balancing
Auto, Cloudy, Colour Temperature, Daylight, Flash, Fluorescent (D: Day White, Incandescent, L: Warm White, Shade, W: Cool White)
Microphone
Built-In Stereo Microphone
Sync Terminal
Yes
Dust Reduction
Anti-Dust Charge Protection Coating
Additional Features
19-point AF System with 11 Cross Sensors, 24.7 Total MP, Adobe RGB, Auto HDR, Autumn Leaves, B, Black and White, Black and White), Clear, Colour Modes: sRGB, Compatible Lens: Sony A-mount Lens, Creative Style: Standard, Deep, Dust Reduction: Charge Protection Coating on Low Pass Filter and Image-sensor Shift Mechanism, Extra Fine, Fine, G, HDR Painting, High Contrast Monochrome, High ISO: High, Image Quality Modes: Standard, Image Stabilization System: Image-sensor Shift Mechanism, Landscape, Light, Low, Miniature, Minolta and Konica Minolta AF Lenses, Neutral, Night Scene, Noise Reduction: Long Exposure: Available at Shutter Speeds Longer than 1 sec, Normal, Off and Auto D-range Optimizer, Partial Color (R, Picture Effect: Posterization (Color, Pop Color, Portrait, RAW, RAW + JPEG, Retro Photo, Rich-tone Monochrome, Saturation, Sepia, Sharpness, Soft Focus, Soft High-key, Sunset, Toy Camera, Vivid, XGA OLED Tru Finder with 100% Frame Coverage, Y)",(5 ),"Optical Sensor Resolution (in MegaPixel)
24.3 MP","Supplied Battery
Rechargeable Li-ion Battery (NP-FM500H)",»,"Sensor Type
Exmor APS HD CMOS Sensor",Exmor APS HD CMOS Sensor,(2 ) (3.2 ) (5 ) (5 ) (3.2 ),"Maximum Shutter Speed
1/8000 sec
Minimum Shutter Speed
30 sec",(3 ) (3.4 ) (5 ) (3.2 ) (5 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
